hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hospitality Geraldton SureStay Collection by Best Western,US$114,"8,0",Muy bien,2.388,https://cf.bstatic.com/xdata/images/hotel/max1024x768/200522584.webp?k=c0b1a3dc4dfb964e21e4acad2c2b7b3e71049322943ffe87903e1a5e94b4effa&o=,https://www.booking.com/hotel/au/best-western-hospitality-inn-geraldton.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Servicio de despertador, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Menú para niños, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Desayuno en la habitación, Fax / fotocopiadora, Bar, Mesa de comedor, Ropa de cama, Zona de fumadores, Ducha, Calefacción, Servicio de despertador / alarma, Servicio de lavandería, Tostadora, Aire acondicionado, Restaurante, TV de pantalla plana, Barbacoa, Parking gratis, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Canales vía satélite, Menús para dietas especiales (bajo petición), Inglés, WiFi gratis, Utensilios de planchado, Información turística, Minibar, Registro de entrada y salida exprés, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Buen desayuno, Extintores, Secador de pelo, Tetera / cafetera, Jardín, Teléfono, Habitaciones familiares, Servicio de planchado, Caja fuerte, Suelo de moqueta, Mobiliario exterior, Fruta",Geraldton,Australia,"El Hospitality Geraldton, SureStay Collection by Best Western ofrece WiFi gratuita y se encuentra a 1,5 km de la playa. Cuenta con piscina al aire libre, restaurante y bar.

Todas las habitaciones del Hospitality Geraldton cuentan con TV por cable, set de té y café y minibar. Todas las habitaciones incluyen galletas gratuitas. Se ofrece champán por un suplemento.

El establecimiento cuenta con lavandería y zona de barbacoa en los jardines.

El motel alberga un restaurante a la carta y un bar de cócteles que sirve una amplia variedad de comidas y bebidas. Hay servicio de habitaciones.

El Hospitality Geraldton, SureStay Collection by Best Western está bien comunicado con las islas Abrolhos y ofrece una amplia gama de actividades, como pesca, windsurf y buceo. El aeropuerto internacional de Perth está a 425 km."
Belair Gardens Caravan Park,US$99,"8,3",Muy bien,1.684,https://cf.bstatic.com/xdata/images/hotel/max1024x768/165819948.webp?k=bbae1b10e0d69946fdaa7f7133cbe16c9f324ab795a69c259804a4365e7a71d6&o=,https://www.booking.com/hotel/au/belair-gardens-caravan-park.es.html?aid=2410095,"Billar, Toallas, Tumbonas/sillas de playa, Snorkel, Baño privado, Toda la unidad en la planta baja, Perchero, Artículos de aseo gratis, Cocina, Libros, DVD o música para niños, Cocina compartida, Situado frente a la playa, Muebles de exterior, Enchufe cerca de la cama, Ducha, 2 piscinas, Parque acuático, Windsurf, Reloj despertador, Reproductor de DVD, Servicio de lavandería, Servicio de despertador / alarma, Calefacción, Productos de limpieza, Tostadora, Sala de juegos, Aire acondicionado, Abierta todo el año, TV de pantalla plana, Horario de apertura, Adaptado personas de movilidad reducida, Microondas, Pesca, Trona, Barbacoa, Parking gratis, Adecuada para niños, Caja fuerte para ordenador portátil, Ciclismo, Habitaciones sin humo, Playa, Inglés, Equipamiento de juegos para exterior, Adaptado para sillas de ruedas, WiFi gratis, Zona poco profunda, Ping pong, Suelo de baldosa / mármol, Zona TV / salón de uso compartido, Piscina infantil, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, TV, Entrada privada, Submarinismo, Sofá, Habitaciones familiares, Caja fuerte, Proporciona factura, Valla alrededor de la piscina, Zona de estar",Geraldton,Australia,"El Belair Gardens Caravan Park, situado a solo 250 metros del paseo marítimo, ofrece conexión WiFi gratuita, piscina al aire libre, sala de juegos y alojamientos con microondas, nevera y zona de salón con TV de pantalla plana.

El Belair Gardens Caravan Park se encuentra a 6 minutos en coche del parque acuático Geraldton y del mirador de Separation Point Lookout. El campo de golf de Geraldton queda a 8 minutos en coche, mientras que el aeropuerto de Geraldton está a 15 minutos en coche.

Las habitaciones incluyen aire acondicionado, zona de comedor cubierta y al aire libre y tostadora. Todas ellas disponen de baño privado con ducha y artículos de aseo gratuitos. Algunas habitaciones cuentan con bañera de hidromasaje, vistas al mar, terraza o utensilios de cocina.

Los huéspedes podrán disfrutar de la zona de barbacoa y la sala de juegos, con billares y ping pong. Además, el establecimiento alberga un supermercado pequeño, parque infantil y lavandería."
Nightcap at Wintersun Hotel,US$116,"7,9",Bien,1.170,https://cf.bstatic.com/xdata/images/hotel/max1024x768/234706800.webp?k=47896062bb90ee75a7724fbe468f03c77b028ff6818796dbe5cbc726116662ad&o=,https://www.booking.com/hotel/au/wintersun.es.html?aid=2410095,"Billar, Almuerzos para llevar, Tetera/cafetera en todas las habitaciones, Toallas, Zona de juegos interior, Menú para niños, Cajero automático en el hotel, Baño privado, Plancha para ropa, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Zona de fumadores, Bar, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Toda la unidad en la planta baja, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Restaurante, TV de pantalla plana, Barbacoa, Parking gratis, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Zona poco profunda, Información turística, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Suelo de moqueta, Mobiliario exterior",Geraldton,Australia,"Featuring a bar, a restaurant and a swimming pool, Nightcap at Wintersun Hotel is located in Bluff Point, 3 minutes' drive from Sunset Beach. The rooms include a desk and TV. Guests enjoy free on-site parking.

Bluff Point Nightcap at Wintersun Hotel is 7 minutes' drive from Beresford and Chapman River Regional Park. It is 20 minutes' drive from Geraldton Airport.

The air-conditioned rooms offer a dining area, a refrigerator and tea/coffee making facilities. Each room has a private bathroom with a shower. Towels and bed linen are provided.

The bistro offers traditional pub meals such as steaks, schnitzels and chips. The bar serves a range of beer, spirits and wine."
The Gerald Apartment Hotel,US$196,"8,4",Muy bien,1.222,https://cf.bstatic.com/xdata/images/hotel/max1024x768/174346183.webp?k=69fba31256d81a064e6f0d682a39d73ba08a0658985b1c83863ddc7494effbcb&o=,https://www.booking.com/hotel/au/the-gerald-apartment.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Vistas a la ciudad, Servicio de despertador, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Servicio de habitaciones, Perchero, Artículos de aseo gratis, Vistas, Fax / fotocopiadora, Bar, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de despertador / alarma, Calefacción, Servicio de lavandería, Reloj despertador, Aire acondicionado, Estación de carga de vehículos eléctricos, Ascensor, TV de pantalla plana, Restaurante, Terraza, Adaptado personas de movilidad reducida, Radio, 2 restaurantes, Parking en un garaje, Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Playa, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Minibar, Escritorio, Detectores de humo, Insonorización, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Sofá, Teléfono, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Gimnasio, Suelo de moqueta, Mobiliario exterior, Zona de estar",Geraldton,Australia,"El The Gerald Apartment Hotel, situado en Geraldton, a 200 metros de la playa de la ciudad y a 1,3 km del puerto deportivo de la costa Batavia, ofrece alojamiento con bar, conexión WiFi gratuita en todo el establecimiento y aparcamiento privado gratuito. Dispone de consigna de equipaje. El hotel dispone de habitaciones familiares.

Las habitaciones están equipadas con aire acondicionado, nevera, tostadora, hervidor de agua, ducha, secador de pelo y escritorio. Todas las habitaciones del hotel están equipadas con armario, TV de pantalla plana y baño privado.

El Gerald Apartment Hotel alberga una terraza.

El aeropuerto más cercano es el de Geraldton, ubicado a 10 km del alojamiento."
Abrolhos Reef Lodge,US$78,"5,4",Puntuación,1.858,https://cf.bstatic.com/xdata/images/hotel/max1024x768/53231526.webp?k=de64471551046d6f1a098d85bcdb5a28b1c84a43981158fc3c53a81f0d26475c&o=,https://www.booking.com/hotel/au/abrolhos-reef-lodge.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Tumbonas/sillas de playa, Plancha para ropa, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Artículos de aseo gratis, Cocina, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Mesa de comedor, Ropa de cama, Calefacción, Ducha, Bengalí, Servicio de lavandería, Hindi, Tostadora, Aire acondicionado, Abierta todo el año, Sombrillas, TV de pantalla plana, Microondas, Zona de comedor, Barbacoa, Parking gratis, Utensilios de cocina, Servicio de limpieza en seco, Valla alrededor de la piscina, Fogones, Habitaciones sin humo, Playa, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Armario, Hervidor eléctrico, WC, Urdú, Nevera, TV, Piscina al aire libre, Tetera / cafetera, Sofá, Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Horno, Zona de pícnic, Proporciona factura, Mobiliario exterior",Geraldton,Australia,"El Abrolhos Reef Lodge se encuentra a solo 5 minutos a pie de la playa de Tarcoola y cuenta con piscina al aire libre y jardín. También dispone de zona de barbacoa y conexión WiFi gratuita.

El Abrolhos Reef Lodge se halla a 8 minutos en coche de la playa de Geraldton y a 10 minutos en coche del Museo de Australia Occidental - Geraldton. El aeropuerto de Geraldton está a 13 minutos en coche.

Estos apartamentos independientes cuentan con aire acondicionado y cocina totalmente equipada. Ofrecen baño privado y TV de pantalla plana con canales por cable. Las toallas y la ropa de cama están incluidas.

El establecimiento dispone de aparcamiento gratuito y servicio de lavandería."
Geraldton Backpackers,US$39,"8,6",Fabuloso,479,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251789016.webp?k=315bdee07486b2011d07b66831d2c2c4074c675bce86b2c4718d2e9d4356fd63&o=,https://www.booking.com/hotel/au/geraldton-backpackers-geraldton.es.html?aid=2410095,"Billar, Guardaequipaje, Seguridad 24 horas, Toallas, Tumbonas/sillas de playa, Galerías de arte temporales, Prohibido fumar en todo el alojamiento, Senderismo, Snorkel, Servicio de entrega de comestibles, Perchero, Artículos de aseo gratis, Piragüismo, Pista de tenis, Cocina compartida, Situado frente a la playa, Ropa de cama, Enchufe cerca de la cama, Ducha, Windsurf, Taquillas, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Ventilador, Sala de juegos, Llave de acceso, Suelo de madera o parquet, Juegos de mesa / puzles, Terraza, Pesca, Terraza / solárium, Servicio de streaming (como Netflix), Barbacoa, Parking gratis, Ciclismo, Habitaciones sin humo, Playa, Parking en la calle, Inglés, Noches de cine, WiFi gratis, Bolos, Zona de fumadores, Zona TV / salón de uso compartido, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Baño compartido, WC, Extintores, Secador de pelo, Submarinismo, Jardín, Dardos, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Bañera, Squash, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Geraldton,Australia,"El Geraldton Backpackers se encuentra en Geraldton, en la región de Australia Occidental, y ofrece barbacoa y solárium.

Algunas habitaciones tienen vistas al mar, al jardín o a la ciudad. Todas las habitaciones tienen baño compartido con bañera o ducha. Hay TV de pantalla plana.

El establecimiento alberga una cocina compartida. También hay una mesa de billar y 2 zonas de estar con TV de pantalla plana."
Sails Geraldton Accommodation,US$104,"7,8",Bien,1.008,https://cf.bstatic.com/xdata/images/hotel/max1024x768/179086934.webp?k=b2f4fe50e916cf45d17fea91b495dbf2b0dc3caaee0e9203d6d3b0a72f728e7f&o=,https://www.booking.com/hotel/au/sails-geraldton-accommodation.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Baño privado, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Cocina compartida, Ropa de cama, Ducha, Servicio de lavandería, Tostadora, Aire acondicionado, Abierta todo el año, TV de pantalla plana, Terraza, Radio, Barbacoa, Parking gratis, Habitaciones sin humo, Malayo, Inglés, WiFi gratis, Tailandés, Zona TV / salón de uso compartido, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Jardín, Suelo de moqueta, Parking adaptado para personas de movilidad reducida",Geraldton,Australia,"El Sails Geraldton Accommodation se encuentra a 5 minutos en coche del Western Australian Museum. Está situado en unos hermosos jardines y ofrece piscina al aire libre, zona de barbacoa y habitaciones con aire acondicionado y TV de pantalla plana.

Todas las habitaciones incluyen nevera, set de té y café y baño privado con secador de pelo. Algunas también tienen balcón privado.

El Sails Accommodation Geraldton se encuentra a 5 minutos en coche del campo de golf de Geraldton y el famoso mirador Separation Point Lookout. El aeropuerto de Geraldton está a 15 minutos en coche.

El establecimiento ofrece un salón con TV, cocina compartida y servicio de lavandería y aparcamiento gratuitos."
Ocean Centre Hotel,US$143,"7,8",Bien,1.393,https://cf.bstatic.com/xdata/images/hotel/max1024x768/33640327.webp?k=83de78d8911f689c4dba83727e05a982f33b7fd0074f3a9e6e9353129cf92278&o=,https://www.booking.com/hotel/au/ocean-centre-geraldton.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Toallas, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Plancha para ropa, Baño privado, Servicio de habitaciones, Perchero, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Situado frente a la playa, Ropa de cama, Enchufe cerca de la cama, Ducha, Parque acuático, Calefacción, Servicio de lavandería, Reloj despertador, Ventilador, Clases de fitness, Aire acondicionado, Ascensor, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Radio, Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Playa, Parking en la calle, Vino / champán, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, WC con barras de apoyo, Minibar, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Servicio de planchado, Gimnasio, Proporciona factura, Parking adaptado para personas de movilidad reducida",Geraldton,Australia,"El Ocean Centre Hotel se encuentra en Geraldton, alberga un restaurante y un bar y proporciona conexión WiFi gratuita. Todos los alojamientos tienen TV de pantalla plana. mientras que el bar Sirocco permite disfrutar de una gran variedad de vinos y cervezas.

Todas las habitaciones cuentan con aire acondicionado, minibar, escritorio Todas las habitaciones cuentan con baño con ducha, secador de pelo y artículos de aseo gratuitos. Algunas habitaciones tienen balcón.

También hay consigna de equipaje."
Weelaway On Gregory,US$92,"8,0",Muy bien,447,https://cf.bstatic.com/xdata/images/hotel/max1024x768/269349438.webp?k=612d781a94d38e529924917db020ee8ea1ac7bba4dc3fe4e037f27e01759ce6b&o=,https://www.booking.com/hotel/au/weelaway-on-gregory.es.html?aid=2410095,"Guardaequipaje, Toallas, Galerías de arte temporales, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Artículos de aseo gratis, Calefacción, Cocina compartida, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Reproductor de DVD, Aire acondicionado, TV de pantalla plana, Zona de comedor, Parking en un garaje, Parking gratis, Habitaciones sin humo, Playa, Inglés, WiFi gratis, Lavadora, Registro de entrada y salida exprés, Papel higiénico, Armario, WC, TV, Secador de pelo, Jardín, Proporciona factura, Mobiliario exterior, Zona de estar",Geraldton,Australia,"El Weelaway On Gregory es una casa histórica situada en la primera calle principal de Geraldton. El establecimiento se encuentra a solo 600 metros de la impresionante playa de Geraldton, del centro de visitantes y del centro de la ciudad. Hay conexión Wi-Fi gratuita.

El establecimiento ofrece habitaciones preciosas con 3 hermosas habitaciones con baño y 1 habitación económica con baño independiente.

Los huéspedes tienen acceso a una cocina totalmente equipada, un salón y una zona de comedor. Se puede organizar el registro de entrada después de lo habitual.

El Weelaway On Gregory se encuentra en el centro de Geraldton, a 370 km al norte del aeropuerto de Perth. Hay aparcamiento gratuito."
ibis Styles Geraldton,US$120,"6,7",Puntuación,498,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251797446.webp?k=51c1b428f52295b81eeafe8441c6f489f41dc31d21100dbee56f4b8201a82b41&o=,https://www.booking.com/hotel/au/ibis-styles-geraldton.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Seguridad 24 horas, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Servicio de conserjería, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Calefacción, Ducha, Servicio de despertador / alarma, Servicio de lavandería, Reloj despertador, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Habitaciones hipoalergénicas, Radio, Centro de negocios, Parking gratis, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Información turística, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Buen desayuno, Piscina al aire libre, Plancha para pantalones, Secador de pelo, Extintores, Cámaras de seguridad en las zonas comunitarias, Teléfono, Plancha para ropa, Habitaciones familiares, Servicio de planchado, Valla alrededor de la piscina, Parking adaptado para personas de movilidad reducida",Geraldton,Australia,"El ibis Styles Geraldton se encuentra junto al centro del municipio, a solo 100 metros de las bonitas playas de arena blanca de Batavia.

El hotel cuenta con 60 habitaciones elegantes, piscina, restaurante y coctelería.

El ibis Styles Geraldton está situado a solo 12 km del aeropuerto, cerca de los lugares de interés de la zona, como el histórico caserío de Greenough y el archipiélago de Abrolhos.

De agosto a diciembre se puede disfrutar de muestrarios de las famosas flores silvestres de la región."
