hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Zamba,https://www.booking.com/hotel/co/zamba.es.html?aid=2410095,"El Hotel Zamba está situado en Girardot y ofrece piscina al aire libre y restaurante. Ofrece conexión WiFi y aparcamiento privado, ambos gratuitos.

Las habitaciones disponen de TV por cable, aire acondicionado y minibar. El baño privado incluye ducha y artículos de aseo gratuitos.

El Hotel Zamba alberga recepción las 24 horas, terraza y salón compartido. Además, se halla a poca distancia a pie del parque Bolívar.

El hotel se encuentra a 2 horas en coche del aeropuerto internacional El Dorado.","Secador de pelo, Terraza, Juegos de mesa / puzles, Vestidor, Horario de apertura, Sombrillas, Bañera o ducha, Minibar, Toallas / sábanas (por un suplemento), Canales de pago, Muebles de exterior, Recepción 24 horas, Ventilador, Baño privado, Hipoalergénico, Extintores, Aire acondicionado, TV, Armario, Perchero, Información turística, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Plancha para ropa, Reloj despertador, Zona de fumadores, Valla alrededor de la piscina, Productos de limpieza, Radio, Canales por cable, Piscina al aire libre, Aseo adicional, Bidet, Zona de estar, Servicio de planchado, Barandillas de seguridad para bebés, Escritorio, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Toallas, Habitaciones familiares, Servicio de despertador / alarma, Español, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/138229219.jpg?k=d2f0fd11694cbd047f9f35724b19afe9868e24dbda8c1b4a4eb206abd8b83d33&o=&hp=1,Girardot,Colombia
HOTEL PH GIRARDOT,https://www.booking.com/hotel/co/ph-girardot.es.html?aid=2410095,"HOTEL PH GIRARDOT se encuentra en Girardot, en la región de Cundinamarca. Ofrece alojamiento con wifi gratis, parking privado gratis y acceso a la piscina cubierta.

Todas las unidades disponen de aire acondicionado y TV de pantalla plana. Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el apartahotel se sirve todos los días un desayuno americano.

HOTEL PH GIRARDOT dispone de terraza, además de salón de uso común.

Piscilago está a 22 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Ibagué) está a 58 km del alojamiento.","Piscina interior, Terraza, Horario de apertura, Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Baños públicos, Alarma de seguridad, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, Información turística, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Registro de entrada / salida privado, Muy buen desayuno, Boles para mascotas, WiFi gratis, Ducha, Seguridad 24 horas, Bañera de hidromasaje / jacuzzi, Proporciona factura, Cesta para mascotas, Para todas las edades, Escritorio, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Abierta todo el año, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Zona poco profunda, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502154397.jpg?k=33660baedad46e1f801550360a91f7b06d3a46420e3ce10cd7b73bd6b15d2f47&o=&hp=1,Girardot,Colombia
CasaBlanca ApartaEstudios,https://www.booking.com/hotel/co/casablanca-apartaestudios.es.html?aid=2410095,"CasaBlanca ApartaEstudios se encuentra en Girardot, en la región de Cundinamarca. Ofrece alojamiento con wifi gratis, parking privado gratis y acceso a la bañera de hidromasaje.

Algunas unidades incluyen TV de pantalla plana por cable, cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

El apartamento dispone de terraza, además de salón de uso común.

Piscilago está a 23 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Ibagué) está a 59 km del alojamiento.","Proporciona factura, Terraza, Terraza / solárium, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Baño privado, Zona TV / salón de uso compartido, Parking en un garaje, Habitaciones familiares, Español, Recepción 24 horas, WiFi gratis, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/268018279.jpg?k=3ca6104176f1d60e5fb8053b55a3ee00d0c09abca619de49ef0ae6a81b0b546c&o=&hp=1,Girardot,Colombia
"Apartamento Vacacional Familiar en Girardot, piscinas, Jacuzis, parqueadero privado",https://www.booking.com/hotel/co/apartamento-vacacional-girardot-girardot.es.html?aid=2410095,"Apartamento Vacacional Familiar en Girardot, piscinas, Jacuzis, parqueadero privado, que se encuentra en Girardot, ofrece alojamiento con piscina privada, vistas a la piscina y balcón. Este alojamiento ofrece ping pong, parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y bañera de hidromasaje. Hay toallas y ropa de cama en el apartamento.

En recepción se hablan varios idiomas, como inglés y español.

En el apartamento, la clientela puede disfrutar de piscina cubierta y bañera de hidromasaje. Se puede descubrir la zona practicando ciclismo en los alrededores.

Piscilago está a 23 km del alojamiento. El aeropuerto (Aeropuerto de Ibagué) está a 62 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Juegos de mesa / puzles, Sombrillas, Horario de apertura, Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Minibar, Senderismo, Vistas a la piscina, Cambio de moneda, Entretenimiento nocturno, Ventilador, Recepción 24 horas, Inglés, Baño privado, Apartamento privado en edificio, Cocina, Ciclismo, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Ping pong, Tours en bici, Ropa de cama, Artículos de aseo gratis, WiFi gratis, Ducha, Detectores de humo, Seguridad 24 horas, Mesa de comedor, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Zona de cocina, Mobiliario exterior, Productos de limpieza, Tours a pie, Cafetera, Sofá, Cama plegable, Bañera de hidromasaje, Parque acuático, Para todas las edades, Sofá cama, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Abierta todo el año, Balcón, Tumbonas/sillas de playa, Toallas, Lavadora, Habitaciones familiares, Zona poco profunda, 2 piscinas, Ascensor, Nevera, Utensilios de cocina, Español, Papel higiénico, Piscina privada, Sala de juegos, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504990977.jpg?k=6f91ba1e5ffc231307252857a3a008279fb5bbece9c28042435993c37761c6e4&o=&hp=1,Girardot,Colombia
La zona mas fresca de Girardot Con Internet Gratis,https://www.booking.com/hotel/co/la-zona-mas-fresca-de-girardot-con-internet-gratis.es.html?aid=2410095,"La zona mas fresca de Girardot Con Internet Gratis está en Girardot, a solo 26 km de Piscilago, y dispone de alojamiento con centro de fitness y wifi gratis. Este alojamiento ofrece mesa de billar, ping pong y parking privado gratis.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

El aeropuerto (Aeropuerto de Ibagué) está a 58 km.","Juegos de mesa / puzles, Sombrillas, Supermercado pequeño en el alojamiento, Bañera o ducha, Vistas, Ventilador, Aire acondicionado, Extintores, TV, Cocina, Armario, Perchero, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Ping pong, Seguridad 24 horas, WiFi gratis, Detectores de humo, Zona de cocina, Plancha para ropa, Barbacoa, Piscina al aire libre, Bañera, Sofá, Aseo adicional, Cama plegable, Gimnasio, Escritorio, Sofá cama, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Billar, Abierta todo el año, TV de pantalla plana, Balcón, Tumbonas/sillas de playa, Tendedero, Español, Ascensor, Papel higiénico, Piscina privada, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583073280.jpg?k=f6555dcaceb86045639cfea0c258364bd689eadcb47b9fc154d343f6069b9324&o=&hp=1,Girardot,Colombia
Hotel Terraza,https://www.booking.com/hotel/co/y-parking-tique.es.html?aid=2410095,"Hotel Terraza está en Girardot, a 22 km de Piscilago, y dispone de alojamiento con terraza, parking privado y bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene habitaciones familiares.

El aeropuerto (Aeropuerto de Ibagué) está a 59 km.","Proporciona factura, Terraza, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad en las zonas comunitarias, Bar, Servicio de habitaciones, Parking en un garaje, Habitaciones familiares, Español, Recepción 24 horas, Seguridad 24 horas, WiFi gratis, Aire acondicionado, Parking privado, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/509987377.jpg?k=2c9e762be3e31054e8054d85d0dd02edb7b1c5ccb3fb72190a0c01dd617050f8&o=&hp=1,Girardot,Colombia
ONE HOTEL,https://www.booking.com/hotel/co/one-girardot.es.html?aid=2410095,"ONE HOTEL está en Girardot, a 22 km de Piscilago, y dispone de alojamiento con salón de uso común, parking privado gratis y bar. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El cafetería es ideal para tomar algo.

En el hotel, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto (Aeropuerto de Ibagué) está a 60 km.","Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Armario, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Cesta para mascotas, Servicio de aparcacoches, Mobiliario exterior, Canales por cable, Llave de acceso, Servicio de planchado, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Bar, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/480682686.jpg?k=d552da0f331840c7e04497057784b2a73f8ca89fd5f5335177b52406398767b3&o=&hp=1,Girardot,Colombia
Hotel Elimar,https://www.booking.com/hotel/co/elimar-girardot.es.html?aid=2410095,"Hotel Elimar se encuentra en Girardot. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 22 km de Piscilago.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana y baño privado. Las unidades disponen de armario.

En Hotel Elimar se sirve todas las mañanas un desayuno americano.

El aeropuerto más cercano (Aeropuerto de Ibagué) está a 60 km.","Piscina interior, Prohibido fumar en todo el alojamiento, Bañera o ducha, Parking en la calle, Recepción 24 horas, Baño privado, Aire acondicionado, Desayuno fantástico, TV, Armario, Perchero, Parking gratis, Entrada privada, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Canales por cable, Escritorio, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/96564033.jpg?k=841a21268fe951f980343c0fedfb733776581a2dc30584ba15b6953328de999b&o=&hp=1,Girardot,Colombia
Hotel deluxe oasis de la colina girardot,https://www.booking.com/hotel/co/hoteldeluxeoasisdlacolinagirardot.es.html?aid=2410095,"Hotel deluxe oasis de la colina girardot se encuentra en Girardot, a 24 km de Piscilago, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. El alojamiento cuenta con restaurante y también tiene terraza, sauna y bañera de hidromasaje. El alojamiento dispone de karaoke y servicio de habitaciones.

En el hotel, cada habitación incluye aire acondicionado, escritorio, patio con vistas a la piscina, baño privado, TV de pantalla plana, ropa de cama y toallas. Hay wifi gratis, y algunas de las habitaciones también están equipadas con balcón. Las habitaciones cuentan con nevera.

Hay opciones continentales o americanas de desayuno disponibles todos los días en Hotel deluxe oasis de la colina girardot.

Se puede jugar al billar en este hotel de 4 estrellas, y la zona es ideal para practicar senderismo y ciclismo.

El personal de recepción puede dar consejos sobre la zona.

El aeropuerto más cercano (Aeropuerto de Ibagué) está a 58 km del alojamiento.","Desayuno, Terraza, Spa y centro de bienestar, Horario de apertura, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas a la piscina, Senderismo, Suelo de moqueta, Suelo de madera o parquet, Lavamanos más bajo, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Instalaciones de spa, Manicura, Silla de masajes, Tour o clase sobre cultura local, Servicio de limpieza en seco, Toda la unidad accesible en silla de ruedas, Parking gratis, Envoltura corporal, Tours en bici, Ropa de cama, Juguetes para la piscina, Servicio de habitaciones, Mesa de comedor, Toallas de playa/piscina, Masaje de pies, Proporciona factura, Mobiliario exterior, Adecuada para niños, Masaje de cabeza, Alquiler de bicicletas, Baño al aire libre, Zona de comedor exterior, Insonorización, Zona de comedor, Restaurante, Piscina con vistas, Masaje de espalda, Happy hour, Tratamientos faciales, Barandillas protectoras para bebés, Sala de juegos, Servicio de entrega de comestibles, Vestidor, Personal de animación, Cafetería en el alojamiento, Entretenimiento nocturno, Cenas temáticas, WC elevado, Aire acondicionado, Solárium, Campo de golf (a menos de 3 km), Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Patio, WiFi gratis, Enchufe cerca de la cama, Música / espectáculos en directo, Cuerda de emergencia en el baño, Pesca, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Zona de estar, Llave de acceso, Equitación, Acceso al salón executive, Escritorio, Salas de reuniones / banquetes, Baño de vapor, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Toda la unidad en la planta baja, Papel higiénico, Suelo de baldosa / mármol, Juegos de mesa / puzles, Caja fuerte, Masaje de manos, Adaptado para sillas de ruedas, TV, Ciclismo, Armario, Accesible para personas sordas, Masajes, Artículos de aseo gratis, Seguridad 24 horas, Detectores de humo, Sauna, Karaoke, Bañera de hidromasaje / jacuzzi, Ruta de bares, Productos de limpieza, Tours a pie, Servicios de depilación, Guiado auditivo, Vistas al jardín, Servicio de planchado, Guardaequipaje, Apoyo visual: braille, WC, Exfoliación corporal, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Detector de monóxido de carbono, Zona de fumadores, Albornoz, Dardos, Baños públicos, Servicios de belleza, Recepción 24 horas, 2 restaurantes, Masaje en pareja, Vino / champán, Perchero, Información turística, Snack-bar, Registro de entrada / salida privado, Servicio de conserjería, Tratamientos corporales, Fruta, Ducha, Plancha para ropa, Aseo adicional, Eventos deportivos en directo (emisión), Servicio de despertador, Servicio de lavandería, Masaje corporal completo, Piscina infantil, Piscina  - Al aire libre (infantil), Billar, Abierta todo el año, Pedicura, Apoyo visual: carteles táctiles, Minibar, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567110477.jpg?k=e76057a36f0a8919686a75d30965a56928674311d30080f0a15894e52cccafff&o=&hp=1,Girardot,Colombia
Apartamento Girardot Resort,https://www.booking.com/hotel/co/condominio-girardot-resort-girardot1.es.html?aid=2410095,"Apartamento Girardot Resort se encuentra en Girardot, a 20 km de Piscilago, y ofrece alojamiento con wifi gratis, aire acondicionado y piscina al aire libre. Este apartamento tiene piscina privada, jardín y parking privado gratis.

El apartamento cuenta con terraza y vistas a la ciudad, y dispone de 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 2 baños con ducha.

El apartamento ofrece bañera de hidromasaje.

El aeropuerto más cercano (Aeropuerto de Ibagué) está a 60 km del alojamiento.","Terraza, Vestidor, Horario de apertura, Sombrillas, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Baños públicos, Bañera o ducha, Habitaciones sin humo, Vistas a la piscina, Muebles de exterior, Vistas, Ventilador, Baño privado, Jardín, 3 piscinas, Mosquitera, Cocina, TV, Apartamento privado en edificio, Aire acondicionado, Armario, Perchero, Toda la unidad accesible en silla de ruedas, Parking gratis, Fogones, Parking en un garaje, Entrada privada, Ducha, Mesa de comedor, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Zona de cocina, Adecuada para niños, Sofá, Lavavajillas, Zona de estar, Vistas al jardín, Para todas las edades, WC, Zona de comedor exterior, Servicio de streaming (como Netflix), Sofá cama, Piscina infantil, Zona de comedor, Abierta todo el año, TV de pantalla plana, Balcón, Tumbonas/sillas de playa, Wifi básica gratis (6 Mbps), Habitaciones familiares, Tendedero, Zona poco profunda, Nevera, Vistas a la ciudad, Español, Papel higiénico, Piscina privada, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479376199.jpg?k=023cc96b81b50ccaddd2db9a03c216de17a807fb33182f5bf175c31f8b014e88&o=&hp=1,Girardot,Colombia
