hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Popock Goris,US$30,"9,4",Fantástico,340,https://cf.bstatic.com/xdata/images/hotel/max1024x768/371642570.webp?k=5baeb1ddb62f0c6582e8ee4de4eb34ff0bd383ecdcd6e169c79749f35d80d415&o=,https://www.booking.com/hotel/am/popock-goris.es.html?aid=2410095,"Ruso, Ducha, Terraza, TV de pantalla plana, Jardín, Perchero, Papel higiénico, Bañera o ducha, Alquiler de coches, Zapatillas, Secador de pelo, Prohibido fumar en todo el alojamiento, Calefacción, TV, Artículos de aseo gratis, Armenio, Mosquitera, Bar, Desayuno excepcional, Restaurante, Baño privado, Enchufe cerca de la cama, Toallas, Inglés, Camas extralargas (más de 2 metros), Armario, Habitaciones sin humo, Parking gratis, Hervidor eléctrico, WC, Wifi básica gratis (6 Mbps)",Goris,Armenia,"Popock Goris dispone de jardín, terraza, restaurante y bar en Goris. Hay parking privado gratis y hostal o pensión también ofrece alquiler de coches para descubrir los alrededores.

En el hostal o pensión, todas las habitaciones están equipadas con armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También disponen de wifi gratis, y algunas habitaciones tienen vistas a la ciudad. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 225 km del alojamiento."
Aregak B&B and Tours,US$15,"9,8",Excepcional,120,https://cf.bstatic.com/xdata/images/hotel/max1024x768/368618390.webp?k=d895a2c14bf5a987ad3cc9773cc44fd41efb64a1999b658257ea9259ba989770&o=,https://www.booking.com/hotel/am/aregak-b-amp-b.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, Tour o clase sobre cultura local, Parking en un garaje, Ruso, Desayuno, Terraza, Jardín, Perchero, Recepción 24 horas, Zona TV / salón de uso compartido, Zona de pícnic, Fruta, Papel higiénico, Chimenea exterior, Bañera o ducha, Guardaequipaje, Juegos de mesa / puzles, Wifi básica gratis (14 Mbps), Escritorio, Tetera / cafetera, Cenas temáticas, Baño compartido, Servicio de lavandería, Plancha para ropa, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Cocina, Adaptado para sillas de ruedas, Barbacoa, Tetera/cafetera en todas las habitaciones, Nevera, Información turística, Utensilios de planchado, Zona de juegos para niños, Alquiler de bicicletas, Servicio de despertador / alarma, Clases de cocina, Restaurante, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Inglés, Lavadora, Traslado aeropuerto, Mobiliario exterior, Armario, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Tendedero, Menús para dietas especiales (bajo petición), Parking gratis, Hervidor eléctrico, Vino / champán, Tours a pie, Buffet para niños, Servicio de traslado, Ropa de cama, Servicio de despertador",Goris,Armenia,"Aregak B&B and Tours tiene jardín, salón de uso común, terraza y restaurante en Goris. Este alojamiento, que tiene servicio de habitaciones, también ofrece zona de juegos infantil. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

En el hostal o pensión, cada habitación tiene escritorio. Algunas habitaciones de este alojamiento tienen baño compartido con ducha y artículos de aseo gratuitos, y también incluyen vistas a la ciudad. En Aregak B&B and Tours, las habitaciones incluyen ropa de cama y toallas.

El aeropuerto (Aeropuerto de Parsabad) está a 225 km."
Lovely Goris,US$9,"8,9",Fabuloso,169,https://cf.bstatic.com/xdata/images/hotel/max1024x768/480809283.webp?k=f0dc242aa44276047f6629a0a38841484a47722b7653eb9ec79675b7b1a4bc08&o=,https://www.booking.com/hotel/am/hostel-goris.es.html?aid=2410095,"Papel higiénico, Secador de pelo, Servicio de lavandería, Cocina, Barbacoa, Zona de comedor, Habitaciones insonorizadas, Utensilios de planchado, Zona de fumadores, Zona de juegos para niños, Sala de juegos, Tendedero, Pesca, Zona de estar, Ducha, Parking en un garaje, Desayuno, Senderismo, Perchero, Zona de pícnic, Juegos de mesa / puzles, Zona de juegos interior, Escritorio, Tetera / cafetera, Barandillas protectoras para bebés, Barandillas de seguridad para bebés, Calefacción, Cama plegable, Galerías de arte temporales, Entretenimiento nocturno, Zona de comedor exterior, WiFi gratis, Alquiler de bicicletas, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Tours en bici, Habitaciones familiares, Cochecitos de bebé, Armario, Cocina compartida, Supermercado pequeño en el alojamiento, Hervidor eléctrico, WC, Ruso, Productos de limpieza, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Chimenea exterior, Desayuno en la habitación, Libros, DVD o música para niños, Servicio de limpieza diario, Toallas, Inglés, Ping pong, Utensilios de cocina, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Terraza, Jardín, Cámaras de seguridad en las zonas comunitarias, Vistas a un patio interior, Servicio de aparcacoches, Plancha para ropa, Tetera/cafetera en todas las habitaciones, Nevera, Información turística, Mosquitera, Fogones, Mesa de comedor, Mobiliario exterior, Habitaciones sin humo, Parking gratis, Zona de cocina, Tours a pie",Goris,Armenia,"Lovely Goris, en Goris, ofrece alojamiento de 3 estrellas con jardín, salón de uso común y terraza. Este alojamiento ofrece cocina compartida y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay parking privado gratis y albergue también dispone de alquiler de bicicletas para descubrir los alrededores.

Las unidades están equipadas con nevera, fogones, hervidor, ducha, secador de pelo y escritorio. En el albergue, las habitaciones están equipadas con ropa de cama y toallas.

Lovely Goris ofrece zona de juegos infantil.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 226 km."
Hayi Tun Guest House,US$25,"9,7",Excepcional,227,https://cf.bstatic.com/xdata/images/hotel/max1024x768/302685038.webp?k=6cdcc2d24e25f569e014fc95786ec00bacb9ce430e3799d3f8c70ea263071304&o=,https://www.booking.com/hotel/am/hayi-tun-guest-house.es.html?aid=2410095,"Estación de carga de vehículos eléctricos, Máquina expendedora (aperitivos), Servicio de lavandería, Cocina, Barbacoa, Servicio de entrega de comestibles, Zona de juegos para niños, Boles para mascotas, Sala de juegos, Pesca, Protector de enchufes para niños, Ciclismo, Parking en un garaje, Tour o clase sobre cultura local, Traslado aeropuerto (gratis), Senderismo, Peluquería / salón de belleza, Zona de pícnic, Juegos de mesa / puzles, Zona de juegos interior, Tetera / cafetera, Barandillas protectoras para bebés, Barandillas de seguridad para bebés, Galerías de arte temporales, Entretenimiento nocturno, Zona de comedor exterior, WiFi gratis, Eventos deportivos en directo (emisión), Capilla, Alquiler de bicicletas, Aseo adicional, Tours en bici, Habitaciones familiares, Lavadora, Discoteca / DJ, Tarjetas de transporte público, Cochecitos de bebé, Suelo de moqueta, Cocina compartida, Máquina expendedora (bebidas), Equipamiento de tenis, Hervidor eléctrico, Servicio de traslado, Ruso, Zona TV / salón de uso compartido, Fruta, Vistas a un lugar de interés, Cafetera, Equitación, Servicio de planchado, Desayuno en la habitación, Libros, DVD o música para niños, Patio, Servicio de limpieza diario, Desayuno excepcional, Llave de acceso, Baño privado, Toallas, Inglés, Ping pong, Traslado aeropuerto, Utensilios de cocina, Insonorización, Vino / champán, Horno, Vestidor, Terraza, Jardín, Vistas a un patio interior, Cenas temáticas, Tetera/cafetera en todas las habitaciones, Fogones, Mesa de comedor, Toda la unidad accesible en silla de ruedas, Mobiliario exterior, Ruta de bares, Habitaciones sin humo, Microondas, Parking gratis, Zona de cocina, Tours a pie, Equipamiento de bádminton",Goris,Armenia,"Hayi Tun Guest House, en Goris, ofrece alojamiento con jardín y zona de barbacoa. Este alojamiento, que cuenta con habitaciones familiares, también ofrece zona de juegos infantil. El alojamiento ofrece cocina compartida y salón de uso común.

En el hostal o pensión, las habitaciones tienen terraza. Cada habitación incluye cafetera, baño privado y wifi gratis, y algunas también ofrecen balcón (en algunos casos, con vistas a la ciudad ). Las habitaciones cuentan con horno.

Se puede jugar al ping-pong en Hayi Tun Guest House, y la zona es ideal para practicar pesca y ciclismo.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 225 km del alojamiento."
Hotel Mirhav,US$79,"9,3",Fantástico,149,https://cf.bstatic.com/xdata/images/hotel/max1024x768/381390134.webp?k=9de411c4a959808b34c170a8280b24f73ee71bba26d56f0178f48d31ad14a465&o=,https://www.booking.com/hotel/am/mirhav.es.html?aid=2410095,"Menú para niños, Papel higiénico, Guardaequipaje, Secador de pelo, Servicio de lavandería, Lavamanos más bajo, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Cafetería en el alojamiento, Servicio de entrega de comestibles, Zona de fumadores, Francés, Noches de cine, Parking en la calle, Clases de cocina, Detectores de humo, Habitaciones hipoalergénicas, Servicio de conserjería, Protector de enchufes para niños, Buffet para niños, Ducha, Tour o clase sobre cultura local, Senderismo, Perchero, Zona de pícnic, Alemán, Juegos de mesa / puzles, Escritorio, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, Galerías de arte temporales, WiFi gratis, Eventos deportivos en directo (emisión), Equipamiento de juegos para exterior, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Teléfono, Armario, WC, Fax / fotocopiadora, Servicio de traslado, Ruso, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Zapatillas, Vistas a la montaña, Servicio de planchado, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Parking adaptado para personas de movilidad reducida, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Terraza, Jardín, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Suelo de madera o parquet, Servicio de aparcacoches, Cenas temáticas, TV, Vistas a la ciudad, Proporciona factura, Salas de reuniones / banquetes, Bar, Restaurante, Ascensor, Mobiliario exterior, Canales por cable, Habitaciones sin humo, Happy hour, Parking gratis, Centro de negocios, Música / espectáculos en directo, Tours a pie, Alarma de seguridad, Servicio de despertador",Goris,Armenia,"Hotel Mirhav tiene jardín, salón de uso común, terraza y restaurante en Goris. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas de las habitaciones también ofrecen zona de cocina con nevera, minibar y fogones. Las unidades disponen de armario.

El desayuno diario ofrece opciones buffet, continentales o vegetarianas.

La clientela puede practicar actividades en Goris y alrededores, como senderismo.

En recepción se habla alemán, inglés, francés y ruso, y el personal está siempre dispuesto a echar una mano.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 224 km."
Khoreayi Dzor,US$47,"9,2",Fantástico,94,https://cf.bstatic.com/xdata/images/hotel/max1024x768/528379174.webp?k=945ec76a5dda8bdb1c0e2dab972fefb591252e69ba531f9dcc0111692a81d628&o=,https://www.booking.com/hotel/am/khoreayi-dzor.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Terraza, Jardín, Perchero, TV de pantalla plana, Papel higiénico, Bañera o ducha, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, 2 restaurantes, Calefacción, Artículos de aseo gratis, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Francés, Salas de reuniones / banquetes, Bar, Restaurante, Baño privado, Habitaciones familiares, Toallas, Inglés, Armario, Habitaciones sin humo, Suelo de moqueta, Parking gratis, Hervidor eléctrico, WC",Goris,Armenia,"Khoreayi Dzor dispone de jardín, terraza, restaurante y bar en Goris. Hotel ofrece parking privado gratis y wifi gratis.

En el hotel, cada habitación está equipada con escritorio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas habitaciones también ofrecen vistas a la ciudad. Las habitaciones del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 223 km del alojamiento."
Zangezur Hotel,US$42,"8,8",Fabuloso,31,https://cf.bstatic.com/xdata/images/hotel/max1024x768/145367506.webp?k=2686090168efc152fc71839ad6a998efe20068e2fbf88cb70599643f0e3129b9&o=,https://www.booking.com/hotel/am/zangezur.es.html?aid=2410095,"Menú para niños, Papel higiénico, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Barbacoa, Cafetería en el alojamiento, Servicio de entrega de comestibles, Habitaciones insonorizadas, Zona de fumadores, Utensilios de planchado, Parking en la calle, Detectores de humo, Sofá, Protector de enchufes para niños, Buffet para niños, Ducha, Desayuno, Peluquería / salón de belleza, Senderismo, Perchero, Cajero automático en el hotel, Escritorio, Calefacción, Cama plegable, WiFi gratis, Alquiler de bicicletas, Enchufe cerca de la cama, Habitaciones familiares, Teléfono, Lavadora, Ventilador, Vistas, Armario, Suelo de moqueta, Supermercado pequeño en el alojamiento, Hervidor eléctrico, WC, Cambio de moneda, Ruso, TV de pantalla plana, Recepción 24 horas, Bañera, Zona TV / salón de uso compartido, Fruta, Zapatillas, Vistas a la montaña, Servicio de planchado, Sofá cama, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Cámaras de seguridad fuera del alojamiento, Vino / champán, Servicio de habitaciones, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Bañera o ducha, Vistas a un patio interior, Suelo de madera o parquet, Servicio de aparcacoches, Plancha para ropa, TV, Vistas a la ciudad, Aire acondicionado, Nevera, Bar, Mesa de comedor, Restaurante, Canales por cable, Habitaciones sin humo, Parking gratis, Habitaciones comunicadas disponibles, Minibar, Servicio de despertador",Goris,Armenia,"Zangezur Hotel dispone de bicicletas gratis, salón de uso común, restaurante y bar en Goris. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Todas las unidades incluyen aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, hervidor, ducha, artículos de aseo gratuitos y escritorio. Las habitaciones del alojamiento tienen baño privado con bañera y secador de pelo, y también disponen de vistas a la ciudad. Las unidades incluyen armario.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 225 km del alojamiento."
Kirch Hotel & Restaurant,US$43,"9,1",Fantástico,119,https://cf.bstatic.com/xdata/images/hotel/max1024x768/160079169.webp?k=ba7deef4eaf289b2595bd657f71a1d9e9611be5a3cf1afcc3320aef732688100&o=,https://www.booking.com/hotel/am/kirch.es.html?aid=2410095,"Corte de pelo, Personal de animación, Menú para niños, Papel higiénico, Guardaequipaje, Servicio de lavandería, Servicios de belleza, Extintores, Artículos de aseo gratis, Armenio, Barbacoa, Cafetería en el alojamiento, Servicio de entrega de comestibles, Zona de fumadores, Zona de juegos para niños, Parking en la calle, Clases de cocina, Bañera de hidromasaje / jacuzzi, Habitaciones hipoalergénicas, Pesca, Buffet para niños, Ciclismo, Ducha, Tour o clase sobre cultura local, Peluquería / salón de belleza, Senderismo, Perchero, Zona de pícnic, Juegos de mesa / puzles, Servicios de maquillaje, Zona de juegos interior, Escritorio, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, Galerías de arte temporales, Zona de comedor exterior, WiFi gratis, Eventos deportivos en directo (emisión), Capilla, Alquiler de bicicletas, Equipamiento de juegos para exterior, Servicios de depilación, Enchufe cerca de la cama, Almuerzos para llevar, Tours en bici, Habitaciones familiares, Teléfono, Tarjetas de transporte público, Cochecitos de bebé, Vistas, Suelo de moqueta, Supermercado pequeño en el alojamiento, Hervidor eléctrico, WC, Cambio de moneda, Servicio de traslado, Ruso, Productos de limpieza, TV de pantalla plana, Recepción 24 horas, Bañera, Tinte, Fruta, Zapatillas, Vistas a la montaña, 2 restaurantes, Equitación, Servicio de planchado, Servicio de limpieza diario, Desayuno excepcional, Baño privado, Toallas, Inglés, Traslado aeropuerto, Peinado, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Canguro / servicios para niños, Registro de entrada y salida exprés, Ropa de cama, Toda la unidad en la planta baja, Servicio de habitaciones, Terraza, Jardín, Manicura, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Pedicura, Bañera o ducha, Entrada privada, Servicio de aparcacoches, Tratamientos capilares, Tratamientos faciales, TV, Aire acondicionado, Proporciona factura, Información turística, Mosquitera, Bar, Restaurante, Habitaciones sin humo, Parking gratis, Música / espectáculos en directo, Tours a pie, Habitaciones comunicadas disponibles, Tratamientos corporales, Alarma de seguridad, Servicio de despertador, Equipamiento de bádminton",Goris,Armenia,"Kirch Hotel & Restaurant tiene jardín, terraza, restaurante y bar en Goris. Este alojamiento, que tiene habitaciones familiares, también ofrece zona de juegos infantil. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación dispone de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones están equipadas con hervidor, algunas ofrecen balcón y otras también incluyen vistas a la ciudad.

Kirch Hotel & Restaurant ofrece desayuno inglés/irlandés completo o vegetariano.

La zona es ideal para practicar senderismo y ciclismo, y hay alquiler de bicicletas eneste hotel de 4 estrellas.

El aeropuerto (Aeropuerto de Parsabad) está a 226 km."
Christy Hotel,US$37,"9,4",Fantástico,40,https://cf.bstatic.com/xdata/images/hotel/max1024x768/47460014.webp?k=2a3e32ba1335e0976a6dc9249b778712fe7469c8134aca9ecaf93f807c857f7d&o=,https://www.booking.com/hotel/am/christy.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Productos de limpieza, Ruso, Desayuno, Terraza, Jardín, TV de pantalla plana, Bañera, Recepción 24 horas, Peluquería / salón de belleza, Español, Zona de pícnic, Papel higiénico, Chimenea exterior, Bañera o ducha, Canales vía satélite, Suelo de madera o parquet, Zapatillas, Servicio de aparcacoches, Secador de pelo, Servicio de lavandería, Secadora de ropa, Calefacción, TV, Artículos de aseo gratis, Zona de comedor exterior, WiFi gratis, Barbacoa, Desayuno en la habitación, Servicio de planchado, Zona de fumadores, Mosquitera, Patio, Salas de reuniones / banquetes, Servicio de despertador / alarma, Servicio de limpieza diario, Restaurante, Bañera de hidromasaje / jacuzzi, Baño privado, Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Habitaciones familiares, Toallas, Albornoz, Inglés, Traslado aeropuerto, Ventilador, Insonorización, Mobiliario exterior, Armario, Canales por cable, Plancha para pantalones, Habitaciones sin humo, Parking gratis, WC, Fax / fotocopiadora, Ropa de cama, Servicio de despertador",Goris,Armenia,"El Christy Hotel es un establecimiento con conexión Wi-Fi y aparcamiento gratuitos situado en el centro de Goris, una ciudad famosa por sus edificios antiguos y por sus casas cueva medievales. La iglesia St Gregory y el teatro dramático están a solo un paseo.

Las habitaciones son amplias y presentan un diseño y mobiliario modernos. Están equipadas con TV de pantalla plana por cable, ventilador y baño privado con ducha, secador de pelo y artículos de aseo gratuitos.

El restaurante del Hotel Christy sirve platos tradicionales armenios. El establecimiento está a 10 minutos a pie de varias cafeterías. El hotel ofrece café y té gratuitos para los huéspedes.

La parada de autobús más cercana está a pocos metros. El aeropuerto internacional de Zvartnots está a 245 km."
NNN Guest House,US$12,"9,3",Fantástico,26,https://cf.bstatic.com/xdata/images/hotel/max1024x768/345861606.webp?k=9e46c3da49b6d88c917f540a055925cf71c88d674da9a3cc7533f6ed1fa6ce6d&o=,https://www.booking.com/hotel/am/noy-goris1.es.html?aid=2410095,"Papel higiénico, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Cocina, Armenio, Barbacoa, Zona de comedor, Cafetería en el alojamiento, Servicio de entrega de comestibles, Utensilios de planchado, Parking en la calle, Sofá, Tendedero, Protector de enchufes para niños, Zona de estar, Ducha, Peluquería / salón de belleza, Balcón, Perchero, Senderismo, Zona de pícnic, Juegos de mesa / puzles, Tetera / cafetera, Baño compartido, Calefacción, Cama plegable, Zona de comedor exterior, WiFi gratis, Enchufe cerca de la cama, Lavadora, Ventilador, Vistas, Armario, Vistas al jardín, Suelo de moqueta, Cocina compartida, Supermercado pequeño en el alojamiento, Hervidor eléctrico, WC, Ruso, Productos de limpieza, TV de pantalla plana, Bañera, Zona TV / salón de uso compartido, Fruta, Vistas a un lugar de interés, Hipoalergénico, Vistas a la montaña, Servicio de planchado, Aseo compartido, Sofá cama, Libros, DVD o música para niños, Servicio de limpieza diario, Llave de acceso, Toallas, Utensilios de cocina, Insonorización, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Reproductor de DVD, Ropa de cama, Toda la unidad en la planta baja, Terraza, Jardín, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Entrada privada, Vistas a un patio interior, Suelo de madera o parquet, Plancha para ropa, TV, Vistas a la ciudad, Nevera, Fogones, Mesa de comedor, Suelo de baldosa / mármol, Canales por cable, Parking gratis, Reproductor de CD",Goris,Armenia,"NNN Guest House está en Goris y tiene jardín, salón de uso común, terraza y wifi gratis. Este alojamiento, que tiene cocina compartida, también ofrece barbacoa. Las habitaciones están equipadas con un balcón con vistas a la ciudad.

En el hostal o pensión, las habitaciones cuentan con zona de estar, TV de pantalla plana con canales vía satélite, cocina, zona de comedor y baño compartido con artículos de aseo gratuitos, ducha secador de pelo. En NNN Guest House, cada habitación cuenta con ropa de cama y toallas.

El aeropuerto (Aeropuerto de Parsabad) está a 227 km."
