hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Finca Naranjal,https://www.booking.com/hotel/co/finca-naranjal.es.html?aid=2410095,"Hotel Finca Naranjal tiene jardín, salón de uso común, restaurante y bar en Granada. Este alojamiento, que tiene servicio de habitaciones, también ofrece zona de juegos infantil. Hay piscina al aire libre, wifi gratis y parking privado gratis.

En el hotel se puede disfrutar de un desayuno americano.

En Hotel Finca Naranjal, la clientela puede disfrutar de bañera de hidromasaje. Puedes jugar al billar en el alojamiento.

El personal de recepción ofrece ayuda las 24 horas.

El aeropuerto (Aeropuerto de La Vanguardia) está a 87 km.","Juegos de mesa / puzles, Zona de juegos para niños, Caja fuerte, Cafetería en el alojamiento, Habitaciones sin humo, Servicios de belleza, Recepción 24 horas, Cenas temáticas, Servicio de limpieza diario, Jardín, Extintores, Aire acondicionado, Menú para niños, Snack-bar, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, WiFi gratis, Buen desayuno, Servicios de maquillaje, Servicio de habitaciones, Toallas de playa/piscina, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Zona de juegos interior, Mobiliario exterior, Adecuada para niños, Servicios de depilación, Llave de acceso, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Billar, Tumbonas/sillas de playa, Habitaciones familiares, Español, 2 piscinas, Tratamientos faciales, Sombrillas, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/157442279.jpg?k=c0bb79fc9eca7978fe94612a3647dfa8cc723407227c39772edd986acfc406ab&o=&hp=1,Granada,Colombia
Hotel Confort Ariari,https://www.booking.com/hotel/co/confort-ariari.es.html?aid=2410095,"Hotel Confort Ariari ofrece habitaciones con aire acondicionado en Granada. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones disponen de escritorio y TV de pantalla plana. Todas las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 86 km.","Terraza, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Aire acondicionado, Armario, Información turística, Parking gratis, Muy buen desayuno, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Plancha para ropa, Productos de limpieza, Canales por cable, Alquiler de bicicletas, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/82923405.jpg?k=3adb71ff95aae3c35b57f518bd7123c83b6f51bb73cd26af6a31430add42e619&o=&hp=1,Granada,Colombia
HOTEL PALMA ROJA,https://www.booking.com/hotel/co/palma-roja-granada.es.html?aid=2410095,"HOTEL PALMA ROJA se encuentra en Granada y dispone de bar. Este hotel de 3 estrellas ofrece jardín y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, todas las habitaciones están equipadas con armario y TV de pantalla plana, y algunas también ofrecen balcón.

En HOTEL PALMA ROJA se puede disfrutar de un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 86 km del alojamiento.","Desayuno, Armario, Jardín, Perchero, Prohibido fumar en todo el alojamiento, Bar, Parking gratis, Baño privado, TV de pantalla plana, Toallas, Papel higiénico, Español, Recepción 24 horas, Aire acondicionado, WiFi gratis, Ducha, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540097949.jpg?k=f776c1ce20acf4ba1553870edd8bc8e4e105a02f6c45e7c9ac3f47d0bb30950a&o=&hp=1,Granada,Colombia
Villaunión,https://www.booking.com/hotel/co/villaunion-granada.es.html?aid=2410095,"Villaunión se encuentra en Granada y ofrece terraza. Este apartamento dispone de parking privado gratis y recepción 24 horas.

Este apartamento de 1 dormitorio ofrece wifi gratis, TV de pantalla plana vía satélite, lavadora y cocina con nevera. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 85 km del alojamiento.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Reproductor de Blu-ray, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Vistas, Recepción 24 horas, Extintores, Cocina, TV, Discoteca / DJ, Información turística, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Karaoke, Zona de cocina, Proporciona factura, Canales por cable, Cafetera, Vistas a la montaña, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Vistas al río, Francés, Canales vía satélite, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Español, Nevera",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570834296.jpg?k=c8067379595aae2d4320f54e6de33cd34023d30d48177fb3406b21efc1655cd8&o=&hp=1,Granada,Colombia
Hotel - Rancho JJ,https://www.booking.com/hotel/co/rancho-jj-granada-meta.es.html?aid=2410095,"Hotel - Rancho JJ tiene piscina al aire libre, salón de uso común, restaurante y bar en Granada. Hay terraza solárium, wifi gratis y parking privado gratis.

En el hotel, las habitaciones tienen balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas al jardín. En Hotel - Rancho JJ, las habitaciones incluyen aire acondicionado y TV de pantalla plana.

En el alojamiento se sirve cada mañana un desayuno americano.

Se puede jugar al billar, al ping-pong y a los dardos en Hotel - Rancho JJ, y la zona es ideal para practicar senderismo.

El aeropuerto (Aeropuerto de La Vanguardia) está a 89 km.","Desayuno, Servicio de entrega de comestibles, Dardos, Sombrillas, Horario de apertura, Almuerzos para llevar, Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Senderismo, Vistas, Cenas temáticas, Baño privado, Hipoalergénico, Extintores, Aire acondicionado, Vino / champán, Perchero, Equipamiento de bádminton, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Ping pong, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Bingo, Mobiliario exterior, Piscina al aire libre, Minigolf, Alquiler de bicicletas, Desayuno en la habitación, Vistas al jardín, Para todas las edades, Baño al aire libre, WC, Máquina expendedora (bebidas), Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Billar, Balcón, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Habitaciones familiares, Español, Piscina con vistas, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581293753.jpg?k=fabf0fe47f48f91ca15e017bae2381b8c72412b3a3436c02715f514068b90776&o=&hp=1,Granada,Colombia
Hotel y restaurante LA CACHAMERA,https://www.booking.com/hotel/co/y-restaurante-la-cachamera.es.html?aid=2410095,"Hotel y restaurante LA CACHAMERA se encuentra en Granada y dispone de piscina al aire libre, jardín, restaurante y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel se sirve todas las mañanas un desayuno americano.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 88 km.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Aire acondicionado, Jardín, 2 restaurantes, Parking gratis, Tours en bici, WiFi gratis, Servicio de habitaciones, Tours a pie, Piscina al aire libre, Para todas las edades, Restaurante, Abierta todo el año, Habitaciones familiares, Español, Zona poco profunda",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526329828.jpg?k=2f5e54718da6245e244a7ba12c232e2abb6c58ba59f6688c16e2c0439cbf5777&o=&hp=1,Granada,Colombia
COMO EN CASA,https://www.booking.com/hotel/co/como-en-casa-granada.es.html?aid=2410095,"COMO EN CASA se encuentra en Granada. El alojamiento dispone de wifi gratis en todo el alojamiento.

Este apartamento cuenta con 2 dormitorios, una sala de estar y una cocina totalmente equipada.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 85 km del alojamiento.","Zona de cocina, Prohibido fumar en todo el alojamiento, Parking gratis, Español, WiFi gratis, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526084814.jpg?k=b7d9d0539b257577f4fa74ee5cf2aa5b1cade15842ea8428bf2fc2e267e9c9b5&o=&hp=1,Granada,Colombia
Apartamento amoblado 204,https://www.booking.com/hotel/co/apartamento-amoblado-204.es.html?aid=2410095,"Apartamento amoblado 204 se encuentra en Granada. Se puede disfrutar de la wifi gratis en todo el alojamiento.

Este apartamento tiene aire acondicionado y cuenta con 2 dormitorios, TV de pantalla plana por cable, zona de comedor y cocina con nevera y fogones.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 84 km.","Ventilador, Inglés, Aire acondicionado, Apartamento privado en edificio, TV, Cocina, Armario, Cámaras de seguridad en las zonas comunitarias, Fogones, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Mesa de comedor, Zona de cocina, Plancha para ropa, Canales por cable, Cafetera, Zona de estar, Escritorio, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Zona de comedor, TV de pantalla plana, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/337457018.jpg?k=b4cf98ad9d6e47a72dc4cc4fa61c7efa93eaa7d4319e85835a21d71ceed29339&o=&hp=1,Granada,Colombia
La Casa Campestre - Refugio,https://www.booking.com/hotel/co/la-casa-campestre-refugio.es.html?aid=2410095,"La Casa Campestre - Refugio está en Granada y ofrece vistas al jardín, piscina al aire libre, jardín, salón de uso común, restaurante y zona de barbacoa. La casa o chalet ofrece wifi y parking privado, ambos gratis.

Todas las unidades tienen zona de estar, TV de pantalla plana y baño privado con artículos de aseo gratuitos, bidet, ducha y bañera de hidromasaje. Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y tostadora.

En La Casa Campestre - Refugio se puede disfrutar de un desayuno a la carta.

El alojamiento ofrece zona de juegos infantil.

En La Casa Campestre - Refugio, la clientela puede jugar al billar en el propio alojamiento o practicar senderismo en los alrededores.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 88 km.","Desayuno, Alarma de seguridad, Habitaciones sin humo, Senderismo, Baño privado, Jardín, Extintores, Equipamiento de juegos para exterior, Parking gratis, Fogones, Ropa de cama, Cocina compartida, Mesa de comedor, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Alquiler de bicicletas, Zona de comedor exterior, Zona de comedor, Restaurante, Horno, Vestidor, Cenas temáticas, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Patio, WiFi gratis, Enchufe cerca de la cama, Pesca, Piscina al aire libre, Cafetera, Vistas a un patio interior, Zona de estar, Llave de acceso, Salas de reuniones / banquetes, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Utensilios de cocina, Sombrillas, Papel higiénico, Suelo de baldosa / mármol, Juegos de mesa / puzles, Almuerzos para llevar, TV, Armario, Piscina pequeña, Seguridad 24 horas, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Barbacoa, Tours a pie, Sofá, Bañera de hidromasaje, Vistas al jardín, WC, TV de pantalla plana, Toallas, Español, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Baños públicos, Recepción 24 horas, Vino / champán, Información turística, Registro de entrada / salida privado, Entrada privada, Menús para dietas especiales (bajo petición), Ducha, Plancha para ropa, Bidet, Para todas las edades, Servicio de lavandería, Piscina infantil, Billar, Abierta todo el año, Tumbonas/sillas de playa, Zona poco profunda, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524017967.jpg?k=00dde06af387ec0d6a9d0f281e18f920459f4a3db5a6f7a82c9ba8ce428e650a&o=&hp=1,Granada,Colombia
Casa de descanso cerca al cañon del Güejar,https://www.booking.com/hotel/co/casa-de-descanso-cerca-al-canon-del-guejar.es.html?aid=2410095,"Casa de descanso cerca al cañon del Güejar, que cuenta con bañera de hidromasaje, se encuentra en Granada. Esta casa o chalet ofrece terraza, además de wifi gratis.

Esta casa o chalet de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 85 km del alojamiento.","Zona de cocina, Terraza, Inglés, Portugués, Italiano, Francés, Parking gratis, TV de pantalla plana, Lavadora, Vistas, Español, Bañera de hidromasaje, WiFi gratis, Aire acondicionado, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540817089.jpg?k=5095409954a1f551109d6ad4d0a2e659f86ddc7f175c4d40ca1c3c31d22cab0d&o=&hp=1,Granada,Colombia
