hotel,hotel_url,description,popular_facilities,highres_url,city,country
La Rosa Nautica Hostel,https://www.booking.com/hotel/co/la-rosa-nautica-hostel.es.html?aid=2410095,"La Rosa Nautica Hostel dispone de jardín, salón de uso común, terraza y bar en Guaduas. El alojamiento ofrece recepción 24 horas, servicio de traslado, cocina compartida y wifi gratis en todo el alojamiento.

En el albergue, todas las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Puedes jugar al billar en La Rosa Nautica Hostel.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 109 km.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Lavamanos más bajo, Recepción 24 horas, Servicio de limpieza diario, Ventilador, Baño privado, Jardín, Extintores, Inglés, TV, Armario, Tour o clase sobre cultura local, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Barandillas protectoras para bebés, Zona de fumadores, Zona de juegos interior, Pesca, Canales por cable, Guiado auditivo, Llave de acceso, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Bar, Billar, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Fax / fotocopiadora, Sala de juegos, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567413008.jpg?k=a4b89cc550154747c1dcbabdcbcff8e9270e01feff2bc9783f4d67ec86936377&o=&hp=1,Guaduas,Colombia
Hotel La Casona 1859,https://www.booking.com/hotel/co/la-casona-guaduas1.es.html?aid=2410095,"Hotel La Casona 1859 se encuentra en Guaduas y dispone de jardín, terraza y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

Todas las habitaciones están equipadas con baño privado, algunas ofrecen balcón y otras también disponen de vistas al jardín.

En el albergue se sirve todos los días un desayuno americano.

La zona es ideal para practicar ciclismo, y en Hotel La Casona 1859 hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 108 km del alojamiento.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Servicios de belleza, Senderismo, Recepción 24 horas, Servicio de limpieza diario, Baño privado, Jardín, Cochecitos de bebé, Extintores, Manicura, Ciclismo, Parking, Tour o clase sobre cultura local, Información turística, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Servicio de conserjería, Muy buen desayuno, Tours en bici, Capilla, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Proporciona factura, Zona de juegos interior, Tours a pie, Alquiler de bicicletas, Desayuno en la habitación, Parque acuático, Llave de acceso, Peinado, Guardaequipaje, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Pedicura, Habitaciones familiares, Español, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564604284.jpg?k=e69cd804cf78dd3de9decb3eb8f6192e9a49154f20e4a9658d81b190d413c6c9&o=&hp=1,Guaduas,Colombia
Hotel Policarpa,https://www.booking.com/hotel/co/policarpa-guaduas.es.html?aid=2410095,"Hotel Policarpa está en Guaduas. Hay wifi gratis y se ofrece parking privado por un suplemento.

El hotel dispone de algunas unidades con terraza, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En Hotel Policarpa, todas las habitaciones incluyen TV de pantalla plana con canales por cable.

El personal del alojamiento puede dar consejos en la recepción 24 horas.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 108 km.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Parking en un garaje, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Barandillas protectoras para bebés, Ruta de bares, Servicio de aparcacoches, Parking privado, Peluquería / salón de belleza, Productos de limpieza, Canales por cable, Llave de acceso, Servicio de lavandería, Máquina expendedora (bebidas), Terraza / solárium, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/294459703.jpg?k=bcf76a736ba8cfd5b556ae5f9f639450431b8c3e04adda08f6ab7404cb759c20&o=&hp=1,Guaduas,Colombia
LA AVENIDA ALOJAMIENTO,https://www.booking.com/hotel/co/la-avenida-alojamiento.es.html?aid=2410095,"LA AVENIDA ALOJAMIENTO ofrece alojamiento en Guaduas. El hotel también dispone de wifi gratis y parking privado gratis.

En el hotel, cada habitación dispone de baño privado y ducha, y algunas también ofrecen balcón. En LA AVENIDA ALOJAMIENTO, todas las habitaciones disponen de ropa de cama y toallas.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 109 km.","WC, Prohibido fumar en todo el alojamiento, Zona de comedor, Parking gratis, Habitaciones sin humo, Baño privado, Toallas, Habitaciones familiares, Papel higiénico, Ropa de cama, Recepción 24 horas, Ventilador, Español, WiFi gratis, Ducha, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506182163.jpg?k=66b5799be6a8829d34aad9df747d2bd795eafbea6726cf85284263d6b699b4de&o=&hp=1,Guaduas,Colombia
Villa Apolonia,https://www.booking.com/hotel/co/villa-apolonia.es.html?aid=2410095,"Villa Apolonia está en Guaduas y tiene jardín, salón de uso común y wifi gratis en todo el alojamiento. Se ofrece parking privado por un suplemento.

En el hostal o pensión, las habitaciones están equipadas con patio. Las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

La recepción ofrece ayuda de forma ininterrumpida.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 109 km.","Baños públicos, Habitaciones sin humo, Senderismo, Recepción 24 horas, Ventilador, Baño privado, Jardín, TV, Toda la unidad accesible en silla de ruedas, Zona TV / salón de uso compartido, Parking en un garaje, Patio, WiFi gratis, Ducha, Proporciona factura, Parking privado, Mobiliario exterior, Bañera, Guardaequipaje, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/136793059.jpg?k=9e568544307617bb29e96f033055bb32b0bf0c94be31b6cf49540dbea2c1e51a&o=&hp=1,Guaduas,Colombia
Celestino - Casa de Huespedes,https://www.booking.com/hotel/co/celestino-casa-de-huespedes.es.html?aid=2410095,"Celestino - Casa de Huespedes está en Guaduas y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de terraza.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 108 km.","Inglés, Armario, Terraza, WC, Portugués, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, TV de pantalla plana, Toallas, Habitaciones familiares, Ropa de cama, Español, Ventilador, Toda la unidad en la planta baja, Artículos de aseo gratis, WiFi gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528536862.jpg?k=bd7e5521adbe42609ccc64dd498df98daf914db7bfcc8f02e58e0557791ad419&o=&hp=1,Guaduas,Colombia
Quinta Baroe,https://www.booking.com/hotel/co/quinta-baroe.es.html?aid=2410095,"Quinta Baroe tiene piscina al aire libre, jardín, terraza y restaurante en Guaduas. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

Las habitaciones de este alojamiento están equipadas con zona de estar y TV de pantalla plana. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

Hay opciones continentales o americanas de desayuno disponibles cada mañana en el hotel.

La clientela puede practicar actividades en Guaduas y alrededores, como ciclismo.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 108 km.","Terraza, Sombrillas, Horario de apertura, Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Senderismo, Ventilador, Cenas temáticas, Inglés, Baño privado, Jardín, Desayuno fantástico, Fax / fotocopiadora, TV, Extintores, Ciclismo, Tour o clase sobre cultura local, Traslado aeropuerto, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Parking en un garaje, Patio, Tours en bici, Ropa de cama, Entrada privada, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Ruta de bares, Barbacoa, Productos de limpieza, Tours a pie, Piscina al aire libre, Zona de estar, Equitación, Servicio de despertador, Servicio de planchado, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Piscina con vistas, Artículos de aseo gratis, Aseo compartido, Papel higiénico, Piscina privada, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/424518504.jpg?k=52d8f30fd5f02a5464ace64ec5eeffefeb33bf993f2beaf5098f6dff6c1b630a&o=&hp=1,Guaduas,Colombia
Matisia Hotel Boutique,https://www.booking.com/hotel/co/matisia-boutique.es.html?aid=2410095,"Matisia Hotel Boutique está en Guaduas y ofrece bar. Hay piscina al aire libre abierta todo el año, wifi gratis y parking privado gratis.

En el hotel, las habitaciones disponen de aire acondicionado, escritorio, terraza con vistas a la piscina, baño privado, TV de pantalla plana, ropa de cama y toallas. Las unidades tienen caja fuerte.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 108 km.","Desayuno, Secador de pelo, Terraza, Sombrillas, Piscina climatizada, Caja fuerte, Bañera o ducha, Teléfono, Toallas / sábanas (por un suplemento), Vistas a la piscina, Minibar, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Extintores, TV, Armario, Vino / champán, Perchero, Baño adicional, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Patio, Entrada privada, Ropa de cama, WiFi gratis, Ducha, Toallas de playa/piscina, Mesa de comedor, Enchufe cerca de la cama, Proporciona factura, Productos de limpieza, Piscina al aire libre, Hervidor eléctrico, Tarjeta de acceso, Vistas a un patio interior, Solo para adultos, Escritorio, Cámaras de seguridad fuera del alojamiento, Bar, Zona de comedor, TV de pantalla plana, Canales vía satélite, Adaptado personas de movilidad reducida, Toallas, Abierta todo el año, Tumbonas/sillas de playa, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/422461172.jpg?k=0a03733bd2029ea5eb32293c0823ae800bd12688c445aa3e4cf9f2cbb456baad&o=&hp=1,Guaduas,Colombia
Hotel Buganvilla,https://www.booking.com/hotel/co/hostal-buganvilla.es.html?aid=2410095,"Hotel Buganvilla se encuentra en Guaduas y dispone de wifi gratis. El alojamiento ofrece salón de uso común, recepción 24 horas y cambio de moneda.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 108 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Cambio de moneda, Recepción 24 horas, Extintores, Información turística, Snack-bar, Sala de juegos, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Seguridad 24 horas, WiFi gratis, Proporciona factura, Mobiliario exterior, Alquiler de bicicletas, Llave de acceso, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/352130886.jpg?k=a889850d828c1b9ebf410e97e4d09afc83f57e6a4145e26ca536e7dd38e7bf5c&o=&hp=1,Guaduas,Colombia
La Rosa Náutica Club,https://www.booking.com/hotel/co/la-rosa-nautica-club.es.html?aid=2410095,"La Rosa Náutica Club tiene jardín, terraza, restaurante y bar en Guaduas. Hay barbacoa, wifi gratis y parking privado gratis.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Puedes jugar al billar en el hotel.

El personal de la recepción 24 horas puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 110 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Baños públicos, Recepción 24 horas, Jardín, Extintores, Perchero, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Parking en un garaje, Bar en la piscina, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Toallas de playa/piscina, Proporciona factura, Zona de fumadores, Zona de pícnic, Barbacoa, Mobiliario exterior, Piscina al aire libre, Llave de acceso, Para todas las edades, Salas de reuniones / banquetes, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Billar, Abierta todo el año, Tumbonas/sillas de playa, Habitaciones familiares, Español, Sombrillas, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545840085.jpg?k=c53cef2f2b0a3f36ca9a2f51422fee1ac724cfede373ad15c79cfac7b3829eea&o=&hp=1,Guaduas,Colombia
