hotel,hotel_url,description,popular_facilities,highres_url,city,country
Sama Jauka,https://www.booking.com/hotel/ec/sama-jauka.es.html?aid=2410095,"Sama Jauka se encuentra en Guano, a 44 km de Chimborazo Volcano, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay bar.

En el hotel, cada habitación incluye balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la montaña.

En Sama Jauka se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 266 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Perchero, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Vistas a la montaña, WC, Bar, Restaurante, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/500453089.jpg?k=9038edd724896d22556961cf6fdb71c34b92ef2cc4843ab359b4cfdff50e9446&o=&hp=1,Guano,Ecuador
Hotel Marquez de Guano,https://www.booking.com/hotel/ec/las-ruinas.es.html?aid=2410095,"Hotel Marquez de Guano ofrece alojamiento en Guano. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 45 km de Chimborazo Volcano.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones incluyen baño privado.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 265 km.","Desayuno, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Cafetería en el alojamiento, Habitaciones sin humo, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Baño privado, Extintores, Vino / champán, Información turística, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Parking en un garaje, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/159757711.jpg?k=958eee4e1aaebd8fb1656d676f07cdc743910dd7b6f593c33c4bf6d49b9531c2&o=&hp=1,Guano,Ecuador
Cabaña para su descanso,https://www.booking.com/hotel/ec/cabana-para-su-descanso.es.html?aid=2410095,"Cabaña para su descanso se encuentra a 45 km de Chimborazo Volcano, en Guano, y ofrece alojamiento con cocina. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 268 km.","Zona de cocina, Parking gratis, Balcón, Vistas, Español, Vistas al jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567221297.jpg?k=a8e4dee88a10b06a797aa248b1332c4a8ea8f0232b56ed5ef848840b7f5df1d3&o=&hp=1,Guano,Ecuador
Minkana Hotel,https://www.booking.com/hotel/ec/minkana.es.html?aid=2410095,"Minkana Hotel está en Guano, a 44 km de Chimborazo Volcano, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El alojamiento ofrece karaoke y servicio de conserjería.

En el resort, todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades cuentan con nevera.

Minkana Hotel ofrece desayuno buffet o americano.

El alojamiento ofrece zona de juegos infantil. Puedes jugar al billar en Minkana Hotel.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 268 km.","Desayuno, Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Tour o clase sobre cultura local, Equipamiento de juegos para exterior, Parking gratis, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Baño al aire libre, Zona de comedor, Restaurante, Piscina privada, Sala de juegos, Piscina interior, Servicio de entrega de comestibles, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Enchufe cerca de la cama, Desayuno en la habitación, Zona de estar, Equitación, Chimenea exterior, Acceso al salón executive, Escritorio, Salas de reuniones / banquetes, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Juegos de mesa / puzles, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Adaptado para sillas de ruedas, TV, Armario, Seguridad 24 horas, Sauna, Vistas a un lugar de interés, Karaoke, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Tours a pie, Vistas a la montaña, Secadora de ropa, Vistas al jardín, Servicio de planchado, Guardaequipaje, WC, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Zona de fumadores, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Baños públicos, Recepción 24 horas, Inglés, Vino / champán, Perchero, Información turística, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Gimnasio, Servicio de despertador, Servicio de lavandería, Piscina infantil, Billar, Tumbonas/sillas de playa, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548241511.jpg?k=20fdeefcead9d81656187f5af5979ce6e8c9f67fc4045eb5a4e9eee62911af29&o=&hp=1,Guano,Ecuador
Cabaña de campo Guano Ecuador,https://www.booking.com/hotel/ec/cabana-de-campo-guano-ecuador.es.html?aid=2410095,"Cabaña de campo Guano Ecuador se encuentra en Guano, a solo 40 km de Chimborazo Volcano, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis.

La casa o chalet dispone de terraza, 1 dormitorio, sala de estar y cocina bien equipada con minibar. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto internacional José Joaquín de Olmedo) está a 231 km del alojamiento.","Zona de cocina, Terraza, Inglés, Barbacoa, Prohibido fumar en todo el alojamiento, Parking gratis, TV de pantalla plana, Vistas, Español, Bañera de hidromasaje, Minibar, WiFi gratis, Vistas al jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529835283.jpg?k=2d230cf118138fee60262db7e0c05e5ac1d5a3c0666899f5817244801f2b62b2&o=&hp=1,Guano,Ecuador
Rancho Descanso,https://www.booking.com/hotel/ec/rancho-descanso.es.html?aid=2410095,"Rancho Descanso se encuentra en Guano. Esta casa o chalet tiene acceso a una zona de cocina totalmente equipada.

Hay parking privado gratis en la casa o chalet.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 268 km.","Zona de cocina, Parking gratis, Español, Vistas, Vistas al jardín",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479661968.jpg?k=b22e2bea8e4b9de10f6fb41bda4722458586ebfb6af139e3e27b492176fe636a&o=&hp=1,Guano,Ecuador
Rio Hotel,https://www.booking.com/hotel/ec/rio-riobamba.es.html?aid=2410095,"El Rio Hotel ocupa una casa de estilo colonial con una decoración típica ecuatoriana situada en Riobamba. Dispone de restaurante y WiFi gratuita.

Toas habitaciones ofrecen TV por cable de pantalla plana y baño privado. Además, hay habitaciones con vistas a la ciudad.

Este hotel cuenta con recepción 24 horas.

El Rio Hotel está situado en el centro, rodeado de iglesias, museos y parques. El Rio Hotel se encuentra a 10 km de San Andrés, a 40 km de Baños y a 48 km de Ambato.","Secador de pelo, Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Muebles de exterior, Vistas, Recepción 24 horas, Inglés, Baño privado, TV, Armario, Información turística, Baño adicional, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Parking privado, Canales por cable, Acceso al salón executive, WC, Trona, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/125101675.jpg?k=22c2672dca4b02ee1f1d0a176e72ce6c44f1df08160127fe971619b3a75ba7cc&o=&hp=1,Guano,Ecuador
Hotel El Altar,https://www.booking.com/hotel/ec/el-altar.es.html?aid=2410095,"El Hotel El Altar está situado en Riobamba, a 39 km de Baños, y ofrece alojamientos con capacidad para animales de compañía, WiFi gratuita y un restaurante. El hotel tiene parque infantil, vistas a la ciudad y restaurante. Dispone de aparcamiento privado gratuito.

Las habitaciones disponen de TV vía satélite. También tienen baño privado.

La recepción está abierta las 24 horas.

San Andrés se encuentra a 8 km del Hotel El Altar y Ambato, a 46 km.","Servicio de entrega de comestibles, Terraza, Spa y centro de bienestar, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Caja fuerte, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Recepción 24 horas, Calefacción, Baño privado, Centro de negocios, Extintores, TV, Armario, Traslado aeropuerto, Perchero, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Fruta, Boles para mascotas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Detectores de humo, Bañera de hidromasaje / jacuzzi, Plancha para ropa, Zona de juegos interior, Canales por cable, Desayuno en la habitación, Acceso al salón executive, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Canales vía satélite, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Toda la unidad en la planta baja, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/180966002.jpg?k=c1466b52540b694212bca60254872c23b2ae602dacd271483016dad157d5605e&o=&hp=1,Guano,Ecuador
Tiki Hostel,https://www.booking.com/hotel/ec/hostel-diablo.es.html?aid=2410095,"Tiki Hostel está en Riobamba, a 49 km de Chimborazo Volcano, y dispone de alojamiento con bicicletas gratis, parking privado gratis, jardín y salón de uso común. Este alojamiento, que tiene cocina compartida, también ofrece terraza. El alojamiento ofrece servicio de conserjería, mostrador de información turística y guardaequipaje.

Las habitaciones del alojamiento tienen wifi gratis y baño compartido con ducha. Algunas habitaciones ofrecen patio.

Se puede jugar al ping-pong en el albergue, y la zona es ideal para practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional José Joaquín de Olmedo) está a 226 km.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Entretenimiento nocturno, Senderismo, Noches de cine, Servicio de limpieza diario, Inglés, Jardín, Baño compartido, Información turística, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Ping pong, Servicio de conserjería, Zona TV / salón de uso compartido, Tours en bici, Fruta, WiFi gratis, Ducha, Cocina compartida, Proporciona factura, Música / espectáculos en directo, Ruta de bares, Zona de fumadores, Mobiliario exterior, Tours a pie, Taquillas, Bañera, Alquiler de bicicletas, Solo para adultos, Guardaequipaje, WC, Toallas, Español, Happy hour, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584273455.jpg?k=f2756896f84376891a219b66b3e50fbf2e02e505502b854423c1bd3d2bcc37a4&o=&hp=1,Guano,Ecuador
Quindeloma Art Hotel & Gallery,https://www.booking.com/hotel/ec/quindeloma-art-and-gallery.es.html?aid=2410095,"Quindeloma Art Hotel & Gallery se encuentra en Riobamba, a 49 km de Chimborazo Volcano, y ofrece alojamiento con centro de fitness, parking privado gratis, jardín y salón de uso común. El alojamiento cuenta con restaurante y también tiene terraza, bañera de hidromasaje y centro de spa. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación incluye escritorio. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la ciudad. Las habitaciones del alojamiento incluyen TV de pantalla plana con canales por cable y caja fuerte.

El desayuno diario ofrece opciones buffet, continentales o americanas.

La zona es ideal para practicar ciclismo, y en Quindeloma Art Hotel & Gallery hay alquiler de bicicletas.

La clientela puede usar el centro de negocios o relajarse en el bar

El aeropuerto más cercano (Aeropuerto internacional José Joaquín de Olmedo) está a 225 km del alojamiento.","Secador de pelo, Terraza, Spa y centro de bienestar, Horario de apertura, Alarma de seguridad, Teléfono, Habitaciones sin humo, Senderismo, Suelo de madera o parquet, Baño privado, Jardín, Centro de negocios, Extintores, Instalaciones de spa, Tour o clase sobre cultura local, Servicio de limpieza en seco, Parking gratis, Bar en la piscina, Tours en bici, Servicio de habitaciones, Masaje de pies, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Masaje de cabeza, Alquiler de bicicletas, Restaurante, Masaje de espalda, Piscina interior, Vestidor, Cafetería en el alojamiento, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, Capilla, WiFi gratis, Enchufe cerca de la cama, Taquillas en el gimnasio / spa, Canales por cable, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Parque acuático, Llave de acceso, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Juegos de mesa / puzles, Piscina climatizada, Almuerzos para llevar, Caja fuerte, Masaje de manos, TV, Ciclismo, Armario, Masajes, Servicio de traslado, Galerías de arte temporales, Seguridad 24 horas, Detectores de humo, Bañera de hidromasaje / jacuzzi, Aeróbic, Zona de pícnic, Barbacoa, Tours a pie, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Francés, Bar, TV de pantalla plana, Toallas, Español, Zona de fumadores, Recepción 24 horas, Inglés, Calefacción, Masaje en pareja, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Taquillas, Gimnasio, Eventos deportivos en directo (emisión), Servicio de despertador, Para todas las edades, Servicio de lavandería, Masaje corporal completo, Piscina infantil, Abierta todo el año, Tumbonas/sillas de playa, Zona poco profunda, Artículos de aseo gratis, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/492027229.jpg?k=2c341460a1535b335e91cc904f4ae635bd47b90704dcabc017c1f8f2d67a7e5c&o=&hp=1,Guano,Ecuador
