hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Holiday Inn Guayaquil Airport, an IHG Hotel",https://www.booking.com/hotel/ec/holiday-inn-guayaquil-bolivar-airport.es.html?aid=2410095,"El Holiday Inn Guayaquil Airport se encuentra en Guayaquil. Alberga un centro de negocios, una piscina al aire libre y un gimnasio moderno con vistas a la ciudad. Dispone de conexión Wi-Fi gratuita y sirve un desayuno bufé. El aeropuerto internacional José Joaquín de Olmedo queda a 4 minutos a pie.

Las habitaciones del Holiday Inn Guayaquil Airport son modernas y cuentan con conexión Wi-Fi gratuita, cafetera y TV de alta definición. Incluyen un servicio de limpieza diario.

El Holiday Inn Guayaquil Airport ofrece servicios de guardería, limpieza en seco y lavandería. El hotel también cuenta con un salón abierto las 24 horas.

El establecimiento se halla a 15 minutos en coche del centro de la ciudad de Guayaquil y a 10 minutos en coche del centro de convenciones de Guayaquil.","Entretenimiento nocturno, Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Utensilios de planchado, Eventos deportivos en directo (emisión), Servicio de planchado, Plancha para ropa, Menús para dietas especiales (bajo petición), Parking gratis, Llave de acceso, Traslado aeropuerto, Buffet para niños, Salas de reuniones / banquetes, Happy hour, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Bar, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Menú para niños, Alquiler de coches, Gimnasio, Alarma de seguridad, WC, Servicio de traslado, Lavamanos más bajo, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Apoyo visual: carteles táctiles, Solo para adultos, Vino / champán, Snack-bar, Información turística, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Centro de negocios, Apoyo visual: braille, Fax / fotocopiadora, Ascensor, Adaptado personas de movilidad reducida, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, WC con barras de apoyo, Piscina al aire libre, Habitaciones sin humo, Restaurante, Enchufe cerca de la cama, Música / espectáculos en directo, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Insonorización, Guardaequipaje, Escritorio, De temporada, Adaptado para sillas de ruedas, Ducha, Parking adaptado para personas de movilidad reducida, Desayuno en la habitación, Piscina en la azotea, Desayuno fabuloso, Habitaciones familiares, Tarjeta de acceso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516707988.jpg?k=c06c8d36e79cd6a5bc27c84764cea000634753b071ee62b9a8616b25f8d3e57a&o=&hp=1,Guayaquil,Ecuador
Courtyard by Marriott Guayaquil,https://www.booking.com/hotel/ec/courtyard-by-marriott-guayaquil.es.html?aid=2410095,"El Courtyard by Marriott Guayaquil ocupa un impresionante edificio a 2 km del World Trade Centre de Guayaquil y dispone de jardín con piscina, centro de fitness y restaurante. Hay restaurante y WiFi gratuita.

Las habitaciones del Marriott Guayaquil Courtyard tienen suelo de moqueta y una decoración sobria con muebles de madera. Todas cuentan con TV de plasma y amplias zonas de estar.

El desayuno, el almuerzo y la cena se pueden pedir en NOVO Restaurant & Bar, que ofrece una amplia variedad de comida mediterránea. También hay una cafetería que abre las 24 horas.

El centro de fitness incluye aparatos cardiovasculares, pesas y bicicletas estáticas. Los huéspedes pueden disfrutar leyendo libros de la biblioteca en el salón. La piscina cuenta con tumbonas.
El establecimiento está a 3,8 km de la terminal de autobuses y a 2 km del aeropuerto internacional José Joaquín de Olmedo.","Parking en un garaje, Solárium, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Plancha para pantalones, Plancha para ropa, Muy buen desayuno, Masajes, Parking gratis, Tratamientos faciales, Perchero, Happy hour, Terraza, Bañera o ducha, Zona de spa / relajación, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Masaje de pies, Nevera, Canales por cable, Proporciona factura, Terraza / solárium, Zona de fumadores, Cafetería en el alojamiento, Centro de negocios, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, TV de pantalla plana, Ropa de cama, Horario de apertura, Piscina en la azotea, Habitaciones familiares, Tarjeta de acceso, Adaptado personas de movilidad reducida, Cafetera, Tinte, Traslado aeropuerto, Armario, Masaje de cabeza, Suelo de moqueta, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Servicios de belleza, Fax / fotocopiadora, Exfoliación corporal, Caja fuerte para ordenador portátil, Habitaciones sin humo, Música / espectáculos en directo, Spa y centro de bienestar, Guardaequipaje, Peluquería / salón de belleza, Instalaciones de spa, Reloj despertador, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, TV, Cámaras de seguridad fuera del alojamiento, Servicios de maquillaje, Menú para niños, Masaje corporal completo, Snack-bar, Secador de pelo, Apoyo visual: braille, Abierta todo el año, Corte de pelo, Bañera, Baño privado, Aire acondicionado, Piscina al aire libre, Supermercado pequeño en el alojamiento, Peinado, Pedicura, Escritorio, Tetera / cafetera, Adaptado para sillas de ruedas, Ducha, Teléfono, Utensilios de planchado, Menús para dietas especiales (bajo petición), Radio, Paquetes de spa / bienestar, Pediluvio, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Tetera/cafetera en todas las habitaciones, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Servicios de depilación, Acceso a pisos superiores en ascensor, Tumbonas/sillas de playa, Toallas, Ascensor, WC con barras de apoyo, Restaurante, Tratamientos corporales, Recepción 24 horas, Servicio de despertador / alarma, Masaje en pareja, Masaje de cuello, Manicura, Desayuno en la habitación, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/459583465.jpg?k=cf629bb7f681b547338f5d92e8006973a546c8726c85444f49f1a901dd2f3339&o=&hp=1,Guayaquil,Ecuador
Wyndham Garden Guayaquil,https://www.booking.com/hotel/ec/wyndham-garden-guayaquil.es.html?aid=2410095,"Este hotel, situado a 3 minutos del aeropuerto internacional José Joaquín de Olmedo y a 800 metros de la plaza del Sol, ofrece alojamiento moderno en la zona comercial y financiera principal de Guayaquil. Además, alberga un centro de bienestar y proporciona WiFi y aparcamiento gratuitos.

Las habitaciones del Hotel Wyndham Garden Guayaquil son lujosas y están amuebladas con camas confortables y almohadas de plumas. Cuentan con aire acondicionado, TV LCD por cable, cafetera y escritorio. El servicio de habitaciones está disponible las 24 horas, todos los días.

Las instalaciones de bienestar incluyen una sauna finlandesa y una bañera de hidromasaje. Además, el Hotel Wyndham Garden Guayaquil alberga un gimnasio.

El restaurante Check In sirve un desayuno buffet completo y almuerzos y cenas a la carta. Por otro lado, hay una barra de sushi y se ofrecen platos nacionales e internacionales para la cena, así como una selección de vinos exquisitos.

Se proporciona WiFi gratis y el servicio de traslado está sujeto a confirmación","Entretenimiento nocturno, Fruta, Prohibido fumar en todo el alojamiento, Servicio de planchado, Muy buen desayuno, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Traslado aeropuerto, Salas de reuniones / banquetes, Happy hour, Terraza, Caja fuerte, Seguridad 24 horas, Habitaciones hipoalergénicas, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Menú para niños, Gimnasio, Alarma de seguridad, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Baño de vapor, Terraza / solárium, Vino / champán, Snack-bar, Zona de fumadores, Secador de pelo, Cafetería en el alojamiento, Centro de negocios, 2 restaurantes, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Sauna, Habitaciones sin humo, Habitaciones familiares, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, Traslado aeropuerto (gratis), Adaptado personas de movilidad reducida, Tarjeta de acceso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558981347.jpg?k=e07b818543832655396306aac19bd66ccb00cfb6fd185f204ecd5bdeae243072&o=&hp=1,Guayaquil,Ecuador
Radisson Hotel Guayaquil,https://www.booking.com/hotel/ec/radisson-guayaquil.es.html?aid=2410095,"Radisson Hotel Guayaquil se encuentra en Guayaquil, a 3,8 km de Iglesia de San Francisco, y ofrece alojamiento con centro de fitness, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de traslado gratuito y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El hotel dispone de bañera de hidromasaje y recepción 24 horas.

En el hotel se puede disfrutar de un desayuno buffet.

Hay un bar en el propio alojamiento, y también se puede usar la zona business.

Malecón 2000 está a 4,4 km del alojamiento, y Estadio Ramón Unamuno está a 3,6 km. El aeropuerto más cercano (Aeropuerto internacional José Joaquín de Olmedo) está a 3 km.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Muy buen desayuno, Parking gratis, Sombrillas, Llave de acceso, Servicio de limpieza diario, Traslado aeropuerto, Terraza, Seguridad 24 horas, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Servicio de lavandería, Bar, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Menú para niños, Gimnasio, Alarma de seguridad, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Terraza / solárium, Vino / champán, Cafetería en el alojamiento, Centro de negocios, Apoyo visual: braille, Ascensor, Adaptado personas de movilidad reducida, Bañera de hidromasaje / jacuzzi, Español, Aire acondicionado, WC con barras de apoyo, Piscina al aire libre, Habitaciones sin humo, Restaurante, Extintores, Supermercado pequeño en el alojamiento, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Traslado aeropuerto (gratis), Adaptado para sillas de ruedas, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares, Tarjeta de acceso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521210947.jpg?k=0ca41018f8f9d4765eec5addba99cfdf2cf097dbcf40f2dfa7ecdbee8b2b23c4&o=&hp=1,Guayaquil,Ecuador
Hotel Marcelius,https://www.booking.com/hotel/ec/marcelius.es.html?aid=2410095,"El Hotel Marcelius está ubicado a 10 minutos del aeropuerto internacional José Joaquín de Olmedo, en la zona de Kennedy Norte, y ofrece piscina pequeña y habitaciones con conexión WiFi gratuita.

Las habitaciones del Hotel Marcelius son luminosas e incluyen aire acondicionado, suelo de baldosa blanca y TV de pantalla plana por cable. Estas habitaciones son modernas y están decoradas con muebles elegantes de madera oscura. Todas las habitaciones tienen baño privado con ducha.

El Marcelius sirve un desayuno continental completo con fruta tropical a diario. El restaurante del hotel está decorado de forma elegante, con mesas de mármol pequeñas, y sirve sabores regionales. Además, hay servicio de habitaciones.

Los huéspedes de este hotel podrán disfrutar de una copa en la cafetería de la piscina o hacer ejercicio en el gimnasio del establecimiento. Hay aparcamiento gratuito.

El San Marino Mall está a solo 50 metros. Los lugares de interés del centro de Guayaquil se hallan a 12 minutos en coche.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Canales vía satélite, Servicio de planchado, Plancha para pantalones, Menús para dietas especiales (bajo petición), Parking gratis, Radio, Llave de acceso, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Para todas las edades, Piscina pequeña, Inglés, Baños públicos, Gimnasio, Alarma de seguridad, WC, Lavamanos más bajo, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Acceso a pisos superiores en ascensor, Jardín, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Centro de negocios, Ascensor, Abierta todo el año, Español, Baño privado, Aire acondicionado, Caja fuerte para ordenador portátil, WC con barras de apoyo, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Buen desayuno, Adaptado para sillas de ruedas, Ducha, Horario de apertura, Parking adaptado para personas de movilidad reducida, Teléfono, Adaptado personas de movilidad reducida, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/57316657.jpg?k=19a857f594e2ceea27f7c8a0b2289d74280aababeb439217e94df1238b798586&o=&hp=1,Guayaquil,Ecuador
Airport Hotel Guayaquil,https://www.booking.com/hotel/ec/airport.es.html?aid=2410095,"El Airport Hotel Guayaquil ofrece restaurante, conexión WiFi gratuita y aparcamiento privado gratuito a unos 2 minutos en coche del aeropuerto internacional José Joaquín de Olmedo.

Las habitaciones cuentan con aire acondicionado, escritorio, TV por cable y baño privado con ducha, secador de pelo y artículos de aseo gratuitos. Además, gozan de vistas a la ciudad.

El Airport Hotel Guayaquil dispone de recepción 24 horas, terraza, bar, salón compartido y mostrador de información turística.

El hotel está a 4,6 km del Malecón 2000 y a 600 metros del centro comercial Mall del Sol y el centro de convenciones de Guayaquil.","Entretenimiento nocturno, Parking en un garaje, Plancha para ropa, Menús para dietas especiales (bajo petición), Parking gratis, Servicio de limpieza diario, Terraza, Servicio de despertador, Bañera o ducha, Caja fuerte, Armario, Servicio de lavandería, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Gimnasio, WC, Canales por cable, Proporciona factura, Canales de pago, Servicio de habitaciones, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Snack-bar, Información turística, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Zona de fumadores, Fax / fotocopiadora, Ascensor, Bañera, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Zona TV / salón de uso compartido, Restaurante, Extintores, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Buen desayuno, Ducha, Desayuno en la habitación, Teléfono, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518060193.jpg?k=fd4cac204d72787c3e24fc585a6de5bf730d6534c0afa369a53bf33c8540dce1&o=&hp=1,Guayaquil,Ecuador
"Wyndham Guayaquil, Puerto Santa Ana",https://www.booking.com/hotel/ec/wyndham-guayaquil.es.html?aid=2410095,"El Wyndham Guayaquil, Puerto Santa Ana se encuentra en Guayaquil y ofrece piscina, centro de fitness y habitaciones con wifi gratis y Smart TV. Alberga un restaurante. Está a 8 km del Museo Municipal de Guayaquil.

Las habitaciones del Wyndham Guayaquil, Puerto Santa Ana tienen ventanas grandes y moqueta. También incluyen calefacción, aire acondicionado y baño privado. Algunas habitaciones ofrecen vistas panorámicas al río.

El establecimiento sirve un desayuno diario por un suplemento. El restaurante del establecimiento elabora platos internacionales, mientras que el bar ofrece bebidas y aperitivos.

El Wyndham Guayaquil, Puerto Santa Ana está a 180 km de la zona de Playa Montañita. El aeropuerto internacional José Joaquín de Olmedo se halla a 4,8 km.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Plancha para pantalones, Masajes, Tratamientos faciales, Terraza, Detectores de humo, WiFi gratis, Masaje de pies, Baños públicos, Lavamanos más bajo, Terraza / solárium, Centro de negocios, Taquillas en el gimnasio / spa, Almuerzos para llevar, Taquillas, Español, Zona TV / salón de uso compartido, Extintores, Traslado aeropuerto (gratis), Horario de apertura, Piscina en la azotea, Desayuno fabuloso, Adaptado personas de movilidad reducida, Habitaciones familiares, Tarjeta de acceso, Traslado aeropuerto, Masaje de cabeza, Alarma de seguridad, WC, Solo para adultos, Masaje de espalda, Cajero automático en el hotel, Servicios de belleza, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Habitaciones sin humo, Spa y centro de bienestar, Guardaequipaje, Instalaciones de spa, Reloj despertador, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Secador de pelo, Apoyo visual: braille, Abierta todo el año, Baño privado, Aire acondicionado, Piscina al aire libre, Supermercado pequeño en el alojamiento, Adaptado para sillas de ruedas, Calefacción, Entretenimiento nocturno, Parking, Menús para dietas especiales (bajo petición), Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Gimnasio, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Servicios de depilación, Toallas de playa/piscina, Ascensor, WC con barras de apoyo, Sauna, Restaurante, Recepción 24 horas, Masaje en pareja, Masaje de cuello, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/232620409.jpg?k=623fed2f4d458a54e3909f4cf503b167e05c2c6e94d62dc1dee100215f6179d3&o=&hp=1,Guayaquil,Ecuador
DC Suites Aeropuerto,https://www.booking.com/hotel/ec/dc.es.html?aid=2410095,"El DC Suites es un alojamiento independiente situado en Guayaquil. Hay conexión WiFi gratuita. El establecimiento se encuentra a 0,5 km del aeropuerto internacional José Joaquín de Olmedo y a 1 km del centro comercial Mall del Sol.

El apartamento dispone de TV, aire acondicionado y zona de estar. El baño privado incluye ducha y artículos de aseo gratuitos. También incluyen reproductor de CD y canales vía satélite.

El jardín botánico se encuentra a 5 km. El DC Suites ofrece un servicio de enlace con el aeropuerto por un suplemento de 5 USD.","Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Terraza, Papel higiénico, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Español, Aire acondicionado, Habitaciones sin humo, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Guardaequipaje, Buen desayuno, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/144030449.jpg?k=eb1165e96869fd3ab239c528b76ffe9cae9e1cab79ad2a10b00d18b8b9e238c8&o=&hp=1,Guayaquil,Ecuador
Hotel Garzota Inn,https://www.booking.com/hotel/ec/garzota-inn-airport-guayaquil.es.html?aid=2410095,"El Hotel Garzota Inn está situado junto al aeropuerto internacional José Joaquín de Olmedo y ofrece desayuno buffet gratuito y recepción 24 horas.

Las habitaciones disponen de aire acondicionado, armario y baño privado con ducha y aseo.

El establecimiento se encuentra a 5 minutos a pie del centro comercial Mall del Sol y a 2 km de restaurantes y bares.

El Hotel Garzota Inn se encuentra a 20 minutos en coche de los parques De las Iguanas y De las Peñas y ofrece servicio de lavandería.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Eventos deportivos en directo (emisión), Plancha para pantalones, Plancha para ropa, Parking gratis, Terraza, Bañera o ducha, Mobiliario exterior, Detectores de humo, WiFi gratis, Nevera, Baños públicos, Trona, Canales por cable, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Centro de negocios, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Secadora de ropa, Habitaciones familiares, Adaptado personas de movilidad reducida, Fruta, Mesa de comedor, Desayuno, Traslado aeropuerto, Ruso, Armario, Alarma de seguridad, WC, Bañera de hidromasaje, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Habitaciones sin humo, Vistas, WC elevado, Guardaequipaje, Entrada privada, Parking adaptado para personas de movilidad reducida, Minibar, Registro de entrada y salida exprés, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Acceso al salón executive, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Libros, DVD o música para niños, Secador de pelo, Productos de limpieza, Bañera, Baño privado, Aire acondicionado, Balcón, Vestidor, Escritorio, Vídeo, Adaptado para sillas de ruedas, Ducha, Camas extralargas (más de 2 metros), Teléfono, Utensilios de planchado, Canales vía satélite, Menús para dietas especiales (bajo petición), Radio, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Toallas, Información turística, Ascensor, WC con barras de apoyo, Vistas a la ciudad, Restaurante, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Hipoalergénico, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/64524013.jpg?k=36379895e787859734e0c146c8624000eba072006913b54440e25a2a17b3ad26&o=&hp=1,Guayaquil,Ecuador
Hotel Murali - Cerca del Aeropuerto de Guayaquil,https://www.booking.com/hotel/ec/hostal-murali.es.html?aid=2410095,"El Hotel Murali - Cerca del Aeropuerto de Guayaquil se encuentra en Guayaquil. El albergue ofrece conexión WiFi gratuita y aparcamiento privado gratuito.

Las habitaciones disponen de aire acondicionado, TV por cable, baño privado con ducha y caja fuerte.

El Hotel Murali - Cerca del Aeropuerto de Guayaquil cuenta con recepción 24 horas, jardín y servicio de enlace con el aeropuerto internacional José Joaquín De Olmedo, situado a solo 5 minutos en coche.

El establecimiento se encuentra a 5 km del Malecón 2000, a 5 minutos a pie del centro comercial Mall del Sol y a 10 minutos a pie del parque histórico de Guayaquil.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Canales vía satélite, Servicio de planchado, Plancha para pantalones, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de aparcacoches, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Alquiler de coches, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Centro de negocios, Fax / fotocopiadora, Tours a pie, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Ducha, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/421494074.jpg?k=07b44fd4aa0c5eadf07f35d43e55f82608ef1d8098329ffe73a7777482651fc7&o=&hp=1,Guayaquil,Ecuador
