hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Araks Hotel Complex,US$22,"8,6",Fabuloso,1.077,https://cf.bstatic.com/xdata/images/hotel/max1024x768/259629215.webp?k=a4fc50b42f2ff5cb656aef0ea28e3411454d9af5a2eab82ae96cc8a27e4b6512&o=,https://www.booking.com/hotel/am/araks-gyumri.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Parking en un garaje, Tour o clase sobre cultura local, Ruso, Fax / fotocopiadora, Personal de animación, Recepción 24 horas, Perchero, Seguridad 24 horas, Abierta todo el año, Zona de pícnic, Fruta, Cámaras de seguridad en las zonas comunitarias, Chimenea exterior, Guardaequipaje, Canales vía satélite, Zapatillas, Caja fuerte, Servicio de lavandería, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, TV, Cama plegable, Calefacción, Proporciona factura, WiFi gratis, Buen desayuno, Barbacoa, Cafetería en el alojamiento, Desayuno en la habitación, Información turística, Piscina interior, Servicio de planchado, Servicio de entrega de comestibles, Salas de reuniones / banquetes, Zona de fumadores, Bar, Clases de cocina, Servicio de limpieza diario, Restaurante, Llave de acceso, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Habitaciones insonorizadas, Traslado aeropuerto, Armario, Habitaciones sin humo, Baño de vapor, Menús para dietas especiales (bajo petición), Supermercado pequeño en el alojamiento, Parking gratis, Cámaras de seguridad fuera del alojamiento, Pesca, WC, Vino / champán, Música / espectáculos en directo, Tours a pie, Toallas de playa/piscina, Canguro / servicios para niños, Registro de entrada y salida exprés, Servicio de traslado",Gyumri,Armenia,"Araks Hotel Complex se encuentra en Gyumri y dispone de bar, zona de barbacoa y wifi gratis. Hay un restaurante de cocina americana y parking privado gratis.

En el hotel, cada habitación cuenta con armario. En Araks Hotel Complex, cada habitación está equipada con TV y algunas también ofrecen vistas a la ciudad.

En el alojamiento se puede disfrutar de un desayuno buffet.

El personal habla inglés y ruso, y estará encantado de dar información sobre la zona en la recepción 24 horas.

El aeropuerto (Aeropuerto internacional de Shirak) está a 4 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Lime Hotel & Restaurant Complex,US$25,"9,1",Fantástico,841,https://cf.bstatic.com/xdata/images/hotel/max1024x768/304540348.webp?k=1e2aa12341e3f89f75019c849893ad49ab510b0af31022f6423b76aa245ab85e&o=,https://www.booking.com/hotel/am/lime-amp-restaurant-complex.es.html?aid=2410095,"Ruso, Servicio de limpieza en seco, Recepción 24 horas, Jardín, Menú para niños, Peluquería / salón de belleza, Cajero automático en el hotel, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Aire acondicionado, Proporciona factura, Desayuno fantástico, Armenio, WiFi gratis, Barbacoa, Servicio de planchado, Habitaciones insonorizadas, Zona de fumadores, Bar, Servicio de limpieza diario, Restaurante, Detectores de humo, Habitaciones familiares, Inglés, Traslado aeropuerto, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Supermercado pequeño en el alojamiento, Parking gratis, Cámaras de seguridad fuera del alojamiento, Vino / champán, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, Alarma de seguridad",Gyumri,Armenia,"Lime Hotel & Restaurant Complex se encuentra en Gyumri y ofrece alojamiento de 5 estrellas con jardín, restaurante y bar. Este alojamiento, que cuenta con servicio de limpieza en seco, también ofrece barbacoa. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cajero automático y wifi gratis en todo el alojamiento.

El hotel ofrece servicio de planchado, así como fax y fotocopiadora.

El aeropuerto más cercano (Aeropuerto internacional de Shirak) está a 5 km del alojamiento."
Olympic Hotel,US$25,"8,2",Muy bien,138,https://cf.bstatic.com/xdata/images/hotel/max1024x768/200367664.webp?k=6856dec96430f059450c273b79d6d07b15eaceebf30c24fe05d7aee4b5258a88&o=,https://www.booking.com/hotel/am/olympic.es.html?aid=2410095,"Menú para niños, Karaoke, Guardaequipaje, Servicio de lavandería, Sombrillas, Servicios de belleza, Armenio, Cafetería en el alojamiento, Servicio de entrega de comestibles, Clases de fitness, Zona de fumadores, Instalaciones para deportes acuáticos en el alojamiento, Parking en la calle, Entrenador personal, Servicio de conserjería, Sala de juegos, Buffet para niños, Tour o clase sobre cultura local, Desayuno, Senderismo, Perchero, Servicios de maquillaje, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, Exfoliación corporal, WiFi gratis, Eventos deportivos en directo (emisión), Equipamiento de juegos para exterior, Pediluvio, Almuerzos para llevar, Tours en bici, Habitaciones familiares, Taquillas en el gimnasio / spa, Discoteca / DJ, Vistas, Tobogán de agua, Equipamiento de tenis, Fax / fotocopiadora, Servicio de traslado, Ruso, TV de pantalla plana, Recepción 24 horas, Bañera, Zona TV / salón de uso compartido, Tinte, Fruta, Servicio de planchado, Desayuno en la habitación, Servicio de limpieza diario, Llave de acceso, Inglés, Traslado aeropuerto, Peinado, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Servicio de habitaciones, Servicio de limpieza en seco, Manicura, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Pedicura, Sauna, Alquiler de coches, Servicio de aparcacoches, Cenas temáticas, Tratamientos capilares, Tratamientos faciales, Aire acondicionado, Gimnasio, Información turística, Salas de reuniones / banquetes, Bar, Restaurante, Habitaciones sin humo, Parking gratis, Centro de negocios, Música / espectáculos en directo, Tours a pie, Tratamientos corporales, Alarma de seguridad",Gyumri,Armenia,"Olympic Hotel ofrece alojamiento en Gyumri. El alojamiento tiene un bar y un restaurante que sirve cocina de Oriente Medio. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis.

En el hotel, las habitaciones disponen de TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

La zona es ideal para practicar senderismo, y en Olympic Hotel hay alquiler de coches.

El aeropuerto (Aeropuerto internacional de Shirak) está a 6 km."
Guest House in Gyumri,US$20,"9,6",Excepcional,439,https://cf.bstatic.com/xdata/images/hotel/max1024x768/259779763.webp?k=6c127f33ac9fea5c2e5a56d47c71b876e40e0f5795b6aa777fbf89cd297a5240&o=,https://www.booking.com/hotel/am/guest-house-in-gumri.es.html?aid=2410095,"Ruso, Habitaciones sin humo, Desayuno excepcional, Tour o clase sobre cultura local, Cocina compartida, Terraza, Llave de acceso, Jardín, Parking gratis, Tours en bici, Habitaciones familiares, Tours a pie, Seguridad 24 horas, WiFi gratis, Traslado aeropuerto, Parking en la calle, Servicio de traslado, Alquiler de bicicletas",Gyumri,Armenia,"Guest House in Gyumri está en Gyumri y dispone de wifi gratis, bicicletas gratis, jardín y terraza.

Hay un baño privado con ducha en algunas unidades, además de artículos de aseo gratuitos, secador de pelo y zapatillas.

El aeropuerto (Aeropuerto internacional de Shirak) está a 4 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
BARBAR APART HOTEL,US$71,"9,9",Excepcional,27,https://cf.bstatic.com/xdata/images/hotel/max1024x768/502390982.webp?k=4fed08c29b2b74cf9d2d7b43eb40be385908deca0410ba5978ac0af78c76ac3a&o=,https://www.booking.com/hotel/am/barbar-apart.es.html?aid=2410095,"Ruso, Ducha, TV de pantalla plana, Perchero, Bañera, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Bañera o ducha, Escritorio, Zapatillas, Secador de pelo, Tetera / cafetera, Caja fuerte, Barandillas de seguridad para bebés, Artículos de aseo gratis, Aire acondicionado, Armenio, WiFi gratis, Nevera, Baño privado, Habitaciones familiares, Toallas, Albornoz, Teléfono, Inglés, Insonorización, Vistas, Armario, Habitaciones sin humo, Tendedero, Parking gratis, Hervidor eléctrico, WC, Minibar",Gyumri,Armenia,"BARBAR APART HOTEL se encuentra en Gyumri y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad dispone de baño privado, ducha, aire acondicionado, TV de pantalla plana y nevera. También se ofrece minibar y hervidor.

El aeropuerto más cercano (Aeropuerto internacional de Shirak) está a 4 km del alojamiento."
Aratta Royal Hotel,US$25,"9,5",Excepcional,53,https://cf.bstatic.com/xdata/images/hotel/max1024x768/507646030.webp?k=d44b809b570fa32fb118456d6afe0f3cddc9a319dd694b3f89ec515cc6ff53f6&o=,https://www.booking.com/hotel/am/amaras-giumri.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Desayuno, Recepción 24 horas, Estación de carga de vehículos eléctricos, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Alquiler de coches, Caja fuerte, Servicio de lavandería, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Aire acondicionado, Proporciona factura, WiFi gratis, Cafetería en el alojamiento, Servicio de planchado, Servicio de entrega de comestibles, Zona de fumadores, Habitaciones insonorizadas, Noches de cine, Capilla, Servicio de limpieza diario, Restaurante, Habitaciones familiares, Inglés, Ascensor, Snack-bar, Traslado aeropuerto, Parking adaptado para personas de movilidad reducida, Ruta de bares, Habitaciones sin humo, Happy hour, Parking gratis, Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Servicio de traslado, Alarma de seguridad",Gyumri,Armenia,"Aratta Royal Hotel se encuentra en Gyumri. Este alojamiento ofrece restaurante, servicio de traslado gratuito y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Hay parking privado gratis y hotel también ofrece alquiler de coches para descubrir los alrededores.

En la recepción 24 horas se hablan varios idiomas, como inglés y ruso.

El aeropuerto más cercano (Aeropuerto internacional de Shirak) está a 4 km del alojamiento."
Kotun Gyumri,US$21,"9,8",Excepcional,135,https://cf.bstatic.com/xdata/images/hotel/max1024x768/416324037.webp?k=b22a607a30afcd491d4c6b8129c3ffbe0b9026fe40b9527b254abc72c3cb2f88&o=,https://www.booking.com/hotel/am/katun.es.html?aid=2410095,"Ruso, Productos de limpieza, Terraza, Jardín, Perchero, Toallas / sábanas (por un suplemento), Videoconsola PS3, Zona TV / salón de uso compartido, Zona de pícnic, Papel higiénico, Chimenea exterior, Guardaequipaje, Detector de monóxido de carbono, Juegos de mesa / puzles, Vistas a un patio interior, Suelo de madera o parquet, Zapatillas, Secador de pelo, Baño compartido, Plancha para ropa, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Tostadora, Extintores, TV, Calefacción, Entretenimiento nocturno, Zona de comedor exterior, Armenio, Barbacoa, Utensilios de planchado, Información turística, Zona de fumadores, Toda la unidad en la planta baja, Noches de cine, Wifi rápida gratis (53 Mbps), Eventos deportivos en directo (emisión), Parking en la calle, Bar, Llave de acceso, Enchufe cerca de la cama, Habitaciones familiares, Toallas, Inglés, Lavadora, Discoteca / DJ, Ping pong, Traslado aeropuerto, Ventilador, Muebles de exterior, Vistas, Sala de juegos, Armario, Canales por cable, Ruta de bares, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Tendedero, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, Vino / champán, Horno, Música / espectáculos en directo, Servicio de traslado, Ropa de cama",Gyumri,Armenia,"Kotun Gyumri dispone de jardín, salón de uso común, terraza y bar en Gyumri. El alojamiento ofrece discoteca y cocina compartida.

En el hostal o pensión, cada habitación incluye armario, TV, baño compartido, ropa de cama y toallas. Las habitaciones cuentan con horno.

Puedes jugar al ping-pong en Kotun Gyumri.

El aeropuerto más cercano (Aeropuerto internacional de Shirak) está a 5 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Orienta Hotel Gyumri,US$50,"9,6",Excepcional,54,https://cf.bstatic.com/xdata/images/hotel/max1024x768/483248021.webp?k=f2d80d671705390f0b9f7a37b8ab708a44499451dc93b99f828ba1db6735c2a3&o=,https://www.booking.com/hotel/am/orienta-gyumri.es.html?aid=2410095,"Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Armenio, Cafetería en el alojamiento, Habitaciones insonorizadas, Zona de fumadores, Parking en la calle, Detectores de humo, Albornoz, Servicio de conserjería, Acceso a pisos superiores en ascensor, Zona de estar, Ducha, Desayuno, Peluquería / salón de belleza, Perchero, Cajero automático en el hotel, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, WiFi gratis, Eventos deportivos en directo (emisión), Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Habitaciones familiares, Teléfono, Vistas, Armario, Suelo de moqueta, Supermercado pequeño en el alojamiento, Hervidor eléctrico, WC, Fax / fotocopiadora, Servicio de traslado, Ruso, Productos de limpieza, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Detector de monóxido de carbono, Bidet, Zapatillas, Servicio de planchado, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Cámaras de seguridad fuera del alojamiento, Vino / champán, Ropa de cama, Servicio de limpieza en seco, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Caja fuerte, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Tetera/cafetera en todas las habitaciones, Nevera, Bar, Mesa de comedor, Restaurante, Tarjeta de acceso, Toda la unidad accesible en silla de ruedas, Taquillas, Ascensor, Habitaciones sin humo, Parking gratis, Minibar, Alarma de seguridad",Gyumri,Armenia,"Orienta Hotel Gyumri ofrece alojamiento en Gyumri. El alojamiento tiene un bar y un restaurante que sirve cocina a la parrilla y barbacoa. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

Todas las habitaciones en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. En Orienta Hotel Gyumri, las habitaciones tienen ropa de cama y toallas.

El alojamiento ofrece servicio de limpieza en seco, así como fax y fotocopiadora.

El aeropuerto (Aeropuerto internacional de Shirak) está a 5 km."
Hye Aspet Հայ Ասպետ,US$49,"9,7",Excepcional,133,https://cf.bstatic.com/xdata/images/hotel/max1024x768/129420344.webp?k=92cd674ee14bb6700d5a7577b5d2b1e22f1d55e385f914e372f47e4a36203aa8&o=,https://www.booking.com/hotel/am/hye-aspet-hay-aspet.es.html?aid=2410095,"Menú para niños, Papel higiénico, Guardaequipaje, Secador de pelo, Servicio de lavandería, Secadora de ropa, Artículos de aseo gratis, Zona de comedor, Servicio de entrega de comestibles, Habitaciones insonorizadas, Utensilios de planchado, Zona de fumadores, Parking en la calle, Detectores de humo, Albornoz, Tendedero, Zona de estar, Ducha, Senderismo, Perchero, Escritorio, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, WiFi gratis, Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Habitaciones familiares, Lavadora, Vistas, Armario, Suelo de moqueta, Hervidor eléctrico, WC, Servicio de traslado, Ruso, Productos de limpieza, TV de pantalla plana, Zona TV / salón de uso compartido, Fruta, Zapatillas, Servicio de planchado, Desayuno en la habitación, Libros, DVD o música para niños, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Menús para dietas especiales (bajo petición), Vino / champán, Ropa de cama, Servicio de habitaciones, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Bañera o ducha, Alquiler de coches, Entrada privada, Suelo de madera o parquet, Plancha para ropa, TV, Proporciona factura, Tetera/cafetera en todas las habitaciones, Nevera, Mosquitera, Fogones, Bar, Mesa de comedor, Suelo de baldosa / mármol, Canales por cable, Habitaciones sin humo, Parking gratis, Zona de cocina, Música / espectáculos en directo, Tours a pie, Minibar, Habitaciones comunicadas disponibles, Alarma de seguridad, Servicio de despertador",Gyumri,Armenia,"Hye Aspet Հայ Ասպետ está en Gyumri y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad cuenta con zona de cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales por cable y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También hay nevera, minibar y fogones, además de hervidor.

También hay un salón de uso común ideal para relajarse.

El aeropuerto más cercano (Aeropuerto internacional de Shirak) está a 4 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
21 Rooms Hotel,US$59,"8,9",Fabuloso,93,https://cf.bstatic.com/xdata/images/hotel/max1024x768/471210754.webp?k=7fecc788f9210a135cadf66c9b8f31fce2965486352e42df06cc026f06f31aa0&o=,https://www.booking.com/hotel/am/21-rooms.es.html?aid=2410095,"Ruso, Desayuno, Traslado aeropuerto (gratis), TV de pantalla plana, Recepción 24 horas, Seguridad 24 horas, Juegos de mesa / puzles, Servicio de lavandería, Extintores, Calefacción, Aire acondicionado, Armenio, WiFi gratis, Habitaciones insonorizadas, Francés, Salas de reuniones / banquetes, Parking en la calle, Servicio de limpieza diario, Detectores de humo, Bañera de hidromasaje / jacuzzi, Habitaciones familiares, Inglés, Traslado aeropuerto, Habitaciones sin humo, Supermercado pequeño en el alojamiento, Parking gratis, Cámaras de seguridad fuera del alojamiento",Gyumri,Armenia,"21 Rooms Hotel se encuentra en Gyumri. Hotel ofrece parking privado gratis y wifi gratis.

En el hotel, cada habitación incluye TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

En 21 Rooms Hotel, la clientela puede disfrutar de bañera de hidromasaje.

El personal, que habla inglés, francés, armenio y ruso, ofrece información en la recepción.

El aeropuerto más cercano (Aeropuerto internacional de Shirak) está a 4 km del alojamiento."
