hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Cibeles Resort,https://www.booking.com/hotel/cr/cibeles-resort.es.html?aid=2410095,"Hotel Cibeles Resort se encuentra en Heredia, a 44 km de Parque Nacional Volcán Poás, y ofrece alojamiento con piscina al aire libre, parking privado gratis y jardín. Este hotel de 3 estrellas ofrece mostrador de información turística. Este alojamiento libre de humo está a 10 km de Estadio Nacional de Costa Rica.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. En el hotel, todas las habitaciones tienen ropa de cama y toallas.

En la recepción se hablan varios idiomas, como inglés y español.

Parque Diversiones está a 10 km del alojamiento, y Parque Metropolitano La Sabana está a 10 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 11 km.","Papel higiénico, Ropa de cama, Alarma de seguridad, Baño privado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Toallas, Masajes, Masaje de espalda, Proporciona factura, Recepción 24 horas, Servicio de lavandería, Abierta todo el año, Artículos de aseo gratis, Ducha, Jardín, Cambio de moneda, Cafetera, Prohibido fumar en todo el alojamiento, Masaje en pareja, Servicio de limpieza diario, Masaje corporal completo, Información turística, Piscina al aire libre, Adaptado personas de movilidad reducida, WiFi gratis, Ventilador, Perchero, TV, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/289525820.jpg?k=307ac5dc537457dd58f60b7f27ab1690fca0ae103ef62237af748163030471a6&o=&hp=1,Heredia,Costa Rica
Finca Rosa Blanca Coffee Farm and Inn,https://www.booking.com/hotel/cr/finca-rosa-blanca.es.html?aid=2410095,"La Finca Rosa Blanca Coffee Farm and Inn se encuentra en Heredia, a 10 km del aeropuerto internacional Juan Santamaría, y ofrece alojamiento con restaurante de granja a mesa, piscina de borde infinito de ladera de muelles, aparcamiento privado gratuito y bar. Los huéspedes podrán disfrutar de su propio tour de café ecológico, de un tour de observación de aves o del spa Targuá. El establecimiento alberga un salón compartido y un jardín exuberante. Hay recepción 24 horas, servicio de enlace con el aeropuerto y WiFi gratuita en todas las instalaciones.

Las 14 villas y suites, cada una de ellas única, están equipadas con una zona de estar y vistas impresionantes a la montaña. Las habitaciones de la Finca Rosa Blanca Coffee Farm incluyen armario y baño privado.

 Todas las mañanas se sirve un desayuno a la carta con café de la Finca Rosa Blanca.

Finca Rosa Blanca Coffee Farm and Inn apoya y practica activamente el turismo sostenible para conservar áreas naturales y culturas locales.

Cerca de Barva y Volcanes Poas.","Servicios de belleza, Baño privado, Vino / champán, Detectores de humo, Tarjetas de transporte público, Ascensor, Masajes, Bar, Servicio de limpieza en seco, Mobiliario exterior, Tour o clase sobre cultura local, Piscina al aire libre, WiFi gratis, Minibar, Piscina infinita, Proporciona factura, Masaje de pies, Exfoliación corporal, Papel higiénico, Ropa de cama, Servicio de despertador, Teléfono, Vistas, WC, Tratamientos corporales, Servicio de traslado, Zona de spa / relajación, Bañera, Servicio de conserjería, Ducha, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Toallas de playa/piscina, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Desayuno fabuloso, Paquetes de spa / bienestar, Perchero, Tumbonas/sillas de playa, WC con barras de apoyo, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Piscina con vistas, Seguridad 24 horas, Cafetería en el alojamiento, Guardaequipaje, Centro de negocios, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Masaje en pareja, Caja fuerte para ordenador portátil, Extintores, Masaje de cabeza, Zona de estar, Habitaciones familiares, Español, Masaje de cuello, Caja fuerte, Utensilios de planchado, Tratamientos faciales, Menús para dietas especiales (bajo petición), Sofá cama, Toallas, Plancha para ropa, Masaje de manos, Entrada privada, Masaje de espalda, Restaurante, Silla de masajes, Abierta todo el año, Tours a pie, Llave de acceso, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Clases de yoga, Para todas las edades, Adaptado personas de movilidad reducida, Instalaciones de spa, Ventilador, Envoltura corporal, Armario, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/117184366.jpg?k=fa9446123c01d8a0fbe8a5499b6b3686041e02be6e974c7b47d360b8a4f6f60f&o=&hp=1,Heredia,Costa Rica
Apart Céntrico con vista,https://www.booking.com/hotel/cr/casa-cardero-apart-suite-con-vista.es.html?aid=2410095,"Apart Céntrico con vista se encuentra en Heredia, a solo 39 km de Parque Nacional Volcán Poás, y ofrece alojamiento con vistas a la ciudad, wifi gratis y parking privado gratis. El alojamiento ofrece vistas a la montaña y está a 10 km de Estadio Nacional de Costa Rica y a 10 km de Parque Diversiones.

El bed and breakfast incluye una cocina con nevera y microondas, además de cafetera. Hay toallas y ropa de cama en el bed and breakfast.

Parque Metropolitano La Sabana está a 10 km del alojamiento, y Estadio Alejandro Morera Soto está a 15 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 10 km.","Vistas a la montaña, Reproductor de CD, Papel higiénico, Ropa de cama, Inglés, Baño privado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Secador de pelo, TV de pantalla plana, Canales por cable, Zona de cocina, Vistas, Sofá cama, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, Vistas a la ciudad, Entrada privada, Nevera, Enchufe cerca de la cama, Sofá, Utensilios de cocina, Ducha, Artículos de aseo gratis, Zona de comedor, Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Microondas, Extintores, WiFi gratis, Cocina, Tetera / cafetera, Armario, Reproductor de DVD, TV, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548891469.jpg?k=481bcf5052582903081c6ce84afcc91f5227f7bfe21d248a3e5aa95e911b7cad&o=&hp=1,Heredia,Costa Rica
Hotel América Heredia,https://www.booking.com/hotel/cr/america-heredia-heredia1.es.html?aid=2410095,"Hotel América Heredia, en Heredia, ofrece alojamiento de 4 estrellas con centro de fitness y terraza. El alojamiento está a 41 km de Parque Nacional Volcán Poás, a 8,9 km de Estadio Nacional de Costa Rica y a 8,9 km de Parque Diversiones. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de caja fuerte.

Parque Metropolitano La Sabana está a 9,3 km del alojamiento, y Estadio Alejandro Morera Soto está a 13 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 10 km.","Papel higiénico, Ropa de cama, Caja fuerte, Baño privado, Gimnasio, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Toallas, WC, Servicio de traslado, Recepción 24 horas, Terraza, Ducha, Parking, Escritorio, Prohibido fumar en todo el alojamiento, Servicio de habitaciones, WiFi gratis, Ventilador, Perchero, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518862609.jpg?k=57aa60e2987b312cc2e00ea05559fd490604ad9f7c34643b0951cc86047d0c26&o=&hp=1,Heredia,Costa Rica
Hotel Valladolid,https://www.booking.com/hotel/cr/valladolid.es.html?aid=2410095,"Hotel Valladolid se encuentra en Heredia, a 45 km de Parque Nacional Volcán Poás y a 8,7 km de Estadio Nacional de Costa Rica. Este hotel de 3 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

Las habitaciones de este alojamiento incluyen TV de pantalla plana con canales por cable y caja fuerte. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

En Hotel Valladolid se puede disfrutar de un desayuno continental.

El alojamiento ofrece terraza solárium.

La recepción ofrece información en todo momento, y el personal habla inglés y español.

Parque Diversiones está a 8,8 km del alojamiento, y Parque Metropolitano La Sabana está a 9,2 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 9 km del alojamiento.","WC con barras de apoyo, Accesible para personas sordas, Papel higiénico, Ropa de cama, Caja fuerte, Inglés, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Salas de reuniones / banquetes, Secador de pelo, TV de pantalla plana, Canales por cable, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, Servicio de traslado, Ascensor, Entrada privada, Guardaequipaje, Proporciona factura, Centro de negocios, Nevera, Acceso a pisos superiores en ascensor, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Artículos de aseo gratis, Ducha, Servicio de planchado, Zona de comedor, Cambio de moneda, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Servicio de limpieza diario, Información turística, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Perchero, Terraza / solárium, Armario, Habitaciones familiares, TV, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/77910236.jpg?k=d1a268454c9666b42c5c4f123fca74811bc92cfc293f09c3d6ac3bd18783873b&o=&hp=1,Heredia,Costa Rica
CASA STELLA,https://www.booking.com/hotel/cr/casa-stella.es.html?aid=2410095,"CASA STELLA está a 38 km de Parque Nacional Volcán Poás y ofrece alojamiento conjardín, terraza y cocina compartida. Hay wifi gratis.

Las unidades cuentan con patio con vistas al jardín.

Estadio Alejandro Morera Soto está a 8,9 km del alojamiento, y Parque Viva está a 9 km. El aeropuerto (Aeropuerto internacional Juan Santamaría) está a 3 km.","Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Habitaciones sin humo, Zona de comedor exterior, Cenas temáticas, Sala de juegos, Patio, Menús para dietas especiales (bajo petición), Español, Francés, Toallas, Bañera o ducha, WC, Cocina compartida, Servicio de conserjería, Enchufe cerca de la cama, Almuerzos para llevar, Terraza, Ducha, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona de pícnic, Clases de cocina, Información turística, Fruta, WiFi gratis, Ventilador, Terraza / solárium, Zona de estar, Habitaciones familiares, Inglés, Menú para niños, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/476777669.jpg?k=ebfca926aaa7a00d53dd0a4307717aa729d048b59906a3bdc5ad74973e572169&o=&hp=1,Heredia,Costa Rica
Casa Familiar la Tortuga,https://www.booking.com/hotel/cr/la-tortuga.es.html?aid=2410095,"Bienvenido a Casa Familiar La Tortuga, su hogar lejos de casa en Barva de Heredia! Nuestra privilegiada ubicación le ofrece no sólo seguridad, sino también acceso a una variedad de experiencias que harán de su estancia una aventura inolvidable.

Cerca de nuestra casa, encontrará una amplia selección de restaurantes locales para disfrutar de la deliciosa cocina costarricense. Además, estarás rodeado por la belleza natural de los parques nacionales cercanos, donde podrás sumergirte en la exuberante flora y fauna de Costa Rica.

En Heredia, no pierdas la oportunidad de explorar el Parque Nacional Barva, un paraíso para los amantes de la naturaleza. También puedes aventurarte en un emocionante tour de café en Café Britt, donde aprenderás sobre el proceso de cultivo y producción del café costarricense, una experiencia imprescindible para los amantes del café.

Para los amantes de las aves y la fauna, hay tours especializados que te llevarán a descubrir la rica biodiversidad de la región. ¡Prepárate para vivir emocionantes aventuras y descubrir la magia de Costa Rica durante tu estancia en Casa Familiar La Tortuga!

Estamos ubicados a 25 minutos del aeropuerto Juan Santamaría, a 14 minutos del Palacio de Deportes y del estadio Rosabal Cordero, a 40 minutos del volcán Barva, a 50 minutos del volcán Poás y a 57 minutos de los Jardines de las Cataratas de La Paz.","Papel higiénico, Ropa de cama, Vistas al jardín, Alarma de seguridad, Baño privado, Servicio de despertador, Inglés, Cámaras de seguridad fuera del alojamiento, Aseo adicional, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Wifi buena gratis (41 Mbps), Zona de juegos para niños, Juegos de mesa / puzles, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Snack-bar, Bañera o ducha, Supermercado pequeño en el alojamiento, WC, Plancha para ropa, Servicio de traslado, Bar, Vistas a la ciudad, Guardaequipaje, Proporciona factura, Plancha para pantalones, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Servicio de planchado, Suelo de madera o parquet, Jardín, Cambio de moneda, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Zona de pícnic, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Tour o clase sobre cultura local, Fruta, Estación de carga de vehículos eléctricos, Información turística, Parking en un garaje, Servicio de habitaciones, Tendedero, Ventilador, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, Armario, Habitaciones familiares, TV, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542058506.jpg?k=bfded73e0860a57c08f2d03a8c828336aad2e24113050781a77904847d7a6307&o=&hp=1,Heredia,Costa Rica
La Casa de Cariari Al Golf,https://www.booking.com/hotel/cr/la-casa-di-piero-al-golf-cariari-san-jose.es.html?aid=2410095,"La Casa de Cariari Al Golf se encuentra en San José y ofrece alojamiento con conexión WiFi gratuita y acceso a un jardín.

El baño privado está totalmente equipado e incluye ducha y artículos de aseo gratuitos.

Este bed and breakfast sirve un desayuno americano diario.

También hay una zona de salón compartida.

La Casa de Cariari Al Golf está a 8 km del Parque Diversiones y del Estadio Nacional de Costa Rica. El aeropuerto internacional Juan Santamaría, el más cercano, se halla a 8 km.","Masaje de pies, Masaje de cuello, Papel higiénico, Ropa de cama, Vistas al jardín, Fax / fotocopiadora, Baño privado, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Campo de golf (a menos de 3 km), TV de pantalla plana, Canales por cable, Vistas, Francés, Toallas, Plancha para ropa, Bañera o ducha, WC, Cocina compartida, Servicio de traslado, Masajes, Guardaequipaje, Masaje de espalda, Plancha para pantalones, Zona de fumadores, Servicio de conserjería, Enchufe cerca de la cama, Bolos, Ducha, Artículos de aseo gratis, Parking adaptado para personas de movilidad reducida, Jardín, Llave de acceso, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Masaje corporal completo, Información turística, Extintores, Alquiler de coches, WiFi gratis, Productos de limpieza, Terraza / solárium, TV, Habitaciones familiares, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535419288.jpg?k=5dd551170525c9004fb245a98f3246caf77cff6f4b8d49eb589dda132eb45f52&o=&hp=1,Heredia,Costa Rica
Hortensias Chalets Vara blanca,https://www.booking.com/hotel/cr/hortensias-bistro-cafe-lodge.es.html?aid=2410095,"Hortensias Chalets Vara blanca tiene vistas a la montaña y está en Heredia. Cuenta con restaurante, servicio de habitaciones, bar, jardín, terraza y zona de juegos infantil. El lodge ofrece wifi y parking privado, ambos gratis.

Hay un baño privado con ducha y artículos de aseo gratuitos en cada unidad, además de secador de pelo.

En Hortensias Chalets Vara blanca se puede disfrutar de un desayuno continental o americano.

Parque Nacional Volcán Poás está a 16 km del alojamiento, y Jardines de la Catarata La Paz está a 6,5 km. El aeropuerto más cercano (Aeropuerto internacional Juan Santamaría) está a 27 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Juegos de mesa / puzles, Zona de juegos para niños, Patio, Sala de juegos, Salas de reuniones / banquetes, Secador de pelo, Zona de juegos interior, Seguridad 24 horas, Adaptado para sillas de ruedas, Toda la unidad en la planta baja, Vistas, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Francés, Toallas, Cafetería en el alojamiento, Snack-bar, Bañera o ducha, Bar, Dardos, Ping pong, Restaurante, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Almuerzos para llevar, Jardín, Llave de acceso, Mobiliario exterior, Cafetera, Prohibido fumar en todo el alojamiento, Zona de pícnic, Calefacción, Servicio de limpieza diario, Información turística, Fruta, Desayuno fabuloso, Extintores, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Toda la unidad accesible en silla de ruedas, Billar, Toallas / sábanas (por un suplemento), Terraza / solárium, Zona de estar, Habitaciones familiares, Inglés, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/358367867.jpg?k=26e26c9fad12d7ad8c9623968e5b6113efccdd1c2f5e312657e4bcdc004334c2&o=&hp=1,Heredia,Costa Rica
Casa Vistas del Conde,https://www.booking.com/hotel/cr/vistas-del-tirol.es.html?aid=2410095,"El Vistas del Conde está situado en Heredia. Hay WiFi gratuita en todas las zonas y aparcamiento privado gratuito.

Algunas habitaciones tienen zona de estar y también hay habitaciones con terraza o balcón. Todas las habitaciones están equipadas con TV de pantalla plana por cable.

El establecimiento cuenta con servicio de traslado gratuito.

El Vistas del Conde se encuentran a 16 km de San José y de Alajuela. El aeropuerto internacional Tobías Bolaños está a 14 km.","Masaje de pies, Fax / fotocopiadora, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Desayuno en la habitación, Seguridad 24 horas, Español, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Masajes, Guardaequipaje, Senderismo, Zona de fumadores, Restaurante, Recepción 24 horas, Servicio de lavandería, Terraza, Tours a pie, Servicio de planchado, Jardín, Masaje en pareja, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Tarjeta de acceso, Calefacción, Servicio de limpieza diario, Masaje corporal completo, Información turística, Extintores, Servicio de habitaciones, WiFi gratis, Bañera de hidromasaje / jacuzzi, Servicio de aparcacoches, Terraza / solárium, Habitaciones familiares, Inglés, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/168927858.jpg?k=850c9ed928599c8aa47008705571d3ebf1314528bb9720497b8e7e1510aa48bb&o=&hp=1,Heredia,Costa Rica
