hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Boutique Posada Las Trampas,https://www.booking.com/hotel/co/posada-las-trampas.es.html?aid=2410095,"El Hotel Boutique Posada Las Trampas ocupa una casa de estilo colonial ubicada en Honda y ofrece piscina al aire libre y habitaciones con WiFi gratuita y TV de plasma. Se sirven desayunos y hay aparcamiento gratuito. El río Magdalena se encuentra a 10 minutos a pie.

Las habitaciones del Posada Las Trampas tienen suelo de parquet, muebles elegantes, aire acondicionado, ventiladores, balcón con vistas a la calle y baño privado.

Todos los días se sirve un desayuno americano. También hay unas galerías cubiertas donde se sirven bebidas y aperitivos.

Este establecimiento cuenta con piscina y tumbonas y ofrece sesiones de masajes. En las inmediaciones se encuentra el parque acuático Agua Sol Alegria y a 5 minutos a pie está el Museo del Río Magdalena.

El Hotel Boutique Posada Las Trampas se halla a 141 km del aeropuerto de Perales.","Secador de pelo, Terraza, Juegos de mesa / puzles, Spa y centro de bienestar, Almuerzos para llevar, Alarma de seguridad, Caja fuerte, Cafetería en el alojamiento, Habitaciones sin humo, Senderismo, Recepción 24 horas, Ventilador, Baño privado, Centro de negocios, Extintores, Aire acondicionado, Masajes, Vino / champán, Piscina en la azotea, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Bar en la piscina, Desayuno fabuloso, WiFi gratis, Ducha, Servicio de habitaciones, Toallas de playa/piscina, Proporciona factura, Zona de fumadores, Valla alrededor de la piscina, Mobiliario exterior, Tours a pie, Piscina al aire libre, Desayuno en la habitación, Parque acuático, Equitación, Servicio de planchado, Para todas las edades, Servicio de lavandería, Reproductor de DVD, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Español, Piscina con vistas, Zona poco profunda, Artículos de aseo gratis, Sombrillas, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/341304242.jpg?k=e26699dfa8c94bbaa87ea7eeb2d10189f2abb5919bb89a0821a0138615efc860&o=&hp=1,Honda,Colombia
Downtown loft,https://www.booking.com/hotel/co/downtown-loft.es.html?aid=2410095,"Downtown loft se encuentra en Honda. Se ofrece wifi gratis en todo el alojamiento.

El apartamento incluye 1 dormitorio y una cocina con nevera y microondas, además de cafetera. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El aeropuerto más cercano (Aeropuerto de La Nubia) está a 128 km.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Toallas / sábanas (por un suplemento), Vistas, Ventilador, Inglés, Apartamento privado en edificio, Cocina, WiFi gratis, Ducha, Enchufe cerca de la cama, Zona de cocina, Cafetera, Zona de estar, Utensilios de cocina, Microondas, Toallas, Español, Nevera, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533343513.jpg?k=430bf9aea47d4dd191afa6c4356d278feecdf3f6b4662d78cbd2ce40087e674b&o=&hp=1,Honda,Colombia
Bavaria Real Hotel & Club,https://www.booking.com/hotel/co/bavaria-real-amp-club.es.html?aid=2410095,"Bavaria Real Hotel & Club dispone de piscina al aire libre, jardín, salón de uso común y terraza en Honda. Este alojamiento ofrece restaurante, servicio de habitaciones y servicio de conserjería, además de wifi gratis en todo el alojamiento. Hay bar.

En el hotel, cada habitación incluye armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Bavaria Real Hotel & Club se sirve todos los días un desayuno americano.

Puedes jugar al billar y al ping-pong en el alojamiento.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de La Nubia) está a 128 km del alojamiento.","Desayuno, Terraza, Servicio de entrega de comestibles, Juegos de mesa / puzles, Sombrillas, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Baños públicos, Habitaciones sin humo, Cambio de moneda, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Servicio de limpieza diario, Ventilador, Baño privado, Jardín, Centro de negocios, Extintores, Aire acondicionado, WC elevado, WC con barras de apoyo, Inglés, Armario, Perchero, Información turística, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Ping pong, Servicio de conserjería, Parking en un garaje, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Tobogán de agua, Proporciona factura, Zona de fumadores, Zona de pícnic, Cuerda de emergencia en el baño, Zona de juegos interior, Mobiliario exterior, Habitaciones insonorizadas, Piscina al aire libre, Llave de acceso, Servicio de planchado, Para todas las edades, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Billar, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Abierta todo el año, Tumbonas/sillas de playa, Español, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548873214.jpg?k=c88301a0bce3568ba56e4ae529ca3db8a92345b5cb70046c4af91e09e69b4566&o=&hp=1,Honda,Colombia
Hotel y Parque Acuatico Agua Sol Alegria,https://www.booking.com/hotel/co/y-parque-acuatico-agua-sol-alegria.es.html?aid=2410095,"El Hotel y Parque Acuático Agua Sol Alegría ofrece una piscina, un parque acuático, un restaurante y habitaciones con WiFi gratuita y aire acondicionado en Honda. Se ofrece aparcamiento gratuito. La catedral está a 10 minutos a pie.

Las habitaciones del Agua Sol Alegría tienen grandes ventanales con vistas al jardín por lo que entra mucha luz natural. Todas tienen TV vía satélite y baño privado.

El restaurante ofrece platos de comida regional e internacional.

Los huéspedes pueden disfrutar jugando en el parque acuático, disponible solo los fines de semana, relajarse en las tumbonas junto a la piscina o participar en partidos de voleibol. También hay una sala de juegos con un tradicional juego del sapo. El Museo del Río está a 10 minutos a pie.

El Hotel Y Parque Acuatico El Agua Sol Alegria se encuentra a 1,5 km del río Magdalena.","Horario de apertura, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Menú para niños, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Patio, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Mesa de comedor, Cesta para mascotas, Piscina al aire libre, Vistas a un patio interior, Parque acuático, Servicio de despertador, Para todas las edades, WC, Zona de comedor exterior, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, Canales vía satélite, Abierta todo el año, Toallas, Habitaciones familiares, Español, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/181267591.jpg?k=ba7a94c2af1d2d6c2b016974707091547d4989eb9e6f5ca1bd2c9ab255083ec5&o=&hp=1,Honda,Colombia
Hotel Boutique Budapez,https://www.booking.com/hotel/co/budapez-boutique.es.html?aid=2410095,"Hotel Boutique Budapez tiene piscina al aire libre, jardín, salón de uso común y terraza en Honda. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. El restaurante sirve platos de cocina latinoamericana y el cafetería es ideal para tomar algo.

En el hotel, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de La Nubia) está a 128 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Servicio de entrega de comestibles, Sombrillas, Almuerzos para llevar, Alarma de seguridad, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Solárium, Armario, Accesible para personas sordas, Traslado aeropuerto, Vino / champán, Menú para niños, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Bar en la piscina, Ropa de cama, Seguridad 24 horas, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Productos de limpieza, Canales por cable, Tours a pie, Piscina al aire libre, Vistas a un patio interior, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/396627833.jpg?k=56b5ea16686afc83affb3b756510736dddfed3630fc9ee796d7f863a8c909e4f&o=&hp=1,Honda,Colombia
Hotel Paraíso Colonial,https://www.booking.com/hotel/co/paraiso-colonial-honda.es.html?aid=2410095,"Hotel Paraíso Colonial ofrece alojamiento en Honda. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y mostrador de información turística. El alojamiento dispone de guardaequipaje y cambio de moneda.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las unidades tienen baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto (Aeropuerto de La Nubia) está a 128 km.","Caja fuerte, Cambio de moneda, Vistas, Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Ducha, Canales por cable, Tours a pie, Parque acuático, Servicio de despertador, Guardaequipaje, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/132841997.jpg?k=818ec357dfdf53839cbb2014fcfaa836d5a182c57d281d5ceb264db1aefd6bd4&o=&hp=1,Honda,Colombia
Casa Rio y Montaña,https://www.booking.com/hotel/co/casa-rio-y-montana.es.html?aid=2410095,"Casa Rio y Montaña se encuentra en Honda. Esta habitación en casa particular con vistas a la montaña y al río también tiene wifi gratis.

Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto más cercano (Aeropuerto de La Nubia) está a 129 km.","Supermercado pequeño en el alojamiento, Toallas / sábanas (por un suplemento), Ventilador, Baño compartido, Wifi básica gratis (12 Mbps), Cocina, Parking gratis, Ropa de cama, Ducha, Enchufe cerca de la cama, Zona de cocina, Pesca, Productos de limpieza, Cafetera, Vistas a la montaña, Zona de estar, Vistas al río, Toallas, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578911684.jpg?k=567900e70da980f58e03af84cfb0916a298ed114200c51ea73ced0aed77c92a0&o=&hp=1,Honda,Colombia
La Casona de Sara,https://www.booking.com/hotel/co/la-casona-de-sara.es.html?aid=2410095,"La Casona de Sara dispone de bicicletas gratis, piscina al aire libre, jardín y restaurante en Honda. Este hotel de 5 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Todas las unidades de este alojamiento incluyen zona de estar y TV de pantalla plana. El hotel dispone de algunas unidades con vistas a la piscina, y todas cuentan con patio. En La Casona de Sara, todas las habitaciones disponen de ropa de cama y toallas.

La clientela puede practicar actividades en Honda y alrededores, como senderismo y ciclismo.

El aeropuerto más cercano (Aeropuerto de La Nubia) está a 129 km.","Desayuno, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Senderismo, Vistas, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, Aire acondicionado, Ciclismo, Piscina infinita, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Parking en un garaje, Patio, Tours en bici, Ropa de cama, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Mobiliario exterior, Piscina al aire libre, Sofá, Aseo adicional, Alquiler de bicicletas, Zona de estar, Vistas al jardín, Para todas las edades, WC, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Toallas, Español, Piscina con vistas, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/448727107.jpg?k=3ec691ef680fc7a8db8c48ba056ad776335e2061a8c133b8d3eebef65484c748&o=&hp=1,Honda,Colombia
Casa Paraiso,https://www.booking.com/hotel/co/casa-paraiso-honda2.es.html?aid=2410095,"Casa Paraiso está en Honda, en la región de Tolima, y tiene terraza. Este bed and breakfast dispone de jardín y bar, además de wifi gratis.

Hay toallas y ropa de cama en el bed and breakfast.

El aeropuerto (Aeropuerto de La Nubia) está a 126 km.","Desayuno, Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Piscina, Jardín, Armario, Ropa de cama, Artículos de aseo gratis, WiFi gratis, Ducha, Mesa de comedor, Bañera de hidromasaje / jacuzzi, Parking privado, Bar, Zona de comedor, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/443727747.jpg?k=90775788ded3832e9eb6ce775eac74317e94e4697330dd3957cd1ea1f9a783a3&o=&hp=1,Honda,Colombia
Hotel Casa Belle Epoque,https://www.booking.com/hotel/co/casa-belle-epoque.es.html?aid=2410095,"El Hotel Casa Belle Epoque se encuentra en Honda y dispone de WiFi gratuita, piscina exterior, bañera de hidromasaje, jardín y terraza con hamacas. El mercado local está a 200 metros.

Las habitaciones del Hotel Casa Belle Epoque son silenciosas e incluyen baños privados.

El Hotel Casa Belle Epoque ofrece servicio de lavandería e información turística de la zona.

Se sirve desayuno local típico a diario.

El Hotel Casa Belle Epoque se halla a 1 km del río Magdalena y a 2 horas en coche del aeropuerto de Ibagué.","Terraza, Bañera o ducha, Habitaciones sin humo, Ventilador, Inglés, Baño privado, Jardín, Aire acondicionado, Vino / champán, Información turística, Ropa de cama, Servicio de traslado, WiFi gratis, Ducha, Buen desayuno, Bañera de hidromasaje / jacuzzi, Mobiliario exterior, Alemán, Piscina al aire libre, Vistas a la montaña, Servicio de lavandería, WC, Terraza / solárium, Bar, Abierta todo el año, Toallas, Español, Artículos de aseo gratis, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/17093509.jpg?k=10e48e004686764896c668426eb0e939ca5e6e92ceeba5e7dfd1058c71d86b1d&o=&hp=1,Honda,Colombia
