hotel,hotel_url,description,popular_facilities,highres_url,city,country
Magu Hotel Huarmey,https://www.booking.com/hotel/pe/magu-huarmey.es.html?aid=2410095,"Magu Hotel Huarmey dispone de alojamiento en Huarmey. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Hay vistas al mar.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones incluyen baño privado con ducha.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 239 km.","Playa, Prohibido fumar en todo el alojamiento, Parking gratis, Perchero, Papel higiénico, WiFi gratis, Hervidor eléctrico, WC, Servicio de habitaciones, Toallas, Microondas, Bañera, Español, Baño privado, Vistas al mar, Vistas, Recepción 24 horas, TV de pantalla plana, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/543937904.jpg?k=8ae0a29fee76bff275c9b26e4a966acaedea905f7cb8d33135a441a7ded5b0cf&o=&hp=1,Huarmey,Perú
Aristides Inn,https://www.booking.com/hotel/pe/aristides-inn.es.html?aid=2410095,"Aristides Inn se encuentra en Huarmey y dispone de terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento incluyen un balcón con vistas a la ciudad.

En el hotel, cada habitación incluye armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Hay un centro de negocios en Aristides Inn.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 242 km del alojamiento.","Sala de juegos, Prohibido fumar en todo el alojamiento, Utensilios de planchado, Desayuno, Servicio de limpieza diario, Perchero, Happy hour, Terraza, Salas de reuniones / banquetes, Armario, Papel higiénico, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Baños públicos, Alarma de seguridad, WC, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Terraza / solárium, Toallas, Vino / champán, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Centro de negocios, Juegos de mesa / puzles, 2 restaurantes, Fax / fotocopiadora, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Zona de pícnic, Recepción 24 horas, Suelo de baldosa / mármol, Francés, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/221513445.jpg?k=e802e0c69fae81ac85662e127a5f82ee5ce73102d67fc1891cadad2a92cf50b2&o=&hp=1,Huarmey,Perú
la casa azul,https://www.booking.com/hotel/pe/la-casa-azul-huarmey.es.html?aid=2410095,"La casa azul está en Huarmey y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

En el hotel, todas las habitaciones disponen de balcón. Las habitaciones disponen de baño privado con ducha y artículos de aseo gratuitos. Las unidades de este alojamiento tienen aire acondicionado y escritorio.

El personal de la recepción 24 horas puede echar una mano y dar consejos sobre la zona.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 241 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Perchero, Terraza, Papel higiénico, WiFi gratis, Toallas / sábanas (por un suplemento), Hervidor eléctrico, Toallas, Jardín, Artículos de aseo gratis, Microondas, Bañera, Español, Baño privado, Aire acondicionado, Balcón, Recepción 24 horas, Escritorio, TV de pantalla plana, Tetera / cafetera, Ducha, Calefacción, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515148151.jpg?k=3e53090ac0a0a1b05c8814bd7a26ccf539280938362223e49a65d5c4c3b7c843&o=&hp=1,Huarmey,Perú
Hotel Miramar,https://www.booking.com/hotel/pe/miramar-huarmey.es.html?aid=2410095,"El Hotel Miramar está situado en Huarmey y ofrece un restaurante, una piscina al aire libre y alojamientos con conexión WiFi gratuita. La plaza principal de la ciudad se encuentra a 3 km del establecimiento.

Las habitaciones cuentan con TV por cable y baño privado con artículos de aseo gratuitos. También incluyen un desayuno diario.

El Hotel Miramar dispone de recepción abierta las 24 horas, terraza, bar, salón compartido, sala de juegos, mostrador de información turística y aparcamiento gratuito previa reserva.","Sala de juegos, Fruta, Zona de juegos interior, Servicio de planchado, Desayuno, Parking gratis, Sombrillas, Llave de acceso, Servicio de limpieza diario, Salas de reuniones / banquetes, Happy hour, Terraza, Bañera o ducha, Armario, Papel higiénico, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Piscina privada, Tumbonas/sillas de playa, Terraza / solárium, Toallas, Información turística, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Zona de fumadores, Juegos de mesa / puzles, Juguetes para la piscina, Bar en la piscina, Productos de limpieza, Fax / fotocopiadora, Almuerzos para llevar, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Cochecitos de bebé, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Enchufe cerca de la cama, Zona de juegos para niños, Recepción 24 horas, Extintores, Tendedero, Zona TV / salón de uso compartido, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/204573005.jpg?k=8650ab7845426a17c3869910c9189f635e1d34c9cde6c76e0cb5f693d62369a8&o=&hp=1,Huarmey,Perú
La casa de los Viajeros,https://www.booking.com/hotel/pe/la-casa-de-los-viajeros.es.html?aid=2410095,"La casa de los Viajeros, en Huarmey, ofrece alojamiento con terraza y bar. Hay wifi gratis y se ofrece parking privado por un suplemento.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 242 km.","Prohibido fumar en todo el alojamiento, Bar, WiFi gratis, Parking privado, Español, Terraza, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569980002.jpg?k=f90e5eac9599f8062d2f009c0730b554fa8d7d40a35d6fa182ad43017ffd18c3&o=&hp=1,Huarmey,Perú
Pillku Hospedaje,https://www.booking.com/hotel/pe/pillku-hospedaje-huarmey.es.html?aid=2410095,"Pillku Hospedaje está en Huarmey y tiene jardín, terraza, bar y wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. El hotel dispone de algunas habitaciones con balcón, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En Pillku Hospedaje, las habitaciones incluyen ropa de cama y toallas.

El personal habla inglés y español, y estará encantado de dar consejos sobre la zona en la recepción 24 horas.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 242 km.","Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Terraza, Papel higiénico, Bar, WiFi gratis, Inglés, WC, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Vistas, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495399635.jpg?k=b4d9957deb65eb43abb1afa54621b4bf0ba52b1037f59656d562751087c69ef5&o=&hp=1,Huarmey,Perú
Patitos,https://www.booking.com/hotel/pe/patitos.es.html?aid=2410095,"Patitos tiene vistas al mar, se encuentra en Huarmey y cuenta con restaurante y recepción 24 horas.

Todas las unidades tienen terraza con vistas a la montaña y disponen de zona de cocina con fogones. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Se puede practicar senderismo y pesca en la zona, y el camping resort ofrece zona de playa privada.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 258 km del alojamiento.","Playa, Zona de comedor exterior, Zona de cocina, Desayuno, Zona de comedor, Parking gratis, Sombrillas, Terraza, Bañera o ducha, Vistas a un patio interior, Zona de estar, Seguridad 24 horas, Papel higiénico, Toda la unidad en la planta baja, Servicio de entrega de comestibles, Mobiliario exterior, Toallas / sábanas (por un suplemento), Pesca, Baños públicos, Vistas a un lugar de interés, Situado frente a la playa, WC, Zona de fumadores, Toallas, Snack-bar, Sofá, Vistas a la montaña, Almuerzos para llevar, Tours a pie, Español, Vistas al mar, Fogones, Restaurante, Zona de pícnic, Recepción 24 horas, Zona privada de playa, Guardaequipaje, Ropa de cama, Ducha, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/407000862.jpg?k=c8b9a59da6c1a437d1bdcd95a2a0eefbdf8711db9e4e413f4e4932082c4780f9&o=&hp=1,Huarmey,Perú
Karibana,https://www.booking.com/hotel/pe/karibana.es.html?aid=2410095,"Karibana está en Huarmey. Hay wifi gratis en todo el alojamiento.

El apartamento ofrece servicio de alquiler de bicicletas.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 241 km.","Habitaciones sin humo, Playa, Seguridad 24 horas, Prohibido fumar en todo el alojamiento, Alquiler de bicicletas, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Llave de acceso, Servicio de traslado, Español, Baño privado, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Información turística, Habitaciones hipoalergénicas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516039036.jpg?k=3e904127aeda8c4767da60e682a0c99b46a43b6b9f019d6f45a492d0ad7fad72&o=&hp=1,Huarmey,Perú
La Nueva Vista,https://www.booking.com/hotel/pe/la-nueva-vista.es.html?aid=2410095,"La Nueva Vista es un alojamiento de 2 estrellas que se encuentra en Huarmey.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 240 km del alojamiento.","Inglés, Prohibido fumar en todo el alojamiento, Español, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535758139.jpg?k=0d3525856484ab68c9ba7bf055c2fb8055b66cbcb031c46696cf21b25c2be1f5&o=&hp=1,Huarmey,Perú
BOLOGNESI,https://www.booking.com/hotel/pe/bolognesi-huarmey.es.html?aid=2410095,"BOLOGNESI se encuentra en Huarmey. Este apartamento también dispone de wifi gratis.

Este apartamento tiene acceso directo a una terraza y cuenta con 1 dormitorio independiente y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 241 km.","Cocina, WiFi gratis, Zona de cocina, TV de pantalla plana, Lavadora, Español, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539455559.jpg?k=18c97dc80cfb30723ac8798ff8ef99c278ab0416e7a7296f035d5ba422cd1215&o=&hp=1,Huarmey,Perú
ALQUILER CASA DE PLAYA FRENTE AL MAR / “CONDOMIO CASTILLO DE ARENA”-HUARMEY,https://www.booking.com/hotel/pe/alquiler-casa-de-playa-frente-al-mar-condomio-castillo-de-arena-huarmey.es.html?aid=2410095,"ALQUILER CASA DE PLAYA FRENTE AL MAR / “CONDOMIO CASTILLO DE ARENA”-HUARMEY está en El Mirador, en la región de Áncash, y dispone de balcón y vistas al jardín. Este alojamiento ofrece piscina privada y parking privado gratis.

La casa o chalet tiene terraza, 4 dormitorios, sala de estar y cocina bien equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 227 km.","Vistas, Terraza, Vistas al jardín, Cocina, Zona de cocina, Piscina, TV de pantalla plana, Parking gratis, Español, Piscina privada, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479624884.jpg?k=17afed14439bbcebbc52009f8abbe6224482c68db37495a464d5482d5ba3c25a&o=&hp=1,Huarmey,Perú
