hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Huasco,https://www.booking.com/hotel/cl/hosteriahuasco.es.html?aid=2410095,"La Hosteria Huasco ofrece habitaciones elegantes y casas de campo independientes en Huasco. Hay conexión Wi-Fi gratuita. La playa de Chica está a solo 50 metros.

Las habitaciones presentan un diseño artístico con colchas de colores, suelo de madera y ventanas grandes. Todas las habitaciones y casas de campo disponen de baño privado, TV por cable y caja fuerte. La casa de campo también tiene cocina, zona de comedor y zona de estar.

La Hosteria Huasco alberga un jardín. Hay servicio de lavandería.

La playa Grande está a 500 metros y la ciudad de Vallenar, a 46 km. La Hosteria Huasco se encuentra a 191 km de Copiapó y a 230 km del aeropuerto Desierto de Atacama. Hay aparcamiento gratuito.","Tumbonas/sillas de playa, Terraza, Playa, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Ropa de cama, Zona de fumadores, Escritorio, Información turística, De temporada, Utensilios de planchado, WiFi gratis, Enchufe cerca de la cama, Piscina interior, Registro de entrada / salida privado, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Español, Piscina con vistas, Caja fuerte, Bañera o ducha, Servicio de planchado, Ducha, Armario, Toallas, Servicio de limpieza diario, Para todas las edades, Jardín, Proporciona factura, Almuerzos para llevar, Spa y centro de bienestar, Canales por cable, Servicio de limpieza en seco, Parking gratis, Baño privado, Secador de pelo, Aseo adicional, Zona TV / salón de uso compartido, WC, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/425638529.jpg?k=3e35ee2c76f5c7ace2da0e88c48dd54017bd22beec46aca409a6ddc9fee83ad9&o=&hp=1,Huasco,Chile
"Departamento Santa Beatriz,Huasco",https://www.booking.com/hotel/cl/departamento-santa-beatriz-huasco.es.html?aid=2410095,"Departamento Santa Beatriz, Huasco se encuentra en Huasco. Este apartamento tiene acceso a una cocina totalmente equipada.

Hay parking privado gratis en el apartamento.","Español, Parking gratis, Prohibido fumar en todo el alojamiento, Habitaciones familiares, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523894649.jpg?k=d0bc14de7bb48e7464fecd546445687c43e5a1827976bbf3ff47daa18cf4a51f&o=&hp=1,Huasco,Chile
Hospedaje entre rokas,https://www.booking.com/hotel/cl/hospedaje-entre-rokas.es.html?aid=2410095,"Hospedaje entre rokas se encuentra en Huasco y dispone de vistas a la ciudad, wifi gratis y parking privado gratis.

Algunas unidades también tienen una cocina equipada con nevera, microondas y minibar.","Pesca, Español, Bañera o ducha, Parking gratis, Vistas a la ciudad, Ducha, Extintores, Vistas, Canales de pago, Ropa de cama, Juegos de mesa / puzles, Vistas al mar, WC, TV, WiFi gratis, Tours a pie, Hervidor eléctrico, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529827339.jpg?k=029af3a9c6126f9ea071daaef4ac8c1ca7aaaa395179d07f51fa404ac888117e&o=&hp=1,Huasco,Chile
Hotel Solaris,https://www.booking.com/hotel/cl/solaris.es.html?aid=2410095,"El Hotel Solaris se encuentra en Huasco y ofrece un jardín. Todas las habitaciones cuentan con TV de pantalla plana con canales por cable y baño privado. La recepción está abierta las 24 horas.

La mayoría de las habitaciones están situadas en el hotel, mientras que la suite estándar se encuentra en un edificio anexo justo enfrente del establecimiento. Los huéspedes pueden utilizar todas las instalaciones del hotel.

El establecimiento sirve un desayuno buffet.","Playa, Servicio de lavandería, Extintores, Zona de fumadores, Plancha para pantalones, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Bañera, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de entrega de comestibles, Español, Calefacción, Caja fuerte, Buffet para niños, Salas de reuniones / banquetes, Servicio de limpieza diario, Jardín, Proporciona factura, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/154175264.jpg?k=959a43bcf793564e596f1bf50dd4dc803ae90643bdc25f11d7756ce9398a66b3&o=&hp=1,Huasco,Chile
Depto huasco,https://www.booking.com/hotel/cl/depto-huasco.es.html?aid=2410095,"Depto huasco está en Huasco, en la región de Atacama, y tiene balcón. Este apartamento dispone de parking privado gratis, servicio de conserjería y wifi gratis.

El apartamento de 1 dormitorio tiene sala de estar con TV de pantalla plana, cocina totalmente equipada y 1 baño.","Parking gratis, Baño privado, Seguridad 24 horas, TV de pantalla plana, Registro de entrada / salida privado, Servicio de conserjería, Cocina, Sofá cama, WiFi gratis, Español, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/430033759.jpg?k=a2b48d9c04e4819045803ff6c23d28db4fdfff44e03b8bd65cc0550fa322477d&o=&hp=1,Huasco,Chile
DPTO SANTA bEATRIZ,https://www.booking.com/hotel/cl/dpto-santa-beatriz.es.html?aid=2410095,"DPTO SANTA bEATRIZ se encuentra en Huasco. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto Desierto de Atacama) está a 179 km.","Español, Parking gratis, TV de pantalla plana, Vistas, Cocina, Lavadora, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579195348.jpg?k=2c4a863804b65d58ed94647e344356fc5b590d7fc13c0f2678d6d937e21ee1ca&o=&hp=1,Huasco,Chile
Retamilla 201,https://www.booking.com/hotel/cl/retamilla-201.es.html?aid=2410095,"Retamilla 201 está en Huasco. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

Este apartamento cuenta con 3 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Desierto de Atacama) está a 179 km.","Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas, Vistas al jardín, Cocina, Español, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577344542.jpg?k=389bb2700ec81ebb9b0e5a92b4ba091a5fb5b6fd3782889046145d83d7075d8a&o=&hp=1,Huasco,Chile
Departamento SANTA BEATRIZ,https://www.booking.com/hotel/cl/departamento-santa-beatriz-huasco1.es.html?aid=2410095,"Departamento SANTA BEATRIZ está en Huasco. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Desierto de Atacama) está a 179 km.","Español, Parking gratis, TV de pantalla plana, Cocina, Balcón, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579187917.jpg?k=5320e8c4de9a1f7ed05abbf5bde3276d150c804cabe486e6bbe91895d147df58&o=&hp=1,Huasco,Chile
cabañas terrazas de olivos,https://www.booking.com/hotel/cl/cabanas-terrazas-de-olivos-huasco-bajo.es.html?aid=2410095,"Cabañas terrazas de olivos está en Huasco Bajo y ofrece vistas al jardín, piscina de temporada al aire libre y jardín.

El apartahotel ofrece terraza, vistas a la piscina, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y horno, y baño privado con ducha. También hay microondas, fogones y tostadora, además de hervidor.

El aeropuerto más cercano (Aeropuerto Desierto de Atacama) está a 176 km.","Muebles de exterior, Terraza, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Zona de fumadores, De temporada, Zona de comedor, Vistas al jardín, Sofá cama, Perchero, Sofá, Zona poco profunda, Vistas a la piscina, Patio, Bañera, Zona de estar, Piscina al aire libre, Fogones, Barbacoa, Entrada privada, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Ducha, Vistas a un patio interior, Mesa de comedor, Armario, Vistas, Para todas las edades, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Tostadora, WC, Habitaciones familiares, Zona de comedor exterior, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574189171.jpg?k=2e8480b044f0b02312418bbe531d9df6c625d23783c34281e6a2e3a66ad8708a&o=&hp=1,Huasco,Chile
Camping Kilómetro 44,https://www.booking.com/hotel/cl/camping-kilometro-44-huasco-bajo.es.html?aid=2410095,"Camping Kilómetro 44 está en Huasco Bajo y dispone de vistas a la montaña, jardín y terraza.

El aeropuerto (Aeropuerto Desierto de Atacama) está a 176 km.","Terraza, Piscina, Vistas a la montaña, Ducha, Barbacoa, Mesa de comedor, Zona de comedor, WC, Jardín, Zona de comedor exterior, Español, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578999080.jpg?k=38e713d890023e2ac8aa200887d7803123d8bb6c6078eb1a871a38adb7ef8b96&o=&hp=1,Huasco,Chile
