hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Pôr do Sol - Studio próximo a UFMG, Mineirão, Pampulha, Centro",https://www.booking.com/hotel/br/por-do-sol-studio-proximo-a-ufmg-mineirao-pampulha-centro.es.html?aid=2410095,"Pôr do Sol - Studio próximo a UFMG, Mineirão, Pampulha, Centro se encuentra en Belo Horizonte, a 4,5 km de Estadio Mineirão, y ofrece alojamiento con terraza, wifi gratis y cocina compartida. El alojamiento ofrece vistas a la ciudad y a la montaña y está a 4,8 km de Estación de autobuses de Belo Horizonte.

El apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina totalmente equipada con nevera, microondas, lavadora, minibar y fogones. Hay toallas y ropa de cama en el apartamento.

Iglesia de San Francisco de Asís está a 5,2 km del alojamiento, y Iglesia de Lagoinha está a 4,9 km. El aeropuerto más cercano (Aeropuerto internacional de Tancredo Neves) está a 39 km del alojamiento.","Acceso a pisos superiores en ascensor, Terraza, Inglés, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Extintores, Productos de limpieza, Ropa de cama, Escritorio, Zona de comedor, Plancha para ropa, Cocina compartida, WiFi gratis, Parking en la calle, Enchufe cerca de la cama, Ventilador, Barbacoa, Fogones, Registro de entrada / salida privado, Cámaras de seguridad en las zonas comunitarias, Apartamento privado en edificio, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Microondas, Utensilios de cocina, Vistas a la ciudad, Ducha, Secadora de ropa, Mesa de comedor, Armario, Toallas, Artículos de aseo gratis, Vistas, Servicio de limpieza diario, Cámaras de seguridad fuera del alojamiento, Nevera, Parking gratis, Vistas a la montaña, Portugués, Ascensor, WC, Zona de spa / relajación, Zona de pícnic, Habitaciones familiares, Zona de comedor exterior, Cocina, Lavadora, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532137237.jpg?k=146d61a18a6e40202fd99a7a91cbada7b38a45019ac93a20b5bf68dd1dea2638&o=&hp=1,Inhotim,Brasil
Hotel Gran Vivenzo Belo Horizonte,https://www.booking.com/hotel/br/bhb-hotel.es.html?aid=2410095,"El Hotel Gran Vivenzo Belo Horizonte ofrece habitaciones con WiFi gratuita. Se encuentra a 12 minutos a pie del entro comercial Minas Shopping y la estación de metro Estação Minas Shopping.

Las habitaciones del Hotel Gran Vivenzo Belo Horizonte disponen de TV por cable, minibar, aire acondicionado y baño privado con secador de pelo.

El establecimiento dispone de centro de fitness. Además, cuenta con instalaciones para reuniones, consigna de equipaje y servicio de limpieza en seco, disponibles por un suplemento.

El restaurante y el bar sirven cocina internacional para el desayuno.

Este hotel está a 4,1 km de la estación de autobuses de Belo Horizonte, a 4,6 km del estadio Mineirão y a 5,7 km de la iglesia de San Francisco de Asís. El aeropuerto internacional Tancredo Neves se sitúa a 27 minutos en coche.","Tarjeta de acceso, Abierta todo el año, Extintores, Productos de limpieza, Utensilios de planchado, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Mesa de comedor, Servicio de aparcacoches, Para todas las edades, Recepción 24 horas, Habitaciones familiares, Portugués, Vistas, Escritorio, Zona de comedor, Vistas a un lugar de interés, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Servicio de despertador / alarma, Bidet, Artículos de aseo gratis, TV de pantalla plana, Ropa de cama, Perchero, Enchufe cerca de la cama, Hipoalergénico, Español, Vistas a la ciudad, Armario, Toallas, Gimnasio, Baño privado, Detectores de humo, Ascensor, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Servicio de lavandería, Llave de acceso, Desayuno fabuloso, Insonorización, Menús para dietas especiales (bajo petición), Plancha para ropa, WiFi gratis, Registro de entrada y salida exprés, Parking privado, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Bañera o ducha, Guardaequipaje, Canales vía satélite, Servicio de limpieza diario, Proporciona factura, Desayuno en la habitación, Seguridad 24 horas, Parking en un garaje, Secador de pelo, Toallas / sábanas (por un suplemento), Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/331212420.jpg?k=ed7f33bd96b651846c452fe93f0ac5dec62f6573aa6e3c735c314ce218902c8d&o=&hp=1,Inhotim,Brasil
Pousada Só Alegria,https://www.booking.com/hotel/br/pousada-so-alegria-mario-campos.es.html?aid=2410095,"La Pousada Só Alegria se encuentra en Mário Campos y cuenta con piscina al aire libre y zona de barbacoa. Hay conexión Wi-Fi gratuita.

Las habitaciones disponen de TV y baño privado con ducha.

La Pousada Só Alegria dispone de recepción 24 horas, billar y jardín. El bar sirve bebidas refrescantes. Hay aparcamiento gratuito.

El puerto deportivo Carlos Drummond de Andrade se encuentra a 33 km. El Pousada Só Alegria se encuentra a 17 km del parque Inhotim.","Tumbonas/sillas de playa, Bar, Abierta todo el año, TV de pantalla plana, Ropa de cama, Sombrillas, Desayuno, Zona poco profunda, Barbacoa, TV, Minibar, Terraza / solárium, Piscina con vistas, Sauna, Supermercado pequeño en el alojamiento, Toallas, Billar, Adecuada para niños, Jardín, Parking gratis, Baño privado, Piscina infantil, WC, 2 piscinas, Habitaciones familiares, Club infantil, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/307685220.jpg?k=ce9205fc767678a216a392c5292e4c63448c068414db142943aeb4b1f5422c4e&o=&hp=1,Inhotim,Brasil
Novotel BH Savassi,https://www.booking.com/hotel/br/novotel-belo-horizonte-savassi.es.html?aid=2410095,"El Novotel Belo Horizonte Savassi está situado en Belo Horizonte, a 3 km de la estación de autobuses de Belo Horizonte, y ofrece alojamiento con aire acondicionado y un bar. Este hotel de 4 estrellas ofrece servicio de habitaciones. Se ofrece aparcamiento privado por un suplemento.

Los puntos de interés populares cerca del hotel incluyen el centro comercial Patio Savassi, la Casa Fiat de Cultura y el centro cultural Bank of Brazil. El aeropuerto más cercano es el de Belo Horizonte/Pampulha - Carlos Drummond de Andrade, ubicado a 10 km del Novotel Belo Horizonte Savassi.","Inglés, Bar, Servicio de lavandería, Desayuno fabuloso, Restaurante, Parking en el alojamiento, Perchero, Happy hour, Menú para niños, Sauna, Armario, Servicio de aparcacoches, Gimnasio, Jardín, Proporciona factura, Spa y centro de bienestar, WiFi, Servicio de habitaciones, Parking en un garaje, Vino / champán, Recepción 24 horas, Aire acondicionado, Club infantil, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320768798.jpg?k=98cda9fde2ca286af36d7db756b0f3d083f78aa191235cf9b411e7548431b5d7&o=&hp=1,Inhotim,Brasil
Normandy Hotel,https://www.booking.com/hotel/br/normandy.es.html?aid=2410095,"El Normandy Hotel está situado en la zona de Belo Horizonte y alberga un restaurante y un centro de negocios. El establecimiento está situado frente al complejo de la iglesia de San José.

Las habitaciones del Normandy Hotel ofrecen vistas a la avenida Afonso Pena y disponen de baño privado, aire acondicionado, minibar y servicio de habitaciones diario.

La recepción está abierta las 24 horas y ofrece servicio de lavandería.

El Normandy Hotel se encuentra a 5 minutos a pie del centro cultural Palácio das Artes, a 300 metros del centro comercial Cidade y a 2 km de la estación de autobuses de Belo Horizonte. El aeropuerto de Pampulha está a 10 km y el aeropuerto de Confins, a 40 km.","Tumbonas/sillas de playa, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Información turística, Sombrillas, WiFi gratis, Baño de vapor, Piscina al aire libre, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Muy buen desayuno, Habitaciones hipoalergénicas, Minibar, Español, Terraza / solárium, Centro de negocios, Piscina con vistas, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Bar en la piscina, Armario, Valla alrededor de la piscina, Toallas, Gimnasio, Servicio de limpieza diario, Servicio de limpieza en seco, Servicio de habitaciones, Baño privado, Vino / champán, Portugués, Secador de pelo, Parking, Recepción 24 horas, Detectores de humo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Ascensor, Toallas de playa/piscina, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/171462211.jpg?k=216f50df01231ce8aeeef053d1773b0188205177be6eb5069ddb88a38ce3a8f3&o=&hp=1,Inhotim,Brasil
VOA Mirante Do Café,https://www.booking.com/hotel/br/pousada-mirante-do-cafe.es.html?aid=2410095,"El VOA Mirante Do Café está situado en las pintorescas plantaciones de café y cuenta con chalés rústicos pintados en azul y blanco. Ofrece una gran variedad de actividades al aire libre, como senderos naturales.

Los huéspedes de la Mirante Do Café pueden hacer senderismo hasta el lago y la cascada de Santo Antonio do Leite o hacer uso del campo de fútbol. También podrán darse un chapuzón en la piscina y relajarse después en la sauna.

El restaurante sirve un desayuno bufé con fruta, zumos y bollería.

Las habitaciones del VOA Mirante Do Café presentan interiores sencillos y disponen de TV, minibar y ventilador. Todas tienen baño privado.

El Mirante Do Café Pousada está a 25 km del centro histórico de Ouro Preto y a 130 km del aeropuerto Tancredo Neves.  Hay aparcamiento gratuito.","Tumbonas/sillas de playa, Extintores, Llave de acceso, Ropa de cama, Sombrillas, Escritorio, Zona de juegos para niños, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Ventilador, Piscina al aire libre, Habitaciones sin humo, Mobiliario exterior, TV, Minibar, Ducha, Papel higiénico, Armario, Toallas, Buen desayuno, Billar, Senderismo, Sala de juegos, Jardín, Parking gratis, Baño privado, Horario de apertura, Toda la unidad en la planta baja, Toallas de playa/piscina, WC, Habitaciones familiares, Portugués, Tendedero, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320932771.jpg?k=f017c0e92425e96d84f79809298aa9ff6f36b3d9d8df2406e1c6818b2532b333&o=&hp=1,Inhotim,Brasil
Bourbon Belo Horizonte Savassi,https://www.booking.com/hotel/br/bourbon-belo-horizonte-business-hotel.es.html?aid=2410095,"Set at the southern part of Afonso Pena Avenue, only 50 metres from the Justice Court, this hotel offers an outdoor pool and spacious rooms with free WiFi. Facilities include a sauna, solarium and private parking.

Guests at Bourbon Belo Horizonte Savassi stay at modern decorated rooms furnished with a large working desk. They have large windows offering views of the surroundings and TVs with satellite channels, a minibar and private bathroom. Some rooms offer views to Serra do Curral. Ironing facilities and safety deposit box are included.

The onsite fitness centre comes with cardio equipment and treadmills for good workouts. Laundry and business facilities are also available at the hotel.

A healthy complimentary breakfast is served in the morning at the hotel’s lounge.

Bourbon Belo Horizonte Savassi is only a 5-minute walk to Savassi and the historic centre of Belo Horizonte is within 15 minutes of driving distance. Liberty Square can be reached in 2.8 km and Tancredo Nevez/Confins Airport is 43 km away.","Tarjeta de acceso, Abierta todo el año, Extintores, Utensilios de planchado, Adaptado personas de movilidad reducida, Piscina al aire libre, Fruta, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Sauna, Salas de reuniones / banquetes, Servicio de aparcacoches, Buen desayuno, Recepción 24 horas, Habitaciones familiares, Portugués, Vistas, Tumbonas/sillas de playa, Silla de masajes, Restaurante, Escritorio, Toda la unidad accesible en silla de ruedas, Vistas a un lugar de interés, Servicio de streaming (como Netflix), Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Servicio de entrega de comestibles, Minibar, Ducha, Artículos de aseo gratis, Hammam, TV de pantalla plana, Ropa de cama, Zona de fumadores, Parking en el alojamiento, Enchufe cerca de la cama, Hipoalergénico, Baño de vapor, Español, Vistas a la ciudad, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Toallas de playa/piscina, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Servicio de lavandería, Insonorización, Menús para dietas especiales (bajo petición), Plancha para ropa, Zona poco profunda, WiFi gratis, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, Habitaciones hipoalergénicas, Terraza / solárium, Guardaequipaje, Servicio de limpieza diario, Seguridad 24 horas, Parking en un garaje, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539946482.jpg?k=61d1dd70060d5481d7f719250935bd0f3c5ef33c393e0bd8b1d8fa40bd910da4&o=&hp=1,Inhotim,Brasil
eSuites Belo Horizonte Minascasa,https://www.booking.com/hotel/br/esuites-belo-horizonte-minascasa.es.html?aid=2410095,"eSuites Belo Horizonte Minascasa is located in Belo Horizonte and offers modern rooms with free WiFi connection. There is a bar on site with a restaurant, the Encore Pizzaria  where guests will find a casual  atmosphere. At eSuites Belo Horizonte Minascasa guests can benefit from a daily breakfast buffet with seasonal fruits, natural juices and bread rolls.

Each of the rooms at eSuites Belo Horizonte Minascasa features a flat-screen TV with cable channels, air conditioning and a minibar. Private bathrooms also come with a shower. Guests will receive 1 bottle (500ml) of water per stay.

The hotel is 6 km from the Pampulha Airport, 8 km from the bus station of Belo Horizonte and 7 km from the Central Market. The property is located 9 km from Mineirão Stadium and about 13 km from the Pope's Square.","Inglés, Bar, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Extintores, Boles para mascotas, Restaurante, Parking en el alojamiento, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Happy hour, Registro de entrada y salida exprés, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Centro de negocios, Apoyo visual: braille, Caja fuerte, Guardaequipaje, Supermercado pequeño en el alojamiento, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Buen desayuno, Cesta para mascotas, Jardín, Almuerzos para llevar, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking en un garaje, Baño privado, Música / espectáculos en directo, Vino / champán, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Ascensor, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580140085.jpg?k=bf79730db3877cb5c15f5b86bea32992869162ac83561b8bab9f3f3e1469b72a&o=&hp=1,Inhotim,Brasil
ibis Belo Horizonte Savassi,https://www.booking.com/hotel/br/ibis-bh-savassi.es.html?aid=2410095,"Situated in Belo Horizonte, Ibis BH Savassi is less than 100 metres from Shopping Pátio Savassi and offers free WiFi, a 24-hour front desk and private parking at a surcharge.

Every room includes a TV, minibar, and a private bathroom fitted with a hairdryer. Ibis BH Savassi extras include air conditioning and a telephone.

Guests benefit from laundry facilities, a 24-hour bar and luggage store. Dry cleaning and ironing services can be arranged for a fee.

São Francisco de Assis Church is 10 km from Ibis BH Savassi, while Municipal Park is 1.8 km from the property. Guests will also be 40 minutes’ drive from Sabará city centre and 44 km from Tancredo Neves International Airport.","Acceso a pisos superiores en ascensor, Inglés, Bar, Snack-bar, Servicio de lavandería, Extintores, Insonorización, Ropa de cama, Escritorio, Parking en el alojamiento, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Servicio de despertador, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Caja fuerte, Bañera o ducha, Guardaequipaje, Ducha, Secadora de ropa, Armario, Toallas, Artículos de aseo gratis, Proporciona factura, WC con barras de apoyo, Seguridad 24 horas, Parking en un garaje, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563705033.jpg?k=7924fa78779978d3945b262817ecad38d35c1dd0998ca74eb71a3294622f76f7&o=&hp=1,Inhotim,Brasil
Tryp by Wyndham Belo Horizonte Savassi,https://www.booking.com/hotel/br/tryp-by-wyndham-belo-horizonte-savassi.es.html?aid=2410095,"El Tryp by Wyndham Belo Horizonte Savassi se encuentra en Belo Horizonte, a 1,4 km del centro comercial Pátio Savassi y a 2,2 km de la plaza Liberdade. Hay WiFi gratuita en todo el establecimiento, que también tiene aparcamiento privado disponible por un suplemento.

Las habitaciones están insonorizadas y cuentan con aire acondicionado, TV de pantalla plana por cable, escritorio, teléfono y armario. El baño es privado e incluye ducha, secador de pelo y artículos de aseo gratuitos.

Todos los días se sirve un desayuno buffet con fruta fresca, pan y embutidos. El establecimiento dispone de recepción 24 horas, centro de negocios, salón de TV compartido y servicio de lavandería.

El hotel se halla a 2,9 km de la estación de autobuses de la ciudad, a 3,3 km del mercado central de Belo Horizonte y a 9 km del estadio Mineirão. Además, el Tryp by Wyndham Belo Horizonte Savassi se encuentra a 14,5 km del aeropuerto de Pampulha y a 34 km del aeropuerto internacional Tancredo Neves.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Boles para mascotas, Escritorio, Zona de fumadores, Menús para dietas especiales (bajo petición), Insonorización, Plancha para pantalones, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Parking privado, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Habitaciones insonorizadas, Español, Calefacción, Caja fuerte, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Francés, Armario, Mesa de comedor, Servicio de limpieza diario, Gimnasio, Artículos de aseo gratis, Jardín, Canales por cable, Desayuno en la habitación, Servicio de limpieza en seco, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, WC con barras de apoyo, Parking en un garaje, Baño privado, Vino / champán, Portugués, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/442684577.jpg?k=dd09ee5672b7b97c1a96dccaf77b06c515fc139facea667015f6fea2bf5bff96&o=&hp=1,Inhotim,Brasil
