hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Bajazzo,US$98,"7,9",Bien,1.426,https://cf.bstatic.com/xdata/images/hotel/max1024x768/63030231.webp?k=074ef20137981fea9f6721739cead54a0e126503f730eda14da6f71478958248&o=,https://www.booking.com/hotel/at/bajazzovienna.es.html?aid=2410095,"Inglés, Parking en un garaje, Servicio de despertador / alarma, Teléfono, Recepción 24 horas, Parking privado, Enchufe cerca de la cama, Toallas / sábanas (por un suplemento), Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Vino / champán, TV de pantalla plana, Fruta, Papel higiénico, Servicio de conserjería, Ascensor, Registro de entrada y salida exprés, Caja fuerte, Suelo de moqueta, Bañera o ducha, Perchero, Alemán, Ropa de cama, Llave de acceso, Información turística, Prohibido fumar en todo el alojamiento, Ruso, Canales por cable, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Minibar, Plancha para ropa, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Buen desayuno, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Reloj despertador, WC, Escritorio, Servicio de despertador, Ventilador",Innere Stadt,Austria,"El Bajazzo, un hotel pequeño de gestión privada situado en una calle tranquila del centro histórico de Viena, ofrece conexión Wi-Fi gratuita y habitaciones y suites con TV por cable y minibar. La parada de metro y tranvía de Schottenring está a solo 300 metros y la catedral de San Esteban se halla a 1,1 km.

Todas las habitaciones están decoradas con gusto y equipadas con diversas instalaciones modernas. El hotel dispone de 6 habitaciones dobles, 5 habitaciones individuales y 1 suite junior. La suite junior consta de 2 dormitorios y baño amplio y resulta adecuada para una familia con un niño. El personal multilingüe de la recepción está disponible las 24 horas.

En las inmediaciones de Bajazzo Hotel hay varios restaurantes, bares y tiendas. La Schwedenplatz se encuentra a solo 900 metros y el famoso Naschmarkt queda a 2 km."
Ruby Lissi Hotel Vienna,US$175,"8,2",Muy bien,4.755,https://cf.bstatic.com/xdata/images/hotel/max1024x768/96239579.webp?k=c02e64c42b7cde83287a59ca380fb545db8c932a307427ec790c36c2676e2c56&o=,https://www.booking.com/hotel/at/ruby-lissi-vienna.es.html?aid=2410095,"Radio, Máquina expendedora (aperitivos), Cafetería en el alojamiento, Inglés, Parking en un garaje, Alarma de seguridad, Recepción 24 horas, Habitaciones insonorizadas, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Seguridad 24 horas, Aire acondicionado, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Vino / champán, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Registro de entrada y salida exprés, Snack-bar, Hipoalergénico, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Máquina expendedora (bebidas), Perchero, Caja fuerte para ordenador portátil, Alemán, Ropa de cama, Suelo de madera o parquet, Tarjeta de acceso, Llave de acceso, Música / espectáculos en directo, Prohibido fumar en todo el alojamiento, Insonorización, Proporciona factura, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, Buen desayuno, Parking, WiFi gratis, Toallas, Habitaciones sin humo, TV, Detectores de humo, WC, Escritorio, Camas extralargas (más de 2 metros), Zona de estar",Innere Stadt,Austria,"El Ruby Lissi Hotel Vienna ocupa un edificio histórico del siglo XVIII situado en el distrito I de Viena, a poca distancia a pie de la plaza Schwedenplatz y de la catedral de San Esteban, y ofrece habitaciones con aire acondicionado y WiFi gratuita.

Las habitaciones presentan una decoración lujosa y un concepto de iluminación cuidadosamente seleccionado. Todas ellas incluyen suelo de madera, paneles de madera de cerezo y tejidos selectos. Disponen de colchón de muelles ensacados, ropa de cama grande y baño de planta abierta con ducha de efecto lluvia con mampara de cristal, artículos de aseo gratuitos y toallas grandes. Hay altavoz Marshall con amplificador y TV de pantalla plana de 40 pulgadas.

Los huéspedes del Ruby Lissi pueden degustar una selección de aperitivos y entrantes italianos, bebidas y vinos seleccionados las 24 horas. El desayuno buffet incluye productos de alta calidad de la región, pan y bollos de trigo integral, fruta recolectada a mano, muesli y café Hausbrandt. En los pasillos de las plantas 1ª y 2ª hay bebidas calientes y una máquina expendedora disponibles durante todo el día.

Se presta un servicio de alquiler de guitarras eléctricas. Hay una lista de reproducción en línea disponible para todos los huéspedes. Se proporciona un servicio de alquiler de bicicletas.

Se encuentra a 170 metros de la parada de metro Schwedenplatz y a 600 metros de la calle Graben. El Ruby Lissi Hotel Vienna se halla a 17 km del aeropuerto internacional de Viena, el más cercano."
Grand Ferdinand Vienna – Your Hotel In The City Center,US$195,"8,4",Muy bien,5.434,https://cf.bstatic.com/xdata/images/hotel/max1024x768/482138699.webp?k=d85e2bdaab98b72fec0f9a7d269654970328e4720e5431150bd0e4a89aa34355&o=,https://www.booking.com/hotel/at/grand-ferdinand.es.html?aid=2410095,"Horario de apertura, Cafetería en el alojamiento, Alarma de seguridad, Bar, Servicio de limpieza diario, Tumbonas/sillas de playa, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Ascensor, Hipoalergénico, Servicio de traslado, Masajes, Servicio de planchado, Información turística, Fax / fotocopiadora, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Parking adaptado para personas de movilidad reducida, Parking en el alojamiento, Restaurante, Servicio de lavandería, Clases de cocina, Recepción 24 horas, Habitaciones insonorizadas, Baño privado, Desayuno fabuloso, WC con barras de apoyo, Ciclismo, Servicio de conserjería, Extintores, Piscina en la azotea, Snack-bar, Adaptado personas de movilidad reducida, Alemán, Plancha para pantalones, Habitaciones hipoalergénicas, Piscina infinita, Insonorización, Traslado aeropuerto, Toallas de playa/piscina, Minibar, Tarjetas de transporte público, Detectores de humo, Terraza / solárium, Servicio de despertador, Inglés, Parking en un garaje, Sombrillas, Servicio de aparcacoches, Abierta todo el año, Guardaequipaje, Secador de pelo, Seguridad 24 horas, Vino / champán, Aire acondicionado, Fruta, 3 restaurantes, Gimnasio, Para todas las edades, Habitaciones familiares, Ropa de cama, Mobiliario exterior, Cajero automático en el hotel, Acceso al salón executive, Prohibido fumar en todo el alojamiento, Artículos de aseo gratis, Vistas, Jardín, Toallas, WC, Terraza, Teléfono, Salas de reuniones / banquetes, Alquiler de bicicletas, TV de pantalla plana, Adaptado para sillas de ruedas, Piscina con vistas, Caja fuerte, Ducha, Taquillas en el gimnasio / spa, Suelo de madera o parquet, Tarjeta de acceso, Servicio de limpieza en seco, Menús para dietas especiales (bajo petición), Proporciona factura, Calefacción, Acceso a pisos superiores en ascensor, WiFi gratis",Innere Stadt,Austria,"El Grand Ferdinand Vienna – Your Hotel In The City Center fue inaugurado en otoño de 2015, está ubicado en el bulevar Ringstraße, en el centro de Viena, y ofrece piscina en la azotea, 3 restaurantes y WiFi gratuita. El parque municipal y la ópera estatal de Viena se encuentran a 5 minutos a pie.

Las habitaciones puristas, adaptadas al estilo de vida y preferencias de los huéspedes modernos, cuentan con aire acondicionado, TV de pantalla plana, caja fuerte, minibar, suelo de madera, baño de planta abierta y un perchero en lugar de armario.

The Grand Étage es un restaurante abierto solo a los huéspedes del hotel, sirve desayunos, está ubicado en la azotea y ofrece piscina y vistas impresionantes.
El restaurante Gulasch & Söhne es ideal para una comida rápida y propone más aperitivos y comidas. Además, el restaurante Meissl & Schadn sirve cocina clásica local.

El Grand Ferdinand Viennase proporciona centro de fitness, recepción las 24 horas y tienda de regalos.

La catedral de San Esteban se halla a 10 minutos a pie."
CH-Hotel Luka,US$115,"8,2",Muy bien,420,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83542582.webp?k=da69bd3c6a53deb1be282348da7d228c76abf95ad55c9a726ff5a4cb5b67f64d&o=,https://www.booking.com/hotel/at/ch-wellnessapartments.es.html?aid=2410095,"Radio, Máquina expendedora (aperitivos), Cafetería en el alojamiento, Inglés, Toallas / sábanas (por un suplemento), Registro de entrada / salida privado, Secador de pelo, Baño privado, Servicio de limpieza diario, Aire acondicionado, Serbio, TV de pantalla plana, Papel higiénico, Tostadora, Snack-bar, Caja fuerte, Vistas a la ciudad, Bañera o ducha, Perchero, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Cafetera, Microondas, Prohibido fumar en todo el alojamiento, Nevera, Canales por cable, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, Plancha para ropa, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Tetera/cafetera en todas las habitaciones, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Toallas, Habitaciones sin humo, TV, Reloj despertador, Sofá, WC, Sofá cama, Escritorio, Muy buen desayuno",Innere Stadt,Austria,"El CH-Hotel Luka está en el centro de Viena, a 300 metros del paseo Ringstraße y a 750 metros de la estación de metro de Schottentor (línea U2), y ofrece WiFi gratis en todo el establecimiento.

Las habitaciones disponen de aire acondicionado, TV por cable de pantalla plana, baño, microondas, nevera, tostadora, cafetera y hervidor de agua eléctrico.

La catedral de San Esteban está a 12 minutos del CH-Wellnesspartments."
Hotel Wandl,US$167,"8,6",Fabuloso,1.993,https://cf.bstatic.com/xdata/images/hotel/max1024x768/46120148.webp?k=109d068d4c28e589bfbc9811bf4343ff021073b2afad2bfb383d71f9cc9053c0&o=,https://www.booking.com/hotel/at/wandl.es.html?aid=2410095,"Radio, Inglés, Servicio de lavandería, Teléfono, Recepción 24 horas, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Aire acondicionado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Servicio de conserjería, Ascensor, Gimnasio, Caja fuerte, Alemán, Ropa de cama, Servicio de planchado, Suelo de madera o parquet, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Traslado aeropuerto, Calefacción, Artículos de aseo gratis, Fax / fotocopiadora, WiFi gratis, Armario, Toallas, Habitaciones sin humo, Detectores de humo, WC, Escritorio, Muy buen desayuno, Servicio de despertador",Innere Stadt,Austria,"El Hotel Wandl está en el centro de Viena, a solo 200 metros de la catedral de San Esteban, y ofrece habitaciones modernas con TV de pantalla plana vía satélite. El hotel está a solo 250 metros de la calle comercial Kärntner Straße y proporciona conexión WiFi gratuita en todas sus instalaciones.

Todas las habitaciones presentan suelo de madera y baño con secador de pelo y artículos de aseo gratuitos. Algunas tienen sofá.

El hotel se encuentra en un edificio que data de 1850 y cuenta con ascensor y recepción abierta las 24 horas. Hay servicios de traslado y de venta de entradas para diferentes eventos.

El bar del Wandl hotel ofrece gran variedad de bebidas frías y calientes. Cada día, se sirve un desayuno buffet.

La estación de metro Stephansplatz (líneas U1 y U3) se encuentra a 2 minutos a pie. El palacio Hofburg, con su centro de eventos y congresos, se halla a 8 minutos a pie del hotel."
Pension Opera Suites I Self Check In,US$127,"8,6",Fabuloso,425,https://cf.bstatic.com/xdata/images/hotel/max1024x768/63134662.webp?k=8dfa2b32f6461191e44f72ee801630b4354555dafcb8cc1ebf86fb164839f4bb&o=,https://www.booking.com/hotel/at/opera-suites.es.html?aid=2410095,"Radio, Escritorio, Inglés, Servicio de despertador / alarma, Teléfono, Enchufe cerca de la cama, Toallas / sábanas (por un suplemento), Secador de pelo, Baño privado, Servicio de limpieza diario, Aire acondicionado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Extintores, Ascensor, Caja fuerte, Suelo de moqueta, Ducha, Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Zapatillas, Cafetera, Prohibido fumar en todo el alojamiento, Nevera, Suelo de baldosa / mármol, Insonorización, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Minibar, Tetera / cafetera, Acceso a pisos superiores en ascensor, Tetera/cafetera en todas las habitaciones, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Detectores de humo, Reloj despertador, WC, Vistas a un patio interior",Innere Stadt,Austria,"El Pension Opera Suites I Self Check In Vienna está idealmente ubicado en el corazón de Viena, frente al Hotel Sacher y la Ópera Estatal de Viena y ofrece amplias habitaciones, generosamente amuebladas con una antigua decoración vienesa. El Pension Opera Suites I Self Check In es una propiedad con registro de entrada automático.

El Pension Opera Suites I Self Check In Vienna es igualmente atractivo para los visitantes de la ópera, los turistas y los viajeros de negocios. La Albertina, el Hofburg, la Catedral de San Esteban y, por supuesto, la Kärntnerstraße, con sus boutiques de moda y tiendas de diseño, se encuentran a poca distancia a pie.

Las estaciones de metro Karlsplatz (líneas U4, U2, U1) y Stephansplatz (líneas U1, U3) se encuentran a entre 2 y 5 minutos a pie."
Pension Dr. Geissler,US$105,"8,1",Muy bien,3.360,https://cf.bstatic.com/xdata/images/hotel/max1024x768/67518837.webp?k=729cf60a40b1f388940759984ad670d20a649df81bcecc04369adfc2eb654f47&o=,https://www.booking.com/hotel/at/pension-dr-geissler.es.html?aid=2410095,"Inglés, Parking en un garaje, Servicio de lavandería, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Servicio de limpieza diario, Tour o clase sobre cultura local, Vino / champán, TV de pantalla plana, Papel higiénico, Servicio de conserjería, Extintores, Ascensor, Registro de entrada y salida exprés, Cámaras de seguridad en las zonas comunitarias, Caja fuerte, Habitaciones familiares, Alemán, Servicio de traslado, Ropa de cama, Servicio de planchado, Tarjeta de acceso, Habitaciones hipoalergénicas, Información turística, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Traslado aeropuerto, Canales por cable, Calefacción, Artículos de aseo gratis, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Buen desayuno, Parking, WiFi gratis, Tarjetas de transporte público, Toallas, Habitaciones sin humo, TV, Detectores de humo, Escritorio",Innere Stadt,Austria,"El establecimiento Pension Dr. Geissler está situado en una calle pequeña del centro de Viena, en un típico edificio vienés, y ofrece habitaciones de estilo tradicional con baño privado y TV por cable.

El establecimiento se encuentra a 10 minutos a pie de la famosa catedral de San Esteban y a pocos minutos a pie de la estación de metro de Schwedenplatz. De allí también salen los tranvías 1 y 2, el servicio de enlace con el aeropuerto y los barcos con destino Bratislava.

El canal del Danubio está a 5 minutos a pie y cuenta con varias cafeterías, bares, una piscina pública instalada en un barco y chiringuitos junto a la zona de playas artificiales. Además, desde el canal se ofrecen excursiones en barco a Bratislava."
Pension Riedl,US$111,"7,9",Bien,1.688,https://cf.bstatic.com/xdata/images/hotel/max1024x768/138099274.webp?k=dff17381d5178746deeb6c25ccba8cd3ad73b6872ddda635911fd0e32a6774b2&o=,https://www.booking.com/hotel/at/pension-riedl.es.html?aid=2410095,"Radio, Inglés, Parking en un garaje, Teléfono, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Canales vía satélite, Extintores, Ascensor, Registro de entrada y salida exprés, Vistas a la ciudad, Ducha, Habitaciones familiares, Perchero, Desayuno, Alemán, Ropa de cama, Suelo de madera o parquet, Llave de acceso, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Vistas, Parking, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Detectores de humo, Reloj despertador, Escritorio",Innere Stadt,Austria,"La Pensión Riedl se encuentra en la famosa Ringstraße, en el centro de Viena, a solo 10 minutos a pie de los monumentos más importantes, como la catedral de San Esteban.

Todas las habitaciones disponen de TV vía satélite y set de té y café. Se proporciona conexión WiFi gratuita en todas las instalaciones. Las habitaciones están ubicadas en la planta superior y son accesibles en ascensor.

La Pension Riedl puede reservar entradas para el teatro y la ópera bajo petición.

La Pension Riedl está ubicado a pocos metros del famoso edificio de estilo Art Nouveau de Otto Wagner Postsparkasse, a 15-20 minutos a pie de los museos de Historia Natural e Historia del Arte, el parlamento, el ayuntamiento, la ópera y la bolsa, y a pocos pasos del centro de transportes Stubenring."
Private CENTRAL Vienna I Self Check In,US$191,"9,0",Fantástico,892,https://cf.bstatic.com/xdata/images/hotel/max1024x768/410731661.webp?k=d7c6d09d820f679005dabcb010f5240c39dda8198090e5247fe88442839bfe4b&o=,https://www.booking.com/hotel/at/private-c-e-n-t-r-a-l-vienna.es.html?aid=2410095,"Radio, Inglés, Teléfono, Alarma de seguridad, Secador de pelo, Baño privado, Servicio de limpieza diario, Aire acondicionado, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Hipoalergénico, Vistas a la ciudad, Ducha, Habitaciones familiares, Perchero, Alemán, Ropa de cama, Suelo de madera o parquet, Cafetera, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, Tetera/cafetera en todas las habitaciones, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Detectores de humo, WC, Escritorio, Zona de estar",Innere Stadt,Austria,"Private CENTRAL Vienna I Self Check In ofrece alojamiento con aire acondicionado en el centro de Viena, a 6 min a pie de Catedral de San Esteban, a 400 metros de Iglesia católica de San Pedro y a 13 min a pie de Jardines Volksgarten de Viena. Se ofrece wifi gratis en todo el alojamiento.

La habitación en casa particular ofrece zona de estar con TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha.

Cerca del alojamiento hay puntos de interés como Palacio Imperial de Hofburg, Tesoro Imperial de Viena y Biblioteca Nacional Austríaca. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 18 km del alojamiento."
Hotel Capricorno,US$167,"8,9",Fabuloso,1.517,https://cf.bstatic.com/xdata/images/hotel/max1024x768/28396239.webp?k=3897623dc4dfff4eedbf1b5856a4f465d8cd2c38754b7bedb335b0c7ae4f8632&o=,https://www.booking.com/hotel/at/gtcapricorno.es.html?aid=2410095,"Radio, Inglés, Parking en un garaje, Servicio de lavandería, Teléfono, Recepción 24 horas, Parking privado, Habitaciones insonorizadas, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Aire acondicionado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Servicio de conserjería, Extintores, Ascensor, Caja fuerte, Suelo de moqueta, Bañera o ducha, Cesta para mascotas, Caja fuerte para ordenador portátil, Alemán, Ropa de cama, Servicio de planchado, Tarjeta de acceso, Boles para mascotas, Servicio de limpieza en seco, Información turística, Prohibido fumar en todo el alojamiento, Calefacción, Minibar, WiFi gratis, Armario, Tarjetas de transporte público, Desayuno fantástico, Habitaciones sin humo, Toallas, TV, Detectores de humo, WC, Escritorio, Servicio de despertador",Innere Stadt,Austria,"Este elegante hotel goza de una ubicación privilegiada en el centro de Viena, en el intercambiador de metro de Schwedenplatz y a 8 minutos a pie de la catedral de San Esteban. Ofrece habitaciones insonorizadas con WiFi gratuita.

Las habitaciones del Hotel Capricorno, elegantes y coloridas, cuentan con aire acondicionado, TV vía satélite con canales Sky, tableta con WiFi gratuita, minibar y caja fuerte.

En las inmediaciones hay diversos pubs y restaurantes que permiten disfrutar de la animada vida vienesa en el corazón de la ciudad.

El Capricornio ofrece un servicio de enlace con el aeropuerto bajo petición y por un suplemento. Los huéspedes que deseen disfrutar de este servicio tendrán que facilitar al establecimiento su número de vuelo y hora de llegada. Un conductor les esperará en la sala de llegadas del aeropuerto internacional de Viena con un cartel con su nombre y les ayudará con su equipaje.

Las paradas de metro de las líneas U1 y U4 están a solo 100 metros del hotel Capricorno. Hay numerosas líneas de tranvía que pasan por la parada de Schwedenplatz, como el tranvía turístico amarillo, que recorre el famoso bulevar Ring."
