hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Avanty,https://www.booking.com/hotel/co/avanty-ipiales.es.html?aid=2410095,"Hotel Avanty es un alojamiento de 3 estrellas que se encuentra en Ipiales. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la ciudad. En el hotel, cada habitación incluye ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km del alojamiento.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Teléfono, Minibar, Suelo de madera o parquet, Vistas, Recepción 24 horas, Baño privado, TV, Parking gratis, Parking en un garaje, Muy buen desayuno, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Canales por cable, Desayuno en la habitación, Servicio de planchado, Servicio de lavandería, WC, Zona de comedor exterior, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Ascensor, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/217036528.jpg?k=7ff7c1e252cbd2360b2c7163430ea231b4757a32a886b657e5d81dbf5e9118f3&o=&hp=1,Ipiales,Colombia
Hotel Santa Isabel 2,https://www.booking.com/hotel/co/santa-isabel-2.es.html?aid=2410095,"Hotel Santa Isabel 2 dispone de alojamiento en Ipiales. Este alojamiento, que tiene salón de uso común, también ofrece terraza solárium. Hay un restaurante de cocina americana y parking privado gratis.

En el hotel, todas las habitaciones cuentan con armario. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado equipado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones cuentan con balcón. En Hotel Santa Isabel 2, las habitaciones tienen escritorio y TV de pantalla plana.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Baños públicos, Cambio de moneda, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Extintores, TV, Armario, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Detectores de humo, Proporciona factura, Barandillas protectoras para bebés, Servicio de aparcacoches, Mobiliario exterior, Canales por cable, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, 3 restaurantes, Toallas, Habitaciones familiares, Plancha para pantalones, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/288289987.jpg?k=f49b5fa025569fe4ed4a067cef06f426edba339f7d90612480d01f7a43d64fd3&o=&hp=1,Ipiales,Colombia
Harmony Hotel,https://www.booking.com/hotel/co/harmony-ipiales.es.html?aid=2410095,"Harmony Hotel ofrece alojamiento en Ipiales. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento.

El hotel dispone de algunas habitaciones con balcón, y todas tienen baño privado con bañera o ducha y secador de pelo. En Harmony Hotel, las habitaciones tienen armario y TV de pantalla plana.

El aeropuerto (Aeropuerto de San Luis) está a 7 km.","Secador de pelo, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Suelo de madera o parquet, Recepción 24 horas, Baño privado, Desayuno fantástico, Extintores, Armario, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Acceso a pisos superiores en ascensor, Fruta, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Enchufe cerca de la cama, Servicio de planchado, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Español, Ascensor, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/292920450.jpg?k=193f0621d2d9c1eae9cfacfe513e565b5dc39fb2a4216b91c6017b019f6dea4b&o=&hp=1,Ipiales,Colombia
Hotel Royal Class,https://www.booking.com/hotel/co/royal-class.es.html?aid=2410095,"Hotel Royal Class se encuentra en Ipiales. Hotel ofrece parking privado gratis y wifi gratis.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades incluyen baño privado con ducha y artículos de aseo gratuitos.

El personal de recepción siempre está dispuesto a ofrecer información.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km.","WC, Traslado aeropuerto, Traslado aeropuerto (gratis), Parking gratis, Habitaciones sin humo, Baño privado, TV de pantalla plana, Parking en un garaje, Español, Recepción 24 horas, Artículos de aseo gratis, WiFi gratis, Ducha, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/149329305.jpg?k=a6319f6563adf5229bf670bae83c7ba6b4537f52c4492dc5dae4057ec89a557c&o=&hp=1,Ipiales,Colombia
Hotel San José Ipiales,https://www.booking.com/hotel/co/san-jose-ipiales.es.html?aid=2410095,"Hotel San José Ipiales ofrece alojamiento en Ipiales. El alojamiento ofrece recepción 24 horas y guardaequipaje.

En el hotel, todas las habitaciones disponen de escritorio y TV de pantalla plana. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto (Aeropuerto de San Luis) está a 7 km.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Baños públicos, Teléfono, Habitaciones sin humo, Suelo de madera o parquet, Recepción 24 horas, Baño privado, TV, Cámaras de seguridad en las zonas comunitarias, Seguridad 24 horas, WiFi gratis, Ducha, Canales por cable, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/170040984.jpg?k=53079fdafda48191bfe3c0fd10bd57a40663546167b180df62441cd03ba36db5&o=&hp=1,Ipiales,Colombia
HotelSuizaApartamentos,https://www.booking.com/hotel/co/suizaapartamentos.es.html?aid=2410095,"HotelSuizaApartamentos se encuentra en Ipiales, en la región de Nariño, y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad cuenta con terraza, TV de pantalla plana, zona de estar, cocina bien equipada y baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km del alojamiento.","Terraza, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Baño privado, Cocina, Armario, Parking gratis, Parking en un garaje, WiFi gratis, Ducha, Enchufe cerca de la cama, Zona de cocina, Sofá, Zona de estar, TV de pantalla plana, Habitaciones familiares, Tendedero, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/383677074.jpg?k=be9bf5b2cd36e51c497e9376bf104ccaef820bcaa0006f370a1c3a7b106fc0c9&o=&hp=1,Ipiales,Colombia
XanticoHostal,https://www.booking.com/hotel/co/xanticohostal.es.html?aid=2410095,"XanticoHostal se encuentra en Ipiales. Este alojamiento ofrece restaurante, cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. El hostal o pensión ofrece terraza y recepción 24 horas.

En el hostal o pensión, las habitaciones incluyen escritorio. En XanticoHostal, cada habitación tiene ropa de cama y toallas.

Se puede jugar al ping-pong y a los dardos en el alojamiento, y también hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Dardos, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Noches de cine, Recepción 24 horas, Happy hour, Libros, DVD o música para niños, Servicio de limpieza diario, Extintores, Clases de cocina, Cocina, Mosquitera, Tour o clase sobre cultura local, Información turística, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Ping pong, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Fruta, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Proporciona factura, Ruta de bares, Zona de juegos interior, Mobiliario exterior, Productos de limpieza, Canales por cable, Tours a pie, Vistas a un patio interior, Alquiler de bicicletas, Zona de estar, Llave de acceso, Servicio de despertador, Escritorio, Utensilios de cocina, Servicio de lavandería, Salas de reuniones / banquetes, WC, Zona de comedor exterior, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, Toallas, Lavadora, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Aseo compartido, Papel higiénico, Sala de juegos, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/355243814.jpg?k=c001b2c1b38bab2deebbd6ddf01c817f57ec160a0df1766ec816609c6aa032b3&o=&hp=1,Ipiales,Colombia
HOTEL COLONIAL,https://www.booking.com/hotel/co/colonial-ipiales.es.html?aid=2410095,"HOTEL COLONIAL se encuentra en Ipiales y dispone de salón de uso común, terraza, restaurante y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones, mostrador de información turística y guardaequipaje.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones tienen baño privado y ducha, y algunas también ofrecen balcón.

Hay servicio de limpieza en seco, parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km.","Desayuno, Terraza, Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cafetería en el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Extintores, Tour o clase sobre cultura local, Traslado aeropuerto, Perchero, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Barandillas protectoras para bebés, Ruta de bares, Zona de juegos interior, Traslado aeropuerto (gratis), Tours a pie, Llave de acceso, Habitaciones hipoalergénicas, Guardaequipaje, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Happy hour, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516351578.jpg?k=4d9210ed2314326fa7ddf350b2f3069f3eb9f74386013aeb7e6ffef006abe012&o=&hp=1,Ipiales,Colombia
Loft Hotel Ipiales,https://www.booking.com/hotel/co/loft-ipiales.es.html?aid=2410095,"Loft Hotel Ipiales dispone de centro de fitness, terraza, restaurante y bar en Ipiales. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. El hotel tiene sauna y cajero automático.

En el hotel, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Cada habitación está equipada con caja fuerte, algunas ofrecen balcón y otras también disponen de vistas a la ciudad. Todas las unidades incluyen armario.

En Loft Hotel Ipiales se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto de San Luis) está a 7 km del alojamiento.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Spa y centro de bienestar, Cajero automático en el hotel, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Almuerzos para llevar, Suelo de madera o parquet, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Calefacción, Baño privado, WC elevado, Extintores, WC con barras de apoyo, TV, Instalaciones de spa, Armario, Vino / champán, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Servicio de conserjería, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Sauna, Servicio de aparcacoches, Caja fuerte para ordenador portátil, Mobiliario exterior, Tarjeta de acceso, Desayuno en la habitación, Gimnasio, Servicio de planchado, Habitaciones hipoalergénicas, Escritorio, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Bar, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/247034775.jpg?k=a03b2df7ecbf472d9a68553f98edcd956ea05a60e184647f4caca4b7568a8b61&o=&hp=1,Ipiales,Colombia
HOTEL OASIS DOS MAX,https://www.booking.com/hotel/co/oasis-dos-max.es.html?aid=2410095,"HOTEL OASIS DOS MAX ofrece alojamiento en Ipiales. Se ofrece parking privado por un suplemento.

El aeropuerto (Aeropuerto de San Luis) está a 6 km.","Prohibido fumar en todo el alojamiento, Español, Parking privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535871599.jpg?k=5e837af0b168bf42b2e15f48dba9070ce9920ab4431fe53933d96bebe9356106&o=&hp=1,Ipiales,Colombia
