hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Gerald,https://www.booking.com/hotel/pa/gerald.es.html?aid=2410095,"El Hotel Gerald goza de una ubicación preciosa en la playa Galeón, en la costa norte de Contadora. Dispone de piscina al aire libre, restaurante, y terraza en la azotea con piscina profunda pequeña.

Todas las habitaciones del Hotel Gerald son sencillas y cuentan con aire acondicionado, conexión Wi-Fi gratuita, TV de pantalla plana y nevera.

El restaurante del Hotel Gerald ofrece una amplia variedad de platos de marisco famosos, así como platos de cocina alemana. También cuenta con un bar de cócteles.

La isla de Contadora es ideal para disfrutar de la pesca y del snorkel. Además, el personal proporcionará información a los huéspedes sobre otras actividades de la zona.

El centro de Playa Larga se encuentra a sólo 5 minutos a pie del hotel, mientras que Playa Canoa está a menos de 500 metros.","Baño privado, Zona TV / salón de uso compartido, Zona de fumadores, Zona de comedor exterior, Alemán, Abierta todo el año, Playa, Instalaciones para deportes acuáticos en el alojamiento, Masaje de espalda, TV, Detectores de humo, Inglés, Masaje de cuello, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Tarjeta de acceso, Submarinismo, Guardaequipaje, Nevera, Restaurante, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Snorkel, Secador de pelo, Alquiler de coches, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Desayuno excepcional, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Trona, Español, Servicio de lavandería, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Clases de yoga, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Mobiliario exterior, Canales por cable, Masaje de pies, Zona de juegos interior, Extintores, Parking en un garaje, Piscina con vistas, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Bar, Juguetes para la piscina, Habitaciones familiares, Pesca, Toallas de playa/piscina, Suelo de baldosa / mármol, Caja fuerte, Piragüismo, Bañera o ducha, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Valla alrededor de la piscina, Desayuno en la habitación, Información turística, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Perchero, Armario, Toda la unidad en la planta baja, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/150106735.jpg?k=c4aca5c32a4f2c36130c090de9b50c3e8b559ee98059ae2495f7dd2d082ea17f&o=&hp=1,Isla Contadora,Panamá
Villa Condesa Del Mar,https://www.booking.com/hotel/pa/villa-contessa-del-mar.es.html?aid=2410095,"La Villa Condesa Del Mar se encuentra en Contadora y ofrece vistas espectaculares y piscina al aire libre con acceso directo a la playa privada. Hay WiFi gratuita. En los alrededores se puede practicar ciclismo, pesca y senderismo.

La cocina completa está equipada con horno y microondas. La Villa Condesa Del Mar cuenta con TV de pantalla plana vía satélite.

Los huéspedes pueden relajarse en la terraza amueblada. Hay zona de barbacoa al aire libre. Hay aparcamiento gratuito.","Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona de fumadores, Menú para niños, Abierta todo el año, Cesta para mascotas, Playa, Canguro / servicios para niños, Registro de entrada / salida privado, Masaje de espalda, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Tarjeta de acceso, Submarinismo, Guardaequipaje, Para todas las edades, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Snorkel, Traslado aeropuerto (gratis), Tours a pie, Aire acondicionado, Masajes, Parking gratis, Terraza / solárium, Español, Zona privada de playa, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Terraza, WiFi gratis, Mobiliario exterior, Extintores, Zona poco profunda, Piscina con vistas, Karaoke, Desayuno, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Piscina al aire libre, Seguridad 24 horas, Juguetes para la piscina, Habitaciones familiares, Pesca, Toallas de playa/piscina, Situado frente a la playa, Alquiler de bicicletas, Caja fuerte, Piragüismo, Boles para mascotas, Sombrillas, Masaje corporal completo, Servicio de conserjería, Llave de acceso, Desayuno en la habitación, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Barbacoa, Snack-bar, Dardos, Piscina climatizada, Habitaciones hipoalergénicas, Bar en la piscina, Happy hour, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/86686801.jpg?k=07d1341814dbab79a7828daa6b1ac90854aa0b6b284ba73ad0d1f4a29882cbf4&o=&hp=1,Isla Contadora,Panamá
La Romantica,https://www.booking.com/hotel/pa/la-romantica.es.html?aid=2410095,"La Romantica se encuentra en Contadora, en la región Panamá.

Las habitaciones cuentan con TV de pantalla plana, set de café y terraza o balcón. Además, La Romantica proporciona WiFi gratuita.

El establecimiento ofrece un servicio de traslado gratuito.

Este bed and breakfast cuenta con un servicio de alquiler de coches. La zona es ideal para practicar snorkel. El aeropuerto internacional de Tocumen es el más cercano y se halla a 62 km.","Baño privado, Zona TV / salón de uso compartido, Masaje de cabeza, Zona de fumadores, Toallas / sábanas (por un suplemento), Proporciona factura, Zona de comedor exterior, Cafetera, Estación de carga de vehículos eléctricos, Alemán, Entrada privada, Masaje de espalda, TV, Inglés, Masaje de cuello, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Camas extralargas (más de 2 metros), Submarinismo, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Fruta, Vistas al jardín, Snorkel, Masaje de manos, Secador de pelo, Alquiler de coches, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Desayuno excepcional, Ducha, Parking gratis, Terraza / solárium, Español, Servicio de lavandería, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Mobiliario exterior, Masaje de pies, Baño adicional, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Tetera / cafetera, Seguridad 24 horas, Habitaciones familiares, Pesca, Suelo de baldosa / mármol, Caja fuerte, Piragüismo, Bañera o ducha, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Masaje corporal completo, Servicio de conserjería, Llave de acceso, Toallas, Información turística, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Canales vía satélite, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Habitaciones hipoalergénicas, Armario, Toda la unidad en la planta baja",https://cf.bstatic.com/xdata/images/hotel/max1024x768/86488024.jpg?k=a13f41a1d14b36f4839363d618c2fe80223883690aa5a43931086f424a30ab53&o=&hp=1,Isla Contadora,Panamá
Mar Y Oro,https://www.booking.com/hotel/pa/villa-romantica.es.html?aid=2410095,"El Mar Y Oro está situado en la isla Contadora, en Panamá. Se encuentra en medio de jardines tropicales amplios y ofrece consigna de equipaje y restaurante. 

Las habitaciones y las suites tienen WiFi, aire acondicionado y vistas al jardín o el paseo marítimo. Incluyen baño con ducha y artículos de aseo gratuitos.

El restaurante del Mar Y Oro sirve especialidades de cocina local de Panamá junto con platos internacionales de Francia, Italia y México. A 1 km encontrará otros restaurantes.

El Mar y Oro puede ponerse en contacto con agencias turísticas locales para organizar salidas o actividades como snorkel y pesca deportiva. La zona también es ideal para realizar excursiones en catamarán.

La ciudad de Panamá está a 40 km.","Restaurante, WiFi gratis, Tumbonas/sillas de playa, Parking en la calle, Mobiliario exterior, Zona de fumadores, Italiano, Servicio de traslado, Desayuno, Juegos de mesa / puzles, Francés, Snorkel, Baños públicos, Bar, Playa, Alquiler de coches, Aire acondicionado, Habitaciones familiares, Pesca, Parking gratis, Terraza / solárium, Español, Situado frente a la playa, Caja fuerte, Inglés, Traslado aeropuerto, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Sombrillas, Jardín, Guardaequipaje, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/115626499.jpg?k=aeea8519d6ef59d2838d25ab00cd2c538bccc970a78c550a7e30cb2f6516e052&o=&hp=1,Isla Contadora,Panamá
Hibiscus House Bed and Breakfast,https://www.booking.com/hotel/pa/hibiscus-house-contadora.es.html?aid=2410095,"El Hibiscus House Bed and Breakfast está situado en una tranquila zona residencial de Contadora. Ofrece conexión Wi-Fi gratuita y un desayuno americano abundante.

Todas las habitaciones tienen aire acondicionado y ventiladores de techo. La mayoría incluye TV de pantalla plana vía satélite, nevera y puertas francesas que dan a la terraza delantera o trasera. Tres habitaciones tienen baño privado, mientras que las otras 2 habitaciones utilizan el baño compartido del establecimiento.

La Casa Tortuga, recomendada por el establecimiento, sirve cocina gourmet italiana 5 noches a la semana y se encuentra a 200 metros de la casa Hibiscus. El restaurante alemán Gerald's también es muy recomendable y está a unos 20 minutos a pie, o a un corto trayecto en coche en uno de los carritos de golf del establecimiento o con el servicio de traslado gratuito de Gerald.

La playa más cercana a la casa es Playa Ejecutiva, a 10 minutos a pie o menos de 5 minutos en carrito de golf. La playa Cacique se encuentra a 10 minutos a pie.

El establecimiento ofrece aparcamiento gratuito y un servicio de alquiler de coches de golf asequible. La pista de aterrizaje de la isla de Contadora está a 1,5 km.","Servicio de streaming (como Netflix), Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Mobiliario exterior, Canales por cable, Canales vía satélite, Proporciona factura, Zona de comedor exterior, Desayuno, Ventilador, Snorkel, Alquiler de coches, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Pesca, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Caja fuerte, Inglés, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Sombrillas, Armario, Ropa de cama, Toallas, Submarinismo, Nevera, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/22232207.jpg?k=6cca0c7fdbe1be3c2885d9f4fc0ed9bf75a9ed8d12a4ddbb80392c715b9585d5&o=&hp=1,Isla Contadora,Panamá
Hotel Contadora,https://www.booking.com/hotel/pa/hostal-las-perlas-de-contadora.es.html?aid=2410095,"El Hotel contadora es un pequeño hotel de gestión familiar con conexión Wi-Fi gratuita y un restaurante. Ofrecemos 6 habitaciones sencillas pero prácticas. Está situado en un lugar céntrico, a 3 minutos de la playa, el aeródromo y el centro de negocios.

El establecimiento alberga un bar y una boutique. Hay aparcamiento privado gratuito. Hay conexión WiFi en las zonas comunes.

Todas las habitaciones incluyen WiFi y TV por cable. Algunas habitaciones tienen terraza o balcón. Las habitaciones disponen de baño privado. No hay agua caliente.

El establecimiento ofrece excursiones de pesca en Carts Golf y excursiones en barco con suelo de cristal.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Canales por cable, Productos de limpieza, Fruta, Menú para niños, Desayuno, Francés, Snack-bar, Perchero, Bar, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Inglés, Vino / champán, Habitaciones sin humo, Papel higiénico, Toallas, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/67610671.jpg?k=e83eb459823d7ba523c63ebfa712e691222f73ae82d989dfb18363909e68d13d&o=&hp=1,Isla Contadora,Panamá
Avani,https://www.booking.com/hotel/pa/avani-panama.es.html?aid=2410095,"Avani se encuentra en Isla Contadora y cuenta con jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel se puede disfrutar de un desayuno continental.","Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Jardín, Español, Desayuno, Inglés, Playa, Aire acondicionado, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573068688.jpg?k=47a933887601edc42b02f922bb81877f3b32dad2b94bd2f8869c3c0990aea62f&o=&hp=1,Isla Contadora,Panamá
Casa del Sol Bed and Breakfast,https://www.booking.com/hotel/pa/casa-del-sol.es.html?aid=2410095,"La Casa del Sol Bed and Breakfast se encuentra en la isla de Contadora. El Casa del Sol ofrece un servicio gratuito de traslado a la isla a la llegada, desayuno continental gratuito, conexión Wi-Fi gratuita y TV vía satélite.

Las habitaciones y suites disponen de aire acondicionado, patio privado y nevera. La Casa del Sol Bed and Breakfast incluye baño con ducha. El jardín cuenta con terrazas amplias.

Se ofrece alquiler de equipos de snorkel, mostrador de información turística y servicio de lavandería. El establecimiento ofrece alquiler de carritos de golf y aparcamiento gratuito. En la zona se pueden practicar diversas actividades, como pesca, avistamiento de ballenas, snorkel, servicio de transporte entre islas y visitas a las playas tranquilas que se encuentran a 500 metros del establecimiento. Se proporcionan toallas de forma gratuita.","Baño privado, Muy buen desayuno, WiFi gratis, Mosquitera, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Utensilios de cocina, Canales vía satélite, Zona de fumadores, Checo, Servicio de traslado, Supermercado pequeño en el alojamiento, Zona de estar, Proporciona factura, Zona de comedor exterior, Parking en un garaje, Vistas al jardín, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Cafetera, Artículos de aseo gratis, Snorkel, Perchero, Secador de pelo, Tetera / cafetera, Bar, Estación de carga de vehículos eléctricos, Traslado aeropuerto (gratis), Patio, Alquiler de coches, Seguridad 24 horas, Aire acondicionado, Capilla, Habitaciones familiares, Ducha, Pesca, Entrada privada, Plancha para ropa, Parking gratis, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Hervidor eléctrico, Habitaciones sin humo, Bañera, Servicio de habitaciones, Papel higiénico, Vino / champán, Servicio de limpieza diario, Armario, Nevera, Jardín, Toda la unidad en la planta baja, Llave de acceso, Toallas, Submarinismo, Desayuno en la habitación, Ropa de cama, Minibar, Zona de comedor, Guardaequipaje, Información turística, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/95274295.jpg?k=69bb1f1152616558d4fb34acdf281b33e50bb19a3f9dfa27eef7d9a7639eb081&o=&hp=1,Isla Contadora,Panamá
Stunning Loft 2 Floor Unit with Balcony,https://www.booking.com/hotel/pa/casa-del-sol-loft.es.html?aid=2410095,"El Stunning Loft 2 Floor Unit with Balcony es un alojamiento independiente situado en Contadora. Los huéspedes pueden observar ballenas de temporada o disfrutar de las playas de arena blanca cercanas. Hay conexión WiFi gratuita.

Este alojamiento dispone de cocina totalmente equipada, zona de comedor y cafetera. También hay aire acondicionado, sofá y ventilador.

El loft dispone de balcón con vistas. Se facilita aparcamiento gratuito. Alquiler de carritos de golf disponibles.

En el establecimiento hay instalaciones para practicar deportes acuáticos. En los alrededores se pueden practicar actividades como pesca, buceo y snorkel. El establecimiento se encuentra a poca distancia a pie de varias playas, como Playa Lucas, Playa Camaron y Playa Cacique.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Balcón, Utensilios de cocina, Servicio de traslado, Zona de estar, Proporciona factura, Zona de comedor exterior, Horno, Vistas al jardín, Ventilador, Cafetera, Estación de carga de vehículos eléctricos, Perchero, Snorkel, Alemán, Fogones, Alquiler de coches, Patio, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Ducha, Pesca, Sofá, Entrada privada, Parking gratis, Terraza, Instalaciones para deportes acuáticos en el alojamiento, Español, Mesa de comedor, Piragüismo, Vistas al mar, Apartamento privado en edificio, Inglés, Sofá cama, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Armario, Nevera, Jardín, Zona de cocina, Microondas, Tostadora, Toallas, Submarinismo, Ropa de cama, Zona de comedor, WC, Mosquitera, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426922010.jpg?k=0cdff8d610a51beecb5bd8c3955a49a0e7b1acead4cfa4566eed8d7493a85eb0&o=&hp=1,Isla Contadora,Panamá
Beautiful Apartment with Terrace,https://www.booking.com/hotel/pa/casa-del-sol-apartment.es.html?aid=2410095,"El Beautiful Apartment with Terrace ofrece alojamiento independiente en la isla Contadora, a solo 2 minutos a pie de la playa de Cacique. También facilita WiFi y aparcamiento privado, ambos gratuitos.

El apartamento dispone de aire acondicionado, ventilador, balcón cerrado y cocina completa con nevera, microondas y horno. El baño privado incluye ducha. Además, se ofrecen vistas al mar y al jardín.

Se proporciona servicio de lavandería. El establecimiento está a 1 km de la playa de Camarón y a 1 minuto en coche del aeropuerto de Contadora.","Baño privado, Cocina, WiFi gratis, Vistas, Polaco, Parking en la calle, Balcón, Mobiliario exterior, Utensilios de cocina, Canales vía satélite, Checo, Servicio de traslado, Supermercado pequeño en el alojamiento, Zona de estar, Proporciona factura, Zona de comedor exterior, Horno, Vistas al jardín, Ventilador, Cafetera, Estación de carga de vehículos eléctricos, Perchero, Fogones, Alquiler de coches, Patio, Aire acondicionado, Habitaciones familiares, Ducha, Pesca, Sofá, Entrada privada, Parking gratis, Terraza, Español, Suelo de baldosa / mármol, Mesa de comedor, Apartamento privado en edificio, Vistas al mar, Servicio de lavandería, Inglés, Sofá cama, Traslado aeropuerto, Papel higiénico, Armario, Nevera, Jardín, Zona de cocina, Microondas, Tostadora, Toallas, Minibar, Submarinismo, Ropa de cama, Zona de comedor, WC, Mosquitera, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/491459762.jpg?k=f328cfab5f099ade50ccccac85f12d476836c920a8dbe4971802c4df43c36eba&o=&hp=1,Isla Contadora,Panamá
