hotel,hotel_url,description,popular_facilities,highres_url,city,country
Selina Jaco,https://www.booking.com/hotel/cr/selina-jaco.es.html?aid=2410095,"El Selina Jaco está situado en Jacó, a 70 km del parque nacional Manuel Antonio, y cuenta con una piscina al aire libre abierta durante todo el año y una terraza. También alberga un restaurante.

El Selina Jaco proporciona WiFi gratuita en todas las zonas.

Las instalaciones incluyen una cocina compartida.

Este albergue cuenta con mesa de billar. El Selina Jaco se encuentra a 46 km de Tambor, a 16 km de Esterillos y a 63 km del aeropuerto internacional Juan Santamaría, que es el más cercano.","Personal de animación, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Detectores de humo, Noches de cine, Sombrillas, Seguridad 24 horas, Playa, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Snorkel, Cocina compartida, Tours en bici, Servicio de traslado, Bar, Entretenimiento nocturno, Guardaequipaje, Centro de negocios, Restaurante, Buen desayuno, Ruta de bares, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Tours a pie, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Jardín, Mobiliario exterior, Llave de acceso, Happy hour, Zona TV / salón de uso compartido, Equitación, Máquina expendedora (bebidas), Parking en la calle, Clases de yoga, Servicio de limpieza diario, Piragüismo, Información turística, Extintores, Piscina al aire libre, Instalaciones para deportes acuáticos en el alojamiento, Discoteca / DJ, WiFi gratis, Música / espectáculos en directo, Submarinismo, Máquina expendedora (aperitivos), Taquillas, Billar, Terraza / solárium, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/255188770.jpg?k=c8bbec80de542768feb68869408f869f48498e1c329285bdd9bf39994c131fe6&o=&hp=1,Jacó,Costa Rica
Crocs Resort & Casino,https://www.booking.com/hotel/cr/croc-39-s-casino-resort.es.html?aid=2410095,"El Crocs Resort & Casino se encuentra en Jacó y alberga 4 restaurantes, 2 bares, un jardín y una piscina al aire libre. La recepción está abierta las 24 horas.

Todas las habitaciones están equipadas con aire acondicionado, TV vía satélite de pantalla plana, cafetera, ducha y escritorio. También tienen armario y baño privado.

El Crocs Resort & Casino sirve un desayuno a la carta.

Además, el establecimiento ofrece mesa de billar y servicio de alquiler de bicicletas.

El Crocs Resort & Casino se encuentra a 150 metros de la playa de Jacó y a 2,2 km del centro comercial abierto Jacó Walk. El aeropuerto internacional Juan Santamaría, situado a 86 km del complejo, es el más cercano. Se proporciona un servicio de enlace con el aeropuerto por un suplemento.","Servicio de despertador / alarma, Servicios de belleza, Baño privado, Vino / champán, Salas de reuniones / banquetes, Detectores de humo, Canales por cable, Playa, Snack-bar, Ascensor, Masajes, Bar, Escritorio, Mobiliario exterior, Tarjeta de acceso, Piscina al aire libre, Muy buen desayuno, WiFi gratis, Música / espectáculos en directo, TV, Proporciona factura, Cajero automático en el hotel, Papel higiénico, Ropa de cama, Servicio de despertador, Eventos deportivos en directo (emisión), Habitaciones sin humo, Teléfono, Secador de pelo, WC, Tratamientos corporales, Tours en bici, Servicio de traslado, Acceso a pisos superiores en ascensor, Servicio de conserjería, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Reloj despertador, Situado frente a la playa, Toallas de playa/piscina, Clases de cocina, Servicio de limpieza diario, Información turística, Paquetes de spa / bienestar, Billar, Tumbonas/sillas de playa, Menú para niños, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Piscina con vistas, Sombrillas, Seguridad 24 horas, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Guardaequipaje, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Tobogán de agua, Extintores, Alquiler de coches, 3 restaurantes, Zona de estar, Habitaciones familiares, Español, Caja fuerte, Inglés, Utensilios de planchado, Tratamientos faciales, Juegos de mesa / puzles, Campo de golf (a menos de 3 km), TV de pantalla plana, Toallas, Plancha para ropa, Bañera o ducha, Snorkel, Entrada privada, Restaurante, Equipamiento de juegos para exterior, Silla de masajes, Abierta todo el año, Servicio de planchado, Cambio de moneda, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Calefacción, Para todas las edades, Adaptado personas de movilidad reducida, Instalaciones de spa, Armario, Bar en la piscina, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/254480509.jpg?k=360a51b555dd2d475e5c277f37d0932a6519f7dc831765667f7d92ee52357b6a&o=&hp=1,Jacó,Costa Rica
Best Western Jaco Beach All Inclusive Resort,https://www.booking.com/hotel/cr/best-western-jaco-beach.es.html?aid=2410095,"Este hotel de 4 estrellas está situado junto a la playa de Jacó, en la región Pacífico Central de Costa Rica. Cuenta con piscinas al aire libre y pistas de tenis y voleibol. Todas las comidas y bebidas están incluidas.

Las habitaciones del Best Western Jacó Beach son amplias y disponen de aire acondicionado, TV vía satélite, set de té y café y baño. Hay WiFi gratuita en todo el complejo.

Todos los días se sirve el desayuno. El restaurante El Puerto ofrece vistas al océano Pacífico y cocina local e internacional. El bar Almendro vende aperitivos y el bar El Muelle se encuentra frente a la playa.

Hay una sala de juegos y actividades infantiles supervisadas. El Best Western Jacó Beach está a solo 3 km de la playa Hermosa, donde se pueden practicar deportes acuáticos.

El hotel está a solo 1 km del centro de Jacó y a 10 km del parque nacional Carara y sus aves tropicales. La ciudad de San José está a 1 hora y 30 minutos en coche, mientras que el aeropuerto internacional Juan Santamaría se encuentra a 1 hora y 10 minutos en coche.","Servicio de despertador / alarma, Fax / fotocopiadora, Baño privado, Salas de reuniones / banquetes, Detectores de humo, Zona de juegos para niños, Canales por cable, Playa, Snack-bar, Ascensor, Bar, Ping pong, Servicio de limpieza en seco, Escritorio, Mobiliario exterior, Tarjeta de acceso, Muy buen desayuno, WiFi gratis, Galerías de arte temporales, Música / espectáculos en directo, Terraza / solárium, Piscina infinita, TV, WC elevado, Proporciona factura, Papel higiénico, Ropa de cama, Servicio de despertador, Habitaciones sin humo, Teléfono, Secador de pelo, Cuerda de emergencia en el baño, Tours en bici, Senderismo, Servicio de conserjería, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Situado frente a la playa, Zona TV / salón de uso compartido, Toallas de playa/piscina, Zona de pícnic, Servicio de limpieza diario, Clases de fitness, Información turística, Fruta, Aeróbic, Perchero, Billar, Tumbonas/sillas de playa, Buffet para niños, Menú para niños, WC con barras de apoyo, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Adaptado para sillas de ruedas, Sala de juegos, Piscina con vistas, Sombrillas, Seguridad 24 horas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Entretenimiento nocturno, Guardaequipaje, Centro de negocios, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Bingo, Alquiler de bicicletas, Jardín, Extintores, Alquiler de coches, Registro de entrada y salida exprés, Discoteca / DJ, Español, Personal de animación, 2 restaurantes, Caja fuerte, Alarma de seguridad, Inglés, 2 piscinas, Utensilios de planchado, Juegos de mesa / puzles, TV de pantalla plana, Zona de juegos interior, Menús para dietas especiales (bajo petición), Equipamiento de tenis, Toallas, Plancha para ropa, Snorkel, Restaurante, Equipamiento de juegos para exterior, Abierta todo el año, Tours a pie, Servicio de planchado, Cambio de moneda, Prohibido fumar en todo el alojamiento, Happy hour, Para todas las edades, Adaptado personas de movilidad reducida, Ciclismo, Armario, Pesca, Parque acuático",https://cf.bstatic.com/xdata/images/hotel/max1024x768/385895644.jpg?k=038e57058c0eeb966808f185d2feecb1afb55e1d0da0c00a3816bac1a750aefb&o=&hp=1,Jacó,Costa Rica
Villa Lapas Jungle Village,https://www.booking.com/hotel/cr/villa-lapas.es.html?aid=2410095,"Este complejo se encuentra en la selva tropical, en el límite con el parque nacional de Carara, en la costa del Pacífica de Costa Rica, y cuenta con piscina y extensos jardines.

Las habitaciones ofrecen vistas a los jardines y presentan un estilo contemporáneo. Cuentan con aire acondicionado, ventilador de techo, caja fuerte, armario, TV por cable y baño privado con ducha y secador de pelo. En la zona del restaurante hay conexión WiFi gratuita.

El establecimiento sirve el desayuno de forma gratuita y alberga un restaurante que ofrece cocina local e internacional. Además, se encuentra cerca de tiendas, restaurantes, lugares de interés y sitios para celebrar bodas y eventos. La recepción del establecimiento organiza circuitos de tirolina y senderismo por una ruta con 5 puentes colgantes (Sky Way Tour) o por el parque nacional de Carara.

El Hotel Villa Lapas está a 12 km de la playa de Herradura, a 15 minutos en coche de la playa de Jacó, y a 10 minutos en coche del centro comercial Herradura. El aeropuerto internacional Juan Santamaría se encuentra a 1 hora en coche.","Piscina infantil, Papel higiénico, Caja fuerte, Inglés, Baño privado, Aire acondicionado, 2 piscinas, Parking gratis, Habitaciones sin humo, Sala de juegos, Secador de pelo, TV de pantalla plana, Canales por cable, Zona de juegos interior, Bañera o ducha, WC, Servicio de traslado, Masajes, Bar, Entrada privada, Guardaequipaje, Ping pong, Senderismo, Restaurante, Buen desayuno, Servicio de conserjería, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Almuerzos para llevar, Ducha, Artículos de aseo gratis, Abierta todo el año, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Capilla, Toallas de playa/piscina, Caja fuerte para ordenador portátil, Servicio de limpieza diario, Información turística, Alquiler de coches, Para todas las edades, Servicio de habitaciones, WiFi gratis, Bañera de hidromasaje / jacuzzi, Ventilador, Billar, Terraza / solárium, Tumbonas/sillas de playa, Armario, Habitaciones familiares, TV, Menú para niños, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/229406888.jpg?k=a60db5ba452118456e5f644f6d3888f2fe91cf110243297fca01d63cdab837b6&o=&hp=1,Jacó,Costa Rica
Casajungla Hostel,https://www.booking.com/hotel/cr/casajungla-hostel.es.html?aid=2410095,"El Jaco Casajungla Hostel se encuentra a 100 metros de la playa Madrigal y a 200 metros del Rancho Santana. Hay WiFi gratuita en todas las instalaciones.

Las habitaciones disponen de baño privado o compartido con toallas. Algunas habitaciones del Casajungla Hostel tienen vistas a los jardines.

El establecimiento cuenta con una amplia zona de estar en el jardín. El desayuno se sirve en todas las habitaciones. También hay zona de barbacoa, mostrador de información turística y consigna de equipaje.

El centro de Jaco está a 2,3 km. Este albergue se encuentra a 3 minutos en coche del teatro Jaco y a 40 minutos en coche del parque nacional Carara.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Juegos de mesa / puzles, Suelo de baldosa / mármol, Campo de golf (a menos de 3 km), Playa, Zona de cocina, Menús para dietas especiales (bajo petición), Horario de apertura, Toallas, Cafetería en el alojamiento, Hervidor eléctrico, WC, Cocina compartida, Servicio de traslado, Guardaequipaje, Senderismo, Zona de fumadores, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Utensilios de cocina, Alquiler de bicicletas, Tours a pie, Abierta todo el año, Zona de comedor, Jardín, Llave de acceso, Mobiliario exterior, Cafetera, Piscina de agua salada, Zona TV / salón de uso compartido, Mosquitera, Mesa de comedor, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Extintores, Solo para adultos, WiFi gratis, Música / espectáculos en directo, Tendedero, Taquillas, Ventilador, Tetera / cafetera, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/366365393.jpg?k=8a1fe3d4b9fe0d30d8305075fa1c98e7950f3b921f6e9620878991b5728dfd60&o=&hp=1,Jacó,Costa Rica
Hostel de Haan,https://www.booking.com/hotel/cr/hostel-de-haan.es.html?aid=2410095,"Hostel de Haan está en Jacó, a pocos pasos de Playa Jacó, y dispone de alojamiento con wifi gratis y parking privado gratis. El albergue está a unos 25 km de Catarata Bijagual y a 27 km de Pura Vida Gardens And Waterfall. Este alojamiento libre de humo se encuentra a 6 km de Rainforest Adventures Jacó.

Todas las habitaciones tienen ropa de cama.

El aeropuerto (Aeropuerto de La Managua) está a 69 km.","Prohibido fumar en todo el alojamiento, Ropa de cama, Caja fuerte, Cocina compartida, Inglés, Ventilador, Parking gratis, Vistas a la piscina, Juegos de mesa / puzles, Noches de cine, Tours a pie, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490612885.jpg?k=eab85a1f3324471092928c148ea7e5c3924ecfd86ab70748f0ae218ec1eda0d4&o=&hp=1,Jacó,Costa Rica
HOTEL Cabinas JACOMAR,https://www.booking.com/hotel/cr/hostal-cabinas-jacomar.es.html?aid=2410095,"HOTEL Cabinas JACOMAR está en Jacó, a pocos pasos de Playa Jacó, y dispone de alojamiento con terraza, parking privado gratis y restaurante. El hotel tiene wifi gratis y está a unos 6 km de Rainforest Adventures Jacó y a 25 km de Catarata Bijagual. El alojamiento ofrece cocina compartida y cambio de moneda.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones incluyen aire acondicionado y baño privado.

Pura Vida Gardens And Waterfall está a 27 km del alojamiento. El aeropuerto (Aeropuerto de La Managua) está a 69 km.","Papel higiénico, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Detectores de humo, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Toallas, Cocina compartida, Restaurante, Enchufe cerca de la cama, Terraza, Artículos de aseo gratis, Cambio de moneda, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, WiFi gratis, Ventilador, TV, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/296241855.jpg?k=0094609f002e49180e60cbe01b6600226a12f039e21237c74444edd3c15752cc&o=&hp=1,Jacó,Costa Rica
Room2Board Hostel and Surf School,https://www.booking.com/hotel/cr/room2board.es.html?aid=2410095,"El Room2Board Hostel and Surf School se encuentra en Jacó y ofrece piscina exterior y restaurante. Este albergue posee un ambiente joven y social. Hay piscina al aire libre y conexión WiFi gratuita.

Las habitaciones privadas y compartidas disponen de ropa de cama, ventilador, aire acondicionado (por un suplemento) y baño privado o compartido con ducha.

El Room2Board Hostel and Surf School cuenta con jardín, terraza, bar, salón compartido, una gran pantalla de cine junto a la piscina, mostrador de información turística, servicio de lavandería, aparcamiento gratuito y terraza en la azotea con hamacas.

El establecimiento alberga una escuela de surf y está construido siguiendo un diseño respetuoso con el medio ambiente.

El aeropuerto internacional Juan Santamaría se halla a 1 hora y media en coche.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Inglés, Vino / champán, Aire acondicionado, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Salas de reuniones / banquetes, Detectores de humo, Seguridad 24 horas, Zona de juegos interior, Playa, Menús para dietas especiales (bajo petición), Francés, Toallas, Cafetería en el alojamiento, Snack-bar, Snorkel, Cocina compartida, Servicio de traslado, Ascensor, Masajes, Bar, Guardaequipaje, Centro de negocios, Senderismo, Zona de fumadores, Restaurante, Servicio de conserjería, Acceso a pisos superiores en ascensor, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Tours a pie, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Jardín, Mobiliario exterior, Cambio de moneda, Happy hour, Llave de acceso, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Equitación, Acceso a pisos superiores solo mediante escaleras, Clases de yoga, Tobogán de agua, Servicio de limpieza diario, Piragüismo, Tour o clase sobre cultura local, Fruta, Piscina al aire libre, Información turística, Discoteca / DJ, Adaptado personas de movilidad reducida, Extintores, Solo para adultos, WiFi gratis, Ciclismo, Taquillas, Ventilador, Toallas / sábanas (por un suplemento), Terraza / solárium, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/93821956.jpg?k=acbd0a2c03b58ca4d11989a8b8d194060ab9a619f286888dcadc845b29b6bd3e&o=&hp=1,Jacó,Costa Rica
La Hacienda Rooms & Food,https://www.booking.com/hotel/cr/hostel-hacienda-garcia.es.html?aid=2410095,"La Hacienda Rooms & Food goza de una ubicación privilegiada a 100 metros de la playa de Jacó y a solo 5 minutos a pie de la plaza Coral y del parque Johannes Dankers. Ofrece conexión WiFi gratuita.

Las habitaciones son funcionales y presentan una decoración sencilla con artículos de aseo gratuitos. El baño incluye ducha. También incluyen ventilador y ropa de cama. Las habitaciones son completamente privadas.

La Hacienda Rooms & Food cuenta con terraza y cocina compartida. El establecimiento también ofrece mostrador de información turística y desayuno gratuito.

El aeropuerto internacional Juan Santamaría está a 1 hora y 25 minutos en coche.","Ropa de cama, Inglés, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Traslado aeropuerto, Detectores de humo, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Toallas, Supermercado pequeño en el alojamiento, WC, Cocina compartida, Servicio de traslado, Senderismo, Servicio de conserjería, Buen desayuno, Ruta de bares, Recepción 24 horas, Servicio de lavandería, Terraza, Tours a pie, Llave de acceso, Vestidor, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Acceso a pisos superiores solo mediante escaleras, Información turística, Extintores, WiFi gratis, Ventilador, Habitaciones familiares, Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293845485.jpg?k=c0a66bb3973570ee9ee84837a0c5518612474fe87c6e66e30b431474547776b4&o=&hp=1,Jacó,Costa Rica
Oceano Boutique Hotel & Gallery,https://www.booking.com/hotel/cr/oceano.es.html?aid=2410095,"Ofrece piscina exterior y centro de spa y bienestar. El Oceano Hotel, situado en Jacó, es un establecimiento ideal para familias. Además, dispone de WiFi gratuita y también se facilita aparcamiento privado gratuito.

La mayoría de habitaciones tiene TV por cable, aire acondicionado y piscina pequeña tipo hidromasaje. La zona de comedor incluye lavavajillas, horno y nevera, mientras que el baño privado cuenta con ducha y secador de pelo. También se proporciona reproductor de DVD/CD.

El Oceano Hotel alberga un restaurante y centro de fitness y cuenta con instalaciones para reuniones, un salón común y mostrador de información turística. Tanto en el establecimiento como en los alrededores se pueden practicar diversas actividades, como golf, ciclismo y equitación.

El Parque Nacional Carara se encuentra a 1 hora en coche y el aeropuerto internacional Juan Santamaría, a 90 km.","Servicio de despertador / alarma, Baño privado, Vino / champán, Detectores de humo, Playa, Masajes, Ascensor, Bar, Nevera, Mobiliario exterior, Tarjeta de acceso, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Terraza / solárium, TV, Proporciona factura, Masaje de pies, Ropa de cama, Papel higiénico, Servicio de despertador, Habitaciones sin humo, Suelo de baldosa / mármol, Teléfono, Secador de pelo, WC, Servicio de traslado, Servicio de conserjería, Buen desayuno, Enchufe cerca de la cama, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Zona TV / salón de uso compartido, Toallas de playa/piscina, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Sombrillas, Guardaequipaje, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Cafetera, Masaje en pareja, Caja fuerte para ordenador portátil, Extintores, Masaje de cabeza, Habitaciones familiares, Español, Masaje de cuello, Caja fuerte, Inglés, Ruso, TV de pantalla plana, Toallas, Masaje de manos, Bañera o ducha, Masaje de espalda, Abierta todo el año, Spa y centro de bienestar, Hebreo, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Piragüismo, Para todas las edades, Instalaciones de spa, Ciclismo, Ventilador, Armario, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/38193789.jpg?k=5aee08ba33573b12fe512662b5c64b4b6398307a727eeb033a900d8daf67f8f3&o=&hp=1,Jacó,Costa Rica
