hotel,hotel_url,description,popular_facilities,highres_url,city,country
César Inn Juiz de Fora Hotel,https://www.booking.com/hotel/br/cesar-palace.es.html?aid=2410095,"The Cesar Palace Hotel is ideally located 50 metres from the Juiz de Fora commercial centre and just 5 km from the Independência Shopping Mall. It offers free Wi-Fi.

Hotel Cesar Palace offers practical rooms with air conditioning, a TV and a minibar. They are simply styled with wooden furniture, including a closet and a desk and provide a private en suite bathroom.

A buffet breakfast is served every morning, which offers a variety of fresh fruits, breads and pastries. Tea, coffee and cold drinks are also available.

The nearest bus station is just 10 km away and assists with access to the Serrinha Juiz de Fora Airport, 9 km away. The Regional Gaianá Airport lies 40 km from the hotel.","Tarjeta de acceso, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, WiFi gratis, Teléfono, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Ducha, Armario, Toallas, Servicio de limpieza diario, Canales por cable, Seguridad 24 horas, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/304166642.jpg?k=7585816390ed792ed4555b00c69783903802d6d36f911c80900f8a5f48e40f1f&o=&hp=1,Juiz de Fora,Brasil
Nobile Hotel Juiz de Fora,https://www.booking.com/hotel/br/nobile-express-juiz-de-fora.es.html?aid=2410095,"Located in Juiz de Fora, 42 km from Conceição do Ibitipoca, Nobile Hotel Juiz de Fora offers free Wi-Fi and free private parking.

Every room is equipped with a balcony, air conditioning, a minibar and a flat-screen TV. For your comfort, the private bathroom is fitted with free toiletries and a hairdryer.

You will find a 24-hour front desk at the hotel.

The nearest airport is RIOgaleão/Tom Jobim International Airport,173 km from Nobile Hotel Juiz de Fora.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Escritorio, Toda la unidad accesible en silla de ruedas, Perchero, Cocina compartida, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Teléfono, Fruta, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Servicio de despertador, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Español, Centro de negocios, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Supermercado pequeño en el alojamiento, Servicio de planchado, Ducha, Papel higiénico, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Máquina expendedora (bebidas), Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Balcón, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545791462.jpg?k=0f8f630caf1048c2fd008586622ab82cfdd24b27145eaab1f2e7f2dd4aee8a0a&o=&hp=1,Juiz de Fora,Brasil
ibis Juiz de Fora,https://www.booking.com/hotel/br/ibis-juiz-de-fora.es.html?aid=2410095,"Ibis Juiz de Fora se encuentra en Juiz de Fora, a 8 min a pie de Lajinha Park, y ofrece alojamiento con salón de uso común, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. Este alojamiento libre de humo está a 4,7 km de Estadio Helenao.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En ibis Juiz de Fora se puede disfrutar de un desayuno buffet.

Para mayor comodidad, el alojamiento tiene un centro de negocios. En la recepción 24 horas, el personal habla inglés, español y portugués.

San Sebastian Church está a 5,7 km del alojamiento, y Cine-Theatro Central está a 7,1 km.","Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Cuerda de emergencia en el baño, Registro de entrada / salida privado, Teléfono, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Guardaequipaje, Ducha, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Parking gratis, Baño privado, Parking en un garaje, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519845653.jpg?k=926d2da527067b572e8da6f340b261abc8ce074de29b113f929447eb579455d0&o=&hp=1,Juiz de Fora,Brasil
Serrano Residencial Hotel,https://www.booking.com/hotel/br/serrano-residencial.es.html?aid=2410095,"El Serrano Residencial Hotel está situado en el centro de Juiz de Fora y ofrece restaurante y conexión Wi-Fi gratuita en las habitaciones y las zonas comunes.

Las habitaciones son modernas y elegantes y disponen de suelo de parqué, aire acondicionado, minibar, TV por cable y baño privado.

El Serrano sirve un desayuno bufé a base de productos dulces y salados, mientras que el restaurante elabora platos de la cocina local e internacional para el almuerzo y la cena.

El establecimiento está a 80 metros del cine y teatro central y a 20 minutos en coche del aeropuerto de Serrinha.","Acceso a pisos superiores en ascensor, Terraza, Inglés, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Ropa de cama, Escritorio, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Zona de estar, Teléfono, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Entrada privada, Suelo de madera o parquet, TV, Habitaciones hipoalergénicas, Minibar, Centro de negocios, Guardaequipaje, Ducha, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Acceso al salón executive, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/315914253.jpg?k=cc100097eda762ad40824668bc7584dd370de6fc9f3f3657bdd738bfab23049e&o=&hp=1,Juiz de Fora,Brasil
Hotel Centenário,https://www.booking.com/hotel/br/centenario-juiz-de-fora.es.html?aid=2410095,"El Hotel Centenário ofrece alojamiento justo enfrente del ayuntamiento de Juiz de Fora.

El establecimiento cuenta con restaurante, solárium y vistas a la ciudad.

Todas las habitaciones disponen de TV y baño privado o compartido.

La recepción del hotel está abierta las 24 horas.","Peluquería / salón de belleza, Acceso a pisos superiores en ascensor, Terraza, TV de pantalla plana, Servicio de lavandería, Ropa de cama, Productos de limpieza, Escritorio, Toda la unidad accesible en silla de ruedas, Plancha para ropa, Plancha para pantalones, Vistas a un lugar de interés, Perchero, WiFi gratis, Fax, Enchufe cerca de la cama, Ventilador, Teléfono, Fax / fotocopiadora, Servicio de despertador, Entrada privada, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Caja fuerte, Bañera o ducha, Guardaequipaje, Canales vía satélite, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Toallas, Servicio de limpieza diario, Suelo de baldosa / mármol, Servicio de habitaciones, Baño privado, Parking, Recepción 24 horas, Máquina expendedora (bebidas), Ascensor, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/321382411.jpg?k=8c73356a358f90a4d691a429e26b6593fb53bdc9f902b9d93764a0ff8fbdb099&o=&hp=1,Juiz de Fora,Brasil
Real Hotel,https://www.booking.com/hotel/br/real-juiz-de-fora.es.html?aid=2410095,"Real Hotel está en Juiz de Fora, a 9 min a pie de Nossa Senhora da Gloria Church, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento está a unos 12 min a pie de Cine-Theatro Central, a 900 metros de San Sebastian Church y a 7,1 km de Lajinha Park. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, todas las habitaciones cuentan con escritorio y TV. En Real Hotel, las habitaciones incluyen aire acondicionado y baño privado.

Estadio Helenao está a 8,4 km del alojamiento.","Servicio de lavandería, Extintores, Escritorio, WiFi gratis, Registro de entrada / salida privado, Teléfono, Parking adaptado para personas de movilidad reducida, TV, Minibar, Servicio de planchado, Ducha, Armario, Servicio de limpieza diario, Buen desayuno, Canales por cable, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/191370406.jpg?k=8f288b204307e5d7d401e845299a0f12ca4c11388a7b389a1b5c8e8675c9fb94&o=&hp=1,Juiz de Fora,Brasil
Imperial Hotel,https://www.booking.com/hotel/br/imperial-nova-california.es.html?aid=2410095,"Imperial Hotel se encuentra en Juiz de Fora, a 2 min a pie de Cine-Theatro Central, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento libre de humo está a 7 min a pie de San Sebastian Church.

En el hotel, todas las habitaciones tienen aire acondicionado, escritorio, terraza con vistas a la ciudad, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las unidades disponen de armario.

Nossa Senhora da Gloria Church está a 1,8 km del alojamiento, y Lajinha Park está a 5 km.","Acceso a pisos superiores en ascensor, Terraza, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Restaurante, Ropa de cama, Escritorio, Reloj despertador, WiFi gratis, Registro de entrada / salida privado, Teléfono, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Buen desayuno, Servicio de aparcacoches, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Almuerzos para llevar, Canales por cable, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Portugués, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/84608380.jpg?k=0b99d355e17b2a86274627aee6cfc180a7ffb98fcc4df3478b3da6bf9958ed44&o=&hp=1,Juiz de Fora,Brasil
Majestic Hotel,https://www.booking.com/hotel/br/majestic-juiz-de-fora.es.html?aid=2410095,"Majestic Hotel se encuentra en Juiz de Fora, a 5 min a pie de Cine-Theatro Central y a 800 metros de San Sebastian Church. El alojamiento está a 2,6 km de Nossa Senhora da Gloria Church, a 5,2 km de Lajinha Park y a 7 km de Estadio Helenao. El alojamiento ofrece recepción 24 horas, servicio de traslado, guardaequipaje y wifi gratis.

Las habitaciones de este alojamiento están equipadas con TV con canales vía satélite. En el hotel, cada habitación está equipada con ropa de cama y toallas.","Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Zona de fumadores, Alquiler de coches, WiFi gratis, Ventilador, Teléfono, Alarma de seguridad, Servicio de despertador, Suelo de madera o parquet, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Buffet para niños, Guardaequipaje, Canales vía satélite, Servicio de planchado, Chimenea exterior, Servicio de despertador / alarma, Toallas, Buen desayuno, Gimnasio, Servicio de limpieza diario, Proporciona factura, Desayuno en la habitación, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Portugués, Recepción 24 horas, Ascensor, Habitaciones familiares, Taquillas, Servicio de traslado, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/131333643.jpg?k=4062e1556d5cbf30b27341afa5b12d5c80ffa0cf8ce622c314d6a37154ed85a6&o=&hp=1,Juiz de Fora,Brasil
Premier Parc Hotel,https://www.booking.com/hotel/br/premier-parc.es.html?aid=2410095,"El Premier Parc se encuentra a 1,8 km del centro comercial Juiz de Fora. Dispone de una elegante piscina, tumbonas y centro de fitness. Hay WiFi gratuita.

Las habitaciones tienen aire acondicionado, TV por cable, minibar y baño con espejo de aumento. En algunas habitaciones hay bañera de hidromasaje.

El Premier Parc Hotel se encuentra a 4,2 km del aeropuerto Francisco de Assis, a 4,7 km del centro de Juiz de Fora y a 7,9 km de la estación de autobuses de la ciudad. El aparcamiento privado es gratuito.","Tumbonas/sillas de playa, Inglés, Bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Menús para dietas especiales (bajo petición), Sombrillas, Vistas a un lugar de interés, Adaptado personas de movilidad reducida, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Hipoalergénico, Registro de entrada y salida exprés, Piscina al aire libre, Teléfono, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones hipoalergénicas, Centro de negocios, Calefacción, Caja fuerte, Español, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Mesa de comedor, Billar, Servicio de limpieza diario, Para todas las edades, Sala de juegos, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Vistas a la montaña, Vino / champán, Secador de pelo, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de spa / relajación, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/297867893.jpg?k=b418c9d66ccc0d849e7ee6d4b5ae8c69fd8b994fea2a870d20329f59701a352d&o=&hp=1,Juiz de Fora,Brasil
Trade Hotel,https://www.booking.com/hotel/br/independencia-trade.es.html?aid=2410095,"El Trade Hotel se encuentra en el distrito de Cascatinha de Juiz de Fora, a solo 240 metros del centro comercial Independência, y ofrece una piscina al aire libre y un restaurante. Hay WiFi gratuita.

Las habitaciones son amplias, presentan una decoración de estilo contemporáneo y disponen de aire acondicionado, TV de pantalla plana por cable, minibar, escritorio, y baño privado con ducha, secador de pelo y artículos de aseo gratuitos.

La recepción permanece abierta las 24 horas. El Trade Hotel cuenta con zona de barbacoa, bar, instalaciones para reuniones, consigna de equipaje, servicio de planchado y aparcamiento privado gratuito.

El hotel se encuentra a 400 metros de la Universidad Federal de Juiz de Fora, a 2,1 km del parque de Lajinha y a 3,6 km del aeropuerto de Juiz de Fora.","Tarjeta de acceso, Abierta todo el año, Extintores, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Fruta, Servicio de conserjería, TV, Caja fuerte, Sauna, Salas de reuniones / banquetes, Cafetería en el alojamiento, Recepción 24 horas, Habitaciones familiares, Portugués, Vistas, Tumbonas/sillas de playa, Restaurante, Vistas al jardín, Escritorio, Cuerda de emergencia en el baño, Fax / fotocopiadora, Servicio de despertador, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Servicio de despertador / alarma, Artículos de aseo gratis, TV de pantalla plana, Ropa de cama, Zona de fumadores, Perchero, Enchufe cerca de la cama, Hipoalergénico, Baño de vapor, Español, Piscina con vistas, Vistas a la ciudad, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, WC, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Snack-bar, Servicio de lavandería, Llave de acceso, Sombrillas, WiFi gratis, Registro de entrada y salida exprés, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Guardaequipaje, Servicio de limpieza diario, Secador de pelo, Toallas / sábanas (por un suplemento), Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Barandillas protectoras para bebés, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547336698.jpg?k=685b41f2fd0445ff7722f5f6e1073564061c8271459db825aaa5b61e14b5d7c8&o=&hp=1,Juiz de Fora,Brasil
