hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
"Grand House Hotel & Zipline Kapan, Armenia",US$60,10,Excepcional,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/530581446.webp?k=c2d77019f8a351819c43bd8431164dd152189b8e9c938b20c81c618da4a8b74e&o=,https://www.booking.com/hotel/am/grand-house.es.html?aid=2410095,"Corte de pelo, Masaje de pies, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Sombrillas, Servicios de belleza, Extintores, Masaje de espalda, Artículos de aseo gratis, Barbacoa, Zona de comedor, Servicio de entrega de comestibles, Habitaciones insonorizadas, Zona de fumadores, Detectores de humo, Albornoz, Masaje de manos, Tendedero, Masaje en pareja, Zona poco profunda, Ciclismo, Zona de estar, Ducha, Tour o clase sobre cultura local, Desayuno, Peluquería / salón de belleza, Balcón, Perchero, Senderismo, Valla alrededor de la piscina, Abierta todo el año, Zona de pícnic, Juegos de mesa / puzles, Servicios de maquillaje, Escritorio, Tetera / cafetera, Registro de entrada / salida privado, Calefacción, Piscina con vistas, Eventos deportivos en directo (emisión), Servicios de depilación, Enchufe cerca de la cama, Almuerzos para llevar, Tours en bici, Habitaciones familiares, Teléfono, Taquillas en el gimnasio / spa, Snack-bar, Vistas, Billar, Armario, Vistas al jardín, Baño de vapor, Masaje de cabeza, Hervidor eléctrico, WC, Toallas de playa/piscina, Masaje de cuello, Piscina infinita, Fax / fotocopiadora, Servicio de traslado, Ruso, Tinte, 2 piscinas, Fruta, Zapatillas, Vistas a la montaña, Playa, Equitación, De temporada, Servicio de planchado, Masaje corporal completo, Libros, DVD o música para niños, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Zona privada de playa, Masajes, Traslado aeropuerto, Utensilios de cocina, Parking adaptado para personas de movilidad reducida, Peinado, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Bar en la piscina, Registro de entrada y salida exprés, Ropa de cama, Para todas las edades, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Jardín, Manicura, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Pedicura, Bañera o ducha, Alquiler de coches, Sauna, Vistas a un patio interior, Suelo de madera o parquet, Plancha para ropa, Tratamientos capilares, Tratamientos faciales, Situado frente a la playa, TV, Vistas a la ciudad, Aire acondicionado, Tetera/cafetera en todas las habitaciones, Nevera, Información turística, Mosquitera, Salas de reuniones / banquetes, Bar, Mesa de comedor, Restaurante, Taquillas, Terraza / solárium, Mobiliario exterior, Canales por cable, Habitaciones sin humo, Horario de apertura, Parking gratis, Tumbonas/sillas de playa, Piscina infantil, Música / espectáculos en directo, Tours a pie, Minibar, Alarma de seguridad, Servicio de despertador",Kapan,Armenia,"Grand House Hotel & Zipline Kapan, Armenia está en Kapan y tiene jardín, restaurante, bar y wifi gratis en todo el alojamiento. Este alojamiento, que tiene servicio de habitaciones, también ofrece barbacoa. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación dispone de escritorio, una terraza con vistas a la ciudad, baño privado, TV, ropa de cama y toallas. Todas las habitaciones cuentan con nevera.

Grand House Hotel & Zipline Kapan, Armenia ofrece desayuno buffet o continental.

Se puede jugar al billar en el alojamiento, y la zona es ideal para practicar ciclismo.

El aeropuerto (Aeropuerto de Parsabad) está a 183 km."
Dian Hotel,US$45,"9,0",Fantástico,78,https://cf.bstatic.com/xdata/images/hotel/max1024x768/299515711.webp?k=4d7377a498c1e8158c8758495c8f74f7e5a35a394bcca25e40dc86a6405e0427&o=,https://www.booking.com/hotel/am/dian.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Parking en un garaje, Ruso, TV de pantalla plana, Recepción 24 horas, Perchero, Toallas / sábanas (por un suplemento), Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bañera o ducha, Canales vía satélite, Alarma de seguridad, Zapatillas, Escritorio, Secador de pelo, Hipoalergénico, Servicio de lavandería, Vistas a la montaña, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Gimnasio, Proporciona factura, Calefacción, WiFi gratis, Nevera, Servicio de planchado, Servicio de entrega de comestibles, Zona de fumadores, Mosquitera, Clases de fitness, Muy buen desayuno, Salas de reuniones / banquetes, Servicio de despertador / alarma, Servicio de limpieza diario, Detectores de humo, Llave de acceso, Enchufe cerca de la cama, Suelo de baldosa / mármol, Habitaciones familiares, Habitaciones hipoalergénicas, Toallas, Teléfono, Ping pong, Traslado aeropuerto, Billar, Armario, Canales por cable, Habitaciones sin humo, Máquina expendedora (bebidas), Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Minibar, Fax / fotocopiadora, Ropa de cama, Servicio de despertador",Kapan,Armenia,"El Dian Hotel se encuentra en Kapan y alberga un centro de fitness. Ofrece recepción 24 horas, servicio de enlace con el aeropuerto, salón compartido y WiFi gratuita en todas las instalaciones.

Los alojamientos incluyen hervidor de agua. Todas las habitaciones tienen aire acondicionado y TV de pantalla plana. Algunos alojamientos del Dian Hotel tienen vistas a la montaña. Las habitaciones incluyen ropa de cama y toallas.

El Dian Hotel sirve un desayuno buffet o continental.

En el hotel se puede jugar al billar y al ping pong.

El aeropuerto más cercano es el de Syunik, ubicado a 3,3 km del Dian Hotel."
Alex b&b,US$47,"9,5",Excepcional,29,https://cf.bstatic.com/xdata/images/hotel/max1024x768/486096455.webp?k=16eff284b03792e5136cf4e3ba7949c8d801abd2d71cb70ddd9856e5015c272c&o=,https://www.booking.com/hotel/am/alex-b-amp-b.es.html?aid=2410095,"Ruso, Ducha, Productos de limpieza, Desayuno, Terraza, Balcón, Jardín, Toallas / sábanas (por un suplemento), Perchero, TV de pantalla plana, Papel higiénico, Bañera o ducha, Canales vía satélite, Entrada privada, Suelo de madera o parquet, Zapatillas, Tetera / cafetera, Secador de pelo, Baño compartido, Vistas a la montaña, Plancha para ropa, Calefacción, TV, Artículos de aseo gratis, Vistas a la ciudad, Cocina, Zona de comedor exterior, Cama plegable, Proporciona factura, Armenio, Barbacoa, Aseo compartido, Nevera, Zona de comedor, Utensilios de planchado, Sofá cama, Mosquitera, Fogones, Mesa de comedor, Enchufe cerca de la cama, Habitaciones familiares, Toallas, Lavadora, Utensilios de cocina, Vistas, Insonorización, Armario, Canales por cable, Vistas al jardín, Habitaciones sin humo, Sofá, Tendedero, Parking gratis, Hervidor eléctrico, Horno, Ropa de cama",Kapan,Armenia,"Alex b&b se encuentra en Kapan y dispone de jardín. Las habitaciones tienen balcón con vistas a la montaña.

En el hostal o pensión, todas las habitaciones cuentan con armario, TV de pantalla plana, baño compartido, ropa de cama, toallas y una terraza con vistas a la ciudad. Todas las unidades cuentan con nevera.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 183 km del alojamiento."
Navasard Resort,US$131,"9,7",Excepcional,12,https://cf.bstatic.com/xdata/images/hotel/max1024x768/388612864.webp?k=a9d30820e32600f6ee3b7c0f681e386a32f96d8c47901eac00a82148bd083feb&o=,https://www.booking.com/hotel/am/navasard-resort-kapan.es.html?aid=2410095,"Ruso, Ducha, Productos de limpieza, Desayuno, TV de pantalla plana, Balcón, Terraza, Jardín, Vistas a la piscina, Valla alrededor de la piscina, Papel higiénico, Bañera o ducha, Piscina pequeña, Entrada privada, Vistas a un patio interior, Zapatillas, Tetera / cafetera, Secador de pelo, Sombrillas, Vistas a la montaña, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Cama plegable, Proporciona factura, Zona de comedor exterior, Piscina al aire libre, Aire acondicionado, Barbacoa, Nevera, Sofá cama, Fogones, Wifi rápida gratis (80 Mbps), Baño privado, Enchufe cerca de la cama, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Inglés, Independiente, Utensilios de cocina, Ventilador, Insonorización, Vistas, Vistas al jardín, Habitaciones sin humo, Sofá, Parking gratis, Hervidor eléctrico, Zona de cocina, Piscina de agua salada, WC, Toallas de playa/piscina, Ropa de cama, Piscina privada",Kapan,Armenia,"Navasard Resort, que tiene terraza, dispone de alojamiento en Kapan con wifi gratis y vistas a la montaña. Este chalet de montaña tiene piscina privada, jardín y parking privado gratis.

Este chalet de montaña con aire acondicionado consta de 1 dormitorio, una sala de estar, una zona de cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el chalet de montaña.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 185 km."
Armenia,US$87,"9,3",Fantástico,19,https://cf.bstatic.com/xdata/images/hotel/max1024x768/184186255.webp?k=50b26aed332246448b42d2ec4c65f9faa3161e57ecb4ae836e036b52f95b5fdf&o=,https://www.booking.com/hotel/am/armenia-kadzharan.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Terraza, TV de pantalla plana, Perchero, Toallas / sábanas (por un suplemento), Recepción 24 horas, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Fruta, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bañera o ducha, Juegos de mesa / puzles, Vistas a un patio interior, Zapatillas, Escritorio, Secador de pelo, Reloj despertador, Servicio de lavandería, Vistas a la montaña, Caja fuerte, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, Calefacción, Armenio, WiFi gratis, Nevera, Cafetería en el alojamiento, Servicio de planchado, Mosquitera, Salas de reuniones / banquetes, Servicio de despertador / alarma, Bar, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Detectores de humo, Baño privado, Enchufe cerca de la cama, Habitaciones familiares, Toallas, Teléfono, Inglés, Ventilador, Vistas, Armario, Habitaciones sin humo, Suelo de moqueta, Tendedero, Parking gratis, Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Minibar, Fax / fotocopiadora, Alarma de seguridad, Servicio de despertador",Kapan,Armenia,"Armenia se encuentra en Nerkʼin Giratʼagh y ofrece wifi gratis en todo el alojamiento. El hotel tiene terraza, vistas a la montaña, restaurante y bar.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. Las habitaciones cuentan con nevera.

En recepción se hablan varios idiomas, como inglés, armenio y ruso.

El aeropuerto más cercano (Aeropuerto internacional de Tabriz) está a 188 km del alojamiento."
Saro B&B and Safari Tours,US$17,"9,1",Fantástico,99,https://cf.bstatic.com/xdata/images/hotel/max1024x768/200914114.webp?k=52967d7625270045ddf2976e0f9c161791596f48354fd7a8dbcbddd7cf10669f&o=,https://www.booking.com/hotel/am/saro-39-s-bed-and-breakfast.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Parking en un garaje, Ruso, Terraza, Recepción 24 horas, Jardín, Perchero, Senderismo, Zona TV / salón de uso compartido, Zona de pícnic, Papel higiénico, Acceso al salón executive, Bañera o ducha, Alquiler de coches, Entrada privada, Vistas a un patio interior, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Servicio de lavandería, Equitación, Registro de entrada / salida privado, Extintores, Calefacción, Artículos de aseo gratis, WiFi gratis, Barbacoa, Cafetería en el alojamiento, Desayuno en la habitación, Información turística, Servicio de planchado, Zona de fumadores, Mesa de comedor, Desayuno excepcional, Restaurante, Servicio de limpieza diario, Llave de acceso, Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Traslado aeropuerto, Insonorización, Terraza / solárium, Mobiliario exterior, Armario, Camas extralargas (más de 2 metros), Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Tendedero, Baño adicional, Menús para dietas especiales (bajo petición), Parking gratis, Pesca, WC, Canguro / servicios para niños, Ropa de cama",Kapan,Armenia,"Saro B&B and Safari Tours está en Tatʼev y ofrece vistas al jardín, jardín, salón de uso común, terraza y restaurante. En la casa rural, tanto el wifi como el parking privado son gratis.

Hay un baño privado con ducha en algunas unidades, además de artículos de aseo gratuitos, secador de pelo y zapatillas.

Saro B&B and Safari Tours ofrece servicio de alquiler de coches.

El aeropuerto (Aeropuerto de Parsabad) está a 218 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Bed and Breakfast John and Lena,US$17,"9,5",Excepcional,95,https://cf.bstatic.com/xdata/images/hotel/max1024x768/74326849.webp?k=f6e2d39ce2590892719ef4ee52ccffc5a312fd42c24a42d707752c8749760558&o=,https://www.booking.com/hotel/am/bed-and-breakfast-john-and-lena.es.html?aid=2410095,"Ruso, Habitaciones sin humo, Servicio de lavandería, Recepción 24 horas, Jardín, Parking gratis, Habitaciones familiares, Desayuno fantástico, Inglés, WiFi gratis, Servicio de planchado, Suelo de madera o parquet",Kapan,Armenia,"Bed and Breakfast John and Lena está en Tatʼev y ofrece alojamiento con wifi gratis y parking privado gratis.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 218 km."
Harsnadzor Eco Resort,US$37,"8,2",Muy bien,706,https://cf.bstatic.com/xdata/images/hotel/max1024x768/304729658.webp?k=fa5d892913a12f3a370d9a2ae665d2730c944921c86d12d258b3c702598431eb&o=,https://www.booking.com/hotel/am/harsnadzor-resort.es.html?aid=2410095,"Ruso, Desayuno, Terraza, Jardín, Perchero, Senderismo, Recepción 24 horas, Fruta, Papel higiénico, Sauna, Entrada privada, Servicio de lavandería, Registro de entrada / salida privado, Calefacción, WiFi gratis, Barbacoa, Servicio de planchado, Restaurante, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Traslado aeropuerto, Servicio de conserjería, Insonorización, Parking adaptado para personas de movilidad reducida, Armario, Habitaciones sin humo, Máquina expendedora (bebidas), Parking gratis, Vino / champán, Servicio de traslado, Ropa de cama",Kapan,Armenia,"Harsnadzor Eco Resort está en Halidzor y tiene jardín, terraza, restaurante y wifi gratis. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación cuenta con armario. En Harsnadzor Eco Resort, todas las habitaciones incluyen ropa de cama y toallas.

La clientela puede practicar actividades en Halidzor y alrededores, como senderismo.

En recepción se habla inglés y ruso, y el personal está siempre dispuesto a echar una mano.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 228 km."
Old Halidzor,US$30,"9,0",Fantástico,418,https://cf.bstatic.com/xdata/images/hotel/max1024x768/149994056.webp?k=c2e88baed98d59bbc393fea0abe6962ad7dcca4e81ee9e46c5cdb835b21fcd63&o=,https://www.booking.com/hotel/am/old-halidzor.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Traslado aeropuerto (gratis), Jardín, Senderismo, Servicio de lavandería, Equitación, Registro de entrada / salida privado, Calefacción, Desayuno fantástico, WiFi gratis, Barbacoa, Desayuno en la habitación, Servicio de planchado, Habitaciones insonorizadas, Parking en la calle, Servicio de limpieza diario, Restaurante, Almuerzos para llevar, Inglés, Traslado aeropuerto, Cocina compartida, Menús para dietas especiales (bajo petición), Parking gratis, Registro de entrada y salida exprés",Kapan,Armenia,"Old Halidzor se encuentra en Halidzor y ofrece wifi gratis, jardín, restaurante y zona de barbacoa.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 227 km del alojamiento."
BARDZRAVAN HYURATUN,US$15,"6,3",Puntuación,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/376366254.webp?k=5acce098ed0113039427c23f2f32e7a8af05042c374b5921e37e906a0a9051a0&o=,https://www.booking.com/hotel/am/bardzravan-hyuratun.es.html?aid=2410095,"Ruso, Ducha, Tour o clase sobre cultura local, Desayuno, Terraza, Balcón, Jardín, Senderismo, TV de pantalla plana, Zona TV / salón de uso compartido, Zona de pícnic, Papel higiénico, Vistas a un lugar de interés, Tetera / cafetera, Servicio de lavandería, Vistas a la montaña, Equitación, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, Armenio, Zona de comedor, Tetera/cafetera en todas las habitaciones, Nevera, Capilla, Mesa de comedor, Habitaciones familiares, Inglés, Utensilios de cocina, Vistas, Habitaciones sin humo, Cocina compartida, Parking gratis, Hervidor eléctrico, WC, Tours a pie, Servicio de traslado, Ropa de cama",Kapan,Armenia,"BARDZRAVAN HYURATUN está en Bardzravan y dispone de vistas a la montaña, jardín, salón de uso común y terraza.

También hay nevera y hervidor.

El aeropuerto (Aeropuerto de Parsabad) está a 204 km."
