hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Anker,US$83,"7,6",Bien,745,https://cf.bstatic.com/xdata/images/hotel/max1024x768/179285914.webp?k=698efb2f409dcd9dc743ef75cc0d5177a30d5f25c2d421186746009cb83add70&o=,https://www.booking.com/hotel/at/anker.es.html?aid=2410095,"Parking en el alojamiento, Cafetería en el alojamiento, Inglés, Restaurante, Bar, Cámaras de seguridad en las zonas comunitarias, Extintores, Ascensor, Caja fuerte, Alemán, Tarjeta de acceso, Parking en la calle, Información turística, Húngaro, Eventos deportivos en directo (emisión), Calefacción, Fax / fotocopiadora, Buen desayuno, WiFi gratis, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento",Klosterneuburg,Austria,"Este hotel tradicional de gestión familiar está situado en el centro urbano de Klosterneuburg y ofrece una base ideal para explorar la vecina ciudad de Viena, que está a solo 12 km.

Este hotel es una opción perfecta tanto para los huéspedes en estancia de negocios como para los huéspedes de vacaciones, ya que dispone de una parada de autobús justo enfrente que le llevará directamente a la capital de Austria, Viena. Los autobuses salen cada 10 minutos y tardan poco tiempo en llegar a su destino.

Por las noches, podrá relajarse en la comodidad de este pequeño hotel tomando algo en la cafetería, utilizando la conexión gratuita a internet para hablar con familiares, amigos y colegas o disfrutando de la cocina austriaca tradicional del restaurante."
Hotel Markgraf,US$79,"7,8",Bien,206,https://cf.bstatic.com/xdata/images/hotel/max1024x768/355811997.webp?k=dada1ab97a35ee5a98436eaa07c289fb54402c59a62ec1c59a2333ba8283ffb3&o=,https://www.booking.com/hotel/at/haphenstrasse.es.html?aid=2410095,"Máquina expendedora (aperitivos), Inglés, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Baño privado, Canales vía satélite, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Caja fuerte, Máquina expendedora (bebidas), Habitaciones familiares, Alemán, Ropa de cama, Mobiliario exterior, Boles para mascotas, Tarjeta de acceso, Suelo de madera o parquet, Senderismo, Parking en la calle, Información turística, Prohibido fumar en todo el alojamiento, Proporciona factura, Calefacción, Buen desayuno, Vistas, Parking, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Jardín, Toallas, Habitaciones sin humo, Detectores de humo, WC, Escritorio",Klosterneuburg,Austria,"Este hotel de gestión familiar goza de una ubicación tranquila en la ruta ciclista del Danubio, en Klosterneuburg, a 20 minutos a pie del monasterio de Klosterneuburg. Ofrece conexión WiFi gratuita y jardín privado.

Por las mañanas se sirve un desayuno buffet abundante. A 5 minutos a pie del Hotel Markgraf hay varios restaurantes y cafeterías.

Los bosques de Viena de los alrededores son ideales para practicar senderismo y ciclismo. En la zona hay numerosas tabernas de vino.

Hay paradas de autobús justo enfrente del hotel que llevan al centro de Klosterneuburg en 5 minutos. Hay aparcamiento gratuito."
"20 min nach Wien, Ruhig und Grün",US$49,"6,7",Puntuación,21,https://cf.bstatic.com/xdata/images/hotel/max1024x768/476761142.webp?k=eac7083d4d154b8aabd1b3a22b58971249fa9484927b4874da66a4e408f53a6e&o=,https://www.booking.com/hotel/at/20-min-nach-wien-ruhig-und-grun.es.html?aid=2410095,"Inglés, Terraza, Tours en bici, Servicio de lavandería, Sombrillas, Español, Horno, Utensilios de cocina, Enchufe cerca de la cama, Equipamiento de juegos para exterior, Lavavajillas, Secador de pelo, Tour o clase sobre cultura local, Instalaciones para deportes acuáticos en el alojamiento, Alquiler de bicicletas, Secadora de ropa, Cocina, Ciclismo, Barbacoa, Vistas al jardín, Ping pong, Ducha, Bañera o ducha, Habitaciones familiares, Perchero, Alemán, Ropa de cama, Mobiliario exterior, Suelo de madera o parquet, Zapatillas, Productos de limpieza, Senderismo, Francés, Mesa de comedor, Nevera, Prohibido fumar en todo el alojamiento, Lavadora, Pediluvio, Zona de comedor, Baño compartido, Tours a pie, Calefacción, Hervidor eléctrico, Plancha para ropa, Vistas, Zona de fumadores, Chimenea exterior, WiFi gratis, Albornoz, Armario, Galerías de arte temporales, Jardín, Parking gratis, Habitaciones sin humo, Toallas, Cocina compartida, Tendedero, Terraza / solárium, Escritorio, Aseo compartido",Klosterneuburg,Austria,"20 min nach Wien, Ruhig und Grün está en Klosterneuburg, en la región de Baja Austria, a 17 km de Centro de Convenciones Austria Center Vienna. Ofrece alojamiento con wifi gratis, zona de barbacoa, jardín y parking privado gratis.

Todas las unidades están equipadas con terraza con vistas al jardín, cocina con nevera y lavavajillas, y baño compartido con ducha. También hay horno y hervidor.

En la habitación en casa particular, la clientela puede jugar al ping-pong en el propio alojamiento o practicar senderismo o ciclismo en los alrededores.

Prater de Viena está a 17 km del alojamiento, y Catedral de San Esteban está a 18 km. El aeropuerto (Aeropuerto internacional de Viena) está a 36 km."
Rooftop - Vienna View,US$113,"7,5",Bien,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/474858816.webp?k=b75328ffe946059dce5421c8ed7a21cc2a9d327654efbc64af0ec1cb2e2534ae&o=,https://www.booking.com/hotel/at/rooftop-vienna-view-klosterneuburg.es.html?aid=2410095,"Fogones, Inglés, Terraza, Tours en bici, Sombrillas, Horno, Registro de entrada / salida privado, Guardaequipaje, Lavavajillas, Baño privado, Aire acondicionado, Tumbonas/sillas de playa, Cocina, Ciclismo, Papel higiénico, Barbacoa, Ascensor, Vistas al jardín, Entretenimiento nocturno, Habitaciones familiares, Balcón, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Mobiliario exterior, Zona de pícnic, Senderismo, Peluquería / salón de belleza, Llave de acceso, Microondas, Cajero automático en el hotel, Prohibido fumar en todo el alojamiento, Nevera, Lavadora, Calefacción, Tetera / cafetera, Plancha para ropa, Entrada privada, Vistas, Zona de fumadores, Chimenea exterior, WiFi gratis, Jardín, Parking gratis, Habitaciones sin humo, Toallas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Terraza / solárium, Escritorio",Klosterneuburg,Austria,"Rooftop - Vienna View se encuentra a solo 13 km de Centro de Convenciones Austria Center Vienna y ofrece alojamiento en Klosterneuburg con jardín y terraza, además de cajero automático. El apartamento, que cuenta con balcón, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

Este apartamento con aire acondicionado se compone de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada con nevera y lavavajillas, y 1 baño. Hay toallas y ropa de cama en el apartamento.

Prater de Viena está a 13 km del alojamiento, y Catedral de San Esteban está a 13 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 32 km."
Pension Huber,US$98,"7,9",Bien,130,https://cf.bstatic.com/xdata/images/hotel/max1024x768/224584780.webp?k=d303ec1648d760037a2754d60b495c359858eed36a4577be8fb9b1dd0bdc6fb3&o=,https://www.booking.com/hotel/at/pension-huber-kritzendorf.es.html?aid=2410095,"Fogones, Inglés, Terraza, Enchufe cerca de la cama, Utensilios de cocina, Zona de cocina, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Instalaciones para deportes acuáticos en el alojamiento, Canales vía satélite, TV de pantalla plana, Apartamento privado en edificio, Cocina, Ciclismo, Papel higiénico, Extintores, Tostadora, Piragüismo, Ducha, Habitaciones familiares, Alemán, Ropa de cama, Mobiliario exterior, Productos de limpieza, Senderismo, Llave de acceso, Cafetera, Microondas, Parking en la calle, Pista de tenis, Mesa de comedor, Nevera, Suelo de baldosa / mármol, Prohibido fumar en todo el alojamiento, Windsurf, Zona de comedor, Equitación, Proporciona factura, Calefacción, Tetera / cafetera, Hervidor eléctrico, Zona de fumadores, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Parking gratis, Habitaciones sin humo, Toallas, TV, Bolos, WC, Pesca, Zona de estar",Klosterneuburg,Austria,"El Pension Huber ofrece alojamiento independiente con conexión WiFi gratuita y se encuentra en Kritzendorf, a 350 metros de la estación de trenes, que ofrece conexiones con Viena. La parada de metro de Heiligenstadt está a 15 minutos en tren.

Los apartamentos cuentan con cocina, ordenador, TV vía satélite y baño con ducha y secador de pelo.

El Pension Huber dispone de terraza y aparcamiento gratuito.

La abadía de Klosterneuburg se halla a 5 km y el aeropuerto internacional de Viena está a 31 km."
Self-Check-In Hotel Adlon,US$58,"6,3",Puntuación,925,https://cf.bstatic.com/xdata/images/hotel/max1024x768/470317902.webp?k=36fa8a0308336326636049a1d5b1e4de4fe0333dbaac0ea62af66b7a680e944d&o=,https://www.booking.com/hotel/at/adlon-wien.es.html?aid=2410095,"Inglés, Terraza, Recepción 24 horas, Registro de entrada / salida privado, Secador de pelo, Baño privado, Papel higiénico, Extintores, Ascensor, Suelo de moqueta, Ducha, Perchero, Alemán, Ropa de cama, Calefacción, Artículos de aseo gratis, Zona de fumadores, WiFi gratis, Armario, Toallas, Detectores de humo, WC, Escritorio",Klosterneuburg,Austria,"Self-Check-In Hotel Adlon es un alojamiento de 3 estrellas situado en Viena, a 8 min a pie de Prater de Viena y a 1,5 km de Recinto ferial Messe Wien. El alojamiento está a 8 min a pie de Casa de Arte de Viena - Hundertwasserhouse, a 1,8 km de Catedral de San Esteban y a 2,6 km de Iglesia católica de San Pedro. El hotel dispone de terraza, recepción 24 horas y wifi gratis.

En el hotel, todas las habitaciones están equipadas con escritorio. Cada habitación dispone de baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Self-Check-In Hotel Adlon, las habitaciones están equipadas con ropa de cama y toallas.

Casa de la Música está a 2,6 km del alojamiento, y Museo Albertina está a 3,2 km. El aeropuerto (Aeropuerto internacional de Viena) está a 18 km."
Servus at Naschmarkt,US$105,"7,9",Bien,45,https://cf.bstatic.com/xdata/images/hotel/max1024x768/350252451.webp?k=fdffa8eb30853685bd10cd2262a46e4231012559f0557f6cf0bc825be92c08a2&o=,https://www.booking.com/hotel/at/servus-at-naschmarkt.es.html?aid=2410095,"Fogones, Inglés, Horno, Enchufe cerca de la cama, Secador de pelo, Baño privado, TV de pantalla plana, Apartamento privado en edificio, Cocina, Papel higiénico, Extintores, Registro de entrada y salida exprés, Vistas al jardín, Suelo de moqueta, Perchero, Alemán, Ropa de cama, Detector de monóxido de carbono, Cafetera, Vistas a un patio interior, Prohibido fumar en todo el alojamiento, Nevera, Lavadora, Proporciona factura, Calefacción, Tetera / cafetera, Hervidor eléctrico, Plancha para ropa, Servicio de streaming (como Netflix), WiFi gratis, Toallas, Detectores de humo, Sofá, WC, Sofá cama, Escritorio",Klosterneuburg,Austria,"Servus at Naschmarkt se encuentra en el barrio de 06. Mariahilf, en Viena, cerca de Ópera Estatal de Viena. Tiene wifi gratis y lavadora. El alojamiento ofrece vistas al jardín y está a 16 min a pie de Museo Albertina y a 1,4 km de Sala de conciertos Musikverein.

El apartamento de 1 dormitorio dispone de sala de estar con TV de pantalla plana, cocina totalmente equipada con nevera y horno, y 1 baño con secador de pelo. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Iglesia de San Carlos Borromeo, Museo Leopold y Museo de Historia Natural. El aeropuerto (Aeropuerto internacional de Viena) está a 19 km."
Saralo Apartments 1050,US$87,"7,9",Bien,328,https://cf.bstatic.com/xdata/images/hotel/max1024x768/235910889.webp?k=1d665b9ae4937b366fad80f1b5ccbe7b482688c3d3c84a5e3941312248d60cbe&o=,https://www.booking.com/hotel/at/saralo-apartments-1050.es.html?aid=2410095,"Parking en el alojamiento, Fogones, Inglés, Enchufe cerca de la cama, Utensilios de cocina, Zona de cocina, Baño privado, TV de pantalla plana, Papel higiénico, Utensilios de planchado, Hipoalergénico, Caja fuerte, Ducha, Bañera o ducha, Perchero, Alemán, Ropa de cama, Parking en la calle, Mesa de comedor, Nevera, Suelo de baldosa / mármol, Prohibido fumar en todo el alojamiento, Ventilador, Habitaciones comunicadas disponibles, Proporciona factura, Calefacción, Hervidor eléctrico, Entrada privada, Plancha para ropa, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Sofá, WC, Sofá cama, Zona de estar",Klosterneuburg,Austria,"Saralo Apartments 1050 está en Viena, a 18 min a pie de Estación de tren Westbahnhof y a 2,9 km de Ópera Estatal de Viena, y ofrece alojamiento con wifi gratis y zona de estar.

Todas las unidades disponen de suelo de baldosa y cuentan con TV de pantalla plana, caja fuerte, zona de cocina equipada con nevera y baño privado con ducha. También hay fogones y hervidor.

Estadio Wiener Stadthalle está a 3,1 km del alojamiento, y Estación Central de Viena está a 3,2 km. El aeropuerto (Aeropuerto internacional de Viena) está a 21 km."
Kunsthaus Apartments,US$94,"7,7",Bien,2.106,https://cf.bstatic.com/xdata/images/hotel/max1024x768/11446455.webp?k=49e70550ae8e3b958036cb8a5cd33c280b5354dc4adf5e4600c58781efb66303&o=,https://www.booking.com/hotel/at/alga-appartements.es.html?aid=2410095,"Fogones, Inglés, Español, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Baño privado, Trona, Serbio, Apartamento privado en edificio, Cocina, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Tostadora, Registro de entrada y salida exprés, Croata, Bañera o ducha, Habitaciones familiares, Perchero, Alemán, Ropa de cama, Italiano, Productos de limpieza, Llave de acceso, Cafetera, Microondas, Francés, Mesa de comedor, Nevera, Prohibido fumar en todo el alojamiento, Canales por cable, Proporciona factura, Calefacción, Terraza / solárium, Hervidor eléctrico, Plancha para ropa, Vistas, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Cámaras de seguridad fuera del alojamiento, Sofá, Detectores de humo, WC, Sofá cama, Turco, Ventilador",Klosterneuburg,Austria,"El elegante establecimiento Kunsthaus Apartments ocupa un edificio histórico de techos altos situado junto a la Kunsthaus y el Museo Hundertwasser de Viena. Ofrece vistas al canal Donaukanal y a la fachada original de la Kunsthaus.

Los apartamentos del Kunsthaus cuentan con una selección de muebles antiguos y una cocina totalmente equipada con lavavajillas y microondas. El establecimiento proporciona WiFi gratuita y calefacción radiante. La mayoría de los alojamientos son accesibles mediante ascensor.

Frente al edificio hay una parada de autobús turístico. El establecimiento está a 2 minutos a pie de la línea 1 de tranvía, que permite llegar en 5 minutos a la famosa avenida vienesa Ringstraße y a la zona de ocio de Prater. La estación de tren de la línea CAT (city airport train) se encuentra a 10 minutos a pie.

En las inmediaciones hay supermercados, restaurantes, una panadería, un banco y una oficina de correos."
City centre apartment,US$48,"6,0",Puntuación,157,https://cf.bstatic.com/xdata/images/hotel/max1024x768/409576151.webp?k=b7eab06b879e77297e7828c224035c8d51b12c43d94cc975cc486b60e9af05da&o=,https://www.booking.com/hotel/at/city-centre-apartment-wien.es.html?aid=2410095,"Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Acceso a pisos superiores en ascensor, Inglés, Papel higiénico, WiFi gratis, Prohibido fumar en todo el alojamiento, Toallas, Habitaciones sin humo, Cocina compartida, Registro de entrada / salida privado, Secador de pelo, Escritorio, Alemán, Baño compartido, Ropa de cama",Klosterneuburg,Austria,"City centre apartment se encuentra en el centro de Viena, a 8 min a pie de Catedral de San Esteban y a 600 metros de Iglesia católica de San Pedro, y ofrece alojamiento con wifi gratis.

Cerca del alojamiento hay puntos de interés como Jardines Volksgarten de Viena, Palacio Imperial de Hofburg y Tesoro Imperial de Viena. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 19 km del alojamiento."
