hotel,hotel_url,description,popular_facilities,highres_url,city,country
Platinum Suites Kuala Lumpur by Cityscape,https://www.booking.com/hotel/my/platinum-suites-kuala-lumpur-by-cityscape.es.html?aid=2410095,"Platinum Suites Kuala Lumpur by Cityscape se encuentra en Kuala Lumpur, a 14 min a pie de Torres Petronas y a 2 km del centro, y ofrece alojamiento con aire acondicionado, wifi gratis y restaurante. El alojamiento dispone de bañera de hidromasaje.

El apartamento ofrece terraza, vistas a la ciudad, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y lavavajillas, y baño privado con bidet y artículos de aseo gratuitos. Las unidades cuentan con patio con vistas al mar.

Platinum Suites Kuala Lumpur by Cityscape ofrece piscina cubierta.

Cerca del alojamiento hay puntos de interés como Centro comercial Suria KLCC, Centro de Convenciones de Kuala Lumpur y Pavilion Kuala Lumpur. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 23 km.","Accesible para personas sordas, Zapatillas, Bañera, WC, Extintores, Zona de cocina, Árabe, Piscina de agua salada, Toda la unidad en la planta baja, Piscina infinita, Armario, Lavavajillas, Vistas al mar, Utensilios de planchado, Cafetería en el alojamiento, Protector de enchufes para niños, Restaurante, Escritorio, Recepción 24 horas, Piscina privada, Piscina climatizada, Cocina, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Patio, Servicio de conserjería, Horno, Vistas, Piscina en la azotea, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Zona de fumadores, Piscina con vistas, Vistas al lago, Alarma de seguridad, Para todas las edades, Habitaciones sin humo, Artículos de aseo gratis, Tetera / cafetera, Habitaciones insonorizadas, Habitaciones familiares, Terraza, WiFi gratis, Ducha, Horario de apertura, Calefacción, Vistas a la piscina, Tendedero, Plancha para ropa, Tostadora, Suelo de baldosa / mármol, Gimnasio, Zona de pícnic, Inglés, Productos de limpieza, Lavadora, Toallas / sábanas (por un suplemento), Plancha para pantalones, Secador de pelo, Independiente, Registro de entrada / salida privado, Toda la unidad accesible en silla de ruedas, Libros, DVD o música para niños, Cama plegable, Bidet, Chino, Vestidor, Vistas al río, Detectores de humo, Albornoz, Zona de comedor exterior, Tarjeta de acceso, TV, Llave de acceso, Malayo, Bañera o ducha, Cambio de moneda, Seguridad 24 horas, Utensilios de cocina, Toallas, Vistas a la ciudad, Papel higiénico, Guardaequipaje, Microondas, Vistas al jardín, Aseo adicional, Secadora de ropa, Sofá, Abierta todo el año, Ventilador, Barandillas de seguridad para bebés, Mesa de comedor, Información turística, Insonorización, Supermercado pequeño en el alojamiento, Fogones, Parking gratis, Bar en la piscina, Hipoalergénico, Piscina interior, Baño privado, Zona de estar, Habitaciones comunicadas disponibles, Tobogán de agua, Vistas a un patio interior, Aire acondicionado, Suelo de madera o parquet, Enchufe cerca de la cama, Mosquitera, Cajero automático en el hotel, Zona de comedor, Servicio de despertador / alarma, Proporciona factura, Servicio de limpieza diario, Bañera de hidromasaje, Chimenea exterior, Nevera, Cámaras de seguridad fuera del alojamiento, Detector de monóxido de carbono, Tumbonas/sillas de playa, Mobiliario exterior, Suelo de moqueta, TV de pantalla plana, Zona poco profunda, Toallas de playa/piscina, Ropa de cama, Perchero, Caja fuerte, Piscina infantil, Minibar, Chimenea, Camas extralargas (más de 2 metros), Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560647884.jpg?k=392bbc5956d81d1b9cc968a123f9ff5cc04ba1695364c2e07a7c4d0ee2fae070&o=&hp=1,Kuala Lumpur,Malasia
"Four Points by Sheraton Kuala Lumpur, City Centre",https://www.booking.com/hotel/my/four-points-by-sheraton-kuala-lumpur-city-centre.es.html?aid=2410095,"Four Points by Sheraton Kuala Lumpur, City Centre es un alojamiento con una ubicación excelente en Kuala Lumpur que ofrece piscina al aire libre, wifi gratis, centro de fitness y habitaciones con aire acondicionado. Este hotel de 5 estrellas ofrece recepción 24 horas y servicio de conserjería. El alojamiento dispone de club infantil, servicio de habitaciones y cambio de moneda.

Todas las habitaciones de este alojamiento están equipadas con hervidor. Algunas unidades de este alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, y también tienen vistas a la ciudad. Las unidades del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

El desayuno diario ofrece opciones buffet, continentales o asiáticas.

El hotel ofrece terraza solárium.

Cerca del alojamiento hay puntos de interés como Torres Petronas, Centro comercial Suria KLCC y Centro de Convenciones de Kuala Lumpur. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 23 km.","Masajes, Zapatillas, Baño privado, Teléfono, Cámaras de seguridad en las zonas comunitarias, Tobogán de agua, Terraza / solárium, Bar en la piscina, Salas de reuniones / banquetes, Aire acondicionado, Minibar, Equipamiento de juegos para exterior, TV, Zona de fumadores, Piscina infantil, WC, Piscina al aire libre, Malayo, Extintores, Cambio de moneda, Servicio de lavandería, Seguridad 24 horas, Toallas, Registro de entrada y salida exprés, Reloj despertador, Proporciona factura, Para todas las edades, Habitaciones sin humo, Servicio de habitaciones, Servicio de despertador, Artículos de aseo gratis, Hervidor eléctrico, Parque acuático, Papel higiénico, Habitaciones familiares, Guardaequipaje, Paquetes de spa / bienestar, Servicio de limpieza en seco, WiFi gratis, Ducha, Horario de apertura, Cafetería en el alojamiento, Adaptado personas de movilidad reducida, Abierta todo el año, Tumbonas/sillas de playa, Plancha para ropa, Desayuno excepcional, Menú para niños, TV de pantalla plana, Gimnasio, Toallas de playa/piscina, Inglés, Chino, Spa y centro de bienestar, Zona de juegos para niños, Bar, Recepción 24 horas, Estación de carga de vehículos eléctricos, Club infantil, Prohibido fumar en todo el alojamiento, Caja fuerte, Secador de pelo, Registro de entrada / salida privado, Juegos de mesa / puzles, Parking en el alojamiento, Detectores de humo, Bidet, Servicio de conserjería, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505619348.jpg?k=c47cb2eb15ed37ced394d5e18cabbff546fa60385902ce748aeee5781ad3bf60&o=&hp=1,Kuala Lumpur,Malasia
Nonee Guesthouse,https://www.booking.com/hotel/my/nonee-guesthouse.es.html?aid=2410095,"Nonee Guesthouse está en Kuala Lumpur, a 2,3 km de Museo y Galería de Arte Bank Negara Malaysia, y tiene salón de uso común, habitaciones libres de humo y wifi gratis en todo el alojamiento. El alojamiento se encuentra a 1,8 km de Berjaya Times Square, a 2,5 km de Estación central de Kuala Lumpur KL Sentral y a 2,6 km de Pavilion Kuala Lumpur. Centro de Convenciones de Kuala Lumpur está a 2,6 km del albergue y Centro comercial Suria KLCC, a 2,7 km.

Las habitaciones de este alojamiento tienen baño compartido con bidet y artículos de aseo gratuitos, y también tienen vistas a la ciudad. Las unidades de este alojamiento disponen de aire acondicionado y escritorio.

Centro comercial Starhill Gallery está a 2,8 km del alojamiento, y Museo de Arte Islámico de Malasia está a 19 min a pie. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 22 km.","Vistas, Aire acondicionado, Bañera, Enchufe cerca de la cama, WC, Taquillas, Cajero automático en el hotel, Malayo, Extintores, Toallas, Registro de entrada y salida exprés, Entrada privada, Habitaciones sin humo, Artículos de aseo gratis, Vistas a la ciudad, Papel higiénico, Baño compartido, WiFi gratis, Ducha, Zona TV / salón de uso compartido, Plancha para ropa, Ventilador, Inglés, Ropa de cama, Escritorio, Supermercado pequeño en el alojamiento, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569591124.jpg?k=1f2fd6a55f7dd1d22af5e0e3fff36a211ed2e1ef884aba986d550dc07ae1ee0c&o=&hp=1,Kuala Lumpur,Malasia
W Kuala Lumpur,https://www.booking.com/hotel/my/w-kuala-lumpur.es.html?aid=2410095,"Located in the heart of the Golden Triangle, W Kuala Lumpur offers accommodations within the hustle and bustle of Kuala Lumpur's city centre. It features an rooftop swimming pool and guests can enjoy meals at the in-house restaurant of have a drink at the bar. Free WiFi is available throughout the property.

It is 350 metres to Petronas Twin Towers and Suria KLCC, while Aquaria KLCC is 900 metres away. KL Tower and Pavilion Kuala Lumpur are 2 km from W Kuala Lumpur. Kuala Lumpur International Airport is 68 km from the property.

Featuring vibrant decor, air-conditioned rooms open up to views of the city and the Petronas Twin Towers. Rooms are fitted with a flat-screen TV, a Bluetooth sound bar and a Nespresso coffeemaker. The en suite bathroom includes shower facilities and W bath amenities.

Other facilities include the in-house fitness centre, FIT and a steam room. Alternatively, guests can indulge in massage treatments at AWAY Spa. Guests can approach the 24-hour front desk for currency exchange, concierge services and luggage services.

The in-house restaurant, Yen specialises in authentic Cantonese cuisine, while Flock serves up a menu of Asian and international cuisine.

Flock is an all-day dining restaurant with a specially curated Pan-Asian grill menu

Include 24 hours room service","Masajes, Tratamientos faciales, Francés, Zapatillas, Bañera, WC, Extintores, Discoteca / DJ, Masaje de cuello, Hervidor eléctrico, Paquetes de spa / bienestar, Centro de negocios, Utensilios de planchado, Cafetería en el alojamiento, Zona de spa / relajación, Menú para niños, Restaurante, Spa y centro de bienestar, Escritorio, Recepción 24 horas, 4 restaurantes, Prohibido fumar en todo el alojamiento, Parking en el alojamiento, Coreano, Servicio de conserjería, Masaje corporal completo, Desayuno en la habitación, Instalaciones de spa, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Zona de fumadores, Piscina al aire libre, Piscina con vistas, Happy hour, Portugués, Alarma de seguridad, Masaje de cabeza, Para todas las edades, Habitaciones sin humo, Artículos de aseo gratis, Tetera / cafetera, Servicio de aparcacoches, Servicio de limpieza en seco, Ducha, Horario de apertura, Terapia con luz, Alemán, Plancha para ropa, Peinado, Cafetera, Gimnasio, Inglés, Bar, Plancha para pantalones, Secador de pelo, Bidet, Chino, Servicio de traslado, Pedicura, Albornoz, Vino / champán, Salas de reuniones / banquetes, Tarjeta de acceso, Cantonés, Masaje de espalda, Taquillas en el gimnasio / spa, TV, Malayo, Bañera o ducha, Seguridad 24 horas, Baño de vapor, Tetera/cafetera en todas las habitaciones, Papel higiénico, Guardaequipaje, Buffet para niños, Español, Adaptado personas de movilidad reducida, Abierta todo el año, Envoltura corporal, Exfoliación corporal, Mesa de comedor, Holandés, Tailandés, Música / espectáculos en directo, Menús para dietas especiales (bajo petición), Bar en la piscina, Bosnio, Masaje de pies, Parking en un garaje, Sauna, Zona de estar, Teléfono, Servicio de planchado, Aire acondicionado, Tratamientos corporales, Enchufe cerca de la cama, Masaje de manos, Servicio de lavandería, Proporciona factura, Servicio de limpieza diario, Manicura, Filipino, Servicio de habitaciones, Croata, Sombrillas, Radio, Muy buen desayuno, Canales vía satélite, Servicios de belleza, Cámaras de seguridad fuera del alojamiento, Tumbonas/sillas de playa, Serbio, Mobiliario exterior, Suelo de moqueta, TV de pantalla plana, Toallas de playa/piscina, Parking adaptado para personas de movilidad reducida, Estación de carga de vehículos eléctricos, Caja fuerte, Fax / fotocopiadora, Japonés, Minibar, Detectores de humo, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466111742.jpg?k=9bec47387f67969ffd65d8adeab1f27553bfea3cd07d1326fd3b94d2433d47ce&o=&hp=1,Kuala Lumpur,Malasia
Skypool Kuala Lumpur,https://www.booking.com/hotel/my/skypool-kuala-lumpur.es.html?aid=2410095,"Skypool Kuala Lumpur, que se encuentra a 2,9 km de Torres Petronas y a 3 km de Centro comercial Suria KLCC, ofrece habitaciones con aire acondicionado y baño compartido en Kuala Lumpur. El alojamiento está a 3,3 km de Centro de Convenciones de Kuala Lumpur, a 3,7 km de Parque KLCC y a 3,8 km de Museo y Galería de Arte Bank Negara Malaysia. El alojamiento dispone de piscina al aire libre abierta todo el año, centro de fitness, sauna y salón de uso común.

En el albergue, cada habitación está equipada con escritorio y TV de pantalla plana. Las habitaciones del alojamiento tienen wifi gratis y baño compartido con bidet y secador de pelo. Las habitaciones cuentan con microondas.

Skypool Kuala Lumpur ofrece bañera de hidromasaje.

World Trade Centre de Putra está a 7 min a pie del alojamiento, y Museo de Arte Islámico de Malasia está a 4,3 km. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 25 km del alojamiento.","Sauna, Francés, Piscina en la azotea, Aire acondicionado, Tarjeta de acceso, Bidet, Enchufe cerca de la cama, WC, Piscina al aire libre, Taquillas, Malayo, Zona de comedor, Piscina con vistas, Seguridad 24 horas, Bañera de hidromasaje / jacuzzi, Árabe, Hervidor eléctrico, Piscina infinita, Baño compartido, Microondas, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Horario de apertura, Abierta todo el año, Zona TV / salón de uso compartido, Tumbonas/sillas de playa, Ventilador, TV de pantalla plana, Gimnasio, Inglés, Mesa de comedor, Escritorio, Balcón, Prohibido fumar en todo el alojamiento, Secador de pelo, Supermercado pequeño en el alojamiento, Juegos de mesa / puzles, Cocina compartida, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564002022.jpg?k=205bcf7e50ff784393cc8128a64f40e38b6d7cbc01a792ddc7c7c07da5399130&o=&hp=1,Kuala Lumpur,Malasia
Moon light inn,https://www.booking.com/hotel/my/moon-light-inn-kuala-lumpur.es.html?aid=2410095,"Moon light inn está muy bien situado en el barrio de Bukit Bintang, Kuala Lumpur, a 7 min a pie de Centro comercial Starhill Gallery, a 1,1 km de Pavilion Kuala Lumpur y a 14 min a pie de Centro de Convenciones de Kuala Lumpur. Este hotel de 2 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo se encuentra a 9 min a pie de Berjaya Times Square.

Cerca del alojamiento hay puntos de interés como Parque KLCC, Centro comercial Suria KLCC y Torres Petronas. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 23 km.","Inglés, Habitaciones familiares, Spa y centro de bienestar, WiFi gratis, Recepción 24 horas, Habitaciones sin humo, Aire acondicionado, Servicio de habitaciones, Prohibido fumar en todo el alojamiento, Malayo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568520648.jpg?k=375f29a34461ebe529ea3f49dbdef2db51cfdd911cf9b0c6f1f8c96a2b147aab&o=&hp=1,Kuala Lumpur,Malasia
Wakaka Hostel,https://www.booking.com/hotel/my/wakaka-hostel.es.html?aid=2410095,"Wakaka Hostel, que está a 3,1 km de Berjaya Times Square y a 3,9 km de Centro comercial Starhill Gallery, ofrece habitaciones con aire acondicionado y baño compartido en Kuala Lumpur. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 4,1 km de Pavilion Kuala Lumpur.

En el albergue, cada habitación dispone de baño compartido y ropa de cama.

Centro de Convenciones de Kuala Lumpur está a 4,2 km del alojamiento, y Parque KLCC está a 4,2 km. El aeropuerto (Aeropuerto Sultan Abdul Aziz Sha) está a 24 km.","Aire acondicionado, Enchufe cerca de la cama, WC, Taquillas, Malayo, Zona de comedor, Alquiler de coches, Nevera, Papel higiénico, Baño compartido, Guardaequipaje, Microondas, WiFi gratis, Ducha, Tarjetas de transporte público, Zona TV / salón de uso compartido, Inglés, Mesa de comedor, Ropa de cama, Perchero, Prohibido fumar en todo el alojamiento, Toallas / sábanas (por un suplemento), Información turística, Juegos de mesa / puzles, Cocina compartida, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494413860.jpg?k=fdf44f5249b6e9e6f5783bc9f1f519542a7a849b44a3e3b18d24f97f92198194&o=&hp=1,Kuala Lumpur,Malasia
Regalia Exclusive Hostel,https://www.booking.com/hotel/my/regalia-exclusive-hostel.es.html?aid=2410095,"Regalia Exclusive Hostel se encuentra en Kuala Lumpur, a 3 km de Torres Petronas, y dispone de salón de uso común, habitaciones libres de humo y wifi gratis. El alojamiento está a 3 km de Centro comercial Suria KLCC, a 3,4 km de Centro de Convenciones de Kuala Lumpur y a 3,8 km de Parque KLCC. El alojamiento ofrece cocina compartida, servicio de conserjería y servicio de organización de tours.

Todas las unidades de este alojamiento incluyen zona de estar. Las habitaciones del alojamiento disponen de baño compartido con ducha, TV y aire acondicionado. Algunas habitaciones están equipadas con balcón. Las unidades incluyen ropa de cama.

Museo y Galería de Arte Bank Negara Malaysia está a 3,9 km del alojamiento, y Museo de Arte Islámico de Malasia está a 4,4 km. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 26 km del alojamiento.","Parking en un garaje, Zona de estar, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Aire acondicionado, Tarjeta de acceso, TV, Enchufe cerca de la cama, Llave de acceso, WC, Zona de fumadores, Malayo, Zona de comedor, Extintores, Solo para adultos, Servicio de lavandería, Seguridad 24 horas, Alarma de seguridad, Utensilios de cocina, Alquiler de coches, Proporciona factura, Servicio de limpieza diario, Habitaciones sin humo, Zona de cocina, Hervidor eléctrico, Nevera, Acceso a pisos superiores en ascensor, Papel higiénico, Baño compartido, Habitaciones hipoalergénicas, Microondas, Servicio de limpieza en seco, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Tarjetas de transporte público, Zona TV / salón de uso compartido, Ventilador, Barandillas protectoras para bebés, Parking adaptado para personas de movilidad reducida, Inglés, Chino, Mesa de comedor, Ropa de cama, Toallas / sábanas (por un suplemento), Información turística, Caja fuerte, Supermercado pequeño en el alojamiento, Registro de entrada / salida privado, Zona de juegos interior, Cocina, Prohibido fumar en todo el alojamiento, Parking en el alojamiento, Detectores de humo, Cocina compartida, Servicio de conserjería, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535421983.jpg?k=3673a7abcd00604784793027db2ef27212fa1da75b229b847390e6a61207786b&o=&hp=1,Kuala Lumpur,Malasia
Cozy Hotel@ KL Sentral,https://www.booking.com/hotel/my/cozy-kl-sentral.es.html?aid=2410095,"Cozy Hotel@ KL Sentral tiene centro de fitness, jardín, terraza y restaurante en Kuala Lumpur. Este hotel de 3 estrellas ofrece cajero automático y guardaequipaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Las unidades están equipadas con nevera, minibar, cafetera, bidet, artículos de aseo gratuitos y escritorio. Algunas unidades de este alojamiento tienen baño privado con ducha y secador de pelo, y también tienen vistas a la ciudad. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En Cozy Hotel@ KL Sentral se puede disfrutar de un desayuno a la carta.

Cerca del alojamiento hay puntos de interés como Estación central de Kuala Lumpur KL Sentral, Museo de Arte Islámico de Malasia y Jardín Botánico Perdana. El aeropuerto más cercano (Aeropuerto Sultan Abdul Aziz Sha) está a 21 km.","Zapatillas, Baño privado, Zona de estar, Albornoz, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Peluquería / salón de belleza, Salas de reuniones / banquetes, Aire acondicionado, Tarjeta de acceso, Chimenea, TV, WC, Cajero automático en el hotel, Malayo, Servicio de despertador / alarma, Adaptado para sillas de ruedas, Bañera o ducha, Servicio de lavandería, Seguridad 24 horas, Alarma de seguridad, Toallas, Reloj despertador, Servicio de limpieza diario, Habitaciones sin humo, Servicio de habitaciones, Servicio de despertador, Artículos de aseo gratis, Traslado aeropuerto, Hervidor eléctrico, Nevera, Tetera / cafetera, Habitaciones insonorizadas, Acceso a pisos superiores en ascensor, Tetera/cafetera en todas las habitaciones, Jardín, Papel higiénico, Habitaciones familiares, Armario, Guardaequipaje, Centro de negocios, Terraza, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Utensilios de planchado, Adaptado personas de movilidad reducida, Ventilador, Suelo de baldosa / mármol, Restaurante, Gimnasio, Inglés, Ropa de cama, Perchero, Escritorio, Recepción 24 horas, Caja fuerte, Desayuno, Secador de pelo, Supermercado pequeño en el alojamiento, Minibar, Cafetera, Bidet, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505103863.jpg?k=7be8b84f7314ffb01d9191f784447915f5bdbb55dac68727f3acc493941ab952&o=&hp=1,Kuala Lumpur,Malasia
Mingle Highstreet,https://www.booking.com/hotel/my/mingle-highstreet.es.html?aid=2410095,"Mingle Highstreet, que tiene salón de uso común, terraza y restaurante, está en el centro de Kuala Lumpur, a 1,8 km de Museo y Galería de Arte Bank Negara Malaysia. El alojamiento está a unos 2,2 km de Berjaya Times Square, a 2,2 km de Pavilion Kuala Lumpur y a 2,3 km de Centro de Convenciones de Kuala Lumpur. El albergue tiene piscina al aire libre, cocina compartida y wifi gratis.

Centro comercial Suria KLCC está a 2,3 km del alojamiento, y Centro comercial Starhill Gallery está a 2,5 km. El aeropuerto (Aeropuerto Sultan Abdul Aziz Sha) está a 21 km.","Cámaras de seguridad en las zonas comunitarias, Salas de reuniones / banquetes, Servicio de planchado, Aire acondicionado, Tarjeta de acceso, Bidet, Zona de fumadores, WC, Piscina al aire libre, Malayo, Extintores, Seguridad 24 horas, Habitaciones sin humo, Papel higiénico, Habitaciones familiares, Guardaequipaje, Centro de negocios, Terraza, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Tours a pie, Zona TV / salón de uso compartido, Mobiliario exterior, Restaurante, Inglés, Información turística, Alquiler de bicicletas, Fax / fotocopiadora, Caja fuerte, Cenas temáticas, Prohibido fumar en todo el alojamiento, Cocina compartida, Ruta de bares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581467327.jpg?k=b924b9c8e0a01e4f46443c044906c6a1d11ca1b031d29344d20d69babfd3ce77&o=&hp=1,Kuala Lumpur,Malasia
