hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Donatella boutique Mar,https://www.booking.com/hotel/uy/donatella-boutique-mar.es.html?aid=2410095,"Hotel Donatella boutique Mar se encuentra en Punta del Este, a 2 min a pie de Playa Montoya, y ofrece alojamiento con jardín, parking privado gratis, terraza y bar. El alojamiento está a 7 min a pie de Playa Bikini, a 13 km de Estación de autobús de Punta del Este y a 13 km de The Fingers beach. El alojamiento dispone de servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel se puede disfrutar de un desayuno americano.

Feria Artesanal está a 13 km del alojamiento, y Puerto de Punta del Este está a 14 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 27 km del alojamiento.","Servicio de habitaciones, WiFi gratis, Italiano, Jardín, Parking gratis, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Bar, Playa, Habitaciones familiares, Desayuno, Portugués, Aire acondicionado, Español, Terraza, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537023671.jpg?k=9292afec85bdce9605857fe8f9be87d70c8e3273f4e962517f6d67bd2db9aa78&o=&hp=1,La Barra,Uruguay
Hotel De La Barra,https://www.booking.com/hotel/uy/hostal-de-la-barra.es.html?aid=2410095,"El Hostal De La Barra está situado en Punta del Este, en la zona de La Barra. Se encuentra a sólo 250 metros de la playa de Montoya. Dispone de alojamientos con balcón privado y vistas al mar.

Las habitaciones y los lofts del hostal De La Barra presentan una decoración de estilo rústico. Disponen de aire acondicionado, TV por cable y minibar. Los lofts cuentan con zona de cocina y una amplia terraza con vistas panorámicas.

El establecimiento sirve desayuno continental. El centro de la ciudad está a sólo 200 metros del hotel. En las inmediaciones del Hostal encontrará diversos restaurantes y bares.

El Hostal De La Barra ofrece aparcamiento privado gratuito. El aeropuerto de El Jagüel está a 5 km del Hostal.","Minibar, Lavamanos más bajo, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Playa, Bañera o ducha, Guardaequipaje, Bidet, Ascensor, TV, Parking en la calle, Fax / fotocopiadora, WC, Canales por cable, Zona de fumadores, Perchero, WiFi gratis, Español, Inglés, Fruta, Suelo de baldosa / mármol, Información turística, Secador de pelo, Baño privado, Servicio de planchado, Llave de acceso, Servicio de limpieza diario, Habitaciones familiares, Alquiler de coches, Servicio de limpieza en seco, Caja fuerte, Plancha para ropa, Muy buen desayuno, TV de pantalla plana, Tumbonas/sillas de playa, Armario, Adaptado para sillas de ruedas, Baños públicos, Mobiliario exterior, Parking adaptado para personas de movilidad reducida, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Servicio de conserjería, Calefacción, Apoyo visual: braille, Ducha, Teléfono, Desayuno en la habitación, Juegos de mesa / puzles, Aire acondicionado, Artículos de aseo gratis, Servicio de lavandería, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/229762938.jpg?k=4e2b21bebcf4db4e401cccee612e914869e748deb52945e4ac2297d49c1dfbcf&o=&hp=1,La Barra,Uruguay
Hotel Donatella mare boutique,https://www.booking.com/hotel/uy/donatella-mare-boutique.es.html?aid=2410095,"Hotel Donatella mare boutique está en Punta del Este, a 2 min a pie de Playa Montoya, y dispone de alojamiento con jardín, parking privado gratis, terraza y bar. El alojamiento está a unos 13 km de Estación de autobús de Punta del Este, a 13 km de The Fingers beach y a 13 km de Feria Artesanal. Este alojamiento libre de humo se encuentra a 7 min a pie de Playa Bikini.

En el hotel, las habitaciones disponen de armario y TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También tienen wifi gratis, y algunas habitaciones también ofrecen vistas al mar. En Hotel Donatella mare boutique, las habitaciones están equipadas con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno americano.

Puerto de Punta del Este está a 14 km del alojamiento, y Isla Gorriti está a 14 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 27 km.","Servicio de habitaciones, Tetera / cafetera, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Bar, Playa, Perchero, Terraza, WiFi gratis, Jardín, Inglés, Secador de pelo, Desayuno, Hervidor eléctrico, Portugués, Baño privado, Habitaciones familiares, Tetera/cafetera en todas las habitaciones, Servicio de despertador, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Armario, Papel higiénico, Calefacción, Ducha, Aire acondicionado, Español, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549351593.jpg?k=147f6e8d12b90c4e90abbf0e9a238b213d30884a3348fa3281d5d6057bb1c983&o=&hp=1,La Barra,Uruguay
Negrita Hostel,https://www.booking.com/hotel/uy/negrita-hostel.es.html?aid=2410095,"Negrita Hostel se encuentra en Punta del Este, a 17 min a pie de Playa Montoya, y ofrece alojamiento con piscina de temporada al aire libre, parking privado gratis, jardín y salón de uso común. Ofrece bar y zona de barbacoa. El alojamiento dispone de ocio nocturno y cocina compartida.

En el albergue, cada habitación está equipada con aire acondicionado y algunas también ofrecen patio. Las habitaciones incluyen ropa de cama.

Se puede jugar al ping-pong en Negrita Hostel, y la zona es ideal para practicar ciclismo.

Playa Bikini está a 2,3 km del alojamiento, y Playa Brava, Punta del Este está a 2,9 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 25 km del alojamiento.","Alquiler de bicicletas, Parking gratis, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Guardaequipaje, Barbacoa, Parking en la calle, Piscina al aire libre, WC, Vino / champán, WiFi gratis, Ciclismo, Jardín, Entretenimiento nocturno, Tarjeta de acceso, Registro de entrada y salida exprés, Español, Inglés, Taquillas, Información turística, Desayuno, Portugués, De temporada, Registro de entrada / salida privado, Llave de acceso, Zona TV / salón de uso compartido, Ping pong, Zona de pícnic, Mobiliario exterior, Papel higiénico, Cocina compartida, Ducha, Juegos de mesa / puzles, Aire acondicionado, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/128140490.jpg?k=dd6e81bcac3c778a5fc1d78117e2e077e27925a775366879d452cc8f47a12675&o=&hp=1,La Barra,Uruguay
Casa Flor,https://www.booking.com/hotel/uy/casa-flor.es.html?aid=2410095,"Casa Flor está en Punta del Este, a 3 min a pie de Playa Montoya, y dispone de alojamiento con jardín, parking privado gratis, terraza y bar. Este alojamiento ofrece servicio de conserjería y mostrador de información turística, además de wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

En el hotel, las habitaciones tienen armario. Todas las habitaciones del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Las unidades tienen caja fuerte.

En este hotel hay alquiler de bicicletas y alquiler de coches, y la zona es ideal para practicar ciclismo.

Playa Bikini está a 5 min a pie del alojamiento, y Estación de autobús de Punta del Este está a 13 km. El aeropuerto (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 28 km.","Terraza / solárium, Alquiler de bicicletas, Servicio de entrega de comestibles, Equitación, Campo de golf (a menos de 3 km), Chimenea exterior, Fax / fotocopiadora, Paquetes de spa / bienestar, Terraza, Piragüismo, Ruta de bares, Jardín, Secador de pelo, Snorkel, Submarinismo, Zona de comedor, Servicio de limpieza en seco, Caja fuerte, TV de pantalla plana, Senderismo, Recepción 24 horas, Papel higiénico, Calefacción, Extintores, Servicio de habitaciones, Estación de carga de vehículos eléctricos, Instalaciones para deportes acuáticos en el alojamiento, Habitaciones sin humo, Bar, Bidet, Barbacoa, Parking en la calle, Zona de fumadores, Cámaras de seguridad en las zonas comunitarias, Ciclismo, Información turística, Canales vía satélite, Servicio de streaming (como Netflix), Canales de pago, Llave de acceso, Cambio de moneda, Camas extralargas (más de 2 metros), Toallas de playa/piscina, Alquiler de coches, Solárium, Desayuno excepcional, Ducha, Seguridad 24 horas, Piscina climatizada, Artículos de aseo gratis, Minibar, Parking gratis, Prohibido fumar en todo el alojamiento, Playa, Guardaequipaje, Piscina al aire libre, WC, WiFi gratis, Registro de entrada y salida exprés, Cenas temáticas, Baño privado, Servicio de planchado, De temporada, Registro de entrada / salida privado, Tours a pie, Plancha para pantalones, Tumbonas/sillas de playa, Baños públicos, Mobiliario exterior, Servicio de conserjería, Desayuno en la habitación, Galerías de arte temporales, Juegos de mesa / puzles, Aire acondicionado, Masajes, Servicio de lavandería, Servicio de traslado, Toallas, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, TV, Canales por cable, Vino / champán, Tour o clase sobre cultura local, Cafetería en el alojamiento, Inglés, Fruta, Portugués, Piscina de agua salada, Happy hour, Solo para adultos, Menús para dietas especiales (bajo petición), Mosquitera, Pesca, Armario, Snack-bar, Windsurf, Español, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/272044921.jpg?k=755f170a6ea2644cf50c9400da73bdf1392c71b744432caa45d7eb15fc316133&o=&hp=1,La Barra,Uruguay
"Casa portuaria en LA Barra, UY",https://www.booking.com/hotel/uy/casa-portuaria-en-la-barra-uy.es.html?aid=2410095,"Casa portuaria en LA Barra, UY es un alojamiento con vistas al jardín que se encuentra en Punta del Este, a 19 min a pie de Playa Bikini y a 11 km de Estación de autobús de Punta del Este. Este alojamiento con aire acondicionado está a 11 min a pie de Playa Montoya y ofrece wifi gratis y parking privado en el propio alojamiento.

Esta casa o chalet cuenta con 2 dormitorios, TV de pantalla plana y cocina.

The Fingers beach está a 12 km del alojamiento, y Feria Artesanal está a 12 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 26 km del alojamiento.","WiFi gratis, Parking gratis, Prohibido fumar en todo el alojamiento, Calefacción, Cocina, TV de pantalla plana, Lavadora, Aire acondicionado, Español, Vistas al jardín, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577885642.jpg?k=d76eb46b39cdd6c7985066a44df108cb2fda43db03c5503f75556fa74dbb2652&o=&hp=1,La Barra,Uruguay
Casita playera y confortable,https://www.booking.com/hotel/uy/casita-playera-y-confortable.es.html?aid=2410095,"Casita playera y confortable es un alojamiento con vistas al jardín que está en Punta del Este, a 2,1 km de Playa Bikini y a 11 km de Estación de autobús de Punta del Este. El alojamiento, que se encuentra a 15 min a pie de Playa Montoya, dispone de jardín y parking privado gratis.

Este apartamento de 1 dormitorio ofrece wifi gratis, TV de pantalla plana, lavadora y cocina con nevera yhorno.

En el apartamento se sirve todas las mañanas un desayuno continental.

The Fingers beach está a 12 km del alojamiento, y Feria Artesanal está a 11 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 26 km.","Estación de carga de vehículos eléctricos, Tetera / cafetera, Parking gratis, Cocina, Guardaequipaje, Lavadora, WiFi gratis, Jardín, Inglés, Secador de pelo, Desayuno, Fogones, Horno, Plancha para ropa, Vistas al jardín, TV de pantalla plana, Nevera, Papel higiénico, Calefacción, Entrada privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517223610.jpg?k=1792dde8de610d74f28c71d56cb360ab881f9ba3b47ee0c3971f4f0f51915db3&o=&hp=1,La Barra,Uruguay
Hotel Butique Donatella Mare.,https://www.booking.com/hotel/uy/butique-donatella-mare.es.html?aid=2410095,"Hotel Butique Donatella Mare. Está en Punta del Este, a 2 min a pie de Playa Montoya, y dispone de alojamiento con jardín, parking privado gratis y terraza. El alojamiento se encuentra a 7 min a pie de Playa Bikini, a 13 km de Estación de autobús de Punta del Este y a 13 km de The Fingers beach. El alojamiento ofrece servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones están equipadas con armario. Las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también cuentan con balcón. En Hotel Butique Donatella Mare., las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno americano.

Feria Artesanal está a 13 km del alojamiento, y Puerto de Punta del Este está a 14 km. El aeropuerto (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 27 km.","Servicio de habitaciones, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Playa, Perchero, Terraza, WiFi gratis, Jardín, Secador de pelo, Desayuno, Traslado aeropuerto, Baño privado, Traslado aeropuerto (gratis), Habitaciones familiares, Servicio de despertador, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Microondas, Armario, Papel higiénico, Calefacción, Ducha, Aire acondicionado, Español, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516729397.jpg?k=e6bd0cf8210d3e64f495e3200bda14bb0d1364f7e5c1f259b42911a0c58f579f&o=&hp=1,La Barra,Uruguay
Espectacular departamento en Punta del Este,https://www.booking.com/hotel/uy/espectacular-departamento-en-punta-del-este.es.html?aid=2410095,"Espectacular departamento en Punta del Este se encuentra en Punta del Este, a 5 min a pie de Playa Montoya, a 1,8 km de Playa Bikini y a 12 km de Estación de autobús de Punta del Este, y ofrece balcón. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento con aire acondicionado tiene acceso directo a una terraza con vistas al jardín y cuenta con 3 dormitorios y cocina totalmente equipada. Hay toallas y ropa de cama en el apartamento.

The Fingers beach está a 12 km del alojamiento, y Feria Artesanal está a 12 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 26 km del alojamiento.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Cocina, Lavadora, Barbacoa, Vistas, Terraza, WiFi gratis, Inglés, Piscina, Piscina privada, Balcón, Vistas al jardín, TV de pantalla plana, Secadora de ropa, Papel higiénico, Calefacción, Entrada privada, Aire acondicionado, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560655994.jpg?k=c4a9f70f2dad72ce22468f8888e1cc9e149e55b8180ce377c899de857dd7a8e2&o=&hp=1,La Barra,Uruguay
Departamento frente a la playa,https://www.booking.com/hotel/uy/departamento-frente-a-la-playa-la-barra2.es.html?aid=2410095,"Departamento frente a la playa, que cuenta con un balcón con vistas al jardín, jardín y zona de playa privada, se encuentra en Punta del Este, cerca de Playa Montoya y a 1,7 km de Playa Bikini. Este alojamiento frente a la playa ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. Hay toallas y ropa de cama en el apartamento.

Estación de autobús de Punta del Este está a 12 km del alojamiento, y The Fingers beach está a 13 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 27 km.","Toallas, Parking gratis, Habitaciones sin humo, Playa, Cocina, Lavadora, Barbacoa, Vistas, Terraza, WiFi gratis, Situado frente a la playa, Jardín, Español, Inglés, Secador de pelo, Escritorio, Balcón, Habitaciones familiares, Plancha para ropa, Vistas al jardín, TV de pantalla plana, Papel higiénico, Calefacción, Aire acondicionado, Zona privada de playa, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558506726.jpg?k=4f6410ff69c6df903b66b58d08649e8b2d7d2120035dc2f5b4807d1f069b2aea&o=&hp=1,La Barra,Uruguay
