hotel,hotel_url,description,popular_facilities,highres_url,city,country
Cabaña en el Árbol La Calera,https://www.booking.com/hotel/co/cabana-en-el-arbol.es.html?aid=2410095,"La Cabaña en el Arbol es una cabaña de madera construida sobre árboles situada en La Calera, a 20 minutos en coche de Bogotá. El establecimiento ofrece conexión Wi-Fi gratuita y está cerca de restaurantes y supermercados.

Las habitaciones de este establecimiento ofrecen vistas excelentes al bosque de los alrededores y están equipadas con TV, balcón y baño privado con ducha y aseo.

La Cabaña en el Arbol cuenta con jardín y terraza. El establecimiento ofrece servicio de entrega de comestibles y servicio de lavandería.

Tanto en el establecimiento como en los alrededores se pueden practicar diversas actividades, como ciclismo, equitación y senderismo. Se facilita aparcamiento gratuito.","Baño privado, Restaurante, Servicio de entrega de comestibles, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Zona de fumadores, Ciclismo, Fruta, Menú para niños, Servicio de traslado, Proporciona factura, Parking en un garaje, Tarjetas de transporte público, Desayuno, Snack-bar, Baños públicos, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Chimenea exterior, Traslado aeropuerto, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Servicio de limpieza diario, Jardín, Almuerzos para llevar, 2 restaurantes, Desayuno en la habitación, Información turística, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/190006500.jpg?k=9aa4b5f1baee6ba8c68c867b5bdde8a905c950c84072865eb10bc4a96de84059&o=&hp=1,La Calera,Colombia
Mirador samsara,https://www.booking.com/hotel/co/mirador-samsara-la-calera-cundinamarca.es.html?aid=2410095,"Mirador samsara, que tiene jardín, terraza y bar, dispone de alojamiento en La Calera con wifi gratis y vistas a la montaña. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

El bed and breakfast dispone de TV de pantalla plana. Hay toallas y ropa de cama en el bed and breakfast.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Cerro de Monserrate está a 17 km del alojamiento, y Estadio El Campín está a 22 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 31 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, WC, Vistas a la montaña, Desayuno, Bar, Ducha, Parking gratis, Español, Mesa de comedor, Inglés, Habitaciones sin humo, Papel higiénico, Armario, Jardín, Toallas, Ropa de cama, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512494270.jpg?k=3e35ae8f17704fb74d3ee10cc3a1d4565fdaa57d324fc3874eaeeb30d3c23759&o=&hp=1,La Calera,Colombia
Mirador samsara,https://www.booking.com/hotel/co/samsara.es.html?aid=2410095,"Mirador samsara, que tiene jardín, terraza y bar, dispone de alojamiento en La Calera con wifi gratis y vistas a la montaña. Esta habitación en casa particular ofrece parking privado gratis y recepción 24 horas.

La habitación en casa particular dispone de TV de pantalla plana por cable. Hay toallas y ropa de cama en la habitación en casa particular.

Cerro de Monserrate está a 17 km del alojamiento, y Estadio El Campín está a 22 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 31 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Vistas a un patio interior, Balcón, Canales por cable, Vistas a la montaña, Vistas al jardín, Desayuno, Artículos de aseo gratis, Tetera / cafetera, Bar, Recepción 24 horas, Vestidor, Ducha, Parking gratis, Español, TV, Mesa de comedor, Inglés, Bañera o ducha, Habitaciones sin humo, Bañera, Papel higiénico, Armario, Jardín, Servicio de conserjería, Suelo de madera o parquet, Toallas, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/488013955.jpg?k=656e6f4622e8ba01dda0ba10817d0a9844e50bddce0c87601c30683842f270f0&o=&hp=1,La Calera,Colombia
mirador samsara,https://www.booking.com/hotel/co/mirador-samsara.es.html?aid=2410095,"Mirador samsara, que cuenta con vistas a la montaña, dispone de alojamiento con terraza y balcón a unos 22 km de Estadio El Campín. El alojamiento, que se encuentra a 17 km de Cerro de Monserrate, ofrece jardín y parking privado gratis.

El bed and breakfast cuenta con TV de pantalla plana por cable. Hay toallas y ropa de cama en el bed and breakfast.

Centro Internacional de Negocios y Exposiciones - Corferias está a 26 km del alojamiento, y Plaza de Bolívar está a 27 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 31 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, WC, Canales por cable, Vistas a la montaña, Desayuno, Ducha, Parking gratis, Español, Mesa de comedor, Inglés, Bañera o ducha, Papel higiénico, Armario, Jardín, Toallas, Ropa de cama, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512650907.jpg?k=716e0faa97f20f048bf43f98e09f4e974c9870badd5617765c616926e574b38e&o=&hp=1,La Calera,Colombia
Cabaña BersaNina La Calera,https://www.booking.com/hotel/co/cabana-bersanina.es.html?aid=2410095,"Cabaña BersaNina La Calera es un alojamiento con jardín y restaurante que se encuentra en La Calera, a 9,3 km de Centro Comercial Unicentro, a 10 km de Estadio El Campín y a 11 km de Cerro de Monserrate. Este lodge ofrece parking privado gratis, servicio de habitaciones y wifi gratis.

Este lodge consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Se ofrece TV de pantalla plana con canales vía satélite.

Centro Internacional de Negocios y Exposiciones - Corferias está a 14 km del alojamiento, y Plaza de Bolívar está a 15 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 19 km del alojamiento.","Servicio de streaming (como Netflix), Restaurante, Baño privado, Cenas temáticas, Servicio de entrega de comestibles, Cocina, Cama plegable, Equipamiento de juegos para exterior, WiFi gratis, Vistas, Prohibido fumar en todo el alojamiento, Calefacción, Utensilios de cocina, Canales por cable, Canales vía satélite, Zona de fumadores, Menú para niños, Extintores, Zona de comedor exterior, Barbacoa, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Cafetera, Artículos de aseo gratis, Snack-bar, Perchero, Tetera / cafetera, Seguridad 24 horas, Fogones, Patio, Registro de entrada / salida privado, Muebles de exterior, Habitaciones familiares, Ducha, Radio, Sofá, Plancha para ropa, Parking gratis, Español, TV, Detectores de humo, Mesa de comedor, Chimenea exterior, Bañera o ducha, Chimenea, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, TV de pantalla plana, Jardín, Llave de acceso, Suelo de madera o parquet, Toallas, Desayuno en la habitación, Nevera, Zona de comedor, Balcón, Zona de pícnic, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564315875.jpg?k=9856c4b9b827aedaf7ef4b36b8dc8a989409bee8761a981af0d29f800c40c842&o=&hp=1,La Calera,Colombia
Cabaña en la Calera el Pinar,https://www.booking.com/hotel/co/cabana-el-pinar-calera.es.html?aid=2410095,"Cabaña en la Calera el Pinar es un alojamiento con jardín y terraza que se encuentra en La Calera, a 9,3 km de Centro Comercial Unicentro, a 10 km de Estadio El Campín y a 11 km de Cerro de Monserrate. Este lodge ofrece parking privado gratis, servicio de habitaciones y wifi gratis.

El lodge cuenta con TV de pantalla plana por cable. Hay toallas y ropa de cama en el lodge.

En el lodge, la clientela puede disfrutar de sauna. Se puede practicar ciclismo en los alrededores.

Centro Internacional de Negocios y Exposiciones - Corferias está a 14 km del alojamiento, y Plaza de Bolívar está a 15 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 19 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, WiFi gratis, Vistas, WC, Mobiliario exterior, Canales por cable, Productos de limpieza, Ciclismo, Zona de estar, Zona de comedor exterior, Vistas al jardín, Reproductor de DVD, Sauna, Artículos de aseo gratis, Tetera / cafetera, Patio, Desayuno excepcional, Ducha, Radio, Sofá, Entrada privada, Parking gratis, Español, TV, Mesa de comedor, Inglés, Chimenea, TV de pantalla plana, Papel higiénico, Servicio de habitaciones, Canales de pago, Jardín, Suelo de madera o parquet, Toallas, Ropa de cama, Zona de comedor, Balcón, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/325934418.jpg?k=34961195cc3237ed21ca2c2cd0edd7c2f3dcfa91a258f1ac0775a4bf19025276&o=&hp=1,La Calera,Colombia
Villa del Moján,https://www.booking.com/hotel/co/villa-del-mojan.es.html?aid=2410095,"La Villa del Moján se encuentra en La Calera. Ofrece restaurante y habitaciones con patio.

Las habitaciones gozan de vistas al jardín y a la montaña. Se proporcionan toallas y utensilios de planchado.

La Villa del Moján dispone de cocina compartida, sala de juegos y solárium. En el establecimiento o en las inmediaciones se pueden hacer varias actividades, como pescar o practicar senderismo. El aparcamiento es gratuito.

El club de golf la Cima está a 11,2 km en coche y el aeropuerto internacional El Dorado se halla a 41,5 km en coche.","Restaurante, Baño privado, Servicio de aparcacoches, Servicio de planchado, Prohibido fumar en todo el alojamiento, Vistas, Mobiliario exterior, Salas de reuniones / banquetes, Zona de fumadores, Ciclismo, Fruta, Menú para niños, Servicio de traslado, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Sala de juegos, Barbacoa, Vistas al jardín, Parking adaptado para personas de movilidad reducida, Desayuno, Aseo adicional, Enchufe cerca de la cama, Juegos de mesa / puzles, Servicio de despertador, Artículos de aseo gratis, Seguridad 24 horas, Baños públicos, Dardos, Recepción 24 horas, Cesta para mascotas, Libros, DVD o música para niños, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, WC elevado, Adaptado personas de movilidad reducida, Habitaciones hipoalergénicas, Adaptado para sillas de ruedas, Inglés, Servicio de lavandería, Senderismo, Bañera o ducha, Traslado aeropuerto, Vino / champán, Papel higiénico, Servicio de limpieza diario, Jardín, Llave de acceso, Entretenimiento nocturno, Tours en bici, Toallas, Información turística, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/104805267.jpg?k=ef87bb4f8b71442329cbc1ef7b57902b2544eebe79160b96af8169be58a0cdcb&o=&hp=1,La Calera,Colombia
Iwoka Ecoturismo,https://www.booking.com/hotel/co/iwoka-ecoturismo-en-la-calera.es.html?aid=2410095,"Iwoka Ecoturismo está en La Calera, en la región de Cundinamarca, y ofrece alojamiento con parking privado gratis.

El camping ofrece terraza solárium.

En Iwoka Ecoturismo, la clientela puede practicar senderismo en los alrededores o disfrutar del jardín.

Cerro de Monserrate está a 20 km del alojamiento, y Centro Comercial Unicentro está a 22 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 34 km.","Noches de cine, Equipamiento de bádminton, Zona de fumadores, Barbacoa, Desayuno, Juegos de mesa / puzles, Tours a pie, Habitaciones familiares, Parking gratis, Terraza / solárium, Español, Zona de juegos para niños, Senderismo, Vino / champán, Habitaciones sin humo, Jardín, Guardaequipaje, Información turística, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/315427745.jpg?k=8a94fe7ce2785d20aeddde8c77e6cf547900066c01c4600332570e315d4e7a70&o=&hp=1,La Calera,Colombia
FINCA DELFOS UN PARAISO A 15 MINUTOS DE BOGOTÁ,https://www.booking.com/hotel/co/finca-delfos-un-paraiso-a-15-minutos-de-bogota-la-calera.es.html?aid=2410095,"FINCA DELFOS UN PARAISO A 15 MINUTOS DE BOGOTÁ está en La Calera y dispone de alojamiento a 16 km de Estadio El Campín, a 20 km de Centro Internacional de Negocios y Exposiciones - Corferias y a 21 km de Plaza de Bolívar. El alojamiento tiene parking privado gratis y está a 11 km de Cerro de Monserrate y a 16 km de Centro Comercial Unicentro.

Biblioteca Luis Ángel Arango está a 21 km del alojamiento, y Plazoleta del Chorro de Quevedo está a 22 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 25 km.","Parking gratis, Español, Inglés, Prohibido fumar en todo el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536621114.jpg?k=b7255d986188422bcc773ee958508d9256465f015cd621d99461e733c99a2378&o=&hp=1,La Calera,Colombia
Cabañas de Jerusalen,https://www.booking.com/hotel/co/cabanas-de-jerusalen-la-calera3.es.html?aid=2410095,"Cabañas de Jerusalen, que tiene vistas a la montaña, ofrece alojamiento con terraza y balcón a unos 24 km de Centro Comercial Unicentro. El alojamiento, que está a 19 km de Cerro de Monserrate, dispone de jardín y parking privado gratis.

La casa o chalet dispone de 1 dormitorio, una cocina totalmente equipada con minibar y 1 baño con ducha y zapatillas.

Estadio El Campín está a 24 km del alojamiento, y Centro Internacional de Negocios y Exposiciones - Corferias está a 28 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 33 km.","Zapatillas, Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WC, Vistas a la montaña, Zona de comedor exterior, Vistas al jardín, Perchero, Ducha, Parking gratis, Español, Mesa de comedor, Inglés, Jardín, Zona de cocina, Minibar, Balcón, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582856174.jpg?k=0ff4879511c9e68b7209cb16db3087f05b68bf01bdb2a3f78476ea8712171605&o=&hp=1,La Calera,Colombia
