hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Cristina Suites,https://www.booking.com/hotel/ve/cristina-suites.es.html?aid=2410095,"El Cristina Suites, situado en Puerto La Cruz, alberga una piscina al aire libre, un bar junto a la piscina, un gimnasio, una sauna y un restaurante y ofrece habitaciones con un balcón con vistas al mar, además de conexión Wi-Fi gratuita y servicio de desayuno bufé.

Las suites del Hotel Cristina Suites gozan de un ambiente tranquilo y disponen de aire acondicionado, TV de pantalla plana por cable y baño privado. También se ofrece servicio de habitaciones y servicio de lavandería, bajo petición.

Para garantizar la comodidad de sus huéspedes, el hotel Cristina Suites alberga instalaciones para reuniones y eventos. El restaurante del hotel, el Zalacain, sirve platos de cocina regional.

El Hotel Cristina Suites está situado a 500 metros de la bahía de Pozuelos y a 20 km del aeropuerto internacional General José Antonio Anzoátegui. Además, el hotel dispone de aparcamiento privado gratuito.","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Vistas a la ciudad, Zona de fumadores, Menú para niños, Sala de juegos, Servicio de despertador, Abierta todo el año, Playa, TV, Gimnasio, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Vino / champán, Servicio de habitaciones, Nevera, Para todas las edades, Balcón, Restaurante, Horario de apertura, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Secador de pelo, Aire acondicionado, Tours a pie, Ducha, Sofá, Parking gratis, Español, Adaptado personas de movilidad reducida, Zona privada de playa, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Manicura, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Calefacción, Canales por cable, Corte de pelo, Servicio de limpieza en seco, Extintores, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Habitaciones familiares, Pesca, Toallas de playa/piscina, Caja fuerte, Adaptado para sillas de ruedas, Bañera o ducha, Sombrillas, Papel higiénico, Música / espectáculos en directo, Reloj despertador, Canales de pago, Servicio de conserjería, Tour o clase sobre cultura local, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Ascensor, Centro de negocios, Pedicura, Vistas al mar, Sofá cama, Servicios de belleza, Armario, Bar en la piscina, Minibar, Zona de comedor, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/194307706.jpg?k=7e6cbca34ee90364b812a91268ee33408643d9365b7a1193a87718fbbc1534f3&o=&hp=1,La Caramuca,Venezuela
Habitación para una persona,https://www.booking.com/hotel/ve/habitacion-puerto-la-cruz.es.html?aid=2410095,"Habitación para una persona se encuentra en Puerto La Cruz, a 27 km de Parque Karina, y ofrece alojamiento con salón de uso común, wifi gratis, cocina compartida y servicio de limpieza en seco. El alojamiento ofrece vistas a la ciudad.

La cocina está equipada con nevera, horno y microondas, además de cafetera.

El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 17 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Tendedero, Vistas a la ciudad, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Servicio de traslado, Supermercado pequeño en el alojamiento, Lavadora, Servicio de limpieza en seco, Horno, Cafetera, Artículos de aseo gratis, Perchero, Peluquería / salón de belleza, Fogones, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Sofá, Español, Mesa de comedor, Apartamento privado en edificio, Servicio de lavandería, Traslado aeropuerto, Bañera o ducha, Papel higiénico, Servicio de limpieza diario, Armario, Parking privado, Zona de cocina, Microondas, Tostadora, Habitaciones insonorizadas, Toallas, Nevera, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564552318.jpg?k=cb3d44ccfe7e9cc33c2153b98e03d4780289b1a8dd8c204b95d7faf0274dd1d2&o=&hp=1,La Caramuca,Venezuela
Puerto la Cruz Edificio San Luis,https://www.booking.com/hotel/ve/puerto-la-cruz-edificio-san-luis.es.html?aid=2410095,"Puerto la Cruz Edificio San Luis se encuentra en Puerto La Cruz. El apartamento ofrece parking privado y está a 27 km de Parque Karina.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 17 km.","Armario, Prohibido fumar en todo el alojamiento, Cocina, Sofá, Parking privado, Zona de cocina, TV de pantalla plana, Español, Enchufe cerca de la cama, Tendedero, Bañera o ducha, Aire acondicionado, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/566965776.jpg?k=15ac493eccc901a66129389b5fdbbb884caeee591f7ed7f0a7a4e1a221c6b23e&o=&hp=1,La Caramuca,Venezuela
Apto cerca a Paseo Colon,https://www.booking.com/hotel/ve/apto-cerca-a-paseo-colon.es.html?aid=2410095,"Apto cerca a Paseo Colon ofrece alojamiento en Puerto La Cruz, a 28 km de Parque Karina. Tiene terraza, vistas a la ciudad y wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado se compone de 1 dormitorio independiente, una cocina totalmente equipada con nevera y microondas, y 1 baño. Hay parking privado en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 18 km.","Servicio de streaming (como Netflix), Baño privado, Independiente, Cocina, WiFi gratis, Vistas, Tendedero, Vistas a la ciudad, Utensilios de cocina, Zona de fumadores, Supermercado pequeño en el alojamiento, Playa, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Entrada privada, Terraza / solárium, Español, Situado frente a la playa, TV, Apartamento privado en edificio, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Parking privado, Zona de cocina, Microondas, Llave de acceso, Información turística, Nevera, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535683056.jpg?k=5300d56d3ef442fe78fb57dade3d134bb79a90c3da38ac8dc185b3bb8af7d26d&o=&hp=1,La Caramuca,Venezuela
Residencia Casagrande,https://www.booking.com/hotel/ve/residencia-casagrande.es.html?aid=2410095,"Residencia Casagrande se encuentra en Barcelona y ofrece jardín. Este alojamiento con aire acondicionado está a 23 km de Parque Karina y ofrece wifi gratis y parking privado en el propio alojamiento.

Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 11 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Utensilios de cocina, Artículos de aseo gratis, Secador de pelo, Tetera / cafetera, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, Mesa de comedor, Inglés, Habitaciones sin humo, Papel higiénico, Armario, Jardín, Ropa de cama, Toallas, Nevera, Zona de comedor, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572436486.jpg?k=1d8386699c4ab889d42df31af74a9c8a67975fde1b7e12810450a288fcfedffc&o=&hp=1,La Caramuca,Venezuela
Calle Arismendi plaza suite,https://www.booking.com/hotel/ve/calle-arismendi-plaza-suite.es.html?aid=2410095,"Calle Arismendi plaza suite, que cuenta con zona de playa privada, se encuentra en El Morro de Barcelona, a 1,9 km de Playa Cangrejo y a 22 km de Parque Karina. Este alojamiento está a 19 min a pie de Playa Lido y ofrece wifi gratis y parking privado en el propio alojamiento.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. La cocina está equipada con nevera.

El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 11 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, Nevera, Parking gratis, WiFi gratis, TV de pantalla plana, Español, Zona privada de playa, Secadora de ropa, Lavadora, Ascensor, Playa, Aire acondicionado, Tetera / cafetera, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564098077.jpg?k=ddeb8ba25b03436a0595d37b29c59d386783dd0b066c0d3f687674ce7216ba53&o=&hp=1,La Caramuca,Venezuela
Hotel Jupiter,https://www.booking.com/hotel/ve/jupiter.es.html?aid=2410095,"Hotel Jupiter se encuentra en El Morro de Barcelona, a 21 km de Parque Karina. Este hotel de 3 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece recepción 24 horas, servicio de conserjería y cambio de moneda.

En el hotel, todas las habitaciones están equipadas con armario. Las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 9 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, Noches de cine, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tendedero, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales vía satélite, Servicio de traslado, Toallas / sábanas (por un suplemento), Proporciona factura, Zona poco profunda, Cambio de moneda, Piscina al aire libre, Artículos de aseo gratis, Abierta todo el año, Seguridad 24 horas, Ascensor, Recepción 24 horas, Playa, Traslado aeropuerto (gratis), Aire acondicionado, Alquiler de coches, Baños públicos, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Centro de negocios, Toallas de playa/piscina, Parking gratis, Español, TV, Detectores de humo, Zona privada de playa, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Bañera, Papel higiénico, Servicio de limpieza diario, Armario, Valla alrededor de la piscina, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Toallas, Información turística, Acceso a pisos superiores en ascensor, Para todas las edades, WC, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576792278.jpg?k=eee33b926d125ebe9fcfbbc516f58fb3a66aa351c70766818c5a4130c9ec9be6&o=&hp=1,La Caramuca,Venezuela
Eurobuilding Hotel & Suites Lecheria,https://www.booking.com/hotel/ve/eurobuilding-amp-suites-lecheria.es.html?aid=2410095,"Eurobuilding Hotel & Suites Lecheria se encuentra en El Morro de Barcelona, a 9 min a pie de Playa Cangrejo, y ofrece alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento disponen de un balcón con vistas al mar.

Las unidades de este alojamiento están equipadas con cafetera. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones disponen de terraza. En el hotel, todas las habitaciones disponen de ropa de cama y toallas.

Playa Lido está a 1,7 km del alojamiento, y Parque Karina está a 25 km. El aeropuerto más cercano (Aeropuerto internacional General José Antonio Anzoátegui) está a 15 km.","Baño privado, Insonorización, Menú para niños, Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Playa, Registro de entrada / salida privado, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de habitaciones, Suelo de madera o parquet, Tarjeta de acceso, Guardaequipaje, Para todas las edades, Restaurante, Tendedero, Horario de apertura, Salas de reuniones / banquetes, Fax / fotocopiadora, Desayuno fabuloso, Caja fuerte para ordenador portátil, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Zona privada de playa, Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Cuerda de emergencia en el baño, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Mobiliario exterior, Productos de limpieza, Extintores, Piscina con vistas, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Guiado auditivo, Radio, Toallas de playa/piscina, Situado frente a la playa, Caja fuerte, Adaptado para sillas de ruedas, Bañera o ducha, Sombrillas, Papel higiénico, Reloj despertador, Servicio de conserjería, Llave de acceso, Toallas, Información turística, Bañera de hidromasaje, Tumbonas/sillas de playa, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Apoyo visual: braille, Artículos de aseo gratis, Centro de negocios, WC elevado, Servicio de despertador / alarma, Sofá cama, Bar en la piscina, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452510207.jpg?k=57c63aa0294e5deb0ba490d2b60837bb2c6af9021f850167866398e873940aa1&o=&hp=1,La Caramuca,Venezuela
JB Beach apartment,https://www.booking.com/hotel/ve/vip-beach-jbapartment.es.html?aid=2410095,"JB Beach apartment, que cuenta con vistas al jardín, dispone de alojamiento con terraza y balcón a unos 2,5 km de Playa Cangrejo. El alojamiento, que se encuentra a 18 min a pie de Playa Lido, ofrece piscina al aire libre y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 3 dormitorios, TV de pantalla plana y cocina con nevera y microondas. Hay toallas y ropa de cama en el apartamento.

Parque Karina está a 24 km del alojamiento. El aeropuerto (Aeropuerto internacional General José Antonio Anzoátegui) está a 13 km.","Prohibido fumar en todo el alojamiento, Campo de golf (a menos de 3 km), Cocina, WiFi gratis, Tumbonas/sillas de playa, Vistas, Lavadora, Piscina privada, Zona poco profunda, Vistas al jardín, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Parque acuático, Piscina al aire libre, Abierta todo el año, Tetera / cafetera, Baños públicos, Ascensor, Playa, Aire acondicionado, Tours a pie, Registro de entrada / salida privado, Habitaciones familiares, Parking gratis, Español, Inglés, Secadora de ropa, Habitaciones sin humo, Papel higiénico, Sombrillas, Microondas, Ropa de cama, Tours en bici, Toallas, Piscina infantil, Nevera, Para todas las edades, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568520208.jpg?k=61783beeb93d01899f92d9070b13227d6d9890143c0eb740fb30b97bf5ee43c4&o=&hp=1,La Caramuca,Venezuela
Hola Bora Bora!,https://www.booking.com/hotel/ve/hola-bora.es.html?aid=2410095,"Hola Bora Bora!, que cuenta con terraza, dispone de alojamiento en El Morro de Barcelona con wifi gratis y vistas al lago. El alojamiento, que se encuentra a 21 km de Parque Karina, ofrece piscina al aire libre y parking privado gratis.

Este apartamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bañera o ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto internacional General José Antonio Anzoátegui) está a 11 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Balcón, Utensilios de cocina, Italiano, Servicio de traslado, Piscina privada, Enchufe cerca de la cama, Cafetera, Piscina al aire libre, Abierta todo el año, Baños públicos, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Suelo de baldosa / mármol, Apartamento privado en edificio, Inglés, Sofá cama, Bañera o ducha, Traslado aeropuerto, Vistas al lago, Habitaciones sin humo, Papel higiénico, Nevera, Zona de cocina, Microondas, Toallas, Piscina infantil, Ropa de cama, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564889352.jpg?k=ca77d130801ce4d7eb62e74adc9a79aeb35d4a1457ba33b265af52a28b68b934&o=&hp=1,La Caramuca,Venezuela
Confortable apartamento en Marina del Rey Lecheria,https://www.booking.com/hotel/ve/confortable-apartamento-en-marina-del-rey-lecheria.es.html?aid=2410095,"Confortable apartamento en Marina del Rey Lecheria se encuentra en El Morro de Barcelona y ofrece piscina privada y wifi gratis. El alojamiento, que está a 18 min a pie de Playa Lido, dispone de piscina al aire libre y parking privado gratis.

Este apartamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Playa Cangrejo está a 2,5 km del alojamiento, y Parque Karina está a 24 km. El aeropuerto (Aeropuerto internacional General José Antonio Anzoátegui) está a 14 km.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Tendedero, Utensilios de cocina, Canales por cable, Canales vía satélite, Productos de limpieza, Baño compartido, Lavadora, Baño adicional, Toallas / sábanas (por un suplemento), Zona de estar, Piscina privada, Extintores, Horno, Vistas al jardín, Enchufe cerca de la cama, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Abierta todo el año, Tetera / cafetera, Ascensor, Seguridad 24 horas, Aire acondicionado, Ducha, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Plancha para pantalones, Secadora de ropa, Apartamento privado en edificio, Inglés, Sofá cama, Bañera o ducha, Vistas al lago, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Sombrillas, Armario, Canales de pago, Zona de cocina, Microondas, Ropa de cama, Llave de acceso, Tostadora, Toallas, Nevera, Acceso a pisos superiores en ascensor, Zona de comedor, Para todas las edades, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466158468.jpg?k=f3ad9f21c8524cf944b537ae996d0c942b1309865de1022065beef76e17d552a&o=&hp=1,La Caramuca,Venezuela
Lecheria Thai 3hab 2baños,https://www.booking.com/hotel/ve/lecheria-thai-3hab-2banos.es.html?aid=2410095,"Lecheria Thai 3hab 2baños, que cuenta con piscina al aire libre, terraza y bar, ofrece alojamiento en El Morro de Barcelona con wifi gratis y vistas al jardín. Este apartamento dispone de piscina privada, jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con bañera o ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Hay zona de playa privada en el propio alojamiento.

Playa Lido está a 2,5 km del alojamiento, y Playa Cangrejo está a 2,7 km. El aeropuerto (Aeropuerto internacional General José Antonio Anzoátegui) está a 11 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, Detector de monóxido de carbono, WiFi gratis, Accesible para personas sordas, Tumbonas/sillas de playa, Vistas, Portugués, Balcón, Cámaras de seguridad fuera del alojamiento, Utensilios de cocina, Canales por cable, Productos de limpieza, Servicio de traslado, Escritorio, Lavadora, Toallas / sábanas (por un suplemento), Zona de estar, Piscina privada, Horno, Vistas al jardín, Enchufe cerca de la cama, Cambio de moneda, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Abierta todo el año, Secador de pelo, Tetera / cafetera, Bar, Playa, Aire acondicionado, Seguridad 24 horas, Habitaciones familiares, Centro de negocios, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Zona privada de playa, Mesa de comedor, Plancha para pantalones, Secadora de ropa, Apartamento privado en edificio, Inglés, Traslado aeropuerto, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Armario, Toda la unidad en la planta baja, Zona de cocina, Microondas, Jardín, Alarma de seguridad, Llave de acceso, Habitaciones insonorizadas, Toallas, Minibar, Tarjeta de acceso, Nevera, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528733765.jpg?k=fff2af993357ae59e8a9933f240e3014cc0791bbe3c1829b8d1a9c2064ab875f&o=&hp=1,La Caramuca,Venezuela
