hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Las Hamacas,https://www.booking.com/hotel/hn/las-hamacas.es.html?aid=2410095,"Hotel Las Hamacas tiene piscina al aire libre, terraza, restaurante y bar en La Ceiba. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento dispone de karaoke y servicio de traslado gratuito.

En el hotel, todas las habitaciones están equipadas con armario. Todas las habitaciones del alojamiento tienen baño privado con artículos de aseo gratuitos, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones cuentan con balcón. En Hotel Las Hamacas, las habitaciones tienen ropa de cama y toallas.

El alojamiento ofrece desayuno continental o americano.

Hotel Las Hamacas ofrece zona de juegos infantil. Puedes jugar al billar y al ping-pong en el hotel.

El aeropuerto (Aeropuerto Internacional Golosón) está a 10 km.","2 restaurantes, Papel higiénico, Ropa de cama, Fax / fotocopiadora, Caja fuerte, Baño privado, Servicio de despertador, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Habitaciones sin humo, Salas de reuniones / banquetes, Suelo de baldosa / mármol, Juegos de mesa / puzles, Zona de juegos para niños, Detectores de humo, Teléfono, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Toallas, Snack-bar, Plancha para ropa, Snorkel, Servicio de traslado, Bar, Baños públicos, Ping pong, Senderismo, Restaurante, Equipamiento de juegos para exterior, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Almuerzos para llevar, Servicio de planchado, Abierta todo el año, Cambio de moneda, Llave de acceso, Baño al aire libre, Prohibido fumar en todo el alojamiento, Happy hour, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Extintores, Para todas las edades, Muy buen desayuno, Servicio de habitaciones, WiFi gratis, Karaoke, Billar, Productos de limpieza, Terraza / solárium, Tumbonas/sillas de playa, Armario, Habitaciones familiares, TV, Menú para niños, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/48402345.jpg?k=899846643b6157faaa54b28e0143875841ceb1dc0561f253a2e2af235b598222&o=&hp=1,La Cieba,Honduras
Hotel&Hostal Trinidad,https://www.booking.com/hotel/hn/trinidad-la-ceiba1.es.html?aid=2410095,"Hotel&Hostal Trinidad está en La Ceiba, a pocos pasos de Playa de Puerto La Ceiba, y dispone de alojamiento con jardín, parking privado gratis, terraza y zona de playa privada. Este hotel de 4 estrellas ofrece servicio de guardería, servicio de traslado gratuito y wifi gratis. Este alojamiento libre de humo se encuentra a 2,4 km de Playa de los Maestros.

En el hotel, cada habitación dispone de armario y TV de pantalla plana. Las habitaciones cuentan con baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera. En Hotel&Hostal Trinidad, cada habitación cuenta con ropa de cama y toallas.

El aeropuerto (Aeropuerto Internacional Golosón) está a 9 km.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Noches de cine, Secador de pelo, TV de pantalla plana, Playa, Toallas, Plancha para ropa, WC, Servicio de traslado, Canguro / servicios para niños, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Jardín, Prohibido fumar en todo el alojamiento, Zona privada de playa, Servicio de limpieza diario, Extintores, WiFi gratis, Ventilador, Perchero, Productos de limpieza, Armario, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/473319272.jpg?k=db7418fc4f8b1d1f80d54dae333beda1c751ce1004bbafbac33d375743afdd3f&o=&hp=1,La Cieba,Honduras
Hotel La Quinta,https://www.booking.com/hotel/hn/la-quinta.es.html?aid=2410095,"El Hotel La Quinta está situado a 100 metros de la playa de La Ceiba, y cuenta con una piscina al aire libre, un jardín, un restaurante y conexión Wi-Fi gratuita en todo el establecimiento.

Las habitaciones disponen de TV vía satélite, aire acondicionado y baño privado con ducha, secador de pelo y artículos de aseo gratuitos. También incluyen una caja fuerte y ropa de cama.

El Hotel La Quinta cuenta con recepción abierta las 24 horas, un bar, instalaciones para reuniones y aparcamiento gratuito.

El establecimiento se encuentra a 7 km del centro de la ciudad de La Ceiba y a 5,8 km del aeropuerto internacional de Golosón.","Piscina infantil, Caja fuerte, Fax / fotocopiadora, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Aire acondicionado, Habitaciones sin humo, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, Seguridad 24 horas, Pediluvio, Cámaras de seguridad en las zonas comunitarias, Bar, Baños públicos, Plancha para pantalones, Restaurante, Servicio de conserjería, Recepción 24 horas, Servicio de lavandería, Almuerzos para llevar, Abierta todo el año, Servicio de planchado, Jardín, Cambio de moneda, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Peluquería / salón de belleza, Parking privado, Servicio de limpieza diario, Información turística, Fruta, Piscina al aire libre, Extintores, Muy buen desayuno, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Buffet para niños, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504743332.jpg?k=f3fabaeeb19b1dd277ecab3aac08eb3d49999c9b022c91146dbce5d1b3aa30b2&o=&hp=1,La Cieba,Honduras
Hotel El Dorado,https://www.booking.com/hotel/hn/el-dorado.es.html?aid=2410095,"Hotel El Dorado está en La Ceiba, a 13 min a pie de Playa de los Maestros, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

Hay un centro de negocios y máquinas expendedoras de snacks y bebidas en el propio alojamiento en el hotel.

Playa de Puerto La Ceiba está a 2,9 km del alojamiento. El aeropuerto (Aeropuerto Internacional Golosón) está a 6 km.","Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Centro de negocios, Zona de fumadores, Restaurante, Recepción 24 horas, Terraza, Parking adaptado para personas de movilidad reducida, Jardín, Llave de acceso, Mobiliario exterior, Zona TV / salón de uso compartido, Máquina expendedora (bebidas), Tarjeta de acceso, Servicio de limpieza diario, Extintores, Parking en un garaje, Servicio de habitaciones, WiFi gratis, Máquina expendedora (aperitivos), Habitaciones familiares, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/421150936.jpg?k=2d5dae7bc8fcec5bf833f42df0a243b08d810dfeccf8855858eafdfb81f91c29&o=&hp=1,La Cieba,Honduras
Los Guacamayos La Ceiba,https://www.booking.com/hotel/hn/los-guacamayos-la-ceiba.es.html?aid=2410095,"Los Guacamayos La Ceiba está en La Ceiba, a 8 min a pie de Playa de Puerto La Ceiba y a 1,3 km de Playa de los Maestros, y ofrece alojamiento con terraza. Este hotel de 2 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de salón de uso común, servicio de habitaciones y cambio de moneda.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. El hotel ofrece algunas habitaciones con vistas a la ciudad, y todas cuentan con balcón.

Hay opciones continentales o vegetarianas de desayuno disponibles cada mañana en Los Guacamayos La Ceiba.

En la recepción 24 horas se habla inglés y español, y el personal está siempre dispuesto a echar una mano.

El aeropuerto (Aeropuerto Internacional Golosón) está a 8 km.","Papel higiénico, Inglés, Baño privado, Aire acondicionado, Habitaciones sin humo, Traslado aeropuerto, Seguridad 24 horas, TV de pantalla plana, Vistas, Horario de apertura, Servicio de traslado, Proporciona factura, Zona de fumadores, Recepción 24 horas, Terraza, Jardín, Cambio de moneda, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Piscina pequeña, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Extintores, Para todas las edades, Servicio de habitaciones, WiFi gratis, Terraza / solárium, Traslado aeropuerto (gratis), Habitaciones familiares, De temporada, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535393510.jpg?k=7010acb6b752c70c62a54a2434a1785b22e4c0b6413de1861a29d7672b24f80a&o=&hp=1,La Cieba,Honduras
Hotel Quinta Real,https://www.booking.com/hotel/hn/quinta-real.es.html?aid=2410095,"El Hotel Quinta Real, situado frente a la playa, a 50 metros del centro de convenciones Quinta Real, ofrece servicio de masajes y cuenta con un amplio jardín, una piscina al aire libre y un parque infantil.

Las habitaciones presentan una decoración sencilla y cuentan con aire acondicionado, armario, TV por cable, teléfono y baño privado con ducha.

El restaurante del establecimiento ofrece un menú a la carta que incluye cocina internacional y platos locales. El restaurante al aire libre también sirve platos internacionales. Además, hay servicio de bar y se ofrecen menús para dietas especiales.

El establecimiento cuenta con instalaciones de karaoke, sauna y ping pong.

El hotel se encuentra a un vuelo de 20 minutos de las Islas de la Bahía, a 20 km del parque nacional Pico Bonito y a 15 minutos en coche del aeropuerto internacional Golosón.","Caja fuerte, Fax / fotocopiadora, Baño privado, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Suelo de baldosa / mármol, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Playa, Menús para dietas especiales (bajo petición), Vistas, Español, WC, Servicio de traslado, Ascensor, Masajes, Bar, Guardaequipaje, Ping pong, Plancha para pantalones, Centro de negocios, Restaurante, Buen desayuno, Recepción 24 horas, Servicio de lavandería, Terraza, Ducha, Abierta todo el año, Servicio de planchado, Reloj despertador, Situado frente a la playa, Jardín, Cambio de moneda, Prohibido fumar en todo el alojamiento, Información turística, Piscina al aire libre, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Secadora de ropa, Armario, TV, Inglés, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511373339.jpg?k=a03f815dc818c7f5dd72af55cf340ecbf0568b9d4e9c6ce08ffbc300a6aea4a3&o=&hp=1,La Cieba,Honduras
trinidad's hostal,https://www.booking.com/hotel/hn/trinidads-hostal.es.html?aid=2410095,"Trinidad's hostal se encuentra en La Ceiba, a 2 min a pie de Playa de Puerto La Ceiba, y dispone de jardín, habitaciones libres de humo y wifi gratis en todo el alojamiento. Playa de los Maestros está a 2,4 km del albergue.

En el albergue, cada habitación incluye escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones de este alojamiento incluyen aire acondicionado y armario.

El aeropuerto más cercano (Aeropuerto Internacional Golosón) está a 9 km del alojamiento.","Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, TV de pantalla plana, Toda la unidad en la planta baja, Toallas, Hervidor eléctrico, WC, Cocina compartida, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Mesa de comedor, Microondas, WiFi gratis, Ventilador, Toallas / sábanas (por un suplemento), Armario, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580367989.jpg?k=20b4fce2bc94ca5477ea87b14481f761622c361dbf8e933220e98bb228d4fc59&o=&hp=1,La Cieba,Honduras
Hotel Carnaval,https://www.booking.com/hotel/hn/carnaval.es.html?aid=2410095,"Hotel Carnaval está en La Ceiba, a 1,9 km de Playa de los Maestros y a 2,3 km de Playa de Puerto La Ceiba. Ofrece alojamiento con restaurante y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento dispone de traslado para ir o volver del aeropuerto y también hay servicio de alquiler de coches.

Todas las habitaciones de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y bañera o ducha. Todas las unidades de este alojamiento tienen aire acondicionado y escritorio.

En la recepción 24 horas se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

El aeropuerto (Aeropuerto Internacional Golosón) está a 7 km.","Papel higiénico, Ropa de cama, Servicio de despertador, Inglés, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, TV de pantalla plana, Canales por cable, Vistas, Toallas, Cafetería en el alojamiento, Bañera o ducha, WC, Servicio de traslado, Vistas a la ciudad, Guardaequipaje, Zona de fumadores, Restaurante, Servicio de conserjería, Recepción 24 horas, Enchufe cerca de la cama, Sofá, Servicio de lavandería, Artículos de aseo gratis, Almuerzos para llevar, Servicio de planchado, Escritorio, Máquina expendedora (bebidas), Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Información turística, Extintores, Alquiler de coches, Muy buen desayuno, Parking en un garaje, WiFi gratis, Ventilador, Toallas / sábanas (por un suplemento), Zona de estar, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/50545836.jpg?k=5ca5f09cebe574f617aabd1e1df49138771ffe5bd019dc12237f1275503caab5&o=&hp=1,La Cieba,Honduras
Apart Hotel Pico Bonito,https://www.booking.com/hotel/hn/apart-pico-bonito.es.html?aid=2410095,"Apart Hotel Pico Bonito está en La Ceiba y dispone de vistas a la piscina, centro de fitness, jardín, salón de uso común, terraza y restaurante. El apartahotel ofrece wifi y parking privado, ambos gratis.

Todas las unidades disponen de aire acondicionado y TV de pantalla plana por cable. Hay un baño privado totalmente equipado con bañera y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Internacional Golosón) está a pocos pasos del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Ropa de cama, Vistas al jardín, Baño privado, Vino / champán, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Desayuno en la habitación, Teléfono, TV de pantalla plana, Canales por cable, Toallas, Snack-bar, Servicio de traslado, Bar, Restaurante, Bañera, Vistas a la piscina, Almuerzos para llevar, Servicio de lavandería, Terraza, Artículos de aseo gratis, Servicio de planchado, Jardín, Escritorio, Zona TV / salón de uso compartido, Parking en la calle, Servicio de limpieza diario, Fruta, Piscina al aire libre, Muy buen desayuno, Servicio de habitaciones, WiFi gratis, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81345136.jpg?k=0b2372b2dc06641cd436eb083c75a02a8aaf5765ca70decd5179c130d804e416&o=&hp=1,La Cieba,Honduras
Jungle River Lodge,https://www.booking.com/hotel/hn/jungle-river-lodge.es.html?aid=2410095,"Jungle River Lodge tiene vistas a la montaña y se encuentra en La Ceiba. Cuenta con restaurante, mostrador de información turística, bar, jardín, piscina al aire libre abierta todo el año y terraza. En el lodge, tanto el wifi como el parking privado son gratis.

El desayuno está disponible todos los días e incluye opciones a la carta, continentales o inglesas/irlandesas.

El aeropuerto más cercano (Aeropuerto Internacional Golosón) está a 15 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Servicio de despertador, Baño privado, Vistas al río, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Vistas, Toallas, Bañera o ducha, WC, Servicio de traslado, Bar, Entrada privada, Senderismo, Restaurante, Bañera, Vistas a la piscina, Servicio de lavandería, Terraza, Ducha, Abierta todo el año, Jardín, Piragüismo, Información turística, Piscina al aire libre, WiFi gratis, Taquillas, Ventilador, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538311514.jpg?k=9d3f830194036905308642fcc1d2c5c836101b1b401a111e5f84b038ba334d97&o=&hp=1,La Cieba,Honduras
