hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Mi Castillo,https://www.booking.com/hotel/pa/hostal-mi-castillo.es.html?aid=2410095,"Hostal Mi Castillo está en Mariabé y dispone de wifi gratis, bicicletas gratis, jardín y salón de uso común.

Todas las unidades disponen de aire acondicionado y TV de pantalla plana. Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Hay terraza y barbacoa en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 11 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Parking en la calle, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Fruta, Menú para niños, Lavadora, Sala de juegos, Barbacoa, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Artículos de aseo gratis, Snorkel, Perchero, Tetera / cafetera, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Plancha para ropa, Parking gratis, Español, Alquiler de bicicletas, Registro de entrada y salida exprés, Inglés, Senderismo, Bañera o ducha, Traslado aeropuerto, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, TV de pantalla plana, Sombrillas, Desayuno fantástico, Armario, Jardín, Servicio de conserjería, Toda la unidad en la planta baja, Almuerzos para llevar, Toallas, Desayuno en la habitación, Información turística, Ropa de cama, WC, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/219454112.jpg?k=af74ae89ecda3cc539be6eefcc4e8665d370c754cbc8478bda87e41f28bc9c3b&o=&hp=1,La Enea,Panamá
Sol y Luna Pedasí,https://www.booking.com/hotel/pa/sol-y-luna-pedasi.es.html?aid=2410095,"Sol y Luna Pedasí está en Pedasí Town y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con piscina al aire libre.

Todas las unidades están equipadas con terraza con vistas a la montaña, cocina con nevera y lavavajillas, y baño privado con bidet. También hay fogones y cafetera.

En el apartamento se puede usar la barbacoa.

El aeropuerto (Aeropuerto de Pedasí) está a 4 km.","Vistas a la piscina, Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Lavavajillas, Baño al aire libre, Vistas a la montaña, Piscina privada, Zona de comedor exterior, Barbacoa, Vistas al jardín, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Perchero, Abierta todo el año, Tetera / cafetera, Fogones, Patio, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Parking gratis, Español, Mesa de comedor, Apartamento privado en edificio, Senderismo, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Armario, Zona de pícnic, Nevera, Jardín, Zona de cocina, Toallas, Ropa de cama, Zona de comedor, Para todas las edades, WC, Terraza, Accesible para personas sordas, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/380827365.jpg?k=ed2e80f279834580e82e6163a763e8bc926694692d8947937e7eb9bb4503ff13&o=&hp=1,La Enea,Panamá
Residencial Santa Catalina Pedasi,https://www.booking.com/hotel/pa/residencial-santa-catalina.es.html?aid=2410095,"Residencial Santa Catalina Pedasi se encuentra en Pedasí Town y ofrece jardín y wifi gratis en todo el alojamiento. Cada habitación está equipada con balcón.

En el hotel, cada habitación incluye aire acondicionado, escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas al jardín. Las habitaciones incluyen armario.

En Residencial Santa Catalina Pedasi se sirve todos los días un desayuno continental.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 2 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas a un patio interior, Mobiliario exterior, Zona de fumadores, Escritorio, Proporciona factura, Extintores, Vistas al jardín, Desayuno, Artículos de aseo gratis, Seguridad 24 horas, Patio, Aire acondicionado, Registro de entrada / salida privado, Hipoalergénico, Entrada privada, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Caja fuerte, Inglés, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Servicio de limpieza diario, Papel higiénico, Armario, Jardín, Toda la unidad en la planta baja, Toallas, Información turística, Ropa de cama, Balcón, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/373526510.jpg?k=612a464989c998a0dd3a623bca1ded12392aa777aae4a4cbdb7d3ea04b721239&o=&hp=1,La Enea,Panamá
HOTEL CAREY,https://www.booking.com/hotel/pa/carey.es.html?aid=2410095,"HOTEL CAREY dispone de piscina al aire libre, jardín, terraza y restaurante en Pedasí Town. Este alojamiento ofrece servicio de habitaciones y mostrador de información turística, además de wifi gratis en todo el alojamiento. Hay bar.

En el hotel, todas las habitaciones cuentan con armario. Todas las unidades de este alojamiento incluyen aire acondicionado y escritorio.

HOTEL CAREY ofrece desayuno a la carta o continental.

Se puede jugar al billar en el alojamiento, y la zona es ideal para practicar ciclismo.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 1 km del alojamiento.","Masaje de cabeza, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Sala de juegos, Estación de carga de vehículos eléctricos, Abierta todo el año, Registro de entrada / salida privado, Entrada privada, Masaje de espalda, Detectores de humo, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Almuerzos para llevar, Tours en bici, Guardaequipaje, Para todas las edades, Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, Tendedero, Salas de reuniones / banquetes, Baño al aire libre, Snorkel, Masaje de manos, Traslado aeropuerto (gratis), Tours a pie, Aire acondicionado, Masajes, Parking gratis, Español, Adaptado personas de movilidad reducida, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Ropa de cama, Terraza, WiFi gratis, Mobiliario exterior, Masaje de pies, Escritorio, Extintores, Zona poco profunda, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Piscina al aire libre, Baños públicos, Bar, Habitaciones familiares, Pesca, Alquiler de bicicletas, Adaptado para sillas de ruedas, Billar, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Ciclismo, Servicio de traslado, Artículos de aseo gratis, Snack-bar, Perchero, Centro de negocios, Armario, Bar en la piscina, Toda la unidad en la planta baja, Happy hour",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522191572.jpg?k=bf5a2e685a392a90c8ac0e44048d215e14cd9f44b887faf5942e161d5c5ccaad&o=&hp=1,La Enea,Panamá
Las Porrocas Backpacer's,https://www.booking.com/hotel/pa/las-porrocas.es.html?aid=2410095,"Las Porrocas Backpacer's tiene jardín, salón de uso común, terraza y bar en Pedasí Town. Todas las habitaciones tienen cocina, TV de pantalla plana con canales vía satélite y baño compartido. Hay wifi gratis y cocina compartida.

Todas las habitaciones cuentan con nevera.

La posada u hostería ofrece barbacoa. La zona es idea para practicar ciclismo, y hay alquiler de bicicletas y alquiler de coches en Las Porrocas Backpacer's.

El aeropuerto (Aeropuerto de Pedasí) está a 2 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Noches de cine, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Cocina, Cama plegable, WiFi gratis, Utensilios de cocina, Eventos deportivos en directo (emisión), Comedia en vivo, Canales por cable, Ciclismo, Baño compartido, Canales vía satélite, Servicio de traslado, Proporciona factura, Zona de comedor exterior, Sala de juegos, Barbacoa, Horno, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Artículos de aseo gratis, Snorkel, Fogones, Bar, Aire acondicionado, Tours a pie, Alquiler de coches, Registro de entrada / salida privado, Pesca, Ducha, Español, Alquiler de bicicletas, Mesa de comedor, Inglés, Bañera o ducha, Traslado aeropuerto, Bañera, Papel higiénico, Servicio de limpieza diario, Canales de pago, Jardín, Zona de cocina, Llave de acceso, Tour o clase sobre cultura local, Happy hour, Tours en bici, Minibar, Información turística, Nevera, Zona de comedor, Terraza, TV de pantalla plana, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/310188357.jpg?k=3e4ad77fdc492e4deccbe81ab3adc7a8aa79f590d293249629f89a6e8e6dc5f9&o=&hp=1,La Enea,Panamá
Casa Wabi Sabi,https://www.booking.com/hotel/pa/habitacion-shai-casa-wabi-sabi.es.html?aid=2410095,"Casa Wabi Sabi está en Pedasí Town y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con terraza.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 1 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Zona de estar, Juegos de mesa / puzles, Artículos de aseo gratis, Aire acondicionado, Patio, Libros, DVD o música para niños, Ducha, Parking gratis, Español, Inglés, Papel higiénico, Jardín, Toda la unidad en la planta baja, Toallas, Ropa de cama, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/354555878.jpg?k=e85d790d57a1a43b9cc85d2619f13ecd7211c47641f5e3d83f17974b36af3934&o=&hp=1,La Enea,Panamá
Ferdinand the bull hostel,https://www.booking.com/hotel/pa/ferdinand-the-bull-hostel.es.html?aid=2410095,"Ferdinand the bull hostel está en Pedasí Town y dispone de bar. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento.

Las habitaciones incluyen baño privado con ducha, algunas ofrecen terraza y otras también incluyen vistas al jardín.

El aeropuerto (Aeropuerto de Pedasí) está a 4 km.","Baño privado, Ducha, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Español, Entretenimiento nocturno, Tours en bici, Tours a pie, Inglés, Bar, WC, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520170661.jpg?k=510a62a35a65dd18fb00c34ba944dae63df9571a97e99b7fd1e7b30e99b35769&o=&hp=1,La Enea,Panamá
Pedasi Sports Club,https://www.booking.com/hotel/pa/pedasi-sports-club.es.html?aid=2410095,"El Pedasi Sports Club se encuentra en Pedasí, a solo 3,6 km de la playa El Toro, y cuenta con piscina al aire libre y aparcamiento gratuito. Ofrece conexión WiFi gratuita.

Las habitaciones cuentan con aire acondicionado, terraza y baño privado con ducha y artículos de aseo gratuitos. Se ofrece ventilador y ropa de cama.

El Pedasí Sports Club tiene jardín y terraza. El restaurante está abierto solo para el desayuno, pero bajo petición puede ofrecer almuerzos. El bar abre de 13:00 a 21:00, mientras que la recepción está disponible de 07:00 a 21:00.

El aeropuerto internacional de Tocumen se encuentra a 358 km del establecimiento.","Baño privado, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Equitación, Ventilador, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Perchero, Abierta todo el año, Bar, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Entrada privada, Parking gratis, Español, Suelo de baldosa / mármol, Inglés, Habitaciones sin humo, Papel higiénico, Jardín, Toallas, Submarinismo, Ropa de cama, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/46026056.jpg?k=09e99875aefdaa02ec60bcd5fd57474f445bc63d457b9d8f33c873dacffa0def&o=&hp=1,La Enea,Panamá
Zenquility Inn & Tavern,https://www.booking.com/hotel/pa/zenquility-inn-amp-tavern.es.html?aid=2410095,"Zenquility Inn & Tavern está en Pedasí Town y ofrece vistas al jardín, piscina al aire libre, salón de uso común, terraza y restaurante. El bed and breakfast ofrece wifi y parking privado, ambos gratis.

Las unidades están equipadas con patio y ofrecen aire acondicionado, TV de pantalla plana y baño privado con bidet y artículos de aseo gratuitos. También hay nevera y cafetera.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Se puede descubrir la zona practicando senderismo o snorkel en los alrededores.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 3 km.","Servicio de streaming (como Netflix), Restaurante, Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Zona de fumadores, Servicio de traslado, Zona de estar, Proporciona factura, Extintores, Equitación, Vistas al jardín, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Ventilador, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Abierta todo el año, Tetera / cafetera, Seguridad 24 horas, Patio, Aire acondicionado, Masajes, Registro de entrada / salida privado, Pesca, Ducha, Entrada privada, Toallas de playa/piscina, Parking gratis, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Caja fuerte, Mesa de comedor, Inglés, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Vino / champán, Masaje corporal completo, Armario, Nevera, Toda la unidad en la planta baja, Clases de yoga, Almuerzos para llevar, Happy hour, Toallas, Piscina pequeña, Ropa de cama, Para todas las edades, WC, Terraza, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561134571.jpg?k=c57b1ce8a1e399d21f7d32bfa5af3dda2a4ffa908398308f0726a82753391c12&o=&hp=1,La Enea,Panamá
Casa Loma,https://www.booking.com/hotel/pa/casa-loma-pedasi.es.html?aid=2410095,"La Casa Loma, situada en Pedasí, proporciona piscina al aire libre y conexión WiFi gratuita en todas las instalaciones. También cuenta con restaurante y bar, abierto de 13:00 a 21:00.

Las habitaciones disponen de aire acondicionado, terraza, baño privado con ducha, ventilador y ropa de cama.

La Casa Loma dispone de jardín, zona de barbacoa, terraza, aparcamiento gratuito y cocina compartida.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Proporciona factura, Equitación, Barbacoa, Ventilador, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Perchero, Abierta todo el año, Bar, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Entrada privada, Parking gratis, Español, Suelo de baldosa / mármol, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Desayuno fantástico, Jardín, Almuerzos para llevar, Toallas, Submarinismo, Ropa de cama, WC, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/46026074.jpg?k=4ba843db9688bc2f8c2d1071eb1304ac5d151b059ea20372e9289ec2ba664d93&o=&hp=1,La Enea,Panamá
