hotel,hotel_url,description,popular_facilities,highres_url,city,country
Posada Papa Chepe,https://www.booking.com/hotel/hn/posada-papa-chepe-la-esperanza.es.html?aid=2410095,"Posada Papa Chepe está en La Esperanza y cuenta con jardín. Este alojamiento ofrece recepción 24 horas y servicio de limpieza en seco, además de wifi gratis en todo el alojamiento. Hay un restaurante de cocina americana y parking privado gratis.

El hotel dispone de escritorio, baño privado, TV de pantalla plana, ropa de cama y patio con vistas a la ciudad. Todas las habitaciones tienen armario.

En Posada Papa Chepe se puede disfrutar de un desayuno continental.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 115 km.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Servicio de despertador, Baño privado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Vistas a un patio interior, Patio, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Plancha para ropa, Bañera o ducha, WC, Vistas a la ciudad, Plancha para pantalones, Restaurante, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Ducha, Servicio de planchado, Lavadora, Jardín, Zona de comedor, Escritorio, Servicio de limpieza en seco, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Información turística, Extintores, Muy buen desayuno, WiFi gratis, Toda la unidad accesible en silla de ruedas, Servicio de aparcacoches, Toallas / sábanas (por un suplemento), Zona de estar, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/107337305.jpg?k=0dbd09e0083967f79a18af788155594a59f3aa2f8931142493815dbc69f537c1&o=&hp=1,La Esperanza,Honduras
Hotel Huella Lenca,https://www.booking.com/hotel/hn/huella-lenca-la-esperanza.es.html?aid=2410095,"Hotel Huella Lenca, en La Esperanza, ofrece alojamiento de 3 estrellas con jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

En el hotel, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y un patio con vistas a la montaña. Todas las unidades disponen de armario.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 125 km.","Vistas a la montaña, Papel higiénico, Ropa de cama, Inglés, Baño privado, Registro de entrada / salida privado, Suelo de moqueta, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Juegos de mesa / puzles, Adaptado para sillas de ruedas, Patio, Desayuno en la habitación, TV de pantalla plana, Toda la unidad en la planta baja, Menús para dietas especiales (bajo petición), Chimenea exterior, Toallas, Cafetería en el alojamiento, WC, Restaurante, Recepción 24 horas, Enchufe cerca de la cama, Almuerzos para llevar, Servicio de lavandería, Artículos de aseo gratis, Ducha, Jardín, Escritorio, Calefacción, Servicio de limpieza diario, Información turística, Muy buen desayuno, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Toda la unidad accesible en silla de ruedas, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/242764419.jpg?k=43e93a245ae2ec5274ebcb80d90a5ccc5622decb4e58bbabfe737770b9d233ac&o=&hp=1,La Esperanza,Honduras
Hotel Ipsan Nah,https://www.booking.com/hotel/hn/ipsan-nah.es.html?aid=2410095,"El Hotel Ipsan Nahl alberga un restaurante y está situado en La Esperanza, a solo 300 metros del centro histórico. Ofrece desayunos gratuitos todos los días y WiFi gratuita en todas las dependencias.

Las habitaciones incluyen minibar, TV por cable y baño privado con ducha y aseo.

El Pollito Indio, el restaurante del establecimiento, sirve platos nacionales típicos e internacionales. La recepción del Hotel Ipsan NAH abre de 06:00 a 22:00.

El establecimiento se encuentra a 6 km de la laguna de Chiligatoro, a 5 minutos a pie de restaurantes, tiendas y bares y a 170 km del aeropuerto internacional Toncontín.","Papel higiénico, Ropa de cama, Baño privado, Parking gratis, Habitaciones sin humo, Teléfono, TV de pantalla plana, Canales por cable, Toallas, WC, Bar, Vistas a la ciudad, Restaurante, Buen desayuno, Enchufe cerca de la cama, Almuerzos para llevar, Ducha, Artículos de aseo gratis, Escritorio, Servicio de entrega de comestibles, Servicio de habitaciones, WiFi gratis, Minibar, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/26759782.jpg?k=5c550324d1caf692c0715c54f9ef02b63e56adc5b7b6f2ac2383b8e6f00237e4&o=&hp=1,La Esperanza,Honduras
Cotan Ecolodge,https://www.booking.com/hotel/hn/cotan-ecolodge.es.html?aid=2410095,"Cotan Ecolodge está en La Esperanza y cuenta con jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y servicio de conserjería, además de wifi gratis. Hay parking privado gratis y hotel también dispone de alquiler de bicicletas para descubrir los alrededores.

Todas las habitaciones de este alojamiento están equipadas con cafetera. Cada habitación dispone de baño privado con ducha, y algunas también ofrecen vistas al lago. En el hotel, las habitaciones disponen de zona de estar.

En Cotan Ecolodge se sirve cada mañana un desayuno continental.

La clientela puede practicar actividades en La Esperanza y alrededores, como senderismo y ciclismo.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 116 km.","Vistas a la montaña, Papel higiénico, Vistas al jardín, Baño privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Juegos de mesa / puzles, Adaptado para sillas de ruedas, Desayuno en la habitación, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Toallas, Supermercado pequeño en el alojamiento, WC, Entrada privada, Proporciona factura, Senderismo, Restaurante, Servicio de conserjería, Sofá, Ducha, Alquiler de bicicletas, Jardín, Cafetera, Prohibido fumar en todo el alojamiento, Zona de pícnic, Información turística, Extintores, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Minibar, Ciclismo, Zona de estar, TV, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/534229965.jpg?k=487b826b73a9f6a883f9871f05233568a0f2c59c17b512d0a0598d10e4188d27&o=&hp=1,La Esperanza,Honduras
Elithe Hotel,https://www.booking.com/hotel/hn/elithe.es.html?aid=2410095,"Elithe Hotel tiene jardín, terraza, restaurante y bar en La Esperanza. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel dispone de habitaciones familiares.

En el hotel, cada habitación incluye escritorio. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones incluyen balcón. En Elithe Hotel, cada habitación dispone de ropa de cama y toallas.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 111 km.","WC con barras de apoyo, Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Servicio de despertador, Baño privado, Caja fuerte, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Detectores de humo, Adaptado para sillas de ruedas, Secador de pelo, TV de pantalla plana, Seguridad 24 horas, Vistas, Cámaras de seguridad en las zonas comunitarias, Lavamanos más bajo, Toallas, Ascensor, Bar, Entrada privada, Zona de fumadores, Restaurante, Habitaciones insonorizadas, Recepción 24 horas, Terraza, Artículos de aseo gratis, Ducha, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Calefacción, Extintores, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Perchero, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548921832.jpg?k=20e61303da9f33aae56ce3be72e2eb230098491be595e99c830689709c9fe97e&o=&hp=1,La Esperanza,Honduras
Apart-Hotel Plaza Familiar,https://www.booking.com/hotel/hn/apart-plaza-familiar.es.html?aid=2410095,"Apart-Hotel Plaza Familiar se encuentra en La Esperanza y ofrece jardín. Hotel ofrece parking privado gratis y wifi gratis.

En el hotel, cada habitación tiene patio. Todas las habitaciones incluyen baño privado con ducha, y algunas también ofrecen vistas al jardín. En Apart-Hotel Plaza Familiar, todas las habitaciones cuentan con TV con canales por cable.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 110 km.","Jardín, Toallas, Prohibido fumar en todo el alojamiento, Papel higiénico, Bañera o ducha, WC, Baño privado, Canales por cable, Parking gratis, Habitaciones sin humo, TV, Patio, Inglés, Ducha, Servicio de habitaciones, Desayuno, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538582803.jpg?k=6998fb011f496c842535bae0271b362828cff901ba079c5ce0d52b08e2fdf7e0&o=&hp=1,La Esperanza,Honduras
"Alojamiento En La Esperanza, Intibuca",https://www.booking.com/hotel/hn/alojamiento-en-la-esperanza-intibuca-la-esperanza.es.html?aid=2410095,"Alojamiento En La Esperanza, Intibuca se encuentra en La Esperanza. Hay parking privado en el propio alojamiento y wifi gratis.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y zona de cocina.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 108 km del alojamiento.","Prohibido fumar en todo el alojamiento, Parking gratis, Inglés, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574522715.jpg?k=ca1975000aa17063b1a943043d49bfdf05924002619cbe72d55b516fb5d30462&o=&hp=1,La Esperanza,Honduras
"Alojamiento En la Esperanza, Intibuca",https://www.booking.com/hotel/hn/alojamiento-en-la-esperanza-intibuca.es.html?aid=2410095,"Alojamiento En la Esperanza, Intibuca se encuentra en La Esperanza. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y zona de cocina.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 108 km del alojamiento.","Prohibido fumar en todo el alojamiento, Parking gratis, Inglés, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574460431.jpg?k=24a4c7bccf87c50dc72ddbd870a766b89a4aa5512d6992f014660f4700b7319a&o=&hp=1,La Esperanza,Honduras
Cabañas San Miguel,https://www.booking.com/hotel/hn/cabanas-san-miguel.es.html?aid=2410095,"Cabañas San Miguel se encuentra en La Esperanza y dispone de jardín, restaurante y wifi gratis en todo el alojamiento. Cada habitación incluye balcón.

En el hotel, cada habitación está equipada con escritorio, una terraza con vistas al jardín, baño privado, TV de pantalla plana, ropa de cama y toallas. Las habitaciones incluyen armario.","Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Parking gratis, TV de pantalla plana, Vistas, Toallas, WC, Terraza, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Servicio de habitaciones, WiFi gratis, Perchero, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581297851.jpg?k=474d677451db8d2474ec05befca1be52a33ea169bcab6d1486ff726ab58b073e&o=&hp=1,La Esperanza,Honduras
Cabañas Bosque llano de la Virgen,https://www.booking.com/hotel/hn/cabanas-bosque-llano-de-la-virgen.es.html?aid=2410095,"Cabañas Bosque llano de la Virgen está en Intibucá. Este hotel de 3 estrellas ofrece recepción 24 horas y mostrador de información turística. Hay vistas a la montaña.

Las unidades están equipadas con TV de pantalla plana con canales por cable, nevera, cafetera, ducha, artículos de aseo gratuitos y armario. En el hotel, todas las habitaciones incluyen baño privado y ropa de cama.

La clientela puede practicar actividades en Intibucá y alrededores, como senderismo.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 115 km.","Vistas a la montaña, Papel higiénico, Ropa de cama, Baño privado, Registro de entrada / salida privado, Habitaciones sin humo, Parking gratis, Salas de reuniones / banquetes, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Vistas, Toallas, WC, Entrada privada, Senderismo, Nevera, Recepción 24 horas, Utensilios de cocina, Ducha, Artículos de aseo gratis, Zona de comedor, Llave de acceso, Cafetera, Servicio de limpieza diario, Información turística, Cocina, Armario, Habitaciones familiares, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/285752370.jpg?k=482cb4861847097fe6f79f64de116e455e677ad7a7162f0b45c979ddb6709b4e&o=&hp=1,La Esperanza,Honduras
