hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Vip La Guaira,https://www.booking.com/hotel/ve/vip-la-guaira.es.html?aid=2410095,"Hotel Vip La Guaira dispone de salón de uso común, restaurante, bar y casino en Macuto. Este alojamiento, que cuenta con cajero automático, también ofrece zona de juegos infantil. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, caja fuerte, TV de pantalla plana y baño privado con ducha. Algunas de las habitaciones también disponen de cocina con nevera, lavavajillas y horno. Todas las unidades disponen de armario.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Galeria de Arte Nacional está a 34 km del alojamiento, y Museo de Bellas Artes está a 35 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 10 km.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Cajero automático en el hotel, Servicios de maquillaje, Terapia con luz, Servicio de despertador, Cafetera, Pista de tenis, Registro de entrada / salida privado, Plancha para ropa, Servicios de depilación, TV, Detectores de humo, Zona de juegos para niños, Inglés, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Instalaciones de spa, Almuerzos para llevar, Tarjeta de acceso, Accesible para personas sordas, Club infantil, Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, Spa y centro de bienestar, Eventos deportivos en directo (emisión), Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Árabe, Secador de pelo, Traslado aeropuerto (gratis), Tours a pie, Aire acondicionado, Ducha, Parking gratis, Español, Plancha para pantalones, Servicio de lavandería, Traslado aeropuerto, Servicio de limpieza diario, Alarma de seguridad, Manicura, TV de pantalla plana, WiFi gratis, Canales por cable, Corte de pelo, Escritorio, Zona de juegos interior, Servicio de limpieza en seco, Extintores, Karaoke, Enchufe cerca de la cama, Aseo adicional, Buen desayuno, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Equipamiento de tenis, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Peluquería / salón de belleza, Paquetes de spa / bienestar, Zona de spa / relajación, Discoteca / DJ, Habitaciones familiares, Caja fuerte, Tratamientos faciales, Exfoliación corporal, Papel higiénico, Música / espectáculos en directo, Llave de acceso, Tour o clase sobre cultura local, Tratamientos capilares, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Acceso a pisos superiores solo mediante escaleras, Silla de masajes, Casino, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Canales vía satélite, Servicio de traslado, Barbacoa, Bingo, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Ascensor, Tinte, Peinado, Centro de negocios, Personal de animación, Pedicura, Habitaciones hipoalergénicas, Servicios de belleza, Bolos, Tratamientos corporales, Armario, Envoltura corporal, Taquillas, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/496644024.jpg?k=f152778c81e11eaecebb7470af6447032fd730dd461f67598257d6acc305f222&o=&hp=1,La Guaira,Venezuela
BELLA SUITE frente al Aeropuerto,https://www.booking.com/hotel/ve/bella-suite.es.html?aid=2410095,"BELLA SUITE frente al Aeropuerto está en Catia La Mar, a 30 km de Galeria de Arte Nacional, y dispone de alojamiento con terraza, parking privado gratis y bar. El alojamiento está a unos 31 km de Museo de Bellas Artes, a 31 km de Jardín Botánico y a 31 km de Univesidad de Venezuela. El hostal o pensión también ofrece wifi gratis y servicio de traslado gratis para ir o volver del aeropuerto.

Todas las habitaciones están equipadas con aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, cafetera, ducha, artículos de aseo gratuitos y armario. En el hostal o pensión, las habitaciones cuentan con baño privado.

Parque Los Caobos está a 31 km del alojamiento, y Estadio Olímpico está a 32 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a pocos pasos.",Error al acceder a la página del hotel.,https://cf.bstatic.com/xdata/images/hotel/max1024x768/450483384.jpg?k=13fd5e2b69139aa271d4e889d30045444e8e6780e6731dcf8a16cd7e8df7f06d&o=&hp=1,La Guaira,Venezuela
Posada Restaurant La Guaricha,https://www.booking.com/hotel/ve/posada-restaurant-la-guaricha.es.html?aid=2410095,"Posada Restaurant La Guaricha se encuentra en Catia La Mar, a 32 km de Galeria de Arte Nacional, y ofrece alojamiento con salón de uso común, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas ofrece recepción 24 horas y servicio de conserjería. El hotel libre de humo ofrece wifi gratisen todo el alojamiento, piscina cubierta y karaoke.

En el hotel, todas las habitaciones tienen aire acondicionado, armario, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas a la ciudad.

En Posada Restaurant La Guaricha se puede disfrutar de un desayuno a la carta.

Puedes jugar al billar en el alojamiento.

Museo de Bellas Artes está a 32 km del alojamiento, y Jardín Botánico está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a pocos pasos.","Baño privado, Zona TV / salón de uso compartido, Vistas a la ciudad, Zona de fumadores, Toallas / sábanas (por un suplemento), Piscina privada, Proporciona factura, Sala de juegos, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Suelo de moqueta, TV, Detectores de humo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Almuerzos para llevar, Guardaequipaje, Vistas a un lugar de interés, Para todas las edades, Balcón, Accesible para personas sordas, Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Eventos deportivos en directo (emisión), Fax / fotocopiadora, Traslado aeropuerto (gratis), Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Zona privada de playa, Traslado aeropuerto, Servicio de limpieza diario, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Extintores, Karaoke, Juegos de mesa / puzles, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Patio, Habitaciones familiares, Situado frente a la playa, Billar, Bañera o ducha, Papel higiénico, Música / espectáculos en directo, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Servicio de traslado, Artículos de aseo gratis, Snack-bar, Personal de animación, Piscina climatizada, Piscina interior, Vistas al mar, Armario, Bar en la piscina, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503715686.jpg?k=e77035904bfdc4e278804e17799fa1bbed8efac29837e7b6bd226a7a046f36f5&o=&hp=1,La Guaira,Venezuela
Eurobuilding Hotel & Suites Caracas,https://www.booking.com/hotel/ve/eurobuilding-suites-caracas.es.html?aid=2410095,"El Eurobuilding Hotel & Suites Caracas se encuentra a 15 minutos en coche del centro de la ciudad, en el distrito financiero. Dispone de habitaciones elegantes, piscina, gimnasio y sauna.

Las habitaciones del EuroBuilding Caracas presentan una decoración elegante, con suelo de moqueta. Están equipadas con conexión Wi-Fi y TV por cable. Algunas ofrecen bañera de hidromasaje privada y acceso a un salón de lujo.

El desayuno bufé está disponible por un suplemento. Los 4 restaurantes del establecimiento preparan platos internacionales y locales, mientras que el bar del vestíbulo sirve cócteles y bebidas calientes.

El hotel cuenta con pista de tenis, tumbonas junto a la piscina, servicios de spa y tiendas de regalos.

La recepción 24 horas puede organizar servicios de traslado al aeropuerto Simón Bolívar, que está a 45 minutos en coche.","Galerías de arte temporales, Baño privado, Servicio de planchado, Insonorización, Habitaciones comunicadas disponibles, Vistas a la ciudad, Masaje de cabeza, Menú para niños, Vistas a la montaña, Proporciona factura, Cajero automático en el hotel, Servicios de maquillaje, Servicio de despertador, Cafetera, Sauna, Pista de tenis, Alemán, Abierta todo el año, Canguro / servicios para niños, Hipoalergénico, Entrada privada, Plancha para ropa, Masaje de espalda, Suelo de moqueta, TV, Gimnasio, Detectores de humo, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Instalaciones de spa, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Spa y centro de bienestar, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Caja fuerte para ordenador portátil, Francés, Masaje de manos, Secador de pelo, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Español, Adaptado personas de movilidad reducida, Buffet para niños, Plancha para pantalones, Servicio de lavandería, Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Manicura, TV de pantalla plana, Bidet, Servicio de streaming (como Netflix), WiFi gratis, Vistas, Calefacción, Parking en el alojamiento, Mobiliario exterior, Canales por cable, Productos de limpieza, Corte de pelo, Italiano, Masaje de pies, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Equipamiento de tenis, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Baño de vapor, 3 restaurantes, Caja fuerte, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Noches de cine, Silla de masajes, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Adecuada para niños, Apoyo visual: braille, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Pedicura, Servicio de despertador / alarma, Servicios de belleza, Armario, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/2212834.jpg?k=bb753713f7cd02c5c8eb219413a91241cdfb5a51496f26261e432c9d7bd948aa&o=&hp=1,La Guaira,Venezuela
Eurobuilding Express Maiquetía,https://www.booking.com/hotel/ve/eurobuilding-express-maiquetia.es.html?aid=2410095,"El Eurobuilding Express Maiquetía está a solo 5 minutos en coche del aeropuerto Simón Bolívar. Dispone de una bañera de hidromasaje, un gimnasio y una piscina. Ofrece un servicio de enlace con el aeropuerto, aparcamiento y conexión Wi-Fi, todo gratuito. También hay un bar.

Las habitaciones del Eurobuilding Maiquetía están decoradas de manera elegante y tienen suelo de moqueta. Cuentan con aire acondicionado y TV por cable, y algunas tienen zonas de estar amplias.

Todas las mañanas se sirve un desayuno bufé. En el bar se ofrecen bebidas y café.

Los huéspedes pueden relajarse en la piscina, acceder al gimnasio o jugar un partido de tenis. Hay una bañera de hidromasaje a su disposición.

El servicio gratuito de enlace con el aeropuerto (ida y vuelta) está disponible cada 15 minutos. El Eurobuilding Express Maiquetía es el establecimiento más cercano al aeropuerto Simón Bolívar, situado a menos de 5 km.","Baño privado, Insonorización, Detector de monóxido de carbono, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Cajero automático en el hotel, Terapia con luz, Servicio de despertador, Cafetera, Sauna, Pista de tenis, Abierta todo el año, Plancha para ropa, Suelo de moqueta, Servicios de depilación, TV, Gimnasio, Zona de juegos para niños, Inglés, Habitaciones sin humo, Bañera, Máquina expendedora (bebidas), Servicio de habitaciones, Instalaciones de spa, Acceso a pisos superiores en ascensor, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Spa y centro de bienestar, Salas de reuniones / banquetes, Fax / fotocopiadora, Secador de pelo, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Máquina expendedora (aperitivos), Traslado aeropuerto, Utensilios de planchado, Jardín, Habitaciones insonorizadas, Ropa de cama, Manicura, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Mobiliario exterior, Canales por cable, Escritorio, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Tetera / cafetera, Baños públicos, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Toallas de playa/piscina, Caja fuerte, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Exfoliación corporal, Tratamientos faciales, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Toallas, Desayuno en la habitación, Silla de masajes, Tetera/cafetera en todas las habitaciones, Artículos de aseo gratis, Perchero, Ascensor, Centro de negocios, Pedicura, Servicio de despertador / alarma, Servicios de belleza, Tratamientos corporales, Armario, Toda la unidad en la planta baja, Envoltura corporal, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/56853047.jpg?k=ef2352294bfcc8239d851bbf0779fe5b32c4a8c9b6d64ca0adeb855f64ad5014&o=&hp=1,La Guaira,Venezuela
Hotel Catimar,https://www.booking.com/hotel/ve/catimar.es.html?aid=2410095,"Hotel Catimar se encuentra en Maiquetía, a pocos pasos de Playa de Puerto Viejo, y ofrece alojamiento frente a la playa con bar, entre otros. Este hotel de 3 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de traslado gratuito y servicio de habitaciones.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones tienen ropa de cama y toallas.

El personal de recepción ofrece ayuda de forma ininterrumpida.

Galeria de Arte Nacional está a 32 km del alojamiento, y Museo de Bellas Artes está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 2 km.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Extintores, Enchufe cerca de la cama, Servicio de despertador, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Seguridad 24 horas, Ascensor, Bar, Playa, Traslado aeropuerto (gratis), Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Español, Situado frente a la playa, Adaptado personas de movilidad reducida, TV, Detectores de humo, Adaptado para sillas de ruedas, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Toallas, Ropa de cama, Acceso a pisos superiores en ascensor, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/219865398.jpg?k=7a85446c5a5a5e6aa2ea2362484f7b29f3ac8b20ef92eea21b655164d44dbe1f&o=&hp=1,La Guaira,Venezuela
BUENAVISTA INN,https://www.booking.com/hotel/ve/buenavista-inn.es.html?aid=2410095,"BUENAVISTA INN se encuentra en Maiquetía, a 2,5 km de Playa de Puerto Viejo, y ofrece alojamiento con bicicletas gratis, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El restaurante sirve platos de cocina americana y de cocina caribeña, y el bar es ideal para tomar algo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, caja fuerte, TV de pantalla plana, terraza y baño privado con ducha. Las habitaciones incluyen hervidor, algunas ofrecen patio y otras también ofrecen vistas al jardín. En BUENAVISTA INN, cada habitación incluye ropa de cama y toallas.

Hay opciones a la carta o americanas de desayuno disponibles todos los días en el alojamiento.

BUENAVISTA INN ofrece zona de juegos infantil.

Hay una cafetería en el propio alojamiento, y también se puede usar la zona business.

Galeria de Arte Nacional está a 33 km del alojamiento, y Museo de Bellas Artes está a 34 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a pocos pasos del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona de fumadores, Menú para niños, Proporciona factura, Servicio de despertador, Cafetera, Registro de entrada / salida privado, Hipoalergénico, TV, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Guardaequipaje, Nevera, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fax / fotocopiadora, Secador de pelo, Aire acondicionado, Ducha, Parking gratis, Terraza / solárium, Español, Mesa de comedor, Traslado aeropuerto, Jardín, Alarma de seguridad, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Escritorio, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Suelo de baldosa / mármol, Alquiler de bicicletas, Caja fuerte, Bañera o ducha, Papel higiénico, Toallas, Desayuno en la habitación, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Perchero, Libros, DVD o música para niños, Centro de negocios, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Armario, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/290285570.jpg?k=cc9a60debe96b159e674c5c31dc472f445231087feaf3e2bd60eb028d3d385b2&o=&hp=1,La Guaira,Venezuela
Hotel Alto Mar,https://www.booking.com/hotel/ve/alto-mar.es.html?aid=2410095,"Hotel Alto Mar está en Catia La Mar, a 2,1 km de Playa de Puerto Viejo, y dispone de alojamiento con centro de fitness, parking privado gratis, salón de uso común y terraza. Este hotel de 4 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece bañera de hidromasaje, personal de animación y servicio de traslado gratuito.

En el hotel, las habitaciones están equipadas con armario. Las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

En la recepción 24 horas se hablan varios idiomas, como inglés, español, italiano y portugués.

Galeria de Arte Nacional está a 32 km del alojamiento, y Museo de Bellas Artes está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 3 km.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Masaje de cabeza, Proporciona factura, Servicios de maquillaje, Terapia con luz, Servicio de despertador, Playa, Registro de entrada / salida privado, Masaje de espalda, WC con barras de apoyo, Servicios de depilación, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Vino / champán, Servicio de habitaciones, Instalaciones de spa, Tarjeta de acceso, Acceso a pisos superiores en ascensor, Restaurante, Prohibido fumar en todo el alojamiento, Tendedero, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Supermercado pequeño en el alojamiento, Masaje de manos, Secador de pelo, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Zona privada de playa, Traslado aeropuerto, Servicio de limpieza diario, Alarma de seguridad, Manicura, Terraza, TV de pantalla plana, Bidet, Portugués, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Corte de pelo, Italiano, Masaje de pies, Extintores, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Zona de spa / relajación, Habitaciones familiares, Caja fuerte, Albornoz, Adaptado para sillas de ruedas, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Exfoliación corporal, Tratamientos faciales, Sombrillas, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Tratamientos capilares, Toallas, Información turística, Cámaras de seguridad fuera del alojamiento, Comedia en vivo, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Perchero, Ascensor, Tinte, Peinado, Centro de negocios, Personal de animación, Pedicura, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Servicios de belleza, Tratamientos corporales, Armario, Envoltura corporal, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504325726.jpg?k=af654541f40eb6ea68037cf7e88f49decc8e4db2f3918dd8fe1c095be0c33353&o=&hp=1,La Guaira,Venezuela
Hotel Villa Playa Grande,https://www.booking.com/hotel/ve/villa-playa-grande.es.html?aid=2410095,"Hotel Villa Playa Grande tiene piscina al aire libre, salón de uso común, terraza y restaurante en Playa Grande. Este hotel de 4 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de traslado gratuito, recepción 24 horas y cambio de moneda.

En el hotel, las habitaciones incluyen escritorio. Todas las habitaciones tienen TV de pantalla plana con canales por cable y caja fuerte.

Playa de Puerto Viejo está a 2,6 km del alojamiento, y Galeria de Arte Nacional está a 33 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a pocos pasos.","Restaurante, Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Tumbonas/sillas de playa, Portugués, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Fax / fotocopiadora, Escritorio, Extintores, Enchufe cerca de la cama, Cambio de moneda, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Traslado aeropuerto (gratis), Solo para adultos, Aire acondicionado, Ascensor, Abierta todo el año, Hipoalergénico, Ducha, Español, Adaptado personas de movilidad reducida, TV, Detectores de humo, Caja fuerte, Inglés, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Servicio de limpieza diario, Armario, Bar en la piscina, Alarma de seguridad, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Acceso a pisos superiores en ascensor, Para todas las edades, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/160021905.jpg?k=d2aa646e15c190a54a52527b755ba089dfc05e43a6b14373d4351f1c5d60b2ed&o=&hp=1,La Guaira,Venezuela
HOTEL MUEVETE POR VARGAS,https://www.booking.com/hotel/ve/muevete-por-vargas-catia-la-mar1.es.html?aid=2410095,"HOTEL MUEVETE POR VARGAS se encuentra en Catia La Mar, a 15 min a pie de Playa de Puerto Viejo, y ofrece alojamiento con jardín, parking privado, salón de uso común y terraza. El alojamiento está a unos 32 km de Galeria de Arte Nacional, a 32 km de Museo de Bellas Artes y a 33 km de Jardín Botánico. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, hervidor, ducha, artículos de aseo gratuitos y armario. Todas las unidades incluyen baño privado, secador de pelo y ropa de cama.

El hotel cuenta con un restaurante que sirve cocina americana.

La zona es ideal para practicar ciclismo y hay alquiler de bicicletas en este hotel de 3 estrellas.

Univesidad de Venezuela está a 33 km del alojamiento, y Parque Los Caobos está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 2 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Servicio de despertador, Registro de entrada / salida privado, WC con barras de apoyo, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Ruta de bares, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Tours en bici, Submarinismo, Guardaequipaje, Nevera, Balcón, Restaurante, Prohibido fumar en todo el alojamiento, Tendedero, Fruta, Fax / fotocopiadora, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Terraza / solárium, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Servicio de limpieza en seco, Extintores, Parking adaptado para personas de movilidad reducida, Desayuno, Teléfono, Seguridad 24 horas, Baños públicos, Recepción 24 horas, Habitaciones familiares, Suelo de baldosa / mármol, Alquiler de bicicletas, Adaptado para sillas de ruedas, Papel higiénico, Reloj despertador, Canales de pago, Llave de acceso, Tour o clase sobre cultura local, Cafetería en el alojamiento, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Parking en la calle, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Ciclismo, Servicio de traslado, Apoyo visual: braille, Barandillas protectoras para bebés, Artículos de aseo gratis, Perchero, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Armario, Parking privado, Toda la unidad en la planta baja, Taquillas, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538267503.jpg?k=afb7feaa85ac522c08e4520e0656d596d74999323a39716cf376e1b442183ef4&o=&hp=1,La Guaira,Venezuela
