hotel,hotel_url,description,popular_facilities,highres_url,city,country
Libertad 109 Hotel,https://www.booking.com/hotel/ec/libertad-109-la-libertad.es.html?aid=2410095,"Libertad 109 Hotel está en La Libertad, a 6 min a pie de Playa de La Carioca, y dispone de alojamiento con terraza, parking privado gratis y restaurante. Este hotel de 4 estrellas ofrece recepción 24 horas y mostrador de información turística. El alojamiento tiene bañera de hidromasaje, karaoke y servicio de habitaciones.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También tienen wifi gratis, y algunas habitaciones ofrecen vistas a la ciudad. Las unidades de este alojamiento disponen de aire acondicionado y escritorio.

Playa de Puerto Lucía está a 18 min a pie del alojamiento, y Playa Cautivo está a 1,6 km.","Playa, Servicio de planchado, Plancha para ropa, Muy buen desayuno, Parking gratis, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Karaoke, Toallas / sábanas (por un suplemento), Gimnasio, Alarma de seguridad, Situado frente a la playa, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Secador de pelo, Zona de fumadores, Ascensor, Bañera de hidromasaje / jacuzzi, Club infantil, Español, Baño privado, Patio, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Zona de pícnic, Recepción 24 horas, Tendedero, Guardaequipaje, Escritorio, TV de pantalla plana, Entrada privada, Ducha, Secadora de ropa, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570180523.jpg?k=7f9f636acc6579616c0a4a485b644ee337ac0670252847b2319c9f44d5121e48&o=&hp=1,La Libertad,Ecuador
Departamento Shaka,https://www.booking.com/hotel/ec/departamento-shaka.es.html?aid=2410095,"Departamento Shaka está en La Libertad, a solo 12 min a pie de Playa Cautivo, y dispone de alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Este apartamento está a 1,7 km de Playa de La Carioca y a 1,9 km de Playa de Chuyuipe.

Este apartamento tiene 1 dormitorio, una sala de estar y una zona de cocina totalmente equipada.","Prohibido fumar en todo el alojamiento, Vistas al jardín, WiFi gratis, Zona de cocina, Parking gratis, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484956324.jpg?k=95157657173b57ee0d4d1bf5f7e385a6f7d81e9954435d341b8d723c2087b232&o=&hp=1,La Libertad,Ecuador
Grand Hotel Libertad-GHL,https://www.booking.com/hotel/ec/grand-libertad-ghl.es.html?aid=2410095,"Grand Hotel Libertad-GHL dispone de alojamiento en La Libertad. Este alojamiento está muy cerca de lugares de interés como Playa de La Carioca, Playa de Puerto Lucía y Playa de Santa Elena. Hay wifi gratis y se ofrece parking privado por un suplemento.

El personal de recepción habla tanto inglés como español y está siempre dispuesto a echar una mano.","Habitaciones sin humo, Playa, Extintores, Parking en un garaje, Prohibido fumar en todo el alojamiento, Mobiliario exterior, Recepción 24 horas, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Parking privado, Llave de acceso, Servicio de limpieza diario, Español, Aire acondicionado, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/185913107.jpg?k=2d804d3853b3ba464b389d2dc5c5cde7d78dbec49ddecbeadfe7180896324b7e&o=&hp=1,La Libertad,Ecuador
Casa de la Libertad,https://www.booking.com/hotel/ec/casa-de-la-libertad.es.html?aid=2410095,"Casa de la Libertad está en La Libertad. Hay wifi gratis y parking privado en el propio alojamiento.

Esta casa o chalet cuenta con 1 dormitorio, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto internacional José Joaquín de Olmedo) está a 138 km.","Vistas al jardín, Cocina, WiFi gratis, Zona de cocina, TV de pantalla plana, Parking gratis, Lavadora, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584241675.jpg?k=5e8b2bc93438017ba973dcc07fd139da80f9121e7bccd52a3cd1de7526fffb4a&o=&hp=1,La Libertad,Ecuador
Casa cerca a la playa Salinas,https://www.booking.com/hotel/ec/cerca-a-la-playa-de-la-libertad-salinas.es.html?aid=2410095,"Casa cerca a la playa Salinas ofrece jardín y vistas a la ciudad. Se encuentra en La Libertad, a 7 min a pie de Playa de Puerto Lucía y a 1,1 km de Playa de Santa Elena. Este alojamiento frente a la playa ofrece parking privado gratis, wifi gratis y acceso a un patio.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una zona de estar. La cocina está equipada con nevera.

Playa de La Carioca está a 18 min a pie del alojamiento.","Playa, Cafetera, Vistas al jardín, Zona de cocina, Plancha para ropa, Parking gratis, Accesible para personas sordas, Perchero, Zona de estar, Vistas a un patio interior, Papel higiénico, Toda la unidad en la planta baja, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Habitaciones comunicadas disponibles, Nevera, Toallas / sábanas (por un suplemento), Hervidor eléctrico, Mosquitera, Alarma de seguridad, Situado frente a la playa, WC, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Secador de pelo, Registro de entrada / salida privado, Información turística, Independiente, Sofá, Juegos de mesa / puzles, Productos de limpieza, Español, Baño privado, Aire acondicionado, Patio, Vistas a la ciudad, Vistas al mar, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Sofá cama, Cocina, Suelo de baldosa / mármol, Entrada privada, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510547762.jpg?k=939edb7495432031f4cfbb035670afb2748a82784eb48110df46d4fd5bfe3c9d&o=&hp=1,La Libertad,Ecuador
PRECIOSO DEPARTAMENTO AL PIE MAR PLAYA PRIVADA Seguridad,https://www.booking.com/hotel/ec/precioso-departamento-al-pie-del-mar-condominio-torre-marina.es.html?aid=2410095,"PRECIOSO DEPARTAMENTO AL PIE MAR PLAYA PRIVADA Seguridad, que tiene piscina al aire libre, centro de fitness y jardín, dispone de alojamiento en La Libertad con wifi gratis y vistas al jardín. Este alojamiento frente a la playa ofrece mesa de billar, ping pong y parking privado gratis.

Este apartamento de 3 dormitorios tiene aire acondicionado y ofrece 2 baños con bañera de hidromasaje. El alojamiento ofrece cocina.

En el apartamento, la clientela puede disfrutar de instalaciones de spa y bienestar como una bañera de hidromasaje o del servicio de masajes bajo petición. Hay zona de playa privada en PRECIOSO DEPARTAMENTO AL PIE MAR PLAYA PRIVADA Seguridad, además de terraza.

Cerca del alojamiento hay puntos de interés como Playa de Puerto Lucía, Playa de Santa Elena y Playa Milina.","Sala de juegos, Playa, Parking en un garaje, Solárium, Prohibido fumar en todo el alojamiento, Piscina climatizada, Vistas al jardín, Zona de cocina, Plancha para pantalones, Plancha para ropa, Billar, Masajes, Parking gratis, Baño al aire libre, Sombrillas, Servicio de limpieza diario, Terraza, Zona de estar, Seguridad 24 horas, Piscina infinita, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Gimnasio, Situado frente a la playa, Bañera de hidromasaje, Cámaras de seguridad en las zonas comunitarias, Piscina privada, 2 piscinas, Tumbonas/sillas de playa, Terraza / solárium, Solo para adultos, Registro de entrada / salida privado, Jardín, Juegos de mesa / puzles, Sofá, Piscina infantil, Ascensor, Adaptado personas de movilidad reducida, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Adecuada para niños, Zona poco profunda, Balcón, Habitaciones sin humo, Enchufe cerca de la cama, Vistas, Extintores, Zona de pícnic, Cocina, Tendedero, Suelo de baldosa / mármol, Zona privada de playa, TV de pantalla plana, Adaptado para sillas de ruedas, Horario de apertura, Camas extralargas (más de 2 metros), Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/428808318.jpg?k=214c7d2291e707f9d30c99903b815314abe162e2007ef732e7624f7f693fc39e&o=&hp=1,La Libertad,Ecuador
Salinas villa,https://www.booking.com/hotel/ec/salinas-villa.es.html?aid=2410095,"Salinas villa se encuentra en La Libertad. Esta villa con aire acondicionado ofrece alojamiento con wifi gratis.

Esta villa tiene 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en la villa.","Playa, Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Barbacoa, Piscina, Plancha para ropa, Zona de comedor, Aseo adicional, Perchero, Bañera o ducha, Zona de estar, Papel higiénico, Utensilios de cocina, WiFi gratis, TV, Inglés, Nevera, Hervidor eléctrico, WC, Toallas, Microondas, Sofá, Muebles de exterior, Horno, Español, Aire acondicionado, Fogones, Cocina, Tendedero, Suelo de baldosa / mármol, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Tetera / cafetera, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/351363209.jpg?k=e68040b3da0ea2ec0c5fc16068541c49d1bfc6122db2c4791a456c1bef69f194&o=&hp=1,La Libertad,Ecuador
Posada Estrella,https://www.booking.com/hotel/ec/posada-estrella.es.html?aid=2410095,"Posada Estrella está en Salinas y cuenta con vistas a la ciudad, piscina al aire libre, jardín, salón de uso común y terraza. En el bed and breakfast, tanto el wifi como el parking privado son gratis.

Todas las unidades tienen aire acondicionado e incluyen incluyen con nevera, microondas y zona de comedor. Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Posada Estrella ofrece servicio de alquiler de bicicletas.

Cerca del alojamiento hay puntos de interés como Playa Milina, Playa de Santa Elena y Playa de Puerto Lucía.","Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Eventos deportivos en directo (emisión), Plancha para ropa, Parking gratis, Sombrillas, Tours en bici, Perchero, Terraza, Bañera o ducha, Mobiliario exterior, Detectores de humo, WiFi gratis, Reproductor de Blu-ray, Para todas las edades, Nevera, Pesca, Canales por cable, Proporciona factura, Terraza / solárium, Zona de fumadores, Jardín, Español, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Ropa de cama, Desayuno excepcional, Habitaciones familiares, Cafetera, Mesa de comedor, Videoconsola Nintendo Wii, Vistas a un patio interior, Armario, Alarma de seguridad, WC, Piscina privada, Videojuegos, Artículos de aseo gratis, Microondas, Fax / fotocopiadora, Vistas al mar, Habitaciones sin humo, Vistas, Entrada privada, Barbacoa, Zona de comedor, Zona de estar, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Juegos de mesa / puzles, Abierta todo el año, Baño privado, Patio, Aire acondicionado, Zona poco profunda, Balcón, Piscina al aire libre, Servicio de streaming (como Netflix), Vídeo, Ducha, Calefacción, Utensilios de planchado, Reproductor de DVD, Piscina con vistas, Radio, Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Vistas a la piscina, Inglés, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Toallas de playa/piscina, Juguetes para la piscina, Vistas a la ciudad, Zona de pícnic, Suelo de baldosa / mármol, Tendedero",https://cf.bstatic.com/xdata/images/hotel/max1024x768/375224040.jpg?k=c61a0224ba52dc912037f6d58692140ff8f1cf936a8cc609a251ff1d2ace57a9&o=&hp=1,La Libertad,Ecuador
Maluva,https://www.booking.com/hotel/ec/maluva.es.html?aid=2410095,"Maluva está en Salinas, a 11 min a pie de Playa de Santa Elena y a 1,1 km de Playa Milina. Ofrece alojamiento con piscina al aire libre y wifi gratis, además de parking privado gratis. Este alojamiento libre de humo se encuentra a 19 min a pie de Playa de Puerto Lucía.

En el hotel, todas las habitaciones cuentan con escritorio y TV de pantalla plana. En Maluva, las habitaciones disponen de aire acondicionado y baño privado.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.","Piscina al aire libre, Habitaciones sin humo, Artículos de aseo gratis, Parking en un garaje, Prohibido fumar en todo el alojamiento, Recepción 24 horas, WiFi gratis, Barbacoa, Escritorio, TV de pantalla plana, Parking gratis, Abierta todo el año, Aire acondicionado, Ducha, Servicio de limpieza diario, Español, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/163672790.jpg?k=e99f59694f0a5557914659d724906f139c02d40305348ba61033bbdf345ddc0a&o=&hp=1,La Libertad,Ecuador
Hotel Presidente Beach Salinas,https://www.booking.com/hotel/ec/greenfields.es.html?aid=2410095,"El Hotel Presidente Beach Salinas ofrece piscina al aire libre, baño de vapor y restaurante, y está situado a 4 km del parque central de Salinas y a 5 minutos en coche de la playa de San Lorenzo.

Las habitaciones tienen conexión Wi-Fi gratuita, aire acondicionado, canales vía satélite y canales de pago. El baño privado está equipado con ducha, toallas y artículos de aseo gratuitos. Además, se proporciona la ropa de cama.

El Hotel Presidente Beach Salinas dispone de centro de fitness y aparcamiento gratuito.

Este establecimiento está a 4,8 km de la playa de Chipipe y a 6,4 km de la playa de Mar Bravo. La plaza principal de La Libertad se encuentra a 7 minutos en coche y el aeropuerto internacional José Joaquín se halla a 2 horas en coche.","Sala de juegos, Parking en un garaje, Fruta, Mesa de comedor, Canales vía satélite, Prohibido fumar en todo el alojamiento, Billar, Parking gratis, Sombrillas, Llave de acceso, Servicio de limpieza diario, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Tumbonas/sillas de playa, Bar, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Gimnasio, Alarma de seguridad, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Centro de negocios, Toallas de playa/piscina, Piscina infantil, Bar en la piscina, Fax / fotocopiadora, Ascensor, Abierta todo el año, Bañera, Español, Baño privado, Aire acondicionado, Sauna, Adecuada para niños, Zona TV / salón de uso compartido, Vistas, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Buen desayuno, Ducha, Parking adaptado para personas de movilidad reducida, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/287134741.jpg?k=92270de57440359e46a645974dd20128eea27551dfb8b8cb707f674ad4dcd9dc&o=&hp=1,La Libertad,Ecuador
