hotel,hotel_url,description,popular_facilities,highres_url,city,country
Linda Cabaña con Vista al Mar a Pasos de la Playa,https://www.booking.com/hotel/cl/linda-cabana-con-vista-al-mar-a-pasos-de-la-playa.es.html?aid=2410095,"Linda Cabaña con Vista al Mar a Pasos de la Playa, que se encuentra en La Ligua, ofrece alojamiento con balcón. Esta casa o chalet tiene jardín y parking privado gratis.

La casa o chalet cuenta con terraza y vistas al mar, y dispone de 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 1 baño con ducha.","Terraza, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Zona de comedor, Toda la unidad accesible en silla de ruedas, Patio, Barbacoa, Vistas al mar, Horno, Español, Microondas, Ducha, Mesa de comedor, Vistas, Jardín, Canales por cable, Nevera, Parking gratis, Baño privado, Tostadora, Radio, Toda la unidad en la planta baja, WC, Habitaciones familiares, Cocina, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504268047.jpg?k=d17a0fb69b3501236767938776621abb53c7e38973e70418c136d52f96abf371&o=&hp=1,La Ligua,Chile
"Cabañas Piedra Negra, Los Molles",https://www.booking.com/hotel/cl/cabanas-piedra-negra-los-molles-la-ligua.es.html?aid=2410095,"Cabañas Piedra Negra, Los Molles se encuentra en La Ligua y ofrece alojamiento con terraza o balcón, wifi gratis y TV de pantalla plana, además de jardín.

Hay una zona de cocina totalmente equipada y un baño privado.","Parking gratis, Baño privado, Piscina, Terraza, TV de pantalla plana, Jardín, WiFi gratis, Español, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508892191.jpg?k=2e94a049537223ae4be381d4afc500e91ab35b2406115eb94dd7bd2a21db16ea&o=&hp=1,La Ligua,Chile
Hotel Restaurante Aconcagua,https://www.booking.com/hotel/cl/hostal-aconcagua.es.html?aid=2410095,"Hotel Restaurante Aconcagua tiene jardín, salón de uso común, terraza y restaurante en La Ligua. El bar es ideal para tomar algo.

Las unidades de este alojamiento están equipadas con TV de pantalla plana.

El hostal o pensión ofrece centro de negocios, wifi gratis y parking privado gratis.","Terraza, Inglés, Bar, TV de pantalla plana, Desayuno fabuloso, Restaurante, Zona de fumadores, Información turística, Menús para dietas especiales (bajo petición), Wifi rápida gratis (58 Mbps), Barbacoa, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Cenas temáticas, Menú para niños, Español, Terraza / solárium, Centro de negocios, Calefacción, Sauna, Servicio de planchado, Salas de reuniones / banquetes, Toallas, Bañera de hidromasaje / jacuzzi, Jardín, Proporciona factura, Almuerzos para llevar, Seguridad 24 horas, Ruta de bares, Parking gratis, Música / espectáculos en directo, Vino / champán, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Zona de pícnic, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Galerías de arte temporales, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/369937211.jpg?k=642553b59f8bbd14f6b4a7b3bcae53019eed918f107ecf7cd1eb4c9f5f5c83e3&o=&hp=1,La Ligua,Chile
Hostal Jailoren,https://www.booking.com/hotel/cl/hostal-jailoren.es.html?aid=2410095,"Hostal Jailoren se encuentra en Valle Hermoso y dispone de salón de uso común. Hay terraza, wifi gratis y parking privado gratis.

Cada habitación está equipada con baño privado, y algunas también ofrecen cocina con nevera.

El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 164 km del alojamiento.","Terraza, Extintores, Llave de acceso, Cocina compartida, WiFi gratis, Registro de entrada / salida privado, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Español, Calefacción, Servicio de limpieza diario, Proporciona factura, Seguridad 24 horas, Parking gratis, Baño privado, Zona TV / salón de uso compartido, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579734054.jpg?k=f361fed3c8b005ec41fadf6e017329a8b46b0d2535a3850d1d39a6eecf92b835&o=&hp=1,La Ligua,Chile
San José Hotel Boutique & Spa,https://www.booking.com/hotel/cl/hostal-san-jose-la-ligua.es.html?aid=2410095,"San José Hotel Boutique & Spa está en La Ligua y tiene jardín, salón de uso común, terraza y wifi gratis. Algunas habitaciones del alojamiento tienen un patio con vistas a la montaña.","Terraza, Extintores, Llave de acceso, Zona de fumadores, Masajes, Instalaciones de spa, Cocina compartida, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Baño de vapor, Registro de entrada / salida privado, Baños públicos, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Masaje corporal completo, Guardaequipaje, Paquetes de spa / bienestar, Salas de reuniones / banquetes, Toallas, Servicio de limpieza diario, Bañera de hidromasaje / jacuzzi, Jardín, Proporciona factura, Spa y centro de bienestar, Parking gratis, Adaptado para sillas de ruedas, Zona TV / salón de uso compartido, Zona de spa / relajación, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/543232948.jpg?k=77b42fc70f1b8e45773bbd8aa9832523504076980f1ac00d217f00270b113f40&o=&hp=1,La Ligua,Chile
condominio departamento la ligua -20 minutos papudo-30 minutos los molles,https://www.booking.com/hotel/cl/condominio-la-ligua-la-ligua.es.html?aid=2410095,"Condominio departamento la ligua -20 minutos papudo-30 minutos los molles está en La Ligua, en la región de Valparaíso Region, y tiene balcón. Este apartamento dispone de parking privado gratis, recepción 24 horas y wifi gratis.

El apartamento dispone de una terraza y vistas al jardín e incluye 2 dormitorios, sala de estar, TV de pantalla plana por cable, cocina equipada y 1 baño con ducha y bañera. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 159 km.","Terraza, TV de pantalla plana, Extintores, Ropa de cama, Zona de fumadores, Vistas al jardín, Sofá cama, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Bañera, Registro de entrada / salida privado, Servicio de conserjería, Horno, TV, Español, Microondas, Bañera o ducha, Utensilios de cocina, Ducha, Secadora de ropa, Armario, Vistas, Toallas, Artículos de aseo gratis, Canales por cable, Hervidor eléctrico, Seguridad 24 horas, Parking gratis, Baño privado, Recepción 24 horas, WC, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581452735.jpg?k=71c18af2ca5cd840e10046ce61ad944a8b0c079592a921cc5a2b7c8bd85736e0&o=&hp=1,La Ligua,Chile
Cabaña los Molles,https://www.booking.com/hotel/cl/cabana-los-molles-la-ligua.es.html?aid=2410095,"Cabaña los Molles está en La Ligua. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Esta casa o chalet tiene acceso a un balcón con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 158 km.","Parking gratis, Terraza, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas, Cocina, Vistas al jardín, WiFi gratis, Español, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570290085.jpg?k=f0e7155b42710011adca0e884eb60cc057121f66fe087e77fb39842afd7fa229&o=&hp=1,La Ligua,Chile
"Cabañas Rancho Carmelitas, Pullally, localidad agrícola de Papudo",https://www.booking.com/hotel/cl/rancho-carmelitas.es.html?aid=2410095,"Cabañas Rancho Carmelitas, Pullally, localidad agrícola de Papudo ofrece alojamiento con piscina de temporada al aire libre, wifi gratis y parking privado gratis en Quinquimo.

La casa o chalet ofrece terraza, vistas a la piscina, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y baño privado con ducha. Todas las unidades cuentan con un patio con vistas al jardín.

Cabañas Rancho Carmelitas, Pullally, localidad agrícola de Papudo dispone de zona de juegos infantil, además de jardín.","Tumbonas/sillas de playa, Terraza, Inglés, Tetera / cafetera, TV de pantalla plana, Extintores, Llave de acceso, Productos de limpieza, Ropa de cama, De temporada, Zona de comedor, Sombrillas, Vistas al jardín, Sofá cama, Información turística, Zona de fumadores, Zona de juegos para niños, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Piscina climatizada, Adosado, Patio, Bañera, Zona de estar, Registro de entrada / salida privado, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Apartamento privado en edificio, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Utensilios de cocina, Ducha, Salas de reuniones / banquetes, Mesa de comedor, Armario, Toallas, Valla alrededor de la piscina, Vistas, Para todas las edades, Jardín, Proporciona factura, Canales por cable, Hervidor eléctrico, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Horario de apertura, Equipamiento de juegos para exterior, Toda la unidad en la planta baja, WC, Aire acondicionado, Zona de pícnic, Habitaciones familiares, Zona de comedor exterior, Cocina, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/501083792.jpg?k=36b270aea4258a130df09831bd70a73dd9387771f255071fe78bb04093314c0a&o=&hp=1,La Ligua,Chile
Domo Papudo,https://www.booking.com/hotel/cl/domo-papudo.es.html?aid=2410095,"Domo Papudo está en Papudo y ofrece alojamiento con terraza y wifi gratis. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet tiene 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 1 baño con bañera o ducha.","Terraza, TV de pantalla plana, Libros, DVD o música para niños, Productos de limpieza, Ropa de cama, Escritorio, Zona de comedor, Sofá cama, Perchero, Sofá, WiFi gratis, Juegos de mesa / puzles, Servicio de streaming (como Netflix), Patio, Zona de estar, Ventilador, Fogones, Barbacoa, Entrada privada, Horno, Prohibido fumar en todo el alojamiento, Español, Independiente, Bañera o ducha, Utensilios de cocina, Mesa de comedor, Artículos de aseo gratis, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Secador de pelo, Radio, WC, Cocina, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516960462.jpg?k=5ff9d0445c97ba5b06326e0deb6467f67a310a6acde2f02336c403d34556eb63&o=&hp=1,La Ligua,Chile
Casa Costa Zapallar,https://www.booking.com/hotel/cl/casa-costa-zapallar.es.html?aid=2410095,"Casa Costa Zapallar se encuentra en Catapilco y ofrece alojamiento con balcón y wifi gratis. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

Esta casa o chalet tiene acceso directo a una terraza con vistas al jardín y cuenta con 4 dormitorios y cocina totalmente equipada. Se ofrece TV de pantalla plana.

Estadio Lucio Fariña Fernández está a 42 km del alojamiento.","Español, Parking gratis, Piscina, Piscina privada, Terraza, Jardín, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas, Cocina, Vistas al jardín, Habitaciones familiares, WiFi gratis, Lavadora, Habitaciones sin humo, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516546357.jpg?k=15071bc08a3fac486f600608a8b476a7ff8c1e998c910f8f5f18626b3b2287b8&o=&hp=1,La Ligua,Chile
