hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostel Kimmell / Hostal Familiar La Casita De Los Kimmell,https://www.booking.com/hotel/pa/hostel-kimmell.es.html?aid=2410095,"El Hostel Kimmell/Hostal Familiar La Casita De Los Kimmell se halla a 4,8 km del parque Porras, la plaza principal del distrito.
- Se ofrece café gratis hasta las 19:00
 El establecimiento se sitúa a 4,8 km del Museo Belisario Porras-Iglesia colonial de Santa Librada. El establecimiento dispone de terraza amueblada con hamacas y WiFi gratuita en todas las instalaciones.

Las habitaciones presentan una decoración acogedora y constan de aire acondicionado, suelo de baldosa y baño privado con ducha. Todas las habitaciones, excepto la habitación individual, están equipadas con TV por cable y minibar.

Además, el Hostel Kimmell/Hostal Familiar La Casita De Los Kimmell cuenta con jardín, mostrador de información turística y sala de desayunos. El desayuno incluye 1 taza de café gratuita, 1 vaso de zumo recién exprimido, así como productos de temporada y fruta de la zona. También se vende café en el establecimiento hasta las 21:00. Los huéspedes pueden adquirir productos adicionales en la cocina del alojamiento.

El Hostel Kimmell/Hostal Familiar La Casita De Los Kimmell está ubicado a menos de 100 metros de varios restaurantes y supermercados. Asimismo, el establecimiento se halla a 5 km del Museo Belisario Porras y a 30 minutos del centro de Chitre.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Parking en la calle, Mobiliario exterior, Canales por cable, Fruta, Servicio de traslado, Fax / fotocopiadora, Escritorio, Proporciona factura, Extintores, Zona de comedor exterior, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Perchero, Playa, Traslado aeropuerto (gratis), Tours a pie, Aire acondicionado, Hipoalergénico, Ducha, Menús para dietas especiales (bajo petición), Entrada privada, Clases de cocina, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Inglés, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Armario, Parking privado, Jardín, Ropa de cama, Tour o clase sobre cultura local, Toallas, Desayuno en la habitación, Información turística, Nevera, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/240305868.jpg?k=acc5d9dbc2213d7f7295aad3aae6818e03ea17c76ba6590de8068cacb05600c2&o=&hp=1,La Palma,Panamá
Uverito Sand Dollar B&B,https://www.booking.com/hotel/pa/uverito-sand-dollar-b-amp-b.es.html?aid=2410095,"Uverito Sand Dollar B&B está a pocos pasos de Playa El Uverito y ofrece alojamiento con restaurante, salón de uso común, terraza y bar. Se ofrece wifi gratis en todo el alojamiento.

En el bed and breakfast se sirve todos los días un desayuno americano.

Uverito Sand Dollar B&B ofrece servicio de alquiler de coches.

Estadio Rico Cedeño está a 44 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Pedasí) está a 48 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Restaurante, Baño privado, Cenas temáticas, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Mobiliario exterior, Salas de reuniones / banquetes, Productos de limpieza, Corte de pelo, Fruta, Servicio de traslado, Extintores, Manicura, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Peluquería / salón de belleza, Bar, Playa, Alquiler de coches, Aire acondicionado, Tinte, Peinado, Habitaciones familiares, Ducha, Pesca, Pedicura, Parking gratis, Clases de cocina, Servicios de depilación, Situado frente a la playa, Español, Caja fuerte, Inglés, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Servicios de belleza, Vino / champán, Papel higiénico, Ropa de cama, Tour o clase sobre cultura local, Tratamientos capilares, Toallas, Desayuno en la habitación, Nevera, WC, Terraza, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576096313.jpg?k=d24e6a0fbdda88195636e209051fa7345bbe6f2d599f2ebe1ec476a488c93e81&o=&hp=1,La Palma,Panamá
La Casa de Eyi,https://www.booking.com/hotel/pa/la-casa-de-eyi.es.html?aid=2410095,"La Casa de Eyi se encuentra en Santo Domingo y ofrece salón de uso común. Este alojamiento con aire acondicionado está a 35 km de Estadio Rico Cedeño y ofrece wifi gratis y parking privado en el propio alojamiento.

Esta casa o chalet tiene acceso directo a una terraza y cuenta con 1 dormitorio independiente y cocina totalmente equipada.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 41 km.","Habitaciones familiares, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, WiFi gratis, Zona de cocina, Terraza / solárium, Vistas, Español, Mobiliario exterior, Inglés, Aire acondicionado, Balcón, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528574329.jpg?k=07c27cc576a9200e41c6e9602553605d10a455e0bb19023cbf358c383fcfe340&o=&hp=1,La Palma,Panamá
Julianna Country House,https://www.booking.com/hotel/pa/julianna-country-house.es.html?aid=2410095,"Julianna Country House se encuentra en Las Tablas, a 31 km de Estadio Rico Cedeño, y ofrece alojamiento con jardín, parking privado gratis y terraza. Este alojamiento ofrece cocina compartida y mostrador de información turística, además de wifi gratis en todo el alojamiento. Cada habitación dispone de patio.

Todas las habitaciones de este alojamiento están equipadas con cafetera. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones disponen de balcón. En el hostal o pensión, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 44 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Canales por cable, Proporciona factura, Extintores, Zona de comedor exterior, Horno, Enchufe cerca de la cama, Cafetera, Artículos de aseo gratis, Seguridad 24 horas, Patio, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, Español, TV, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Servicio de limpieza diario, Jardín, Zona de cocina, Llave de acceso, Toallas, Información turística, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/310744583.jpg?k=4c47d9bff7bdda6e420bfa6e67019f52fad2c852d9d56bfecff1f2e00419a99a&o=&hp=1,La Palma,Panamá
Cuartos independientes con baño privado - Casa La Dolce Vita Las Tablas,https://www.booking.com/hotel/pa/cuartos-independientes-con-bano-privado.es.html?aid=2410095,"Cuartos independientes con baño privado - Casa La Dolce Vita Las Tablas está a 30 km de Estadio Rico Cedeño y ofrece jardín y terraza, así como alojamiento con aire acondicionado, patio y wifi gratis.

Las unidades están equipadas con cocina con zona de comedor y baño privado con artículos de aseo gratuitos y bañera o ducha.

La habitación en casa particular dispone de barbacoa.

El aeropuerto (Aeropuerto de Chitré-Alonso Valderrama) está a 33 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Extintores, Zona de comedor exterior, Barbacoa, Enchufe cerca de la cama, Juegos de mesa / puzles, Artículos de aseo gratis, Seguridad 24 horas, Patio, Tours a pie, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Parking gratis, Terraza / solárium, Español, Suelo de baldosa / mármol, Registro de entrada y salida exprés, Ruta de bares, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Vino / champán, Máquina expendedora (bebidas), Nevera, Jardín, Zona de cocina, Alarma de seguridad, Llave de acceso, Toda la unidad en la planta baja, Tours en bici, Habitaciones insonorizadas, Toallas, Información turística, Ropa de cama, Zona de comedor, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582694672.jpg?k=72d6e6833b16cf5730d8ff74f6a68a4c94098223fb511fed23ed5e5d02c22fc9&o=&hp=1,La Palma,Panamá
Hotel Presidente Las Tablas,https://www.booking.com/hotel/pa/presidente-las-tablas.es.html?aid=2410095,"El Hotel Presidente Las Tablas ofrece alojamiento en Las Tablas, junto al parque Porras. El establecimiento alberga el restaurante La Molienda, el bar de la azotea y una piscina al aire libre. Se facilita aparcamiento privado gratuito.

Todas las habitaciones de este hotel tienen aire acondicionado y TV de plasma de pantalla plana. El baño es privado. El Hotel Presidente Las Tablas proporciona WiFi gratuita en todas las instalaciones.

Hay servicio de habitaciones e instalaciones para eventos con capacidad para 100 personas.","Restaurante, Baño privado, WiFi gratis, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Menú para niños, Extintores, Parking en un garaje, Servicio de despertador, Teléfono, Perchero, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Plancha para ropa, Parking gratis, Español, TV, Detectores de humo, Caja fuerte, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Sombrillas, Armario, Jardín, Ropa de cama, Almuerzos para llevar, Entretenimiento nocturno, Toallas, Información turística, Nevera, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/111036919.jpg?k=ef552341540aa22bb8474df3fc815b78ccfce77dc8e0a6a36954d18b0b5bc321&o=&hp=1,La Palma,Panamá
Hostal VILLAS DON PABLO LAS TABLAS,https://www.booking.com/hotel/pa/villa-don-pablo-47-las-tablas.es.html?aid=2410095,"Hostal VILLAS DON PABLO LAS TABLAS se encuentra a 30 km de Estadio Rico Cedeño y ofrece jardín y salón de uso común, así como alojamiento con aire acondicionado, terraza y wifi gratis.

El alojamiento dispone de cocina totalmente equipada con nevera y cafetera, TV de pantalla plana y baño privado con ducha. Cada unidad cuenta con un balcón con vistas al jardín.

El apartamento ofrece zona de juegos infantil.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 47 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Cocina, WiFi gratis, Vistas, Tendedero, Mobiliario exterior, Canales por cable, Canales vía satélite, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Fax / fotocopiadora, Escritorio, Proporciona factura, Vistas al jardín, Desayuno, Juegos de mesa / puzles, Cafetera, Tetera / cafetera, Baños públicos, Recepción 24 horas, Seguridad 24 horas, Patio, Aire acondicionado, Habitaciones familiares, Ducha, Entrada privada, Plancha para ropa, Parking gratis, Español, TV, Detectores de humo, Mesa de comedor, Zona de juegos para niños, Servicio de lavandería, Boles para mascotas, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Zona de pícnic, Nevera, Jardín, Zona de cocina, Llave de acceso, Toallas, Guardaequipaje, Información turística, Ropa de cama, Zona de comedor, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/388275772.jpg?k=159fb1487632c0787063d681d0f842dd9e344dac2b939a4eaa8d900dd9fe8941&o=&hp=1,La Palma,Panamá
Baruch Tropical Ranch,https://www.booking.com/hotel/pa/baruch-tropical-ranch.es.html?aid=2410095,"Baruch Tropical Ranch está en Los Santos y tiene vistas al jardín, wifi gratis y parking privado gratis.

Las unidades están equipadas con terraza y ofrecen aire acondicionado, TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En el bed and breakfast se sirve todas las mañanas un desayuno a la carta.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 26 km.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Toallas / sábanas (por un suplemento), Zona de comedor exterior, Vistas al jardín, Desayuno, Artículos de aseo gratis, Aire acondicionado, Habitaciones familiares, Ducha, Sofá, Parking gratis, Español, TV, Inglés, Sofá cama, Habitaciones sin humo, Papel higiénico, Armario, Nevera, Jardín, Toallas, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519984431.jpg?k=fc3b3a9be002e8ccf79d4338eff35dd87401f85b0b8e460170f7a1b1baf81b15&o=&hp=1,La Palma,Panamá
Casa en Las Tablas,https://www.booking.com/hotel/pa/casa-en-las-tablas-mil-polleras.es.html?aid=2410095,"Casa en Las Tablas está en Las Tablas y ofrece terraza. El alojamiento, que se encuentra a 31 km de Estadio Rico Cedeño, ofrece jardín y parking privado gratis.

Esta casa o chalet de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 45 km del alojamiento.","Habitaciones familiares, Prohibido fumar en todo el alojamiento, Cocina, TV de pantalla plana, Parking gratis, WiFi gratis, Zona de cocina, Terraza, Tendedero, Jardín, Español, Utensilios de cocina, Inglés, Lavadora, Aire acondicionado, Escritorio, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/497735967.jpg?k=9177e2829470b8648e0dd8c12611b4c2da1b0a65248c21119ba43ddfa406c704&o=&hp=1,La Palma,Panamá
Hostal Mi Castillo,https://www.booking.com/hotel/pa/hostal-mi-castillo.es.html?aid=2410095,"Hostal Mi Castillo está en Mariabé y dispone de wifi gratis, bicicletas gratis, jardín y salón de uso común.

Todas las unidades disponen de aire acondicionado y TV de pantalla plana. Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Hay terraza y barbacoa en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 11 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Parking en la calle, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Fruta, Menú para niños, Lavadora, Sala de juegos, Barbacoa, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Artículos de aseo gratis, Snorkel, Perchero, Tetera / cafetera, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Plancha para ropa, Parking gratis, Español, Alquiler de bicicletas, Registro de entrada y salida exprés, Inglés, Senderismo, Bañera o ducha, Traslado aeropuerto, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, TV de pantalla plana, Sombrillas, Desayuno fantástico, Armario, Jardín, Servicio de conserjería, Toda la unidad en la planta baja, Almuerzos para llevar, Toallas, Desayuno en la habitación, Información turística, Ropa de cama, WC, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/219454112.jpg?k=af74ae89ecda3cc539be6eefcc4e8665d370c754cbc8478bda87e41f28bc9c3b&o=&hp=1,La Palma,Panamá
