hotel,hotel_url,description,popular_facilities,highres_url,city,country
Cabaña cerca de la playa,https://www.booking.com/hotel/pa/cabana-cerca-de-la-playa.es.html?aid=2410095,"Cabaña cerca de la playa se encuentra en Ojo de Agua, a 11 km de El Cacao, y ofrece alojamiento con aire acondicionado y parking privado ofrece en el propio alojamiento. Este apartamento tiene acceso a una cocina totalmente equipada.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 49 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, Zona de cocina, Vistas al jardín, Vistas, Español, Inglés, Italiano, Aire acondicionado, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584257990.jpg?k=9557665e97afa4568b274ba522feb415a174598b9afebf9d09b082c8b7b0dfda&o=&hp=1,La Pita,Panamá
Hostal Pachamama,https://www.booking.com/hotel/pa/hostal-pachamama.es.html?aid=2410095,"El Hostal Pachamama está situado frente a la playa, en Isla de Cañas, y solo es accesible en barco.""
 Todas las habitaciones cuentan con zona de cocina y baño compartido. El establecimiento alberga un restaurante.

El albergue cuenta con barbacoa. En la zona se pueden practicar diversas actividades, como snorkel, kitesurf y senderismo. Los animales deben ser expuestos en el establecimiento.

El albergue ofrece servicios de alquiler de kayaks, paddle, surf y despertador.

El Pachamama se encuentra en la isla. Es necesario tomar un barco para llegar allí. El cruce dura unos 15 minutos. El establecimiento se encuentra en la playa, a 2 km de la única localidad de la isla. No hay que cruzar la carretera.

Las Tablas está a 64 km del Hostal Pachamama.","Zona TV / salón de uso compartido, Zona de fumadores, Baño compartido, Menú para niños, Vistas a la montaña, Toallas / sábanas (por un suplemento), Proporciona factura, Zona de comedor exterior, Sala de juegos, Servicio de despertador, Playa, Canguro / servicios para niños, Registro de entrada / salida privado, Instalaciones para deportes acuáticos en el alojamiento, Registro de entrada y salida exprés, Inglés, Habitaciones sin humo, Vino / champán, Guardaequipaje, Vistas a un lugar de interés, Equipamiento de juegos para exterior, Restaurante, Fruta, Supermercado pequeño en el alojamiento, Baño al aire libre, Vistas al jardín, Francés, Snorkel, Fogones, Masajes, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Zona privada de playa, Mesa de comedor, Senderismo, Traslado aeropuerto, Jardín, Terraza, Vistas, Mobiliario exterior, Utensilios de cocina, Extintores, Karaoke, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Bar, Solárium, Habitaciones familiares, Pesca, Situado frente a la playa, Alquiler de bicicletas, Piragüismo, Sombrillas, Papel higiénico, Música / espectáculos en directo, Zona de cocina, Tour o clase sobre cultura local, Ruso, Entretenimiento nocturno, Cafetería en el alojamiento, Información turística, Mosquitera, Tumbonas/sillas de playa, Equipamiento de bádminton, Parking en la calle, Comedia en vivo, Servicio de traslado, Equitación, Barbacoa, Snack-bar, Dardos, Vistas al mar, Zona de comedor, WC, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/73024269.jpg?k=f60f3d07304ec99468bc42c83bedeb16aece6b0dcf2a3002ba08cfd5918369d8&o=&hp=1,La Pita,Panamá
DeGattis House's,https://www.booking.com/hotel/pa/degattis-houses.es.html?aid=2410095,"DeGattis House's se encuentra en Cañas. El alojamiento, que está a 16 km de El Cacao, dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una zona de cocina y 1 baño.

En el apartamento se puede disfrutar de un desayuno a la carta.

El aeropuerto (Aeropuerto de Pedasí) está a 43 km.","Baño privado, Parking gratis, WiFi gratis, Zona de cocina, Jardín, Desayuno, Vistas, Calefacción, Español, Inglés, Italiano, Aire acondicionado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586473698.jpg?k=c5f258a9e93f090a76320381f8d49fe9496647f3b6cda6ae8a0793ce57cccfc9&o=&hp=1,La Pita,Panamá
Alaya Panama,https://www.booking.com/hotel/pa/alaya-panama.es.html?aid=2410095,"Alaya Panama se encuentra en Playa Venao, a 16 km de El Cacao, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este hotel de 5 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado y wifi gratis. Hay bar.

En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

Se puede jugar al billar en Alaya Panama, y la zona es ideal para practicar senderismo.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 43 km del alojamiento.","Restaurante, Cenas temáticas, WiFi gratis, Tumbonas/sillas de playa, Masaje de cabeza, Spa y centro de bienestar, Mobiliario exterior, Zona de fumadores, Servicio de traslado, Masaje de pies, Windsurf, Servicio de limpieza en seco, Proporciona factura, Extintores, Equitación, Piscina con vistas, Juegos de mesa / puzles, Francés, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Abierta todo el año, Seguridad 24 horas, Masaje de manos, Bar, Solo para adultos, Aire acondicionado, Tours a pie, Paquetes de spa / bienestar, Zona de spa / relajación, Registro de entrada / salida privado, Masajes, Pesca, Menús para dietas especiales (bajo petición), Masaje de espalda, Parking gratis, Terraza / solárium, Español, Caja fuerte, Inglés, Billar, Senderismo, Masaje de cuello, Habitaciones sin humo, Papel higiénico, Vino / champán, Servicio de limpieza diario, Masaje corporal completo, Instalaciones de spa, Jardín, Servicio de conserjería, Clases de yoga, Masaje en pareja, Toallas, Submarinismo, Ropa de cama, Terraza, Zona de pícnic, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520611608.jpg?k=e04312506f18399a49039c73b24d7c25ecf9145d4fef52804af7b93d96457a59&o=&hp=1,La Pita,Panamá
Casa Pesca,https://www.booking.com/hotel/pa/casa-pesca.es.html?aid=2410095,"Casa Pesca está en Tonosí, a 24 km de El Cacao, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece zona de playa privada y zona de barbacoa. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Todas las habitaciones están equipadas con aire acondicionado, nevera, horno, cafetera, bañera de hidromasaje, artículos de aseo gratuitos y armario. En el hostal o pensión, cada habitación dispone de baño privado y ropa de cama.

El aeropuerto (Aeropuerto de Pedasí) está a 83 km.","Galerías de arte temporales, Baño privado, Zona TV / salón de uso compartido, Zona de fumadores, Vistas a la montaña, Toallas / sábanas (por un suplemento), Lavadora, Zona de comedor exterior, Horno, Cafetera, Playa, Registro de entrada / salida privado, Entrada privada, Detectores de humo, Inglés, Ruta de bares, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Camas extralargas (más de 2 metros), Guardaequipaje, Nevera, Vistas a un lugar de interés, Balcón, Accesible para personas sordas, Prohibido fumar en todo el alojamiento, Tendedero, Baño al aire libre, Zona de estar, Vistas al jardín, Fogones, Aire acondicionado, Tours a pie, Sofá, Parking gratis, Terraza / solárium, Clases de cocina, Español, Zona privada de playa, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Jardín, Alarma de seguridad, Ropa de cama, Terraza, Vistas a la piscina, Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Extintores, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Recepción 24 horas, Patio, Vestidor, Pesca, Situado frente a la playa, Suelo de baldosa / mármol, Papel higiénico, Bañera de hidromasaje / jacuzzi, Zona de cocina, Llave de acceso, Tour o clase sobre cultura local, Tostadora, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Bañera de hidromasaje, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Vistas al mar, Armario, Microondas, Minibar, Zona de comedor, WC, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558900467.jpg?k=0e3478c7108d1ae9518bc8dc925387331f77d81538c1b0983f77d2983882e951&o=&hp=1,La Pita,Panamá
Selina River Venao,https://www.booking.com/hotel/pa/tipi-hostel.es.html?aid=2410095,"El Selina Venao River es un oasis tranquilo rodeado de árboles y bordeado por un río. Tiene una piscina increíble para nadar y tomar el sol. con un restaurante vegetariano justo al lado. Para los Nómadas Digitales, hay un CoWorking, un espacio con wifi, sala de reuniones, escritorio caliente y mucha luz natural.
Refuerza tu ser en nuestro santuario de ritmo lento. Despertarse por la mañana rodeado de selva tropical, escuchar a los monos aullar y fluir como el río en una hora de práctica de bienestar. Continúe relajándose junto a nuestra piscina y esté fascinado con la belleza de la naturaleza. Quítate los zapatos, toma una tabla y monta las olas o estimula la mente y conecta con la naturaleza en nuestro espacio de coworking totalmente equipado.","Restaurante, Noches de cine, Cenas temáticas, Zona TV / salón de uso compartido, WiFi gratis, Tumbonas/sillas de playa, Parking en la calle, Mobiliario exterior, Zona de fumadores, Ciclismo, Servicio de traslado, Extintores, Equitación, Sala de juegos, Desayuno fabuloso, Piscina al aire libre, Snorkel, Abierta todo el año, Baños públicos, Bar, Playa, Aire acondicionado, Discoteca / DJ, Pesca, Ducha, Centro de negocios, Toallas de playa/piscina, Parking gratis, Español, Situado frente a la playa, Inglés, Servicio de lavandería, Billar, Senderismo, Traslado aeropuerto, Habitaciones sin humo, Servicio de limpieza diario, Jardín, Tour o clase sobre cultura local, Entretenimiento nocturno, Guardaequipaje, Información turística, Taquillas, WC, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/333461338.jpg?k=d70391c86e6152d277930c140c35e86526e69272d301489eb37a512559167ba0&o=&hp=1,La Pita,Panamá
La Choza Playa Venao,https://www.booking.com/hotel/pa/la-choza-playa-venao.es.html?aid=2410095,"La Choza Playa Venao se encuentra en Playa Venao, a 25 km de El Cacao, y ofrece alojamiento con jardín y parking privado gratis. Se ofrece wifi gratis y cocina compartida.

El hostal o pensión ofrece terraza solárium.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 34 km del alojamiento.","WiFi gratis, Mobiliario exterior, Servicio de traslado, Proporciona factura, Hebreo, Francés, Playa, Aire acondicionado, Habitaciones familiares, Parking gratis, Terraza / solárium, Español, Inglés, Servicio de lavandería, Habitaciones sin humo, Jardín, Taquillas, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/344867646.jpg?k=f061eef5a81053a5d3f429e4b98c2d77b706b8c3900a8103025e7a02f76c67f9&o=&hp=1,La Pita,Panamá
Selina Playa Venao,https://www.booking.com/hotel/pa/selina-hostel-venao-beach.es.html?aid=2410095,"El Selina Playa Venao se encuentra en Las Escobas del Venado. Este albergue luminoso está justo en la playa y ofrece WiFi gratuita en todas las dependencias.

El Selina Playa Venao cuenta con zona de playa privada, piscina al aire libre, bar restaurante y locales de ocio nocturno. Además, se organizan distintas actividades, como clases de surf y surf de remo, excursiones de aventura, clases de yoga y servicio de alquiler de tablas. Entre otras instalaciones se incluye salón común, mesa de billar, zona de coworking y servicio de conserjería. Hay aparcamiento gratuito.

El establecimiento se halla a 1 hora en coche del aeropuerto Chitré Alonso Valderrama y a 5 horas en coche o autobús de la ciudad de Panamá.","Galerías de arte temporales, Zona TV / salón de uso compartido, Zona de fumadores, Hebreo, Sala de juegos, Alemán, Abierta todo el año, Playa, Registro de entrada / salida privado, Instalaciones para deportes acuáticos en el alojamiento, Gimnasio, Detectores de humo, Inglés, Habitaciones sin humo, Vino / champán, Almuerzos para llevar, Guardaequipaje, Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Vistas al jardín, Desayuno fabuloso, Snorkel, Aire acondicionado, Tours a pie, Menús para dietas especiales (bajo petición), Parking gratis, Clases de cocina, Español, Zona privada de playa, Senderismo, Servicio de limpieza diario, Jardín, Clases de yoga, Terraza, WiFi gratis, Mobiliario exterior, Extintores, Zona poco profunda, Clases de fitness, Piscina con vistas, Karaoke, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Piscina al aire libre, Seguridad 24 horas, Baños públicos, Bar, Paquetes de spa / bienestar, Discoteca / DJ, Habitaciones familiares, Pesca, Toallas de playa/piscina, Situado frente a la playa, Boles para mascotas, Billar, Música / espectáculos en directo, Llave de acceso, Tour o clase sobre cultura local, Entretenimiento nocturno, Información turística, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Windsurf, Equitación, Bingo, Centro de negocios, Personal de animación, Bar en la piscina, Happy hour, Taquillas, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/218932019.jpg?k=5e58b544bc679ca826332573cb80f4d5b7e36dd0c183b1079a06c5e02755bd0a&o=&hp=1,La Pita,Panamá
Villa Marina Lodge & Condos,https://www.booking.com/hotel/pa/villa-marina-lodge.es.html?aid=2410095,"La Villa Marina Lodge se encuentra frente a la playa de Venao y ofrece piscina al aire libre y restaurante. Hay conexión WiFi gratuita en todo el lodge.

Todas las habitaciones del lodge incluyen TV de pantalla plana vía satélite. Algunas habitaciones tienen vistas al océano. El baño incluye ducha y bañera.

 El Lodge Villa Marina cuenta con zona de playa privada y jardín con palmeras. El establecimiento cuenta con instalaciones para practicar deportes acuáticos y sala de juegos.

La playa del Arenal está a solo 30 minutos en coche. La playa de los Destiladeros está a 35 km.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona de fumadores, Menú para niños, Proporciona factura, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, TV, Detectores de humo, Inglés, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Almuerzos para llevar, Submarinismo, Para todas las edades, Restaurante, Prohibido fumar en todo el alojamiento, Spa y centro de bienestar, Eventos deportivos en directo (emisión), Fruta, Supermercado pequeño en el alojamiento, Snorkel, Aire acondicionado, Tours a pie, Entrenador personal, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Zona privada de playa, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Extintores, Clases de fitness, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Ventilador, Buen desayuno, Piscina al aire libre, Seguridad 24 horas, Bar, Solárium, Pesca, Habitaciones familiares, Toallas de playa/piscina, Situado frente a la playa, Alquiler de bicicletas, Caja fuerte, Adaptado para sillas de ruedas, Piragüismo, Sombrillas, Papel higiénico, Tour o clase sobre cultura local, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Canales vía satélite, Servicio de traslado, Windsurf, Equitación, Barbacoa, Snack-bar, Perchero, Hammam, Armario, Happy hour, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/346777004.jpg?k=74717909afba5cdea5a7a14630602a53d6e19da65667c006a120cbe4846e6a5f&o=&hp=1,La Pita,Panamá
Beach Break Hotel & Surf Camp de Playa Venao,https://www.booking.com/hotel/pa/beach-break.es.html?aid=2410095,"El Beach Break Hotel & Surf Camp, situado en Pedasí en primera línea de la playa Venao, ofrece piscina exterior, conexión Wi-Fi gratuita, bar frente a la playa y restaurante.

Las habitaciones cuentan con decoración funcional, aire acondicionado, ventilador y baño privado con ducha.

El Beach Break Hotel & Surf Camp dispone de servicio de alquiler de tablas de surf. A 5 minutos a pie, se pueden hacer excursiones a caballo.

El Beach Break Hotel & Surf Camp ofrece mostrador de información turística y zona con hamacas.","Zona TV / salón de uso compartido, Masaje de cabeza, Menú para niños, Abierta todo el año, Playa, Registro de entrada / salida privado, Masaje de espalda, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Instalaciones de spa, Restaurante, Spa y centro de bienestar, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Snorkel, Masaje de manos, Lavamanos más bajo, Aire acondicionado, Tours a pie, Entrenador personal, Masajes, Menús para dietas especiales (bajo petición), Parking gratis, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Clases de yoga, Piscina infantil, Manicura, WiFi gratis, Pediluvio, Mobiliario exterior, Corte de pelo, Masaje de pies, Extintores, Zona poco profunda, Clases de fitness, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Piscina al aire libre, Peluquería / salón de belleza, Bar, Discoteca / DJ, Pesca, Habitaciones familiares, Toallas de playa/piscina, Situado frente a la playa, Adaptado para sillas de ruedas, Piragüismo, Billar, Música / espectáculos en directo, Masaje corporal completo, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Entretenimiento nocturno, Información turística, Tumbonas/sillas de playa, Silla de masajes, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Equitación, Barbacoa, Pedicura, Chimenea exterior, Servicios de belleza, Happy hour, Taquillas, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/139777879.jpg?k=8f1218775cd1c0924d9cd3a20f4a236344e147a1e522b30b9462d24606140e8e&o=&hp=1,La Pita,Panamá
