hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Residencial Campo Verde,US$26,"8,2",Muy bien,106,https://cf.bstatic.com/xdata/images/hotel/max1024x768/436100361.webp?k=4a14688c49eaaac81e8bcafae57ee24a6ee7cdad0ce9368cac015b08119a4203&o=,https://www.booking.com/hotel/cl/residencial-campo-verde-la-serena.es.html?aid=2410095,"Prohibido fumar en todo el alojamiento, Información turística, Alarma de seguridad, Juegos de mesa / puzles, Cocina compartida, Proporciona factura, Zona de fumadores, Jardín, Seguridad 24 horas, Parking privado, Desayuno en la habitación, Recepción 24 horas, Habitaciones familiares, Habitaciones insonorizadas, Español, Cámaras de seguridad fuera del alojamiento, Servicio de planchado, Secador de pelo, Buen desayuno, Cámaras de seguridad en las zonas comunitarias, Extintores, Registro de entrada / salida privado, TV de pantalla plana, Servicio de limpieza en seco, Ducha, Zona TV / salón de uso compartido, Servicio de lavandería, Ropa de cama, Servicio de habitaciones, TV",La Serena,Chile,"Residencial Campo Verde está en La Serena, a 8 min a pie de Tribunal de justicia y Catedral, y dispone de alojamiento con jardín, parking privado y salón de uso común. El alojamiento está a unos 12 min a pie de Edificio Gabriela Mistral, a 1,1 km de Parque Japonés Kokoro No Niwa y a 1,7 km de Avenida Francisco de Aguirre. El alojamiento ofrece cocina compartida, servicio de habitaciones y servicio de organización de tours.

Las unidades del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

El personal de recepción puede ofrecer ayuda y ofrecer consejos sobre la zona en cualquier momento.

Cerca del alojamiento hay puntos de interés como Plaza de Armas, Museo Arqueológico de La Serena y Museo de Historia Regional Gabriel González Videla. El aeropuerto más cercano (Aeropuerto La Florida) está a 5 km."
Hotel Francisco De Aguirre,US$60,"7,2",Bien,1.241,https://cf.bstatic.com/xdata/images/hotel/max1024x768/61048974.webp?k=0581073a4d00be19a4bd0b1dcfd8180dbbc92797c6219581b56ce28aee3250f2&o=,https://www.booking.com/hotel/cl/francisco-de-aguirre.es.html?aid=2410095,"Guardaequipaje, Piscina al aire libre, Ascensor, Información turística, Juegos de mesa / puzles, Para todas las edades, Servicio de despertador, Mobiliario exterior, Baño privado, Proporciona factura, Zona de fumadores, Seguridad 24 horas, Enchufe cerca de la cama, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Vino / champán, Fax / fotocopiadora, Salas de reuniones / banquetes, Inglés, Recepción 24 horas, Tarjeta de acceso, Papel higiénico, Habitaciones familiares, Escritorio, De temporada, Servicio de conserjería, Toallas, Español, Servicio de planchado, Bañera, Secador de pelo, Desayuno, Servicio de limpieza diario, Productos de limpieza, Cámaras de seguridad en las zonas comunitarias, WC, Parking en un garaje, Bar, Extintores, Restaurante, Adaptado para sillas de ruedas, Cafetería en el alojamiento, Teléfono, WiFi gratis, Ducha, Snack-bar, Plancha para pantalones, Horario de apertura, Zona TV / salón de uso compartido, Servicio de lavandería, Detectores de humo, Armario, Ropa de cama, Parking adaptado para personas de movilidad reducida, Centro de negocios, Parking gratis, Artículos de aseo gratis, TV, Servicio de despertador / alarma, Calefacción, Acceso a pisos superiores en ascensor, Bañera o ducha, Fruta",La Serena,Chile,"Este hotel ofrece habitaciones para no fumadores con WiFi gratuita y desayuno buffet. Se encuentra en el centro de La Serena, a menos de 250 metros de la Plaza de Armas.

Cada habitación tiene TV con canales públicos.

El Hotel Francisco De Aguirre ofrece tumbonas junto a la piscina al aire libre de temporada. El bar propone aperitivos ligeros y cócteles.

El hotel Francisco De Aguirre está a menos de 600 metros del Museo Gabriel González Videla y del Museo Arqueológico de La Serena."
Aji Verde Hostel,US$16,"8,0",Muy bien,489,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251531499.webp?k=377538e0e9f53c260b1d9abf4a9f6d835ee40c5637636492d4db53f5c0168d4a&o=,https://www.booking.com/hotel/cl/aji-verde-hostel.es.html?aid=2410095,"Submarinismo, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Barbacoa, Zona de fumadores, Entretenimiento nocturno, Italiano, Acceso a pisos superiores solo mediante escaleras, Salas de reuniones / banquetes, Snorkel, Windsurf, Tostadora, Español, Hervidor eléctrico, Zona de juegos interior, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Extintores, Ordenador, Terraza, Ropa de cama, Piragüismo, Cocina, Snack-bar, Ciclismo, Guardaequipaje, Acceso al salón executive, Sombrillas, Alarma de seguridad, Cocina compartida, Mobiliario exterior, Vistas a un patio interior, Vistas a la ciudad, Proporciona factura, Vistas a un lugar de interés, Vino / champán, Habitaciones familiares, Registro de entrada y salida exprés, Baños públicos, Bolos, Chimenea exterior, Zona de comedor exterior, Dardos, Productos de limpieza, Bar, Registro de entrada / salida privado, Noches de cine, Tetera / cafetera, Teléfono, Vistas al jardín, Microondas, Zona TV / salón de uso compartido, Servicio de lavandería, Zona de comedor, Servicio de streaming (como Netflix), Tendedero, Lavadora, Zona de cocina, Personal de animación, Balcón, Tetera/cafetera en todas las habitaciones, Jardín, Barandillas protectoras para bebés, Seguridad 24 horas, Máquina expendedora (bebidas), Enchufe cerca de la cama, Mesa de comedor, Adaptado personas de movilidad reducida, Recepción 24 horas, Música / espectáculos en directo, Papel higiénico, Videoconsola Xbox 360, Zona de pícnic, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Videoconsola PS2, Servicio de limpieza diario, WC, Portugués, Horno, Playa, Nevera, Ducha, Plancha para pantalones, Armario, WC con barras de apoyo, Cafetera, Calefacción, Vistas, Sala de juegos, Libros, DVD o música para niños, Vistas a la montaña, Zona de estar, Información turística, Bingo, Servicio de despertador, Galerías de arte temporales, Utensilios de cocina, Servicio de entrega de comestibles, Inglés, Campo de golf (a menos de 3 km), Karaoke, Vistas al mar, Plancha para ropa, Habitaciones sin humo, Patio, WiFi gratis, Servicio de despertador / alarma",La Serena,Chile,"El Aji Verde Hostel goza de una ubicación cómoda en el centro de la ciudad de La Serena y ofrece una terraza con vistas panorámicas, cocina común totalmente equipada y zona de barbacoa. El establecimiento se encuentra a 3 km de la playa.

Las habitaciones del Aji Verde tienen baño privado o compartido. 

Este albergue ecológico dispone de chimenea, un bar y sala de estar con TV, libros y películas. Hay taquillas individuales y servicios de lavandería y de camarera de pisos. El albergue puede gestionar servicios de alquiler de coches y bicicletas.

Los huéspedes del Aji Verde pueden utilizar la sala de juegos o participar en actividades, como barbacoas, fiestas con pizza, y catas de vino, todo ello organizado por el hotel.

El Aji Verde Hostel facilita WiFi gratuita y un ordenador para uso de los huéspedes.

La estación de autobús está a 2,5 km del establecimiento y el aeropuerto La Florida, a 5 km."
Hotel Boutique Terra Diaguita & Spa,US$73,"8,9",Fabuloso,740,https://cf.bstatic.com/xdata/images/hotel/max1024x768/74338224.webp?k=3bbe6dc91da0cd726fa1c599fce939a4ee7c165ad1fca2fadc9b6fdbc964b50e&o=,https://www.booking.com/hotel/cl/casa-tamaya.es.html?aid=2410095,"Masaje corporal completo, Guardaequipaje, Información turística, Juegos de mesa / puzles, Alquiler de bicicletas, Mobiliario exterior, Proporciona factura, Zona de fumadores, Jardín, Desayuno fabuloso, Seguridad 24 horas, Máquina expendedora (bebidas), Spa y centro de bienestar, Salas de reuniones / banquetes, Vino / champán, Caja fuerte, Inglés, Recepción 24 horas, Habitaciones familiares, Masaje de cabeza, Servicio de conserjería, Español, Cámaras de seguridad fuera del alojamiento, Chimenea exterior, Sauna, Servicio de limpieza diario, Cámaras de seguridad en las zonas comunitarias, Instalaciones de spa, Masaje en pareja, Extintores, Zona de spa / relajación, Habitaciones sin humo, Terraza, Cafetería en el alojamiento, Masaje de espalda, WiFi gratis, Zona TV / salón de uso compartido, Servicio de lavandería, Masaje de pies, Baño de vapor, Masaje de manos, Masaje de cuello, Calefacción, Masajes",La Serena,Chile,"El Hostal Terra Diaguita, situado a solo 100 metros de la plaza principal de La Serena, cuenta con 2 sectores en la misma calle y ofrece habitaciones con conexión Wi-Fi gratuita y TV por cable en una encantadora casa colonial.

Las habitaciones del sector principal Terra Diaguita tienen suelos de parqué y muebles de madera. Algunas ofrecen vistas al jardín. Las habitaciones del Terra Diaguita II tienen un estilo en las raíces serenenses, más amplias y modernas.

Todos los días se sirve un desayuno con zumo de naranja, leche, huevos, quesos, jamón, yogur, cereales, mermeladas y bebidas calientes.

Hay 2 terrazas donde los huéspedes pueden relajarse y disfrutar leyendo un libro de la biblioteca. También hay un jardín y una chimenea.

La playa de La Serena está a 7 minutos en coche. El aeropuerto de Florida está a 5,5 km."
Hotel Canto del Mar,US$82,"7,8",Bien,1.358,https://cf.bstatic.com/xdata/images/hotel/max1024x768/246956431.webp?k=8ac36792215251190d05d64f686512e1e4c5ca1cd3a88eb830569c2d4df4cd5a&o=,https://www.booking.com/hotel/cl/canto-del-mar.es.html?aid=2410095,"Guardaequipaje, Prohibido fumar en todo el alojamiento, Información turística, Alarma de seguridad, Servicio de despertador, Baño privado, Proporciona factura, Jardín, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Enchufe cerca de la cama, Fax / fotocopiadora, Caja fuerte, Inglés, Recepción 24 horas, Papel higiénico, Escritorio, Canales por cable, Registro de entrada y salida exprés, Servicio de conserjería, Toallas, Español, Cámaras de seguridad fuera del alojamiento, Buen desayuno, Productos de limpieza, Servicio de limpieza diario, Cámaras de seguridad en las zonas comunitarias, WC, Bar, Extintores, Habitaciones sin humo, Playa, Situado frente a la playa, WiFi gratis, TV de pantalla plana, Teléfono, Detectores de humo, Ropa de cama, Servicio de habitaciones, Artículos de aseo gratis, TV, Calefacción, Bañera o ducha",La Serena,Chile,"El Hotel Canto del Mar está ubicado frente a la playa, en La Serena, y ofrece alojamiento con WiFi gratuita y piscina al aire libre disponible durante todo el año. Se sirve un desayuno continental a diario. El restaurante está especializado en platos de pasta, pescado y marisco. Abre para el almuerzo y la cena.

Las habitaciones están equipadas con TV de pantalla plana con canales por cable. Algunas habitaciones tienen vistas a la playa, mientras que algunos apartamentos ofrecen vistas laterales al mar. Se pueden solicitar secadores de pelo y adaptadores para enchufes. Las habitaciones disponen de calefacción y baño privado. Se proporciona un servicio de camarera de pisos a diario.

Hay una cafetería y una pequeña tienda fuera del edificio. La recepción está abierta las 24 horas. Se puede organizar un servicio de enlace con el aeropuerto."
Hermosas habitaciones para 1 - 2 o 4 personas,US$40,"7,8",Bien,717,https://cf.bstatic.com/xdata/images/hotel/max1024x768/228489838.webp?k=271238788aae9267a272353b155836db57898e0eed4010d12832b2c98e88cf79&o=,https://www.booking.com/hotel/cl/hermosas-habitaciones-para-una-o-dos-personas.es.html?aid=2410095,"Terraza, Español, Cafetería en el alojamiento, WiFi gratis, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Muy buen desayuno, Terraza / solárium, Mobiliario exterior, Llave de acceso, Cámaras de seguridad en las zonas comunitarias, Baño privado, Proporciona factura, Máquina expendedora (bebidas), Fruta, Habitaciones sin humo, Extintores",La Serena,Chile,"Hermosas habitaciones para 1 - 2 o 4 personas ofrece terraza y wifi gratis. Ofrece alojamiento con una ubicación excelente en La Serena, a poca distancia de Estadio La Portada, Museo Arqueológico de La Serena y Museo de Historia Regional Gabriel González Videla.

Cerca del alojamiento hay puntos de interés como Edificio Gabriela Mistral, Tribunal de justicia y Catedral y Plaza de Armas. El aeropuerto más cercano (Aeropuerto La Florida) está a 5 km."
Hostal Mi Maravilla,US$17,"7,4",Bien,72,https://cf.bstatic.com/xdata/images/hotel/max1024x768/295669628.webp?k=c32686442d0b9e8c51eceb77e5310a4c1208c01a98ded4292b99292cb5f1d025&o=,https://www.booking.com/hotel/cl/hostal-mi-maravilla.es.html?aid=2410095,"Servicio de aparcacoches, Guardaequipaje, Prohibido fumar en todo el alojamiento, Información turística, Juegos de mesa / puzles, Entrada privada, Proporciona factura, Seguridad 24 horas, Máquina expendedora (bebidas), Parking privado, Cesta para mascotas, Desayuno en la habitación, Aire acondicionado, Enchufe cerca de la cama, Mesa de comedor, Fax / fotocopiadora, Servicio de entrega de comestibles, Recepción 24 horas, Tarjeta de acceso, Papel higiénico, Habitaciones familiares, Escritorio, Canales por cable, Registro de entrada y salida exprés, Baños públicos, Servicio de conserjería, Toallas, Canales vía satélite, Cámaras de seguridad fuera del alojamiento, Español, Servicio de planchado, Buen desayuno, Servicio de limpieza diario, Llave de acceso, Cámaras de seguridad en las zonas comunitarias, WC, Extintores, Registro de entrada / salida privado, Habitaciones sin humo, Ventilador, TV de pantalla plana, Cafetería en el alojamiento, WiFi gratis, Ducha, Menús para dietas especiales (bajo petición), Plancha para pantalones, Supermercado pequeño en el alojamiento, Servicio de lavandería, Detectores de humo, Zona TV / salón de uso compartido, Cambio de moneda, Servicio de habitaciones, Zona de comedor, TV, Calefacción",La Serena,Chile,"El Hostal mi Maravilla ofrece alojamiento con WiFi gratuita en La Serena, a 200 metros del mercado de La Recova.

Las habitaciones disponen de baño privado, TV por cable, ventilador y ropa de cama.

El Hostal Mi Maravilla también cuenta con salón compartido.

El establecimiento se halla a 200 metros de la Casa Giliberto."
Calor De Hogar La Serena,US$32,"9,4",Fantástico,184,https://cf.bstatic.com/xdata/images/hotel/max1024x768/366609947.webp?k=6cdbda45a9112c605eec2680dca8cc470e52cd9575b037bde439983c2f4ffc89&o=,https://www.booking.com/hotel/cl/habitacion-privada-la-serena.es.html?aid=2410095,"Lavavajillas, Prohibido fumar en todo el alojamiento, Juegos de mesa / puzles, Tetera/cafetera en todas las habitaciones, Alquiler de bicicletas, Mobiliario exterior, Vistas a la ciudad, Zona de fumadores, Jardín, Desayuno fabuloso, Seguridad 24 horas, Utensilios de cocina, Enchufe cerca de la cama, Mesa de comedor, Papel higiénico, Habitaciones familiares, Canales por cable, Tostadora, Español, Toallas, Canales vía satélite, Zona de pícnic, Cámaras de seguridad fuera del alojamiento, Hervidor eléctrico, Toallas / sábanas (por un suplemento), Zona de comedor exterior, Secador de pelo, WC, Habitaciones sin humo, Terraza, Patio, Horno, TV de pantalla plana, Nevera, Tetera / cafetera, Vistas al jardín, Microondas, Baño compartido, Ropa de cama, Parking gratis, Zona de comedor, Servicio de streaming (como Netflix), TV, Vistas",La Serena,Chile,"Calor De Hogar La Serena está en La Serena y cuenta con vistas a la ciudad, jardín y terraza.

Las unidades están equipadas con patio y disponen de TV de pantalla plana y baño compartido con secador de pelo. También se ofrece nevera, lavavajillas y horno, además de hervidor.

La habitación en casa particular ofrece servicio de alquiler de bicicletas.

Estadio La Portada está a 14 min a pie del alojamiento, y Museo Arqueológico de La Serena está a 1,9 km. El aeropuerto más cercano (Aeropuerto La Florida) está a 5 km del alojamiento."
Hotel Serena Suite,US$79,"7,8",Bien,1.499,https://cf.bstatic.com/xdata/images/hotel/max1024x768/26472303.webp?k=3cd18cdaf7013650baf55a043e02781942f387eb9155f396e491cdf00a87d113&o=,https://www.booking.com/hotel/cl/serena-suite-park.es.html?aid=2410095,"Guardaequipaje, Piscina al aire libre, Información turística, Vistas a la piscina, Alarma de seguridad, Terraza / solárium, Para todas las edades, Servicio de despertador, Mobiliario exterior, Baño privado, Proporciona factura, Jardín, Zona de fumadores, Seguridad 24 horas, Desayuno en la habitación, Aire acondicionado, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Almuerzos para llevar, Adaptado personas de movilidad reducida, Vino / champán, Fax / fotocopiadora, Salas de reuniones / banquetes, Caja fuerte, Servicio de entrega de comestibles, Inglés, Recepción 24 horas, Tarjeta de acceso, Papel higiénico, Habitaciones familiares, Escritorio, Registro de entrada y salida exprés, Baños públicos, Español, Toallas, Canales vía satélite, Menú para niños, Cámaras de seguridad fuera del alojamiento, Chimenea exterior, Secador de pelo, Sauna, Buen desayuno, Servicio de limpieza diario, Llave de acceso, Cámaras de seguridad en las zonas comunitarias, WC, Extintores, Restaurante, Habitaciones sin humo, Registro de entrada / salida privado, Terraza, Adaptado para sillas de ruedas, TV de pantalla plana, Teléfono, WiFi gratis, Cafetería en el alojamiento, Minibar, Vistas al jardín, Zona TV / salón de uso compartido, Toda la unidad en la planta baja, Armario, Ropa de cama, Parking adaptado para personas de movilidad reducida, Centro de negocios, Parking gratis, Servicio de habitaciones, WC con barras de apoyo, Abierta todo el año, Calefacción, Bañera o ducha, Fruta",La Serena,Chile,"El Hotel Serena Suite ofrece apartamentos y habitaciones, piscina al aire libre, gimnasio y WiFi gratuita. Se encuentra a 5 minutos en coche del centro histórico de La Serena.

Los alojamientos disponen de TV vía satélite y escritorio. Los apartamentos están totalmente equipados y tienen zona de cocina con microondas y lavavajillas y zona de salón comedor.

El Serena Suite Park Hotel sirve un desayuno buffet. El restaurante a la carta propone especialidades regionales e internacionales. El hotel también alberga una bañera de hidromasaje.

La Serena se halla a 472 km al norte de Santiago. Se ofrece aparcamiento privado gratuito."
Hotel Costa Real,US$104,"8,1",Muy bien,1.035,https://cf.bstatic.com/xdata/images/hotel/max1024x768/42133093.webp?k=c1d99ae2a3491b7f6c738b346253058a1132396fc0aa82d5652558f888221d0d&o=,https://www.booking.com/hotel/cl/costa-real.es.html?aid=2410095,"Guardaequipaje, Prohibido fumar en todo el alojamiento, Piscina al aire libre, Ascensor, Información turística, Muy buen desayuno, Servicio de despertador, Mobiliario exterior, Vistas a la ciudad, Baño privado, Proporciona factura, Jardín, Salas de reuniones / banquetes, Fax / fotocopiadora, Caja fuerte, Inglés, Recepción 24 horas, Papel higiénico, Escritorio, Canales por cable, Servicio de conserjería, Toallas, Español, Servicio de planchado, Secador de pelo, Servicio de limpieza diario, WC, Bar, Restaurante, Habitaciones sin humo, Terraza, TV de pantalla plana, Teléfono, WiFi gratis, Minibar, Servicio de limpieza en seco, Servicio de lavandería, Armario, Ropa de cama, Cambio de moneda, Centro de negocios, Abierta todo el año, Servicio de habitaciones, Artículos de aseo gratis, TV, Calefacción, Bañera o ducha",La Serena,Chile,"El Hotel Costa Real está en La Serena y cuenta con piscina al aire libre y un restaurante de selecta cocina internacional. Hay WiFi gratuita en las instalaciones.

Por las mañanas se sirve un desayuno buffet de forma gratuita.

Todas las habitaciones disponen de baño privado con artículos de aseo gratuitos, terraza con vistas a la ciudad, minibar, TV por cable de pantalla plana y caja fuerte.

El Hotel Costa Real cuenta con recepción 24 horas, terraza, jardín, bar, instalaciones para reuniones, sala de eventos, mostrador de información turística y consigna de equipaje.

El Hotel Costa Real está situado a 3 calles de la calle principal de La Serena y de la terminal de autobuses. El aeropuerto de La Serena se encuentra a 15 minutos en coche."
