hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Mirador San Esteban,https://www.booking.com/hotel/co/mirador-san-estevan.es.html?aid=2410095,"El Hotel Mirador San Esteban in La Tebaida alberga una terraza y un salón compartido. Todas las habitaciones cuentan con TV de pantalla plana con canales por cable y baño privado. El mostrador de información turística puede proporcionar información sobre la zona.

Hay WiFi gratuita y algunas habitaciones tienen balcón.

En los alrededores se puede practicar ciclismo.

El personal de la recepción está disponible las 24 horas y puede proporcionar información sobre la zona.
El parque de café está a 15 minutos en autobús por solo USD 1.
Armenia se encuentra a 17 km del Hotel Mirador San Esteban, mientras que Quimbaya está a 29 km. El aeropuerto internacional El Edén, el más cercano, se halla a 6 km.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Bañera o ducha, Teléfono, Senderismo, Vistas, Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Ciclismo, Tour o clase sobre cultura local, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Tours en bici, Ropa de cama, Servicio de traslado, Entrada privada, Seguridad 24 horas, WiFi gratis, Ducha, Enchufe cerca de la cama, Mobiliario exterior, Productos de limpieza, Canales por cable, Tours a pie, Tarjeta de acceso, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Bar, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Tarjetas de transporte público, Artículos de aseo gratis, Papel higiénico, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/170987122.jpg?k=ee85c7d2aff847385fee7563bf030f21642b7d9b5dc147a78baf13a3772dc3a1&o=&hp=1,La Tebaida,Colombia
Hotel California Tropical,https://www.booking.com/hotel/co/california-tropical.es.html?aid=2410095,"Hotel California Tropical está en La Tebaida, a 15 km de Parque Nacional del Café y a 35 km de Parque Nacional de la Cultura Agropecuaria (PANACA). Ofrece alojamiento con salón de uso común y wifi gratis, además de parking privado gratis. El hotel tiene habitaciones familiares.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también tienen vistas a la ciudad. En el hotel, las habitaciones están equipadas con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 3 km.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas, Ventilador, Baño privado, Extintores, TV, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Proporciona factura, Alquiler de coches, Mobiliario exterior, Canales por cable, Llave de acceso, Guardaequipaje, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524909496.jpg?k=d877e3b4b4a931494582cba7da06f9e659ef298aca78c0d6e579e7d4b3adc30d&o=&hp=1,La Tebaida,Colombia
Tesoro Andino,https://www.booking.com/hotel/co/tesoro-andino.es.html?aid=2410095,"Tesoro Andino se encuentra en La Tebaida, a 15 km de Parque Nacional del Café, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. El alojamiento dispone de terraza y instalaciones para deportes acuáticos. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

En el hotel, todas las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 34 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 2 km.","Terraza, Juegos de mesa / puzles, Sombrillas, Alarma de seguridad, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, Discoteca / DJ, Armario, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Snack-bar, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Servicio de traslado, Fruta, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Mobiliario exterior, Productos de limpieza, Adecuada para niños, Canales por cable, Aseo adicional, Llave de acceso, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Instalaciones para deportes acuáticos en el alojamiento, Abierta todo el año, TV de pantalla plana, Balcón, Adaptado personas de movilidad reducida, Toallas, Tumbonas/sillas de playa, Habitaciones familiares, Español, 2 piscinas, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/298180679.jpg?k=85d663cc24c342c6b91b36fbce7aeb7e3265ad323894fae3cd07c4c6d04ccd45&o=&hp=1,La Tebaida,Colombia
"Apartamento amoblado en La Tebaida, Quindio",https://www.booking.com/hotel/co/apartamento-amoblado-en-el-quindio.es.html?aid=2410095,"Apartamento amoblado en La Tebaida, Quindio se encuentra en La Tebaida, a solo 15 km de Parque Nacional del Café y a 34 km de Parque Nacional de la Cultura Agropecuaria (PANACA).

El apartamento de 1 dormitorio tiene sala de estar con TV de pantalla plana con canales vía satélite, cocina totalmente equipada con nevera y horno, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto internacional de El Edén) está a 3 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Juegos de mesa / puzles, Independiente, Prohibido fumar en todo el alojamiento, Toallas / sábanas (por un suplemento), Ventilador, Baño privado, Extintores, Cocina, TV, Armario, Accesible para personas sordas, Traslado aeropuerto, Perchero, Información turística, Toda la unidad accesible en silla de ruedas, Registro de entrada / salida privado, Fogones, Entrada privada, Ropa de cama, Servicio de traslado, Ducha, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Productos de limpieza, Sofá, Aseo adicional, Zona de estar, WC, Sofá cama, Toda la unidad en la planta baja, Zona de comedor, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Tendedero, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/344002275.jpg?k=40d2b7d7ddee319e3b34a80db1f6892ff3f98429a2755a8650fe3c5b9f774db9&o=&hp=1,La Tebaida,Colombia
Casa Hotel Nataniel,https://www.booking.com/hotel/co/casa-nataniel.es.html?aid=2410095,"Casa Hotel Nataniel dispone de bar y se encuentra en La Tebaida, a 15 km de Parque Nacional del Café y a 36 km y a Parque Nacional de la Cultura Agropecuaria (PANACA). Se ofrece wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 3 km del alojamiento.","Prohibido fumar en todo el alojamiento, Bar, Baño privado, Español, Piscina, WiFi gratis, Parking privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532422026.jpg?k=e1dc019e90367739f2ed8cc4ce755dc3069134c7ceb947fbbf8689a4466d9547&o=&hp=1,La Tebaida,Colombia
Finca Hotel Santaleja,https://www.booking.com/hotel/co/finca-santaleja-la-tebaida.es.html?aid=2410095,"Finca Hotel Santaleja se encuentra en La Tebaida, a 20 km de Parque Nacional del Café, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. El alojamiento dispone de servicio de habitaciones, servicio de conserjería y servicio de organización de tours.

En el hotel, las habitaciones incluyen armario. Las habitaciones de este alojamiento tienen baño privado con bañera, además de wifi gratis. Algunas de las habitaciones disponen de vistas a la montaña. En Finca Hotel Santaleja, todas las habitaciones disponen de aire acondicionado y TV de pantalla plana.

En el alojamiento se puede disfrutar de un desayuno americano.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 39 km del alojamiento. El aeropuerto (Aeropuerto internacional de El Edén) está a 4 km.","Desayuno, Terraza, Sombrillas, Horario de apertura, Parking adaptado para personas de movilidad reducida, Baños públicos, Bañera o ducha, Habitaciones sin humo, Vistas a la piscina, Vistas, Adaptado para sillas de ruedas, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Armario, Información turística, Piscina pequeña, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, WiFi gratis, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Barandillas protectoras para bebés, Zona de fumadores, Zona de pícnic, Zona de juegos interior, Valla alrededor de la piscina, Mobiliario exterior, Adecuada para niños, Canales por cable, Bañera, Desayuno en la habitación, Vistas al jardín, Chimenea exterior, Para todas las edades, Baño al aire libre, Salas de reuniones / banquetes, Zona de comedor exterior, Terraza / solárium, Piscina infantil, Zona de spa / relajación, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Zona poco profunda, 2 piscinas, Español, Toda la unidad en la planta baja, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/465034041.jpg?k=81e130431a7d6ab51e066542e9383b4fbbf3a9d5b6d6e2122d505178b2a39dba&o=&hp=1,La Tebaida,Colombia
Horeb Paradise,https://www.booking.com/hotel/co/horeb-paradise-la-tebaida-quindio.es.html?aid=2410095,"Horeb Paradise está en La Tebaida y ofrece alojamiento con balcón y wifi gratis. El apartamento, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Parque Nacional del Café está a 16 km del alojamiento, y Parque Nacional de la Cultura Agropecuaria (PANACA) está a 36 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 3 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Parking en la calle, Ventilador, Baño privado, Baño compartido, Apartamento privado en edificio, Extintores, Cocina, TV, Ciclismo, Armario, Información turística, Baño adicional, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Tours en bici, Ropa de cama, Artículos de aseo gratis, WiFi gratis, Ducha, Detectores de humo, Seguridad 24 horas, Enchufe cerca de la cama, Zona de cocina, Plancha para ropa, Productos de limpieza, Tours a pie, Cafetera, Bañera, Sofá, Llave de acceso, Habitaciones hipoalergénicas, Servicio de streaming (como Netflix), Sofá cama, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Habitaciones comunicadas disponibles, Balcón, Toallas, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558088389.jpg?k=df3e87b5ccae3a5605a1c454c40cb4b500d264828133f06b873b5af473da6677&o=&hp=1,La Tebaida,Colombia
Finca Hotel Brasilia,https://www.booking.com/hotel/co/finca-brasilia.es.html?aid=2410095,"Finca Hotel Brasilia está en La Tebaida, a 15 km de Parque Nacional del Café, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este hotel de 3 estrellas ofrece cocina compartida y servicio de habitaciones. Hay vistas al jardín.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones disponen de baño privado con ducha, y algunas también ofrecen cocina con nevera. En el hotel, todas las habitaciones cuentan con ropa de cama y toallas.

Puedes jugar a los dardos en Finca Hotel Brasilia.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 34 km del alojamiento. El aeropuerto (Aeropuerto internacional de El Edén) está a 5 km.","Servicio de entrega de comestibles, Dardos, Juegos de mesa / puzles, Horario de apertura, Sombrillas, Caja fuerte, Cafetería en el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas, Ventilador, Cenas temáticas, Calefacción, Baño privado, Jardín, Desayuno fantástico, Extintores, TV, Mosquitera, Inglés, Vino / champán, Perchero, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Zona TV / salón de uso compartido, Entrada privada, Ropa de cama, Servicio de traslado, Fruta, Seguridad 24 horas, Cocina compartida, Ducha, Boles para mascotas, Servicio de habitaciones, Toallas de playa/piscina, Plancha para ropa, Cesta para mascotas, Barbacoa, Valla alrededor de la piscina, Mobiliario exterior, Tours a pie, Piscina al aire libre, Habitaciones insonorizadas, Solo para adultos, Llave de acceso, Vistas al jardín, Eventos deportivos en directo (emisión), Servicio de despertador, Guardaequipaje, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Abierta todo el año, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Toda la unidad en la planta baja, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/278568705.jpg?k=b902dc4b662e622ec8e95866787a27b7e03c16b0cb9742ddac97b6dda86d9bd3&o=&hp=1,La Tebaida,Colombia
Apartasol 102c Tebaida Quindio,https://www.booking.com/hotel/co/apartasol-102c.es.html?aid=2410095,"Apartasol 102c Tebaida Quindio, que cuenta con bañera de hidromasaje, se encuentra en La Tebaida. Este alojamiento ofrece piscina privada y parking privado gratis.

El apartamento dispone de terraza, 2 dormitorios, sala de estar y cocina bien equipada. Se ofrece TV de pantalla plana.

Parque Nacional del Café está a 15 km del alojamiento, y Parque Nacional de la Cultura Agropecuaria (PANACA) está a 34 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 3 km.","Zona de cocina, Terraza, Prohibido fumar en todo el alojamiento, Parking gratis, TV de pantalla plana, Balcón, Vistas al jardín, Lavadora, Vistas, Piscina, Piscina privada, Bañera de hidromasaje, Español, Sauna, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/404625748.jpg?k=3a7f25baf27c2912e9b79dd00886018489f9b6474d9167c829ed526135648bc5&o=&hp=1,La Tebaida,Colombia
Apartamento Eje Cafetero Parque del Café,https://www.booking.com/hotel/co/apartamento-eje-cafetero-parque-del-cafe.es.html?aid=2410095,"Apartamento Eje Cafetero Parque del Café, que cuenta con vistas al jardín, dispone de alojamiento con terraza y cafetera a unos 34 km de Parque Nacional de la Cultura Agropecuaria (PANACA). El alojamiento, que se encuentra a 15 km de Parque Nacional del Café, ofrece jardín y parking privado gratis.

El apartamento se encuentra en la planta baja y cuenta con 2 dormitorios, TV de pantalla plana y cocina totalmente equipada con nevera, horno, lavadora, microondas y fogones. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 4 km del alojamiento.","Terraza, Juegos de mesa / puzles, Independiente, Prohibido fumar en todo el alojamiento, Muebles de exterior, Vistas, Piscina, Ventilador, Jardín, Apartamento privado en edificio, Cocina, TV, Armario, Accesible para personas sordas, Tetera / cafetera, Toda la unidad accesible en silla de ruedas, Parking gratis, Fogones, Patio, Entrada privada, Ropa de cama, WiFi gratis, Mesa de comedor, Zona de cocina, Plancha para ropa, Barbacoa, Productos de limpieza, Cafetera, Sofá, Bañera de hidromasaje, Secadora de ropa, Vistas al jardín, Tostadora, Trona, Zona de comedor exterior, Microondas, Servicio de streaming (como Netflix), Sofá cama, Toda la unidad en la planta baja, Zona de comedor, TV de pantalla plana, Balcón, Toallas, Lavadora, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/514740973.jpg?k=87cdbcf0a7a8df41b058fc460544c13c2ae022f33ffd05d0f880b86c1d85de3d&o=&hp=1,La Tebaida,Colombia
