hotel,hotel_url,description,popular_facilities,highres_url,city,country
Cabañas Trabun-Leufu,https://www.booking.com/hotel/cl/cabanas-trabun-leufu-la-union.es.html?aid=2410095,"Cabañas Trabun-Leufu se encuentra en La Unión. Hay wifi gratis y parking privado en el propio alojamiento.

El apartamento dispone de 1 dormitorio, TV de pantalla plana, una cocina equipada y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 47 km.","Parking gratis, Baño privado, Ducha, TV de pantalla plana, Toallas, Cocina, Ropa de cama, WiFi gratis, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/327180286.jpg?k=c1bafa7548640b769f6b2ce87ac20411dde5796f08a0f03b095b8dea11472e53&o=&hp=1,La Unión,Chile
"Cabañas Alto Centro, Departamento N 3",https://www.booking.com/hotel/cl/cabanas-alto-centro-departamento-3.es.html?aid=2410095,"Cabañas Alto Centro, Departamento N 3, que cuenta con terraza, ofrece alojamiento en La Unión con wifi gratis y vistas a la ciudad. Este apartamento dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 46 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Muebles de exterior, Terraza, TV de pantalla plana, Extintores, Productos de limpieza, Ropa de cama, Zona de comedor, Plancha para ropa, Plancha para pantalones, Sofá, WiFi gratis, Enchufe cerca de la cama, Zona de estar, Traslado aeropuerto, Barbacoa, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Utensilios de cocina, Vistas a la ciudad, Ducha, Mesa de comedor, Vistas, Toallas, Artículos de aseo gratis, Vestidor, Suelo de baldosa / mármol, Jardín, Proporciona factura, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Secador de pelo, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Cocina, Cámaras de seguridad fuera del alojamiento, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/382110344.jpg?k=98e561930aea56dd80913d194b28d146d7734964f77d714040025c0ee4cd8807&o=&hp=1,La Unión,Chile
Hotel Club Alemán La Unión,https://www.booking.com/hotel/cl/club-aleman-la-union.es.html?aid=2410095,"Hotel Club Alemán La Unión está en La Unión. Este hotel de 3 estrellas tiene wifi gratis, restaurante y bar.

En el hotel, cada habitación cuenta con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En la recepción se hablan varios idiomas, como inglés y español.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 45 km.","Inglés, Bar, TV de pantalla plana, Ropa de cama, Perchero, Desayuno, WiFi gratis, Prohibido fumar en todo el alojamiento, Español, Calefacción, Ducha, Papel higiénico, Armario, Toallas, Artículos de aseo gratis, Parking gratis, Baño privado, Secador de pelo, Recepción 24 horas, Toda la unidad en la planta baja, WC, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490469305.jpg?k=03a094a700ca93779ebbf17ed953f8ba741ffd0c420703e3d6d372c12522a3da&o=&hp=1,La Unión,Chile
"Cabañas Alto Centro,Departamento N 4",https://www.booking.com/hotel/cl/cabana-4-la-union.es.html?aid=2410095,"Cabañas Alto Centro, Departamento N 4, que cuenta con terraza, ofrece alojamiento en La Unión con wifi gratis y vistas al jardín. Este apartamento dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una zona de cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

El apartamento ofrece servicio de alquiler de bicicletas.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 46 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Tumbonas/sillas de playa, Terraza, Tetera / cafetera, TV de pantalla plana, Extintores, Ropa de cama, Sombrillas, Escritorio, Vistas al jardín, Perchero, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Traslado aeropuerto, Barbacoa, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Ducha, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Cafetera, Bañera de hidromasaje / jacuzzi, Jardín, Proporciona factura, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Alquiler de bicicletas, Toda la unidad en la planta baja, WC, Aire acondicionado, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512639014.jpg?k=a2072d80fe541b2b293d9ca2d54e7a6b2b09f06c171958af58db043c79ae4710&o=&hp=1,La Unión,Chile
Cabañas De Madera,https://www.booking.com/hotel/cl/cabanas-de-madera.es.html?aid=2410095,"Cabañas De Madera está en La Unión y ofrece alojamiento con wifi gratis, jardín con terraza y vistas al jardín.

Algunas unidades también tienen una cocina equipada con nevera, horno y microondas.

En la casa o chalet, la clientela también puede usar la zona de barbacoa y la zona de juegos infantil.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 40 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Información turística, Zona de juegos para niños, WiFi gratis, Traslado aeropuerto, Barbacoa, Español, Calefacción, Pesca, Francés, Servicio de limpieza diario, Senderismo, Jardín, Parking en un garaje, Parking gratis, Baño privado, Recepción 24 horas, Habitaciones familiares, Servicio de traslado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519543851.jpg?k=fde348589f8dbeb4ca124e3cf241294b063ec39ea865aa1998b66de6e4769358&o=&hp=1,La Unión,Chile
Maravilloso departamento en el sur de Chile,https://www.booking.com/hotel/cl/maravilloso-departamento-en-el-sur-de-chile.es.html?aid=2410095,"Maravilloso departamento en el sur de Chile está en La Unión. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento tiene aire acondicionado y cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 43 km.","Español, Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Cocina, Vistas al jardín, Aire acondicionado, WiFi gratis, Lavadora, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527773932.jpg?k=1558b1534f41c0748262d43cbb404cf88582337c1efb581dcfffcd76bde8425a&o=&hp=1,La Unión,Chile
Cabañas Trabun-Leufu,https://www.booking.com/hotel/cl/cabanas-trabun-leufu.es.html?aid=2410095,"Cabañas Trabun-Leufu está en La Unión. Esta casa o chalet dispone de parking privado gratis y recepción 24 horas.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una cocina y 2 baños. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 47 km.","Parking gratis, Baño privado, TV de pantalla plana, Recepción 24 horas, Información turística, Aire acondicionado, Sofá cama, Habitaciones familiares, TV, Cocina, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/327109700.jpg?k=a7881d942cd33459f0951e366a55907292d9bc096de4e3e3aaab068b383e6368&o=&hp=1,La Unión,Chile
Espectacular Departamento en el Sur de chile La Union,https://www.booking.com/hotel/cl/espectacular-departamento-en-la-union-cerca-40-minutos-rio-bueno-la-union.es.html?aid=2410095,"Espectacular Departamento en el Sur de chile La Union se encuentra en La Unión. Hay parking privado en el propio alojamiento y wifi gratis.

El apartamento de 2 dormitorios cuenta con sala de estar con TV de pantalla plana y cocina totalmente equipada.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 43 km del alojamiento.","Español, Parking gratis, TV de pantalla plana, Cocina, Habitaciones familiares, WiFi gratis, Lavadora, Calefacción, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495450383.jpg?k=7f06ae0205b9f8c39eaece36a4e7b206efc52bd31d186de487df49edbe209f26&o=&hp=1,La Unión,Chile
Cabaña & Spa Sentido Vital,https://www.booking.com/hotel/cl/cabana-de-relajacion-sentido-vital.es.html?aid=2410095,"Cabaña & Spa Sentido Vital se encuentra en La Unión y ofrece terraza. Esta casa rural dispone de jardín y parking privado gratis.

Hay toallas y ropa de cama en la casa rural.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 37 km.","Terraza, Inglés, Ropa de cama, Vistas al jardín, Instalaciones de spa, Patio, Baño de vapor, Bañera, Prohibido fumar en todo el alojamiento, Español, Calefacción, Sauna, Bañera o ducha, Paquetes de spa / bienestar, Ducha, Toallas, Bañera de hidromasaje / jacuzzi, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Italiano, WC, Zona de spa / relajación, Cocina, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/333466524.jpg?k=7f4a0f5a4e126d4f9c86f99def3c56fa484114d25c243ffbf18f86ecb3e3fc9e&o=&hp=1,La Unión,Chile
"Nuevo departamento en el sur de Chile, ubicado en la comuna de La Unión.",https://www.booking.com/hotel/cl/nuevo-departamento-en-el-sur-de-chile-ubicado-en-la-comuna-de-la-union.es.html?aid=2410095,"Nuevo departamento en el sur de Chile, ubicado en la comuna de La Unión. Se encuentra en La Unión. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento con aire acondicionado da a un balcón con vistas al jardín y cuenta con 2 dormitorios y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 43 km del alojamiento.","Español, Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Vistas, Cocina, Vistas al jardín, Aire acondicionado, WiFi gratis, Lavadora, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523157941.jpg?k=53cf97bff9e8db6d41b1f6e4e6e5ca95bd008c81cf44f74634826edf2d77618e&o=&hp=1,La Unión,Chile
