hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Casa Moreno La vega C,https://www.booking.com/hotel/co/casa-moreno-la-vega-c.es.html?aid=2410095,"Hotel Casa Moreno La vega C dispone de jardín, terraza, restaurante y bar en La Vega. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene habitaciones familiares.

En el hotel, todas las habitaciones incluyen armario y TV de pantalla plana. Todas las habitaciones disponen de baño privado con ducha, algunas ofrecen balcón y otras también disponen de vistas a la ciudad.

En Hotel Casa Moreno La vega C se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 51 km.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Toallas / sábanas (por un suplemento), Desayuno, Ventilador, Piscina al aire libre, Sauna, Perchero, Bar, Recepción 24 horas, Traslado aeropuerto (gratis), Habitaciones familiares, Ducha, Parking gratis, Español, TV, Traslado aeropuerto, Habitaciones sin humo, Bañera, Servicio de habitaciones, Papel higiénico, Bañera de hidromasaje / jacuzzi, Armario, Jardín, Toallas, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546146539.jpg?k=502116a7de7a2f38a0d707167d7cf10440059d3f27952cc20ae0a23f7ac4a325&o=&hp=1,La Vega,Colombia
HOTEL NATIVOS,https://www.booking.com/hotel/co/nativos.es.html?aid=2410095,"HOTEL NATIVOS dispone de piscina al aire libre, jardín, terraza y restaurante en La Vega. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El bar es ideal para tomar algo.

En el hotel se sirve todas las mañanas un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 55 km.","Equipamiento de juegos para exterior, Restaurante, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Mobiliario exterior, Salas de reuniones / banquetes, Zona de fumadores, Fruta, Proporciona factura, Extintores, Piscina con vistas, Desayuno, Juegos de mesa / puzles, Barandillas protectoras para bebés, Piscina al aire libre, Snack-bar, Abierta todo el año, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Registro de entrada / salida privado, Habitaciones familiares, Parking gratis, Terraza / solárium, Español, Habitaciones hipoalergénicas, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Servicio de limpieza diario, Sombrillas, Bañera de hidromasaje / jacuzzi, Bar en la piscina, Jardín, Llave de acceso, Almuerzos para llevar, Cafetería en el alojamiento, Desayuno en la habitación, Información turística, Piscina infantil, Para todas las edades, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508663574.jpg?k=a45902875605bc483695ec155402308dedc2b0d3fe412dde4cbb1a436c3db6d9&o=&hp=1,La Vega,Colombia
Hotel Caribe La Vega,https://www.booking.com/hotel/co/familiar-caribe.es.html?aid=2410095,"Hotel Caribe La Vega se encuentra en La Vega y dispone de jardín, restaurante, bar y wifi gratis. El cafetería es ideal para tomar algo.

En el hotel, cada habitación está equipada con baño privado y algunas también ofrecen balcón.

Puedes jugar al billar en Hotel Caribe La Vega.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 52 km del alojamiento.","Baño privado, Restaurante, WiFi gratis, Horario de apertura, Mobiliario exterior, Zona de fumadores, Zona de juegos interior, Extintores, Desayuno, Juegos de mesa / puzles, Piscina al aire libre, Snack-bar, Abierta todo el año, Bar, Habitaciones familiares, Parking gratis, Español, Billar, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de limpieza diario, Sombrillas, Jardín, 2 restaurantes, Para todas las edades",https://cf.bstatic.com/xdata/images/hotel/max1024x768/405566509.jpg?k=7ffbb175cb8ed76dfa15dccb1d6bcc00f6957acc8add2263f6d235235a5801d2&o=&hp=1,La Vega,Colombia
Hotel La Vega real,https://www.booking.com/hotel/co/la-vega-real-la-vega.es.html?aid=2410095,"Hotel La Vega real ofrece alojamiento en La Vega. Este hotel de 2 estrellas ofrece recepción 24 horas y mostrador de información turística. El hotel dispone de habitaciones familiares.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 51 km.","Habitaciones familiares, Extintores, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Parking gratis, Español, Cámaras de seguridad fuera del alojamiento, Información turística, Habitaciones sin humo, Cámaras de seguridad en las zonas comunitarias, TV de pantalla plana, Registro de entrada / salida privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558690069.jpg?k=b9434d5de81905a1b4f3127df78bb527b4eafcea3abf7408ded282de30a2d9b1&o=&hp=1,La Vega,Colombia
Refugio en la montaña,https://www.booking.com/hotel/co/casa-en-el-cielo.es.html?aid=2410095,"Refugio en la montaña ofrece alojamiento en La Vega y cuenta con restaurante.

Algunos alojamientos incluyen una terraza con vistas a la montaña, cocina totalmente equipada y baño compartido con ducha.

En el bed and breakfast se sirve todos los días un desayuno a la carta.

Refugio en la montaña ofrece centro de negocios, wifi gratis, servicio de limpieza en seco y parking privado gratis.

Después de un día de senderismo o ciclismo, la clientela puede relajarse en el jardín o el salón de uso común.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 49 km del alojamiento.","Restaurante, Zona TV / salón de uso compartido, Cenas temáticas, WiFi gratis, Vistas, Cámaras de seguridad fuera del alojamiento, Salas de reuniones / banquetes, Zona de fumadores, Ciclismo, Menú para niños, Servicio de limpieza en seco, Proporciona factura, Extintores, Tarjetas de transporte público, Sala de juegos, Desayuno, Juegos de mesa / puzles, Snack-bar, Seguridad 24 horas, Baños públicos, Bar, Registro de entrada / salida privado, Habitaciones familiares, Centro de negocios, Parking gratis, Terraza / solárium, Español, Habitaciones hipoalergénicas, Gimnasio, Detectores de humo, Boles para mascotas, Ruta de bares, Chimenea exterior, Senderismo, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Jardín, Zona de cocina, Llave de acceso, Almuerzos para llevar, Entretenimiento nocturno, Happy hour, Tours en bici, Toallas, Cafetería en el alojamiento, Desayuno en la habitación, Guardaequipaje, Información turística, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560336392.jpg?k=9bee6d429be8cc19ca6d8833d3d3b8d982d63261d01f3cb7eb7695dc7c00313c&o=&hp=1,La Vega,Colombia
Hotel Campestre la Vega Inn,https://www.booking.com/hotel/co/campestre-la-vega-inn.es.html?aid=2410095,"El Hotel Campestre la Vega Inn se encuentra en La Vega y ofrece piscina al aire libre y restaurante. Hay conexión WiFi gratuita. (NO SE ADMITEN MASCOTAS)

Las habitaciones incluyen ventilador y ropa de cama. El baño privado incluye bañera o ducha y artículos de aseo gratuitos.

El Hotel Campestre la Vega Inn cuenta con bañera de hidromasaje, recepción 24 horas y jardín. También cuenta con salón compartido y sala de juegos. Se facilita aparcamiento gratuito.

El aeropuerto internacional El Dorado se encuentra a 1 hora y media en coche.","Restaurante, Baño privado, Muy buen desayuno, WiFi gratis, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales por cable, Zona de fumadores, Adecuada para niños, Menú para niños, Zona de estar, Servicio de limpieza en seco, Zona de juegos interior, Extintores, Zona de comedor exterior, Tarjetas de transporte público, Sala de juegos, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Aseo adicional, Juegos de mesa / puzles, Ventilador, Artículos de aseo gratis, Seguridad 24 horas, Baños públicos, Bar, Dardos, Recepción 24 horas, Capilla, De temporada, Habitaciones familiares, Ducha, Parking gratis, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Mesa de comedor, Zona de juegos para niños, Billar, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Ping pong, Servicio de limpieza diario, Sombrillas, Armario, Valla alrededor de la piscina, Jardín, Ropa de cama, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Información turística, Piscina infantil, 2 piscinas, Zona de comedor, Aseo compartido, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545608217.jpg?k=c58645538a56f79bc485a6d3d7f68c26cc735d45fb1947fd82953c544154b39d&o=&hp=1,La Vega,Colombia
Centro Turístico La Vega,https://www.booking.com/hotel/co/centro-turistico-la-vega.es.html?aid=2410095,"Centro Turístico La Vega se encuentra en La Vega y ofrece alojamiento de 5 estrellas con terraza, restaurante y bar. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, todas las habitaciones cuentan con TV de pantalla plana y algunas también ofrecen balcón.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 52 km del alojamiento.","Servicio de habitaciones, Habitaciones familiares, TV de pantalla plana, Recepción 24 horas, Parking gratis, Español, Desayuno, 2 piscinas, Bar, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447577694.jpg?k=7160b4077298df4869fc01c417f6ff6aed10f44bae8ba51833d7372b7b2bfa53&o=&hp=1,La Vega,Colombia
Hotel Cafetero Valparaíso,https://www.booking.com/hotel/co/cafetero-valparaiso.es.html?aid=2410095,"Hotel Cafetero Valparaíso se encuentra en La Vega. Este hotel de 4 estrellas ofrece wifi gratis y restaurante. El hotel dispone de habitaciones familiares.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 46 km.","Habitaciones familiares, Restaurante, Desayuno excepcional, Parking gratis, WiFi gratis, Español, Piscina al aire libre, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530900978.jpg?k=9ad6d8ff5d7f25352aef57b62ccdb115f790ad710cfd5dab315afc24788337a4&o=&hp=1,La Vega,Colombia
Ecohotel Monteverde,https://www.booking.com/hotel/co/ecohotel-monteverde.es.html?aid=2410095,"Ecohotel Monteverde tiene jardín, salón de uso común, terraza y restaurante en La Vega. El hotel también dispone de wifi gratis y parking privado gratis.

La clientela puede practicar actividades en La Vega y alrededores, como senderismo.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 52 km.","Restaurante, Zona TV / salón de uso compartido, WiFi gratis, Tumbonas/sillas de playa, Zona de fumadores, Zona de juegos interior, Sala de juegos, Juegos de mesa / puzles, Piscina al aire libre, Snack-bar, Bar, Tours a pie, Habitaciones familiares, Parking gratis, Terraza / solárium, Español, Inglés, Billar, Senderismo, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Sombrillas, Desayuno fantástico, Jardín, Llave de acceso, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503995281.jpg?k=b40ae9407ec973e85d0e9225db50b6380b5372c6d4b929ec5a1182c6aaac3837&o=&hp=1,La Vega,Colombia
Casa de Huespedes Villa Hermosa,https://www.booking.com/hotel/co/casa-de-huespedes-villa-hermosa.es.html?aid=2410095,"La Casa de Huespedes Villa Hermosa como nuestro nombre indica, somos una casa familiar que se ha convertido en un alojamiento para huéspedes. Tenemos 8 habitaciones con diferentes alojamientos.

Cuenta con piscina. La Casa de Huespedes Villa Hermosa se encuentra a 650 metros de la plaza principal de La Vega y a 2 km de la laguna Tabacal Vega. Cuenta con jardín y zona de barbacoa.

Las habitaciones de este establecimiento de gestión familiar cuentan con TV y ventilador. El baño privado incluye ducha.

La Casa de Huespedes Villa Hermosa cuenta con recepción 24 horas, salón compartido y mostrador de información turística.

Este establecimiento se encuentra a 73 km del centro histórico de Bogotá y a aproximadamente 1 hora en coche del aeropuerto internacional de Bogotá.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Zona de fumadores, Productos de limpieza, Toallas / sábanas (por un suplemento), Extintores, Zona poco profunda, Piscina con vistas, Ventilador, Artículos de aseo gratis, Snack-bar, Abierta todo el año, Seguridad 24 horas, Baños públicos, Recepción 24 horas, De temporada, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Vestidor, Entrada privada, Toallas de playa/piscina, Parking gratis, Terraza / solárium, Español, TV, Habitaciones hipoalergénicas, Suelo de baldosa / mármol, 2 piscinas, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Sombrillas, Armario, Jardín, Alarma de seguridad, Llave de acceso, Toallas, Guardaequipaje, Información turística, Ropa de cama, Piscina infantil, Para todas las edades, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/68395837.jpg?k=81e34d5fc4cc8db89023ef50bda67ab46321ed3a93ab9e3fdce0c0c0a1c18694&o=&hp=1,La Vega,Colombia
