hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Hostal Voyager La Villa de Los Santos, Panama",https://www.booking.com/hotel/pa/voyager-int-l-hostel-panama-la-villa-de-los-santos.es.html?aid=2410095,"Hostal Voyager La Villa de Los Santos, Panama se encuentra en Los Santos, a 3,8 km de Estadio Rico Cedeño, y ofrece alojamiento con jardín, parking privado gratis y terraza. El alojamiento dispone de cocina compartida y wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones tienen baño compartido y ropa de cama.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 72 km.","Prohibido fumar en todo el alojamiento, Zona de pícnic, Parking gratis, WiFi gratis, Jardín, Ropa de cama, Juegos de mesa / puzles, Ventilador, Español, Mobiliario exterior, Inglés, Toallas, Baño compartido, Terraza, Habitaciones sin humo, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/496229219.jpg?k=adcb2101a108f301c2a68c7a8103b9972228dfedf36c8b3cdfc3d8565fdb213c&o=&hp=1,La Villa de Los Santos,Panamá
Hotel Cubitá Boutique Resort & Spa,https://www.booking.com/hotel/pa/cubita-boutique-resort-amp-spa-chitre.es.html?aid=2410095,"Hotel Cubitá Boutique Resort & Spa se encuentra en Chitré, a 3,4 km de Estadio Rico Cedeño, y ofrece alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. El alojamiento ofrece restaurante y también tiene salón de uso común y sauna. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

El desayuno diario ofrece opciones buffet, continentales o americanas.

El hotel ofrece terraza.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 78 km.","Restaurante, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Tumbonas/sillas de playa, Horario de apertura, Apoyo visual: carteles táctiles, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Salas de reuniones / banquetes, Masaje de cabeza, Fruta, Menú para niños, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Masaje de pies, Proporciona factura, Extintores, Apoyo visual: braille, Barbacoa, Zona poco profunda, Buen desayuno, Piscina al aire libre, Sauna, Snack-bar, Abierta todo el año, Seguridad 24 horas, Lavamanos más bajo, Bar, Recepción 24 horas, Aire acondicionado, Capilla, Masaje de manos, Paquetes de spa / bienestar, Juguetes para la piscina, Zona de spa / relajación, Habitaciones familiares, Masajes, Toallas de playa/piscina, Parking gratis, WC con barras de apoyo, Masaje de espalda, Español, Adaptado personas de movilidad reducida, Gimnasio, Habitaciones hipoalergénicas, Detectores de humo, Adaptado para sillas de ruedas, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Sombrillas, Masaje corporal completo, Instalaciones de spa, Bar en la piscina, Bañera de hidromasaje / jacuzzi, Jardín, Servicio de conserjería, Alarma de seguridad, Almuerzos para llevar, Masaje en pareja, Cafetería en el alojamiento, Desayuno en la habitación, Guardaequipaje, Información turística, Para todas las edades, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/445559766.jpg?k=ebe87dc1fabacccabbd7e15e6687d3dd859579242ba3192adea10ca6a4c526d4&o=&hp=1,La Villa de Los Santos,Panamá
"Hotel Faranda Guayacanes, a member of Radisson Individuals",https://www.booking.com/hotel/pa/los-guayacanes.es.html?aid=2410095,"Este complejo de Chitré, rodeado de paisajes naturales bonitos y árboles frutales, alberga un casino abierto las 24 horas y un restaurante al aire libre. Hay WiFi gratuita en todas las instalaciones.

El Hotel City House Los Guayacanes dispone de habitaciones clásicas decoradas con tonos vivos. Todas tienen balcón con vistas a los jardines. Incluyen TV por cable y escritorio.

El casino Fiesta es el más grande de la región de Azuero y cuenta con numerosas máquinas tragamonedas y juegos de mesa. También hay un bar y espectáculos en directo.

El Hotel City House Los Guayacanes cuenta con piscina al aire libre y prados por los que se puede pasear. También hay pista de tenis y parque infantil.

El Hotel City House Los Guayacanes está a menos de 1 km del Museo de Herrera y a 16 km del parque nacional Sarigua.","Baño privado, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Tumbonas/sillas de playa, Casino, Spa y centro de bienestar, Mobiliario exterior, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Menú para niños, Escritorio, Proporciona factura, Extintores, Piscina al aire libre, Pista de tenis, Abierta todo el año, Seguridad 24 horas, Alquiler de coches, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Toallas de playa/piscina, Parking gratis, WC con barras de apoyo, Español, Adaptado personas de movilidad reducida, TV, Detectores de humo, Caja fuerte, Adaptado para sillas de ruedas, Inglés, Traslado aeropuerto, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Jardín, Alarma de seguridad, 2 restaurantes, Habitaciones insonorizadas, Minibar, Guardaequipaje, Tarjeta de acceso, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517815313.jpg?k=613cede3650b350d37a64442f44b39d54f3b8ca2e84fee8e95c15cb6e3d8a3f4&o=&hp=1,La Villa de Los Santos,Panamá
Hospedaje Los Lirios Chitré,https://www.booking.com/hotel/pa/hospedaje-los-lirios-chitre.es.html?aid=2410095,"Hospedaje Los Lirios Chitré está en Chitré, en la región de Herrera, a 7 min a pie de Estadio Rico Cedeño. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 76 km.","Baño privado, Prohibido fumar en todo el alojamiento, Mobiliario exterior, Servicio de traslado, Fax / fotocopiadora, Wifi rápida gratis (93 Mbps), Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Artículos de aseo gratis, Perchero, Lavamanos más bajo, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, WC con barras de apoyo, WC elevado, Adaptado personas de movilidad reducida, Español, Detectores de humo, Adaptado para sillas de ruedas, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Armario, Toda la unidad en la planta baja, Alarma de seguridad, Toallas, Guardaequipaje, Información turística, Ropa de cama, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426293817.jpg?k=ae429e6ec58f1686cbb2559ca35d06cf5c5dcf36f504e73e3c2400f392556969&o=&hp=1,La Villa de Los Santos,Panamá
Hotel Presidente Las Tablas,https://www.booking.com/hotel/pa/presidente-las-tablas.es.html?aid=2410095,"El Hotel Presidente Las Tablas ofrece alojamiento en Las Tablas, junto al parque Porras. El establecimiento alberga el restaurante La Molienda, el bar de la azotea y una piscina al aire libre. Se facilita aparcamiento privado gratuito.

Todas las habitaciones de este hotel tienen aire acondicionado y TV de plasma de pantalla plana. El baño es privado. El Hotel Presidente Las Tablas proporciona WiFi gratuita en todas las instalaciones.

Hay servicio de habitaciones e instalaciones para eventos con capacidad para 100 personas.","Restaurante, Baño privado, WiFi gratis, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Menú para niños, Extintores, Parking en un garaje, Servicio de despertador, Teléfono, Perchero, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Plancha para ropa, Parking gratis, Español, TV, Detectores de humo, Caja fuerte, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Sombrillas, Armario, Jardín, Ropa de cama, Almuerzos para llevar, Entretenimiento nocturno, Toallas, Información turística, Nevera, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/111036919.jpg?k=ef552341540aa22bb8474df3fc815b78ccfce77dc8e0a6a36954d18b0b5bc321&o=&hp=1,La Villa de Los Santos,Panamá
Paradise Resort,https://www.booking.com/hotel/pa/paradise-resort.es.html?aid=2410095,"El Hotel Paradise Resort se encuentra en Los Santos, situada en la región que lleva el mismo nombre, a 22 km de Las Tablas, y cuenta con piscina exterior de temporada y terraza. Cuenta con un restaurante, el Sol de Luna.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana y baño privado. Algunas ofrecen zona de estar.

Hay recepción 24 horas.","Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Tumbonas/sillas de playa, Mobiliario exterior, Salas de reuniones / banquetes, Zona de fumadores, Adecuada para niños, Fruta, Menú para niños, Fax / fotocopiadora, Baño al aire libre, Proporciona factura, Extintores, Barbacoa, Karaoke, Parking adaptado para personas de movilidad reducida, Snack-bar, Abierta todo el año, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Aire acondicionado, De temporada, Discoteca / DJ, Registro de entrada / salida privado, Habitaciones familiares, Menús para dietas especiales (bajo petición), Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Español, Gimnasio, Detectores de humo, Caja fuerte, Registro de entrada y salida exprés, Habitaciones sin humo, Música / espectáculos en directo, Bañera, Vino / champán, Servicio de limpieza diario, Instalaciones de spa, Bar en la piscina, Sombrillas, Tobogán de agua, Jardín, Almuerzos para llevar, Entretenimiento nocturno, Cafetería en el alojamiento, Guardaequipaje, Información turística, 2 piscinas, Piscina infantil, Para todas las edades, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547754964.jpg?k=be061874fd9bb50267ef3dc3da84d0ad8345f385b214c3727584e8d7e73d5d3e&o=&hp=1,La Villa de Los Santos,Panamá
Hotel Rex,https://www.booking.com/hotel/pa/rex.es.html?aid=2410095,"Hotel Rex se encuentra en Chitré, a 4 min a pie de Estadio Rico Cedeño, y ofrece equipamiento como salón de uso común, terraza, restaurante y wifi gratis. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Las habitaciones de este alojamiento están equipadas con TV. En el hotel, cada habitación tiene baño privado.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 76 km del alojamiento.","Servicio de habitaciones, Baño privado, Zona TV / salón de uso compartido, WiFi gratis, Español, TV, Salas de reuniones / banquetes, Recepción 24 horas, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/96066808.jpg?k=5508d58889b87ecd9d982cc0cee56467692e5fc02029570c61fa93b0e28700fb&o=&hp=1,La Villa de Los Santos,Panamá
Julianna Country House,https://www.booking.com/hotel/pa/julianna-country-house.es.html?aid=2410095,"Julianna Country House se encuentra en Las Tablas, a 31 km de Estadio Rico Cedeño, y ofrece alojamiento con jardín, parking privado gratis y terraza. Este alojamiento ofrece cocina compartida y mostrador de información turística, además de wifi gratis en todo el alojamiento. Cada habitación dispone de patio.

Todas las habitaciones de este alojamiento están equipadas con cafetera. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones disponen de balcón. En el hostal o pensión, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 44 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Canales por cable, Proporciona factura, Extintores, Zona de comedor exterior, Horno, Enchufe cerca de la cama, Cafetera, Artículos de aseo gratis, Seguridad 24 horas, Patio, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, Español, TV, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Servicio de limpieza diario, Jardín, Zona de cocina, Llave de acceso, Toallas, Información turística, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/310744583.jpg?k=4c47d9bff7bdda6e420bfa6e67019f52fad2c852d9d56bfecff1f2e00419a99a&o=&hp=1,La Villa de Los Santos,Panamá
Hostal VILLAS DON PABLO LAS TABLAS,https://www.booking.com/hotel/pa/villa-don-pablo-47-las-tablas.es.html?aid=2410095,"Hostal VILLAS DON PABLO LAS TABLAS se encuentra a 30 km de Estadio Rico Cedeño y ofrece jardín y salón de uso común, así como alojamiento con aire acondicionado, terraza y wifi gratis.

El alojamiento dispone de cocina totalmente equipada con nevera y cafetera, TV de pantalla plana y baño privado con ducha. Cada unidad cuenta con un balcón con vistas al jardín.

El apartamento ofrece zona de juegos infantil.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 47 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Cocina, WiFi gratis, Vistas, Tendedero, Mobiliario exterior, Canales por cable, Canales vía satélite, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Fax / fotocopiadora, Escritorio, Proporciona factura, Vistas al jardín, Desayuno, Juegos de mesa / puzles, Cafetera, Tetera / cafetera, Baños públicos, Recepción 24 horas, Seguridad 24 horas, Patio, Aire acondicionado, Habitaciones familiares, Ducha, Entrada privada, Plancha para ropa, Parking gratis, Español, TV, Detectores de humo, Mesa de comedor, Zona de juegos para niños, Servicio de lavandería, Boles para mascotas, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Zona de pícnic, Nevera, Jardín, Zona de cocina, Llave de acceso, Toallas, Guardaequipaje, Información turística, Ropa de cama, Zona de comedor, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/388275772.jpg?k=159fb1487632c0787063d681d0f842dd9e344dac2b939a4eaa8d900dd9fe8941&o=&hp=1,La Villa de Los Santos,Panamá
Cabañas Azuero,https://www.booking.com/hotel/pa/cabanas-azuero.es.html?aid=2410095,"Cabañas Azuero está en Los Santos y dispone de vistas a la piscina, piscina al aire libre, jardín, salón de uso común y terraza.

Las unidades están equipadas con balcón y ofrecen aire acondicionado, TV de pantalla plana y baño privado con artículos de aseo gratuitos. Hay una cocina totalmente equipada con nevera y cafetera.

También hay zona de juegos infantil en el lodge.

Estadio Rico Cedeño está a 17 km del alojamiento. El aeropuerto (Aeropuerto de Pedasí) está a 58 km.","Vistas a la piscina, Baño privado, Zona TV / salón de uso compartido, Equipamiento de juegos para exterior, Cocina, Vistas, Tumbonas/sillas de playa, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Utensilios de cocina, Salas de reuniones / banquetes, Zona de juegos interior, Extintores, Parking en un garaje, Sala de juegos, Barbacoa, Vistas al jardín, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Abierta todo el año, Tetera / cafetera, Baños públicos, Patio, Aire acondicionado, Habitaciones familiares, Toallas de playa/piscina, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Detectores de humo, Adaptado para sillas de ruedas, Zona de juegos para niños, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Ping pong, TV de pantalla plana, Sombrillas, Nevera, Jardín, Toda la unidad en la planta baja, Valla alrededor de la piscina, Toallas, Ropa de cama, Balcón, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/177840307.jpg?k=b3427d40aa7433aacf5e280d3ec3047c666e4348a769f124e4a4c7c63500c0a7&o=&hp=1,La Villa de Los Santos,Panamá
