hotel,hotel_url,description,popular_facilities,highres_url,city,country
Vistaranco Costanera,https://www.booking.com/hotel/cl/vistaranco-costanera.es.html?aid=2410095,"Vistaranco Costanera está en Lago Ranco. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

La casa o chalet tiene terraza, 2 dormitorios, sala de estar y cocina bien equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 85 km.","Parking gratis, Terraza, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Vistas, Cocina, Vistas al jardín, WiFi gratis, Español, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/439971382.jpg?k=8aa48c4a2b3556654df3bb81639b7800b8e855a3764afa171633735211502c89&o=&hp=1,Lago Ranco,Chile
Vistaranco Eco,https://www.booking.com/hotel/cl/vistaranco-eco.es.html?aid=2410095,"Vistaranco Eco se encuentra en Lago Ranco.

La casa o chalet dispone de terraza, 2 dormitorios, sala de estar y cocina bien equipada. Hay parking privado gratis en la casa o chalet.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 85 km del alojamiento.","Terraza, Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, Español, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/416615867.jpg?k=ac67e938a77f34c5ad7f2515e2f709153f339ed573c62b6c305db3e43c745343&o=&hp=1,Lago Ranco,Chile
Cabañas Mirador Lago Ranco,https://www.booking.com/hotel/cl/cabanas-mirador-lago-ranco.es.html?aid=2410095,"Cabañas Mirador Lago Ranco está en Lago Ranco, en la región de Los Ríos, y ofrece alojamiento con parking privado gratis.

El chalet de montaña ofrece terraza, vistas a la montaña, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y horno, y baño privado con ducha. Todas las unidades cuentan con un balcón con vistas al lago.

Hay un jardín con barbacoa en este alojamiento, y en la zona se puede practicar ciclismo.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 94 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Muebles de exterior, Terraza, TV de pantalla plana, Servicio de lavandería, Llave de acceso, Productos de limpieza, Ropa de cama, Vistas al jardín, Zona de comedor, Información turística, Zona de fumadores, Vistas a un lugar de interés, Sofá, Enchufe cerca de la cama, Hipoalergénico, Patio, Zona de estar, Traslado aeropuerto, Barbacoa, Registro de entrada / salida privado, Entrada privada, Suelo de madera o parquet, Horno, TV, Español, Independiente, Calefacción, Pesca, Bañera o ducha, Vistas al lago, Utensilios de cocina, Canales vía satélite, Servicio de planchado, Ducha, Mesa de comedor, Armario, Toallas, Canales de pago, Parque acuático, Chimenea, Senderismo, Vistas, Jardín, Proporciona factura, Canales por cable, Tours a pie, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Ciclismo, Protector de enchufes para niños, Habitaciones familiares, Tours en bici, Zona de comedor exterior, Cocina, Balcón, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/269336837.jpg?k=2d6ff3c54b1beee0abc95628d5f42857b420f2b6e35470c5aea00dc44409b962&o=&hp=1,Lago Ranco,Chile
Cabaña Río Iculpe,https://www.booking.com/hotel/cl/cabana-rio-iculpe.es.html?aid=2410095,"Cabaña Río Iculpe, que cuenta con terraza, ofrece alojamiento en Lago Ranco con wifi gratis y vistas al río. Esta casa o chalet dispone de jardín y parking privado gratis.

La casa o chalet dispone de 2 dormitorios, cocina con nevera y horno, lavadora y 1 baño.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 89 km.","Muebles de exterior, Terraza, Extintores, Información turística, Sofá cama, WiFi gratis, Registro de entrada / salida privado, Horno, Prohibido fumar en todo el alojamiento, Español, Vistas al río, Terraza / solárium, Calefacción, Microondas, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Cocina, Lavadora, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518040604.jpg?k=d8257bc1e8cb0f39250229f4e16c5437e18f7ba5afa0870e1f6f0f782ed14879&o=&hp=1,Lago Ranco,Chile
Cabañas Mas Ke Miel,https://www.booking.com/hotel/cl/cabanas-mas-ke-miel.es.html?aid=2410095,"El Cabañas Mas Ke Miel se encuentra a 2 km de Lago Ranco, con vistas al lago y a las montañas.

En la localidad de Lago Ranco hay un bonito paseo marítimo, miradores naturales, museo, restaurante, supermercado, farmacia, gasolinera, banco estatal y actividades recreativas, como equitación, bicicletas, excursiones, kayaks y recorridos en barco.

El establecimiento puede gestionar servicios de traslado, por un suplemento.","Terraza, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Extintores, Productos de limpieza, Ropa de cama, Vistas al jardín, Zona de comedor, Sofá cama, Cama plegable, Perchero, Vistas a un lugar de interés, Sofá, WiFi gratis, Enchufe cerca de la cama, Patio, Zona de estar, Traslado aeropuerto, Fogones, Suelo de madera o parquet, Servicio de entrega de comestibles, TV, Español, Independiente, Calefacción, Pesca, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Vistas a la ciudad, Ducha, Vistas al lago, Mesa de comedor, Armario, Toallas, Artículos de aseo gratis, Canales de pago, Parque acuático, Senderismo, Vistas, Bañera de hidromasaje / jacuzzi, Jardín, Proporciona factura, Servicio de habitaciones, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Recepción 24 horas, Toda la unidad en la planta baja, Habitaciones familiares, Zona de comedor exterior, Cocina, Balcón, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/148119296.jpg?k=368d3960c9219f7a63d81e3281efde75a33921f5e40a721fa03eae4bb86a5a17&o=&hp=1,Lago Ranco,Chile
Habitación doble en Parcela en Lago Ranco,https://www.booking.com/hotel/cl/parcela-en-camino-piedra-mesa.es.html?aid=2410095,"Habitación doble en Parcela en Lago Ranco se encuentra en Lago Ranco y ofrece terraza. Esta habitación en casa particular dispone de jardín y parking privado gratis.

Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 84 km.","Terraza, Tetera / cafetera, Ropa de cama, Zona de comedor, Bañera, Prohibido fumar en todo el alojamiento, Español, Calefacción, Vistas al lago, Ducha, Papel higiénico, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Secador de pelo, WC, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513662853.jpg?k=54e95ea518f4699996b5041df4f86e5014056235878a6989e52e8b03d013713a&o=&hp=1,Lago Ranco,Chile
cabaña trafwe,https://www.booking.com/hotel/cl/cabana-trafwe.es.html?aid=2410095,"Cabaña trafwe se encuentra en Lago Ranco, en la región de Los Ríos, y dispone de patio. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

El chalet de montaña cuenta con 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y terraza con vistas al río.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 80 km del alojamiento.","Terraza, TV de pantalla plana, Productos de limpieza, Ropa de cama, Zona de comedor, Balcón, Perchero, Sofá, Enchufe cerca de la cama, Patio, Barbacoa, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Vistas al río, Calefacción, Microondas, Utensilios de cocina, Ducha, Mesa de comedor, Armario, Toallas, Vistas, Chimenea, Suelo de baldosa / mármol, Canales por cable, Hervidor eléctrico, Parking gratis, Baño privado, Cocina, Lavadora, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561700345.jpg?k=428fc9d08962ebd0439671ada901db6d29377cba060793af1e724a55b088c448&o=&hp=1,Lago Ranco,Chile
Vistaranco,https://www.booking.com/hotel/cl/vistaranco-lago-ranco7.es.html?aid=2410095,"Vistaranco se encuentra en Lago Ranco, en la región de Los Ríos, y dispone de balcón y vistas al jardín. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

La casa o chalet se compone de 2 dormitorios, una cocina totalmente equipada y 1 baño. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 85 km del alojamiento.","Parking gratis, Baño privado, Terraza, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Vistas, Cocina, Vistas al jardín, WiFi gratis, Español, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581395783.jpg?k=d519ccf2f8b477e3224badc196ba71519a81a8efe22a9562ea1c9c326a6bc272&o=&hp=1,Lago Ranco,Chile
Casa de campo,https://www.booking.com/hotel/cl/casa-de-campo-lago-ranco1.es.html?aid=2410095,"Casa de campo se encuentra en Lago Ranco y ofrece jardín, salón de uso común y terraza. Esta casa o chalet ofrece parking privado gratis y recepción 24 horas.

La casa o chalet dispone de 2 dormitorios, TV de pantalla plana con canales vía satélite, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha.

Se puede practicar ciclismo en los alrededores.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 87 km del alojamiento.","Peluquería / salón de belleza, Terraza, Tetera / cafetera, TV de pantalla plana, Llave de acceso, Productos de limpieza, Ropa de cama, Vistas al jardín, Información turística, Toda la unidad accesible en silla de ruedas, Zona de fumadores, Perchero, Sofá, Enchufe cerca de la cama, Tendedero, Registro de entrada y salida exprés, Patio, Zona de estar, Registro de entrada / salida privado, Fogones, Entrada privada, Mobiliario exterior, Horno, TV, Español, Independiente, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Ducha, Vistas a un patio interior, Armario, Vistas, Chimenea, Jardín, Canales por cable, Tours a pie, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Lavavajillas, Ciclismo, Recepción 24 horas, Zona TV / salón de uso compartido, WC, Accesible para personas sordas, Zona de pícnic, Habitaciones familiares, Cocina, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505068676.jpg?k=7ecab0e1cb20ac485c2a9baaf6ec7c30cf878f58195488ec3dee169c2b891fca&o=&hp=1,Lago Ranco,Chile
Cabaña Bello entorno natural!,https://www.booking.com/hotel/cl/cabana-bello-entorno-natural.es.html?aid=2410095,"Cabaña Bello entorno natural! está en Lago Ranco. Este apartamento dispone de jardín y parking privado gratis.

El apartamento tiene terraza, 1 dormitorio, sala de estar y cocina bien equipada con nevera.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 81 km.","Nevera, Parking gratis, Terraza, Jardín, Tetera / cafetera, Prohibido fumar en todo el alojamiento, Calefacción, Vistas al jardín, Habitaciones familiares, Cocina, Español, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527260739.jpg?k=96cabdcdf6151116f329725fd85b0ccf93517d87120c88c5565feb33455f4669&o=&hp=1,Lago Ranco,Chile
