hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Huella,https://www.booking.com/hotel/pe/hostal-huella.es.html?aid=2410095,"Hostal Huella está en Lambayeque, a 10 km de Estadio Elías Aguirre, y dispone de alojamiento con jardín y parking privado gratis. Este hotel de 2 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene habitaciones familiares.

En el hotel, cada habitación dispone de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 14 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Traslado aeropuerto, Perchero, Papel higiénico, WiFi gratis, TV, Inglés, WC, Canales por cable, Portugués, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Vistas, Servicio de streaming (como Netflix), Recepción 24 horas, Escritorio, Ropa de cama, TV de pantalla plana, Traslado aeropuerto (gratis), Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573719978.jpg?k=13d466d446687c567a37c577d77a627f83614bfb9af37999871935df7dc744e8&o=&hp=1,Lambayeque,Perú
Hostal Tulipán Rojo,https://www.booking.com/hotel/pe/hostal-tulipan-rojo.es.html?aid=2410095,"Hostal Tulipán Rojo se encuentra en Lambayeque, a 10 km de Estadio Elías Aguirre, y ofrece alojamiento con wifi gratis y parking privado gratis. Todas las habitaciones disponen de TV de pantalla plana con canales vía satélite y baño privado. El alojamiento dispone de recepción 24 horas y mostrador de información turística.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 14 km del alojamiento.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Canales vía satélite, Parking gratis, Servicio de limpieza diario, Perchero, Bañera o ducha, Seguridad 24 horas, Papel higiénico, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Canales por cable, Proporciona factura, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Recepción 24 horas, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527706112.jpg?k=dd69cca771ef2c5f806acf0b0f593245536c1d3390fbb5d89ba5b08d013cf06d&o=&hp=1,Lambayeque,Perú
Hotel Begonias,https://www.booking.com/hotel/pe/begonias-chiclayo.es.html?aid=2410095,"Hotel Begonias está en Lambayeque, a 1,9 km de Estadio Elías Aguirre, y dispone de servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y terraza. Este hotel de 2 estrellas ofrece servicio de habitaciones y recepción 24 horas. El alojamiento ofrece servicio de traslado gratuito, mostrador de información turística y cambio de moneda.

En el hotel, las habitaciones incluyen escritorio, TV, baño privado, ropa de cama y toallas. Todas las habitaciones tienen armario.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Cambio de moneda, Servicio de limpieza diario, Perchero, Terraza, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Toallas / sábanas (por un suplemento), WC, Canales por cable, Proporciona factura, Servicio de traslado, Servicio de habitaciones, Zona de fumadores, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Centro de negocios, Fax / fotocopiadora, Español, Baño privado, Habitaciones sin humo, Vistas, Extintores, Supermercado pequeño en el alojamiento, Zona TV / salón de uso compartido, Recepción 24 horas, Servicio de despertador / alarma, Guardaequipaje, Peluquería / salón de belleza, Escritorio, Ropa de cama, Ducha, Ventilador, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/37680001.jpg?k=ad2d965b2f10cc8ac10f6ae5b7acdd1289552563d3d79e83789b07386f139cf6&o=&hp=1,Lambayeque,Perú
Casa Thiago,https://www.booking.com/hotel/pe/casa-thiago-lambayeque.es.html?aid=2410095,"Casa Thiago ofrece alojamiento en Lambayeque, a 1,9 km de Estadio Elías Aguirre.

Este apartamento se compone de 1 dormitorio y 1 baño con ducha y bañera, y cuenta con TV por cable.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 5 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Fruta, Desayuno, Cambio de moneda, Traslado aeropuerto, Salas de reuniones / banquetes, Bañera o ducha, Armario, Papel higiénico, TV, Inglés, WC, Canales por cable, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Bañera, Español, Baño privado, Enchufe cerca de la cama, Supermercado pequeño en el alojamiento, Suelo de baldosa / mármol, Escritorio, Entrada privada, Ducha, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584763771.jpg?k=43b9ef85f86f8d84b913c9e95e2d10c42036b3f9c4e172e2d3a6f6b40531fba2&o=&hp=1,Lambayeque,Perú
Hotel Casa de la Luna,https://www.booking.com/hotel/pe/casa-de-la-luna.es.html?aid=2410095,"El Hotel Casa de la Luna se encuentra en Chiclayo y ofrece restaurante, piscina cubierta y habitaciones con conexión Wi-Fi gratuita y aire acondicionado. Hay aparcamiento gratuito. La playa de Pimentel está a 12 minutos en coche.

Las habitaciones del Hotel Casa de la Luna son amplias y luminosas y están equipadas con TV. Algunas cuentan con bañera de hidromasaje y balcón privado.

Todos los días se sirve un buffet.

El Hotel Casa de la Luna se encuentra a 7 minutos del centro comercial Real Plaza, a 5 minutos del centro comercial Aventura Plaza y a 10 minutos en coche del aeropuerto José Abelardo Quiñones.

Las tumbas reales de Sipan están a 15 minutos en coche.","Minibar, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Vistas a un patio interior, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, TV, Inglés, Baños públicos, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Cafetería en el alojamiento, Centro de negocios, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Parking en la calle, Piscina al aire libre, Habitaciones sin humo, Restaurante, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Buen desayuno, Ducha, Horario de apertura, Piscina en la azotea, Parking adaptado para personas de movilidad reducida, Teléfono, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/344359939.jpg?k=6474c3072881441153ba20eb06e457400adb93c2e79104ed4f86d174f337346d&o=&hp=1,Lambayeque,Perú
Hotel Solec,https://www.booking.com/hotel/pe/solec-bussines.es.html?aid=2410095,"Hotel Solec está en Chiclayo, a 18 min a pie de Estadio Elías Aguirre, y dispone de alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas ofrece bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones incluyen escritorio y TV de pantalla plana. Las habitaciones del alojamiento disponen de baño privado con ducha y artículos de aseo gratuitos, y algunas habitaciones también incluyen zona de estar. Todas las habitaciones tienen armario.

En Hotel Solec se sirve cada mañana un desayuno buffet.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Servicio de planchado, Menús para dietas especiales (bajo petición), Parking gratis, Aseo adicional, Cambio de moneda, Traslado aeropuerto, Servicio de limpieza diario, Llave de acceso, Perchero, Happy hour, Terraza, Salas de reuniones / banquetes, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Registro de entrada / salida privado, Información turística, Centro de negocios, Zona de fumadores, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Buen desayuno, Ducha, Teléfono",https://cf.bstatic.com/xdata/images/hotel/max1024x768/89575138.jpg?k=75a290f38e5a12530277316a86d0a4ffb33dca8ddf82ffbf0b230510886a47de&o=&hp=1,Lambayeque,Perú
"CENTRICO, COMODO Y CON ACCESO A PARADEROS",https://www.booking.com/hotel/pe/centrico-comodo-y-con-acceso-a-paraderos-chiclayo.es.html?aid=2410095,"CENTRICO, COMODO Y CON ACCESO A PARADEROS está en Chiclayo y dispone de alojamiento con wifi gratis a 2,6 km de Estadio Elías Aguirre.

Este apartamento tiene acceso a un patio y cuenta con 1 dormitorio. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Prohibido fumar en todo el alojamiento, Plancha para pantalones, Perchero, Bañera o ducha, Papel higiénico, WiFi gratis, Inglés, Alemán, Toallas / sábanas (por un suplemento), WC, Toallas, Artículos de aseo gratis, Independiente, Productos de limpieza, Bañera, Español, Patio, Enchufe cerca de la cama, Vistas, Vestidor, Suelo de baldosa / mármol, Tendedero, Entrada privada, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541779547.jpg?k=818aacf3c2508fb6fc86aa2525ca1e3e4158b87d15e07a19425e092a54389739&o=&hp=1,Lambayeque,Perú
Acogedora habitación privada en Chiclayo.,https://www.booking.com/hotel/pe/acogedora-habitacion-privada-en-chiclayo.es.html?aid=2410095,"Acogedora habitación privada en Chiclayo. Está en Chiclayo y dispone de alojamiento con wifi gratis a 2,8 km de Estadio Elías Aguirre.

Este apartamento consta de 1 dormitorio y 1 baño con ducha y bañera, y dispone de TV de pantalla plana.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Papel higiénico, Vistas, Prohibido fumar en todo el alojamiento, Español, WiFi gratis, Inglés, Productos de limpieza, Escritorio, TV de pantalla plana, Entrada privada, WC, Bañera, Ducha, Baño privado, Bañera o ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535437184.jpg?k=664549c4a4e884ae60649b90454b1166bbef52217828f60e283737ad78b98e5f&o=&hp=1,Lambayeque,Perú
Hotel Royal Olympic,https://www.booking.com/hotel/pe/royalv-olympic.es.html?aid=2410095,"Hotel Royal Olympic está en Chiclayo, a 12 min a pie de Estadio Elías Aguirre, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento tienen un balcón con vistas a la ciudad.

En el hotel, las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Hotel Royal Olympic se sirve cada mañana un desayuno continental.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 5 km.","Fruta, Servicio de planchado, Desayuno, Piscina con vistas, Zona de comedor, Parking gratis, Menús para dietas especiales (bajo petición), Sombrillas, Llave de acceso, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Bar, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Para todas las edades, Alarma de seguridad, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Toallas, Toallas de playa/piscina, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Almuerzos para llevar, Ascensor, Abierta todo el año, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Horario de apertura, Español, Parking en la calle, Máquina expendedora (bebidas), Piscina al aire libre, Enchufe cerca de la cama, Restaurante, Vestidor, Extintores, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Desayuno en la habitación, Máquina expendedora (aperitivos), Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363318997.jpg?k=95df651ac66b62cc9a2bbfe96d80baf90c75daef0dc5f9916fc3306696d9c420&o=&hp=1,Lambayeque,Perú
HOTEL REY DE ORO,https://www.booking.com/hotel/pe/rey-de-oro-chiclayo.es.html?aid=2410095,"HOTEL REY DE ORO ofrece alojamiento en Chiclayo. Este hotel de 2 estrellas ofrece salón de uso común, servicio de habitaciones y wifi gratis. Este alojamiento libre de humo está a 6 min a pie de Estadio Elías Aguirre.

Las habitaciones cuentan con baño privado con ducha, y algunas también ofrecen vistas al jardín. En el hotel, cada habitación tiene armario y TV de pantalla plana.

La recepción ofrece información sobre cómo y por dónde moverse en la zona.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 4 km.","Prohibido fumar en todo el alojamiento, Plancha para pantalones, Parking gratis, Servicio de limpieza diario, Bañera o ducha, Armario, Papel higiénico, Mobiliario exterior, Detectores de humo, WiFi gratis, TV, WC, Servicio de habitaciones, Toallas, Bañera de hidromasaje / jacuzzi, Bañera, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/489822061.jpg?k=c173112b272cb1f006a9a2709530055ab7942a30dcefab751210c3da4ce935bf&o=&hp=1,Lambayeque,Perú
