hotel,hotel_url,description,popular_facilities,highres_url,city,country
Cabañas Quebrada del Pueblo,https://www.booking.com/hotel/pa/cabanas-quebrada-del-pueblo.es.html?aid=2410095,"Cabañas Quebrada del Pueblo está en Dolega y ofrece terraza. Este apartamento tiene jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio y 1 baño con ducha y bañera. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 20 km.","Baño privado, Prohibido fumar en todo el alojamiento, Wifi rápida gratis (66 Mbps), Vistas, Zona de estar, Desayuno, Perchero, Aire acondicionado, Ducha, Parking gratis, Español, Inglés, Bañera o ducha, Bañera, Papel higiénico, Armario, Jardín, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527156845.jpg?k=536fa750d05521101064fdbbee2d00f0905a8792f9ee9e339c1eef02fec004e5&o=&hp=1,Las Cañas,Panamá
Waterfall Hostel,https://www.booking.com/hotel/pa/waterfall-hostel.es.html?aid=2410095,"El Waterfall Hostel dispone de restaurante y piscina al aire libre, y se encuentra en Dolega, junto al río David. Está situado a solo 20 minutos en coche del distrito de David y ofrece conexión WiFi gratuita.

Las habitaciones cuentan con zona de estar, ropa de cama y utensilios de planchado.

El Waterfall Hostel dispone de aparcamiento gratuito, recepción 24 horas, bar, jardín, salón compartido, sala de juegos e instalaciones para practicar deportes acuáticos. La oferta de actividades del establecimiento y los alrededores incluye un parque acuático.

El aeropuerto internacional Enrique Malek se encuentra a 30 minutos en coche.","Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Proporciona factura, Sala de juegos, Servicio de despertador, Parque acuático, Abierta todo el año, Registro de entrada / salida privado, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Detectores de humo, Zona de juegos para niños, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Submarinismo, Guardaequipaje, Para todas las edades, Equipamiento de juegos para exterior, Restaurante, Tendedero, Horario de apertura, Fax / fotocopiadora, Zona de estar, Snorkel, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Senderismo, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Terraza, WiFi gratis, Mobiliario exterior, Zona de juegos interior, Extintores, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Seguridad 24 horas, Bar, Patio, Juguetes para la piscina, Habitaciones familiares, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Papel higiénico, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Cafetería en el alojamiento, Toallas, Información turística, 2 piscinas, Noches de cine, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Barbacoa, Snack-bar, Perchero, Chimenea exterior, Bar en la piscina, WC, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/124532538.jpg?k=ffb57e24e29f1ec9ac521702ccdbd1eecb7896f5e3c74af53424511085a09c57&o=&hp=1,Las Cañas,Panamá
Hostal EL VALLE,https://www.booking.com/hotel/pa/hostal-los-valle-de-algarrobo.es.html?aid=2410095,"Hostal EL VALLE, que cuenta con jardín, se encuentra en Los Algarrobos. Hay terraza, wifi gratis y parking privado gratis.

Las habitaciones del alojamiento disponen de baño privado con bañera, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones tienen patio.

En la recepción 24 horas se habla inglés y español, y el personal estará encantado de dar información sobre la zona.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 13 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Supermercado pequeño en el alojamiento, Extintores, Parking en un garaje, Seguridad 24 horas, Recepción 24 horas, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Parking gratis, Español, Habitaciones hipoalergénicas, Caja fuerte, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Máquina expendedora (bebidas), Servicio de habitaciones, Servicio de limpieza diario, Bañera, Papel higiénico, Jardín, Alarma de seguridad, Llave de acceso, Habitaciones insonorizadas, Toallas, Información turística, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574894080.jpg?k=9fb6feb9c86c38395cff7242b1467e5a19cddec10db161a79c93a5d33febc243&o=&hp=1,Las Cañas,Panamá
HOTEL Ecológico BLUEROCK,https://www.booking.com/hotel/pa/bluerock.es.html?aid=2410095,"HOTEL Ecológico BLUEROCK está en David y tiene jardín, terraza, restaurante y wifi gratis. El hotel dispone de habitaciones familiares.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 15 km.","Habitaciones familiares, Restaurante, Equitación, Parking gratis, WiFi gratis, Terraza / solárium, Jardín, Español, Cámaras de seguridad fuera del alojamiento, Información turística, Senderismo, Aire acondicionado, Terraza, Habitaciones sin humo, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/471987649.jpg?k=1f16557f84ebae5fdd99602ea4c63116fbfeb887e64fb002575b600ecfb858bb&o=&hp=1,Las Cañas,Panamá
Hacienda Los Molinos Boutique Hotel & Villas,https://www.booking.com/hotel/pa/boutique-la-casa-del-risco.es.html?aid=2410095,"Este hotel boutique ofrece una piscina al aire libre con jardines exuberantes y vistas panorámicas al cañón del río Cochea y al volcán Barú. Hay WiFi gratuita en todas las instalaciones.

Las habitaciones de la Hacienda Los Molinos Boutique Hotel cuentan con TV vía satélite y caja fuerte. Todas disponen de minibar y cafetera, mientras que el baño incluye artículos de aseo y secador de pelo. Las villas también tienen cocina y sala de estar.

Los huéspedes podrán disfrutar de comidas caseras en el restaurante o desayunar en la terraza con vistas al volcán. El piano bar ofrece música en directo y vistas maravillosas.

La Hacienda Los Molinos Boutique Hotel está justo a las afueras del parque nacional Volcán Barú, en el barrio residencial de Hacienda Los Molinos. La localidad de Boquete se encuentra a 10 minutos en coche, mientras que David está a 20 minutos.","Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, WiFi gratis, Spa y centro de bienestar, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Corte de pelo, Servicio de traslado, Menú para niños, Fax / fotocopiadora, Extintores, Manicura, Español, Sala de juegos, Clases de fitness, Servicios de maquillaje, Karaoke, Parking adaptado para personas de movilidad reducida, Terapia con luz, Piscina al aire libre, Snack-bar, Equipamiento de tenis, Pista de tenis, Teléfono, Abierta todo el año, Seguridad 24 horas, Bar, Aire acondicionado, Paquetes de spa / bienestar, Masajes, Tinte, Habitaciones familiares, Desayuno excepcional, Pedicura, Toallas de playa/piscina, Parking gratis, Terraza / solárium, WC con barras de apoyo, Baño de vapor, TV, Gimnasio, Adaptado personas de movilidad reducida, Detectores de humo, Caja fuerte, Adaptado para sillas de ruedas, Zona de juegos para niños, Inglés, Senderismo, Chimenea exterior, Traslado aeropuerto, Servicios de belleza, Cámaras de seguridad en las zonas comunitarias, Tratamientos faciales, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Tratamientos corporales, Instalaciones de spa, Armario, Jardín, Clases de yoga, Envoltura corporal, Tour o clase sobre cultura local, Tratamientos capilares, Servicios de depilación, Happy hour, Desayuno en la habitación, Guardaequipaje, Información turística, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/167314394.jpg?k=2b7d1f1ee30a95c4d4c34299a36dfc906fde27a44a985f33ac6993d754e7b3e3&o=&hp=1,Las Cañas,Panamá
Casa Mía Suite de invitados con habitación privada,https://www.booking.com/hotel/pa/casa-mia-suite-de-invitados-con-habitacion-privada.es.html?aid=2410095,"Casa Mía Suite de invitados con habitación privada, que cuenta con terraza, ofrece alojamiento en Dolega con wifi gratis y vistas al jardín. Este apartamento dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y secador de pelo. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 14 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Tendedero, Utensilios de cocina, Canales por cable, Escritorio, Vistas al jardín, Enchufe cerca de la cama, Juegos de mesa / puzles, Cafetera, Secador de pelo, Tetera / cafetera, Fogones, Patio, Aire acondicionado, Habitaciones familiares, Ducha, Entrada privada, Plancha para ropa, Parking gratis, Español, TV, Sofá cama, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Bañera, Armario, Nevera, Jardín, Zona de cocina, Microondas, Toallas, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523031849.jpg?k=c83fdd678e154682baa50883a88b5c9beeb9aa61eb465088604a1932fa6a0319&o=&hp=1,Las Cañas,Panamá
Wanakaset Panama,https://www.booking.com/hotel/pa/wanakaset-panama.es.html?aid=2410095,"Wanakaset Panama está en Dolega, en la región de Chiriquí, y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades están equipadas con terraza con vistas al jardín, cocina con nevera y lavavajillas, y baño privado con ducha. También hay horno, fogones y tostadora, además de cafetera y hervidor.

La casa o chalet tiene barbacoa y jardín.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 28 km.","Baño privado, Insonorización, Servicio de entrega de comestibles, Cocina, Independiente, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Vistas, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Salas de reuniones / banquetes, Zona de fumadores, Productos de limpieza, Lavavajillas, Escritorio, Lavadora, Zona de estar, Proporciona factura, Extintores, Zona de comedor exterior, Barbacoa, Horno, Vistas al jardín, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Cafetera, Francés, Soporte para iPod, Fogones, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Terraza / solárium, Terraza, Suelo de baldosa / mármol, Español, Detectores de humo, Mesa de comedor, Inglés, Secadora de ropa, Bañera o ducha, Hervidor eléctrico, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Sombrillas, Armario, Toda la unidad en la planta baja, Jardín, Llave de acceso, Ropa de cama, Tostadora, Camas extralargas (más de 2 metros), Suelo de madera o parquet, Toallas, Guardaequipaje, Nevera, Mosquitera",https://cf.bstatic.com/xdata/images/hotel/max1024x768/423355343.jpg?k=eb1fcb8afa01625df3932052d4a0037513bf70f93294e1825454f90ad2ebffb6&o=&hp=1,Las Cañas,Panamá
Sancarlosbeach,https://www.booking.com/hotel/pa/sancarlosbeach.es.html?aid=2410095,"Sancarlosbeach se encuentra en San Carlos y dispone de jardín, terraza, restaurante y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación incluye aire acondicionado y baño privado.

En Sancarlosbeach se sirve todos los días un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 20 km del alojamiento.","Baño privado, Restaurante, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Toallas / sábanas (por un suplemento), Desayuno, Perchero, Recepción 24 horas, Playa, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, Inglés, Habitaciones sin humo, Bañera, Servicio de habitaciones, Papel higiénico, Jardín, Microondas, 2 restaurantes, Toallas, Ropa de cama, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547839787.jpg?k=327724052e531a489221da6455c4380a9de8c9fd1b12b5c6695ea4b7c7893996&o=&hp=1,Las Cañas,Panamá
San Carlos beach in,https://www.booking.com/hotel/pa/san-carlos-beach-in.es.html?aid=2410095,"San Carlos beach in se encuentra en San Carlos. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece restaurante. Todas las habitaciones cuentan con balcón.

En el hotel, todas las habitaciones tienen terraza. En San Carlos beach in, todas las habitaciones están equipadas con aire acondicionado y baño privado.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 20 km.","Servicio de habitaciones, Baño privado, Prohibido fumar en todo el alojamiento, Parking gratis, Vistas, Español, Artículos de aseo gratis, Toallas, Ropa de cama, Aire acondicionado, Balcón, Terraza, TV de pantalla plana, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541286820.jpg?k=914f94a93b7f8025bc6580278aa5551ffe8ffaa07fd0b90bd028f9cf036a3dde&o=&hp=1,Las Cañas,Panamá
CASA MARLE,https://www.booking.com/hotel/pa/casa-marle.es.html?aid=2410095,"CASA MARLE está en Boquete, en la región de Chiriquí, y tiene patio. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

La casa o chalet se encuentra en la planta baja y tiene 3 dormitorios, TV de pantalla plana con canales por cable y cocina totalmente equipada con nevera y microondas. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 30 km.","Habitaciones comunicadas disponibles, Independiente, Cocina, WiFi gratis, Vistas, Tendedero, Vistas a un patio interior, Utensilios de cocina, Canales por cable, Productos de limpieza, Toallas / sábanas (por un suplemento), Zona de estar, Parking en un garaje, Enchufe cerca de la cama, Aseo adicional, Cafetera, Artículos de aseo gratis, Patio, Hipoalergénico, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Plancha para pantalones, Inglés, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Papel higiénico, Nevera, Toda la unidad en la planta baja, Zona de cocina, Microondas, Toallas, Información turística, Ropa de cama, Vistas a un lugar de interés, Zona de comedor, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/220107793.jpg?k=db90dd6cfbb29d260b16c9bd884767428641241afe8ff734ae95e09aa2a2ee43&o=&hp=1,Las Cañas,Panamá
