hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Las Americas Golden Tower Panamá,https://www.booking.com/hotel/pa/las-americas-golden-tower-panama.es.html?aid=2410095,"El Hotel Las Américas Golden Tower Panamá está situado en el centro del distrito comercial de la ciudad de Panamá, justo enfrente del hospital Paitilla, y ofrece piscina cubierta climatizada y WiFi gratuita.

Los alojamientos son de lujo y tienen una decoración moderna, TV de pantalla plana, cafetera, caja fuerte y baño con secador de pelo y artículos de aseo gratuitos.

El Hotel Las Américas Golden Tower Panamá también alberga un spa completo con 3 cabinas de masaje, baño turco, sauna y piscina de agua salada para masajes y tratamientos especializados.

Se incluye centro de fitness, restaurante, instalaciones para reuniones y tiendas.

Además, el establecimiento se encuentra a 5 km del centro histórico de Panamá, donde está el Museo del Canal de Panamá, situado a 15 minutos en coche. El aeropuerto internacional de Tocumen está a 25 minutos en coche.","Restaurante, Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, Insonorización, WiFi gratis, Vistas, Calefacción, Mosquitera, Vistas a la ciudad, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Escritorio, Extintores, Parking en un garaje, Enchufe cerca de la cama, Servicio de despertador, Buen desayuno, Cafetera, Artículos de aseo gratis, Teléfono, Abierta todo el año, Secador de pelo, Seguridad 24 horas, Recepción 24 horas, Ascensor, Aire acondicionado, Baños públicos, Habitaciones familiares, Ducha, Centro de negocios, Radio, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Gimnasio, Habitaciones hipoalergénicas, Detectores de humo, Piscina interior, Caja fuerte, Adaptado personas de movilidad reducida, Secadora de ropa, Servicio de lavandería, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Instalaciones de spa, Armario, Reloj despertador, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Habitaciones insonorizadas, Toallas, Minibar, Información turística, Tarjeta de acceso, Acceso a pisos superiores en ascensor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/79650721.jpg?k=6179d1854e03dfe8d681c66ad47f5b23b32809c6b2631eb5ecd980a5c0cc42d3&o=&hp=1,Las Juntas,Panamá
Riande Aeropuerto Hotel Casino,https://www.booking.com/hotel/pa/riande-aeropuerto-resort.es.html?aid=2410095,"Este hotel moderno de 4 estrellas se encuentra a 5 minutos en coche del aeropuerto internacional de Tocumen y ofrece un servicio gratuito de traslado (ida y vuelta) al hotel. En el establecimiento hay jardines tropicales y una piscina exterior grande.

Las habitaciones del Riande Aeropuerto Hotel Casino presentan una decoración elegante y disponen de TV de pantalla plana y aire acondicionado. También incluyen baño privado con secador de pelo y artículos de aseo. Hay servicio de habitaciones.

El Cafe La Veranda prepara platos de cocina local. El Riande Aeropuerto Hotel Casino cuenta con diferentes instalaciones a disposición de los huéspedes, como mesa de ping pong, zona de paintball, bañera de hidromasaje y pistas de tenis y pádel. Además, el hotel alberga un centro de negocios, una tienda de regalos, una zona infantil, un centro de fitness, salas de reuniones y salones para eventos.

El hotel queda a 23 km del centro histórico de la ciudad de Panamá. En el establecimiento se aceptan mascotas.","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Sala de juegos, Cajero automático en el hotel, Servicio de despertador, Pista de tenis, Abierta todo el año, Hipoalergénico, Entrada privada, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Máquina expendedora (bebidas), Servicio de habitaciones, Habitaciones sin humo, Instalaciones de spa, Suelo de madera o parquet, Tarjeta de acceso, Guardaequipaje, Para todas las edades, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Horario de apertura, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Baño al aire libre, Secador de pelo, Alquiler de coches, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Buffet para niños, Plancha para pantalones, Servicio de lavandería, Máquina expendedora (aperitivos), Traslado aeropuerto, Utensilios de planchado, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Productos de limpieza, Escritorio, Zona de juegos interior, Extintores, Parking en un garaje, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Desayuno, Aseo adicional, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Baños públicos, Bar, Zona de spa / relajación, Habitaciones familiares, Radio, Toallas de playa/piscina, Suelo de baldosa / mármol, Caja fuerte, Adaptado para sillas de ruedas, Secadora de ropa, Boles para mascotas, Billar, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Reloj despertador, Llave de acceso, Toallas, Información turística, Tumbonas/sillas de playa, Casino, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Servicio de traslado, Barbacoa, Cambio de moneda, Artículos de aseo gratis, Perchero, Centro de negocios, Servicio de despertador / alarma, Armario, Bar en la piscina, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/131206651.jpg?k=b9ca422f30badfa1b6926c0dac75d90860238dbfd6d34f40850176a665171a2c&o=&hp=1,Las Juntas,Panamá
Summit Rainforest Golf Resort & All Inclusive,https://www.booking.com/hotel/pa/radisson-summit.es.html?aid=2410095,"El Summit Rainforest & Golf Resort está ubicado en plena selva tropical, dentro del parque nacional Camino de Cruces y a solo 2 km del canal de Panamá. Ofrece 2 piscinas al aire libre, 4 senderos naturales, una granja de mariposas y una granja de ranas, un campo de golf de 18 hoyos y un centro de rescate y rehabilitación.

Las habitaciones del Summit Hotel & Golf son elegantes y están equipadas con aire acondicionado, balcón privado, TV por cable de pantalla plana, soporte para iPod y artículos de aseo.

El Summit Hotel alberga 2 restaurantes y un bar, en los que se puede disfrutar de platos de cocina internacional y vistas espectaculares. Todos los días se sirve un desayuno continental gratuito.

Hay mostrador de información turística y recepción 24 horas con servicio de alquiler de coches. Además, proporciona un servicio de traslado gratuito en un horario programado a las esclusas de Miraflores y al centro comercial Albrook, ambos situados a poca distancia. El establecimiento se halla a 25 minutos en coche del centro de Panamá y a 30 minutos en coche del aeropuerto. Los huéspedes disponen de servicio de enlace con el aeropuerto, por un suplemento.","Zapatillas, Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Servicio de despertador, Cafetera, Abierta todo el año, Cesta para mascotas, Registro de entrada / salida privado, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Inglés, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Balcón, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Horario de apertura, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Vistas al jardín, Secador de pelo, Aire acondicionado, Tours a pie, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Buffet para niños, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Campo de golf (a menos de 3 km), WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Servicio de limpieza en seco, Extintores, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Radio, Toallas de playa/piscina, Albornoz, Boles para mascotas, Billar, Bañera o ducha, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Llave de acceso, Toallas, Desayuno en la habitación, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Canales vía satélite, Servicio de traslado, Apoyo visual: braille, Barbacoa, Artículos de aseo gratis, Ascensor, Dardos, Centro de negocios, Servicio de despertador / alarma, Taquillas, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/266533896.jpg?k=1ae06bb30651714d77addd0b55089919655aecc0c894c960a959a7de32cb1da8&o=&hp=1,Las Juntas,Panamá
"Crowne Plaza Airport, an IHG Hotel",https://www.booking.com/hotel/pa/crowne-plaza-airport.es.html?aid=2410095,"El Crowne Plaza Airport ofrece alojamiento en Tocumen, a solo 200 metros del aeropuerto internacional de Tocumen, y proporciona un servicio de traslado gratuito desde el aeropuerto, así como conexión a internet gratuita en todo el establecimiento.

Algunas habitaciones incluyen una zona de estar. También tienen cafetera y TV.

El establecimiento cuenta con un bar.


La ciudad de Panamá se encuentra a 21 km del Crowne Plaza Airport, mientras que el canal de Panamá está a 24 km.","Baño privado, Servicio de planchado, Insonorización, Zona de fumadores, Menú para niños, Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Canguro / servicios para niños, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fax / fotocopiadora, Caja fuerte para ordenador portátil, Secador de pelo, Traslado aeropuerto (gratis), Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Sofá, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Buen desayuno, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Radio, Caja fuerte, Adaptado para sillas de ruedas, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Llave de acceso, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Canales vía satélite, Servicio de traslado, Artículos de aseo gratis, Snack-bar, Ascensor, Centro de negocios, Servicio de despertador / alarma, Armario, Parking privado, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/233441510.jpg?k=cd4c4e7c95fbf24c901393a15791fd151657b2af9d318faa9a0a47822d0c7c8d&o=&hp=1,Las Juntas,Panamá
Taboga Palace SPA Hotel,https://www.booking.com/hotel/pa/taboga-palace-spa.es.html?aid=2410095,"El Taboga Palace SPA Hotel, situado en Taboga, ofrece solárium e instalaciones para practicar deportes acuáticos. También alberga un bar. Además, el Taboga Palace SPA Hotel ofrece solárium y piscina de borde infinito.

Algunos alojamientos cuentan con zona de estar y también hay habitaciones con vistas al mar. Todas incluyen balcón privado y baño privado con ducha, albornoces y zapatillas.

Además, el establecimiento cuenta con salón compartido.

En los alrededores se pueden practicar diversas actividades, como snorkel, pesca y piragüismo. El Taboga Palace SPA Hotel se encuentra a 21 km de la ciudad de Panamá y a 40 km de Gamboa. El aeropuerto internacional de Tocumen, el más cercano, se halla a 36 km.","Zapatillas, Baño privado, Zona TV / salón de uso compartido, Piscina de agua salada, Cajero automático en el hotel, Abierta todo el año, Playa, Registro de entrada / salida privado, Instalaciones para deportes acuáticos en el alojamiento, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Submarinismo, Guardaequipaje, Para todas las edades, Balcón, Prohibido fumar en todo el alojamiento, Tendedero, Spa y centro de bienestar, Salas de reuniones / banquetes, Fax / fotocopiadora, Zona de estar, Snorkel, Secador de pelo, Aire acondicionado, Tours a pie, Ducha, Parking gratis, Terraza / solárium, Español, Piscina en la azotea, Senderismo, Servicio de limpieza diario, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Mobiliario exterior, Productos de limpieza, Extintores, Piscina con vistas, Karaoke, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Habitaciones familiares, Pesca, Toallas de playa/piscina, Situado frente a la playa, Suelo de baldosa / mármol, Albornoz, Piragüismo, Bañera o ducha, Sombrillas, Papel higiénico, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Toallas, Información turística, Mosquitera, Acceso a pisos superiores solo mediante escaleras, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Artículos de aseo gratis, Perchero, Libros, DVD o música para niños, Centro de negocios, Habitaciones hipoalergénicas, Vistas al mar, Armario, WC, Zona de pícnic, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559073770.jpg?k=9abdc3d5ebc179c59b2d04f3b2dff09fdbd1dbc462ae889a2bc63fc6baf84e62&o=&hp=1,Las Juntas,Panamá
Cerrito Tropical Eco Lodge,https://www.booking.com/hotel/pa/b-amp-b-cerrito-tropical.es.html?aid=2410095,"Este establecimiento de HILLSIDE está a 12 minutos a pie o a 3 minutos en taxi de la playa. El Cerrito Tropical Eco Lodge ofrece alojamientos cómodos y relajantes con vistas al mar, piscina pequeña y terraza.

Todas las habitaciones disponen de TV de pantalla plana y acceso a balcones privados o compartidos con vistas al océano, al jardín o al bosque, además de aire acondicionado, ventiladores y baño privado con ducha. Hay conexión WiFi gratuita.

El establecimiento se encuentra en la ladera de Taboga, junto a la selva tropical y en la localidad. También hay un pequeño supermercado a 200 metros.

El Cerrito Tropical Eco Lodge cuenta con jardín tropical, piscina pequeña y terraza con vistas al océano. El personal puede organizar paseos en barco o senderismo con guías locales, previa reserva. Los servicios de restaurante están disponibles para el desayuno y la cena previa reserva.

El Cerrito Tropical se encuentra a 250 metros de la playa Honda y a solo 3 km de la ruta de senderismo Spanish Cross. La plaza principal de la localidad está a solo 250 metros. La costa está a 3 minutos cuesta abajo.

Aceptamos mascotas en las suites, no en las habitaciones, hay un cargo adicional para las mascotas, y deben ser aprobadas previamente.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Zona de comedor exterior, Servicio de despertador, Parque acuático, Alemán, Abierta todo el año, Playa, Canguro / servicios para niños, Masaje de espalda, TV, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Guardaequipaje, Nevera, Para todas las edades, Balcón, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Horario de apertura, Vistas al jardín, Francés, Snorkel, Aire acondicionado, Tours a pie, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Clases de cocina, Español, Servicio de lavandería, Senderismo, Servicio de limpieza diario, Jardín, Ropa de cama, Terraza, TV de pantalla plana, Cama plegable, Cubierta para piscina, WiFi gratis, Mobiliario exterior, Extintores, Zona poco profunda, Piscina con vistas, Enchufe cerca de la cama, Ventilador, Piscina al aire libre, Seguridad 24 horas, Patio, Habitaciones familiares, Pesca, Toallas de playa/piscina, Suelo de baldosa / mármol, Piragüismo, Bañera o ducha, Sombrillas, Papel higiénico, Masaje corporal completo, Holandés, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Toallas, Desayuno en la habitación, Información turística, Piscina pequeña, Japonés, Tumbonas/sillas de playa, Servicio de traslado, Barbacoa, Perchero, 2 restaurantes, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/399935915.jpg?k=a2fad37ab1db6154c47c29ba1b8f8633abcdbf49bea562ba5e372c863bc92c4a&o=&hp=1,Las Juntas,Panamá
The Westin Playa Bonita Panama,https://www.booking.com/hotel/pa/the-westin-playa-bonita-panama.es.html?aid=2410095,"El The Westin Playa Bonita Panama se encuentra junto a una selva frondosa en la playa Bonita, ofrece vistas al océano Pacífico y alberga un gimnasio abierto las 24 horas, una piscina al aire libre, un spa sensorial y 6 restaurantes.

Las habitaciones deluxe del The Westin Playa Bonita Panama ofrecen vistas al mar o a la selva. Todas tienen TV de pantalla plana, soporte para iPod y cafetera.

Los locales de restauración sirven platos panasiáticos, mediterráneos y de la costa del Pacífico. También hay una parrilla de mariscos, así como bares y bistrós que ofrecen platos más ligeros.

El The Westin Playa cuenta con una pintoresca ubicación a 20 minutos en coche del centro de la ciudad de Panamá. Está bien comunicado con el Puente de Las Américas y se encuentra a 8 km del aeropuerto Marcos A. Gelabert.","Baño privado, Servicio de planchado, Habitaciones comunicadas disponibles, Zona de fumadores, Menú para niños, Proporciona factura, Cajero automático en el hotel, Servicio de despertador, Cafetera, Sauna, Abierta todo el año, Cesta para mascotas, Playa, Plancha para ropa, Masaje de espalda, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de habitaciones, Instalaciones de spa, WiFi, Masaje en pareja, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Club infantil, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Spa y centro de bienestar, Salas de reuniones / banquetes, Fax / fotocopiadora, 6 restaurantes, Caja fuerte para ordenador portátil, Secador de pelo, Aire acondicionado, Tours a pie, Masajes, Ducha, Sofá, Español, Buffet para niños, Adaptado personas de movilidad reducida, Zona privada de playa, Servicio de lavandería, Senderismo, Utensilios de planchado, Ping pong, Jardín, Alarma de seguridad, Piscina infantil, Manicura, TV de pantalla plana, Pediluvio, Mobiliario exterior, Canales por cable, Corte de pelo, Masaje de pies, Escritorio, Servicio de limpieza en seco, Extintores, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Peluquería / salón de belleza, Paquetes de spa / bienestar, Zona de spa / relajación, Juguetes para la piscina, Radio, Toallas de playa/piscina, Baño de vapor, Situado frente a la playa, Alquiler de bicicletas, Caja fuerte, Albornoz, Adaptado para sillas de ruedas, Billar, Bañera o ducha, Tratamientos faciales, Exfoliación corporal, Sombrillas, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Adecuada para niños, Artículos de aseo gratis, Snack-bar, Ascensor, Peinado, Centro de negocios, Personal de animación, Pedicura, Servicio de despertador / alarma, 3 piscinas, Servicios de belleza, Tratamientos corporales, Armario, Bar en la piscina, Envoltura corporal, Piscina infinita, Minibar, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495800506.jpg?k=4bb67d9cc26e633bb40636e26e6d0b542a9e4e1d5c0d18cd325ae648b1be9201&o=&hp=1,Las Juntas,Panamá
Villa Caprichosa,https://www.booking.com/hotel/pa/villa-caprichosa.es.html?aid=2410095,"La Villa Caprichosa se encuentra en Taboga, una isla de la ciudad de Panamá. Ofrece suites amplias a pocos pasos de varias playas preciosas.

Los alojamientos de este establecimiento fueron diseñados por la popular diseñadora de interiores Diane Burn y ofrecen vistas impresionantes al océano.

Hay conexión WiFi gratuita en todas las instalaciones.","Restaurante, Baño privado, Servicio de entrega de comestibles, WiFi gratis, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Zona de fumadores, Fruta, Proporciona factura, Extintores, Cajero automático en el hotel, Piscina con vistas, Desayuno, Ventilador, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Tetera / cafetera, Bar, Aire acondicionado, Tours a pie, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Toallas de playa/piscina, Terraza / solárium, Español, TV, Caja fuerte, Inglés, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Bañera de hidromasaje / jacuzzi, Armario, Jardín, Servicio de conserjería, Tour o clase sobre cultura local, Habitaciones insonorizadas, Toallas, Desayuno en la habitación, Guardaequipaje, Nevera, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/160525559.jpg?k=f8c365b821bf514ce6c3ebd7b8b28aa241e09f83e8fc4e896a231326cfdf3cca&o=&hp=1,Las Juntas,Panamá
Dreams Playa Bonita All Inclusive,https://www.booking.com/hotel/pa/intercontinental-playa-bonita-resort-amp-spa.es.html?aid=2410095,"El Dreams Playa Bonita Resort & Spa ofrece 5 piscinas al aire libre, spa con servicio de masajes y centro de fitness. Se encuentra en una zona privada, en la playa más cercana a la ciudad de Panamá, situada a solo 17 km. 

Las habitaciones y suites tienen una decoración fresca, aire acondicionado, utensilios de planchado, escritorio, cafetera, TV por cable, minibar y secador de pelo. El baño es privado y puede incluir ducha o bañera.

Los bares del vestíbulo y de la piscina sirven bebidas variadas.

El Dreams Playa Bonita Resort & Spa se encuentra a 20 minutos en coche del centro de Panamá y está cerca de muchos lugares de interés turístico, como el centro histórico de Panamá.

El establecimiento ofrece un ambiente familiar. Para más información, pueden consultar las condiciones.","Minigolf, Baño privado, Servicio de planchado, Masaje de cabeza, Zona de fumadores, Menú para niños, Cajero automático en el hotel, Servicios de maquillaje, Servicio de despertador, Sauna, Abierta todo el año, Playa, Canguro / servicios para niños, Registro de entrada / salida privado, Hipoalergénico, Instalaciones para deportes acuáticos en el alojamiento, WC con barras de apoyo, Masaje de espalda, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Instalaciones de spa, Masaje en pareja, Tarjeta de acceso, Guardaequipaje, Para todas las edades, Club infantil, Restaurante, Equipamiento de juegos para exterior, Cenas temáticas, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Caja fuerte para ordenador portátil, Masaje de manos, Lavamanos más bajo, Alquiler de coches, Aire acondicionado, Tours a pie, Masajes, Ducha, Menús para dietas especiales (bajo petición), Clases de cocina, Español, Buffet para niños, Adaptado personas de movilidad reducida, Zona privada de playa, Plancha para pantalones, Servicio de lavandería, Senderismo, Traslado aeropuerto, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Clases de yoga, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Manicura, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Pediluvio, Mobiliario exterior, Canales por cable, Corte de pelo, Masaje de pies, Zona de juegos interior, Servicio de limpieza en seco, Extintores, Zona poco profunda, Clases de fitness, Piscina con vistas, Karaoke, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Discoteca / DJ, Toallas de playa/piscina, Baño de vapor, Situado frente a la playa, Suelo de baldosa / mármol, Caja fuerte, Adaptado para sillas de ruedas, Piragüismo, Billar, Bañera o ducha, Tratamientos faciales, Exfoliación corporal, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Tratamientos capilares, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Acceso a pisos superiores solo mediante escaleras, Noches de cine, 7 restaurantes, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Adecuada para niños, Servicio de traslado, Apoyo visual: braille, Bingo, Snack-bar, Ascensor, Peinado, Centro de negocios, Personal de animación, Pedicura, Piscina climatizada, WC elevado, Vistas al mar, 3 piscinas, Servicios de belleza, Tratamientos corporales, Armario, Bar en la piscina, Envoltura corporal, Piscina infinita, Happy hour, Tiro con arco, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/242216676.jpg?k=ac7dc7ad0fea4b6e51f5adae84b399fc4a125c1efbb9d200938a0bb09de17978&o=&hp=1,Las Juntas,Panamá
B&D Lodgings,https://www.booking.com/hotel/pa/draj.es.html?aid=2410095,"B&D Lodgings se encuentra en Tocumen, a 19 km de Estadio Rommel Fernández, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. El alojamiento ofrece bar y se encuentra a 26 km de Estadio Nacional Rod Carew. El alojamiento dispone de cocina compartida y wifi gratis en todo el alojamiento.

En el albergue, cada habitación está equipada con armario. En B&D Lodgings, todas las habitaciones incluyen aire acondicionado y baño privado.

Ancon Hill está a 33 km del alojamiento, y Puente de Las Americas está a 34 km. El aeropuerto (Aeropuerto internacional de Tocumen) está a 5 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Toallas / sábanas (por un suplemento), Zona de estar, Parking en un garaje, Barbacoa, Karaoke, Enchufe cerca de la cama, Piscina al aire libre, Perchero, Seguridad 24 horas, Abierta todo el año, Bar, Baños públicos, Aire acondicionado, Habitaciones familiares, Vestidor, Sofá, Entrada privada, Parking gratis, Terraza / solárium, Español, Suelo de baldosa / mármol, Plancha para pantalones, Inglés, Sofá cama, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Armario, Jardín, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Para todas las edades, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/184178428.jpg?k=f17037e6882be813debafb57c0d2fd23c85c9e5baa42b5057583e4402020d844&o=&hp=1,Las Juntas,Panamá
