hotel,price,score,avg review,reviews count,image_links,hotel_url,popular_facilities,city,country,description
Ramada Encore by Wyndham Lima San Isidro,US$118,"8,4",Muy bien,200,https://cf.bstatic.com/xdata/images/hotel/max1024x768/454429296.webp?k=90b88260b68893b6a08c6a795a38d8075eb497def4cd697265220bbe2da99e78&o=,https://www.booking.com/hotel/pe/ramada-encore-san-isidro.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Menús para dietas especiales (bajo petición), Servicio de limpieza en seco, Fax / fotocopiadora, Vistas, Cámaras de seguridad en las zonas comunitarias, Servicio de traslado, Habitaciones insonorizadas, Teléfono, Abierta todo el año, Habitaciones sin humo, TV de pantalla plana, Servicio de planchado, Servicio de lavandería, Piscina al aire libre, Bañera o ducha, Proporciona factura, Caja fuerte, TV, Seguridad 24 horas, Gimnasio, Centro de negocios, Salas de reuniones / banquetes, Happy hour, Desayuno, Información turística, Ducha, Servicio de limpieza diario, Caja fuerte para ordenador portátil, Traslado aeropuerto, Enchufe cerca de la cama, WC, Alarma de seguridad, Terraza / solárium, Servicio de habitaciones, Servicio de aparcacoches, Plancha para pantalones, Servicio de entrega de comestibles, Desayuno en la habitación, Cafetería en el alojamiento, Servicio de conserjería, Español, Mobiliario exterior, Hervidor eléctrico, Extintores, Insonorización, Servicio de despertador / alarma, Toallas, Llave de acceso, Reloj despertador, Adaptado personas de movilidad reducida, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, Armario, Recepción 24 horas, Canales por cable, Minibar, Escritorio, Ascensor, Terraza, Parking gratis, Secador de pelo, Snack-bar, Guardaequipaje, Cambio de moneda, Baño privado, Servicio de despertador, Artículos de aseo gratis, Bar, Inglés, Restaurante",Lima,Peru,"El Ramada Encore by Wyndham Lima San Isidro ofrece alojamiento en Lima, a pocos pasos o a 5 minutos en coche del distrito financiero de San Isidro. Se sirve un desayuno gratuito todos los días. Además, hay WiFi gratuita y una piscina grande abierta todo el año.

Sus habitaciones incluyen TV de pantalla plana, baño privado y servicio diario de camarera de pisos.

El Ramada Encore by Wyndham Lima San Isidro cuenta con una recepción abierta las 24 horas, bar, aparcamiento privado gratuito y una terraza con vistas a la ciudad. 

Está a 15 minutos en coche del parque Kennedy, repleto de restaurantes y tiendas. También se encuentra a 15 minutos en coche del centro comercial Larcomar y de la terminal de autobuses. El aeropuerto internacional de Chávez está a 30 minutos en coche. Por un suplemento, se ofrece un servicio de traslado."
The Westin Lima Hotel & Convention Center,US$558,"9,1",Fantástico,411,https://cf.bstatic.com/xdata/images/hotel/max1024x768/434380117.webp?k=5cbf6d6edf24c439eb30bdc04e7f1b3e784dc7272f9cbfc697eada5beb88d949&o=,https://www.booking.com/hotel/pe/the-westin-lima.es.html?aid=2410095,"Aire acondicionado, Habitaciones insonorizadas, Cámaras de seguridad en las zonas comunitarias, Sofá, Perchero, Servicio de planchado, Almuerzos para llevar, Caja fuerte, Tour o clase sobre cultura local, Zona de estar, Seguridad 24 horas, Centro de negocios, Zona de spa / relajación, Spa y centro de bienestar, Juegos de mesa / puzles, Caja fuerte para ordenador portátil, Entretenimiento nocturno, Enchufe cerca de la cama, Entrenador personal, Zona TV / salón de uso compartido, Música / espectáculos en directo, Taquillas, Menú para niños, Acceso a pisos superiores en ascensor, Extintores, Insonorización, Servicio de despertador / alarma, 4 restaurantes, Reloj despertador, Papel higiénico, Detectores de humo, Tarjetas de transporte público, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Boles para mascotas, Secador de pelo, Piscina interior, Cambio de moneda, Servicio de despertador, Bar, Cámaras de seguridad fuera del alojamiento, Paquetes de spa / bienestar, Cajero automático en el hotel, Fax / fotocopiadora, Vistas, Calefacción, Bañera o ducha, Suelo de moqueta, Alquiler de coches, Sauna, Gimnasio, Habitaciones hipoalergénicas, Instalaciones de spa, Alarma de seguridad, Albornoz, Máquina expendedora (aperitivos), Servicio de habitaciones, Registro de entrada / salida privado, Vino / champán, Masajes, Portugués, Servicio de streaming (como Netflix), Cafetería en el alojamiento, Máquina expendedora (bebidas), Mobiliario exterior, Personal de animación, Zapatillas, Toallas, Adaptado personas de movilidad reducida, Canales por cable, Escritorio, Ascensor, Terraza, Peluquería / salón de belleza, WC, Menús para dietas especiales (bajo petición), Pediluvio, TV de pantalla plana, Habitaciones familiares, Salas de reuniones / banquetes, Plancha para ropa, Información turística, Ducha, Baño de vapor, Canales vía satélite, Registro de entrada y salida exprés, Campo de golf (a menos de 3 km), Clases de fitness, Alquiler de bicicletas, Tours en bici, Armario, Buffet para niños, Minibar, Snack-bar, Soporte para iPod, Silla de masajes, Guardaequipaje, Cesta para mascotas, Artículos de aseo gratis, Inglés, Restaurante, Taquillas en el gimnasio / spa, WiFi gratis, Servicio de limpieza en seco, Francés, Teléfono, Servicios de belleza, Habitaciones sin humo, Fruta, Servicio de lavandería, Bidet, TV, Bañera de hidromasaje / jacuzzi, Tarjeta de acceso, Traslado aeropuerto, Bañera, Radio, Desayuno fabuloso, Plancha para pantalones, Servicio de entrega de comestibles, Desayuno en la habitación, Servicio de conserjería, Español, Vistas a la ciudad, Eventos deportivos en directo (emisión), Baño privado, Servicio de traslado",Lima,Peru,"Este hotel sofisticado goza de vistas panorámicas a Lima y cuenta con piscina cubierta semiolímpica, spa de 2.970 m², circuito de agua termal y 2 restaurantes. El hotel está a 300 metros de varias tiendas y a 3,7 km del centro histórico de Lima. Se proporciona WiFi gratuita.

El Westin Lima Hotel & Convention Center ofrece instalaciones completas de 5 estrellas, alberga el centro de convenciones más grande de la ciudad y presenta un diseño arquitectónico de alto nivel. Los huéspedes pueden hacer ejercicio en el Westin Workout y acceder al salón de belleza, al centro de negocios y al Westin Club (solo si están alojados en suites).

Las habitaciones están decoradas en tonos tostados y de color hueso y cuentan con suelo de moqueta. Las habitaciones incluyen TV de pantalla plana vía satélite, ropa de cama de lujo de la marca Heavenly con edredón de pluma de ganso, vestidor y vistas a la ciudad. Todas las habitaciones disponen de minibar, caja fuerte y cafetera. El baño cuenta con bañera y ducha a ras de suelo independiente. Se prohíbe fumar en todas las habitaciones.

Los restaurantes Market 770 y Maras proponen comida gourmet con sabores peruanos. En los bares El Salar y Alphonse se pueden degustar cócteles y propuestas gastronómicas exquisitas.

El The Westin también está asociado con la agencia de viajes Venturia, que organiza excursiones por Lima. Asimismo, el hotel admite mascotas y proporciona camas para mascotas de la marca Heavenly."
ibis budget Lima Miraflores,US$83,"8,8",Fabuloso,3.481,https://cf.bstatic.com/xdata/images/hotel/max1024x768/323393285.webp?k=eed88d04608a645eaa73cd73f90c3adeebfb5a8ab2c5a3a4b3482314665b6ac3&o=,https://www.booking.com/hotel/pe/ibis-budget-lima-miraflores.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Servicio de limpieza en seco, Fax / fotocopiadora, Francés, Cámaras de seguridad en las zonas comunitarias, Calefacción, Habitaciones sin humo, TV de pantalla plana, Fruta, Servicio de planchado, Servicio de lavandería, Proporciona factura, Habitaciones familiares, TV, Seguridad 24 horas, Buen desayuno, Happy hour, Información turística, Servicio de limpieza diario, Tarjeta de acceso, Traslado aeropuerto, Parking en un garaje, Alarma de seguridad, Máquina expendedora (aperitivos), Zona TV / salón de uso compartido, WC elevado, Registro de entrada / salida privado, Vino / champán, Plancha para pantalones, Lavamanos más bajo, Portugués, Cafetería en el alojamiento, Máquina expendedora (bebidas), Español, Extintores, Vistas a la ciudad, Tours en bici, Adaptado personas de movilidad reducida, Detectores de humo, Llave de acceso, Prohibido fumar en todo el alojamiento, WC con barras de apoyo, Recepción 24 horas, Adaptado para sillas de ruedas, Parking adaptado para personas de movilidad reducida, Boles para mascotas, Ascensor, Snack-bar, Parking gratis, Guardaequipaje, Baño privado, Artículos de aseo gratis, Servicio de traslado, Cámaras de seguridad fuera del alojamiento, Inglés, Restaurante",Lima,Peru,"Ibis budget Lima Miraflores está en Lima, a 12 min a pie de Playa Redondo, y dispone de alojamiento con salón de uso común, parking privado gratis y restaurante. El alojamiento está cerca de varios lugares de interés destacados, a unos 16 min a pie de Playa Waikiki, a 1,4 km de Playa Makaha y a 9 min a pie de Larcomar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis en todo el alojamiento.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones cuentan con aire acondicionado y baño privado.

En ibis budget Lima Miraflores se sirve cada mañana un desayuno buffet.

Museo de la Nación está a 7,1 km del alojamiento, y Plaza San Martín está a 10 km. El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 20 km."
Hyatt Centric San Isidro Lima,US$245,"9,1",Fantástico,301,https://cf.bstatic.com/xdata/images/hotel/max1024x768/429446781.webp?k=02800c0dedec7df8b7b16d4abb2ccd3528d40983a71d7b68233132c1a4023bd4&o=,https://www.booking.com/hotel/pe/hyatt-centric-san-isidro-lima.es.html?aid=2410095,"Aire acondicionado, 2 restaurantes, Habitaciones insonorizadas, Cámaras de seguridad en las zonas comunitarias, Sofá, Servicio de planchado, Piscina al aire libre, Caja fuerte, Zona de estar, Seguridad 24 horas, Centro de negocios, Camas extralargas (más de 2 metros), Servicio de limpieza diario, Caja fuerte para ordenador portátil, Enchufe cerca de la cama, WC elevado, Música / espectáculos en directo, Jardín, Menú para niños, Tetera / cafetera, Acceso a pisos superiores en ascensor, Piscina con vistas, Extintores, Apoyo visual: braille, Cuerda de emergencia en el baño, Insonorización, Reloj despertador, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Parking gratis, Secador de pelo, Servicio de despertador, Bar, Cámaras de seguridad fuera del alojamiento, Fax / fotocopiadora, Calefacción, Nevera, Bañera o ducha, Suelo de moqueta, Gimnasio, Parking en un garaje, Albornoz, Alarma de seguridad, Servicio de habitaciones, Vino / champán, Toallas de playa/piscina, Portugués, Cafetería en el alojamiento, Tetera/cafetera en todas las habitaciones, Zapatillas, Toallas, Adaptado personas de movilidad reducida, Canales por cable, Adaptado para sillas de ruedas, Escritorio, Ascensor, Terraza, Apoyo visual: carteles táctiles, WC, Menús para dietas especiales (bajo petición), TV de pantalla plana, Hipoalergénico, Salas de reuniones / banquetes, Información turística, Ducha, Servicio de aparcacoches, Lavamanos más bajo, Armario, WC con barras de apoyo, Minibar, Parking adaptado para personas de movilidad reducida, Snack-bar, Soporte para iPod, Guardaequipaje, Artículos de aseo gratis, Inglés, Restaurante, WiFi gratis, Abierta todo el año, Servicio de limpieza en seco, Teléfono, Habitaciones sin humo, Fruta, Servicio de lavandería, TV, Guiado auditivo, Tarjeta de acceso, Traslado aeropuerto, Radio, Terraza / solárium, Desayuno fabuloso, Servicio de entrega de comestibles, Servicio de conserjería, Español, Tours a pie, Vistas a la ciudad, Baño privado, Utensilios de planchado, Tumbonas/sillas de playa",Lima,Peru,"Hyatt Centric San Isidro Lima se encuentra en Lima, a 4,4 km de Museo de la Nación, y ofrece alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. Este hotel de 5 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene terraza, vistas a la ciudad, restaurante y bar.

En el hotel, cada habitación tiene aire acondicionado, zona de estar, TV de pantalla plana con canales por cable, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Las habitaciones cuentan con nevera.

Hay una cafetería en el propio alojamiento, y también se puede usar la zona business.

Larcomar está a 5,2 km del alojamiento, y Iglesia de las Nazarenas está a 6,9 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 16 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Arawi Miraflores Express,US$84,"8,7",Fabuloso,1.730,https://cf.bstatic.com/xdata/images/hotel/max1024x768/229716784.webp?k=2ae4653527b6a6c5e07b3d6685d662e59dc026dc86432e51eae29b5e2899c28d&o=,https://www.booking.com/hotel/pe/arawi-miraflores-express.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones sin humo, Perchero, TV de pantalla plana, Servicio de planchado, Servicio de lavandería, Caja fuerte, Habitaciones familiares, TV, Suelo de madera o parquet, Buen desayuno, Centro de negocios, Salas de reuniones / banquetes, Plancha para ropa, Información turística, Ducha, Servicio de limpieza diario, Canales vía satélite, Tarjeta de acceso, Traslado aeropuerto, Enchufe cerca de la cama, Parking en un garaje, Alarma de seguridad, Acceso a pisos superiores solo mediante escaleras, Servicio de habitaciones, Plancha para pantalones, Lavamanos más bajo, Acceso a pisos superiores en ascensor, Español, Hervidor eléctrico, Extintores, Insonorización, Servicio de despertador / alarma, Toallas, Adaptado personas de movilidad reducida, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, Armario, Recepción 24 horas, Adaptado para sillas de ruedas, Parking adaptado para personas de movilidad reducida, Escritorio, Ascensor, Parking gratis, Secador de pelo, Guardaequipaje, Baño privado, Servicio de despertador, Artículos de aseo gratis, Utensilios de planchado, Cámaras de seguridad fuera del alojamiento, Inglés, Ropa de cama",Lima,Peru,"Arawi Miraflores Express está muy bien situado en el barrio de Miraflores, Lima, a 1,7 km de Playa Waikiki, a 1,8 km de Playa Makaha y a 14 min a pie de Larcomar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y mostrador de información turística. Este alojamiento libre de humo está a 15 min a pie de Playa Redondo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, caja fuerte, TV de pantalla plana y baño privado con ducha. En Arawi Miraflores Express, las habitaciones tienen ropa de cama y toallas.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

Museo de la Nación está a 6,8 km del alojamiento, y Plaza San Martín está a 9,3 km. El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 20 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Hotel Andesmar,US$116,"9,1",Fantástico,953,https://cf.bstatic.com/xdata/images/hotel/max1024x768/321931739.webp?k=fd579169f5c958ed3366f44a8c070f74e14dd4dbfbb27c3b0ce7f12d42a94778&o=,https://www.booking.com/hotel/pe/lassuites.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Servicio de limpieza en seco, Fax / fotocopiadora, Servicio de traslado, Habitaciones insonorizadas, Cámaras de seguridad en las zonas comunitarias, Nevera, Teléfono, Habitaciones sin humo, Perchero, TV de pantalla plana, Fruta, Servicio de planchado, Servicio de lavandería, Hipoalergénico, Bañera o ducha, Proporciona factura, Caja fuerte, Toallas / sábanas (por un suplemento), TV, Seguridad 24 horas, Centro de negocios, Entrada privada, Habitaciones hipoalergénicas, Happy hour, Información turística, Ducha, Servicio de limpieza diario, Muy buen desayuno, Productos de limpieza, Tarjeta de acceso, Traslado aeropuerto, Enchufe cerca de la cama, Parking en un garaje, Alarma de seguridad, Vino / champán, Acceso a pisos superiores en ascensor, Inglés, Cafetería en el alojamiento, Servicio de conserjería, Español, Extintores, Insonorización, Alquiler de bicicletas, Toallas, Adaptado personas de movilidad reducida, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, Armario, Recepción 24 horas, Canales por cable, Adaptado para sillas de ruedas, Minibar, Escritorio, Ascensor, Terraza, Parking gratis, Secador de pelo, Snack-bar, Guardaequipaje, Baño privado, Artículos de aseo gratis, Bar, Cámaras de seguridad fuera del alojamiento, Ciclismo, Ropa de cama",Lima,Peru,"El Hotel Andesmar está ubicado en el exclusivo barrio de Miraflores, en la avenida Grau de Lima, a solo 12 minutos a pie del centro comercial Larcomar. Hay WiFi y aparcamiento gratuitos.

Las habitaciones del Hotel Andesmar son amplias y disponen de aire acondicionado, minibar, microondas, TV con canales por cable y conexión a internet (Smart TV) y baño privado con artículos de aseo gratuitos. Además, cada habitación incluye 1 botella de agua gratuita.

El bar Terrace sirve bebidas y aperitivos.

El Hotel Andesmar cuenta con recepción 24 horas, servicio de conserjería, mostrador de información turística y consigna de equipaje. Se puede solicitar un servicio de traslado en la recepción. Este servicio conlleva un suplemento.

El servicio de lavandería también está disponible por un suplemento.

El parque central de Miraflores se halla a 400 metros. Asimismo, el Hotel Andesmar se encuentra a 6 km del Museo de la Nación y a 8 km de la plaza San Martín. El aeropuerto internacional Jorge Chávez queda a 14 km."
Hotel Boulevard,US$116,"8,4",Muy bien,2.631,https://cf.bstatic.com/xdata/images/hotel/max1024x768/69205780.webp?k=14c34203f5c0c85219f743ea43579d3fbc23d64715e946963709168adf56490b&o=,https://www.booking.com/hotel/pe/amp-casino-boulevard.es.html?aid=2410095,"WiFi gratis, Abierta todo el año, Menús para dietas especiales (bajo petición), Servicio de limpieza en seco, Zona de fumadores, Vistas, Cámaras de seguridad en las zonas comunitarias, Nevera, Sofá, Habitaciones sin humo, Teléfono, TV de pantalla plana, Zona poco profunda, Servicio de planchado, Servicio de lavandería, Piscina al aire libre, Bañera o ducha, Caja fuerte, Habitaciones familiares, Zona de estar, TV, Seguridad 24 horas, Piscina pequeña, Tumbonas/sillas de playa, Centro de negocios, Salas de reuniones / banquetes, Ducha, Servicio de limpieza diario, Bañera, Parking en un garaje, Restaurante, Zona de comedor, Terraza / solárium, Zona TV / salón de uso compartido, Servicio de habitaciones, Piscina en la azotea, Acceso a pisos superiores en ascensor, Piscina con vistas, Toallas de playa/piscina, Cafetería en el alojamiento, Servicio de conserjería, Español, Mobiliario exterior, Hervidor eléctrico, Extintores, Servicio de despertador / alarma, Toallas, Llave de acceso, Reloj despertador, Papel higiénico, Prohibido fumar en todo el alojamiento, Armario, Recepción 24 horas, Canales por cable, Minibar, Parking adaptado para personas de movilidad reducida, Escritorio, Ascensor, Terraza, Parking gratis, Secador de pelo, Guardaequipaje, Baño privado, Servicio de despertador, Artículos de aseo gratis, WC, Cámaras de seguridad fuera del alojamiento, Sombrillas, Inglés, Ropa de cama",Lima,Peru,"El Hotel Boulevard ofrece alojamiento en el distrito Miraflores de Lima, a 10 minutos a pie del parque Kennedy. Proporciona wifi gratuita.

Las habitaciones disponen de baño privado y TV de pantalla plana con canales por cable. Las suites también incluyen bañera de hidromasaje.

El Hotel Boulevard cuenta con centro de fitness y piscina al aire libre disponible durante todo el año. Alberga un restaurante. Hay aparcamiento privado gratuito y recepción 24 horas.

Este hotel se encuentra a 15 minutos en coche del centro comercial Larcomar. El aeropuerto internacional Jorge Chávez queda a 45 minutos en coche."
Tierra Viva Miraflores Mendiburu,US$105,"9,0",Fantástico,494,https://cf.bstatic.com/xdata/images/hotel/max1024x768/145389298.webp?k=3ffcab56b5cc4037dccf287b6c247b6ab1e7546445b56ac313619eea55497cf3&o=,https://www.booking.com/hotel/pe/tierra-viva-miraflores-mendiburu.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Cámaras de seguridad en las zonas comunitarias, Teléfono, Perchero, TV de pantalla plana, Caja fuerte, Suelo de moqueta, TV, Seguridad 24 horas, Ducha, Servicio de limpieza diario, Muy buen desayuno, WC, Parking en un garaje, Alarma de seguridad, Lavamanos más bajo, Acceso a pisos superiores en ascensor, Español, Extintores, Insonorización, Toallas, Llave de acceso, Adaptado personas de movilidad reducida, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, Armario, Recepción 24 horas, Adaptado para sillas de ruedas, Ascensor, Parking gratis, Secador de pelo, Guardaequipaje, Baño privado, Servicio de traslado, Inglés",Lima,Peru,"El Tierra Viva Miraflores Mendiburu goza de una ubicación privilegiada en la mejor zona gastronómica de Miraflores, a unos pasos de los mejores restaurantes de Perú, entre ellos Cevichería La Mar, Mercado, Pescados Capitales, La Cucharita y Matria. 

El establecimiento se halla a 3 calles del paseo con vistas al mar y está bien comunicado con la Costa Verde, por lo que es ideal para huéspedes en estancias de negocios o de placer.

Ofrece 36 habitaciones con 1 cama extragrande o 2 individuales, baño privado con ducha de alta presión, aire acondicionado, TV LCD de 40 pulgadas por cable, teléfono con llamadas nacionales e internacionales, secador de pelo, caja fuerte y escritorio.

El establecimiento ofrece desayuno buffet, wifi y una botella de agua. También cuenta con zona de internet y bebidas calientes en el vestíbulo las 24 horas.

El Tierra Viva Miraflores Mendiburu es el único hotel en la mejor zona gastronómica de Miraflores."
Tierra Viva Miraflores Larco,US$97,"8,9",Fabuloso,362,https://cf.bstatic.com/xdata/images/hotel/max1024x768/20901635.webp?k=b0c71a680a81da62b5a113efea17b7c8f5607d0a1ad7445e3f3f783690eae24f&o=,https://www.booking.com/hotel/pe/tierra-viva-miraflores-larco.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Servicio de limpieza en seco, Fax / fotocopiadora, Habitaciones insonorizadas, Calefacción, Teléfono, Habitaciones sin humo, Perchero, TV de pantalla plana, Servicio de planchado, Servicio de lavandería, Caja fuerte, Suelo de moqueta, TV, Seguridad 24 horas, Centro de negocios, Información turística, Ducha, Servicio de limpieza diario, Muy buen desayuno, Tarjeta de acceso, Traslado aeropuerto, Enchufe cerca de la cama, Alarma de seguridad, Zona TV / salón de uso compartido, Lavamanos más bajo, Acceso a pisos superiores en ascensor, Servicio de conserjería, Español, Extintores, Toallas, Adaptado personas de movilidad reducida, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, Armario, Recepción 24 horas, Canales por cable, Adaptado para sillas de ruedas, Escritorio, Ascensor, Terraza, Secador de pelo, Cambio de moneda, Guardaequipaje, Baño privado, Servicio de despertador, Artículos de aseo gratis, WC, Inglés",Lima,Peru,"El Tierra Viva Miraflores Larco está situado en Lima, a 60 metros de la zona comercial de la avenida Larco y a 600 metros del centro comercial Larcomar. Ofrece conexión Wi-Fi gratuita y sirve un desayuno bufé.

Las habitaciones del Tierra Viva Miraflores Larco son tranquilas y cuentan con TV de pantalla plana por cable, calefacción, aire acondicionado y baño privado.

El Tierra Viva Miraflores Larco ofrece servicio de lavandería, un centro de negocios y un ascensor.

El Tierra Viva Miraflores Larco se encuentra a 400 metros del parque central de Miraflores y a 12 km del centro histórico de Lima. El aeropuerto internacional Jorge Chávez se halla a 25 minutos en coche."
ibis Styles Lima Benavides Miraflores,US$94,"8,9",Fabuloso,1.684,https://cf.bstatic.com/xdata/images/hotel/max1024x768/450139485.webp?k=69fbfd91b38c6a6c3d1d5b04a0bb11c12c088d732ea4f5856e2f8249e1259a87&o=,https://www.booking.com/hotel/pe/ibis-styles-lima-benavides-miraflores.es.html?aid=2410095,"WiFi gratis, Aire acondicionado, Menús para dietas especiales (bajo petición), Servicio de limpieza en seco, Fax / fotocopiadora, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Calefacción, Habitaciones insonorizadas, Teléfono, TV de pantalla plana, Fruta, Servicio de planchado, Servicio de lavandería, Caja fuerte, Habitaciones familiares, TV, Seguridad 24 horas, Centro de negocios, Salas de reuniones / banquetes, Happy hour, Información turística, Ducha, Servicio de limpieza diario, WC, Parking en un garaje, Alarma de seguridad, Zona TV / salón de uso compartido, WC elevado, Desayuno fabuloso, Vino / champán, Plancha para pantalones, Menú para niños, Lavamanos más bajo, Acceso a pisos superiores en ascensor, Cenas temáticas, Cafetería en el alojamiento, Servicio de conserjería, Mobiliario exterior, Extintores, Español, Toallas, Adaptado personas de movilidad reducida, Papel higiénico, Detectores de humo, Prohibido fumar en todo el alojamiento, WC con barras de apoyo, Recepción 24 horas, Adaptado para sillas de ruedas, Parking adaptado para personas de movilidad reducida, Cochecitos de bebé, Boles para mascotas, Ascensor, Terraza, Parking gratis, Secador de pelo, Snack-bar, Guardaequipaje, Baño privado, Cesta para mascotas, Artículos de aseo gratis, Bar, Cámaras de seguridad fuera del alojamiento, Inglés, Restaurante",Lima,Peru,"Ibis Styles Lima Benavides Miraflores está en Lima, a 2,4 km de Playa Redondo, y dispone de alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo se encuentra a 2,5 km de Playa La Estrella.

En el hotel, todas las habitaciones incluyen TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

En ibis Styles Lima Benavides Miraflores se sirve todas las mañanas un desayuno buffet.

La clientela puede usar el centro de negocios o relajarse en la cafetería En la recepción 24 horas se habla inglés y español, y el personal estará encantado de dar consejos sobre la zona.

Playa Las Cascadas está a 2,9 km del alojamiento, y Larcomar está a 2,7 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 22 km."
