hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Boulderbar Hotel Leonding,US$79,"8,6",Fabuloso,1.665,https://cf.bstatic.com/xdata/images/hotel/max1024x768/480780924.webp?k=b339801fce3c5b53c46415197addec1081ea9c108138a6ae61271e78a0b1d7eb&o=,https://www.booking.com/hotel/at/boulderbar-leonding.es.html?aid=2410095,"Máquina expendedora (aperitivos), Inglés, Terraza, Habitaciones insonorizadas, Enchufe cerca de la cama, Bar, Secador de pelo, Baño privado, Canales vía satélite, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Gimnasio, Registro de entrada y salida exprés, Caja fuerte, Ducha, Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Tarjeta de acceso, Detector de monóxido de carbono, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Insonorización, Canales por cable, Calefacción, Artículos de aseo gratis, Buen desayuno, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Escritorio",Linz,Austria,"Boulderbar Hotel Leonding está en Linz, a 8,2 km de Casino Linz, y dispone de alojamiento con centro de fitness, parking privado gratis, terraza y bar. El alojamiento está a unos 9 km de Centro de Diseño de Linz, a 22 km de Recinto ferial Messe Wels y a 7,5 km de Estación de tren Linz Central. El hotel libre de humo ofrece wifi gratis en todo el alojamiento.

En el hotel, las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de caja fuerte.

En Boulderbar Hotel Leonding se puede disfrutar de un desayuno buffet.

La clientela puede practicar actividades en Linz y alrededores, como ciclismo.

Linz Stadium está a 8,2 km del alojamiento, y New Cathedral está a 8,5 km. El aeropuerto más cercano (Aeropuerto de Linz) está a 4 km."
BEE GREEN Linz Self-Check-in-Hotel,US$84,"8,7",Fabuloso,1.887,https://cf.bstatic.com/xdata/images/hotel/max1024x768/433880471.webp?k=bb30da0f5041835718794249645a67cd1f2e14e2724579193170753f5367207d&o=,https://www.booking.com/hotel/at/bee-green-linz.es.html?aid=2410095,"Máquina expendedora (aperitivos), Taquillas, Inglés, Alarma de seguridad, Parking privado, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Guardaequipaje, Baño privado, Servicio de limpieza diario, Almuerzos para llevar, Vino / champán, Canales vía satélite, Aire acondicionado, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Toda la unidad accesible en silla de ruedas, Hipoalergénico, Caja fuerte, Ducha, Perchero, Caja fuerte para ordenador portátil, Alemán, Servicio de traslado, Ropa de cama, Supermercado pequeño en el alojamiento, Suelo de madera o parquet, Tarjeta de acceso, Senderismo, Cafetera, Servicio de entrega de comestibles, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Insonorización, Menús para dietas especiales (bajo petición), Tours a pie, Proporciona factura, Calefacción, Artículos de aseo gratis, Minibar, Acceso a pisos superiores en ascensor, Buen desayuno, Vistas, WiFi gratis, Toallas, Habitaciones sin humo, TV, Desayuno en la habitación, Detectores de humo, WC, Máquina expendedora (bebidas), Parking adaptado para personas de movilidad reducida",Linz,Austria,"BEE GREEN Linz Self-Check-in-Hotel está muy bien situado en el barrio de Bulgariplatz, Linz, a 2,5 km de Casino Linz, a 3,2 km de Centro de Diseño de Linz y a 35 km de Recinto ferial Messe Wels. Este hotel de 3 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado en el propio alojamiento.

Todas las unidades de este alojamiento incluyen TV de pantalla plana con canales vía satélite y caja fuerte. En el hotel, todas las habitaciones tienen ropa de cama y toallas.

En BEE GREEN Linz Self-Check-in-Hotel se puede disfrutar de un desayuno buffet.

La clientela puede practicar actividades en Linz y alrededores, como senderismo y ciclismo.

Estación de tren Linz Central está a 2 km del alojamiento, y Linz Stadium está a 3,5 km. El aeropuerto más cercano (Aeropuerto de Linz) está a 10 km."
SOVEA Hotel - City,US$53,"7,9",Bien,1.086,https://cf.bstatic.com/xdata/images/hotel/max1024x768/306264133.webp?k=825add57756a8d42fd8f8c0be78ae3d7bcf9eaa5b35b6c82a71036df22e40ebf&o=,https://www.booking.com/hotel/at/sovea-city.es.html?aid=2410095,"Máquina expendedora (aperitivos), Taquillas, Inglés, Parking privado, Zona TV / salón de uso compartido, Servicio de limpieza diario, Baño privado, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Ducha, Máquina expendedora (bebidas), Perchero, Alemán, Ropa de cama, Tarjeta de acceso, Llave de acceso, Vistas a un patio interior, Prohibido fumar en todo el alojamiento, Ruso, Proporciona factura, Calefacción, Artículos de aseo gratis, Vistas, Turco, Zona de fumadores, WiFi gratis, Armario, Toallas, Habitaciones sin humo, Cocina compartida, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Solo para adultos, Escritorio, Ventilador",Linz,Austria,"El SOVEA Hotel - City está situado en el centro de Linz, a 10 minutos a pie de la plaza principal y a 8 minutos a pie del río Danubio y el Museo de Arte Lentos.

Hay máquinas expendedoras de bebidas y aperitivos."
Motel One Linz-Hauptplatz,US$118,"8,7",Fabuloso,3.171,https://cf.bstatic.com/xdata/images/hotel/max1024x768/295604164.webp?k=b46147fb6dfcfaa392aa85942eaa4f6c588198df03c1c52d877ebf2c8c5a6374&o=,https://www.booking.com/hotel/at/motel-one-linz.es.html?aid=2410095,"Radio, Cafetería en el alojamiento, Inglés, Parking en un garaje, Recepción 24 horas, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Vino / champán, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Aire acondicionado, WC con barras de apoyo, Adaptado para sillas de ruedas, Papel higiénico, Extintores, Ascensor, Snack-bar, Adaptado personas de movilidad reducida, Caja fuerte, Suelo de moqueta, Ducha, Perchero, Alemán, WC elevado, Ropa de cama, Mobiliario exterior, Tarjeta de acceso, Cuerda de emergencia en el baño, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Proporciona factura, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, Parking, WiFi gratis, Lavamanos más bajo, Acceso a pisos superiores solo mediante escaleras, Toallas, Habitaciones sin humo, TV, Estación de carga de vehículos eléctricos, Detectores de humo, WC, Escritorio, Muy buen desayuno, Parking adaptado para personas de movilidad reducida, Zona de estar",Linz,Austria,"Motel One Linz-Hauptplatz está en Linz, a 13 min a pie de Casino Linz, y tiene bar, habitaciones libres de humo y wifi gratis en todo el alojamiento. El alojamiento está cerca de varios lugares de interés destacados, a unos 4 min a pie de Lentos Art Museum, a 600 metros de Ars Electronica Center y a 9 min a pie de Brucknerhaus. El cafetería es ideal para tomar algo.

Todas las habitaciones en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Motel One Linz-Hauptplatz, las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o vegetariano.

El personal, que habla alemán y inglés, ofrece consejos en la recepción.

Cerca del alojamiento hay puntos de interés como Tabakfabrik, Linz Castle y New Cathedral. El aeropuerto (Aeropuerto de Linz) está a 14 km."
Courtyard by Marriott Linz,US$126,"8,2",Muy bien,1.789,https://cf.bstatic.com/xdata/images/hotel/max1024x768/505634226.webp?k=37303d94d156500c0c417d25429c15dc0e08176af1b0dba81d8dc30afd7b591c&o=,https://www.booking.com/hotel/at/courtyard-linz.es.html?aid=2410095,"Taquillas, Sauna, Alarma de seguridad, Zona TV / salón de uso compartido, Centro de negocios, Bar, Servicio de limpieza diario, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Ascensor, Hipoalergénico, Caja fuerte para ordenador portátil, Supermercado pequeño en el alojamiento, Servicio de planchado, Información turística, Fax / fotocopiadora, Armario, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Parking adaptado para personas de movilidad reducida, Parking en el alojamiento, Restaurante, Recepción 24 horas, Habitaciones insonorizadas, Baño privado, Desayuno fabuloso, Ciclismo, Extintores, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Alemán, Boles para mascotas, Habitaciones hipoalergénicas, Nevera, Insonorización, Cambio de moneda, Detectores de humo, Inglés, Parking en un garaje, Servicio de despertador / alarma, Zona de spa / relajación, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Almuerzos para llevar, Vino / champán, Aire acondicionado, Fruta, Gimnasio, Suelo de moqueta, Ropa de cama, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, Toallas, TV, Baño de vapor, WC, Escritorio, Zona de estar, Radio, Terraza, Teléfono, Salas de reuniones / banquetes, Canales vía satélite, TV de pantalla plana, Entrenador personal, Caja fuerte, Taquillas en el gimnasio / spa, Tarjeta de acceso, Servicio de limpieza en seco, Menús para dietas especiales (bajo petición), Canales por cable, Proporciona factura, Calefacción, Plancha para ropa, Acceso a pisos superiores en ascensor, Tetera/cafetera en todas las habitaciones, WiFi gratis, Estación de carga de vehículos eléctricos, Desayuno en la habitación",Linz,Austria,"This 4-star superior hotel is located next to the Design Center (Congress Hall), and within a 15-minute walk of the Old Town, the Danube River and Linz Main Train Station. WiFi is free of charge throughout the hotel. Underground parking is available.

All rooms at the Courtyard by Marriott Linz offer large work areas, individual climate control, coffee and tea-making facilities, and luxurious bedding. All rooms have flat-screen TVs.

The modern restaurant has a terrace and serves Austrian and international cuisine as well as a rich American breakfast buffet every morning. The Courtyard Linz also features an elegant bar.

Guests of the Courtyard by Marriott Linz enjoy free access to the modern fitness centre. The spa area includes a sauna and a steam bath.

Furthermore, the hotel is officially certified with the Austrian ecolabel Österreichisches Umweltzeichen.

The newly built Musiktheater Theatre and Concert Hall is 1.5 km from the hotel."
Jugendgästehaus Linz,US$55,"7,7",Bien,1.234,https://cf.bstatic.com/xdata/images/hotel/max1024x768/51271017.webp?k=3d2d1da8741dc0d885a575d1cfa3aeae70f6c8f30a6b4b903fb86541fb3d4205&o=,https://www.booking.com/hotel/at/jugendgastehaus-linz.es.html?aid=2410095,"Máquina expendedora (aperitivos), Taquillas, Inglés, Terraza, Zona TV / salón de uso compartido, Guardaequipaje, Baño privado, Salas de reuniones / banquetes, Almuerzos para llevar, WC con barras de apoyo, Adaptado para sillas de ruedas, Papel higiénico, Extintores, Adaptado personas de movilidad reducida, Ping pong, Ducha, Máquina expendedora (bebidas), Habitaciones familiares, Alemán, Ropa de cama, Mobiliario exterior, Tarjeta de acceso, Sala de juegos, Prohibido fumar en todo el alojamiento, WC, Menús para dietas especiales (bajo petición), Calefacción, Buen desayuno, WiFi gratis, Armario, Jardín, Parking gratis, Habitaciones sin humo, Toallas, Detectores de humo, Terraza / solárium, Escritorio",Linz,Austria,"El Jugendgästehaus Linz, un albergue moderno situado al lado del estadio de Linz y de un pabellón deportivo cubierto, ofrece uso gratuito de una pista de tenis y una sala de fitness. Cuenta con conexión WiFi gratuita en las zonas comunes.

Las habitaciones son funcionales y tienen literas y baño privado.

En el Jugendgästehaus Linz hay un salón compartido, una sala de juegos y máquinas expendedoras de bebidas y aperitivos. En el establecimiento hay aparcamiento privado gratuito.

El centro de Linz y la estación principal de tren de Linz se encuentran a 25 minutos a pie."
Hotel Schwarzer Bär,US$122,"8,2",Muy bien,1.929,https://cf.bstatic.com/xdata/images/hotel/max1024x768/114181052.webp?k=bcb2fc28f3f5e8d9c4e7a0c28168dc7d643aa7da65419d119622bcd9486fb0b9&o=,https://www.booking.com/hotel/at/zum-schwarzen-baeren-linz.es.html?aid=2410095,"Radio, Cafetería en el alojamiento, Inglés, Parking en un garaje, Restaurante, Teléfono, Servicio de lavandería, Menú para niños, Alarma de seguridad, Parking privado, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Salas de reuniones / banquetes, Desayuno fabuloso, Vino / champán, Almuerzos para llevar, TV de pantalla plana, Fruta, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Registro de entrada y salida exprés, Snack-bar, Hipoalergénico, Caja fuerte, Ducha, Habitaciones familiares, Perchero, Alemán, Servicio de traslado, Ropa de cama, Servicio de planchado, Mobiliario exterior, Tarjeta de acceso, Boles para mascotas, Suelo de madera o parquet, Senderismo, Cafetera, Cajero automático en el hotel, Servicio de limpieza en seco, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Canales por cable, Eventos deportivos en directo (emisión), Tours a pie, Proporciona factura, Calefacción, Artículos de aseo gratis, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Zona de fumadores, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Desayuno en la habitación, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Escritorio, Servicio de despertador",Linz,Austria,"El Hotel zum Schwarzen Bären de gestión familiar se encuentra en una tranquila calle secundaria del centro de Linz, a solo 3 minutos a pie de la plaza principal. Dispone de conexión WiFi gratuita.

El Hotel zum Schwarzen Bären ha sido totalmente renovado y cuenta con una terraza en la azotea y un bar moderno.

El restaurante Bärenstub’n sirve platos de cocina austriaca con un toque mediterráneo.

El histórico Hotel zum Schwarzen Bären data del siglo XV y el famoso cantante de ópera Richard Tauber nació en 1891 en el propio establecimiento.

El Hotel zum Schwarzen Bären dispone de aparcamiento privado en garaje y se encuentra a 250 metros de la parada de tranvía más cercana, a 200 metros de una parada de taxis y a 800 metros de la estación de trenes.

El aeropuerto de Linz está a 13 km y el establecimiento ofrece un servicio de enlace con el aeropuerto bajo petición."
Prielmayerhof HOTEL,US$92,"8,2",Muy bien,797,https://cf.bstatic.com/xdata/images/hotel/max1024x768/107123664.webp?k=ad4cb686286dff766e30109636b47e4cbb91a6b4c8ba6abe308d2ec5dfe23e43&o=,https://www.booking.com/hotel/at/hotelprielmayerhof.es.html?aid=2410095,"Radio, Taquillas, Inglés, Terraza, Parking en un garaje, Servicio de despertador / alarma, Teléfono, Alarma de seguridad, Recepción 24 horas, Parking privado, Habitaciones insonorizadas, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Baño privado, Seguridad 24 horas, Aire acondicionado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Extintores, Ascensor, Registro de entrada y salida exprés, Caja fuerte, Suelo de moqueta, Ducha, Caja fuerte para ordenador portátil, Alemán, Ropa de cama, Servicio de planchado, Tarjeta de acceso, Zapatillas, Productos de limpieza, Servicio de despertador, Habitaciones hipoalergénicas, Servicio de limpieza en seco, Información turística, Prohibido fumar en todo el alojamiento, Insonorización, Menús para dietas especiales (bajo petición), Campo de golf (a menos de 3 km), Calefacción, Artículos de aseo gratis, Minibar, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Buen desayuno, WiFi gratis, Armario, Tarjetas de transporte público, Jardín, Toallas, Habitaciones sin humo, TV, Estación de carga de vehículos eléctricos, Detectores de humo, WC, Escritorio, Parking adaptado para personas de movilidad reducida, Ventilador",Linz,Austria,"El Prielmayerhof HOTEL, situado en una zona tranquila, a 20 minutos a pie del centro histórico de Linz y a 10 minutos a pie del Design Center, tiene un bar y WiFi gratuita.

Las habitaciones son amplias y luminosas. Cuentan con camas extralargas, TV LCD con canales vía satélite y baño privado.

El desayuno buffet se sirve cada mañana y se puede reservar a la llegada.

El establecimiento está a 15 km del aeropuerto de Linz-Hörsching y a 25 minutos en transporte público de la estación central de tren. Hay una parada de autobús justo delante del Prielmayerhof.

Por un suplemento, se ofrece aparcamiento subterráneo privado."
ARCOTEL Nike Linz,US$136,"8,1",Muy bien,2.098,https://cf.bstatic.com/xdata/images/hotel/max1024x768/138712669.webp?k=98c3542497cefc5326aef571ccc92c8993458b55fd6feede2af6054502585837&o=,https://www.booking.com/hotel/at/nike.es.html?aid=2410095,"Parking en el alojamiento, Cafetería en el alojamiento, Terraza, Parking en un garaje, Restaurante, Teléfono, Servicio de lavandería, Inglés, Recepción 24 horas, Español, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Salas de reuniones / banquetes, Desayuno fabuloso, Canales vía satélite, Vino / champán, TV de pantalla plana, Fruta, Seguridad 24 horas, Ciclismo, Papel higiénico, Extintores, Ascensor, Adaptado personas de movilidad reducida, Caja fuerte, Suelo de moqueta, Ducha, Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Servicio de planchado, Plancha para pantalones, Italiano, Servicio de despertador, Servicio de limpieza en seco, Francés, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Tetera/cafetera en todas las habitaciones, WiFi gratis, Jardín, Toallas, Habitaciones sin humo, Detectores de humo, WC, Escritorio, Parking adaptado para personas de movilidad reducida",Linz,Austria,"Directly set on the banks of the Danube River with a view of the Pöstlingberg Mountain, the ARCOTEL Nike Linz is only a 10-minute walk from the historic centre of Linz. This non-smoking hotel offers free WiFi.

The modern rooms offer views over the city and the Danube. Each room features a flat-screen satellite TV, a desk and a bathroom with a hairdryer. The Superior rooms and Suites are equipped with a minibar.

The ""uferei"" the café, bar and restaurant in the ARCOTEL Nike Linz,, with a view of the Danube and the Pöstlingberg, serves Austrian and international cuisine with seasonal variations. In summer, guests can enjoy the maritime atmosphere at the Danube Terrace. A rich buffet breakfast is available and a continental breakfast can also be requested.

A public parking garage is directly in front.

Many attractions such as the Brucknerhaus Concert Hall, the Lentos Museum of Modern Art, and the Ars Electronica Center are nearby. Many jogging routes and bicycle trails pass right by the ARCOTEL Nike Linz, and the A7 motorway is only 800 metres away."
Hotel Lokomotive,US$140,"8,0",Muy bien,2.272,https://cf.bstatic.com/xdata/images/hotel/max1024x768/307178347.webp?k=776262c5244e1291e749d8f6b8f76b4db3f2234c4abdc6d4b13ef88c5b166e72&o=,https://www.booking.com/hotel/at/lokomotive.es.html?aid=2410095,"Máquina expendedora (aperitivos), Cafetería en el alojamiento, Terraza, Fax, Servicio de despertador / alarma, Teléfono, Alarma de seguridad, Inglés, Parking privado, Bar, Guardaequipaje, Secador de pelo, Baño privado, Almuerzos para llevar, Vino / champán, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Registro de entrada y salida exprés, Snack-bar, Suelo de moqueta, Ducha, Máquina expendedora (bebidas), Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Información turística, Suelo de baldosa / mármol, Canales por cable, Calefacción, Artículos de aseo gratis, Fax / fotocopiadora, Zona de fumadores, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Escritorio, Muy buen desayuno, Servicio de despertador, Zona de estar",Linz,Austria,"El Hotel Lokomotive, de gestión familiar desde 1906, se encuentra en las inmediaciones de la estación principal de trenes de Linz. Ofrece cómodas habitaciones y un delicioso desayuno buffet.

El cercano centro de la ciudad se halla a 10 minutos en transporte público. La salida de la autopista Zentrum también está cerca."
