hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Podocarpus,https://www.booking.com/hotel/ec/podocarpus.es.html?aid=2410095,"El Hotel Podocarpus se encuentra a 100 metros de la zona comercial y de los museos. Ofrece habitaciones con conexión Wi-Fi gratuita y TV por cable en Loja. Cuenta con un restaurante y aparcamiento gratuito.

Las habitaciones del Hotel Podocarpus son muy luminosas y tienen suelo de moqueta. Además, todas incluyen baño privado.

Todos los días se sirve un desayuno americano. Además, el restaurante del hotel sirve especialidades regionales.

La recepción 24 horas le ayudará a organizar el servicio de traslado al aeropuerto. El Hotel Podocarpus se encuentra a 38 km del aeropuerto Camilo Ponce Enríquez.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Utensilios de planchado, Servicio de planchado, Plancha para pantalones, Muy buen desayuno, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Caja fuerte, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Suelo de moqueta, Baños públicos, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Toallas, Vino / champán, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Fax / fotocopiadora, Tours a pie, Ascensor, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Ruta de bares, Guardaequipaje, Escritorio, Ducha, Parking adaptado para personas de movilidad reducida, Teléfono, Habitaciones familiares, Tarjeta de acceso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/34298806.jpg?k=ac9f74e38d212173ce96d0ff2ba78abd8e16a66b9c4cf1c05ef03162a0258855&o=&hp=1,Loja,Ecuador
Grand Victoria Boutique Hotel,https://www.booking.com/hotel/ec/grand-victoria-boutique.es.html?aid=2410095,"El Grand Victoria Boutique Hotel se encuentra en Loja y ofrece restaurante, jardín, piscina cubierta, centro de fitness, conexión Wi-Fi gratuita y desayuno. La catedral está a 100 metros.

Las habitaciones del Grand Victoria Boutique Hotel son tranquilas y disponen de baño privado con bañera de hidromasaje y TV de pantalla plana.

El Grand Victoria Boutique Hotel alberga un spa. Hay servicio de habitaciones y servicio de lavandería bajo petición.

El Grand Victoria se encuentra a 5 km de la Universidad Loja UTPL y a 8 km del parque nacional Podocarpus. El valle de Vilcabamba y el aeropuerto de Catamayo se encuentran a 37 km. Hay aparcamiento privado gratuito.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Plancha para pantalones, Muy buen desayuno, Masajes, Parking gratis, Sombrillas, Happy hour, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Para todas las edades, Baños públicos, Lavamanos más bajo, Proporciona factura, Zona de fumadores, Registro de entrada / salida privado, Cafetería en el alojamiento, Centro de negocios, Taquillas en el gimnasio / spa, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, TV de pantalla plana, Habitaciones familiares, Adaptado personas de movilidad reducida, Tarjeta de acceso, Fruta, Traslado aeropuerto, Armario, Alarma de seguridad, Piscina privada, Vino / champán, Masaje de espalda, Piscina infantil, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Habitaciones sin humo, Peluquería / salón de belleza, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Snack-bar, Apoyo visual: braille, Abierta todo el año, Bañera, Baño privado, Supermercado pequeño en el alojamiento, Piscina interior, Escritorio, Adaptado para sillas de ruedas, Teléfono, Menús para dietas especiales (bajo petición), Caja fuerte, Seguridad 24 horas, Bar, Inglés, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Toallas de playa/piscina, Ascensor, WC con barras de apoyo, Restaurante, Recepción 24 horas, Servicio de despertador / alarma, Masaje de cuello, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320826080.jpg?k=20cec6ae1d034a251b594556efd008f9a12ca5429d1c419133bc5d7edc2e68c0&o=&hp=1,Loja,Ecuador
Hotel Carrion,https://www.booking.com/hotel/ec/carrion-loja1.es.html?aid=2410095,"Hotel Carrion tiene centro de fitness, terraza, restaurante y bar en Loja. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El alojamiento dispone de servicio de conserjería, mostrador de información turística y guardaequipaje.

En el hotel se puede disfrutar de un desayuno continental.

Hotel Carrion ofrece servicio de planchado, así como fax y fotocopiadora.

El aeropuerto más cercano (Aeropuerto Camilo Ponce Enríquez) está a 35 km.","Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Servicio de planchado, Muy buen desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Seguridad 24 horas, Bar, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Gimnasio, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Vino / champán, Información turística, Cafetería en el alojamiento, Centro de negocios, Galerías de arte temporales, Fax / fotocopiadora, Tours a pie, Ascensor, Español, Habitaciones sin humo, Extintores, Restaurante, Recepción 24 horas, Guardaequipaje, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/301166128.jpg?k=b875f133557b3b0a7911ff16528ca35d771f245584ff02ed83c2598cca7ef903&o=&hp=1,Loja,Ecuador
Hotel Virgen del Cisne,https://www.booking.com/hotel/ec/virgen-del-cisne.es.html?aid=2410095,"Hotel Virgen del Cisne ofrece alojamiento en Loja. Este hotel de 3 estrellas ofrece servicio de conserjería y mostrador de información turística. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

En el hotel, las habitaciones están equipadas con armario. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas a la ciudad. En Hotel Virgen del Cisne, las habitaciones incluyen escritorio y TV de pantalla plana.

El aeropuerto (Aeropuerto Camilo Ponce Enríquez) está a 35 km.","Entretenimiento nocturno, Parking en un garaje, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Canales vía satélite, Plancha para ropa, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de entrega de comestibles, Servicio de conserjería, WiFi gratis, Inglés, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Artículos de aseo gratis, Adaptado personas de movilidad reducida, Bañera, Español, Baño privado, Enchufe cerca de la cama, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Ducha, Personal de animación, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526786917.jpg?k=b2c23424fb04e588f7d4309e8e17933090b5971dceafa6c13595afc8653cdd9e&o=&hp=1,Loja,Ecuador
HOTEL SARAGURO LOJA,https://www.booking.com/hotel/ec/saraguro-loja-loja.es.html?aid=2410095,"HOTEL SARAGURO LOJA se encuentra en Loja. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, las habitaciones incluyen balcón. Todas las habitaciones cuentan con baño privado con ducha, y algunas también ofrecen vistas a la ciudad. En HOTEL SARAGURO LOJA, cada habitación cuenta con escritorio y TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Camilo Ponce Enríquez) está a 35 km.","Suelo de madera o parquet, Baño adicional, Desayuno, Parking gratis, Terraza, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Registro de entrada / salida privado, Bañera, Español, Baño privado, Balcón, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Peluquería / salón de belleza, Escritorio, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/387810052.jpg?k=92d8d3f0bbda6238cc3602ed2485687185552f6b7d09e87a935b2d0c412e155b&o=&hp=1,Loja,Ecuador
Departamento moderno en el centro se Loja,https://www.booking.com/hotel/ec/departamento-moderno-en-el-centro-se-loja.es.html?aid=2410095,"Departamento moderno en el centro se Loja se encuentra en Loja y ofrece alojamiento con balcón y wifi gratis.

El apartamento tiene 2 dormitorios, TV de pantalla plana y cocina totalmente equipada con nevera, horno, lavadora, microondas y fogones.","Zona de cocina, Plancha para ropa, WiFi gratis, Inglés, Nevera, Secador de pelo, Microondas, Horno, Español, Chimenea, Fogones, Balcón, Cocina, Guardaequipaje, Escritorio, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Secadora de ropa",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586120713.jpg?k=4eadb7a68c1df4184d6ecbd084597fa4cf52fa9dbac23dd85bd55d1f887dc74b&o=&hp=1,Loja,Ecuador
Hotel Caluva,https://www.booking.com/hotel/ec/caluva.es.html?aid=2410095,"El Hotel Caluva se encuentra en el centro de la ciudad de Loja y ofrece WiFi gratuita en todas las instalaciones. Se ofrecen bebidas de bienvenida.
Todas las habitaciones disponen de ascensor, baño privado, TV de pantalla plana DIRECTV, ropa de cama, toallas y artículos de aseo gratuitos.

La recepción está abierta las 24 horas. El Hotel Caluva ofrece servicios de lavandería y planchado por un suplemento y aparcamiento de pago.

Tenemos nuestra cafetería en la terraza de nuestro edificio con una vista espectacular de la ciudad, muy agradable para que puedas tomar las mejores fotografías.

El establecimiento se encuentra a 5 minutos en coche de la terminal de autobuses y a 40 minutos en coche del aeropuerto de Catamayo.

En el alojamiento se puede disfrutar de un desayuno típico americano o lojano, tamal, humitas o quimbolitos, tradición de nuestra ciudad.

Cerca del alojamiento hay lugares de interés como la Iglesia; La Catedral, San Francisco, Santo Domingo, San Sebastián, Museos, Puerta de la Ciudad, mercado central y hospitales, etc.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Sombrillas, Aseo adicional, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Habitaciones comunicadas disponibles, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Canales de pago, Servicio de habitaciones, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Vino / champán, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Acceso a pisos superiores en ascensor, Galerías de arte temporales, Productos de limpieza, Fax / fotocopiadora, Ascensor, Adaptado personas de movilidad reducida, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Peluquería / salón de belleza, Entrada privada, Buen desayuno, Ducha, Teléfono, Habitaciones familiares, Parking en el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/354751838.jpg?k=18d4303a7747d7d16a0523c69d8b92d949f4761019c5d3b26d17550ded78e80a&o=&hp=1,Loja,Ecuador
Hotel Loja Bella,https://www.booking.com/hotel/ec/loja-bella.es.html?aid=2410095,"Hotel Loja Bella se encuentra en Loja y ofrece alojamiento de 3 estrellas con terraza. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

El aeropuerto más cercano (Aeropuerto Camilo Ponce Enríquez) está a 35 km del alojamiento.","Parking en un garaje, Parking gratis, Sombrillas, Traslado aeropuerto, Terraza, Seguridad 24 horas, Servicio de lavandería, Servicio de aparcacoches, Detectores de humo, Servicio de conserjería, WiFi gratis, Inglés, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Información turística, Registro de entrada / salida privado, Ascensor, Adaptado personas de movilidad reducida, Español, WC con barras de apoyo, Extintores, Recepción 24 horas, Guardaequipaje, Adaptado para sillas de ruedas, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/491899865.jpg?k=a7abf6801741f644a5e72de4b3847f1b6953236c036c053c85c8c5d3de29fedd&o=&hp=1,Loja,Ecuador
Oro Verde Loja,https://www.booking.com/hotel/ec/romar-royal.es.html?aid=2410095,"Oro Verde Loja se encuentra en Loja y ofrece alojamiento de 3 estrellas con bar. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El cafetería es ideal para tomar algo.

Las habitaciones incluyen TV de pantalla plana con canales por cable, cafetera, ducha, artículos de aseo gratuitos y escritorio. Las habitaciones del alojamiento disponen de baño privado con secador de pelo, y algunas habitaciones también ofrecen zona de estar. Todas las habitaciones incluyen caja fuerte.

En el hotel se puede disfrutar de un desayuno buffet.

El aeropuerto más cercano (Aeropuerto Camilo Ponce Enríquez) está a 35 km del alojamiento.","Cafetera, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Utensilios de planchado, Servicio de planchado, Plancha para pantalones, Plancha para ropa, Sombrillas, Servicio de limpieza diario, Salas de reuniones / banquetes, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones hipoalergénicas, Servicio de entrega de comestibles, Habitaciones insonorizadas, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Menú para niños, Gimnasio, WC, Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Snack-bar, Información turística, Artículos de aseo gratis, Secador de pelo, Centro de negocios, Fax / fotocopiadora, Ascensor, Adaptado personas de movilidad reducida, Desayuno fantástico, Español, Baño privado, Máquina expendedora (bebidas), Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Insonorización, Recepción 24 horas, Servicio de despertador / alarma, Guardaequipaje, Hipoalergénico, Escritorio, TV de pantalla plana, Ducha, Desayuno en la habitación, Teléfono, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/69906937.jpg?k=72508aa4154b80ed4cc472e5e7832b18d1c366817fe972817e555a0f6f46f1c5&o=&hp=1,Loja,Ecuador
Zamorano Real Hotel,https://www.booking.com/hotel/ec/zamorano-real.es.html?aid=2410095,"El Zamorano Real Hotel se encuentra en el centro de Loja y ofrece un desayuno americano de autoservicio, un restaurante, un centro de negocios y recepción las 24 horas.

Las habitaciones del Zamorano Real Hotel tienen baño privado y TV de pantalla plana. Hay servicio de habitaciones.

Se proporcionan servicios de lavandería y de consigna de equipaje.

El Zamorano Real está a 30 km del aeropuerto de Catamayo. Se proporciona aparcamiento privado gratuito.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Plancha para pantalones, Parking gratis, Sombrillas, Aseo adicional, Happy hour, Bañera o ducha, Mobiliario exterior, Detectores de humo, WiFi gratis, Baños públicos, Zona de fumadores, Registro de entrada / salida privado, Cafetería en el alojamiento, Centro de negocios, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Tinte, Traslado aeropuerto, Armario, Alarma de seguridad, Vino / champán, Galerías de arte temporales, Servicios de belleza, Fax / fotocopiadora, Exfoliación corporal, Toda la unidad accesible en silla de ruedas, Caja fuerte para ordenador portátil, Habitaciones sin humo, Guardaequipaje, Servicio de planchado, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Servicio de aparcacoches, TV, Habitaciones comunicadas disponibles, Servicios de maquillaje, Menú para niños, Tratamientos capilares, Snack-bar, Secador de pelo, Productos de limpieza, Corte de pelo, Desayuno fantástico, Bañera, Baño privado, Peinado, Pedicura, Escritorio, Adaptado para sillas de ruedas, Ducha, Teléfono, Suelo de madera o parquet, Menús para dietas especiales (bajo petición), Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Servicios de depilación, Acceso a pisos superiores en ascensor, Toallas, Información turística, Ascensor, WC con barras de apoyo, Restaurante, Recepción 24 horas, Servicio de despertador / alarma, Manicura, Desayuno en la habitación, iPad",https://cf.bstatic.com/xdata/images/hotel/max1024x768/92168107.jpg?k=3e37d4d6cceb54645ec337d1cdb23947da472d953ef72b1b9c53a9ffa178f66c&o=&hp=1,Loja,Ecuador
