hotel,hotel_url,description,popular_facilities,highres_url,city,country
JANICO Cabañas,https://www.booking.com/hotel/cl/janico-cabanas-cautin.es.html?aid=2410095,"JANICO Cabañas ofrece jardín y alojamiento con cocina en Loncoche.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 56 km.","Español, Baño privado, Cocina, Jardín, Prohibido fumar en todo el alojamiento, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518917298.jpg?k=50613710b53100af63b691fa87ad7bffb48f58b9a970bf58fc236abdda547644&o=&hp=1,Loncoche,Chile
Cabañas JANICO,https://www.booking.com/hotel/cl/cabanas-janico-loncoche.es.html?aid=2410095,"Cabañas JANICO se encuentra en Loncoche, en la región de Araucanía, y ofrece alojamiento con parking privado gratis.

Hay una cocina totalmente equipada y un baño privado.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 56 km.","Español, Parking gratis, Baño privado, Prohibido fumar en todo el alojamiento, Jardín, Cocina, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518432044.jpg?k=abf5b89388c99ed13f14477f7c873c04e83b806c62ed2c95574fad3792b65d76&o=&hp=1,Loncoche,Chile
Cabañas Janico,https://www.booking.com/hotel/cl/cabanas-janico.es.html?aid=2410095,"Cabañas Janico ofrece jardín y alojamiento con cocina en Loncoche.

El aeropuerto (Aeropuerto Pichoy) está a 56 km.","Español, Baño privado, Cocina, Jardín, Prohibido fumar en todo el alojamiento, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518416711.jpg?k=13acde1d824267e7e22c12de6a7e5ae1ae13fcd7a6bda92611ef81b8892a8cb2&o=&hp=1,Loncoche,Chile
Cabañas Janico,https://www.booking.com/hotel/cl/cabanas-janico-cautin.es.html?aid=2410095,"Cabañas Janico ofrece jardín y alojamiento con cocina en Loncoche.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 56 km del alojamiento.","Baño privado, Cocina, Jardín, Prohibido fumar en todo el alojamiento, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518422105.jpg?k=d66322185c9154df93ba7441fe20114b06c5a13d2232247bd281822600479fa0&o=&hp=1,Loncoche,Chile
Cabañas JANICO,https://www.booking.com/hotel/cl/cabanas-janico-cautin1.es.html?aid=2410095,"Cabañas JANICO se encuentra en Loncoche.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 56 km.","Lavadora, TV de pantalla plana, Cocina, Prohibido fumar en todo el alojamiento, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518752104.jpg?k=6e4e233e3d5950fbfa1e2368cf7649143cc6715eee0960b42f25da06df6108c3&o=&hp=1,Loncoche,Chile
JANICO CABAÑAS,https://www.booking.com/hotel/cl/janico-cabanas-cautin1.es.html?aid=2410095,"JANICO CABAÑAS se encuentra en Loncoche.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y zona de cocina. Hay parking privado gratis en el apartamento.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 56 km del alojamiento.","Español, Parking gratis, TV de pantalla plana, Prohibido fumar en todo el alojamiento, Lavadora, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519360269.jpg?k=b90ed6f1e9e59ecd2eab2e162d4950618cdd73eb35dce12702ef02ac149afbf9&o=&hp=1,Loncoche,Chile
Casa Loncoche Villarrica con 3 Dormitorios,https://www.booking.com/hotel/cl/casa-loncoche-villarrica.es.html?aid=2410095,"Casa Loncoche Villarrica con 3 Dormitorios está en Loncoche y ofrece salón de uso común y terraza. Esta casa o chalet tiene jardín y parking privado gratis.

La casa o chalet de 3 dormitorios dispone de sala de estar con TV de pantalla plana, cocina totalmente equipada y 1 baño con secador de pelo.

El personal de la recepción 24 horas puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto (Aeropuerto internacional La Araucanía) está a 51 km.","Terraza, TV de pantalla plana, Ropa de cama, Vistas al jardín, Zona de comedor, Sofá cama, Sofá, Enchufe cerca de la cama, Camas extralargas (más de 2 metros), TV, Prohibido fumar en todo el alojamiento, Español, Utensilios de cocina, Mesa de comedor, Chimenea, Jardín, Parking gratis, Baño privado, Secador de pelo, Recepción 24 horas, Zona TV / salón de uso compartido, WC, Habitaciones comunicadas disponibles, Habitaciones familiares, Cocina, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/498659954.jpg?k=4b935d683c0125bc0c77047c933fe2d6e7b6dbe971bff0dbbe6fcf1ff05d869c&o=&hp=1,Loncoche,Chile
Cabaña en carretera 5 sur y granja de animales,https://www.booking.com/hotel/cl/cabana-4-personas-cerca-a-rio-cruce.es.html?aid=2410095,"Cabaña en carretera 5 sur y granja de animales se encuentra en La Paz, en la región de Araucanía, y tiene patio y vistas al río. Esta casa o chalet dispone de jardín y parking privado gratis.

La casa o chalet tiene 2 dormitorios, TV de pantalla plana y cocina totalmente equipada con nevera. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet se sirve todas las mañanas un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 42 km.","TV de pantalla plana, Productos de limpieza, Ropa de cama, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Patio, Bañera, Ventilador, Entrada privada, TV, Español, Vistas al río, Calefacción, Independiente, Bañera o ducha, Utensilios de cocina, Ducha, Mesa de comedor, Armario, Toallas, Vistas, Jardín, Hervidor eléctrico, Nevera, Parking gratis, WC, Habitaciones familiares, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537609199.jpg?k=51ddb61e64f7ab3641a514c5c3751838b77a6de1b8d0069d6ee8308598bffe9a&o=&hp=1,Loncoche,Chile
Cabaña con tinaja,https://www.booking.com/hotel/cl/cabana-con-tinaja-lanco.es.html?aid=2410095,"Cabaña con tinaja se encuentra en Lanco. Este alojamiento ofrece parking privado gratis y acceso a una terraza.

Esta casa o chalet da a un balcón con vistas al jardín y cuenta con 2 dormitorios y cocina totalmente equipada. Se ofrece TV.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 40 km del alojamiento.","Bañera o ducha, Parking gratis, Terraza, Inglés, Prohibido fumar en todo el alojamiento, Zona de cocina, Calefacción, Vistas, Vistas al jardín, Independiente, TV, Cocina, Español, Servicio de streaming (como Netflix), Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521244181.jpg?k=d904edb58562a37b6d72f1437ad330d7dce766ef55951408a5db927eb52b9f9c&o=&hp=1,Loncoche,Chile
Cabaña 4 personas Lanco centro,https://www.booking.com/hotel/cl/cabana-4-personas-lanco-centro.es.html?aid=2410095,"Cabaña 4 personas Lanco centro está en Lanco y ofrece terraza. Este alojamiento ofrece parking privado gratis y acceso a un patio.

Esta casa o chalet consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 38 km.","Terraza, Ropa de cama, Zona de comedor, Patio, Entrada privada, Español, Calefacción, Independiente, Bañera o ducha, Utensilios de cocina, Ducha, Vistas a un patio interior, Mesa de comedor, Armario, Toallas, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, WC, Habitaciones familiares, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520923081.jpg?k=47e1c7f462a3dfedcbf34d9d31d14dcb89a227397c984d2d66b72c3cdb117862&o=&hp=1,Loncoche,Chile
"Casa Skibart, Lanco",https://www.booking.com/hotel/cl/mi-casita-en-aylin-lanco.es.html?aid=2410095,"Casa Skibart, Lanco está en Malalhue. La casa o chalet dispone de parking privado gratis y está a 39 km de Lago Panguipulli.

La casa o chalet cuenta con patio y vistas a la montaña, y tiene 1 dormitorio, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 1 baño con ducha. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto (Aeropuerto Pichoy) está a 58 km.","Inglés, Tetera / cafetera, TV de pantalla plana, Libros, DVD o música para niños, Productos de limpieza, Ropa de cama, Escritorio, Zona de comedor, Vistas al jardín, Plancha para ropa, Sofá cama, Utensilios de planchado, Perchero, Sofá, Enchufe cerca de la cama, Patio, Zona de estar, Barbacoa, Entrada privada, Suelo de madera o parquet, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Independiente, Microondas, Bañera o ducha, Utensilios de cocina, Ducha, Vistas a un patio interior, Mesa de comedor, Armario, Toallas, Chimenea, Cafetera, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Cocina, Lavadora, Tendedero, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523038842.jpg?k=788ddff6329b4354157da8e3edfb5dfe02870e8ca429c89de0437b7c7d454b63&o=&hp=1,Loncoche,Chile
Cabañas Lanco,https://www.booking.com/hotel/cl/cabanas-lanco.es.html?aid=2410095,"Cabañas Lanco está en Panguipulli, a 39 km de Lago Panguipulli, y dispone de alojamiento con jardín, parking privado gratis y terraza. El alojamiento ofrece recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel cápsula, las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama, toallas y un patio con vistas a la ciudad. Las unidades cuentan con nevera.

El aeropuerto (Aeropuerto Pichoy) está a 60 km.","Muebles de exterior, Acceso a pisos superiores en ascensor, Terraza, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Toda la unidad accesible en silla de ruedas, Vistas a un lugar de interés, Sofá, WiFi gratis, Enchufe cerca de la cama, Patio, Zona de estar, Barbacoa, Suelo de madera o parquet, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Microondas, Vistas a la ciudad, Utensilios de cocina, Canales vía satélite, Ducha, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Canales de pago, Chimenea, Jardín, Suelo de baldosa / mármol, Canales por cable, Nevera, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Recepción 24 horas, Toda la unidad en la planta baja, WC, Accesible para personas sordas, Habitaciones familiares, Zona de comedor exterior, Cocina, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520603044.jpg?k=bb3441ece3e011bb090d56b4d94427ed63bdc908582474ae43f630277fdce314&o=&hp=1,Loncoche,Chile
Cabañas Los Naranjos - Lanco,https://www.booking.com/hotel/cl/cabanas-los-naranjos-lanco.es.html?aid=2410095,"Cabañas Los Naranjos - Lanco se encuentra en Lanco y ofrece jardín y terraza. Esta casa o chalet ofrece parking privado gratis, recepción 24 horas y wifi gratis.

Esta casa o chalet consta de 3 dormitorios, una cocina y 2 baños. Se ofrece TV de pantalla plana.

Se puede practicar ciclismo en los alrededores.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 40 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Inglés, TV de pantalla plana, Extintores, Llave de acceso, Zona de fumadores, Información turística, WiFi gratis, Traslado aeropuerto, Registro de entrada / salida privado, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Terraza / solárium, Calefacción, Pesca, Clases de yoga, Senderismo, Jardín, Proporciona factura, Tours a pie, Ruta de bares, Parking gratis, Baño privado, Italiano, Portugués, Ciclismo, Recepción 24 horas, Zona de pícnic, Habitaciones familiares, Tours en bici, Cocina, Lavadora, Servicio de traslado, Habitaciones sin humo, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/439828597.jpg?k=ca99ed7dfa7fe53cde4b8f93e03f22b581d4a998dfa04d18c12b5d0e45ba65d9&o=&hp=1,Loncoche,Chile
"Casa rustica, cercana a rio, a 15 minutos de Villarrica.",https://www.booking.com/hotel/cl/casa-rustica-cercana-a-rio-a-15-minutos-de-villarrica.es.html?aid=2410095,"Casa rustica, cercana a rio, a 15 minutos de Villarrica. Se encuentra en Villarrica. Este alojamiento ofrece parking privado gratis y acceso a una terraza.

Esta casa o chalet cuenta con 3 dormitorios, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto internacional La Araucanía) está a 67 km del alojamiento.","Parking gratis, Terraza, Zona de cocina, TV de pantalla plana, Vistas al jardín, Cocina, Español, Calefacción, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525489582.jpg?k=5fd1b2962bc91786af30e1793524e67e331fdb412945d113d68b8fdde67953ce&o=&hp=1,Loncoche,Chile
