hotel,hotel_url,description,popular_facilities,highres_url,city,country
Weisserhaus,https://www.booking.com/hotel/cl/weisserhaus.es.html?aid=2410095,"Este establecimiento cuenta con una elegante y acogedora sala de estar de estilo alpino. Se encuentra a 200 metros del lago Llanquihue y a 25 km de la pintoresca localidad de Puerto Montt. Hay conexión Wi-Fi y aparcamiento privado, ambos son gratuitos.

El Weisserhaus dispone de habitaciones elegantes decoradas con toques de madera rústica. Todas están equipadas con TV por cable y baño privado con ducha. Algunos baños tienen bañera.

Cada mañana, el Weisserhaus sirve un desayuno continental completo con zumos naturales y dulces regionales.

La recepción permanece abierta las 24 horas y se pueden reservar servicios de enlace con el aeropuerto y con otros lugares de interés cercanos. La plaza principal de Puerto Varas está a 3 calles.","Inglés, TV de pantalla plana, Extintores, Desayuno fabuloso, Información turística, Perchero, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Traslado aeropuerto, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Caja fuerte, Guardaequipaje, Ducha, Armario, Servicio de limpieza diario, Proporciona factura, Canales por cable, Seguridad 24 horas, Parking gratis, Baño privado, Alemán, Secador de pelo, Recepción 24 horas, Detectores de humo, Zona TV / salón de uso compartido, WC, Acceso a pisos superiores solo mediante escaleras, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/99711382.jpg?k=c5cdb9c9ca59a507f5bb68e2af0d3d1f111f3373175dcc604138d907fb74657a&o=&hp=1,Los Lagos,Chile
Departamentos Egaña,https://www.booking.com/hotel/cl/departamentos-egana.es.html?aid=2410095,"Departamentos Egaña se encuentra en Puerto Montt, en la región de Los Lagos, cerca de Templo Luterano. Ofrece alojamiento con wifi gratis y parking privado gratis.

Las unidades disponen de suelo de parquet, cocina totalmente equipada con nevera, zona de comedor, TV de pantalla plana con canales por cable y baño privado con ducha y artículos de aseo gratuitos. También se ofrece microondas y tostadora, además de hervidor.

Playa Pelluco está a 2,5 km del alojamiento, y Museo Pablo Fierro está a 21 km. El aeropuerto más cercano (Aeropuerto El Tepual) está a 24 km.","TV de pantalla plana, Productos de limpieza, Ropa de cama, Información turística, Zona de comedor, Plancha para ropa, Perchero, Sofá, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Adosado, Apartamento privado en edificio, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Español, Independiente, Calefacción, Microondas, Supermercado pequeño en el alojamiento, Utensilios de cocina, Ducha, Armario, Toallas, Artículos de aseo gratis, Canales de pago, Chimenea, Vestidor, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, Hervidor eléctrico, Nevera, Parking en un garaje, Parking gratis, Baño privado, Tostadora, Secador de pelo, Aire acondicionado, Habitaciones familiares, Cocina, Lavadora, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/487139026.jpg?k=da312572c24dbffd18b1a688044ff8aff2531adf54400e9f35cf124c6d0c6eec&o=&hp=1,Los Lagos,Chile
Calma Cabins,https://www.booking.com/hotel/cl/calma-patagonia-cabins.es.html?aid=2410095,"Calma Cabins está a 21 km de Volcán Osorno y ofrece jardín y zona de playa privada, así como alojamiento con aire acondicionado, balcón y wifi gratis.

El lodge ofrece terraza, vistas al jardín, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y horno, y baño privado con ducha y secador de pelo. También hay microondas y tostadora, además de cafetera y hervidor.

Calma Cabins ofrece servicio de alquiler de bicicletas.

Puerto Octay está a 37 km del alojamiento. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 77 km.","Terraza, Playa, Tetera/cafetera en todas las habitaciones, Inglés, Tetera / cafetera, TV de pantalla plana, Llave de acceso, Situado frente a la playa, Ropa de cama, Vistas al jardín, Zona de comedor, Información turística, Perchero, Sofá, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Patio, Zona de estar, Registro de entrada / salida privado, Entrada privada, Suelo de madera o parquet, Mobiliario exterior, Horno, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Calefacción, Bañera o ducha, Microondas, Utensilios de cocina, Canales vía satélite, Ducha, Vistas a un patio interior, Papel higiénico, Salas de reuniones / banquetes, Armario, Mesa de comedor, Toallas, Cafetera, Jardín, Proporciona factura, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Alquiler de bicicletas, Zona privada de playa, Vino / champán, Tostadora, Secador de pelo, Toda la unidad en la planta baja, WC, Aire acondicionado, Habitaciones familiares, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511301579.jpg?k=e5c6133b345bc77a56c8ad44028b713bb37add93b6c04f078a003db5806e6916&o=&hp=1,Los Lagos,Chile
Cabañas Ensenada Bosque Nativo,https://www.booking.com/hotel/cl/cabanas-anulen-bosque-nativo.es.html?aid=2410095,"Las Cabañas Ensenada Bosque Nativo se encuentran en Los bosques del sur y ofrecen bungalows en La Ensenada. Gratis Hay conexión Wi-Fi.

Estas acogedoras cabañas totalmente amuebladas están decoradas con buen gusto y funcionan con energía solar fotovoltaica. Están equipadas con sofá, baño privado, zona de comedor, cocina y vistas al jardín y a la montaña. Se proporcionan toallas y ropa de cama.

Las Cabañas Ensenada Bosque Nativo cuentan con jardín grande, bañera de hidromasaje y terraza compartida. La bañera de hidromasaje está disponible por un suplemento. Tanto en el establecimiento como en los alrededores se pueden practicar diversas actividades, como rafting, senderismo, pesca y senderismo. Se facilita aparcamiento gratuito.

Los bungalows se encuentran a 12 km de las cascadas de Petrohue y del volcán Osorno. El lago de Todos Los Santos está a 16 km. El aeropuerto El Tepual de Puerto Montt se encuentra a 68 km.","Terraza, Tetera / cafetera, Extintores, Productos de limpieza, Información turística, Alquiler de coches, Adaptado personas de movilidad reducida, Zona de estar, Registro de entrada / salida privado, Servicio de conserjería, Habitaciones insonorizadas, Caja fuerte, Mesa de comedor, Jardín, Tours a pie, Tour o clase sobre cultura local, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Zona de cocina, Vistas, Vistas al jardín, Zona de comedor, Sofá cama, Vistas a un lugar de interés, Juegos de mesa / puzles, Patio, Barbacoa, Fax / fotocopiadora, Entrada privada, Cámaras de seguridad en las zonas comunitarias, Servicio de entrega de comestibles, Calefacción, Ducha, Bañera de hidromasaje / jacuzzi, Baño al aire libre, Alquiler de bicicletas, Tostadora, Ropa de cama, Zona de fumadores, Perchero, Zona de juegos para niños, Fogones, Horno, Español, Pesca, Utensilios de cocina, Armario, Toallas, WC con barras de apoyo, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, WC, Esquí, Cocina, Papel higiénico, Snack-bar, Detector de monóxido de carbono, Sofá, WiFi gratis, Baños públicos, Suelo de madera o parquet, WC elevado, Terraza / solárium, Apoyo visual: braille, Bañera o ducha, Escuela de esquí, Guardaequipaje, Vistas a un patio interior, Servicio de limpieza diario, Chimenea, Senderismo, Proporciona factura, Vino / champán, Equipamiento de juegos para exterior, Ciclismo, Barandillas protectoras para bebés, Tours en bici, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106656050.jpg?k=9a992c51f011387e0b37fa92cd65cf3ac3e44e8391174e24bc89c364b82ddee2&o=&hp=1,Los Lagos,Chile
Casa Chilhué - Hostal Residencial,https://www.booking.com/hotel/cl/hostal-chilhue.es.html?aid=2410095,"El Hostal Chilhue ofrece conexión WiFi gratuita y se encuentra en Castro.

Las habitaciones disponen de TV y algunas cuentan con baño privado y desayuno a diario.

El Hostal Chilhue alberga jardín, terraza y cocina compartida. El establecimiento también proporciona salón compartido, mostrador de información turística, consigna de equipaje y aparcamiento gratuito.","Terraza, Inglés, TV de pantalla plana, Extintores, Ropa de cama, Productos de limpieza, Información turística, Zona de fumadores, Perchero, WiFi gratis, Enchufe cerca de la cama, Aseo compartido, Registro de entrada / salida privado, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Suelo de moqueta, Bañera o ducha, Microondas, Utensilios de cocina, Guardaequipaje, Ducha, Armario, Toallas, Jardín, Nevera, Parking gratis, Baño privado, Toda la unidad en la planta baja, Zona TV / salón de uso compartido, WC, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/38303704.jpg?k=091e46f77a949696ba62d801ab338df5a8dbac4bce47b77d7ccb0dff78db598f&o=&hp=1,Los Lagos,Chile
Hotel Don Luis Puerto Montt,https://www.booking.com/hotel/cl/don-luis-business.es.html?aid=2410095,"El Hotel Don Luis Puerto Montt, situado cerca de la plaza principal, en el centro de Puerto Montt, es un hotel de 4 estrellas con sauna, sala de fitness y restaurante. Todas las habitaciones presentan una decoración preciosa y cuentan con TV por cable y servicio de habitaciones. Angelmó se encuentra a 5 minutos en coche.

Se puede elegir entre suites o habitaciones. Las habitaciones están equipadas con cerradura electrónica, secador de pelo y caja de seguridad, mientras que las suites gozan de vistas al seno de Reloncaví.

El hotel dispone de gimnasio y sauna. Hay una zona WiFi gratuita a disposición de todos los huéspedes.

El restaurante Doña Elena del hotel sirve platos típicos regionales. El bar del establecimiento ofrece una gran variedad de bebidas.

El Hotel Don Luis Puerto Montt se halla a 15 minutos en coche del aeropuerto.","Inglés, Bar, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Extintores, Restaurante, Información turística, Menús para dietas especiales (bajo petición), Alquiler de coches, WiFi gratis, Traslado aeropuerto, Teléfono, Fruta, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Español, Centro de negocios, Calefacción, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Toallas, Gimnasio, Billar, Servicio de limpieza diario, Pediluvio, Proporciona factura, Almuerzos para llevar, Servicio de limpieza en seco, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Vino / champán, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/63209731.jpg?k=5aa402518f97de07d26227f06328fabd0ac2a2d4f1bf9736319ad6671bf4e75b&o=&hp=1,Los Lagos,Chile
Cabañas Bosque Sur,https://www.booking.com/hotel/cl/cabaa-as-bosque-sur.es.html?aid=2410095,"Las Cabañas Bosque Sur se encuentran en Puerto Varas, a solo 1 km del centro de la ciudad y a solo 100 metros de la estación de autobuses, y ofrecen bungalows acogedores y totalmente equipados con conexión Wi-Fi gratuita. Hay aparcamiento privado gratuito.

Los bungalows del Bosque Sur cuentan con cocina completa con zona de comedor y están equipados con TV por cable y zona de estar. También se ofrece servicio de camarera de pisos.

Los bungalows se encuentran a 33 km del aeropuerto de El Tepual, en Puerto Montt, y cuentan con recepción abierta las 24 horas.","Inglés, TV de pantalla plana, Extintores, Ropa de cama, Información turística, Perchero, WiFi gratis, Patio, Barbacoa, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Bañera o ducha, Armario, Toallas, Jardín, Proporciona factura, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, WC, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/17152792.jpg?k=bff22901f770b77a04eaad02a568ad117b1fe2d825b79d2691adef45336739e3&o=&hp=1,Los Lagos,Chile
Meular Chiloe,https://www.booking.com/hotel/cl/meular-chiloe-b-47-b.es.html?aid=2410095,"Meular Chiloe está en Castro, a 2,5 km de Playa Sabanilla, y dispone de alojamiento con jardín, parking privado gratis y terraza. El alojamiento está a unos 18 km de Iglesia de Nuestra Señora del Rosario de Chonchi, a 23 km de Iglesia de Nuestra Señora de los Dolores y a pocos pasos de Iglesia Nuestra Señora de Gracia de Nercón. Todas las habitaciones disponen de un patio con vistas a la ciudad y wifi gratis.

Todas las habitaciones están equipadas con aire acondicionado, nevera, horno, cafetera, ducha, secador de pelo y armario. En el hotel, cada habitación dispone de baño privado y ropa de cama.

En Meular Chiloe se sirve cada mañana un desayuno continental.

Iglesia San Francisco de Castro está a 4,1 km del alojamiento, y Iglesia Santa María de Rilán está a 30 km. El aeropuerto (Aeropuerto de Mocopulli) está a 23 km.","Terraza, Tetera / cafetera, Extintores, Información turística, Bañera de hidromasaje, Zona de estar, Microondas, Mesa de comedor, Cafetera, Jardín, Spa y centro de bienestar, Tour o clase sobre cultura local, Masaje de cuello, Zona de pícnic, Zona de cocina, Vistas, Tumbonas/sillas de playa, Vistas al jardín, Zona de comedor, Juegos de mesa / puzles, Aseo compartido, Patio, Bañera, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Vistas al mar, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Calefacción, Ducha, Clases de yoga, Bañera de hidromasaje / jacuzzi, Tostadora, Clases de cocina, Ropa de cama, Perchero, Desayuno, Enchufe cerca de la cama, Habitaciones sin humo, Horno, Español, Vistas a la ciudad, Utensilios de cocina, Servicio de planchado, Armario, Toallas, Masaje de espalda, Hervidor eléctrico, Equitación, Servicio de habitaciones, Parking gratis, Baño privado, WC, Cocina, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Inglés, Servicio de lavandería, Llave de acceso, Masajes, Plancha para pantalones, Sofá, WiFi gratis, Suelo de madera o parquet, Terraza / solárium, Bañera o ducha, Supermercado pequeño en el alojamiento, Servicio de limpieza diario, Solo para adultos, Senderismo, Proporciona factura, Desayuno en la habitación, Seguridad 24 horas, Nevera, Vino / champán, Secador de pelo, Toda la unidad en la planta baja, Aire acondicionado, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/221248281.jpg?k=bdbf395a1442a18833d726d2ab60f82cc6a3301d35aa620c5f08d7f4c3cb86af&o=&hp=1,Los Lagos,Chile
Hostal y Cabañas Mozart,https://www.booking.com/hotel/cl/hostal-y-cabanas-mozart.es.html?aid=2410095,"Hostal y Cabañas Mozart se encuentra en Puerto Montt, a 46 km de Museo Pablo Fierro, y ofrece alojamiento con jardín, parking privado gratis, terraza y zona de barbacoa. El alojamiento está a unos 27 km de Templo Luterano, a 28 km de Volcan Calbuco y a 28 km de Parque Nacional Alerce Andino. Se ofrece wifi gratis y cocina compartida.

Las habitaciones incluyen nevera, horno, hervidor, ducha, artículos de aseo gratuitos y escritorio. El hostal o pensión dispone de algunas habitaciones con balcón y vistas a la ciudad, y todas tienen baño privado y armario. En Hostal y Cabañas Mozart, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se sirve todos los días un desayuno continental.

Estadio Chinquihue está a 31 km del alojamiento, y Iglesia Sagrado Corazón de Jesús está a 44 km. El aeropuerto más cercano (Aeropuerto El Tepual) está a 48 km del alojamiento.","Terraza, Playa, Tetera/cafetera en todas las habitaciones, Inglés, Tetera / cafetera, Libros, DVD o música para niños, Extintores, Llave de acceso, Situado frente a la playa, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Escritorio, Información turística, Utensilios de planchado, Plancha para pantalones, Vistas a un lugar de interés, Perchero, Cocina compartida, Plancha para ropa, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Patio, Zona de estar, Barbacoa, Servicio de despertador, Vistas al mar, Mobiliario exterior, Horno, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Microondas, Utensilios de cocina, Guardaequipaje, Ducha, Vistas a un patio interior, Armario, Vistas, Toallas, Artículos de aseo gratis, Mesa de comedor, Servicio de limpieza diario, Jardín, Proporciona factura, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Zona privada de playa, Alemán, Tostadora, Aseo adicional, Desayuno excepcional, Toallas / sábanas (por un suplemento), Aire acondicionado, Zona de pícnic, Habitaciones familiares, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/121983653.jpg?k=1d50fdf955b2a11cfb2ac1de20ec1f3f40f99edc036b61bef44daa4b942ce02c&o=&hp=1,Los Lagos,Chile
Mareas Ralun Lodge,https://www.booking.com/hotel/cl/ralun-lodge-patagonia.es.html?aid=2410095,"El Mareas Ralun Lodge ofrece 3 casas completamente equipadas en Ralún, a 30 km de Ensenada y a 80 km de Puerto Varas. Hay WiFi gratuita y aparcamiento privado gratuito.

Todas las casas disponen de cocina completamente equipada, zona de salón comedor con fogón de leña de combustión lenta, baño privado con agua caliente y una terraza cubierta amueblada. Ofrecen vistas al estuario de Reloncaví. Se ofrece una cuna, si se solicita con antelación.

Todos los días se sirve un desayuno rural gratuito en la habitación.

El establecimiento también ofrece almuerzos y cenas limitadas en el restaurante. Los platos se preparan con productos frescos del jardín y el invernadero o de las granjas locales.

El Ralun Lodge Patagonia tiene barbacoa y un pequeño supermercado.

El aeropuerto más cercano es el aeropuerto de El Tepual, ubicado a 105 km del Mareas Ralun Lodge.","Tumbonas/sillas de playa, Terraza, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Vistas al jardín, Zona de comedor, Masajes, Vistas a un lugar de interés, Desayuno, Sofá, Juegos de mesa / puzles, Enchufe cerca de la cama, Piragüismo, Patio, Zona de estar, Traslado aeropuerto, Barbacoa, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Vistas al mar, Mobiliario exterior, Horno, Prohibido fumar en todo el alojamiento, Español, Vistas al río, Calefacción, Pesca, Bañera o ducha, Microondas, Utensilios de cocina, Guardaequipaje, Ducha, Clases de yoga, Armario, Vistas, Toallas, Artículos de aseo gratis, Mesa de comedor, Chimenea, Senderismo, Servicio de limpieza diario, Cámaras de seguridad fuera del alojamiento, Bañera de hidromasaje / jacuzzi, Jardín, Proporciona factura, Tours a pie, Desayuno en la habitación, Hervidor eléctrico, Equitación, Servicio de habitaciones, Nevera, Baño privado, Vistas a la montaña, Secador de pelo, Aseo adicional, Toallas / sábanas (por un suplemento), Lavavajillas, WC, Zona de pícnic, Habitaciones familiares, Cocina, Balcón, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81777508.jpg?k=1b53cf41943dab73c1a01aa251322bdc65a4e16fc258c0021e3801f8c7541c1b&o=&hp=1,Los Lagos,Chile
