hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostel Vagamundo,https://www.booking.com/hotel/es/hostel-vagamundo.es.html?aid=2410095,"Hostel Vagamundo, en Los Llanos de Aridane, ofrece alojamiento solo para adultos con jardín y salón de uso común. El alojamiento dispone de cocina compartida y wifi gratis.

Todas las habitaciones tienen ropa de cama.

El aeropuerto (Aeropuerto de La Palma) está a 24 km.","Noches de cine, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Mobiliario exterior, Italiano, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Sala de juegos, Juegos de mesa / puzles, Ducha, Español, Detectores de humo, Caja fuerte, Inglés, Habitaciones sin humo, Servicio de limpieza diario, Papel higiénico, Jardín, Toda la unidad en la planta baja, Entretenimiento nocturno, Guardaequipaje, Ropa de cama, Taquillas, WC, Solo para adultos, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/215214458.jpg?k=64f2d7a281d753a164eab3767b40cb69f6012ec7fd26ca28c06a4d744d4fa383&o=&hp=1,Los Llanos,Venezuela
Hotel Benahoare,https://www.booking.com/hotel/es/benahoare-hotel.es.html?aid=2410095,"El Hotel Benahoare está a 200 metros de la Plaza España de Los Llanos de Aridane, en la isla de La Palma. Ofrece alojamientos cómodos y una terraza en la azotea con vistas a las montañas.

Las habitaciones del Hotel Benahoare tienen aire acondicionado, suelo de baldosa y mucha luz natural. Todas ellas disponen de conexión WiFi gratuita, TV vía satélite, caja fuerte y baño privado con artículos de aseo y secador de pelo.

El hotel dispone de zona de estar con TV de plasma, bar y cafetería, y la terraza de la azotea ofrece tumbonas y una cama de exterior. Todos los días se sirve un desayuno variado.

El hotel está situado en una calle tranquila, frente al Museo Arqueológico y a 5 minutos a pie de varias tiendas y bares. Las playas de Tazacorte y Puerto Naos se encuentran a 10 minutos en coche del Hotel Benahoare.","Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Calefacción, Tumbonas/sillas de playa, Salas de reuniones / banquetes, Canales vía satélite, Fruta, Fax / fotocopiadora, Escritorio, Servicio de limpieza en seco, Extintores, Servicio de despertador, Artículos de aseo gratis, Teléfono, Alemán, Secador de pelo, Ascensor, Recepción 24 horas, Alquiler de coches, Aire acondicionado, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Caja fuerte, Inglés, Servicio de lavandería, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Papel higiénico, Servicio de limpieza diario, Desayuno fantástico, Armario, Alarma de seguridad, Habitaciones insonorizadas, Cafetería en el alojamiento, Guardaequipaje, Información turística, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520288977.jpg?k=94f369406ff38d2810436b023c63069585bfabeaee2612923306e63d507462c5&o=&hp=1,Los Llanos,Venezuela
Hotel Valle Aridane,https://www.booking.com/hotel/es/valle-aridane.es.html?aid=2410095,"Este hotel está situado en el centro de Llanos de Aridane, en La Palma, y ofrece habitaciones funcionales con TV vía satélite y baño privado. Además, cuenta con un solárium amplio en la azotea.

El Valle Aridane ofrece servicio de préstamo de bicicletas, habitaciones con conexión gratuita a internet y aparcamiento público gratuito en la calle.

El Hotel Valle Aridane sirve un desayuno buffet. También tiene máquinas expendedoras de bebidas y aperitivos, disponibles durante todo el día.

El Valle Aridane Hotel se encuentra a solo 3 km de la playa más cercana y a 30 km del aeropuerto de La Palma.","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Acceso a pisos superiores en ascensor, Mobiliario exterior, Salas de reuniones / banquetes, Canales vía satélite, Ciclismo, Fax / fotocopiadora, Servicio de limpieza en seco, Extintores, Desayuno, Enchufe cerca de la cama, Artículos de aseo gratis, Teléfono, Secador de pelo, Ascensor, Tours a pie, Solárium, Hipoalergénico, Ducha, Terraza / solárium, Español, TV, Detectores de humo, Caja fuerte, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Tours en bici, Toallas, Guardaequipaje, Información turística, Ropa de cama, Tarjeta de acceso, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495841924.jpg?k=0fa03d9515754cf15c17bba940d4d4dd39af11d15b4f9f47e3b8214650d40015&o=&hp=1,Los Llanos,Venezuela
Flying La Palma - Sostenible,https://www.booking.com/hotel/es/flying-suites.es.html?aid=2410095,"Flying La Palma - Sostenible está en Los Llanos de Aridane y tiene vistas a la montaña, wifi gratis y parking privado gratis.

El apartamento ofrece terraza, vistas a la ciudad, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y lavavajillas, y baño privado con ducha y artículos de aseo gratuitos. También hay horno, microondas y fogones, además de cafetera y hervidor.

Se puede descubrir la zona practicando senderismo en los alrededores.

El aeropuerto más cercano (Aeropuerto de La Palma) está a 25 km.","Baño privado, Servicio de planchado, Insonorización, Detector de monóxido de carbono, Vistas a la ciudad, Zona de fumadores, Vistas a la montaña, Lavadora, Proporciona factura, Zona de comedor exterior, Horno, Cafetera, Estación de carga de vehículos eléctricos, Alemán, Playa, Hipoalergénico, Entrada privada, Plancha para ropa, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Protector de enchufes para niños, Tarjeta de acceso, Submarinismo, Nevera, Vistas a un lugar de interés, Balcón, Tendedero, Zona de estar, Caja fuerte para ordenador portátil, Francés, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Trona, Español, Mesa de comedor, Senderismo, Utensilios de planchado, Servicio de limpieza diario, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Independiente, Cocina, WiFi gratis, Vistas, Calefacción, Utensilios de cocina, Canales por cable, Productos de limpieza, Lavavajillas, Escritorio, Extintores, Parking en un garaje, Enchufe cerca de la cama, Tetera / cafetera, Seguridad 24 horas, Recepción 24 horas, Patio, Habitaciones familiares, Radio, Suelo de baldosa / mármol, Caja fuerte, Apartamento privado en edificio, Secadora de ropa, Bañera o ducha, Papel higiénico, Canales de pago, Zona de cocina, Tostadora, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Artículos de aseo gratis, Perchero, Muebles de exterior, Sofá cama, Armario, Microondas, Zona de comedor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/259203337.jpg?k=95c26af04e476f046db465b3814a54d7b4d551a340212897fd4dd9b41f3587c3&o=&hp=1,Los Llanos,Venezuela
Casa Apartamento Los Llanos,https://www.booking.com/hotel/es/casa-apartamento-los-llanos.es.html?aid=2410095,"Casa Apartamento Los Llanos se encuentra en Los Llanos de Aridane y ofrece alojamiento con terraza o balcón, wifi gratis y TV de pantalla plana, además de restaurante y bar. Hay casino y cafetería en el propio alojamiento.

Hay una cocina totalmente equipada y un baño privado.

Después de un día de senderismo o ciclismo, la clientela puede relajarse en el jardín o el salón de uso común.

El aeropuerto más cercano (Aeropuerto de La Palma) está a 26 km del alojamiento.","Galerías de arte temporales, Equipamiento de juegos para exterior, Restaurante, Servicio de aparcacoches, Baño privado, Zona TV / salón de uso compartido, Cocina, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Vistas, Parking en la calle, Casino, Mobiliario exterior, Ciclismo, Lavadora, Extintores, Bingo, Barandillas protectoras para bebés, Snack-bar, Estación de carga de vehículos eléctricos, Bar, Dardos, Tours a pie, Habitaciones familiares, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Alquiler de bicicletas, Caja fuerte, Registro de entrada y salida exprés, Inglés, Ruta de bares, Senderismo, Sombrillas, Zona de pícnic, Jardín, Zona de cocina, Tours en bici, Información turística, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/291337760.jpg?k=ef0e960ac17c6dd39152f4851d1e52be1072d6c1fbba51f2cd7ff16af313bbc0&o=&hp=1,Los Llanos,Venezuela
La Granja,https://www.booking.com/hotel/es/la-granja-los-llanos1.es.html?aid=2410095,"La Granja ofrece alojamiento con piscina al aire libre, wifi gratis y parking privado gratis en Los Llanos de Aridane.

Cada unidad tiene terraza con vistas al jardín, TV vía satélite, cocina bien equipada y baño privado con bañera, artículos de aseo gratuitos y secador de pelo. Algunas unidades disponen de balcón y/o patio con vistas a la ciudad o a la montaña.

El apartamento dispone de barbacoa, además de jardín.

El aeropuerto más cercano (Aeropuerto de La Palma) está a 24 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Portugués, Parking en la calle, Mobiliario exterior, Utensilios de cocina, Canales por cable, Canales vía satélite, Italiano, Extintores, Barbacoa, Vistas al jardín, Ventilador, Francés, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Alemán, Secador de pelo, Fogones, Parking gratis, Español, TV, Inglés, Hervidor eléctrico, Habitaciones sin humo, Bañera, Holandés, Nevera, Jardín, Valla alrededor de la piscina, Microondas, Griego, Tostadora, Toallas, Ropa de cama, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569466853.jpg?k=74b7b7f25cf8405a2306a1d85eaad6cdcd479f750806d83874abc1fe6d3bc8e1&o=&hp=1,Los Llanos,Venezuela
CASA ADRIÁN,https://www.booking.com/hotel/es/casa-adrian-los-llanos.es.html?aid=2410095,"CASA ADRIÁN está en Los Llanos de Aridane, en la región de Islas Canarias, y tiene balcón y vistas al mar. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y secador de pelo. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto de La Palma) está a 27 km.","Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Calefacción, Tendedero, Balcón, Utensilios de cocina, Productos de limpieza, Vistas a la montaña, Lavadora, Zona de estar, Horno, Enchufe cerca de la cama, Ventilador, Cafetera, Perchero, Secador de pelo, Fogones, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Vistas al mar, Bañera o ducha, Hervidor eléctrico, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Armario, Zona de cocina, Microondas, Ropa de cama, Tostadora, Toallas, Nevera, Vistas a un lugar de interés, Zona de comedor, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555658752.jpg?k=5e37aff29304eccbb1ef35d44eeef2ce4438c18bc220cc23b2b765ba8c71011b&o=&hp=1,Los Llanos,Venezuela
Aceró Home,https://www.booking.com/hotel/es/casa-acero-los-llanos.es.html?aid=2410095,"Aceró Home, que cuenta con bañera de hidromasaje, se encuentra en Los Llanos de Aridane. Dispone de terraza, vistas a la ciudad y wifi gratis en todo el alojamiento.

Esta casa o chalet tiene 3 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 2 baños con ducha.

El aeropuerto más cercano (Aeropuerto de La Palma) está a 25 km.","Insonorización, Bañera de hidromasaje, Cocina, Independiente, Prohibido fumar en todo el alojamiento, WiFi gratis, Tendedero, Vistas a la ciudad, Vistas a un patio interior, Balcón, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Baño al aire libre, Escritorio, Lavadora, Zona de estar, Extintores, Zona de comedor exterior, Horno, Enchufe cerca de la cama, Aseo adicional, Cafetera, Alemán, Perchero, Secador de pelo, Tetera / cafetera, Patio, Solárium, Hipoalergénico, Habitaciones familiares, Ducha, Sofá, Entrada privada, Plancha para ropa, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Bañera o ducha, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico, Bañera, Armario, Zona de cocina, Microondas, Tostadora, Nevera, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538397846.jpg?k=3b32cbbe10aa765d628e64ffcef5bb22d49c26be40e240ce6a609e6320858999&o=&hp=1,Los Llanos,Venezuela
Urban Park Girasol,https://www.booking.com/hotel/es/urban-park-girasol.es.html?aid=2410095,"Urban Park Girasol es un alojamiento con wifi gratis y vistas al mar que está en Los Llanos de Aridane. El apartamento está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

El apartamento dispone de 2 dormitorios, 2 baños, ropa de cama, toallas, TV con canales vía satélite, cocina totalmente equipada y balcón con vistas a la ciudad.

El aeropuerto (Aeropuerto de La Palma) está a 26 km.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Parking en la calle, Vistas a la ciudad, Mobiliario exterior, Utensilios de cocina, Canales por cable, Canales vía satélite, Ciclismo, Lavavajillas, Italiano, Vistas a la montaña, Escritorio, Lavadora, Extintores, Horno, Francés, Cafetera, Artículos de aseo gratis, Alemán, Secador de pelo, Fogones, Playa, Aire acondicionado, Ducha, Entrada privada, Parking gratis, Español, TV, Inglés, Vistas al mar, Senderismo, Hervidor eléctrico, Utensilios de planchado, Habitaciones sin humo, Holandés, Griego, Microondas, Ropa de cama, Tostadora, Toallas, Nevera, Balcón, Portugués",https://cf.bstatic.com/xdata/images/hotel/max1024x768/482759458.jpg?k=3c29b4a66c669183010aca922db51bf5a7c074cee6a52ff6f6f82488bf8ce106&o=&hp=1,Los Llanos,Venezuela
AbraCaRiBes,https://www.booking.com/hotel/es/bungalow-abracaribes.es.html?aid=2410095,"AbraCaRiBes está en Arecida, en la región de Islas Canarias, y ofrece alojamiento con parking privado gratis.

También se ofrece nevera y minibar, además de cafetera y hervidor.

El desayuno diario ofrece opciones italianas, vegetarianas o veganas.

Hay jardín y terraza en el bed and breakfast.

El aeropuerto (Aeropuerto de La Palma) está a 40 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas, Calefacción, Tendedero, Mosquitera, Masaje de cabeza, Tetera/cafetera en todas las habitaciones, Utensilios de cocina, Productos de limpieza, Italiano, Servicio de traslado, Menú para niños, Masaje de pies, Zona de estar, Desayuno, Ventilador, Cafetera, Artículos de aseo gratis, Perchero, Secador de pelo, Tetera / cafetera, Masaje de manos, Masajes, Tours a pie, Habitaciones familiares, Ducha, Entrada privada, Masaje de espalda, Parking gratis, Clases de cocina, Español, Inglés, Servicio de lavandería, Traslado aeropuerto, Masaje de cuello, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Masaje corporal completo, Armario, Nevera, Jardín, Clases de yoga, Almuerzos para llevar, Masaje en pareja, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Minibar, Ropa de cama, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/336497982.jpg?k=808a0af02db1f56ce7431b39f076a9fc6a5f6b80c3efb0d0976a89d0d00ca4ca&o=&hp=1,Los Llanos,Venezuela
