hotel,hotel_url,description,popular_facilities,highres_url,city,country
Estancia del Bosque Forest Guest House,https://www.booking.com/hotel/hn/forest-guest-house.es.html?aid=2410095,"Estancia del Bosque Forest Guest House está en Siguatepeque. Este hotel de 3 estrellas tiene wifi gratis, jardín y restaurante.

En el hotel, cada habitación cuenta con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 52 km.","Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, TV de pantalla plana, Español, Toallas, Restaurante, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Mesa de comedor, Servicio de habitaciones, WiFi gratis, Bañera de hidromasaje / jacuzzi, Toallas / sábanas (por un suplemento), Armario, Inglés, Desayuno, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/488796323.jpg?k=553001d65002414bf434292a1aed4aefaa6154d0a8b123e32fcd43507d3ae34e&o=&hp=1,Los Micos,Honduras
"Villa Isabella, La Sucursal del Cielo",https://www.booking.com/hotel/hn/villa-isabella-la-sucursal-del-cielo.es.html?aid=2410095,"Villa Isabella, La Sucursal del Cielo, que tiene bicicletas gratis, jardín y terraza, dispone de alojamiento en Siguatepeque con wifi gratis y vistas a la montaña. Este alojamiento ofrece parking privado gratis y acceso a un patio.

Esta casa o chalet dispone de 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 2 baños con bañera o ducha. Hay toallas y ropa de cama en la casa o chalet.

Hay barbacoa en el propio alojamiento, y se puede practicar pesca cerca.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 56 km.","Accesible para personas sordas, Salas de reuniones / banquetes, Detectores de humo, Canales por cable, Chimenea exterior, Zona de fumadores, Nevera, Escritorio, Mobiliario exterior, Tostadora, Chimenea, WiFi gratis, Toda la unidad accesible en silla de ruedas, Tendedero, Toallas / sábanas (por un suplemento), TV, Ropa de cama, Papel higiénico, Vistas al jardín, Habitaciones sin humo, Suelo de baldosa / mármol, Cochecitos de bebé, Videoconsola PS3, Secador de pelo, Vistas, WC, Servicio de traslado, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Suelo de madera o parquet, Parking adaptado para personas de movilidad reducida, Zona de pícnic, Camas extralargas (más de 2 metros), Canales vía satélite, Reproductor de Blu-ray, Videojuegos, Tetera / cafetera, Reproductor de DVD, Vistas a la montaña, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Aseo adicional, Parking gratis, Patio, Seguridad 24 horas, Zona de cocina, Detector de monóxido de carbono, Cámaras de seguridad en las zonas comunitarias, Plancha para pantalones, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Zona de comedor, Jardín, Cafetera, Baño al aire libre, Mesa de comedor, Horno, Acceso a pisos superiores solo mediante escaleras, Boles para mascotas, Microondas, Extintores, Registro de entrada y salida exprés, Karaoke, Cocina, Secadora de ropa, Ordenador, Fogones, Productos de limpieza, Zona de estar, Habitaciones familiares, Canales de pago, Español, Caja fuerte, Inglés, Utensilios de planchado, Zona de comedor exterior, Juegos de mesa / puzles, TV de pantalla plana, Toda la unidad en la planta baja, Zona de juegos interior, Sofá cama, Toallas, Plancha para ropa, Bañera o ducha, Barbacoa, Entrada privada, Equipamiento de juegos para exterior, Lavadora, Independiente, Parking en un garaje, Ventilador, Armario, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273264317.jpg?k=95333c5a7512c53f66a0b5c10b3a1cb793a5b4e28b655334c6038c5394a5d256&o=&hp=1,Los Micos,Honduras
Finca Tierra de Leyendas Cabaña Colibrí,https://www.booking.com/hotel/hn/finca-tierra-de-leyendas-cabana-colibri.es.html?aid=2410095,"Finca Tierra de Leyendas Cabaña Colibrí se encuentra en Taulabé y ofrece alojamiento con terraza o balcón, wifi gratis y TV de pantalla plana, además de jardín.

Hay una cocina totalmente equipada y un baño privado.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 57 km del alojamiento.","Cocina, Jardín, Prohibido fumar en todo el alojamiento, Baño privado, Parking gratis, Inglés, TV de pantalla plana, Español, WiFi gratis, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573088332.jpg?k=e99b217e94ce9f8e12dca3c5a7cf4e99f1953f3723ef6d9d64a0df8c7d3b23b4&o=&hp=1,Los Micos,Honduras
Payes Home,https://www.booking.com/hotel/hn/payes-home-siguatepeque.es.html?aid=2410095,"Payes Home, que tiene bar, dispone de alojamiento en Siguatepeque con wifi gratis y vistas a la piscina. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 4 dormitorios, TV de pantalla plana por cable, zona de comedor y cocina con nevera y horno. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet se sirve cada mañana un desayuno continental.

Se puede disfrutar de la piscina al aire libre en Payes Home.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 57 km.","Ropa de cama, Papel higiénico, Vistas al jardín, Caja fuerte, Videoconsola, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Sombrillas, Secador de pelo, TV de pantalla plana, Canales por cable, Zona de cocina, Horario de apertura, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Barbacoa, Bar, Entrada privada, Nevera, Vistas a la piscina, Sofá, Utensilios de cocina, Artículos de aseo gratis, Lavadora, Reloj despertador, Zona de comedor, Cafetera, Jardín, Tostadora, Mesa de comedor, Piscina privada, Horno, Chimenea, Zona poco profunda, Calefacción, Microondas, Para todas las edades, Piscina al aire libre, Extintores, WiFi gratis, Karaoke, Cocina, Secadora de ropa, Minibar, Juguetes para la piscina, Fogones, Productos de limpieza, Videojuegos, Tetera / cafetera, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Muebles de exterior, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522503721.jpg?k=b994d3d8f04bb31d6b475ea5b660a306f3d3eddf23a7a28339785b27303bfe5a&o=&hp=1,Los Micos,Honduras
Hotel y Plaza JMI,https://www.booking.com/hotel/hn/y-plaza-jmi-siguatepeque.es.html?aid=2410095,"Hotel y Plaza JMI se encuentra en Siguatepeque y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de jardín y terraza.

Algunas unidades incluyen balcón y/o patio con vistas al jardín.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 52 km del alojamiento.","Papel higiénico, Inglés, Baño privado, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Patio, Seguridad 24 horas, TV de pantalla plana, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Bañera o ducha, WC, Terraza, Ducha, Jardín, Cambio de moneda, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Llave de acceso, Información turística, Extintores, WiFi gratis, Perchero, Terraza / solárium, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/429629683.jpg?k=6014f62c48720147c601f0e11535941814783b40eb4820589ae667599f2d8905&o=&hp=1,Los Micos,Honduras
Aparta-Hotel Carmela #4,https://www.booking.com/hotel/hn/aparta-carmela-4.es.html?aid=2410095,"Aparta-Hotel Carmela #4, que se encuentra en Siguatepeque, ofrece alojamiento con balcón. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento tiene aire acondicionado y cuenta con 2 dormitorios, TV de pantalla plana por cable y cocina con nevera y microondas. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 46 km del alojamiento.","Ropa de cama, Papel higiénico, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Secador de pelo, TV de pantalla plana, Canales por cable, Zona de cocina, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Zona de fumadores, Nevera, Terraza, Lavadora, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona de pícnic, Microondas, WiFi gratis, Cocina, Secadora de ropa, Fogones, Terraza / solárium, Tetera / cafetera, Inglés, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570626871.jpg?k=25366b78400b14c8841e3fd75dd3cfbb1dfa03f57bdcc3ca469c371f725829df&o=&hp=1,Los Micos,Honduras
Honduyate,https://www.booking.com/hotel/hn/honduyate.es.html?aid=2410095,"El Honduyate, situado a 3 km de la plaza Chagüites, frente al lago de Yojoa, cuenta con piscina al aire libre y restaurante. Hay conexión WiFi gratuita en todas las zonas.

Las habitaciones cuentan con TV con canales por cable y balcón. Los baños privados incluyen ducha y artículos de aseo gratuitos. Las habitaciones gozan de vistas al lago.

El establecimiento ofrece aparcamiento gratuito, desayuno incluido en la tarifa y vistas al lago. Hay bar, jardín y terraza.

El Hoduyate se encuentra a 20 km de las cuevas de Taulabé, de la montaña Cerro Azul Meambar, cascadas Pulhapanzak, parque arqueológico Los Naranjos y el zoológico Joya Grande. El aeropuerto internacional Ramón Villeda Morales está a 90 km.","Papel higiénico, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Zona de juegos para niños, Sala de juegos, Desayuno en la habitación, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Masajes, Bar, Ping pong, Senderismo, Plancha para pantalones, Centro de negocios, Zona de fumadores, Servicio de lavandería, Almuerzos para llevar, Terraza, Tours a pie, Servicio de planchado, Jardín, Cambio de moneda, Mobiliario exterior, Zona de pícnic, Servicio de limpieza diario, Información turística, Fruta, Desayuno fabuloso, Instalaciones para deportes acuáticos en el alojamiento, Registro de entrada y salida exprés, Extintores, Servicio de habitaciones, WiFi gratis, Karaoke, Toallas / sábanas (por un suplemento), TV, Habitaciones familiares, Pesca, Menú para niños, Piscina, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/46155178.jpg?k=ad22dc66fb3614c91e438e7e7832e74e450f539f47c7e800bba027565d3b0fec&o=&hp=1,Los Micos,Honduras
Aparta-hotel Carmela#2,https://www.booking.com/hotel/hn/aparta-carmela-2.es.html?aid=2410095,"Aparta-hotel Carmela#2 se encuentra en Siguatepeque. Este alojamiento ofrece parking privado gratis y acceso a una terraza.

Este apartamento de 2 dormitorios ofrece wifi gratis, TV de pantalla plana, lavadora y cocina con nevera ymicroondas. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 46 km.","Ropa de cama, Papel higiénico, Parking gratis, Secador de pelo, TV de pantalla plana, Zona de cocina, Vistas, Toallas, Plancha para ropa, Barbacoa, Nevera, Terraza, Lavadora, Prohibido fumar en todo el alojamiento, Microondas, WiFi gratis, Cocina, Secadora de ropa, Fogones, Tetera / cafetera, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570629029.jpg?k=305e7719a23573ab7aff16d01c864b3f7ee93a1904cdc781ce53e7c4423b8457&o=&hp=1,Los Micos,Honduras
La Bellota Hotel,https://www.booking.com/hotel/hn/la-bellota.es.html?aid=2410095,"La Bellota Hotel está en Siguatepeque y ofrece jardín y wifi gratis en todo el alojamiento. El alojamiento dispone de salón de uso común, servicio de habitaciones y cambio de moneda.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las unidades disponen de baño privado, artículos de aseo gratuitos y ropa de cama.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 51 km.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Alarma de seguridad, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Zona de fumadores, Enchufe cerca de la cama, Artículos de aseo gratis, Parking adaptado para personas de movilidad reducida, Jardín, Cambio de moneda, Servicio de limpieza en seco, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Servicio de limpieza diario, Información turística, Extintores, Registro de entrada y salida exprés, Parking en un garaje, Servicio de habitaciones, WiFi gratis, TV, Habitaciones familiares, Inglés, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/280170546.jpg?k=93f399f3a2f675e7c1f23b445143f93fec0c90a92c655503dae60aa686a3a486&o=&hp=1,Los Micos,Honduras
#1 Peaceful Home,https://www.booking.com/hotel/hn/peaceful-house-close-to-town-2.es.html?aid=2410095,"#1 Peaceful Home, que cuenta con bañera de hidromasaje, se encuentra en Siguatepeque. Esta casa o chalet dispone de jardín y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 2 dormitorios, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto internacional de Palmerola) está a 46 km del alojamiento.","Ropa de cama, Papel higiénico, Aire acondicionado, Parking gratis, Secador de pelo, TV de pantalla plana, Zona de cocina, Vistas, Toallas, Plancha para ropa, Nevera, Lavadora, Jardín, Prohibido fumar en todo el alojamiento, Horno, Bañera de hidromasaje, WiFi gratis, Cocina, Secadora de ropa, Fogones, Tetera / cafetera, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573249650.jpg?k=ddcce4ad536546d03d212add5f692e2d88d84665e5df1bc090f0199b387ddf71&o=&hp=1,Los Micos,Honduras
