hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Boutique Los Pinos,https://www.booking.com/hotel/hn/boutique-los-pinos-santa-rosa-de-copan2.es.html?aid=2410095,"Hotel Boutique Los Pinos tiene jardín, terraza, restaurante y bar en Santa Rosa de Copán. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El cafetería es ideal para tomar algo.

En el hotel, cada habitación dispone de balcón. En Hotel Boutique Los Pinos, cada habitación cuenta con aire acondicionado, escritorio y TV de pantalla plana, y algunas también ofrecen patio. Las unidades cuentan con armario y cafetera.

En el alojamiento se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 159 km.","Inglés, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vídeo, TV de pantalla plana, Vistas, Cafetería en el alojamiento, Snack-bar, Plancha para ropa, Bar, Proporciona factura, Restaurante, Recepción 24 horas, Servicio de lavandería, Terraza, Ducha, Tours a pie, Jardín, Vestidor, Mobiliario exterior, Cafetera, Escritorio, Servicio de limpieza en seco, Información turística, Registro de entrada y salida exprés, Servicio de habitaciones, WiFi gratis, Secadora de ropa, Terraza / solárium, Armario, Habitaciones familiares, TV, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/445645376.jpg?k=fd775ce35f2472425de76a200b5c0c7f7460d2e6a9fdf48d339b5f702754e6a8&o=&hp=1,Los Pinos,Honduras
Hotel Santa Fe,https://www.booking.com/hotel/hn/santa-fe-santa-rosa-de-copan.es.html?aid=2410095,"Hotel Santa Fe se encuentra en Santa Rosa de Copán. El hotel ofrece terraza y recepción 24 horas.

En el hotel, cada habitación cuenta con escritorio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también están equipadas con balcón. En Hotel Santa Fe, cada habitación tiene ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 159 km del alojamiento.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Detectores de humo, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, WC, Centro de negocios, Plancha para pantalones, Proporciona factura, Recepción 24 horas, Terraza, Ducha, Artículos de aseo gratis, Reloj despertador, Cambio de moneda, Escritorio, Llave de acceso, Prohibido fumar en todo el alojamiento, Tarjeta de acceso, Servicio de limpieza diario, Información turística, Canales vía satélite, Toallas / sábanas (por un suplemento), TV, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/321438913.jpg?k=f76cd4ea21acbff84a8248e5644954de0f34ff9aecad6788c45a8b7eb84ef80c&o=&hp=1,Los Pinos,Honduras
Posada Gema de Copan,https://www.booking.com/hotel/hn/posada-gema-de-copan.es.html?aid=2410095,"Posada Gema de Copan, que tiene jardín, está en Santa Rosa de Copán. El alojamiento dispone de recepción 24 horas, servicio de traslado, salón de uso común y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones incluyen aire acondicionado, escritorio, patio con vistas al jardín, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las habitaciones cuentan con armario y cafetera.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 159 km.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Vistas al jardín, Fax / fotocopiadora, Baño privado, Servicio de despertador, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Aseo adicional, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vistas a un patio interior, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Patio, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Vistas, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Bañera o ducha, WC, Servicio de traslado, Proporciona factura, Plancha para pantalones, Zona de fumadores, Recepción 24 horas, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Ducha, Parking adaptado para personas de movilidad reducida, Jardín, Escritorio, Mobiliario exterior, Cafetera, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Tostadora, Zona de pícnic, Calefacción, Servicio de limpieza diario, Microondas, Fruta, Información turística, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Toda la unidad accesible en silla de ruedas, Perchero, Toallas / sábanas (por un suplemento), Productos de limpieza, Armario, TV, WC elevado, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/157347915.jpg?k=4e72557da435ce8290c15980a69e080a6bd6cec8253c71d392a8382f66514994&o=&hp=1,Los Pinos,Honduras
La Posada de Juan B&B,https://www.booking.com/hotel/hn/la-posada-de-juan-b-amp-b.es.html?aid=2410095,"La Posada de Juan B&B está situada a 1 km del centro histórico de Santa Rosa de Copán, y ofrece desayuno gratuito y conexión Wi-Fi gratuita en todas sus instalaciones.

Todas las habitaciones disponen de TV de pantalla plana, aire acondicionado, TV por cable y baño privado con ducha y artículos de aseo gratuitos. También ofrecen vistas al jardín y disponen de escritorio.

El establecimiento se encuentra a 500 metros del restaurante La Taquiza, que ofrece comida local.

La Posada de Juan B&B cuenta con recepción 24 horas, jardín y aparcamiento gratuito.

Este establecimiento está situado a 300 metros de la ruta del tabaco de La Flor de Copán, y a 3 km de la ruta del café. El aeropuerto internacional Ramón Villeda Morales se encuentra a 2 horas en coche.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Caja fuerte, Baño privado, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Salas de reuniones / banquetes, Suelo de baldosa / mármol, Desayuno en la habitación, Utensilios de planchado, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Toda la unidad en la planta baja, Libros, DVD o música para niños, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Snack-bar, Bañera o ducha, Plancha para ropa, WC, Cocina compartida, Servicio de traslado, Bar, Proporciona factura, Centro de negocios, Zona de fumadores, Restaurante, Habitaciones insonorizadas, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Utensilios de cocina, Servicio de planchado, Almuerzos para llevar, Jardín, Escritorio, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Zona de pícnic, Parking en la calle, Servicio de limpieza diario, Microondas, Información turística, Registro de entrada y salida exprés, Extintores, Servicio de habitaciones, WiFi gratis, Cocina, Tendedero, Ventilador, Perchero, Toallas / sábanas (por un suplemento), Terraza / solárium, Zona de estar, Armario, Habitaciones familiares, TV, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/26760399.jpg?k=fbd32348d076d48e37ed0ec0568148bf0db3394fde2caf9f0e4fc9dd0b596f85&o=&hp=1,Los Pinos,Honduras
Céntrico Apartamento,https://www.booking.com/hotel/hn/centrico-apartamento.es.html?aid=2410095,"Céntrico Apartamento está en Santa Rosa de Copán.

Este apartamento de 2 dormitorios dispone de wifi gratis, TV de pantalla plana y cocina con nevera y fogones. Hay parking privado gratis en el apartamento.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 161 km.","Cocina, Toallas, Plancha para ropa, Prohibido fumar en todo el alojamiento, Ropa de cama, Papel higiénico, Entrada privada, Fogones, Parking gratis, Nevera, Tetera / cafetera, Inglés, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507985292.jpg?k=b538b48d2721c176c2e70a3f3ef66160240e442c6fc87e5b32ac7a96909c3c8d&o=&hp=1,Los Pinos,Honduras
Relax sin ruidos centrico.,https://www.booking.com/hotel/hn/relax-sin-ruidos-centrico.es.html?aid=2410095,"Relax sin ruidos centrico. Está en Santa Rosa de Copán. Hay wifi gratis en todo el alojamiento.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 160 km.","Prohibido fumar en todo el alojamiento, Español, Aire acondicionado, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535208735.jpg?k=7d7990f26d2b2c91e8ede9dce7580c60e093d7496173b855c89e61c3d0ccc118&o=&hp=1,Los Pinos,Honduras
Espacioso en zona exclusiva,https://www.booking.com/hotel/hn/espacioso-en-zona-exclusiva.es.html?aid=2410095,"Espacioso en zona exclusiva está en Santa Rosa de Copán y ofrece alojamiento con balcón y wifi gratis. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado tiene acceso a una terraza con vistas al jardín y cuenta con 3 dormitorios y cocina totalmente equipada. Hay TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 160 km.","Cocina, Jardín, Prohibido fumar en todo el alojamiento, Vistas al jardín, Aire acondicionado, Vistas, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Terraza, Balcón, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532454655.jpg?k=5a663a642bf4fe4571aab8fd98d02bd544972231602df38d4784a2c347ef7bed&o=&hp=1,Los Pinos,Honduras
Apartamento El Mirador 3B,https://www.booking.com/hotel/hn/apartamento-el-mirador-3b.es.html?aid=2410095,Apartamento El Mirador 3B se encuentra en Santa Rosa de Copán y ofrece terraza. Hay parking privado en el propio alojamiento y wifi gratis.,"Prohibido fumar en todo el alojamiento, Aire acondicionado, Parking gratis, Terraza, Piscina, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585835891.jpg?k=927d306a434df226c102e8eca948e00b87fb3dcd2bca38df8ae2f5a01791fc9d&o=&hp=1,Los Pinos,Honduras
El Mirador A2,https://www.booking.com/hotel/hn/el-mirador-a2.es.html?aid=2410095,"El Mirador A2, que se encuentra en Santa Rosa de Copán, ofrece alojamiento con balcón. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.","Cocina, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Zona de cocina, Aire acondicionado, Vistas, Parking gratis, Balcón, Piscina, Piscina privada, Español, WiFi gratis, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581082624.jpg?k=f18191d6badf5b7e2321366e13ea5d16954cf4b69d55a3a9f7fe336d55821cd1&o=&hp=1,Los Pinos,Honduras
Apartamento de lujo,https://www.booking.com/hotel/hn/apartamento-de-lujo.es.html?aid=2410095,"Apartamento de lujo se encuentra en Santa Rosa de Copán.

Este apartamento tiene 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay parking privado gratis en el apartamento.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 158 km.","Ropa de cama, Papel higiénico, Aire acondicionado, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Secador de pelo, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Zona de cocina, Toallas, Plancha para ropa, Hervidor eléctrico, Bañera o ducha, WC, Entrada privada, Nevera, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Ducha, Lavadora, Zona de comedor, Cafetera, Prohibido fumar en todo el alojamiento, Tostadora, Horno, Microondas, Cocina, Tendedero, Apartamento privado en edificio, Ventilador, Perchero, Productos de limpieza, Toallas / sábanas (por un suplemento), Zona de estar, Tetera / cafetera, TV, Habitaciones familiares, Independiente, Canales de pago, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569908956.jpg?k=aa8fea3283f825a5b94612db6743ec7265ce0a6628e95cd170bbc4e617b7d21a&o=&hp=1,Los Pinos,Honduras
