hotel,hotel_url,description,popular_facilities,highres_url,city,country
Candida,https://www.booking.com/hotel/ve/candida.es.html?aid=2410095,"Candida se encuentra en Caracas, a 6,1 km de Galeria de Arte Nacional y a 6,5 km de Museo de Bellas Artes. Ofrece alojamiento con salón de uso común y wifi gratis, además de parking privado gratis. El alojamiento está a unos 6,6 km de Parque Los Caobos, a 7,3 km de Complejo Cultural Teresa Carreño y a 8,4 km de Jardín Botánico. El alojamiento ofrece cocina compartida, servicio de habitaciones y cambio de moneda.

En el hotel cápsula, cada habitación incluye TV y algunas también ofrecen terraza. Las habitaciones incluyen ropa de cama.

Univesidad de Venezuela está a 9 km del alojamiento, y Estadio Olímpico está a 9,2 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 21 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de planchado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Mobiliario exterior, Zona de fumadores, Corte de pelo, Servicio de traslado, Fax / fotocopiadora, Extintores, Parking en un garaje, Enchufe cerca de la cama, Cambio de moneda, Perchero, Seguridad 24 horas, Peluquería / salón de belleza, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Parking gratis, Español, TV, Habitaciones hipoalergénicas, Plancha para pantalones, Inglés, Servicio de lavandería, Traslado aeropuerto, Servicios de belleza, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de habitaciones, Servicio de conserjería, Llave de acceso, Ropa de cama, Guardaequipaje, Información turística, Nevera, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273386547.jpg?k=34144b080496e9407e86e66f9b5a3883dd8107837a1cc66bc9de40ea592291a2&o=&hp=1,Los Teques,Venezuela
Novo Hotel,https://www.booking.com/hotel/ve/novo-express.es.html?aid=2410095,"Novo Hotel está en Caracas, a 3,9 km de Galeria de Arte Nacional, y dispone de alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. El hotel tiene wifi gratis y está a unos 4,5 km de Museo de Bellas Artes y a 4,8 km de Jardín Botánico. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Todas las habitaciones de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales vía satélite y baño privado con artículos de aseo gratuitos y ducha. Las habitaciones de este alojamiento tienen aire acondicionado y escritorio.

En el hotel se puede disfrutar de un desayuno buffet.

Univesidad de Venezuela está a 5,4 km del alojamiento, y Parque Los Caobos está a 5,5 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 27 km.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Servicios de maquillaje, Servicio de despertador, Masaje de espalda, Servicios de depilación, TV, Detectores de humo, Registro de entrada y salida exprés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Almuerzos para llevar, Masaje en pareja, Tarjeta de acceso, Acceso a pisos superiores en ascensor, Restaurante, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Zona de estar, Secador de pelo, Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Servicio de lavandería, Servicio de limpieza diario, Manicura, Terraza, TV de pantalla plana, WiFi gratis, Pediluvio, Mobiliario exterior, Canales por cable, Corte de pelo, Escritorio, Extintores, Parking en un garaje, Enchufe cerca de la cama, Buen desayuno, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Recepción 24 horas, Zona de spa / relajación, Paquetes de spa / bienestar, Baños públicos, Habitaciones familiares, Suelo de baldosa / mármol, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Exfoliación corporal, Tratamientos faciales, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Artículos de aseo gratis, Ascensor, Tinte, Peinado, Pedicura, Habitaciones hipoalergénicas, Servicios de belleza, Tratamientos corporales, Armario, Envoltura corporal, 2 restaurantes, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/476772364.jpg?k=8d2bd990d54ae36804cd4af6da33831e25d2a412dc3193138f408c49ac370263&o=&hp=1,Los Teques,Venezuela
Hotel Plaza Venezuela,https://www.booking.com/hotel/ve/plaza-venezuela.es.html?aid=2410095,"Hotel Plaza Venezuela se encuentra en Caracas, a 10 min a pie de Parque Los Caobos, y ofrece alojamiento con jardín, parking privado gratis, terraza y bar. Este hotel de 4 estrellas ofrece cajero automático y centro de negocios. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, minibar, caja fuerte, TV de pantalla plana, balcón y baño privado con ducha. En Hotel Plaza Venezuela, todas las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se sirve todos los días un desayuno continental.

Cerca del alojamiento hay puntos de interés como Univesidad de Venezuela, Complejo Cultural Teresa Carreño y Jardín Botánico. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 29 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Insonorización, WiFi gratis, Vistas, Vistas a la ciudad, Balcón, Mobiliario exterior, Canales por cable, Canales vía satélite, Cámaras de seguridad fuera del alojamiento, Italiano, Fax / fotocopiadora, Escritorio, Proporciona factura, Extintores, Cajero automático en el hotel, Desayuno, Enchufe cerca de la cama, Cambio de moneda, Cafetera, Servicio de despertador, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Hipoalergénico, Habitaciones familiares, Ducha, Centro de negocios, Radio, Entrada privada, Parking gratis, Terraza / solárium, Español, TV, Habitaciones hipoalergénicas, Suelo de baldosa / mármol, Detectores de humo, Caja fuerte, Servicio de despertador / alarma, Registro de entrada y salida exprés, Inglés, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Máquina expendedora (bebidas), Armario, Reloj despertador, Nevera, Jardín, Servicio de conserjería, Cafetería en el alojamiento, Toallas, Minibar, Información turística, Ropa de cama, Vistas a un lugar de interés, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559528726.jpg?k=aec915cdf8100c528c959caa4537399dd0f96cfa477a98ec539ba934fc4861ea&o=&hp=1,Los Teques,Venezuela
Hotel Grand Galaxie,https://www.booking.com/hotel/ve/grand-galaxie.es.html?aid=2410095,"Hotel Grand Galaxie está en Caracas, a 3,4 km de Galeria de Arte Nacional, y dispone de alojamiento con terraza, parking privado gratis y restaurante. Este hotel de 3 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. El alojamiento ofrece recepción 24 horas, mostrador de información turística y guardaequipaje.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, las habitaciones están equipadas con ropa de cama y toallas.

Museo de Bellas Artes está a 4 km del alojamiento, y Parque Los Caobos está a 4,9 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 25 km.","Servicio de streaming (como Netflix), Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Zona de fumadores, Servicio de traslado, Menú para niños, Proporciona factura, Extintores, Parking en un garaje, Teléfono, Seguridad 24 horas, Ascensor, Recepción 24 horas, Baños públicos, Aire acondicionado, Tours a pie, Habitaciones familiares, Parking gratis, Español, TV, Detectores de humo, Servicio de despertador / alarma, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, TV de pantalla plana, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Ropa de cama, Acceso a pisos superiores en ascensor, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/544838715.jpg?k=084fc8f337e87594ceeb0a0b16666092ead7194cc3bd11f8990eedec39c5efa9&o=&hp=1,Los Teques,Venezuela
Eurobuilding Hotel & Suites Caracas,https://www.booking.com/hotel/ve/eurobuilding-suites-caracas.es.html?aid=2410095,"El Eurobuilding Hotel & Suites Caracas se encuentra a 15 minutos en coche del centro de la ciudad, en el distrito financiero. Dispone de habitaciones elegantes, piscina, gimnasio y sauna.

Las habitaciones del EuroBuilding Caracas presentan una decoración elegante, con suelo de moqueta. Están equipadas con conexión Wi-Fi y TV por cable. Algunas ofrecen bañera de hidromasaje privada y acceso a un salón de lujo.

El desayuno bufé está disponible por un suplemento. Los 4 restaurantes del establecimiento preparan platos internacionales y locales, mientras que el bar del vestíbulo sirve cócteles y bebidas calientes.

El hotel cuenta con pista de tenis, tumbonas junto a la piscina, servicios de spa y tiendas de regalos.

La recepción 24 horas puede organizar servicios de traslado al aeropuerto Simón Bolívar, que está a 45 minutos en coche.","Galerías de arte temporales, Baño privado, Servicio de planchado, Insonorización, Habitaciones comunicadas disponibles, Vistas a la ciudad, Masaje de cabeza, Menú para niños, Vistas a la montaña, Proporciona factura, Cajero automático en el hotel, Servicios de maquillaje, Servicio de despertador, Cafetera, Sauna, Pista de tenis, Alemán, Abierta todo el año, Canguro / servicios para niños, Hipoalergénico, Entrada privada, Plancha para ropa, Masaje de espalda, Suelo de moqueta, TV, Gimnasio, Detectores de humo, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Instalaciones de spa, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Spa y centro de bienestar, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Caja fuerte para ordenador portátil, Francés, Masaje de manos, Secador de pelo, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Español, Adaptado personas de movilidad reducida, Buffet para niños, Plancha para pantalones, Servicio de lavandería, Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Manicura, TV de pantalla plana, Bidet, Servicio de streaming (como Netflix), WiFi gratis, Vistas, Calefacción, Parking en el alojamiento, Mobiliario exterior, Canales por cable, Productos de limpieza, Corte de pelo, Italiano, Masaje de pies, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Equipamiento de tenis, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Baño de vapor, 3 restaurantes, Caja fuerte, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Noches de cine, Silla de masajes, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Adecuada para niños, Apoyo visual: braille, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Pedicura, Servicio de despertador / alarma, Servicios de belleza, Armario, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/2212834.jpg?k=bb753713f7cd02c5c8eb219413a91241cdfb5a51496f26261e432c9d7bd948aa&o=&hp=1,Los Teques,Venezuela
Hotel Chacao Cumberland,https://www.booking.com/hotel/ve/chacao-cumberland.es.html?aid=2410095,"Hotel Chacao Cumberland es un alojamiento de 4 estrellas que está en Caracas, a 3,6 km de Parque Los Caobos, y que tiene centro de fitness, restaurante y bar. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 4 km de Univesidad de Venezuela.

En el hotel, las habitaciones disponen de aire acondicionado, zona de estar, TV de pantalla plana con canales por cable, caja fuerte y baño privado con bañera, artículos de aseo gratuitos y secador de pelo.

Complejo Cultural Teresa Carreño está a 4,3 km del alojamiento, y Jardín Botánico está a 4,4 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 33 km.","Galerías de arte temporales, Restaurante, Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Zona de estar, Servicio de limpieza en seco, Extintores, Artículos de aseo gratis, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Peluquería / salón de belleza, Suelo de moqueta, Español, Gimnasio, Detectores de humo, Caja fuerte, Inglés, Servicio de lavandería, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Habitaciones sin humo, Bañera, Servicio de habitaciones, Papel higiénico, Servicio de limpieza diario, Alarma de seguridad, Habitaciones insonorizadas, Guardaequipaje, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/301611634.jpg?k=48f479b06655fd9ee46092626618470a997abc4def60bcd31c0bb41d04a7948a&o=&hp=1,Los Teques,Venezuela
Hotel El Arroyo,https://www.booking.com/hotel/ve/el-arroyo.es.html?aid=2410095,"Hotel El Arroyo dispone de alojamiento en Caracas, cerca de Galeria de Arte Nacional y de Museo de Bellas Artes. Este hotel de 3 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. El restaurante sirve platos de cocina internacional y el bar es ideal para tomar algo.

En el hotel, cada habitación incluye armario y TV. En Hotel El Arroyo, las habitaciones tienen ropa de cama y toallas.

Hay opciones a la carta o continentales de desayuno disponibles cada mañana en el alojamiento.

La recepción ofrece información sobre cómo y por dónde moverse en la zona.

Cerca del alojamiento hay puntos de interés como Parque Los Caobos, Complejo Cultural Teresa Carreño y Museo de los niños de Caracas. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 28 km.","Restaurante, Baño privado, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Productos de limpieza, Fruta, Menú para niños, Servicio de traslado, Proporciona factura, Extintores, Enchufe cerca de la cama, Snack-bar, Teléfono, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Español, TV, Detectores de humo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Vino / champán, Desayuno fantástico, Armario, Alarma de seguridad, Cafetería en el alojamiento, Toallas, Guardaequipaje, Ropa de cama, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522322170.jpg?k=3b126e7464d353e481c91064e6212e90057abb4b5652eeff69f2ecf73b897b84&o=&hp=1,Los Teques,Venezuela
Lujoso apartamento en los Palos Grandes,https://www.booking.com/hotel/ve/lujoso-apartamento-en-los-palos-grandes.es.html?aid=2410095,"Lujoso apartamento en los Palos Grandes se encuentra en Caracas, a solo 4,6 km de Univesidad de Venezuela, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Este apartamento está a 4,9 km de Parque Los Caobos y a 5 km de Jardín Botánico.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana, zona de comedor, cocina con nevera y sala de estar.

Complejo Cultural Teresa Carreño está a 5,6 km del alojamiento, y Estadio Olímpico está a 5,8 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 31 km.","Prohibido fumar en todo el alojamiento, Detector de monóxido de carbono, Cocina, WiFi gratis, Vistas, Productos de limpieza, Escritorio, Lavadora, Extintores, Vistas al jardín, Enchufe cerca de la cama, Perchero, Tetera / cafetera, Seguridad 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Vestidor, Sofá, Parking gratis, Suelo de moqueta, Español, TV, Mesa de comedor, Apartamento privado en edificio, Secadora de ropa, Inglés, Sofá cama, Bañera o ducha, Utensilios de planchado, Bañera, Papel higiénico, Armario, Toda la unidad en la planta baja, Microondas, Nevera, Zona de comedor, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575484710.jpg?k=58559ee22d9bf7d9c2b5c42adf016cbe14f5a9f96cef2abe3764ea91a973dbd9&o=&hp=1,Los Teques,Venezuela
Hotel Tamanaco Caracas,https://www.booking.com/hotel/ve/intercontinental-tamanaco-caracas.es.html?aid=2410095,"Hotel Tamanaco Caracas está en Caracas, a 5,6 km de Univesidad de Venezuela, y dispone de alojamiento con piscina al aire libre, parking privado, jardín y terraza. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. El restaurante sirve platos de cocina francesa y de cocina mediterránea, y el bar es ideal para tomar algo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV y baño privado con bidet. En Hotel Tamanaco Caracas, cada habitación cuenta con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta.

La clientela puede practicar actividades en Caracas y alrededores, como senderismo.

Jardín Botánico está a 6 km del alojamiento, y Estadio Olímpico está a 6,7 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 34 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Galerías de arte temporales, Baño privado, Servicio de planchado, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Servicio de despertador, Pista de tenis, Abierta todo el año, Registro de entrada / salida privado, WC con barras de apoyo, Suelo de moqueta, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Vino / champán, Servicio de habitaciones, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Horario de apertura, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Buffet para niños, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Ropa de cama, Terraza, Bidet, Vistas, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, WiFi en todo el alojamiento, Extintores, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Caja fuerte, Bañera o ducha, Sombrillas, Papel higiénico, Música / espectáculos en directo, Servicio de conserjería, Llave de acceso, Entretenimiento nocturno, Toallas, Información turística, Tumbonas/sillas de playa, Casino, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Bingo, Artículos de aseo gratis, Ascensor, Centro de negocios, WC elevado, Servicio de despertador / alarma, Armario, Parking privado, 2 restaurantes, Happy hour, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/501614571.jpg?k=e09f05cb5c5a28e9843531a41957f22945fbb327048ed06d69e728c7191f97fc&o=&hp=1,Los Teques,Venezuela
Studio SUITE M&J,https://www.booking.com/hotel/ve/apart-suite-m-amp-j.es.html?aid=2410095,"Studio SUITE M&J está en Caracas y ofrece alojamiento con terraza y wifi gratis. El alojamiento, que se encuentra a 2,8 km de Univesidad de Venezuela, ofrece jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bañera o ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Estadio Olímpico está a 3,6 km del alojamiento, y Parque Los Caobos está a 5,6 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 28 km del alojamiento.","Baño privado, Cocina, WiFi gratis, Utensilios de cocina, Canales por cable, Cafetera, Artículos de aseo gratis, Aire acondicionado, Parking gratis, Español, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Armario, Nevera, Toda la unidad en la planta baja, Zona de cocina, Microondas, Jardín, Tostadora, Toallas, Adosado, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/474538609.jpg?k=c4032d5c495940ca69fb53ec290267adbf04b9c89a96cbfb00d7119323c57b10&o=&hp=1,Los Teques,Venezuela
