hotel,hotel_url,description,popular_facilities,highres_url,city,country
Urzua 103 Lota,https://www.booking.com/hotel/cl/urzua-103-lota.es.html?aid=2410095,"Urzua 103 Lota se encuentra en Lota y ofrece alojamiento a 40 km de Universidad de Concepción, a 40 km de Universidad de San Sebastián y a 42 km de Universidad del Bio-Bio. Está a 2,9 km de Playa Blanca y dispone de wifi gratis y parking privado gratis.

Esta casa o chalet cuenta con 1 dormitorio, TV de pantalla plana y cocina.

En la casa o chalet se sirve cada mañana un desayuno americano.

Estadio Municipal de Concepción está a 44 km del alojamiento, y Estadio CAP está a 47 km. El aeropuerto (Aeropuerto Internacional Carriel Sur) está a 42 km.","Parking gratis, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, Desayuno, WiFi gratis, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515799534.jpg?k=dea769df7ede035e75716a580cc4cebae050cb984c79487536467c37d15d2949&o=&hp=1,Lota,Chile
Departamento full equipamiento,https://www.booking.com/hotel/cl/departamento-full-equipo-san-pedro-de-la-paz1.es.html?aid=2410095,"Departamento full equipamiento se encuentra en San Pedro de la Paz y ofrece piscina privada y wifi gratis. El alojamiento, que está a 15 km de Universidad de Concepción, dispone de piscina de temporada al aire libre y parking privado gratis.

Este apartamento tiene acceso a una terraza con vistas al jardín y cuenta con 3 dormitorios y cocina totalmente equipada. Hay TV de pantalla plana.

Universidad de San Sebastián está a 15 km del alojamiento, y Universidad del Bio-Bio está a 18 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 17 km.","Terraza, TV de pantalla plana, De temporada, Vistas al jardín, Zona poco profunda, Piscina al aire libre, Piscina infinita, Prohibido fumar en todo el alojamiento, Español, Piscina privada, Valla alrededor de la piscina, Vistas, Gimnasio, Wifi rápida gratis (266 Mbps), Para todas las edades, Parking gratis, Piscina infantil, Horario de apertura, Cocina, Lavadora, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/471230050.jpg?k=e715fb1cc8559f820a4d8570daab94e73715c2f3c87c591259b48350c062f11a&o=&hp=1,Lota,Chile
Departamento Amoblado y equipado Concepcion,https://www.booking.com/hotel/cl/departamento-amoblado-y-equipado-concepcion.es.html?aid=2410095,"Departamento Amoblado y equipado Concepcion se encuentra en Concepción, a 2,8 km de Universidad de San Sebastián, a 3,4 km de Universidad de Concepción y a 5,1 km de Estadio Municipal de Concepción. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento tiene acceso directo a un balcón y cuenta con 2 dormitorios independientes y cocina totalmente equipada. Se ofrece TV de pantalla plana.

Universidad del Bio-Bio está a 5,2 km del alojamiento, y Estadio CAP está a 12 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 8 km.","Español, Parking gratis, Piscina, Piscina privada, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, WiFi gratis, Lavadora, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515043525.jpg?k=2bae1daca6e4837a7f57501939b0548f49d5f3e02dbf77ba721dab7c0fb46784&o=&hp=1,Lota,Chile
Hospedaje La Blanquita,https://www.booking.com/hotel/cl/hospedaje-la-blanquita-santa-juana-concepcion.es.html?aid=2410095,"Hospedaje La Blanquita dispone de alojamiento en Santa Juana. El hostal o pensión tiene habitaciones familiares.

En el hostal o pensión, todas las habitaciones disponen de armario. En Hospedaje La Blanquita, cada habitación dispone de ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

El aeropuerto (Aeropuerto Internacional Carriel Sur) está a 58 km.","Parking gratis, Ducha, Armario, Toallas, Artículos de aseo gratis, Ropa de cama, Zona de comedor, WC, Habitaciones familiares, Desayuno, Prohibido fumar en todo el alojamiento, Español, Habitaciones sin humo, Calefacción, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530154088.jpg?k=b4e8de80b1a37262ecb40676ffcb41fe62c672de6a8a7182fe70f8ea17c95d66&o=&hp=1,Lota,Chile
Depto. Parque Víctor lamas,https://www.booking.com/hotel/cl/depto-parque-victor-lamas.es.html?aid=2410095,"Depto. Parque Víctor lamas está en Concepción y dispone de alojamiento con piscina privada. El alojamiento, que se encuentra a 2,1 km de Universidad de Concepción, ofrece terraza y parking privado gratis.

Este apartamento con aire acondicionado se compone de 1 dormitorio independiente, una sala de estar, una cocina totalmente equipada con horno y microondas, y 1 baño. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Universidad de San Sebastián está a 3,7 km del alojamiento, y Estadio Municipal de Concepción está a 4,7 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 9 km.","Terraza, Inglés, TV de pantalla plana, Plancha para ropa, Sofá cama, Utensilios de planchado, Perchero, Plancha para pantalones, Sofá, Balcón, Enchufe cerca de la cama, Apartamento privado en edificio, Horno, TV, Español, Microondas, Bañera o ducha, Piscina, Utensilios de cocina, Piscina privada, Francés, Armario, Vistas, Toallas, Parking gratis, Baño privado, Italiano, Portugués, Tostadora, Toallas / sábanas (por un suplemento), Aire acondicionado, Cocina, Lavadora, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552929147.jpg?k=b2c39a8054ff835fa81d86f8fc714fc870d2d27c487ff36e90b4c74e114fb48e&o=&hp=1,Lota,Chile
Hotel Plaza Concepción,https://www.booking.com/hotel/cl/plaza-concepcion.es.html?aid=2410095,"El Hotel Plaza Concepción ofrece conexión Wi-Fi gratuita y desayuno gratuito. Se trata de un hotel pequeño y acogedor que ofrece alojamiento en Concepción.

Las habitaciones disponen de TV con canales por cable y de pago y baño privado con artículos de aseo gratuitos.

El Hotel Plaza Concepción cuenta con recepción 24 horas, mostrador de información turística, zona común de salón con TV y cocina compartida. También se ofrece aparcamiento gratuito.

El Hotel Plaza Concepción se encuentra a solo 50 metros de museos y galerías y del club de tenis y el centro financiero de la ciudad. La Universidad de Concepción está a 500 metros. El aeropuerto de Carriel Sur está situado a 10 minutos en coche. El establecimiento puede concertar un servicio de traslado por un suplemento.","TV de pantalla plana, Servicio de lavandería, Ropa de cama, Información turística, Alquiler de coches, Plancha para ropa, Perchero, Cocina compartida, WiFi gratis, Teléfono, Servicio de conserjería, Fax / fotocopiadora, Servicio de despertador, Entrada privada, Suelo de madera o parquet, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Guardaequipaje, Servicio de planchado, Ducha, Papel higiénico, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Canales de pago, Servicio de limpieza diario, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Aseo adicional, Recepción 24 horas, Zona TV / salón de uso compartido, WC, Habitaciones familiares, Servicio de traslado, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/32115811.jpg?k=74411542403593c1d7369d1bf27a2153c6c549749b365d7b0d70a8770ccee9a6&o=&hp=1,Lota,Chile
Loft playa blanca ruta160,https://www.booking.com/hotel/cl/loft-playa-blanca-ruta160-coronel.es.html?aid=2410095,"Loft playa blanca ruta160, que cuenta con vistas al jardín, dispone de alojamiento con balcón y hervidor a unos 35 km de Universidad de Concepción. El alojamiento, que se encuentra a pocos pasos de Playa Blanca, ofrece jardín y parking privado gratis.

Esta casa o chalet tiene acceso directo a una terraza con vistas al mar y cuenta con 3 dormitorios y cocina totalmente equipada. Se ofrece TV de pantalla plana.

Universidad de San Sebastián está a 36 km del alojamiento, y Universidad del Bio-Bio está a 38 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 38 km.","Terraza, TV de pantalla plana, Vistas al jardín, Plancha para ropa, Utensilios de planchado, Perchero, Enchufe cerca de la cama, Zona de estar, Alarma de seguridad, Vistas al mar, Español, Calefacción, Bañera o ducha, Ducha, Vistas, Chimenea, Jardín, Hervidor eléctrico, Seguridad 24 horas, Parking gratis, Tostadora, Secador de pelo, WC, Habitaciones familiares, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519845692.jpg?k=e66d7d84cf55c20f890882a2f67a527f3a0d100e3cdac042e3a6e606adcc850c&o=&hp=1,Lota,Chile
Hotel Cabañas Antulafkén,https://www.booking.com/hotel/cl/centro-turistico-antulafken.es.html?aid=2410095,"Hotel Cabañas Antulafkén está en Arauco y tiene jardín, salón de uso común, terraza y wifi gratis. Algunas habitaciones del alojamiento tienen un balcón con vistas al mar.

La clientela puede practicar actividades en Arauco y alrededores, como senderismo.

El aeropuerto (Aeropuerto Internacional Carriel Sur) está a 84 km.","Terraza, Playa, Inglés, Extintores, Llave de acceso, Situado frente a la playa, Zona de fumadores, Información turística, WiFi gratis, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Español, Centro de negocios, Calefacción, Salas de reuniones / banquetes, Servicio de limpieza diario, Senderismo, Jardín, Parking gratis, Zona TV / salón de uso compartido, Habitaciones familiares, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/55695600.jpg?k=6f4d0b95bb151cf2db9c76e79c13cc5c0e6202bde075d19af59e9b1f3e0e1114&o=&hp=1,Lota,Chile
Depto Parque Víctor lamas,https://www.booking.com/hotel/cl/edificio-parque-victor.es.html?aid=2410095,"Depto Parque Víctor lamas, que cuenta con vistas a la piscina, dispone de alojamiento con terraza y balcón a unos 3,7 km de Universidad de San Sebastián. El alojamiento, que se encuentra a 2,1 km de Universidad de Concepción, ofrece piscina de temporada al aire libre y parking privado gratis.

El apartamento de 1 dormitorio tiene sala de estar con TV de pantalla plana, cocina totalmente equipada y 1 baño.

Estadio Municipal de Concepción está a 4,7 km del alojamiento, y Universidad del Bio-Bio está a 5 km. El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 9 km.","Terraza, Inglés, TV de pantalla plana, De temporada, Zona poco profunda, Vistas a la piscina, Servicio de streaming (como Netflix), Piscina al aire libre, Apartamento privado en edificio, TV, Español, Francés, Piscina privada, Vistas, Para todas las edades, Parking gratis, Baño privado, Italiano, Portugués, Horario de apertura, Habitaciones familiares, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517560536.jpg?k=86304e5fce6e46f3578010226836ba66f09ee5236e3d77ad59ce9cb2ee9bb270&o=&hp=1,Lota,Chile
Cabañas con tinajas coronel,https://www.booking.com/hotel/cl/cabanas-con-tinajas-coronel.es.html?aid=2410095,"Cabañas con tinajas coronel está en Coronel, en la región de Bío-Bío, y ofrece alojamiento con wifi gratis y parking privado gratis.

Playa Maule está a 2 km del alojamiento, y Universidad de Concepción está a 28 km. El aeropuerto (Aeropuerto Internacional Carriel Sur) está a 29 km.","Sauna, Parking gratis, Baño privado, WiFi gratis, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527549453.jpg?k=560fa02ca99791605cd0f97f8f0e98feee985ecd4f35226b18c2fc2d997769cf&o=&hp=1,Lota,Chile
