hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Linde-Sinohaus,US$87,"7,9",Bien,1.024,https://cf.bstatic.com/xdata/images/hotel/max1024x768/180477193.webp?k=abf344c7d68e060857c17ed1f68ad2aeaf954984947d2128a85d062b89fb24f2&o=,https://www.booking.com/hotel/at/linde-sinohaus.es.html?aid=2410095,"Restaurante, Alarma de seguridad, Clases de cocina, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Vino / champán, Canales vía satélite, TV de pantalla plana, Fruta, Ciclismo, Papel higiénico, Buffet para niños, Extintores, Ducha, Chino, Habitaciones familiares, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Suelo de madera o parquet, Senderismo, Llave de acceso, Prohibido fumar en todo el alojamiento, Proporciona factura, Calefacción, Artículos de aseo gratis, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, TV, Detectores de humo, WC, Escritorio, Muy buen desayuno, Parking adaptado para personas de movilidad reducida, Zona de estar",Lustenau,Austria,"El Hotel Linde-Sinohaus ofrece habitaciones elegantes y un restaurante asiático. El centro de Lustenau y la salida 2 de la autopista A13 están a solo 1 km. Además, hay WiFi gratuita y aparcamiento privado gratuito.

Las habitaciones presentan un ambiente acogedor con suelo de parquet oscuro, paredes blancas y muebles elegantes. Todas disponen de baño privado y TV vía satélite de pantalla plana.

Cada mañana se sirve el desayuno y el restaurante ofrece una amplia variedad de platos de cocina china.

Las tiendas más cercanas están a 3 minutos a pie. Bregenz, el lago de Constanza y Dornbirn están a unos 10 km del Hotel Linde-Sinohaus."
"Amedia Lustenau, Trademark Collection by Wyndham",US$100,"8,6",Fabuloso,2.306,https://cf.bstatic.com/xdata/images/hotel/max1024x768/335691734.webp?k=c1dd26de2e5a86f7b8eca04c0b2f1fdcc08ee130795106833bd9b3846142db4c&o=,https://www.booking.com/hotel/at/amedia-lustenau-lustenau.es.html?aid=2410095,"Cafetería en el alojamiento, Terraza, Parking en un garaje, Inglés, Teléfono, Alarma de seguridad, Parking privado, Habitaciones insonorizadas, Zona TV / salón de uso compartido, Bar, Guardaequipaje, Barandillas protectoras para bebés, Secador de pelo, Baño privado, Servicio de limpieza diario, Salas de reuniones / banquetes, Desayuno fabuloso, Vino / champán, Aire acondicionado, Almuerzos para llevar, WC con barras de apoyo, Adaptado para sillas de ruedas, Buffet para niños, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Gimnasio, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Bañera o ducha, Alemán, Mobiliario exterior, Tarjeta de acceso, Cafetera, Habitaciones hipoalergénicas, Información turística, Prohibido fumar en todo el alojamiento, WC, Menús para dietas especiales (bajo petición), Proporciona factura, Calefacción, Artículos de aseo gratis, Fax / fotocopiadora, WiFi gratis, Habitaciones sin humo, Estación de carga de vehículos eléctricos, Cámaras de seguridad fuera del alojamiento, Reloj despertador, Detectores de humo, Terraza / solárium, Parking adaptado para personas de movilidad reducida",Lustenau,Austria,"Amedia Lustenau, Trademark Collection by Wyndham está en Lustenau, a 3,7 km de Recinto ferial Dornbirner Messe, y dispone de alojamiento con centro de fitness, parking privado, salón de uso común y terraza. Este hotel de 4 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo se encuentra a 16 km de Casino Bregenz.

Todas las habitaciones de este alojamiento están equipadas con cafetera.

Olma Messen St. Gallen está a 32 km del alojamiento, y Recinto ferial Messe Friedrichshafen está a 50 km. El aeropuerto (Aeropuerto de St Gallen - Altenrhein) está a 14 km."
Holiday Inn Express - Lustenau,US$127,"8,5",Muy bien,4.490,https://cf.bstatic.com/xdata/images/hotel/max1024x768/283209367.webp?k=49191d1f7ac8601aba5554fd285e566b8b6009f35d0a857c6e628d94d1567bed&o=,https://www.booking.com/hotel/at/holiday-inn-express-lustenau.es.html?aid=2410095,"Radio, Máquina expendedora (aperitivos), Inglés, Parking en un garaje, Teléfono, Alarma de seguridad, Recepción 24 horas, Parking privado, Habitaciones insonorizadas, Holandés, Enchufe cerca de la cama, Centro de negocios, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Almuerzos para llevar, Vino / champán, Canales vía satélite, Aire acondicionado, TV de pantalla plana, WC con barras de apoyo, Adaptado para sillas de ruedas, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Piragüismo, Snack-bar, Adaptado personas de movilidad reducida, Suelo de moqueta, Ducha, Habitaciones familiares, Alemán, WC elevado, Ropa de cama, Mobiliario exterior, Tarjeta de acceso, Cuerda de emergencia en el baño, Senderismo, Esquí, Habitaciones hipoalergénicas, Submarinismo, Prohibido fumar en todo el alojamiento, WC, Windsurf, Insonorización, Equitación, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, Fax / fotocopiadora, Plancha para ropa, Acceso a pisos superiores en ascensor, Turco, Tetera/cafetera en todas las habitaciones, WiFi gratis, Armario, Lavamanos más bajo, Toallas, Habitaciones sin humo, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Portugués, Terraza / solárium, Pesca, Escritorio, Muy buen desayuno, Parking adaptado para personas de movilidad reducida, Zona de estar",Lustenau,Austria,"Holiday Inn Express - Lustenau, que está a 3,6 km de Recinto ferial Dornbirner Messe y a 15 km de Casino Bregenz, ofrece habitaciones en Lustenau. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado en el propio alojamiento.

Todas las habitaciones están equipadas con TV de pantalla plana con canales vía satélite, hervidor, ducha, artículos de aseo gratuitos y escritorio. En el hotel, las habitaciones tienen ropa de cama y toallas.

Hay opciones buffet o vegetarianas de desayuno disponibles cada mañana en Holiday Inn Express - Lustenau.

El alojamiento ofrece terraza solárium. La clientela puede practicar actividades en Lustenau y alrededores, como senderismo, esquí y ciclismo.

Hay un centro de negocios y máquinas expendedoras de snacks en el propio alojamiento en Holiday Inn Express - Lustenau. En recepción se habla alemán, inglés, holandés y portugués, y el personal siempre está dispuesto a echar una mano.

Olma Messen St. Gallen está a 31 km del alojamiento, y Recinto ferial Messe Friedrichshafen está a 49 km. El aeropuerto (Aeropuerto de St Gallen - Altenrhein) está a 14 km."
Gasthof Meindl,US$88,"8,1",Muy bien,695,https://cf.bstatic.com/xdata/images/hotel/max1024x768/261692209.webp?k=ca8997a361e74b89150eecd9a79e5fbf8138566fbd6c7c2c704776b30fcfffbf&o=,https://www.booking.com/hotel/at/gasthof-meindl.es.html?aid=2410095,"Inglés, Terraza, Restaurante, Teléfono, Zona de juegos para niños, Recepción 24 horas, Habitaciones insonorizadas, Bar, Secador de pelo, Baño privado, Vino / champán, TV de pantalla plana, Ciclismo, Extintores, Caja fuerte, Suelo de moqueta, Ducha, Habitaciones familiares, Alemán, Senderismo, Parking en la calle, Información turística, Menús para dietas especiales (bajo petición), Canales por cable, Proporciona factura, Calefacción, Artículos de aseo gratis, Vistas, Zona de fumadores, WiFi gratis, Armario, Jardín, Parking gratis, Habitaciones sin humo, Detectores de humo, WC, Escritorio, Muy buen desayuno",Lustenau,Austria,"El Gasthof Meindl está situado a 5 minutos a pie del centro de Lustenau. Ofrece habitaciones modernas con conexión Wi-Fi gratuita y TV de pantalla plana con canales por cable. El restaurante del hotel prepara cocina austriaca e internacional, que también se puede servir en la terraza, durante el verano.

Las habitaciones son modernas e incluyen baño privado con ducha, secador de pelo y artículos de aseo gratuitos. Todas las mañanas se sirve un desayuno.

El Meindl está rodeado por un jardín con parque infantil. El bar del establecimiento sirve licores caseros y otras bebidas.

La ciudad de Dornbirn está a 5 km, mientras que Bregenz se encuentra a 10 minutos en coche. La ruta ciclista de Rheinradweg está a 500 metros."
Boutique Apartments Lustenau,US$105,"9,4",Fantástico,92,https://cf.bstatic.com/xdata/images/hotel/max1024x768/436528138.webp?k=644bddfe087f24d5a2d1f38b299e6a7005d0f849ab1137d44fea3a8e67d96c1b&o=,https://www.booking.com/hotel/at/boutique-apartment-nr-7.es.html?aid=2410095,"Calefacción, Inglés, Terraza, WiFi gratis, Ascensor, Jardín, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Baño privado, Alemán, Proporciona factura",Lustenau,Austria,"Boutique Apartments Lustenau está en Lustenau, a 4,6 km de Recinto ferial Dornbirner Messe y a 16 km de Casino Bregenz, y ofrece alojamiento con wifi gratis, jardín con terraza y vistas al jardín.

Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y horno.

Olma Messen St. Gallen está a 31 km del alojamiento, y Estación de tren de Bregenz está a 16 km. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 13 km."
Lustenau 3er Wohngemeinschaft,US$58,"7,7",Bien,17,https://cf.bstatic.com/xdata/images/hotel/max1024x768/494266357.webp?k=3c3c21e19af6fbc3a73fdb315ad31fd8692a29f1f0c8797f88854da8514981b4&o=,https://www.booking.com/hotel/at/lustenau-3er-wohngemeinschaft.es.html?aid=2410095,"Registro de entrada / salida privado, Papel higiénico, Extintores, Registro de entrada y salida exprés, Ducha, Alemán, Ropa de cama, Llave de acceso, Prohibido fumar en todo el alojamiento, Nevera, Toda la unidad en la planta baja, Baño compartido, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, WC",Lustenau,Austria,"Lustenau 3er Wohngemeinschaft está en Lustenau, a 5,8 km de Recinto ferial Dornbirner Messe, a 12 km de Casino Bregenz y a 29 km de Olma Messen St. Gallen. Esta habitación en casa particular dispone de parking privado gratis, cocina compartida y wifi gratis.

Hay toallas y ropa de cama en la habitación en casa particular.

Recinto ferial Messe Friedrichshafen está a 47 km del alojamiento, y Estación de tren de Bregenz está a 12 km. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 12 km."
Schlosserhaus,US$94,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/533610294.webp?k=a384242af855ff3a4bf548f8f9f436bfb78d7249f60537856c457ab5178526b7&o=,https://www.booking.com/hotel/at/schlosserhaus.es.html?aid=2410095,"TV de pantalla plana, Calefacción, Cocina, Inglés, Alemán, WiFi gratis, Prohibido fumar en todo el alojamiento, Parking gratis, Zona de cocina, Lavadora, Balcón",Lustenau,Austria,"Schlosserhaus está en Lustenau, a 5,4 km de Recinto ferial Dornbirner Messe, a 17 km de Casino Bregenz y a 30 km de Olma Messen St. Gallen. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina.

Estación de tren de Bregenz está a 17 km del alojamiento, y Lindau Train Station está a 29 km. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 12 km."
Loft mit Kamin und Whirlpool,US$122,"8,7",Fabuloso,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/492342540.webp?k=a3ab78bf0b5dc91dd26b1db95cc389eee960f3597626148f90736381bae41a83&o=,https://www.booking.com/hotel/at/loft-mit-kamin-und-whirlpool.es.html?aid=2410095,"Bañera, Chimenea, Fogones, Inglés, Terraza, Horno, Utensilios de cocina, Toallas / sábanas (por un suplemento), Enchufe cerca de la cama, Lavavajillas, Secador de pelo, TV de pantalla plana, Cocina, Utensilios de planchado, Accesible para personas sordas, Vistas al jardín, Bañera o ducha, Alemán, Aseo adicional, Patio, Suelo de madera o parquet, Mobiliario exterior, Boles para mascotas, Llave de acceso, Cafetera, Mesa de comedor, Nevera, Suelo de baldosa / mármol, Lavadora, Bañera de hidromasaje, Toda la unidad en la planta baja, Zona de comedor, Prohibido fumar en todo el alojamiento, Bidet, Terraza / solárium, Tetera / cafetera, Plancha para ropa, Entrada privada, Calefacción, Zona de comedor exterior, Chimenea exterior, WiFi gratis, Adosado, Jardín, Parking gratis, Habitaciones sin humo, Toallas, TV, Sofá, Bañera de hidromasaje / jacuzzi, Tendedero, WC, Detectores de humo, Independiente, Vistas a un patio interior, Zona de estar",Lustenau,Austria,"Loft mit Kamin und Whirlpool, que cuenta con vistas al jardín, dispone de alojamiento con terraza y patio a unos 16 km de Casino Bregenz. El alojamiento, que se encuentra a 4,5 km de Recinto ferial Dornbirner Messe, ofrece jardín y parking privado gratis.

Este apartamento cuenta con 1 dormitorio, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 1 baño con bidet. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Olma Messen St. Gallen está a 31 km del alojamiento, y Estación de tren de Bregenz está a 16 km. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 14 km del alojamiento."
Das smarte Hotel garni,US$89,"8,6",Fabuloso,788,https://cf.bstatic.com/xdata/images/hotel/max1024x768/266945394.webp?k=c700bc433c837b9d1effcfcd998e925c40fb199058f8166d5abfe3f84c351f9f&o=,https://www.booking.com/hotel/at/das-smarte-garni.es.html?aid=2410095,"Máquina expendedora (aperitivos), Sauna, Inglés, Terraza, Fax, Teléfono, Guardaequipaje, Secador de pelo, Baño privado, Aire acondicionado, Alquiler de bicicletas, Ciclismo, Ascensor, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Máquina expendedora (bebidas), Alemán, Suelo de madera o parquet, Senderismo, Francés, Prohibido fumar en todo el alojamiento, WC, Canales por cable, Calefacción, Fax / fotocopiadora, WiFi gratis, Desayuno fantástico, Parking gratis, Habitaciones sin humo, TV, Terraza / solárium, Escritorio, Servicio de despertador",Lustenau,Austria,"El Das smarte Hotel garni está situado en el centro de Höchst, a 4 km del lago de Constanza y a 10 km de Bregenz, y ofrece habitaciones modernas con muebles luminosos, suelo de parqué y conexión gratuita a internet. Hay conexión a internet por cable y Wi-Fi gratuita en todo el hotel.

Dispone de sauna finlandesa, cabina de infrarrojos y terraza con vistas panorámicas a las montañas suizas.

Por las mañanas se sirve un desayuno buffet abundante con muchos platos saludables en la sala de desayunos o en la terraza. Hay muchos restaurantes a pocos pasos.

La cercana reserva natural del delta del Rin hace del Das smarte Hotel garni una opción ideal para observar aves. Hay aparcamiento gratuito."
Four Points by Sheraton Panoramahaus Dornbirn,US$147,"8,6",Fabuloso,4.293,https://cf.bstatic.com/xdata/images/hotel/max1024x768/459575057.webp?k=0856c1affd92cf38a015fd7406a62d73f61548acd861e34d0cbb24c0d980d55b&o=,https://www.booking.com/hotel/at/4-points-by-sheraton-panoramahaus.es.html?aid=2410095,"Horario de apertura, Sauna, Alarma de seguridad, Zona TV / salón de uso compartido, Centro de negocios, Bar, Juegos de mesa / puzles, Servicio de limpieza diario, Tumbonas/sillas de playa, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Ascensor, Hipoalergénico, WC elevado, Masajes, Servicio de planchado, Servicios de belleza, Zapatillas, Senderismo, Francés, Eventos deportivos en directo (emisión), Envoltura corporal, Fax / fotocopiadora, Vistas a la montaña, Albornoz, Armario, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Reloj despertador, Parking adaptado para personas de movilidad reducida, Parking en el alojamiento, Restaurante, Servicio de lavandería, Menú para niños, Recepción 24 horas, Español, Spa y centro de bienestar, Baño privado, Desayuno fabuloso, 2 piscinas, WC con barras de apoyo, Extintores, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Masaje de cuello, Vistas a la ciudad, Bañera o ducha, Alemán, Boles para mascotas, Cafetera, Habitaciones hipoalergénicas, Insonorización, Toallas de playa/piscina, Cambio de moneda, Minibar, Tratamientos corporales, Servicio de habitaciones, Turco, Detectores de humo, Portugués, Terraza / solárium, Servicio de despertador, Máquina expendedora (aperitivos), Inglés, Parking en un garaje, Servicio de despertador / alarma, Masaje corporal completo, Zona de spa / relajación, Sombrillas, Enchufe cerca de la cama, Abierta todo el año, Guardaequipaje, Secador de pelo, Seguridad 24 horas, Vino / champán, Aire acondicionado, Almuerzos para llevar, Buffet para niños, Gimnasio, Para todas las edades, Paquetes de spa / bienestar, Habitaciones familiares, Ropa de cama, Instalaciones de spa, Guardaesquíes, Prohibido fumar en todo el alojamiento, Masaje de pies, Artículos de aseo gratis, Tetera / cafetera, Baño al aire libre, Toallas, TV, Baño de vapor, WC, Escritorio, Teléfono, Masaje de espalda, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, Utensilios de planchado, Exfoliación corporal, Caja fuerte, Piscina climatizada, Ducha, Cesta para mascotas, Suelo de madera o parquet, Tarjeta de acceso, Alquiler de coches, Cuerda de emergencia en el baño, Esquí, Servicio de limpieza en seco, Menús para dietas especiales (bajo petición), Proporciona factura, Calefacción, Acceso a pisos superiores en ascensor, Tetera/cafetera en todas las habitaciones, Zona de fumadores, WiFi gratis, Lavamanos más bajo, Estación de carga de vehículos eléctricos, Desayuno en la habitación, Ruso, Máquina expendedora (bebidas)",Lustenau,Austria,"Just off the A14 motorway on the outskirts of Dornbirn, the Four Points by Sheraton Panoramahaus Dornbirn offers modern rooms, a restaurant, and an underground car park. It is in the immediate vicinity of the Dornbirner Messe (fairgrounds) and the Messepark Shopping Centre.

The bright, functionally furnished rooms feature state-of-the-art technical equipment, modern design, and panoramic views of the scenic surroundings.

The The Gastro Counter, on the ground floor, offers our guests a contemporary locally adapted food and drink experience in a casual and relaxed environment.

Guests have free access to a spa, fitness, beauty and health centre with an indoor and and outdoor  swimming pool."
