hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Mais,https://www.booking.com/hotel/br/mais.es.html?aid=2410095,"El Hotel Mais está situado a 3 km del centro de la ciudad de Macapá y ofrece alojamiento práctico con aire acondicionado central y conexión Wi-Fi gratuita. Además, cuenta con aparcamiento privado y recepción 24 horas. El aeropuerto Alberto Alcolumbre se encuentra a 1 km.

Las habitaciones del Hotel Mais están decoradas en colores claros y tienen suelo de baldosa y aire acondicionado. También disponen de TV, minibar, armario y baño privado con ducha de agua caliente.

Todos los días se sirve un desayuno bufé con fruta fresca variada, pan y embutidos. El restaurante del hotel ofrece especialidades de la región y una amplia selección de bebidas.

El hotel está a 600 metros del Museo Sacaca, en Macapá, y a 3 km de la fortaleza de San José. El centro comercial de Macapá se encuentra a 1,5 km del hotel.","Terraza, Servicio de lavandería, Extintores, Desayuno fabuloso, Alquiler de coches, WiFi gratis, Teléfono, Fruta, Fax / fotocopiadora, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Buffet para niños, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de limpieza diario, Almuerzos para llevar, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Parking en un garaje, Vino / champán, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/318272127.jpg?k=4d9e6027562c467f10762a70cfdb23c2e44064afd2de7a8fd6b1c7dd0755e9df&o=&hp=1,Macapá,Brasil
Amapá Hotel,https://www.booking.com/hotel/br/ibis-macapa.es.html?aid=2410095,"El Amapá Hotel está situado en Macapá, a 3,7 km de la estación de autobuses de Macapa y a 500 metros del teatro Bacabeiras.

El Craftsman House y el Pier Eliezer Levy se encuentran a 800 metros del Amapá Hotel. El aeropuerto más cercano es el de Macapá, ubicado a 2 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Restaurante, Ropa de cama, Escritorio, Información turística, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Bañera o ducha, Guardaequipaje, Canales vía satélite, Francés, Ducha, Papel higiénico, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Portugués, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/261575669.jpg?k=683832290f5fb595dc10ae9c89916cd45f29bb53f0601cde10c9a8c57a496e38&o=&hp=1,Macapá,Brasil
Hotel Do Forte,https://www.booking.com/hotel/br/do-forte.es.html?aid=2410095,"In Macapá, Hotel do Forte features rooms with view of the Amazon River from its common areas. A swimming pool, free Wi-Fi and free parking are provided.

Accommodation at Hotel do Forte includes private bathroom, air conditioning and TV. Rooms are equipped with telephone and minibar as well.

The restaurant, with panoramic views of the river, serves a daily buffet breakfast with regional items. The snack bar is open 24/7.

Hotel do Forte is in downtown Macapá, close to shops and bars. It is only 200 metres from Complexo do Araxá and 400 metres from Parque do Forte. The international airport is a 10-minute drive away.","Terraza, Inglés, Bar, Snack-bar, TV de pantalla plana, Entretenimiento nocturno, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Caja fuerte, Francés, Guardaequipaje, Canales vía satélite, Supermercado pequeño en el alojamiento, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Música / espectáculos en directo, Vino / champán, Secador de pelo, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/289023307.jpg?k=75da9086103234d229bd19405229e120e4d51c4c54cd91d62d3f04ac7ac421d0&o=&hp=1,Macapá,Brasil
Hotel Holliday,https://www.booking.com/hotel/br/holliday.es.html?aid=2410095,"Hotel Holliday, que se encuentra a 5,8 km de Estación de autobús de Macapá y a 2 min a pie de Estadio Glicério Marques, ofrece habitaciones con aire acondicionado y baño privado en Macapá. El alojamiento está a unos 9 min a pie de Museo Sacasa, a 1,8 km de Fortaleza de San José y a 2,1 km de Teatro Bacabeiras. La posada u hostería dispone de centro de fitness, servicio de habitaciones y wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV. En la posada u hostería, todas las habitaciones están equipadas con baño privado.

El personal de recepción está disponible a cualquier hora del día.

Museo Índio está a 2,3 km del alojamiento, y Píer Eliezer Levy está a 2,4 km. El aeropuerto más cercano (Aeropuerto Internacional Alberto Alcolumbre) está a 3 km del alojamiento.","Baño privado, Servicio de planchado, Portugués, Tarjetas de transporte público, Extintores, Servicio de limpieza diario, Gimnasio, Recepción 24 horas, Alquiler de coches, WC, Aire acondicionado, Perchero, Habitaciones familiares, TV, WiFi gratis, Clases de fitness, Habitaciones sin humo, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/154860830.jpg?k=31e51d76561155e0abf2c955eef47b358ae3a9f34b6ff348a0bcb77534acbfd4&o=&hp=1,Macapá,Brasil
Hotel Norte,https://www.booking.com/hotel/br/norte.es.html?aid=2410095,"El Hotel Norte está situado a 1 km del centro de Macapá y a 6 km del centro comercial de la ciudad. Ofrece alojamientos prácticos, conexión Wi-Fi gratuita y aparcamiento privado.

Las habitaciones del Hotel Norte están decoradas de forma sencilla y moderna con colores claros y suelo de baldosa. Cuentan con aire acondicionado, TV de pantalla plana, minibar y baño privado con ducha y agua caliente.

El establecimiento sirve todos los días un desayuno bufé que incluye una gran variedad de fruta fresca, panes y embutidos. Además, podrá degustar especialidades regionales y una gran selección de bebidas en el restaurante del hotel o solicitarlas mediante el servicio de habitaciones.

El Hotel Norte también dispone de una zona de estar en el vestíbulo y proporciona un servicio de alquiler de coches. Se encuentra a 1 km del aeropuerto internacional de Macapá y a 10 km de la terminal de autobuses de la ciudad.","Parking gratis, Baño privado, Parking en un garaje, Guardaequipaje, Ducha, Portugués, Fruta, Buen desayuno, Recepción 24 horas, Ascensor, Alquiler de coches, WC, Aire acondicionado, TV, WiFi gratis, Minibar, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/63480240.jpg?k=d53ed6ae7ac7a12368893ab33346a6494763213c7e37e5c2a8bf51914c889412&o=&hp=1,Macapá,Brasil
Aeroporto House,https://www.booking.com/hotel/br/apartamento-mobiliado-macapa.es.html?aid=2410095,"Aeroporto House ofrece alojamiento en Macapá, a 4,9 km de Estación de autobús de Macapá y a 1,8 km de Estadio Glicério Marques. Hay wifi gratis en todo el alojamiento.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos.

Teatro Bacabeiras está a 3,1 km del alojamiento, y Museo Sacasa está a 1,7 km. El aeropuerto más cercano (Aeropuerto Internacional Alberto Alcolumbre) está a 1 km.","TV de pantalla plana, Productos de limpieza, Ropa de cama, Zona de comedor, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Adosado, Entrada privada, Horno, TV, Prohibido fumar en todo el alojamiento, Independiente, Guardaequipaje, Utensilios de cocina, Ducha, Armario, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Proporciona factura, Baño privado, Portugués, Toda la unidad en la planta baja, WC, Aire acondicionado, Habitaciones familiares, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426779593.jpg?k=4755a3d30fb0617943174c6235d27edc503aaa2fe27eb04332f1006d27480b82&o=&hp=1,Macapá,Brasil
NEW'S BUSINESS,https://www.booking.com/hotel/br/news-business.es.html?aid=2410095,"NEW'S BUSINESS, en Macapá, se encuentra a 5,6 km de Estación de autobús de Macapá y ofrece alojamiento con aire acondicionado y wifi gratis, además de acceso a la terraza.

Cerca del alojamiento hay puntos de interés como Estadio Glicério Marques, Teatro Bacabeiras y Museo Sacasa. El aeropuerto más cercano (Aeropuerto Internacional Alberto Alcolumbre) está a 3 km.","Parking gratis, Terraza, Portugués, Ducha, TV de pantalla plana, Mesa de comedor, Armario, Toallas, Ropa de cama, Recepción 24 horas, WC, Aire acondicionado, Habitaciones familiares, WiFi gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/514404791.jpg?k=93840257090d9d0d252356b09b05588263a5ceb01af798e2f2e5a19d2c7d26db&o=&hp=1,Macapá,Brasil
APARTHOTEL CENTRAL MACAPÁ,https://www.booking.com/hotel/br/aparthotel-central-macapa.es.html?aid=2410095,"APARTHOTEL CENTRAL MACAPÁ, en Macapá, se encuentra a 5,6 km de Estación de autobús de Macapá y ofrece alojamiento con aire acondicionado y wifi gratis, además de acceso a la terraza.

Cerca del alojamiento hay puntos de interés como Estadio Glicério Marques, Teatro Bacabeiras y Museo Sacasa. El aeropuerto más cercano (Aeropuerto Internacional Alberto Alcolumbre) está a 3 km.","Terraza, TV de pantalla plana, Servicio de lavandería, Ropa de cama, Perchero, Cocina compartida, WiFi gratis, Apartamento privado en edificio, TV, Calefacción, Papel higiénico, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Parking gratis, Baño privado, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466128368.jpg?k=f96ff30f7b9946e17a453e587069b143d083fa6b6a7f1bbaf29039f42ae21c28&o=&hp=1,Macapá,Brasil
Forte Express,https://www.booking.com/hotel/br/forte-express.es.html?aid=2410095,"Forte Express está en Macapá, a 5,2 km de Estación de autobús de Macapá, y ofrece alojamiento con restaurante y parking privado. Este hotel de 4 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de recepción 24 horas, centro de negocios y cambio de moneda.

En el hotel, cada habitación dispone de escritorio y TV de pantalla plana. Algunas habitaciones cuentan con zona de cocina con nevera, microondas y minibar. En Forte Express, las habitaciones disponen de ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Fortaleza de San José, Estadio Glicério Marques y Museo Índio. El aeropuerto (Aeropuerto Internacional Alberto Alcolumbre) está a 4 km.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, TV de pantalla plana, Extintores, Restaurante, Ropa de cama, Productos de limpieza, Escritorio, Alquiler de coches, Desayuno, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Parking privado, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Centro de negocios, Francés, Guardaequipaje, Canales vía satélite, Supermercado pequeño en el alojamiento, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Jardín, Acceso al salón executive, Almuerzos para llevar, Canales por cable, Seguridad 24 horas, Parking en un garaje, Baño privado, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Cambio de moneda, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/306109145.jpg?k=2941b760e434d15b97d0ad6532a4c55e2427305f1401b22f3e3c113371ab5b35&o=&hp=1,Macapá,Brasil
Magnus Plaza Hotel,https://www.booking.com/hotel/br/magnus-plaza.es.html?aid=2410095,"El Magnus Plaza Hotel está en el centro de Macapá, a solo 2,8 km del aeropuerto internacional de Macapá. Dispone de una piscina al aire libre, un bar restaurante a la carta y conexión Wi-Fi gratuita.

Las habitaciones del Magnus Plaza son acogedoras y tienen aire acondicionado, TV, minibar, una zona de estar pequeña y baño privado.

El restaurante del Magnus ofrece platos típicos brasileños. También se sirve un desayuno bufé todos los días.

Este hotel se encuentra a 5,6 km del estadio Zerão y a pocos pasos de varios restaurantes y lugares de interés importantes.","Tumbonas/sillas de playa, Servicio de lavandería, Extintores, WiFi gratis, Piscina al aire libre, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Caja fuerte, Francés, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Buen desayuno, Jardín, Proporciona factura, Horario de apertura, Recepción 24 horas, Ascensor, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/439199412.jpg?k=3bbfcc0cf35abf8797c3300b4ff23e3fc580f52bb81f179c54a109e7de6ec04f&o=&hp=1,Macapá,Brasil
