hotel,hotel_url,description,popular_facilities,highres_url,city,country
Centro Macas,https://www.booking.com/hotel/ec/quedate-aqui.es.html?aid=2410095,"Centro Macas se encuentra en Macas y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad cuenta con terraza, TV de pantalla plana con canales por cable, cocina bien equipada y baño privado con bidet.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 216 km del alojamiento.","Wifi rápida gratis (82 Mbps), Mesa de comedor, Prohibido fumar en todo el alojamiento, Zona de cocina, Plancha para pantalones, Parking gratis, Tours en bici, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Utensilios de cocina, Alquiler de bicicletas, Apartamento privado en edificio, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Independiente, Tours a pie, Bañera, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Recepción 24 horas, Cocina, Tendedero, Suelo de baldosa / mármol, TV de pantalla plana, Entrada privada, Ducha, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506429198.jpg?k=5591b275662a31e544b1dcd47dfa5644ae207363e41fae5dc6566374e5374b67&o=&hp=1,Macas,Ecuador
"MY HOUSE IN MACAS, SUITE AMOBLADA",https://www.booking.com/hotel/ec/my-house-in-macas-suite-amoblada.es.html?aid=2410095,"MY HOUSE IN MACAS, SUITE AMOBLADA está en Macas y ofrece terraza. Este apartamento tiene jardín y parking privado gratis.

El apartamento dispone de 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y balcón con vistas a la montaña.

El personal de recepción puede dar consejos sobre la zona.

El apartamento ofrece servicio de alquiler de coches.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Registro de entrada y salida exprés, Mesa de comedor, Prohibido fumar en todo el alojamiento, Zona de cocina, Zona de comedor, Parking gratis, Perchero, Terraza, Vistas a un patio interior, Papel higiénico, Servicio de lavandería, Utensilios de cocina, Apartamento privado en edificio, TV, Lavavajillas, Nevera, Alquiler de coches, Mosquitera, Canales por cable, Vistas al río, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Jardín, Artículos de aseo gratis, Independiente, Vistas a la montaña, Productos de limpieza, Español, Baño privado, Patio, Aire acondicionado, Balcón, Habitaciones sin humo, Recepción 24 horas, Cocina, Tendedero, TV de pantalla plana, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/438697229.jpg?k=d5787f39fba9296a9fc02eb3ef66435797a6257445391f33b22f754d7d9f90cb&o=&hp=1,Macas,Ecuador
Markinkia - Estancia Amazónica,https://www.booking.com/hotel/ec/markinkia-estancia-amazonica-macas.es.html?aid=2410095,"Markinkia - Estancia Amazónica es un alojamiento con wifi gratis y vistas a la ciudad que está en Macas. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet dispone de 2 dormitorios, cocina con nevera y microondas, TV de pantalla plana, zona de estar y 1 baño con ducha.

La casa o chalet ofrece bañera de hidromasaje.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Utensilios de planchado, Mesa de comedor, Zona de comedor exterior, Barbacoa, Vistas al jardín, Zona de cocina, Plancha para ropa, Zona de comedor, Parking gratis, Perchero, Bañera o ducha, Zona de estar, Armario, Utensilios de cocina, WiFi gratis, TV, Inglés, Nevera, Bañera de hidromasaje, Jardín, Microondas, Juegos de mesa / puzles, Independiente, Sofá, Vistas a la montaña, Muebles de exterior, Bañera de hidromasaje / jacuzzi, Español, Patio, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Cocina, Suelo de baldosa / mármol, Escritorio, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520368046.jpg?k=3b417fb0cb21ae076400597c7cc798c8514d00ef578d47eb575c6dcb38df866f&o=&hp=1,Macas,Ecuador
Arrayan y Piedra,https://www.booking.com/hotel/ec/arrayan-y-piedra.es.html?aid=2410095,"Arrayan y Piedra dispone de piscina al aire libre, jardín, salón de uso común y terraza en Macas. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay parking privado gratis y hotel también dispone de alquiler de bicicletas para descubrir los alrededores.

En el hotel, todas las habitaciones cuentan con armario y TV de pantalla plana. Arrayan y Piedra ofrece algunas unidades con balcón, y todas tienen baño privado con ducha y albornoces.

El alojamiento ofrece desayuno buffet o americano.

Se puede jugar al billar y al ping-pong en este hotel de 5 estrellas, y la zona es ideal para practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 223 km del alojamiento.","Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Eventos deportivos en directo (emisión), Billar, Masajes, Parking gratis, Sombrillas, Tours en bici, Perchero, Terraza, Toda la unidad en la planta baja, Zona de spa / relajación, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Para todas las edades, Masaje de pies, Baños públicos, Tarjetas de transporte público, Lavamanos más bajo, Proporciona factura, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Centro de negocios, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Zona TV / salón de uso compartido, Extintores, Sofá cama, TV de pantalla plana, Traslado aeropuerto (gratis), Horario de apertura, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Desayuno, Noches de cine, Traslado aeropuerto, Buffet para niños, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Alarma de seguridad, WC, Vino / champán, Masaje de espalda, Piscina infantil, Silla de masajes, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Spa y centro de bienestar, WC elevado, Guardaequipaje, Instalaciones de spa, Ventilador, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, Menú para niños, Masaje corporal completo, Snack-bar, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Clases de cocina, Baño privado, Patio, Zona poco profunda, Piscina al aire libre, Adaptado para sillas de ruedas, Ducha, Ciclismo, Cuerda de emergencia en el baño, Zona de juegos interior, Menús para dietas especiales (bajo petición), Llave de acceso, Paquetes de spa / bienestar, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Equitación, Albornoz, Alquiler de coches, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Bar en la piscina, WC con barras de apoyo, Sauna, Restaurante, Zona de pícnic, Recepción 24 horas, Masaje en pareja, Masaje de cuello, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574024949.jpg?k=078d5277019a36e3bbf9c7eb19e2c60ae968737293f1e4ae556eb9b237e259f8&o=&hp=1,Macas,Ecuador
TU CASA EN MACAS,https://www.booking.com/hotel/ec/tu-casa-en-macas.es.html?aid=2410095,"TU CASA EN MACAS está en Macas. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

El apartamento cuenta con balcón y vistas a la ciudad, y tiene 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 2 baños con ducha.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Perchero, Armario, Papel higiénico, Utensilios de cocina, WiFi gratis, TV, Inglés, Nevera, WC, Toallas, Microondas, Independiente, Horno, Español, Baño privado, Patio, Vistas a la ciudad, Balcón, Vistas, Sofá cama, Cocina, TV de pantalla plana, Lavadora, Tetera / cafetera, Ducha, Ventilador, Secadora de ropa, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426193603.jpg?k=8c11adea37707143bd0d37eff7298a5f63ede7754a74e50799b07f0e0e6ddc77&o=&hp=1,Macas,Ecuador
Casa Noe - Noe House,https://www.booking.com/hotel/ec/casa-independiente-en-el-campo.es.html?aid=2410095,"Casa Noe - Noe House está en Macas y dispone de alojamiento con jardín, wifi gratis, servicio de conserjería y mostrador de información turística. La casa o chalet, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, ciclismo y ping pong.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una cocina con zona de comedor y 1 baño con ducha. Hay TV de pantalla plana con canales por cable.

En la casa o chalet, la clientela puede usar la barbacoa.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 210 km.","Sala de juegos, Parking en un garaje, Cafetera, Suelo de madera o parquet, Mesa de comedor, Utensilios de planchado, Barbacoa, Vistas al jardín, Zona de cocina, Zona de juegos interior, Plancha para ropa, Prohibido fumar en todo el alojamiento, Zona de comedor, Parking gratis, Baño al aire libre, Sombrillas, Tours en bici, Perchero, Zona de estar, Tour o clase sobre cultura local, Armario, Papel higiénico, Toda la unidad en la planta baja, Servicio de lavandería, Utensilios de cocina, Mobiliario exterior, Servicio de conserjería, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, Barandillas de seguridad para bebés, Alquiler de coches, Mosquitera, Canales por cable, Servicio de traslado, Dardos, Proporciona factura, Libros, DVD o música para niños, Wifi rápida gratis (176 Mbps), Zona de fumadores, Toallas, Información turística, Jardín, Detector de monóxido de carbono, Juegos de mesa / puzles, Independiente, Fax / fotocopiadora, Tours a pie, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Vistas, Extintores, Sofá cama, Cocina, Tendedero, Suelo de baldosa / mármol, Zona de pícnic, TV de pantalla plana, Lavadora, Ducha, Ventilador, Secadora de ropa, Senderismo, Parking adaptado para personas de movilidad reducida, Ping pong, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550840118.jpg?k=c7d3e519acb3c08fd2ff05a3bbd6584c679758506ca412e82edd7294a43d5c6a&o=&hp=1,Macas,Ecuador
"MY HOUSE IN MACAS, MIRADOR AL UPANO",https://www.booking.com/hotel/ec/my-house-in-macas-mirador-al-upano.es.html?aid=2410095,"MY HOUSE IN MACAS, MIRADOR AL UPANO se encuentra en Macas y ofrece terraza. Este apartamento dispone de jardín y parking privado gratis.

Este apartamento cuenta con 3 dormitorios, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 2 baños con ducha. Hay toallas y ropa de cama en el apartamento.

El personal de recepción siempre está dispuesto a ofrecer información.

El apartamento ofrece servicio de alquiler de coches.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 216 km del alojamiento.","Cafetera, Suelo de madera o parquet, Registro de entrada y salida exprés, Mesa de comedor, Vistas al jardín, Zona de cocina, Zona de comedor, Parking gratis, Perchero, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Armario, Papel higiénico, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, TV, Lavavajillas, Nevera, Alquiler de coches, Vistas a un lugar de interés, WC, Vistas al río, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Secador de pelo, Información turística, Independiente, Sofá, Vistas a la montaña, Productos de limpieza, Español, Patio, Vistas a la ciudad, Balcón, Habitaciones sin humo, Vistas, Servicio de streaming (como Netflix), Cocina, Sofá cama, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Entrada privada, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/420490356.jpg?k=52f3a14901133be35901b431657e3a50a4b005c81dba67175851bd30b370e27d&o=&hp=1,Macas,Ecuador
Suite vista hermosa apartament,https://www.booking.com/hotel/ec/suite-vista-hermosa-apartament.es.html?aid=2410095,"Suite vista hermosa apartament se encuentra en Macas y ofrece terraza. Este apartamento tiene jardín, zona de barbacoa, wifi gratis y parking privado gratis.

El apartamento dispone de 2 dormitorios, TV de pantalla plana con canales vía satélite, una cocina equipada con lavavajillas y minibar, lavadora y 2 baños con ducha.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 218 km del alojamiento.","Cafetera, Suelo de madera o parquet, Minibar, Mesa de comedor, Canales vía satélite, Zona de comedor exterior, Barbacoa, Zona de cocina, Vistas al jardín, Plancha para ropa, Registro de entrada y salida exprés, Zona de comedor, Parking gratis, Llave de acceso, Barandillas protectoras para bebés, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Habitaciones hipoalergénicas, Papel higiénico, Seguridad 24 horas, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, WiFi gratis, Lavavajillas, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Barandillas de seguridad para bebés, Vistas a un lugar de interés, Alarma de seguridad, WC, Canales por cable, Vistas al río, Servicio de traslado, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Registro de entrada / salida privado, Información turística, Jardín, Artículos de aseo gratis, Secador de pelo, Centro de negocios, Zona de fumadores, Independiente, Sofá, Vistas a la montaña, Español, Baño privado, Patio, Cochecitos de bebé, Balcón, Habitaciones sin humo, Vistas, Extintores, Recepción 24 horas, Cocina, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Secadora de ropa, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583544573.jpg?k=226f97b7cbf9297eb6a6352265bf68f5a20e1c063713da5b179f38f6b3e46904&o=&hp=1,Macas,Ecuador
MY HOUSE IN MACAS,https://www.booking.com/hotel/ec/my-house-in-macas.es.html?aid=2410095,"MY HOUSE IN MACAS está en Macas y tiene vistas a la montaña, wifi gratis y parking privado gratis.

Cada unidad dispone de terraza con vistas a la ciudad, TV de pantalla plana, zona de comedor, cocina bien equipada y baño privado con ducha y artículos de aseo gratuitos. También hay nevera y cafetera.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Cafetera, Suelo de madera o parquet, Registro de entrada y salida exprés, Mesa de comedor, Zona de comedor exterior, Vistas al jardín, Zona de cocina, Zona de comedor, Parking gratis, Accesible para personas sordas, Perchero, Terraza, Bañera o ducha, Vistas a un patio interior, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, WiFi gratis, TV, Nevera, Toallas / sábanas (por un suplemento), Alquiler de coches, Vistas a un lugar de interés, WC, Vistas al río, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Independiente, Vistas a la montaña, Productos de limpieza, Español, Baño privado, Patio, Aire acondicionado, Vistas a la ciudad, Balcón, Habitaciones sin humo, Vistas, Servicio de streaming (como Netflix), Cocina, Tendedero, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Tetera / cafetera, Ducha, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/345898340.jpg?k=d4963ab1ca8e4b22dad091713fa3584a77889e50c8f359e7b3a403ccce58ae95&o=&hp=1,Macas,Ecuador
My House in Macas Penhouse,https://www.booking.com/hotel/ec/my-house-in-macas-penhouse.es.html?aid=2410095,"My House in Macas Penhouse se encuentra en Macas y ofrece terraza. Esta casa o chalet dispone de jardín, zona de barbacoa, wifi gratis y parking privado gratis.

Esta casa o chalet tiene acceso directo a un balcón y cuenta con 2 dormitorios independientes y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El personal de recepción siempre está dispuesto a ofrecer información.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 216 km del alojamiento.","Habitaciones sin humo, Jardín, Información turística, Recepción 24 horas, Cocina, WiFi gratis, Barbacoa, Zona de cocina, Español, TV de pantalla plana, Parking gratis, Proporciona factura, Aire acondicionado, Terraza, Habitaciones familiares, Registro de entrada / salida privado, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/405228573.jpg?k=c5a25230b5be9772903cfc481fcb325a25af917a62b66ca2d5f62a31de684f95&o=&hp=1,Macas,Ecuador
