hotel,hotel_url,description,popular_facilities,highres_url,city,country
Bungalows de Casa Verde,https://www.booking.com/hotel/pe/bungalows-de-casa-verde.es.html?aid=2410095,"Bungalows de Casa Verde está en Mala y ofrece vistas al jardín, piscina al aire libre, jardín, salón de uso común, terraza y bar. La casa rural ofrece wifi y parking privado, ambos gratis.

Bungalows de Casa Verde ofrece patio, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y horno, y baño privado con ducha y artículos de aseo gratuitos.

El alojamiento ofrece zona de juegos infantil.

En Bungalows de Casa Verde, la clientela puede jugar al billar en el propio alojamiento o practicar senderismo o ciclismo en los alrededores.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 100 km.","Sala de juegos, Vistas al jardín, Zona de comedor exterior, Zona de cocina, Billar, Parking gratis, Sombrillas, Perchero, Terraza, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Nevera, Baños públicos, Canales por cable, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Almuerzos para llevar, Horno, Español, Equipamiento de juegos para exterior, Adecuada para niños, Zona TV / salón de uso compartido, Extintores, TV de pantalla plana, Ropa de cama, Horario de apertura, Ping pong, Habitaciones familiares, Mesa de comedor, Chimenea exterior, Armario, Alarma de seguridad, Mosquitera, WC, 2 piscinas, Artículos de aseo gratis, Piscina infantil, Fogones, Habitaciones sin humo, Vistas, Cocina, Guardaequipaje, Entrada privada, Ventilador, Barbacoa, Accesible para personas sordas, Salas de reuniones / banquetes, Zona de estar, Papel higiénico, Alquiler de bicicletas, TV, Cámaras de seguridad fuera del alojamiento, Juegos de mesa / puzles, Productos de limpieza, Abierta todo el año, Baño privado, Patio, Zona poco profunda, Tetera / cafetera, Ducha, Ciclismo, Zona de juegos interior, Seguridad 24 horas, Utensilios de cocina, Bar, Inglés, Tetera/cafetera en todas las habitaciones, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Zona de juegos para niños, Zona de pícnic, Tendedero, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426422641.jpg?k=fe78fe885e11d8a28d9185e924650c229d73bd41677608553ebbdedd349b1644&o=&hp=1,Mala,Perú
Puerto Bayovar,https://www.booking.com/hotel/pe/puerto-bayovar-provincia-de-lima.es.html?aid=2410095,"Puerto Bayovar ofrece alojamiento en Mala. Este alojamiento, que cuenta con recepción 24 horas, también ofrece restaurante. El hotel también ofrece wifi gratis y parking privado gratis.

El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 99 km.","Parking en un garaje, Servicio de planchado, Plancha para pantalones, Menús para dietas especiales (bajo petición), Parking gratis, Cambio de moneda, Llave de acceso, Servicio de limpieza diario, Seguridad 24 horas, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Servicio de lavandería, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Alquiler de coches, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Información turística, Vino / champán, Español, Extintores, Restaurante, Recepción 24 horas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363091429.jpg?k=33ee7bb19a303c7a9963a842b92a5cb4f6217d2d61d460bfd7a594a435c535ac&o=&hp=1,Mala,Perú
Hotel Costa Riviera,https://www.booking.com/hotel/pe/costa-riviera.es.html?aid=2410095,"Hotel Costa Riviera está en Mala y dispone de bar y casino. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 99 km.","Entretenimiento nocturno, Sala de juegos, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de juegos interior, Utensilios de planchado, Desayuno, Parking gratis, Llave de acceso, Servicio de limpieza diario, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Bar, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Karaoke, Toallas / sábanas (por un suplemento), WC, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Toallas, Vino / champán, Artículos de aseo gratis, Cafetería en el alojamiento, Ascensor, Toda la unidad accesible en silla de ruedas, Baño privado, Español, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Calefacción, Casino, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/164822415.jpg?k=c89f7f0eaeebbedf95ed27a46aa8570d2e6810e1d52e75547d2f3ceaa5946655&o=&hp=1,Mala,Perú
Hospedaje Apple,https://www.booking.com/hotel/pe/hospedaje-apple.es.html?aid=2410095,"Hospedaje Apple se encuentra en Mala. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades disponen de baño privado, artículos de aseo gratuitos y ropa de cama.

El hotel ofrece desayuno a la carta o americano.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 100 km.","Habitaciones sin humo, Papel higiénico, Artículos de aseo gratis, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Español, WiFi gratis, Desayuno, TV de pantalla plana, Ropa de cama, Parking gratis, WC, Ducha, Ventilador, Baño privado, Servicio de habitaciones, Habitaciones familiares, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580624831.jpg?k=68e3983fac8a1e589a9b586c45812a88c5971ac0c45fef042405acbcae827911&o=&hp=1,Mala,Perú
Hotel Puerto Bayovar II,https://www.booking.com/hotel/pe/puerto-bayovar-ii.es.html?aid=2410095,"Hotel Puerto Bayovar II ofrece alojamiento en Mala. El alojamiento ofrece recepción 24 horas y mostrador de información turística.

Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 99 km.","Prohibido fumar en todo el alojamiento, Canales vía satélite, Llave de acceso, Seguridad 24 horas, Papel higiénico, TV, Cámaras de seguridad fuera del alojamiento, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Información turística, Registro de entrada / salida privado, Toallas, Artículos de aseo gratis, Productos de limpieza, Español, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/332379421.jpg?k=6f249d75232d3660dd67056da89f18e2ba6e126ddd704ac48da2f86edb423580&o=&hp=1,Mala,Perú
Refugio de Bujama con piscina a 150m del mar,https://www.booking.com/hotel/pe/refugio-de-bujama-con-piscina-a-150m-del-mar.es.html?aid=2410095,"Refugio de Bujama con piscina a 150m del mar se encuentra en Mala y ofrece terraza. El alojamiento, que está a 3 min a pie de Playa Barceloneta, dispone de piscina al aire libre y parking privado gratis.

El apartamento tiene 3 dormitorios, TV de pantalla plana, una zona de cocina equipada con nevera y lavavajillas, y 2 baños con ducha.

El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 105 km.","Prohibido fumar en todo el alojamiento, Barbacoa, Zona de cocina, Parking gratis, Terraza, Bañera o ducha, Zona de estar, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, WiFi gratis, Lavavajillas, TV, Inglés, Para todas las edades, Nevera, WC, Piscina privada, Adosado, Microondas, Abierta todo el año, Horno, Español, Baño privado, Patio, Aseo compartido, Piscina al aire libre, Habitaciones sin humo, Tendedero, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Secadora de ropa",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547395595.jpg?k=bf53d7038a322c893e4f0b0d8e309639e5a44644020a70d1a97c147cc1e69e66&o=&hp=1,Mala,Perú
Casa alojamiento Finca bonita,https://www.booking.com/hotel/pe/casa-alojamiento-finca-bonita.es.html?aid=2410095,"Casa alojamiento Finca bonita está en Mala, en la región de Región de Lima, y tiene balcón y vistas al jardín. Este alojamiento ofrece parking privado gratis y acceso a una terraza.

La casa o chalet se compone de 5 dormitorios, una cocina totalmente equipada y 6 baños. Hay TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 87 km.","Vistas, Prohibido fumar en todo el alojamiento, Vistas al jardín, Cocina, Zona de cocina, TV de pantalla plana, Parking gratis, Lavadora, Español, Baño privado, Terraza, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/423513533.jpg?k=086a48315f48edd9d03062c43786c45b18b72bf34ec1030bac186cde0d0ec28f&o=&hp=1,Mala,Perú
Fundo Chakas,https://www.booking.com/hotel/pe/fundo-chakas.es.html?aid=2410095,"Fundo Chakas se encuentra en San Antonio y ofrece alojamiento con piscina al aire libre abierta todo el año, jardín y terraza.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 99 km del alojamiento.","Piscina al aire libre, Habitaciones sin humo, Jardín, Recepción 24 horas, Para todas las edades, Parking gratis, Abierta todo el año, Español, Baño privado, Terraza, Tumbonas/sillas de playa, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523605911.jpg?k=8cdbf7b2994c13765770dd843170e9567ab02878e9af5ab9ca0aa69fee079e55&o=&hp=1,Mala,Perú
A&N House,https://www.booking.com/hotel/pe/a-amp-n-house.es.html?aid=2410095,"A&N House se encuentra en Miraflores, en la región de Región de Lima, y tiene terraza y vistas a la montaña. Esta casa o chalet dispone de jardín y parking privado gratis.

Esta casa o chalet de 2 dormitorios ofrece wifi gratis, TV de pantalla plana por cable, lavadora y cocina con nevera yhorno. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet dispone de barbacoa.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 94 km del alojamiento.","Cafetera, Mesa de comedor, Vistas al jardín, Barbacoa, Zona de cocina, Zona de comedor, Parking gratis, Accesible para personas sordas, Llave de acceso, Terraza, Vistas a un patio interior, Seguridad 24 horas, Armario, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, Toallas / sábanas (por un suplemento), Hervidor eléctrico, Vistas a un lugar de interés, Canales por cable, Portugués, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Jardín, Independiente, Vistas a la montaña, Horno, Español, Patio, Holandés, Balcón, Enchufe cerca de la cama, Vistas, Servicio de streaming (como Netflix), Cocina, Zona de pícnic, Escritorio, Ropa de cama, TV de pantalla plana, Lavadora, Ducha, Habitaciones familiares, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585249095.jpg?k=33d464ea9865c953342e27717b4ea38d119e0068704dd61dee7b2c2374d8fb3d&o=&hp=1,Mala,Perú
Finca Las Palmeras - Rcreat,https://www.booking.com/hotel/pe/finca-las-palmeras-rcreat.es.html?aid=2410095,"Finca Las Palmeras - Rcreat se encuentra en Lima.

Todas las unidades disponen de baño privado, TV de pantalla plana, cocina totalmente equipada y balcón.

La casa o chalet dispone de terraza, además de jardín.

El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 100 km.","Jardín, Vistas, Portugués, Prohibido fumar en todo el alojamiento, Cocina, Piscina privada, Francés, Zona de cocina, Inglés, Piscina, TV de pantalla plana, Parking gratis, Italiano, Español, Baño privado, Terraza, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/335082045.jpg?k=208b02f128bba9823f31a8848d1f7ed9846cde39f1f71f376a661f671a3c424d&o=&hp=1,Mala,Perú
