hotel,hotel_url,description,popular_facilities,highres_url,city,country
ibis Styles Manaus,https://www.booking.com/hotel/br/go-inn-manaus-manaus.es.html?aid=2410095,"Just a block from Manaus historic centre and Amazonas Theatre, features a gym, coffee shop and convenience store. Its restaurant serves a daily buffet breakfast, and Wi-Fi is free.

The air-conditioned rooms feature a minibar, bathroom, digital safe and an Smart LED TV. With a bright, contemporary décor, all are furnished with a desk and full-body mirror.

ibis Styles Manaus is just 6 km from Manaus industrial district, and 14 km from Eduardo Gomes International Airport. Private parking is arranged by a third-party company, and charges are applicable.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Información turística, Detector de monóxido de carbono, Zona de fumadores, Insonorización, Perchero, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Parking privado, Registro de entrada / salida privado, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Bañera o ducha, Guardaequipaje, Supermercado pequeño en el alojamiento, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Canales por cable, Servicio de limpieza en seco, Seguridad 24 horas, Baño privado, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Accesible para personas sordas, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/489335675.jpg?k=9a6e6a3ccc320d177be57b74ed857c4b6250feeccbebe1225351fc0eac043379&o=&hp=1,Manaus,Brasil
"Holiday Inn Manaus, an IHG Hotel",https://www.booking.com/hotel/br/manaus.es.html?aid=2410095,"Situado a sólo 200 metros del centro de convenciones Estudio 5, en Manaus, el Holiday Inn Manaus ofrece modernas habitaciones con conexión inalámbrica a internet gratuita. Las instalaciones incluyen una piscina al aire libre con vistas panorámicas de la ciudad.

Las habitaciones del Manaus Holiday Inn presentan un interior elegante y moderno. Están equipadas con aire acondicionado, televisor y baño.

Además de una piscina al aire libre, el Holiday Inn Manaus ofrece un gimnasio y una recepción abierta las 24 horas.

Los huéspedes podrán disfrutar de la cocina local e internacional en el restaurante. El bar sirve una amplia variedad de bebidas.

El centro comercial Studio 5 está a menos de 5 minutos a pie. Está a sólo 6 km del centro de la ciudad de Manaus. El establecimiento dispone de aparcamiento gratuito.","Tumbonas/sillas de playa, Terraza, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, Servicio de lavandería, Extintores, Llave de acceso, Boles para mascotas, Restaurante, Zona de fumadores, Sombrillas, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Piscina al aire libre, Barbacoa, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, Menú para niños, Terraza / solárium, Centro de negocios, Caja fuerte, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Bar en la piscina, Servicio de limpieza diario, Gimnasio, Buen desayuno, WC con barras de apoyo, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, Toallas de playa/piscina, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/245818149.jpg?k=547bb6d8b404a7149f339383937765ae64c032d3d03ed54bd937a4e627c0c2bc&o=&hp=1,Manaus,Brasil
Express Vieiralves,https://www.booking.com/hotel/br/manus-hota-c-is-express-vieiralves.es.html?aid=2410095,"El Express Vieiralves, situado en una zona comercial de Manaus, a 15 km del aeropuerto internacional Eduardo Gomes, ofrece alojamiento con conexión WiFi, restaurante, bar y centro de negocios. El establecimiento sirve un desayuno todos los días, por un suplemento.

Las habitaciones del Express Vieiralves son modernas y cuentan con aire acondicionado, escritorio, minibar y TV de pantalla plana por cable. También incluyen caja fuerte y baño con secador de pelo.

Por las mañanas, en el restaurante se sirve un desayuno buffet. Incluye una selección de frutas frescas, pan y embutidos. También hay especialidades regionales y diferentes bebidas.

El hotel está situado a 100 metros de bares, restaurantes y parques. El centro comercial Amazonas está a 2,5 km y el aeropuerto más cercano es el aeropuerto internacional Eduardo Gomes, situado a 8 km del Express Vieiralves.","Peluquería / salón de belleza, Inglés, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Escritorio, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Cuerda de emergencia en el baño, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, WC elevado, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones hipoalergénicas, Centro de negocios, Habitaciones insonorizadas, Caja fuerte, Buffet para niños, Español, Guardaequipaje, Vistas a la ciudad, Ducha, Salas de reuniones / banquetes, Servicio de limpieza diario, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Cafetería en el alojamiento, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Zona de juegos interior, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484877999.jpg?k=4676801d86edcbccb22c8cbb27caeaa725469d9e52ede202bbdc88d8f85c4875&o=&hp=1,Manaus,Brasil
Seringal Hotel,https://www.booking.com/hotel/br/seringal.es.html?aid=2410095,"El Seringal Hotel está situado en Manaos, a solo 50 metros del famoso teatro Amazonas. Ofrece conexión WiFi gratuita, recepción 24 horas y un estilo único y clásico.

Todas las habitaciones del Seringal disponen de TV LCD y aire acondicionado. El baño privado incluye ducha y secador de pelo. También incluyen minibar.

Todos los días se sirve un desayuno que incluye una amplia variedad de especialidades tropicales y regionales. El hotel también sirve el té de la tarde.

El hotel está a 100 del centro de la ciudad. El aeropuerto internacional Eduardo Gomes está a 11 km.","Inglés, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Alarma de seguridad, Desayuno fantástico, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Guardaequipaje, Servicio de planchado, Ducha, Toallas, Servicio de limpieza diario, Almuerzos para llevar, WC con barras de apoyo, Servicio de habitaciones, Cafetería en el alojamiento, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Guiado auditivo, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/544048240.jpg?k=160cf223d91b74561ae64df784e6a8e1a53b01330674b5e2b70a163e6123e9fe&o=&hp=1,Manaus,Brasil
Da Vinci Hotel & Conventions,https://www.booking.com/hotel/br/da-vinci.es.html?aid=2410095,"El Da Vinci está en el moderno distrito de Manaus de Adrianópolis, a solo 15 minutos en coche del centro. Se encuentra cerca de muchos restaurantes y centros comerciales. Además, consta de piscina al aire libre y gimnasio bien equipado.

Las habitaciones del Da Vinci Hotel son modernas y tienen aire acondicionado, TV por cable de pantalla plana, minibar y baño privado. La conexión WiFi y la conexión a internet por cable son gratuitas.

El restaurante del hotel es luminoso y sirve una combinación de platos internacionales y tradicionales en un ambiente moderno.

El hotel Da Vinci dispone de conexión WiFi gratuita en las zonas comunes, recepción 24 horas y aparcamiento privado gratuito disponible bajo petición.

Entre los lugares de interés más cercanos se encuentran el teatro Amazonas y el río Negro, ubicados a 5 minutos en coche. El aeropuerto internacional Eduardo Gomes se sitúa a menos de 20 minutos en coche y Manauara está muy cerca a pie del hotel.","Tarjeta de acceso, Abierta todo el año, Extintores, Información turística, Adaptado personas de movilidad reducida, Piscina al aire libre, Teléfono, Fruta, Servicio de conserjería, TV, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Mesa de comedor, Eventos deportivos en directo (emisión), Tour o clase sobre cultura local, Cafetería en el alojamiento, Recepción 24 horas, Habitaciones familiares, Tumbonas/sillas de playa, Restaurante, Escritorio, Zona de comedor, Happy hour, Servicio de streaming (como Netflix), Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Minibar, Ducha, Artículos de aseo gratis, TV de pantalla plana, Ropa de cama, Zona de fumadores, Enchufe cerca de la cama, Menú para niños, Español, Piscina con vistas, Servicio de planchado, Toallas, Gimnasio, Canales de pago, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Toallas de playa/piscina, Cambio de moneda, Taquillas, Servicio de traslado, Tendedero, Suelo de baldosa / mármol, Papel higiénico, Inglés, Bar, Servicio de lavandería, Detector de monóxido de carbono, Sombrillas, WiFi gratis, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, WC elevado, Habitaciones hipoalergénicas, Centro de negocios, Guardaequipaje, Canales vía satélite, Servicio de limpieza diario, Desayuno en la habitación, Seguridad 24 horas, Parking en un garaje, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/464720732.jpg?k=9635ee9f5874bc661ea3c56be8fd5454cfef690cd173004ecc80bb1bd18da262&o=&hp=1,Manaus,Brasil
TRYP by Wyndham Manaus,https://www.booking.com/hotel/br/bristol-manaus-airport.es.html?aid=2410095,"El TRYP BY Wyndham Manaus está ubicado en Manaos, a 11 km de los juzgados de Manaos, y ofrece habitaciones con aire acondicionado. Este hotel de 4 estrellas cuenta con WiFi gratuita, recepción 24 horas, restaurante, piscina al aire libre y salón común.

Las habitaciones del hotel disponen de TV de pantalla plana, escritorio y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

El TRYP BY Wyndham Manaus sirve un desayuno buffet.

Asimismo, el TRYP BY Wyndham Manaus se encuentra a 11 km del teatro Amazonas y de la iglesia de Nuestra Señora de la Concepción (Nossa Senhora da Conceiçao). El mercado municipal Adolpho Lisboa queda a 12 km. El aeropuerto internacional Eduardo Gomes, situado a 3 km del hotel, es el más cercano.","Tumbonas/sillas de playa, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Zona de fumadores, Escritorio, Cajero automático en el hotel, Menús para dietas especiales (bajo petición), Reloj despertador, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Piscina al aire libre, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Caja fuerte, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Bar en la piscina, Armario, Servicio de limpieza diario, Gimnasio, Para todas las edades, Jardín, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Toallas de playa/piscina, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/384257784.jpg?k=c0749c1b4c99378bd6ec93c58a3107c03d45a406f25bbf3c0d421ec6d0a1e94d&o=&hp=1,Manaus,Brasil
Apartamento Japim,https://www.booking.com/hotel/br/apartamento-japim.es.html?aid=2410095,"Apartamento Japim se encuentra en Manaus, a 7 km de Palacio de Justicia y a 7,1 km de Teatro Amazon, y ofrece alojamiento con wifi gratis y TV.

Las unidades tienen aire acondicionado y ofrecen cocina totalmente equipada con zona de comedor y horno.

Iglesia de Nuestra Señora de la Concepción está a 7,1 km del alojamiento, y Centro cultural de Povos da Amazonia está a 2,6 km. El aeropuerto más cercano (Aeropuerto internacional Eduardo Gomes) está a 15 km del alojamiento.","Utensilios de cocina, Portugués, Mesa de comedor, Cocina, Zona de comedor, Suelo de baldosa / mármol, Plancha para ropa, Horno, Aire acondicionado, Habitaciones familiares, Sofá, TV, WiFi gratis, Enchufe cerca de la cama, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/476358336.jpg?k=48e85d71ce5b622fedee2b296bcc4b9362f6d2427ea382296632adc5d52231cc&o=&hp=1,Manaus,Brasil
ibis Manaus Aeroporto,https://www.booking.com/hotel/br/ibis-manaus-aeroporto.es.html?aid=2410095,"Ibis Manaus Aeroporto está en Manaus, a 15 km de Palacio de Justicia, y dispone de alojamiento con centro de fitness, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. Este alojamiento libre de humo se encuentra a 15 km de Teatro Amazon.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. En el hotel, cada habitación dispone de ropa de cama y toallas.

Ibis Manaus Aeroporto ofrece desayuno buffet o continental.

El personal habla inglés, español y portugués, y estará encantado de dar consejos sobre la zona en recepción.

Iglesia de Nuestra Señora de la Concepción está a 16 km del alojamiento, y Estadio Vivaldo Lima está a 10 km. El aeropuerto (Aeropuerto internacional Eduardo Gomes) está a 1 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Cuerda de emergencia en el baño, Teléfono, Fruta, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Apoyo visual: braille, Caja fuerte, Bañera o ducha, Guardaequipaje, Canales vía satélite, Ducha, Servicio de despertador / alarma, Armario, Toallas, Gimnasio, Buen desayuno, Artículos de aseo gratis, Apoyo visual: carteles táctiles, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Guiado auditivo, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/252174516.jpg?k=e600cb5800de68d2c1f31108f42af8e9d6cdd078f224588b0e9185d580f3c185&o=&hp=1,Manaus,Brasil
ibis budget Manaus,https://www.booking.com/hotel/br/ibis-budget-manaus.es.html?aid=2410095,"El Ibis Budget Manaus está situado en una de las avenidas principales de Manaos y ofrece WiFi gratuita, aparcamiento privado, tienda 24 horas y centro de negocios. El establecimiento está a 2,5 km del Palacio de Justicia de Manaos.

Todas las habitaciones cuentan con aire acondicionado, baño privado y vistas a la ciudad. Todos los días se sirve un desayuno buffet con especialidades regionales.

El teatro Amazon Theatre está a 2,5 km del Ibis Budget Manaus, y la iglesia de Nossa Senhora da Conceiçao queda a 3,1 km. El aeropuerto internacional Eduardo Gomes se encuentra a 9 km.","Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Toda la unidad accesible en silla de ruedas, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Servicio de streaming (como Netflix), Parking privado, Registro de entrada / salida privado, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Español, Centro de negocios, Guardaequipaje, Vistas a la ciudad, Ducha, Toallas, Buen desayuno, Billar, Servicio de aparcacoches, Parking en un garaje, Baño privado, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Aire acondicionado, Ascensor, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/501308768.jpg?k=0d26eb13ebe03c6bc13342de88dc0976c4736c8869a0e80275f6f084674f8600&o=&hp=1,Manaus,Brasil
Gran hotel teatro,https://www.booking.com/hotel/br/gran-teatro.es.html?aid=2410095,"Gran hotel teatro, que se encuentra a 13 min a pie de Oficina de aduanas y a 1,2 km de Puerto de Manaus, ofrece habitaciones en Manaus. Este hotel de 4 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones están equipadas con escritorio. En Gran hotel teatro, las habitaciones cuentan con TV de pantalla plana y algunas también ofrecen vistas a la ciudad. En el alojamiento, todas las habitaciones disponen de ropa de cama y toallas.

En Gran hotel teatro se puede disfrutar de un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Palacio de Justicia, Teatro Amazon y Iglesia de Nuestra Señora de la Concepción. El aeropuerto más cercano (Aeropuerto internacional Eduardo Gomes) está a 12 km.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Entretenimiento nocturno, Servicio de lavandería, Extintores, Ropa de cama, Llave de acceso, Escritorio, Información turística, Menús para dietas especiales (bajo petición), Alquiler de coches, Toda la unidad accesible en silla de ruedas, Perchero, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Piragüismo, Traslado aeropuerto, Alarma de seguridad, Servicio de despertador, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones hipoalergénicas, Español, Pesca, Caja fuerte, Guardaequipaje, Supermercado pequeño en el alojamiento, Servicio de planchado, Ducha, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Senderismo, Traslado aeropuerto (gratis), Almuerzos para llevar, Tour o clase sobre cultura local, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Música / espectáculos en directo, Adaptado para sillas de ruedas, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Submarinismo, Habitaciones familiares, Portugués, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583154938.jpg?k=bb96fe1a3a83b2ee8eac702bc007c1ef7521323aa5d74af1a15b85a8a9c66e6d&o=&hp=1,Manaus,Brasil
