hotel,hotel_url,description,popular_facilities,highres_url,city,country
Coyaba Tropical Elegant Adult Guesthouse,https://www.booking.com/hotel/cr/coyaba-tropical-bed-and-breakfast.es.html?aid=2410095,"El Coyaba Tropical Elegant Adult Guesthouse goza de una ubicación privilegiada a 10 minutos en coche del parque nacional Manuel Antonio. Hay conexión WiFi gratuita.

Las habitaciones son luminosas y disponen de zona de estar, caja fuerte y aire acondicionado. El baño incluye ducha.

El Coyaba Tropical Elegant Adult Guesthouse sirve un desayuno casero. El establecimiento cuenta con jardín, mostrador de información turística y consigna de equipaje.

El aeropuerto internacional Juan Santamaría se encuentra a unas 2 horas y 30 minutos.","Papel higiénico, Ropa de cama, Caja fuerte, Servicio de despertador, Baño privado, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Juegos de mesa / puzles, Adaptado para sillas de ruedas, Sombrillas, Playa, Menús para dietas especiales (bajo petición), Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, Snorkel, WC, Tours en bici, Servicio de traslado, Masajes, Hipoalergénico, Entrada privada, Guardaequipaje, Senderismo, Nevera, Servicio de conserjería, Zona de fumadores, Habitaciones insonorizadas, Enchufe cerca de la cama, Wifi rápida gratis (126 Mbps), Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Pesca, Parking adaptado para personas de movilidad reducida, Servicio de lavandería, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Equitación, Máquina expendedora (bebidas), Toallas de playa/piscina, Bañera de hidromasaje, Parking en la calle, Piscina pequeña, Servicio de limpieza diario, Piragüismo, Información turística, Extintores, Piscina al aire libre, Solo para adultos, Alquiler de coches, Adaptado personas de movilidad reducida, Bañera de hidromasaje / jacuzzi, Submarinismo, Abierta todo el año, Ventilador, Perchero, Terraza / solárium, Zona de estar, Tumbonas/sillas de playa, Armario, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426364455.jpg?k=93301c2d0f233cd227a4a48196eb2646b7b14cececf69b2252aaa94cc2cca5c0&o=&hp=1,Manuel Antonio,Costa Rica
Oceanfront Hotel Verde Mar direct access to the beach,https://www.booking.com/hotel/cr/verde-mar.es.html?aid=2410095,"El Oceanfront Hotel Verde Mar es el hotel más cercano a la playa y ofrece a sus huéspedes un fácil y directo acceso a la misma, piscina al aire libre, wifi gratuita, aparcamiento y se encuentra cerca del famoso parque nacional Manuel Antonio. Las reservas de más de 6 habitaciones deben autorizarlas la dirección del hotel.

Procedimiento para el registro de entrada: Las habitaciones normalmente están listas para el registro de entrada a las 15:00. Damos la bienvenida a quienes lleguen temprano. Recuerde, sin embargo, que es posible que su habitación no esté lista cuando llegue. La oficina cierra a las 22:00. Si llega más tarde, póngase en contacto con nosotros para gestionar el registro de entrada.

Procedimiento de salida: Le solicitamos que desocupe su habitación a más tardar a las 11:00 del día de su salida. Es posible que se apliquen cargos por salidas tardías. Le recomendamos que se quede después del registro de salida para usar la piscina y otras instalaciones durante el resto del día. Estaremos encantados de guardarle su equipaje y objetos de valor durante la tarde.

Todas las habitaciones del Oceanfront Hotel Verde Mar tienen acceso directo a la playa, muebles de madera, decoración sencilla, baño privado con agua calentada por energía solar y aire acondicionado.

Se aplica un suplemento de 20 USD más impuestos por mascota y noche. Los huéspedes que viajen con mascotas deberán informar al establecimiento con antelación, ya que el establecimiento usa camas diferentes para las mascotas.","Papel higiénico, Caja fuerte, Inglés, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Playa, Toallas, Snorkel, WC, Guardaequipaje, Senderismo, Abierta todo el año, Ducha, Situado frente a la playa, Jardín, Equitación, Zona poco profunda, Servicio de limpieza diario, Piragüismo, Información turística, Alquiler de coches, Piscina al aire libre, Para todas las edades, WiFi gratis, Submarinismo, Ventilador, Tumbonas/sillas de playa, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/88250240.jpg?k=2d2ff9d7ed8b485bae7bb9c8e01fecf14a7b1587e136553eb4362a1f1f206f06&o=&hp=1,Manuel Antonio,Costa Rica
Gaia Collection Hotels,https://www.booking.com/hotel/cr/gaia-collection-hotels.es.html?aid=2410095,"Gaia Collection Hotels está en Manuel Antonio, a 13 min a pie de Playa La Macha, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 5 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Hay bar.

El hotel ofrece desayuno continental o americano.

Playa Espadilla está a 3 km del alojamiento, y Parque nacional Manuel Antonio está a 4,7 km. El aeropuerto más cercano (Aeropuerto de La Managua) está a 7 km.","Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Español, Bar, Recepción 24 horas, Terraza, Jardín, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Estación de carga de vehículos eléctricos, Servicio de habitaciones, WiFi gratis, Bañera de hidromasaje / jacuzzi, Traslado aeropuerto (gratis), Habitaciones familiares, Inglés, Piscina, Desayuno, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586951073.jpg?k=bdc9466f4592623fc9e139553d7493bcc0d5f0b58f957dad9cff8dd33e58a28b&o=&hp=1,Manuel Antonio,Costa Rica
Selina Manuel Antonio,https://www.booking.com/hotel/cr/selina-manuel-antonio.es.html?aid=2410095,"El Selina Manuel Antonio está situado en Manuel Antonio, en la región de Puntarenas, a 2,3 km del parque nacional Manuel Antonio, y dispone de piscina al aire libre abierta durante todo el año y parque infantil. Este establecimiento ofrece bar.

Además, el Selina Manuel Antonio dispone de WiFi gratuita en todas las instalaciones y terraza de yoga con vistas de 360º a la selva.

También hay una cocina compartida y un restaurante. Asimismo, se organizan actividades al aire libre, como rafting.

El aeropuerto internacional Tobías Bolaños se encuentra a 169 km.","Inglés, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Noches de cine, 3 piscinas, Snorkel, Cocina compartida, Servicio de traslado, Bar, Entretenimiento nocturno, Guardaequipaje, Centro de negocios, Senderismo, Restaurante, Buen desayuno, Enchufe cerca de la cama, Terraza, Tours a pie, Abierta todo el año, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Zona TV / salón de uso compartido, Equitación, Parking en la calle, Clases de yoga, Servicio de limpieza diario, Piragüismo, Información turística, Instalaciones para deportes acuáticos en el alojamiento, Discoteca / DJ, Paquetes de spa / bienestar, WiFi gratis, Karaoke, Música / espectáculos en directo, Submarinismo, Taquillas, Terraza / solárium, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/210884114.jpg?k=130e178b0b670b76c16be426c44212e783bae6dae57d14ddc8ad6d56ae1ad3bc&o=&hp=1,Manuel Antonio,Costa Rica
Hostel Plinio,https://www.booking.com/hotel/cr/hostel-plinio-manuel-antonio.es.html?aid=2410095,"Este establecimiento se encuentra en Manuel Antonio, a 1,5 km de la ciudad de Quepos. El Hostel Plinio tiene 2 ubicaciones y ofrece piscina al aire libre, cocina compartida, zonas de salón, sala de juegos, restaurante y WiFi gratuita. Cada mañana, durante un horario específico, se sirve un desayuno gratuito.

El establecimiento solo acepta pagos en efectivo.

El Hostel dispone de habitaciones compartidas, habitaciones privadas con baño compartido y habitaciones familiares, todas ellas con balcón con vistas al océano.

El Hostel Plinio cuenta con mostrador de información turística. También hay aparcamiento gratuito y servicio de enlace con el aeropuerto por un suplemento.

El parque nacional Manuel Antonio está a 4 km. El aeropuerto internacional Juan Santamaría se halla a 150 km.","Papel higiénico, Ropa de cama, Vistas al jardín, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Juegos de mesa / puzles, Sala de juegos, Seguridad 24 horas, Vistas, Horario de apertura, WC, Cocina compartida, Baños públicos, Guardaequipaje, Zona de fumadores, Nevera, Restaurante, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Utensilios de cocina, Abierta todo el año, Zona de comedor, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Servicio de limpieza diario, Microondas, Información turística, Piscina al aire libre, Extintores, Para todas las edades, Muy buen desayuno, WiFi gratis, Cocina, Tendedero, Taquillas, Ventilador, Fogones, Tumbonas/sillas de playa, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494147009.jpg?k=6373fb4e7574dbf195b99cf00d785860eddcb3b371d019f143e9a5041508eece&o=&hp=1,Manuel Antonio,Costa Rica
Igloo Beach Lodge,https://www.booking.com/hotel/cr/igloo-beach-lodge.es.html?aid=2410095,"Igloo Beach Lodge se encuentra en Manuel Antonio, a 5 min a pie de Playa Espadilla, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y restaurante. El alojamiento ofrece bar y se encuentra a 2,3 km de Playa Espadilla sur. El alojamiento dispone de discoteca y servicio de habitaciones.

En el hotel, todas las habitaciones tienen aire acondicionado, armario, terraza con vistas a la piscina, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las unidades disponen de caja fuerte.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

La zona es ideal para practicar senderismo, y en Igloo Beach Lodge hay alquiler de coches.

Playa Playitas está a 2,8 km del alojamiento, y Parque nacional Manuel Antonio está a 17 min a pie. El aeropuerto más cercano (Aeropuerto de La Managua) está a 10 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Fax / fotocopiadora, Baño privado, Vino / champán, Cama plegable, Playa, Chimenea exterior, Masajes, Bar, Vistas a la piscina, Mobiliario exterior, Piscina al aire libre, Muy buen desayuno, Servicio de habitaciones, WiFi gratis, Toda la unidad accesible en silla de ruedas, Tendedero, Minibar, Submarinismo, TV, Proporciona factura, Papel higiénico, Ropa de cama, Vistas al jardín, Servicio de despertador, Habitaciones sin humo, Desayuno en la habitación, Secador de pelo, WC, Servicio de traslado, Senderismo, Servicio de conserjería, Almuerzos para llevar, Ducha, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Insonorización, Zona poco profunda, Servicio de limpieza diario, Clases de fitness, Información turística, Fruta, Paquetes de spa / bienestar, Aeróbic, Perchero, Tumbonas/sillas de playa, Menú para niños, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Noches de cine, Sombrillas, Seguridad 24 horas, Entrenador personal, Entretenimiento nocturno, Guardaequipaje, Terraza, Artículos de aseo gratis, Zona de comedor, Jardín, Servicio de entrega de comestibles, Extintores, Alquiler de coches, Registro de entrada y salida exprés, Discoteca / DJ, Secadora de ropa, Habitaciones familiares, Canales de pago, Español, Caja fuerte, Inglés, Zona de comedor exterior, TV de pantalla plana, Toda la unidad en la planta baja, Menús para dietas especiales (bajo petición), Toallas, Plancha para ropa, Bañera o ducha, Snorkel, Barbacoa, Restaurante, Abierta todo el año, Tours a pie, Llave de acceso, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Parking en la calle, Clases de yoga, Piragüismo, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Instalaciones de spa, Ventilador, Armario, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/267028239.jpg?k=5e14d2ff97132bffa9d9920a432d1586f20f196b6f882f33a2489ec04dd51501&o=&hp=1,Manuel Antonio,Costa Rica
Hotel Coco Beach,https://www.booking.com/hotel/cr/coco-beach-manuel-antonio.es.html?aid=2410095,"El Hotel Coco Beach está situado en el distrito Manuel Antonio, junto al parque Manuel Antonio, y ofrece 2 piscinas al aire libre y conexión WiFi gratuita en las zonas comunes.

Los alojamientos disponen de aire acondicionado, TV, nevera, armario y baño privado con ducha. Algunos gozan de vistas al mar.

El Hotel Coco Beach está a 10 minutos en coche del municipio de Quepos, que alberga bares y restaurantes. Además, el Hotel Coco Beach dispone de aparcamiento privado gratuito.

El Coco Beach está a 50 metros de la playa Manuel Antonio, a 500 metros del parque nacional Manuel Antonio y a 15 km del aeropuerto Quepos. Además, se encuentra a 2 horas y 15 minutos en coche del aeropuerto internacional Juan Santamaría.","Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Recepción 24 horas, Servicio de lavandería, Parking adaptado para personas de movilidad reducida, Jardín, Prohibido fumar en todo el alojamiento, Parking en la calle, Información turística, Extintores, Piscina al aire libre, WiFi gratis, Habitaciones familiares, De temporada, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/72022330.jpg?k=a66e3f3317a7c5f5b8ac3100e3bafa8bd1e7edae068cc0705b2e58b99b1f50e7&o=&hp=1,Manuel Antonio,Costa Rica
El Faro Containers Beach Hotel,https://www.booking.com/hotel/cr/el-faro-beach.es.html?aid=2410095,"El Faro Containers Beach Hotel se encuentra en Manuel Antonio, a unos 100 metros de la playa y a 50 metros del parque nacional Manuel Antonio. Ofrece una piscina de borde infinito y WiFi gratuita. Este establecimiento es el único hotel contenedor de Costa Rica.

Cada alojamiento minimalista y moderno le proporcionará aire acondicionado. También hay disponible una cafetera. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones tienen vistas al mar y la piscina, Hay caja fuerte y ropa de cama.

En El Faro Containers Beach Hotel encontrará una terraza y un bar. En el alojamiento también hay mostrador de información turística, consigna de equipaje y servicio de lavandería. Hay aparcamiento gratuito y el servicio de enlace con el aeropuerto comporta un suplemento.

El hotel se halla a 50 metros del parque nacional Manuel Antonio, a 10 minutos en coche de la playa Playitas Está a 15 minutos en coche de Quepos.","Fax / fotocopiadora, Baño privado, Detectores de humo, Playa, Ascensor, Masajes, Bar, Zona de fumadores, Nevera, Vistas a la piscina, Ruta de bares, Mobiliario exterior, Tarjeta de acceso, WiFi gratis, Música / espectáculos en directo, Terraza / solárium, Piscina infinita, TV, WC elevado, Proporciona factura, Masaje de pies, Papel higiénico, Ropa de cama, Vistas al jardín, Eventos deportivos en directo (emisión), Habitaciones sin humo, Cenas temáticas, Secador de pelo, Vistas, WC, Servicio de traslado, Senderismo, Servicio de conserjería, Enchufe cerca de la cama, Sofá, Almuerzos para llevar, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Toallas de playa/piscina, Zona poco profunda, Servicio de limpieza diario, Masaje corporal completo, Información turística, Desayuno fabuloso, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Balcón, WC con barras de apoyo, Vistas a la montaña, Piscina infantil, Tetera/cafetera en todas las habitaciones, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Aseo adicional, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Piscina con vistas, Sombrillas, Seguridad 24 horas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Baños públicos, Guardaequipaje, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Cafetera, Masaje en pareja, Baño al aire libre, Extintores, Alquiler de coches, Masaje de cabeza, Zona de estar, Habitaciones familiares, Español, Masaje de cuello, 2 restaurantes, Caja fuerte, Inglés, 2 piscinas, Zona de comedor exterior, Juegos de mesa / puzles, Menús para dietas especiales (bajo petición), Sofá cama, Lavamanos más bajo, Toallas, Masaje de manos, Bañera o ducha, Snorkel, Entrada privada, Masaje de espalda, Restaurante, Abierta todo el año, Tours a pie, Servicio de planchado, Llave de acceso, Prohibido fumar en todo el alojamiento, Happy hour, Piragüismo, Para todas las edades, Adaptado personas de movilidad reducida, Armario, Bar en la piscina, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/213569584.jpg?k=50738515e594c358b7c668c5cd10256fa86912e4e397cc5bbe84171888d99fac&o=&hp=1,Manuel Antonio,Costa Rica
Blue Morpho House B&B,https://www.booking.com/hotel/cr/blue-morfo-house.es.html?aid=2410095,"El Blue Morpho House se encuentra en Manuel Antonio, a 2,8 km de Quepos.

Hay una cocina compartida y conexión WiFi gratuita en todas las instalaciones.

El Blue Morpho House se encuentra a 36 km de Dominical y a 40 km de Esterillos. El aeropuerto internacional Tobías Bolaños, el más cercano, se halla a 61 km.","Papel higiénico, Ropa de cama, Inglés, Portugués, Baño privado, Registro de entrada / salida privado, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Cámaras de seguridad en las zonas comunitarias, Toallas, Snorkel, WC, Cocina compartida, Servicio de traslado, Guardaequipaje, Senderismo, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Tours a pie, Ducha, Artículos de aseo gratis, Servicio de limpieza en seco, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Clases de cocina, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Registro de entrada y salida exprés, Extintores, Alquiler de coches, WiFi gratis, Submarinismo, Taquillas, Ventilador, Productos de limpieza, Armario, Habitaciones familiares, Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/405590898.jpg?k=8bd936fbdc027b57997eb5622e70c45a9e5b269bb803ca4c01db206c96239a7b&o=&hp=1,Manuel Antonio,Costa Rica
Karahe Beach Hotel,https://www.booking.com/hotel/cr/karahe.es.html?aid=2410095,"Este hotel de estilo tropical se encuentra en Manuel Antonio y ofrece desayuno gratuito, acceso directo a la playa Espadilla, un restaurante y amplios bungalows privados, situados en la selva.

El restaurante sirve un desayuno buffet todos los días, así como cocina internacional a la carta para el almuerzo y la cena.

El establecimiento organiza actividades como surf, piragüismo y descensos en tirolina. El Hotel Karache está a 1 km del parque nacional de Manuel Antonio. El aeropuerto internacional Juan Santamaría, situado en San José, la capital del país, se encuentra a 2 horas y 30 minutos en coche.","Vistas al jardín, Caja fuerte, Inglés, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Playa, Francés, WC, Bar, Guardaequipaje, Restaurante, Terraza, Ducha, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Jardín, Prohibido fumar en todo el alojamiento, Alemán, Servicio de limpieza diario, Información turística, Piscina al aire libre, WiFi gratis, Pesca, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/218398448.jpg?k=a1e78d3af9ece9379f20e18db24c80667115dbabb59bdf815ba565df56dbe430&o=&hp=1,Manuel Antonio,Costa Rica
