hotel,hotel_url,description,popular_facilities,highres_url,city,country
Estoril Hotel,https://www.booking.com/hotel/br/estoril-maralia.es.html?aid=2410095,"El Estoril Hotel, situado en el centro de la ciudad de Marília, ofrece habitaciones funcionales con conexión WiFi gratuita. El establecimiento alberga un centro de negocios y ofrece un servicio de habitaciones diario. También cuenta con recepción 24 horas e instalaciones para reuniones.

Las habitaciones del Estoril disponen de aire acondicionado, TV por cable, minibar y baño privado. Las suites tienen una zona de estar independiente.

El Hotel Estoril sirve un desayuno buffet diario con frutas de temporada, zumos naturales y panecillos.

El hotel proporciona aparcamiento privado gratuito y se encuentra a 2,3 km del centro comercial Shopping Marília, a 2,8 km de la terminal de autobuses de Marília y a 4,5 km del aeropuerto de Marília.","Acceso a pisos superiores en ascensor, Terraza, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Ropa de cama, Escritorio, Reloj despertador, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada / salida privado, Barbacoa, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Servicio de entrega de comestibles, TV, Minibar, Terraza / solárium, Centro de negocios, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Mesa de comedor, Servicio de aparcacoches, Servicio de limpieza diario, Vestidor, Suelo de baldosa / mármol, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Portugués, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/103794230.jpg?k=99773835fab30096ec21480adcdb997dc4835f0d8c23fd0481b332d9287f4600&o=&hp=1,Marília,Brasil
DMax Hotel,https://www.booking.com/hotel/br/dmax.es.html?aid=2410095,"El DMax Hotel es moderno, está a solo 2,5 km del centro de la ciudad de Marília y ofrece a sus huéspedes bicicletas de uso gratuito y conexión WiFi gratuita en todas sus instalaciones. Además, alberga un bar y un salón colorido.

Las habitaciones del DMax Hotel disponen de TV por cable, aire acondicionado, escritorio, caja fuerte, caja fuerte para ordenador portátil y baño privado con ducha y secador de pelo.

Por las mañanas se sirve un desayuno buffet en la sala de desayunos que incluye fruta fresca variada, panes, embutidos y bebidas calientes y frías.

El DMax proporciona aparcamiento gratuito y se encuentra a 5 km del aeropuerto de Marília y a solo 500 metros de la estación de autobuses de la ciudad.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Boles para mascotas, Ropa de cama, Insonorización, Escritorio, Galerías de arte temporales, Alquiler de coches, Toda la unidad accesible en silla de ruedas, Utensilios de planchado, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Teléfono, Alarma de seguridad, Servicio de despertador, Cenas temáticas, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Habitaciones insonorizadas, Español, Caja fuerte, Guardaequipaje, Cochecitos de bebé, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Buen desayuno, Servicio de limpieza diario, Senderismo, Tours a pie, Canales por cable, Desayuno en la habitación, Seguridad 24 horas, Parking gratis, Baño privado, Música / espectáculos en directo, Vino / champán, Caja fuerte para ordenador portátil, Secador de pelo, Ciclismo, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Aire acondicionado, Ascensor, Habitaciones familiares, Tours en bici, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/33860443.jpg?k=1f6dafbd61af5fa5596bde5232ae4ada995b11cc5b71de2574cec6e86c0fe5b2&o=&hp=1,Marília,Brasil
ibis Marilia,https://www.booking.com/hotel/br/ibis-marilia.es.html?aid=2410095,"Ibis Marilia está en Marília y dispone de bar. Este hotel de 3 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay un restaurante de cocina brasileña y parking privado gratis.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

En ibis Marilia se puede disfrutar de un desayuno buffet.

La clientela puede jugar al billar o aprovechar el centro de negocios. El personal de la recepción 24 horas habla inglés y portugués.

El aeropuerto (Aeropuerto de Marilia) está a 3 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Restaurante, Ropa de cama, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Happy hour, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Servicio de despertador, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Ducha, Armario, Toallas, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Tours a pie, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Club infantil, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273277380.jpg?k=f332f7b60b7292a1d2dcf4fba0bbbd065cc38832ad2d81f7afbfe6a3e0c6ad98&o=&hp=1,Marília,Brasil
Hotel Tenda,https://www.booking.com/hotel/br/tenda-marilia.es.html?aid=2410095,"El Hotel Tenda, situado a pocos pasos del centro de Marília, está adaptado para personas de movilidad reducida y dispone de sauna y centro de fitness. Las habitaciones disponen de aire acondicionado y el desayuno es gratuito.

Todas las habitaciones están equipadas con caja fuerte, minibar y TV. Todas disponen de baño privado con ducha.

El Tenda ofrece una recepción abierta las 24 horas y un abundante desayuno bufé. El centro de fitness y la sauna son de uso gratuito, mientras que el servicio de lavandería comporta un suplemento.

El establecimiento se encuentra a 4 km de la estación principal de autobuses y a 5 km del aeropuerto de Marília.","Acceso a pisos superiores en ascensor, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Escritorio, Zona de comedor, Detector de monóxido de carbono, Zona de fumadores, Reloj despertador, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Caja fuerte, Vistas a la ciudad, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Proporciona factura, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/41464762.jpg?k=99dcf4748d9d33cda60e8b8b45dcd1aef6498e6bd2952ab291d9f74a240be646&o=&hp=1,Marília,Brasil
JR Hotel Marilia,https://www.booking.com/hotel/br/jr-marilia.es.html?aid=2410095,"Este hotel se encuentra a 800 metros del centro de Marília y ofrece habitaciones con aire acondicionado, conexión Wi-Fi gratuita y aparcamiento gratuito. Ofrece desayuno bufé, gimnasio y recepción 24 horas. Hay servicio de lavandería disponible por un suplemento.

Todas las habitaciones del JR Hotel Marilia disponen de TV por cable, minibar, ropa de cama y toallas de baño. También disponen de un baño moderno con ducha.

Este JR Hotel se encuentra a 5 km de la terminal de autobuses y el centro comercial de Marília y a 10 km del aeropuerto Frank Miloye Milenkovic.","TV de pantalla plana, Servicio de lavandería, Escritorio, Ping pong, WiFi gratis, Muy buen desayuno, Caja fuerte, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de aparcacoches, Gimnasio, Artículos de aseo gratis, Billar, Sala de juegos, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/107095131.jpg?k=f259e463660caebd4f7dbdbef89c1ac96dd2975a56b51656d3ed6c18f792e32d&o=&hp=1,Marília,Brasil
Hotel Flat Almaru - Marília,https://www.booking.com/hotel/br/flat-almaru-ltda.es.html?aid=2410095,"Hotel Flat Almaru - Marília se encuentra en Marília. Este hotel de 2 estrellas ofrece jardín y habitaciones con aire acondicionado, wifi gratis y baño privado. El hotel dispone de habitaciones familiares.

Las habitaciones de este alojamiento incluyen TV de pantalla plana con canales vía satélite, zona de cocina y zona de comedor. En el hotel, cada habitación incluye ropa de cama y toallas.

Hay opciones buffet o continentales de desayuno disponibles todos los días en Hotel Flat Almaru - Marília.

El alojamiento ofrece terraza solárium.

El personal habla tanto inglés como portugués y estará encantado de dar información sobre la zona en recepción.

El aeropuerto más cercano (Aeropuerto de Marilia) está a 7 km.","Inglés, TV de pantalla plana, Servicio de lavandería, Detector de monóxido de carbono, Ropa de cama, Zona de fumadores, Escritorio, Zona de comedor, Perchero, Desayuno, Sofá, WiFi gratis, Zona de estar, Fogones, Teléfono, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Microondas, Utensilios de cocina, Canales vía satélite, Servicio de planchado, Ducha, Armario, Mesa de comedor, Toallas, Servicio de limpieza diario, Jardín, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/543312263.jpg?k=acf541d95e679f91ed62b83240cbe4af97affb8fec604ed6f5f4b3e9e7a927ca&o=&hp=1,Marília,Brasil
Hotel Sta Mônica Marília,https://www.booking.com/hotel/br/santa-monica-marilia.es.html?aid=2410095,"Hotel Sta Mônica Marília, en Marília, ofrece alojamiento de 3 estrellas con jardín. Hotel dispone de parking privado gratis y wifi gratis.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de armario.

Hotel Sta Mônica Marília ofrece desayuno buffet o continental.

El personal del alojamiento puede dar consejos en la recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de Marilia) está a 6 km.","TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Escritorio, WiFi gratis, Enchufe cerca de la cama, Ventilador, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Minibar, Buffet para niños, Servicio de planchado, Ducha, Vistas a un patio interior, Armario, Toallas, Buen desayuno, Servicio de limpieza diario, Jardín, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Portugués, Recepción 24 horas, Detectores de humo, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/342634447.jpg?k=8cade1701ee29b06fbd500a22d7a07d77b579f4d10646d550c77b1acb716b210&o=&hp=1,Marília,Brasil
Alves Hotel,https://www.booking.com/hotel/br/alves.es.html?aid=2410095,"El Alves Hotel se encuentra a solo 200 metros del centro de Marília y ofrece piscina cubierta, gimnasio y desayuno buffet. Hay conexión Wi-Fi y aparcamiento gratuitos.

El baño es privado e incluye ducha. TV, teléfono, minibar y aire acondicionado o ventilador.

El centro comercial Marília se encuentra a 4 km del Alves Hotel. La estación de autobuses de la ciudad está a 10 km. El aeropuerto Frank Miloye Milenkovich está a 15 km del hotel.","Inglés, Bar, Servicio de lavandería, Extintores, Restaurante, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Piscina climatizada, Baño de vapor, Piscina interior, Alarma de seguridad, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, WC elevado, Prohibido fumar en todo el alojamiento, Español, Centro de negocios, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, WC con barras de apoyo, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Toallas de playa/piscina, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués",https://cf.bstatic.com/xdata/images/hotel/max1024x768/27328347.jpg?k=4c4ede8286ec5b33c9341b9cabca0768ea98cf07bea07e20297447377af36929&o=&hp=1,Marília,Brasil
CENTRALHE HOTEL,https://www.booking.com/hotel/br/centralhe.es.html?aid=2410095,"CENTRALHE HOTEL se encuentra en Marília y ofrece terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación incluye ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Marilia) está a 3 km del alojamiento.","Terraza, TV de pantalla plana, Restaurante, Ropa de cama, Desayuno, WiFi gratis, Zapatillas, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Toallas, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de habitaciones, Parking, Recepción 24 horas, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552866326.jpg?k=7c73046660c50af8e5da37494fbb2a305cd59196302a4f930d8c218fd807e51f&o=&hp=1,Marília,Brasil
Fragata Apart Hotel,https://www.booking.com/hotel/br/fragata-apart-ltda-epp.es.html?aid=2410095,"Fragata Apart Hotel, que cuenta con salón de uso común, se encuentra en Marília. Hotel ofrece parking privado gratis y wifi gratis.

La recepción ofrece información sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto de Marilia) está a 3 km del alojamiento.","Parking gratis, Portugués, Registro de entrada / salida privado, Servicio de lavandería, Servicio de limpieza diario, Buen desayuno, Fax / fotocopiadora, Recepción 24 horas, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Aire acondicionado, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/422939759.jpg?k=c410645b4aeab24686ff359c8d1e3d892e2ae0c81904b2a78805f6c62e3084b7&o=&hp=1,Marília,Brasil
