hotel,hotel_url,description,popular_facilities,highres_url,city,country
Estadio Hotel,https://www.booking.com/hotel/co/estadio-medellin1.es.html?aid=2410095,"Estadio Hotel, que tiene terraza, está en la región de Antioquia, Medellín, a 8,7 km de Parque El Poblado y a 10 km de Parque Lleras. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo se encuentra a 3,2 km de Segundo Parque Laureles.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Cada habitación cuenta con baño privado con ducha, y algunas también ofrecen cocina con nevera. En el hotel, todas las habitaciones disponen de ropa de cama y toallas.

Plaza de Toros La Macarena está a 3,6 km del alojamiento, y Parque Explora está a 5,9 km. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 6 km.","Servicio de habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Guardaequipaje, TV, WC, Perchero, Cámaras de seguridad en las zonas comunitarias, Terraza, WiFi gratis, Tarjeta de acceso, Habitaciones hipoalergénicas, Suelo de baldosa / mármol, Ventilador, Baño privado, Llave de acceso, Servicio de limpieza diario, Detectores de humo, Habitaciones familiares, TV de pantalla plana, Recepción 24 horas, Papel higiénico, Proporciona factura, Ducha, Seguridad 24 horas, Español, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559801018.jpg?k=d6d18f4aeef57f0531a20afd39ff09284557781f0004ee883bc64b48b3bc5e65&o=&hp=1,Medellín,Colombia
Parceros Med Hostel,https://www.booking.com/hotel/co/parceros-hyh.es.html?aid=2410095,"Parceros Med Hostel se encuentra en Medellín, a 8 min a pie de Parque El Poblado, y ofrece alojamiento con salón de uso común, parking privado y terraza. Este alojamiento ofrece cocina compartida y mostrador de información turística, además de wifi gratis en todo el alojamiento. El cafetería es ideal para tomar algo.

En el hostal o pensión, todas las habitaciones cuentan con baño compartido.

Parque Lleras está a 14 min a pie del alojamiento, y Segundo Parque Laureles está a 6,3 km. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 2 km del alojamiento.","Terraza / solárium, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Guardaequipaje, Zona de fumadores, Baño compartido, Terraza, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Aseo compartido, Eventos deportivos en directo (emisión), Español, Información turística, Noches de cine, Servicio de limpieza diario, Toallas / sábanas (por un suplemento), Parking privado, Zona TV / salón de uso compartido, Detectores de humo, Snack-bar, Cocina compartida, Proporciona factura, Zona de juegos interior, Extintores, Juegos de mesa / puzles, Alarma de seguridad, Seguridad 24 horas, Servicio de lavandería",https://cf.bstatic.com/xdata/images/hotel/max1024x768/242760331.jpg?k=4d7e90411252c83b7fe29f23d8370885ca9c772f61fa9917ad6aefcf7f617bf0&o=&hp=1,Medellín,Colombia
Seven Inn Hotel,https://www.booking.com/hotel/co/seven-inn.es.html?aid=2410095,"El Seven Inn Hotel está ubicado en Medellín, a 2,9 km de la avenida 70 y a 4 km del Pueblito Paisa, y ofrece alojamiento con salón común, WiFi gratuita en todas las zonas y aparcamiento privado gratuito. Además, tiene terraza y habitaciones familiares. También hay recepción 24 horas, servicio de habitaciones y servicio de organización de excursiones.

Las habitaciones de este hotel disponen de TV de pantalla plana y baño privado.

El Seven Inn Hotel sirve un desayuno americano.

Alberga varias instalaciones de bienestar, entre ellas bañera de hidromasaje y sauna.

El Seven Inn Hotel se encuentra a 7 km del parque de El Poblado y del parque Lleras. El aeropuerto Olaya Herrera, situado a 3 km del hotel, es el más cercano. Se proporciona un servicio de enlace con el aeropuerto por un suplemento.",Error al acceder a la página del hotel.,https://cf.bstatic.com/xdata/images/hotel/max1024x768/309141709.jpg?k=2f7c99140997ff2e46a859dfa5bed89eeb8c40b7ffe4a3ca16247fe050c848f0&o=&hp=1,Medellín,Colombia
Hotel Lexum Estadio,https://www.booking.com/hotel/co/lexum-estadio.es.html?aid=2410095,"Hotel Lexum Estadio está muy bien situado en el barrio de Laureles - Estadio, Medellín, a 9,4 km de Parque Lleras, a 1,9 km de Segundo Parque Laureles y a 3 km de Plaza de Toros La Macarena. Este hotel de 4 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo está a 8,7 km de Parque El Poblado.

En el hotel, cada habitación está equipada con armario. En Hotel Lexum Estadio, cada habitación dispone de TV de pantalla plana y algunas también ofrecen vistas a la ciudad. En el alojamiento, las habitaciones están equipadas con ropa de cama y toallas.

Hotel Lexum Estadio ofrece desayuno a la carta o americano.

En recepción se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

Parque Explora está a 5,4 km del alojamiento, y Parque de las Aguas está a 31 km. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 5 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza / solárium, Toallas, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, TV, Fax / fotocopiadora, WC, Canales por cable, Terraza, Tour o clase sobre cultura local, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Eventos deportivos en directo (emisión), Tarjeta de acceso, Inglés, Buen desayuno, Productos de limpieza, Traslado aeropuerto, Baño privado, Servicio de planchado, Registro de entrada / salida privado, Servicio de limpieza diario, Toallas / sábanas (por un suplemento), Servicio de traslado, Plancha para pantalones, TV de pantalla plana, Nevera, Armario, Acceso a pisos superiores en ascensor, Mobiliario exterior, Recepción 24 horas, Papel higiénico, Extintores, Proporciona factura, Ducha, Teléfono, Aire acondicionado, Español, Artículos de aseo gratis, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/326810027.jpg?k=40717c8446f3306b1cd9952bb2302da779379b39a54d57e620870955e2b4e68a&o=&hp=1,Medellín,Colombia
Hotel Bolivariana Plaza Medellin,https://www.booking.com/hotel/co/bolivariana-plaza.es.html?aid=2410095,"El Hotel Bolivariana Plaza Medellin se encuentra en Medellín, a 10 minutos en coche del centro de convenciones Plaza Mayor, y ofrece spa, bañera de hidromasaje, restaurante, jardín, centro de fitness y habitaciones con WiFi gratuita y aire acondicionado.

Las habitaciones del Hotel Bolivariana Plaza Medellin son luminosas y amplias. Cuentan con muebles modernos, TV de plasma, minibar y baño privado.

Se sirve un desayuno americano a diario. El restaurante Yo Me Cultivo elabora platos saludables.

Los huéspedes podrán relajarse en la terraza, que incluye sauna, bañera de hidromasaje, baño turco y centro de fitness. También podrán descansar en el jardín o ir de compras en el centro comercial Unicentro, situado a 10 minutos en coche.

El Hotel Bolivariana Plaza Medellin se halla a 15 minutos en coche del aeropuerto Olaya Herrera.","Servicio de habitaciones, Terraza / solárium, Baño de vapor, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Sauna, Habitaciones sin humo, Bañera o ducha, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Masaje de cuello, Ascensor, TV, Parking en un garaje, Fax / fotocopiadora, WC, Canales por cable, Paquetes de spa / bienestar, Vino / champán, Terraza, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Tarjeta de acceso, Jardín, Masaje de espalda, Español, Inglés, Fruta, Gimnasio, Información turística, Salas de reuniones / banquetes, Buen desayuno, Restaurante, Secador de pelo, Traslado aeropuerto, Baño privado, Escritorio, Masaje de cabeza, Zona de spa / relajación, Canales de pago, Llave de acceso, Servicio de limpieza diario, Servicio de traslado, Detectores de humo, Instalaciones de spa, Habitaciones familiares, Caja fuerte, Toda la unidad accesible en silla de ruedas, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Hammam, Armario, Acceso a pisos superiores en ascensor, Mobiliario exterior, Recepción 24 horas, Papel higiénico, Masajes, Extintores, Masaje de manos, Ducha, Spa y centro de bienestar, Teléfono, Desayuno en la habitación, Centro de negocios, Alarma de seguridad, Artículos de aseo gratis, Seguridad 24 horas, Aire acondicionado, Toda la unidad en la planta baja, Masaje de pies, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549581736.jpg?k=bf8b04cdcbd9a40fa7f2ce095edd352d1e6a050e96db24f74b6923851feda555&o=&hp=1,Medellín,Colombia
Celestino Boutique Hotel,https://www.booking.com/hotel/co/celestino.es.html?aid=2410095,"El Celestino Boutique Hotel se encuentra en Medellín, a 1 calle del parque Lleras, y ofrece WiFi gratuita. El establecimiento está a poca distancia de lugares de interés como el parque El Poblado, el parque Linear y el parque Dancer. El hotel se encuentra en el distrito de El Poblado, a 6 km de Pueblito Paisa.

Todas las habitaciones del hotel están equipadas con escritorio y TV de pantalla plana. Algunas habitaciones del Celestino Boutique Hotel tienen vistas a la montaña y baño privado con ducha y artículos de aseo gratuitos.

El personal de recepción habla inglés y español.

La avenida 70 está a 8 km. El aeropuerto Olaya Herrera, el más cercano, se halla a 3 km.","Terraza / solárium, Toallas, Prohibido fumar en todo el alojamiento, Sauna, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Bañera o ducha, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Ascensor, TV, Fax / fotocopiadora, WC, Paquetes de spa / bienestar, Perchero, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, WiFi gratis, Tarjeta de acceso, Español, Inglés, Información turística, Secador de pelo, Traslado aeropuerto, Baño privado, Productos de limpieza, Escritorio, Servicio de streaming (como Netflix), Llave de acceso, Servicio de limpieza diario, Albornoz, Detectores de humo, Servicio de despertador, Caja fuerte, Muy buen desayuno, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Acceso a pisos superiores en ascensor, Mobiliario exterior, Baños públicos, Recepción 24 horas, Papel higiénico, Extintores, Proporciona factura, Ducha, Spa y centro de bienestar, Alarma de seguridad, Aire acondicionado, Artículos de aseo gratis, Servicio de traslado, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/543246811.jpg?k=6c429df9c81aecf0e83b657ba028a415bc4339b7a29418569475e1caac23b27c&o=&hp=1,Medellín,Colombia
Hotel Park10,https://www.booking.com/hotel/co/park-10.es.html?aid=2410095,"Hotel Park10 está en Medellín, a 7 min a pie de Parque Lleras, y dispone de alojamiento con centro de fitness, parking privado gratis, salón de uso común y terraza. El alojamiento dispone de restaurante y también tiene bar y sauna. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones tienen aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Hotel Park10, cada habitación tiene ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno buffet.

El alojamiento tiene peluquería y centro de negocios.

Parque El Poblado está a 10 min a pie del alojamiento, y Plaza de Toros La Macarena está a 7 km. El aeropuerto (Aeropuerto Olaya Herrera) está a 3 km.","Alquiler de bicicletas, Servicio de entrega de comestibles, Campo de golf (a menos de 3 km), Masaje de cuello, Tratamientos capilares, Fax / fotocopiadora, Paquetes de spa / bienestar, Perchero, Terraza, Suelo de madera o parquet, Ruta de bares, Tarjeta de acceso, Masaje de espalda, Tratamientos faciales, Habitaciones hipoalergénicas, Gimnasio, Secador de pelo, Traslado aeropuerto, Servicios de depilación, Peluquería / salón de belleza, Zona de comedor, Servicio de limpieza diario, Servicio de limpieza en seco, Caja fuerte, Masaje en pareja, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Zapatillas, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Bolos, Extintores, Proporciona factura, Teléfono, Habitaciones insonorizadas, Ropa de cama, Servicio de habitaciones, Música / espectáculos en directo, Sauna, Hipoalergénico, Habitaciones sin humo, Bar, Comedia en vivo, Ascensor, Parking en un garaje, Zona de fumadores, Reloj despertador, Cámaras de seguridad en las zonas comunitarias, Eventos deportivos en directo (emisión), Barandillas protectoras para bebés, Suelo de baldosa / mármol, Información turística, Salas de reuniones / banquetes, Almuerzos para llevar, Sala de juegos, Escritorio, Canales vía satélite, Canales de pago, Cambio de moneda, Zona TV / salón de uso compartido, Alquiler de coches, Zona de estar, Toda la unidad accesible en silla de ruedas, Servicios de belleza, Ducha, Spa y centro de bienestar, Centro de negocios, Seguridad 24 horas, Artículos de aseo gratis, Minibar, Parking gratis, Bañera o ducha, Squash, Guardaequipaje, WC, Exfoliación corporal, WiFi gratis, Entretenimiento nocturno, Registro de entrada y salida exprés, Restaurante, Buffet para niños, Cenas temáticas, Baño privado, Servicio de planchado, Masaje de cabeza, Registro de entrada / salida privado, Zona de spa / relajación, Soporte para iPod, Instalaciones de spa, Habitaciones familiares, Tours a pie, Plancha para pantalones, Masaje corporal completo, Mobiliario exterior, Servicio de conserjería, Masaje de manos, Desayuno en la habitación, Galerías de arte temporales, Masaje de pies, Juegos de mesa / puzles, Aire acondicionado, Radio, Detector de monóxido de carbono, Masajes, Servicio de lavandería, Servicio de traslado, Baño de vapor, Toallas, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, TV, Canales por cable, Sofá, Vino / champán, Tour o clase sobre cultura local, Cafetería en el alojamiento, Insonorización, Servicio de despertador / alarma, Caja fuerte para ordenador portátil, Inglés, Fruta, Hervidor eléctrico, Tours en bici, Tratamientos corporales, Discoteca / DJ, Menú para niños, Detectores de humo, Tendedero, Menús para dietas especiales (bajo petición), Pista de tenis, Servicio de despertador, Muy buen desayuno, Armario, Acceso a pisos superiores en ascensor, Parking adaptado para personas de movilidad reducida, Snack-bar, Alarma de seguridad, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/202238486.jpg?k=df329bd1f80c7d2a194b6ae78bb4c363d56fd58c1a76e2e3d02d29a3d015c4cc&o=&hp=1,Medellín,Colombia
Hotel Laureles de Aburrá,https://www.booking.com/hotel/co/hotelix-laureles-de-aburra.es.html?aid=2410095,"Hotel Laureles de Aburrá está muy bien situado en el barrio de Laureles - Estadio, Medellín, a 6,8 km de Parque El Poblado, a 7,5 km de Parque Lleras y a 10 min a pie de Segundo Parque Laureles. El alojamiento se encuentra a 18 min a pie de Plaza de Toros La Macarena, a 5,9 km de Parque Explora y a 31 km de Parque de las Aguas. El alojamiento ofrece recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones incluyen armario y TV de pantalla plana. En Hotel Laureles de Aburrá, todas las habitaciones cuentan con baño privado con ducha.

Plaza San Antonio está a 14 min a pie del alojamiento, y Estadio Atanasio Girardot está a 1,3 km. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 3 km del alojamiento.","WiFi gratis, Toallas, Armario, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Habitaciones sin humo, Papel higiénico, Traslado aeropuerto (gratis), Ducha, Habitaciones familiares, WC, Español, Traslado aeropuerto, Baño privado, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581825208.jpg?k=5e0510fd30d71e3942f1d4c596e31a6bbc928f59660198dd11e92e191a21913d&o=&hp=1,Medellín,Colombia
Aguacatala Hotel Boutique,https://www.booking.com/hotel/co/aguacatala-boutique.es.html?aid=2410095,"Aguacatala Hotel Boutique está en Medellín, a 3,7 km de Parque El Poblado, y dispone de alojamiento con salón de uso común, parking privado gratis, restaurante y bar. El alojamiento está a unos 4,1 km de Parque Lleras, a 8,2 km de Segundo Parque Laureles y a 8,2 km de Plaza de Toros La Macarena. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con escritorio y TV de pantalla plana. El baño privado está equipado con ducha, artículos de aseo gratuitos y secador de pelo. Las unidades cuentan con nevera.

En Aguacatala Hotel Boutique se puede disfrutar de un desayuno continental o americano.

Parque Explora está a 9,1 km del alojamiento, y Parque de las Aguas está a 35 km. El aeropuerto (Aeropuerto Olaya Herrera) está a 4 km.","Servicio de habitaciones, Minibar, Toallas, Parking gratis, Enchufe cerca de la cama, Bar, Aseo adicional, Cámaras de seguridad fuera del alojamiento, TV, WC, Canales por cable, Perchero, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, WiFi gratis, Máquina expendedora (aperitivos), Zona de comedor exterior, Suelo de baldosa / mármol, Secador de pelo, Restaurante, Acceso a pisos superiores solo mediante escaleras, Cenas temáticas, Traslado aeropuerto, Baño privado, Escritorio, Utensilios de planchado, Registro de entrada / salida privado, Canales vía satélite, Servicio de streaming (como Netflix), Canales de pago, Detector de monóxido de carbono, Servicio de limpieza diario, Servicio de traslado, Detectores de humo, Zona TV / salón de uso compartido, Habitaciones familiares, Plancha para pantalones, Servicio de despertador, Plancha para ropa, Muy buen desayuno, TV de pantalla plana, Nevera, Armario, Recepción 24 horas, Papel higiénico, Snack-bar, Extintores, Proporciona factura, Ducha, Desayuno en la habitación, Entrada privada, Seguridad 24 horas, Español, Artículos de aseo gratis, Muebles de exterior, Servicio de lavandería, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/436681085.jpg?k=bac344bd38963f54a0b391a4e2cfd486bc1a2e4a6d7a040f35767c35d55711d2&o=&hp=1,Medellín,Colombia
Urbit Social Lofts,https://www.booking.com/hotel/co/urbit-social-lofts.es.html?aid=2410095,"Urbit Social Lofts está muy bien situado en el barrio de Laureles - Estadio, Medellín, a 6,8 km de Parque El Poblado, a 7,4 km de Parque Lleras y a 2 min a pie de Segundo Parque Laureles. Este hotel de 4 estrellas ofrece mostrador de información turística y guardaequipaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de conserjería y wifi gratis en todo el alojamiento.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. Algunas habitaciones incluyen cocina con nevera y microondas. En Urbit Social Lofts, las habitaciones tienen ropa de cama y toallas.

Plaza de Toros La Macarena está a 3,1 km del alojamiento, y Parque Explora está a 6,7 km. El aeropuerto (Aeropuerto Olaya Herrera) está a 3 km.","Toallas, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Guardaequipaje, Boles para mascotas, Ascensor, TV, WC, Vistas, Accesible para personas sordas, Vino / champán, Tour o clase sobre cultura local, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Tarjeta de acceso, Español, Habitaciones hipoalergénicas, WC con barras de apoyo, Inglés, Información turística, Secador de pelo, Traslado aeropuerto, Baño privado, Escritorio, Zona de comedor, Toallas / sábanas (por un suplemento), Servicio de limpieza diario, Detectores de humo, Cesta para mascotas, Tours a pie, Zona de estar, Caja fuerte, Servicio de despertador, TV de pantalla plana, Armario, Adaptado para sillas de ruedas, Acceso a pisos superiores en ascensor, Mobiliario exterior, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Servicio de conserjería, Extintores, Proporciona factura, Ducha, Entrada privada, Alarma de seguridad, Seguridad 24 horas, Aire acondicionado, Servicio de traslado, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580151504.jpg?k=e620d5034e76c50f966cd1d6eac58b148db4c84da5a236a4d91e3e89b395344d&o=&hp=1,Medellín,Colombia
