hotel,hotel_url,description,popular_facilities,highres_url,city,country
Apart Hotel Melipilla,https://www.booking.com/hotel/cl/apart-melipilla-melipilla.es.html?aid=2410095,"Apart Hotel Melipilla ofrece alojamiento en Melipilla. Está a 42 km de Laguna de Aculeo y dispone de jardín y wifi gratis.

El alojamiento tiene aire acondicionado y dispone de TV de pantalla plana con canales por cable, una cocina totalmente equipada y con zona de comedor, y baño privado con artículos de aseo gratuitos. También hay nevera, lavavajillas y microondas, además de hervidor.

El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 72 km.","Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Información turística, Zona de comedor, Perchero, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Bañera, Registro de entrada / salida privado, Fogones, Teléfono, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Apartamento privado en edificio, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Calefacción, Wifi básica gratis (7 Mbps), Microondas, Utensilios de cocina, Servicio de planchado, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Proporciona factura, Canales por cable, Hervidor eléctrico, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Portugués, Tostadora, Adaptado para sillas de ruedas, Aseo adicional, Lavavajillas, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Cocina, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526525856.jpg?k=3c40fa838b55d655671c44830113321a2d7ed428d3a3cede7d77818648989f91&o=&hp=1,Melipilla,Chile
Los Quillayes,https://www.booking.com/hotel/cl/los-quillayes.es.html?aid=2410095,"Los Quillayes está en Melipilla y ofrece piscina de temporada al aire libre y terraza. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

Esta casa o chalet consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 73 km.","Terraza, Llave de acceso, Productos de limpieza, Ropa de cama, De temporada, Zona de comedor, Sombrillas, Vistas al jardín, Información turística, Perchero, Sofá, Juegos de mesa / puzles, Enchufe cerca de la cama, Patio, Zona de estar, Registro de entrada / salida privado, Piscina al aire libre, Barbacoa, Entrada privada, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Español, Piscina con vistas, Independiente, Calefacción, Microondas, Supermercado pequeño en el alojamiento, Utensilios de cocina, Piscina privada, Ducha, Vistas a un patio interior, Mesa de comedor, Vistas, Toallas, Artículos de aseo gratis, Para todas las edades, Cafetera, Suelo de baldosa / mármol, Jardín, Hervidor eléctrico, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Secador de pelo, Equipamiento de juegos para exterior, WC, Habitaciones familiares, Zona de comedor exterior, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/492989173.jpg?k=09fb9e59a98107b7a3ec30f68563c122b7419ef08ce4839e70427f6d4f37dda3&o=&hp=1,Melipilla,Chile
Casa Melipillán - Melipilla,https://www.booking.com/hotel/cl/casa-melipillan-melipilla.es.html?aid=2410095,"Casa Melipillán - Melipilla, que tiene jardín y terraza, dispone de alojamiento en Melipilla con wifi gratis y vistas al jardín.

Esta casa o chalet con aire acondicionado se compone de 1 dormitorio independiente, una sala de estar, una cocina totalmente equipada con nevera y horno, y 1 baño. Hay toallas y ropa de cama en la casa o chalet.

El personal habla tanto inglés como español y estará encantado de dar consejos sobre la zona en recepción.

El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 84 km.","Terraza, Inglés, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Escritorio, Vistas al jardín, Plancha para ropa, WiFi gratis, Registro de entrada / salida privado, Barbacoa, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Mobiliario exterior, Horno, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Calefacción, Microondas, Guardaequipaje, Servicio de planchado, Vistas, Toallas, Jardín, Seguridad 24 horas, Nevera, Baño privado, Secador de pelo, Recepción 24 horas, Aire acondicionado, Zona de pícnic, Cocina, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533259819.jpg?k=0aced247956457b4397b1715898e83f23ab3c7cd33de6c1ae02b843b418ad6fb&o=&hp=1,Melipilla,Chile
Casa Foresta - Melipilla,https://www.booking.com/hotel/cl/casa-foresta-melipilla.es.html?aid=2410095,"Casa Foresta - Melipilla, que tiene piscina al aire libre y terraza, dispone de alojamiento en Melipilla con wifi gratis y vistas al jardín. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y 2 baños con bañera de hidromasaje y secador de pelo. Hay toallas y ropa de cama en la casa o chalet.

Laguna de Aculeo está a 47 km del alojamiento. El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 84 km.","Tumbonas/sillas de playa, Terraza, Inglés, Tetera / cafetera, Abierta todo el año, TV de pantalla plana, Extintores, Boles para mascotas, Ropa de cama, Zona de fumadores, Escritorio, Vistas al jardín, Plancha para ropa, Bañera de hidromasaje, WiFi gratis, Registro de entrada / salida privado, Piscina al aire libre, Fogones, Barbacoa, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Mobiliario exterior, Horno, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Terraza / solárium, Calefacción, Microondas, Piscina privada, Secadora de ropa, Chimenea exterior, Salas de reuniones / banquetes, Vistas, Toallas, Chimenea, Para todas las edades, Cámaras de seguridad fuera del alojamiento, Jardín, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Secador de pelo, Equipamiento de juegos para exterior, Aire acondicionado, Baño compartido, Habitaciones familiares, Zona de pícnic, Cocina, Lavadora, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/496943803.jpg?k=0ecca7af2b3723dc0d11af9363d25481f0f4cbedb62b93b88d95d34dad98fb85&o=&hp=1,Melipilla,Chile
Bosques del Paico,https://www.booking.com/hotel/cl/bosques-del-paico.es.html?aid=2410095,"Bosques del Paico está en El Monte y ofrece vistas al jardín, bicicletas gratis, piscina de temporada al aire libre, jardín, salón de uso común y terraza. El camping ofrece wifi y parking privado, ambos gratis.

Hay un baño privado con bañera o ducha en cada unidad, además de artículos de aseo gratuitos, secador de pelo y albornoces.

En Bosques del Paico se puede disfrutar de un desayuno continental o vegetariano.

Hay barbacoa en este alojamiento y en la zona se puede practicar senderismo y ciclismo.

El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 57 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Extintores, Productos de limpieza, Información turística, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Servicio de conserjería, Sauna, Para todas las edades, Jardín, Spa y centro de bienestar, Cafetería en el alojamiento, Exfoliación corporal, Masaje de cuello, Aseo adicional, Zona de pícnic, Vistas, Tumbonas/sillas de playa, Servicios de belleza, Silla de masajes, Vistas al jardín, De temporada, Juegos de mesa / puzles, Happy hour, Patio, Barbacoa, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Servicio de entrega de comestibles, Minibar, Masaje corporal completo, Paquetes de spa / bienestar, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Tratamientos faciales, Alquiler de bicicletas, Horario de apertura, Albornoz, Ropa de cama, Perchero, Instalaciones de spa, Desayuno, Enchufe cerca de la cama, Baño de vapor, Traslado aeropuerto, Masaje de cabeza, Español, Toallas, WC con barras de apoyo, Masaje de espalda, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Zona TV / salón de uso compartido, WC, Servicio de traslado, Papel higiénico, Masaje de pies, Masajes, Masaje de manos, Menús para dietas especiales (bajo petición), Zona poco profunda, WiFi gratis, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Terraza / solárium, Bañera o ducha, Servicio de limpieza diario, Solo para adultos, Senderismo, Proporciona factura, Masaje en pareja, Desayuno en la habitación, Seguridad 24 horas, Nevera, Tratamientos corporales, Vino / champán, Secador de pelo, Ciclismo, Toda la unidad en la planta baja, Lavamanos más bajo, Zona de spa / relajación, Zona de comedor exterior, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/557629118.jpg?k=607b1e90f5e96edfbed12f90abee74327af4327cf9e4c56a9328a33cc3c27da5&o=&hp=1,Melipilla,Chile
Strip Center Suites by Casona Lo Aguirre,https://www.booking.com/hotel/cl/a4-strip-center.es.html?aid=2410095,"Strip Center Suites by Casona Lo Aguirre tiene vistas a la montaña y se encuentra en El Monte. Cuenta con restaurante, servicio de habitaciones, bar, jardín, piscina de temporada al aire libre y terraza. Hay wifi gratis.

El bed and breakfast ofrece zona de estar con TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. También se ofrece nevera, minibar y tostadora, además de cafetera y hervidor.

El desayuno diario ofrece opciones continentales, inglesas/irlandesas o americanas.

Hay centro de negocios y gimnasio en el alojamiento, así como parking privado gratis.

Strip Center Suites by Casona Lo Aguirre ofrece zona de juegos infantil y barbacoa.

Casino Monticello está a 46 km del alojamiento, y Centro de convenciones Monticello está a 46 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 50 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Canguro / servicios para niños, Tetera / cafetera, Extintores, Boles para mascotas, Entrenador personal, Productos de limpieza, Alquiler de coches, Ping pong, Utensilios de planchado, Reloj despertador, Adaptado personas de movilidad reducida, Estación de carga de vehículos eléctricos, Zona de estar, Registro de entrada / salida privado, Piscina al aire libre, Fruta, Servicio de conserjería, Alarma de seguridad, TV, Habitaciones insonorizadas, Suelo de moqueta, Caja fuerte, Chimenea exterior, Salas de reuniones / banquetes, Para todas las edades, Cafetera, Sala de juegos, Jardín, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Tours a pie, Cafetería en el alojamiento, Masaje de cuello, Aseo adicional, Radio, Zona de juegos interior, Piscina infantil, Recepción 24 horas, Zona de pícnic, Habitaciones familiares, Vistas, Tumbonas/sillas de playa, Restaurante, Vistas al jardín, Escritorio, Toda la unidad accesible en silla de ruedas, De temporada, Vistas a un lugar de interés, Juegos de mesa / puzles, Aseo compartido, Patio, Barbacoa, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Minibar, Masaje corporal completo, Calefacción, Ducha, Servicio de despertador / alarma, Bar en la piscina, Artículos de aseo gratis, Cesta para mascotas, Clases de fitness, Baño al aire libre, Alquiler de bicicletas, Caja fuerte para ordenador portátil, Tostadora, Habitaciones comunicadas disponibles, TV de pantalla plana, Ropa de cama, Zona de fumadores, Perchero, Desayuno, Zona de juegos para niños, Enchufe cerca de la cama, Traslado aeropuerto, Ventilador, Español, Piscina con vistas, Francés, Utensilios de cocina, Servicio de planchado, Armario, Discoteca / DJ, Toallas, Gimnasio, Canales de pago, Vestidor, Canales por cable, WC con barras de apoyo, Hervidor eléctrico, Masaje de espalda, Servicio de habitaciones, Ruta de bares, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Toallas de playa/piscina, WC, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Tendedero, Wifi gratis (4 Mbps), Papel higiénico, Inglés, Tetera/cafetera en todas las habitaciones, Bar, Snack-bar, Servicio de lavandería, Entretenimiento nocturno, Detector de monóxido de carbono, Insonorización, Masaje de pies, Sombrillas, Masajes, Plancha para ropa, Plancha para pantalones, Sofá, Juguetes para la piscina, Registro de entrada y salida exprés, Baños públicos, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, WC elevado, Terraza / solárium, Centro de negocios, Bañera o ducha, Guardaequipaje, Canales vía satélite, Vistas a un patio interior, Servicio de limpieza diario, Proporciona factura, Acceso al salón executive, Desayuno en la habitación, Seguridad 24 horas, Nevera, Vistas a la montaña, Vino / champán, Secador de pelo, Karaoke, Equipamiento de juegos para exterior, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, Lavamanos más bajo, Zona de comedor exterior, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/335140102.jpg?k=d92a94b890e565f03900b620cf5cadfbfc00822f600d1c6771d870efd9e74ea1&o=&hp=1,Melipilla,Chile
Casona Lo Aguirre,https://www.booking.com/hotel/cl/casona-lo-aguirre.es.html?aid=2410095,"Casona Lo Aguirre está en Talagante y ofrece vistas al jardín, centro de fitness, jardín, terraza, restaurante y bar. La casa rural ofrece wifi y parking privado, ambos gratis.

Algunas unidades disponen de TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

El desayuno está disponible todas las mañanas e incluye opciones buffet, continentales o americanas.

Hay servicio de alquiler de bicicletas y servicio de alquiler de coches en Casona Lo Aguirre.

Casino Monticello está a 46 km del alojamiento, y Centro de convenciones Monticello está a 46 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 50 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Tetera / cafetera, Extintores, Boles para mascotas, Productos de limpieza, Información turística, Alquiler de coches, Ping pong, Utensilios de planchado, Reloj despertador, Estación de carga de vehículos eléctricos, Zona de estar, Registro de entrada / salida privado, Fruta, Servicio de conserjería, Alarma de seguridad, Habitaciones insonorizadas, Suelo de moqueta, Caja fuerte, Salas de reuniones / banquetes, Cafetera, Sala de juegos, Jardín, Dardos, Tours a pie, Cafetería en el alojamiento, Aseo adicional, Radio, Zona de juegos interior, Recepción 24 horas, Zona de pícnic, Habitaciones familiares, Wifi rápida gratis (80 Mbps), Vistas, Restaurante, Vistas al jardín, Escritorio, Vistas a un lugar de interés, Juegos de mesa / puzles, Patio, Camas extralargas (más de 2 metros), Barbacoa, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Calefacción, Ducha, Servicio de despertador / alarma, Artículos de aseo gratis, Billar, Cesta para mascotas, Alquiler de bicicletas, Ropa de cama, Zona de fumadores, Perchero, Desayuno, 4 restaurantes, Enchufe cerca de la cama, Traslado aeropuerto, Español, Francés, Servicio de planchado, Armario, Toallas, Gimnasio, Hervidor eléctrico, Parking gratis, Baño privado, Detectores de humo, WC, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Tendedero, Papel higiénico, Inglés, Tetera/cafetera en todas las habitaciones, Bar, Snack-bar, Servicio de lavandería, Detector de monóxido de carbono, Insonorización, Menús para dietas especiales (bajo petición), Plancha para ropa, Plancha para pantalones, Registro de entrada y salida exprés, Baños públicos, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Terraza / solárium, Centro de negocios, Bañera o ducha, Guardaequipaje, Vistas a un patio interior, Proporciona factura, Acceso al salón executive, Seguridad 24 horas, Vino / champán, Secador de pelo, Equipamiento de juegos para exterior, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, Zona de comedor exterior, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/404623048.jpg?k=2f2752ce4d69d9edbd86309a0309af60d9c8b8de1b74828053843b1b04dfc87f&o=&hp=1,Melipilla,Chile
Cabaña Amor,https://www.booking.com/hotel/cl/cabana-amor.es.html?aid=2410095,"Esta casa es totalmente sostenible y está situada en la Isla de Maipo, en la Región Metropolitana. Dispone de paneles solares para la energía eléctrica, su propia fuente de agua y árboles frutales cultivados sin pesticidas. Además, cuenta con terraza y jardín con piscina al aire libre disponible durante todo el año.

La cocina está equipada con horno, nevera y fogones, y la Cabaña Amor también incluye baño privado, TV de pantalla plana, reproductor de CD y terraza.

El establecimiento se encuentra a 64 km del centro de la ciudad de Santiago y ofrece vistas a la montaña y su entorno natural.

El aeropuerto internacional de Santiago se encuentra a 60 km.","Tumbonas/sillas de playa, Terraza, Inglés, Tetera / cafetera, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Productos de limpieza, Ropa de cama, Sombrillas, Zona de comedor, Vistas al jardín, Información turística, Zona de fumadores, Perchero, Sofá, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Tendedero, Juegos de mesa / puzles, Registro de entrada y salida exprés, Patio, Zona de estar, Ventilador, Piscina al aire libre, Fogones, Barbacoa, Baños públicos, Entrada privada, Registro de entrada / salida privado, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Horno, Mobiliario exterior, Servicio de entrega de comestibles, TV, Español, Piscina con vistas, Independiente, Calefacción, Bañera o ducha, Guardaequipaje, Utensilios de cocina, Piscina privada, Ducha, Vistas a un patio interior, Mesa de comedor, Armario, Vistas, Solo para adultos, Para todas las edades, Senderismo, Vestidor, Jardín, Mosquitera, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Radio, Baño adicional, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, WC, Zona de pícnic, Cambio de moneda, Zona de comedor exterior, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/131153477.jpg?k=07f41d9f80cf91577e0efa6332e970228f43eecd934a4b64ed4041a466a79bf7&o=&hp=1,Melipilla,Chile
CABAÑA DE CAMPO,https://www.booking.com/hotel/cl/cabana-de-campo-san-antonio.es.html?aid=2410095,"CABAÑA DE CAMPO, que tiene bañera de hidromasaje, está en Cuncumén. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet tiene acceso a una terraza con vistas al jardín y cuenta con 2 dormitorios y cocina totalmente equipada. Hay TV de pantalla plana.

La casa o chalet ofrece bañera de hidromasaje.

El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 102 km.","Terraza, Inglés, TV de pantalla plana, Extintores, Vistas al jardín, Perchero, Sofá, Bañera de hidromasaje, Ventilador, Prohibido fumar en todo el alojamiento, Español, Calefacción, Armario, Bañera de hidromasaje / jacuzzi, Jardín, Parking gratis, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/335821791.jpg?k=3e6437e6c3fbae45bbe8cbb75f439bfbbbd9e30dadea9162c5bb0e53a316b2e1&o=&hp=1,Melipilla,Chile
Posada Al Río,https://www.booking.com/hotel/cl/posada-al-rio.es.html?aid=2410095,"Posada Al Río, que tiene piscina de temporada al aire libre, jardín y terraza, dispone de alojamiento en Isla de Maipo con wifi gratis y vistas a la piscina. Este alojamiento ofrece piscina privada y parking privado gratis.

La villa tiene 4 dormitorios con aire acondicionado, unazona de comedor y una cocina totalmente equipada con nevera.

Se puede descubrir la zona practicando ciclismo en los alrededores.

Casino Monticello está a 40 km del alojamiento, y Centro de convenciones Monticello está a 40 km. El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 54 km.","Terraza, Inglés, Tetera / cafetera, Ropa de cama, Masajes, Escritorio, Zona de comedor, De temporada, Plancha para ropa, Balcón, Vistas al jardín, WiFi gratis, Vistas a la piscina, Bañera, Piscina al aire libre, Barbacoa, Mobiliario exterior, Horno, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Independiente, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Piscina privada, Guardaequipaje, Ducha, Chimenea exterior, Francés, Mesa de comedor, Vistas, Chimenea, Para todas las edades, Japonés, Cafetera, Bañera de hidromasaje / jacuzzi, Jardín, Baño al aire libre, Nevera, Parking gratis, Alemán, Secador de pelo, Karaoke, Equipamiento de juegos para exterior, Ciclismo, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Zona de pícnic, Habitaciones familiares, Zona de comedor exterior, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584257599.jpg?k=efee57804bb0f8ba78889ffe32114671d05a1f097b5900900289e7e3e051b4cc&o=&hp=1,Melipilla,Chile
