hotel,hotel_url,description,popular_facilities,highres_url,city,country
Mercedes Rambla Hotel,https://www.booking.com/hotel/uy/mercedes-rambla.es.html?aid=2410095,"Mercedes Rambla Hotel ofrece alojamiento de 3 estrellas en Mercedes, frente a la playa, y dispone de bicicletas gratis, jardín y salón de uso común. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece terraza. Hay piscina al aire libre, wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones cuentan con armario y TV de pantalla plana. En Mercedes Rambla Hotel, todas las habitaciones tienen aire acondicionado y baño privado.

El personal de recepción habla inglés, español y portugués, y está dispuesto a ayudar en cualquier momento.","Servicio de habitaciones, Alquiler de bicicletas, Parking gratis, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Playa, Cámaras de seguridad fuera del alojamiento, Fax / fotocopiadora, Piscina al aire libre, Zona de fumadores, Terraza, Tour o clase sobre cultura local, Piragüismo, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Situado frente a la playa, Jardín, Tarjeta de acceso, Español, Inglés, Información turística, Salas de reuniones / banquetes, Portugués, Tours en bici, Baño privado, Detectores de humo, Zona TV / salón de uso compartido, Habitaciones familiares, Tours a pie, Suelo de moqueta, Muy buen desayuno, TV de pantalla plana, Pesca, Armario, Mobiliario exterior, Senderismo, Recepción 24 horas, Papel higiénico, Calefacción, Extintores, Galerías de arte temporales, Centro de negocios, Seguridad 24 horas, Aire acondicionado, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/209885344.jpg?k=cba7c9c422b08a61ac87808383745674a22ee0ba0b2d1a0de2defc83aa1b10cb&o=&hp=1,Mercedes,Uruguay
Gran Hotel Brisas del Hum,https://www.booking.com/hotel/uy/gran-brisas-del-hum.es.html?aid=2410095,"Este establecimiento se encuentra en el centro de Mercedes, a solo 4 calles del río Negro, y dispone de piscina al aire libre con zona de terraza y gimnasio. Algunas tienen balcón privado.

El Gran Hotel Brisas del Hum cuenta con un vestíbulo de estilo moderno. Hay conexión Wi-Fi gratuita en las zonas comunes.

Las habitaciones disponen de aire acondicionado, cortinas hasta el suelo, colchas de color oliva pálido y accesorios de madera oscura. Hay detalles de arte contemporáneo. TV por cable y minibar.


El Brisas del Hum está a solo 1 calle de la pintoresca catedral de Mercedes. El castillo Maua, un monumento arquitectónico local, está a 6 km.","Terraza / solárium, Minibar, Toallas, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Guardaequipaje, Bidet, Ascensor, TV, Fax / fotocopiadora, Piscina al aire libre, WC, Vistas, Canales por cable, Reloj despertador, Perchero, Terraza, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, WiFi gratis, Español, Servicio de despertador / alarma, Gimnasio, Información turística, Salas de reuniones / banquetes, Buen desayuno, Secador de pelo, Acceso a pisos superiores solo mediante escaleras, Baño privado, Servicio de planchado, Sala de juegos, De temporada, Toallas / sábanas (por un suplemento), Balcón, Detectores de humo, Zona TV / salón de uso compartido, Ping pong, Solárium, Sombrillas, Caja fuerte, Servicio de despertador, Suelo de moqueta, TV de pantalla plana, Nevera, Armario, Acceso a pisos superiores en ascensor, Recepción 24 horas, Papel higiénico, Servicio de conserjería, Calefacción, Extintores, Zona de juegos interior, Ducha, Teléfono, Juegos de mesa / puzles, Centro de negocios, Artículos de aseo gratis, Aire acondicionado, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/73816134.jpg?k=5e5b822c2f895cb1d0ebd999e8f29ebc6894819523970c737c3cc54949b7a9f6&o=&hp=1,Mercedes,Uruguay
La casita de Morgan,https://www.booking.com/hotel/uy/la-casita-de-morgan.es.html?aid=2410095,"La casita de Morgan se encuentra en Mercedes. Esta casa o chalet ofrece jardín, además de wifi gratis.

Esta casa o chalet con aire acondicionado consta de 1 dormitorio independiente, una sala de estar, una cocina totalmente equipada y 1 baño.","WiFi gratis, Jardín, Prohibido fumar en todo el alojamiento, Inglés, Habitaciones sin humo, Papel higiénico, Aseo adicional, Cocina, Lavadora, Ducha, Aire acondicionado, Español, Sofá, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541739329.jpg?k=a96e8bf1101442b6418ca8742d8a9445fa33158bd7db09c4ffe932bddad60c3f&o=&hp=1,Mercedes,Uruguay
La Baquiana 2,https://www.booking.com/hotel/uy/la-baquiana-2.es.html?aid=2410095,"La Baquiana 2 está en Mercedes, en la región de Soriano, y tiene balcón. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una zona de cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Se puede descubrir la zona practicando ciclismo en los alrededores.

El aeropuerto (Aeroparque Jorge Newbery) está a 293 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Aeróbic, Canguro / servicios para niños, Toallas, Parking gratis, Música / espectáculos en directo, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Equitación, Habitaciones sin humo, Clases de cocina, Bañera o ducha, Campo de golf (a menos de 3 km), Mesa de comedor, Cámaras de seguridad fuera del alojamiento, TV, Zona de fumadores, Canales por cable, Vistas, Sofá, Terraza, Suelo de madera o parquet, Utensilios de cocina, Tour o clase sobre cultura local, Independiente, Libros, DVD o música para niños, Ciclismo, Bingo, Español, Habitaciones hipoalergénicas, Suelo de baldosa / mármol, Información turística, Hervidor eléctrico, Ventilador, Wifi rápida gratis (78 Mbps), Productos de limpieza, Baño privado, Traslado aeropuerto, Servicio de planchado, Adosado, Registro de entrada / salida privado, Llave de acceso, Zona de comedor, Sofá cama, Balcón, Horno, Tendedero, Habitaciones familiares, Servicio de limpieza en seco, Zona de estar, Pista de tenis, Plancha para ropa, Zona de cocina, TV de pantalla plana, Nevera, Microondas, Tumbonas/sillas de playa, Pesca, Papel higiénico, Calefacción, Ducha, Entrada privada, Juegos de mesa / puzles, Aire acondicionado, Artículos de aseo gratis, Seguridad 24 horas, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/483551917.jpg?k=858305f4362e6ee623afbf9dc51b04a877d4b20bb62cc586d2e759ac3d52941c&o=&hp=1,Mercedes,Uruguay
Apartamento céntrico con garage,https://www.booking.com/hotel/uy/apartamento-nuevo-centrico.es.html?aid=2410095,"Apartamento céntrico con garage se encuentra en Mercedes, en la región de Soriano, y dispone de balcón y vistas a la ciudad. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en el apartamento.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Cocina, Mesa de comedor, Bidet, Lavadora, TV, WC, Vistas, Perchero, Terraza, Utensilios de cocina, WiFi gratis, Suelo de baldosa / mármol, Hervidor eléctrico, Secador de pelo, Tostadora, Productos de limpieza, Canales de pago, Apartamento privado en edificio, Toallas / sábanas (por un suplemento), Balcón, Vistas a la ciudad, Cafetera, Horno, Habitaciones familiares, Toda la unidad accesible en silla de ruedas, Zona de cocina, TV de pantalla plana, Nevera, Microondas, Armario, Acceso a pisos superiores en ascensor, Papel higiénico, Calefacción, Aire acondicionado, Español, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494882248.jpg?k=0fb759de84efde02b7f5c326a40c1d1d112de2c4860f2dfab93f686ee6e4c48d&o=&hp=1,Mercedes,Uruguay
Apartamento céntrico en Mercedes Uruguay,https://www.booking.com/hotel/uy/apartamento-centrico-en-mercedes-uruguay.es.html?aid=2410095,"Apartamento céntrico en Mercedes Uruguay, que está en Mercedes, tiene aire acondicionado y ofrece alojamiento con balcón. Hay wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

El apartamento tiene terraza, 1 dormitorio, sala de estar y cocina bien equipada con nevera y horno. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Bañera o ducha, Cocina, Mesa de comedor, Bidet, Lavadora, TV, Parking en un garaje, Vistas, Perchero, Terraza, Utensilios de cocina, WiFi gratis, Inglés, Hervidor eléctrico, Secador de pelo, Tostadora, Toallas / sábanas (por un suplemento), Parking privado, Sofá cama, Cafetera, Horno, Tendedero, Balcón, Zona de cocina, TV de pantalla plana, Nevera, Microondas, Armario, Papel higiénico, Aire acondicionado, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494967037.jpg?k=cf2af6c654c2dcf82d1ef64f01ab79417dddbe3b0dcace25b0d5a836dde44de0&o=&hp=1,Mercedes,Uruguay
La Baquiana,https://www.booking.com/hotel/uy/la-baquiana.es.html?aid=2410095,"La Baquiana está en Mercedes. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

El apartamento cuenta con terraza y vistas a la ciudad, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una zona de cocina equipada con nevera y horno, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeroparque Jorge Newbery) está a 293 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Tetera / cafetera, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Clases de cocina, Bañera o ducha, Campo de golf (a menos de 3 km), Mesa de comedor, Cámaras de seguridad fuera del alojamiento, TV, Chimenea exterior, Barbacoa, WC, Canales por cable, Sofá, Terraza, Suelo de madera o parquet, Utensilios de cocina, Independiente, Libros, DVD o música para niños, Español, Patio, Información turística, Salas de reuniones / banquetes, Hervidor eléctrico, Secador de pelo, Vistas a un patio interior, Ventilador, Acceso a pisos superiores solo mediante escaleras, Productos de limpieza, Baño privado, Traslado aeropuerto, Wifi rápida gratis (259 Mbps), Escritorio, Servicio de planchado, Servicio de streaming (como Netflix), Llave de acceso, Zona de comedor, Sofá cama, Vistas a la ciudad, Horno, Tendedero, Habitaciones familiares, Zona de estar, Vistas al jardín, Zona de cocina, TV de pantalla plana, Nevera, Microondas, Pesca, Armario, Papel higiénico, Calefacción, Ducha, Entrada privada, Cama plegable, Juegos de mesa / puzles, Artículos de aseo gratis, Aire acondicionado, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/361445588.jpg?k=8b7e873b591e43a374a834c76c156da44cc5cdbf82ad178b16ab5cabcdf19e7a&o=&hp=1,Mercedes,Uruguay
San Isidro Hotel,https://www.booking.com/hotel/uy/san-isidro-golf-y-yacht-club.es.html?aid=2410095,"San Isidro Hotel tiene centro de fitness, jardín, salón de uso común y terraza en Mercedes. Hay zona de juegos infantil, wifi gratis y parking privado gratis.

Todas las habitaciones del alojamiento disponen de baño privado con bidet, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones cuentan con balcón.

En el resort se sirve cada mañana un desayuno continental.

San Isidro Hotel ofrece sauna. Se puede jugar al billar, al mini golf y al tenis en el alojamiento, y la zona es ideal para practicar golf y pesca.","Terraza / solárium, Servicio de entrega de comestibles, Campo de golf (a menos de 3 km), Masaje de cuello, Fax / fotocopiadora, Terraza, Suelo de madera o parquet, Piragüismo, Masaje de espalda, Jardín, Gimnasio, WC elevado, Servicio de limpieza diario, Pediluvio, TV de pantalla plana, Papel higiénico, Adaptado personas de movilidad reducida, Calefacción, Extintores, Proporciona factura, Instalaciones para deportes acuáticos en el alojamiento, Sauna, Habitaciones sin humo, Bidet, Equipamiento de juegos para exterior, Clases de yoga, Barbacoa, Billar, Situado frente a la playa, Información turística, Salas de reuniones / banquetes, Piscina infinita, Llave de acceso, Zona TV / salón de uso compartido, Toallas de playa/piscina, Ducha, Equipamiento de tenis, Parking gratis, Prohibido fumar en todo el alojamiento, Playa, Bañera o ducha, Piscina al aire libre, Vistas, WiFi gratis, Zona de juegos para niños, Buen desayuno, Minigolf, Baño privado, De temporada, Masaje de cabeza, Habitaciones familiares, Tours a pie, Masaje corporal completo, Tumbonas/sillas de playa, Adaptado para sillas de ruedas, Mobiliario exterior, Masaje de pies, Juegos de mesa / puzles, Aire acondicionado, Masajes, Servicio de lavandería, Para todas las edades, Aeróbic, Enchufe cerca de la cama, TV, Canales por cable, Tour o clase sobre cultura local, WC con barras de apoyo, Taquillas en el gimnasio / spa, Tours en bici, Clases de fitness, Piscina con vistas, Zona poco profunda, Pista de tenis, Pesca, Español, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/216887446.jpg?k=3ee645943ff4db74e5f1a544e9b42cfc6811f703a4c3da09e47a1a3845702f0d&o=&hp=1,Mercedes,Uruguay
Lavalleja 71 II,https://www.booking.com/hotel/uy/lavalleja-71-mercedes.es.html?aid=2410095,"Lavalleja 71 II está en Mercedes. Hay wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, una sala de estar, una cocina totalmente equipada y 1 baño. Hay parking privado en el apartamento.","WiFi gratis, Prohibido fumar en todo el alojamiento, Parking privado, Cocina, TV de pantalla plana, Aire acondicionado, Español, Baño privado, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/444807117.jpg?k=588df8b10684da31d10de21dcc8b0fc48ef2e95639e4ea2663b1c54a21f7bbe3&o=&hp=1,Mercedes,Uruguay
Monoambiente,https://www.booking.com/hotel/uy/monoambiente-mercedes.es.html?aid=2410095,"Monoambiente está en Mercedes.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y zona de cocina con microondas y minibar.

El personal de recepción puede dar consejos sobre la zona.","Microondas, Minibar, Parking gratis, Prohibido fumar en todo el alojamiento, Recepción 24 horas, TV de pantalla plana, Hervidor eléctrico, Parking en la calle, Vistas, Aire acondicionado, Español, Utensilios de cocina, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/414658287.jpg?k=2763f4bd3c961504dc47568935b00bd0e3f9019c5d278ce800209c55a4dccb18&o=&hp=1,Mercedes,Uruguay
