hotel,hotel_url,description,popular_facilities,highres_url,city,country
Cinnamon House,https://www.booking.com/hotel/ec/cinnamon-house.es.html?aid=2410095,"Cinnamon House ofrece alojamiento en Mindo. El alojamiento dispone de cocina compartida y wifi gratis.

Puedes jugar al ping-pong en el hostal o pensión.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 115 km.","Cocina compartida, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Parking gratis, Español, Cámaras de seguridad en las zonas comunitarias, Ping pong, Parking en la calle",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508846704.jpg?k=5e47802a8d7ef57aaaec9c2e13e0e115f7e3fe65a40e131994dc7447bfb4d829&o=&hp=1,Mindo,Ecuador
CasKaffeSu Hotel and Restaurant Mindo,https://www.booking.com/hotel/ec/caskaffesu.es.html?aid=2410095,"CasKaffeSu Hotel and Restaurant Mindo tiene jardín, terraza, restaurante y bar en Mindo. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de conserjería y wifi gratis.

En el hotel, las habitaciones están equipadas con patio. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas al jardín. En CasKaffeSu Hotel and Restaurant Mindo, las habitaciones incluyen ropa de cama y toallas.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Se puede jugar a los dardos en el alojamiento, y la zona es ideal para practicar senderismo y ciclismo.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 114 km.","Sala de juegos, Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Muy buen desayuno, Masajes, Parking gratis, Tours en bici, Perchero, Terraza, Bañera o ducha, Toda la unidad en la planta baja, Mobiliario exterior, Detectores de humo, WiFi gratis, Masaje de pies, Alemán, Pesca, Proporciona factura, Cenas temáticas, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Extintores, Ropa de cama, Secadora de ropa, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Traslado aeropuerto, Vistas a un patio interior, Tour o clase sobre cultura local, Masaje de cabeza, Suelo de moqueta, Mosquitera, WC, Dardos, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Insonorización, Guardaequipaje, Entrada privada, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Zona de estar, Papel higiénico, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Libros, DVD o música para niños, Snack-bar, Juegos de mesa / puzles, Baño privado, Patio, Supermercado pequeño en el alojamiento, Francés, Ducha, Ciclismo, Entretenimiento nocturno, Zona de juegos interior, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Servicio de despertador, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Equitación, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Restaurante, Zona de pícnic, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Masaje en pareja, Masaje de cuello, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/235579427.jpg?k=3f71c3371153e58edfa4372bbaed5e2afa90f49195f8f04e8f07aa23dc3e7d05&o=&hp=1,Mindo,Ecuador
Cabañas Armonía y Jardín de Orquídeas,https://www.booking.com/hotel/ec/cabaa-as-armonaa-y-jardan.es.html?aid=2410095,"El Cabañas Armonía y Jardín de Orquídeas es un establecimiento de gestión familiar situado en el barrio El Progreso, a 2 calles de la calle principal de Mindo. Este establecimiento ecológico ofrece bungalows privados y conexión Wi-Fi gratuita en las zonas comunes.

Los bungalows de madera del Cabañas Armonía y Jardín de Orquídeas tienen baño privado con ducha de agua caliente. Muchas disponen de balcón con hamacas y vistas a los jardines de orquídeas y a la selva tropical de los alrededores.

Algunos precios incluyen un desayuno diario gratuito con fruta fresca, huevos, pan, mermelada, café, té y zumo. La zona de desayunos está rodeada de comederos de aves donde se pueden observar colibríes.

El Cabañas Armonía puede organizar numerosas actividades en Mindo. Entre ellos se incluyen excursiones de observación de vida silvestre, rutas de tirolina, barranquismo, visitas a cascadas cercanas y excursiones de chocolate.","Parking en un garaje, Fruta, Vistas al jardín, Prohibido fumar en todo el alojamiento, Barbacoa, Parking gratis, Sombrillas, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Vistas a un patio interior, Tour o clase sobre cultura local, Papel higiénico, Servicio de lavandería, Canguro / servicios para niños, Alquiler de bicicletas, Servicio de conserjería, WiFi gratis, Inglés, Equitación, Pesca, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Información turística, Jardín, Artículos de aseo gratis, Secador de pelo, Zona de fumadores, Productos de limpieza, Tours a pie, Desayuno fantástico, Español, Patio, Habitaciones sin humo, Vistas, Extintores, Guardaequipaje, Ropa de cama, Ducha, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/413591172.jpg?k=5d89f40bf6cc58f2698495ac05893e6a07654a9e1f7fe6f5d8ac23c72cccda68&o=&hp=1,Mindo,Ecuador
Inti Mindo Hostel,https://www.booking.com/hotel/ec/inti-mindo-hostel.es.html?aid=2410095,"Inti Mindo Hostel está en Mindo y tiene jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento dispone de cocina compartida y mostrador de información turística.

En el albergue, cada habitación dispone de un balcón con vistas a la montaña. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas a la ciudad. Todas las habitaciones tienen ropa de cama.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 113 km.","Entretenimiento nocturno, Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Mesa de comedor, Zona de cocina, Desayuno, Noches de cine, Zona de comedor, Parking gratis, Tours en bici, Terraza, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Cocina compartida, Utensilios de cocina, WiFi gratis, Inglés, Karaoke, Nevera, Hervidor eléctrico, WC, Libros, DVD o música para niños, Información turística, Jardín, Artículos de aseo gratis, Juegos de mesa / puzles, Vistas a la montaña, Tours a pie, Muebles de exterior, Español, Baño privado, Patio, Vistas a la ciudad, Balcón, Zona TV / salón de uso compartido, Vistas, Zona de pícnic, Cocina, Ropa de cama, Tetera / cafetera, Ducha, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507909255.jpg?k=6246e034df717aa89aec0489374f271dafccaa649bbbaaf0cb9e866a2a1aaac5&o=&hp=1,Mindo,Ecuador
Magic Elf Glamping,https://www.booking.com/hotel/ec/magic-elf-glamping-mindo.es.html?aid=2410095,"Magic Elf Glamping se encuentra en Mindo y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de jardín y terraza.

Hay una cocina totalmente equipada y un baño privado.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 113 km del alojamiento.","Habitaciones sin humo, Jardín, Vistas, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Zona de cocina, Inglés, TV de pantalla plana, Parking gratis, Español, Baño privado, Terraza, Habitaciones familiares, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/477751698.jpg?k=ffbd3a2698cbeceabad9c6e6904be796f4105b984bd11167d82cb647209ec5e6&o=&hp=1,Mindo,Ecuador
La Casa de Cecilia Mindo,https://www.booking.com/hotel/ec/la-casa-de-cecilia-mindo.es.html?aid=2410095,"La Casa de Cecilia Mindo se encuentra en Mindo y dispone de jardín, terraza, restaurante y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

Todas las unidades disponen de ropa de cama.

El desayuno está disponible todas las mañanas e incluye opciones a la carta, continentales o americanas.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 114 km.","Prohibido fumar en todo el alojamiento, Muy buen desayuno, Masajes, Parking gratis, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Caja fuerte, Cocina compartida, Servicio de lavandería, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Masaje corporal completo, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Vino / champán, Información turística, Jardín, Cafetería en el alojamiento, Zona de fumadores, Juegos de mesa / puzles, Tours a pie, Español, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Guardaequipaje, Ropa de cama, Ducha, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/268277326.jpg?k=7faad83c0c15a0a9648bed45b3a0886ecca5e95a998ec1fd5f931f4f08dbed5d&o=&hp=1,Mindo,Ecuador
Mindomundo Home,https://www.booking.com/hotel/ec/mindomundo-home.es.html?aid=2410095,"Mindomundo Home, que cuenta con jardín, se encuentra en Mindo. Posada u hostería ofrece parking privado gratis y wifi gratis.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 114 km del alojamiento.","Jardín, Cocina compartida, Utensilios de cocina, Cocina, WiFi gratis, Zona de cocina, Parking gratis, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/473705199.jpg?k=4f71145380e943a7c7d295cd27f78f108958d5249f6e3e554a25d7c81f3bb51b&o=&hp=1,Mindo,Ecuador
Biohostal Mindo Cloud Forest,https://www.booking.com/hotel/ec/biohostal.es.html?aid=2410095,"El Bio Hostal, rodeado de un jardín frondoso y situado a solo 200 metros del parque central de Mindo y a 4 km de la cascada de Nambillo, ofrece alojamiento ecológico, jardín exuberante, restaurante y desayuno.

Las habitaciones amplias y luminosas del Bio Hostal disponen de ventanas grandes con vistas al jardín, zona de estar y baño privado con agua caliente.

El desayuno diario incluye fruta fresca. El restaurante prepara especialidades caseras y platos internacionales. También se ofrece té, café y agua mineral de forma gratuita durante todo el día. También cuenta con una zona de barbacoa y una cocina compartida.

Este establecimiento cuenta con biblioteca, hamacas en el jardín y terraza con sombra. Asímismo, ofrece aparcamiento gratuito y conexión WiFi gratuita en las zonas comunes. Los huéspedes también pueden disfrutar de la detección de orquídeas y aves o alquilar una bicicleta para explorar los alrededores.

El centro de observación de aves del bosque nuboso de Mindo alberga más de 350 especies de aves y ofrece excursiones en inglés, alemán y español. El aeropuerto de Quito se encuentra a unas 2 horas y media en coche y Guayaquil está a unas 6 horas en coche del alojamiento.","Barbacoa, Parking gratis, Llave de acceso, Traslado aeropuerto, Chimenea exterior, Barandillas protectoras para bebés, Perchero, Servicio de limpieza diario, Terraza, Salas de reuniones / banquetes, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Alquiler de bicicletas, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Alemán, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Información turística, Jardín, Zona de fumadores, Centro de negocios, Fax / fotocopiadora, Tours a pie, Clases de cocina, Baño privado, Español, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Supermercado pequeño en el alojamiento, Zona de pícnic, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, Ropa de cama, Buen desayuno, Ducha, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/410766078.jpg?k=3ce09ec50b6e57d87137548edd6fd33d8a2e199fd6e64e80d0a2462084298e14&o=&hp=1,Mindo,Ecuador
Casa de Piedra,https://www.booking.com/hotel/ec/casa-de-piedra.es.html?aid=2410095,"La Casa de Piedra ofrece una piscina exterior, un jardín, un restaurante, una biblioteca, y habitaciones y bungalows con conexión Wi-Fi gratuita y zona de barbacoa. Se encuentra en la ciudad de Mindo, al lado del río y a 3 minutos en coche del centro. Se pueden practicar actividades como ciclismo y piragüismo. La playa de Pedernales está a 3 horas en coche.

Las habitaciones de la Casa de Piedra son muy luminosas, están decoradas con suelo de parqué y techos a dos aguas, y disponen de baño privado o compartido.

Todos los días se sirve un desayuno americano. El restaurante del establecimiento elabora platos internacionales y regionales. Las bebidas del bar se pueden tomar en el jardín.

La Casa de Piedra se halla a 73 km de Quito y a 700 metros de la estación de autobuses.","Sala de juegos, Fruta, Vistas al jardín, Zona de juegos interior, Barbacoa, Desayuno, Billar, Clases de yoga, Parking gratis, Baño al aire libre, Sombrillas, Masajes, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Barandillas protectoras para bebés, Happy hour, Terraza, Zona de estar, Papel higiénico, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Servicio de conserjería, Detectores de humo, Inglés, Equitación, WC, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Terraza / solárium, Vino / champán, Información turística, Jardín, Cafetería en el alojamiento, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Español, Parking en la calle, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Restaurante, Enchufe cerca de la cama, Música / espectáculos en directo, Extintores, Zona TV / salón de uso compartido, Guardaequipaje, Ropa de cama, Ducha, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/99767837.jpg?k=4c695809a49910bbb17653cd70b2baf32c7eabf295789979852afd353ba3e932&o=&hp=1,Mindo,Ecuador
"The Temple II, Mindo",https://www.booking.com/hotel/ec/the-wood-house-the-temple-ii.es.html?aid=2410095,"The Temple II, Mindo se encuentra en Mindo. Todas las opciones de alojamiento de este hotel de 3 estrellas tienen vistas a la montaña, jardín y zona de barbacoa. Hay terraza, wifi gratis y parking privado gratis.

Todas las unidades de este alojamiento están equipadas con cafetera. En el hotel, todas las habitaciones están equipadas con baño privado con ducha.

Hay opciones continentales o americanas de desayuno disponibles todos los días en The Temple II, Mindo.

La zona es ideal para practicar ciclismo, y en el alojamiento hay alquiler de bicicletas.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 115 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Cafetera, Parking en un garaje, Registro de entrada y salida exprés, Vistas al jardín, Zona de comedor exterior, Barbacoa, Mesa de comedor, Plancha para pantalones, Suelo de madera o parquet, Plancha para ropa, Muy buen desayuno, Zona de comedor, Parking gratis, Clases de yoga, Masajes, Tours en bici, Cambio de moneda, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Seguridad 24 horas, Terraza, Vistas a un patio interior, Tour o clase sobre cultura local, Armario, Papel higiénico, Cocina compartida, Zona de estar, Utensilios de cocina, Servicio de lavandería, Mobiliario exterior, Alquiler de bicicletas, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Tetera/cafetera en todas las habitaciones, Nevera, Mosquitera, Gimnasio, WC, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Vino / champán, Jardín, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Juegos de mesa / puzles, Servicios de belleza, Silla de masajes, Vistas a la montaña, Tours a pie, Clases de cocina, Baño privado, Patio, Español, Máquina expendedora (bebidas), Balcón, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Habitaciones hipoalergénicas, Zona de pícnic, Cocina, Hipoalergénico, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Senderismo, Ciclismo, Habitaciones familiares, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/387604358.jpg?k=22b91da9235472c34fb4996b91b83b1f8af0a6141f9c864f70e6dd02ae9c8101&o=&hp=1,Mindo,Ecuador
