hotel,hotel_url,description,popular_facilities,highres_url,city,country
lodge France Amazonia,https://www.booking.com/hotel/ec/lodge-france-amazonia.es.html?aid=2410095,"Lodge France Amazonia está en Puerto Misahuallí y dispone de wifi gratis, jardín, terraza y restaurante.

El lodge ofrece desayuno a la carta o americano.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 197 km.","Playa, Prohibido fumar en todo el alojamiento, Piscina, Desayuno, Perchero, Terraza, Papel higiénico, Bar, WiFi gratis, Inglés, WC, Servicio de habitaciones, Toallas, Jardín, Español, Baño privado, Habitaciones sin humo, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584290075.jpg?k=ff2f13716ed0f4beac5d69a49def3a43cc1eb01d5fe563b713ad7891d0c6fe48&o=&hp=1,Misahuallí,Ecuador
Hotel El Albergue Español,https://www.booking.com/hotel/ec/hostal-albergue-espanol-amp-jungle-lodge.es.html?aid=2410095,"Hotel El Albergue Español se encuentra en Puerto Misahuallí y ofrece wifi gratis, jardín, salón de uso común y terraza.

En el lodge se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 198 km del alojamiento.","Prohibido fumar en todo el alojamiento, Servicio de planchado, Desayuno, Parking gratis, Servicio de limpieza diario, Traslado aeropuerto, Salas de reuniones / banquetes, Terraza, Caja fuerte, Seguridad 24 horas, Cocina compartida, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Pesca, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Información turística, Zona de fumadores, Jardín, Cafetería en el alojamiento, Español, Habitaciones sin humo, Extintores, Zona TV / salón de uso compartido, Francés, Guardaequipaje, Traslado aeropuerto (gratis), Piragüismo, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/491121831.jpg?k=71a247235a252056a4c35e4a36e7cfa67c3d31c447ca6829962351d07ce5963b&o=&hp=1,Misahuallí,Ecuador
Magia Verde Lodge,https://www.booking.com/hotel/ec/magia-verde-lodge-puerto-misahualli.es.html?aid=2410095,"Magia Verde Lodge está en Puerto Misahuallí y ofrece alojamiento con wifi gratis y acceso a un jardín con terraza.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 199 km.","Habitaciones sin humo, Jardín, Playa, Prohibido fumar en todo el alojamiento, WiFi gratis, Inglés, Zona de comedor, Parking gratis, Ventilador, Español, Terraza, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510177321.jpg?k=117e1634955dd920a9ba46d9a1a32ddffa3703a8af6460d276ee34f57a09687f&o=&hp=1,Misahuallí,Ecuador
Misahualli Amazon Lodge,https://www.booking.com/hotel/ec/misalodge.es.html?aid=2410095,"Misahualli Amazon Lodge se encuentra en Puerto Misahuallí y ofrece wifi gratis, piscina al aire libre, jardín y salón de uso común.

Algunas unidades incluyen zona de estar y/o balcón.

Hay terraza en el propio alojamiento, y cerca se puede practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 198 km del alojamiento.","Desayuno, Parking gratis, Servicio de limpieza diario, Traslado aeropuerto, Terraza, Tour o clase sobre cultura local, Bar, WiFi gratis, Para todas las edades, Proporciona factura, Servicio de habitaciones, Tumbonas/sillas de playa, Terraza / solárium, Jardín, Tours a pie, Abierta todo el año, Español, Baño privado, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Restaurante, Zona TV / salón de uso compartido, Traslado aeropuerto (gratis), Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560261104.jpg?k=9f4e730735906f7916c7f2dd4e14bab96ea01ad31322d1b011e7d0e14c11e580&o=&hp=1,Misahuallí,Ecuador
Banana Lodge,https://www.booking.com/hotel/ec/banana-lodge.es.html?aid=2410095,"El Banana Lodge es un B&B de gestión familiar oculto en la selva amazónica, a orillas del río Misahualli y a 10 minutos a pie del centro de la ciudad. Ofrece excursiones por la selva con muchas actividades y habitaciones limpias con gran cantidad de luz natural.

Las habitaciones del Banana Lodge disponen de grandes ventanas, suelo de baldosa, mosquiteros, ventiladores y baño con agua caliente. Hay conexión WiFi.

Todos los días se sirve un desayuno americano con panecillos recién hechos, zumos naturales y mermeladas. Los huéspedes pueden utilizar la cocina compartida para preparar comidas o relajarse en una de las hamacas después de ir de excursión o practicar rafting.","Playa, Registro de entrada y salida exprés, Vistas al jardín, Barbacoa, Muy buen desayuno, Parking gratis, Sombrillas, Tours en bici, Llave de acceso, Traslado aeropuerto, Chimenea exterior, Servicio de limpieza diario, Perchero, Ruso, Terraza, Bañera o ducha, Zona de estar, Tour o clase sobre cultura local, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Seguridad 24 horas, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Inglés, Alemán, Pesca, Situado frente a la playa, WC, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Zona de fumadores, Cajero automático en el hotel, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Adaptado personas de movilidad reducida, Español, Baño privado, Patio, Aire acondicionado, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Habitaciones hipoalergénicas, Zona de pícnic, Suelo de baldosa / mármol, Tendedero, Francés, Zona privada de playa, Escritorio, Ropa de cama, Adaptado para sillas de ruedas, Ducha, Ventilador, Senderismo, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/283767426.jpg?k=a4bcb9167fa6b7a51a17300a8d3c21d3bd04368b00174ffb2b538019fd3b8364&o=&hp=1,Misahuallí,Ecuador
Misahualli Laguna Paikawe B&B,https://www.booking.com/hotel/ec/misahualli-laguna-paikawe-hidden-lagoon.es.html?aid=2410095,"Misahualli Laguna Paikawe B&B se encuentra en Puerto Misahuallí y dispone de jardín, terraza, bar y wifi gratis. El alojamiento dispone de cocina compartida, recepción 24 horas y servicio de organización de tours.

El hostal o pensión ofrece algunas unidades con patio, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En Misahualli Laguna Paikawe B&B, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 200 km.","Vistas al jardín, Desayuno, Terraza, Bañera o ducha, Tour o clase sobre cultura local, Papel higiénico, Cocina compartida, Bar, WiFi gratis, Toallas / sábanas (por un suplemento), WC, Toallas, Información turística, Jardín, Artículos de aseo gratis, Tours a pie, Español, Baño privado, Enchufe cerca de la cama, Vistas, Recepción 24 horas, Suelo de baldosa / mármol, Ropa de cama, Ducha, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/321954884.jpg?k=ce92c6bd20449fdc4dce7e2e84d8d11f60fc4a5351a06c84cd3d2389c1981518&o=&hp=1,Misahuallí,Ecuador
Hamadryade Lodge,https://www.booking.com/hotel/ec/hamadryade-lodge.es.html?aid=2410095,"El Hamadryade se encuentra en la selva ecuatoriana y ofrece vistas al río Napo. Ofrece elegantes bungalows con impresionantes vistas y una piscina al aire libre. Está situado a 11 km de Puerto Napo.

Los bungalows de Hamadryade Lodge están construidos con madera local y su diseño está inspirado en el arte de la selva. Cuentan con una zona de estar y grandes puertas que ofrecen vistas panorámicas a la selva.

Alojándose en este complejo podrá hacer rutas por el río, dar paseos nocturnos por la selva y visitar comunidades quechua o huaorani. Los huéspedes podrán disfrutar de masajes y tomar el sol en la terraza de la piscina.

Por las mañanas, se ofrece un desayuno americano en el comedor. Por las noches, los huéspedes podrán disfrutar de especialidades regionales e internacionales mientras contemplan la hermosa puesta de sol.

El Hamadryade se encuentra a 3 horas en coche de Quito. Si llega en coche, podrá utilizar el aparcamiento gratuito del hotel.","Sala de juegos, Parking en un garaje, Vistas al jardín, Masajes, Parking gratis, Tratamientos faciales, Sombrillas, Tours en bici, Happy hour, Terraza, Canguro / servicios para niños, Zona de spa / relajación, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Pesca, Tarjetas de transporte público, Proporciona factura, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Vistas a la montaña, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Zona TV / salón de uso compartido, Extintores, Habitaciones familiares, Tarjeta de acceso, Fruta, Desayuno, Traslado aeropuerto, Chimenea exterior, Tour o clase sobre cultura local, Alarma de seguridad, Vino / champán, Artículos de aseo gratis, Servicios de belleza, Fax / fotocopiadora, Exfoliación corporal, Clases de fitness, Habitaciones sin humo, Música / espectáculos en directo, Spa y centro de bienestar, De temporada, Instalaciones de spa, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Envoltura corporal, Servicio de limpieza diario, Barandillas protectoras para bebés, Habitaciones insonorizadas, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Servicios de maquillaje, Menú para niños, Tratamientos capilares, Snack-bar, Juegos de mesa / puzles, Tours a pie, Clases de cocina, Patio, Bingo, Zona poco profunda, Balcón, Piscina al aire libre, Francés, Pedicura, Ducha, Piragüismo, Ciclismo, Zona de juegos interior, Piscina con vistas, Menús para dietas especiales (bajo petición), Clases de yoga, Llave de acceso, Paquetes de spa / bienestar, Pediluvio, Boles para mascotas, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Alquiler de coches, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Información turística, Toallas de playa/piscina, Juguetes para la piscina, Restaurante, Zona de juegos para niños, Recepción 24 horas, Tratamientos corporales, Manicura, Desayuno en la habitación, Senderismo, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/457748721.jpg?k=2d46f4a58f1a54ef2cb1d14023858dfc0fabca511f451235ae16a3619ea68564&o=&hp=1,Misahuallí,Ecuador
Suchipakari Amazon Eco -Lodge & Jungle Reserve,https://www.booking.com/hotel/ec/suchipakari-jungle-lodge-misahualli.es.html?aid=2410095,"El Suchipakari Jungle Lodge ofrece alojamiento en plena selva ecuatoriana. El lodge cuenta con mostrador de información turística y servicio de traslado al aeropuerto de Quito, situado a 5 horas en coche.

El Suchipakari ofrece contacto completo con la fauna local a través de rutas de senderismo guiadas, rafting en el río Napo y excursiones a las cascadas.  También se organizan visitas a las comunidades indígenas.

El Jungle Lodge cuenta con un estanque natural y hamacas. También hay una mesa de billar y una zona de lectura a la sombra.

Las habitaciones combinan materiales de la zona y otras, por lo que crean espacios conformables. Todas las habitaciones tienen baño privado con todas las instalaciones necesarias.

El restaurante sirve platos elaborados con productos locales. El bar ofrece bebidas con frutas tropicales de la región de Misahuallí. Puerto Misahualli se encuentra a 25 minutos y la ciudad de Tena, a 40 minutos en coche.","Sala de juegos, Vistas al jardín, Instalaciones para deportes acuáticos en el alojamiento, Eventos deportivos en directo (emisión), Plancha para pantalones, Billar, Masajes, Tratamientos faciales, Sombrillas, Tours en bici, Perchero, Happy hour, Terraza, Bañera o ducha, Zona de spa / relajación, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Piscina pequeña, Para todas las edades, Masaje de pies, Baños públicos, Pesca, Tarjetas de transporte público, Proporciona factura, Cenas temáticas, Terraza / solárium, Estación de carga de vehículos eléctricos, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Detector de monóxido de carbono, Centro de negocios, Zona de fumadores, Discoteca / DJ, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Horario de apertura, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Mesa de comedor, Piscina climatizada, Desayuno, Tinte, Baño al aire libre, Traslado aeropuerto, Chimenea exterior, Vistas a un patio interior, Tour o clase sobre cultura local, Armario, Hammam, Masaje de cabeza, Vistas a un lugar de interés, Alarma de seguridad, WC, Dardos, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Servicios de belleza, Piscina infantil, Silla de masajes, Fax / fotocopiadora, Exfoliación corporal, Bañera de hidromasaje / jacuzzi, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Insonorización, Spa y centro de bienestar, Zona privada de playa, Guardaequipaje, Entrada privada, Instalaciones de spa, Ventilador, Reloj despertador, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Masaje de manos, Accesible para personas sordas, Envoltura corporal, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Servicio de aparcacoches, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Habitaciones comunicadas disponibles, Servicios de maquillaje, Menú para niños, Masaje corporal completo, Tratamientos capilares, Snack-bar, Secador de pelo, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Corte de pelo, Club infantil, Clases de cocina, Baño privado, Patio, Zona poco profunda, Piscina al aire libre, Peinado, Pedicura, Adaptado para sillas de ruedas, Ducha, Piragüismo, Ciclismo, Playa, Zona de juegos interior, Piscina con vistas, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Paquetes de spa / bienestar, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Albornoz, Alquiler de coches, Situado frente a la playa, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Baño de vapor, Servicios de depilación, Toallas, Información turística, Toallas de playa/piscina, Terapia con luz, Bar en la piscina, Restaurante, Tratamientos corporales, Zona de pícnic, Recepción 24 horas, Tendedero, Suelo de baldosa / mármol, Servicio de despertador / alarma, Masaje en pareja, Parking privado, Masaje de cuello, Personal de animación, Manicura, Desayuno en la habitación, Senderismo, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558772850.jpg?k=24018e9a9feebe36f7e51f41fc4087e79f2c4cb270b33e1cd3fd89923814f057&o=&hp=1,Misahuallí,Ecuador
Playa Tortuga,https://www.booking.com/hotel/ec/playa-tortuga.es.html?aid=2410095,"Playa Tortuga está en Puerto Misahuallí y cuenta con vistas al río, jardín, terraza y bar. En la habitación en casa particular, tanto el wifi como el parking privado son gratis.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 200 km del alojamiento.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Desayuno, Zona de comedor, Parking gratis, Terraza, Armario, Papel higiénico, Utensilios de cocina, Bar, WiFi gratis, Inglés, Alemán, Mosquitera, WC, Vistas al río, Jardín, Español, Baño privado, Habitaciones sin humo, Vistas, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/422239467.jpg?k=dcc3dbe21c39151aa3f330c78f0b77cc38b0f3c415ca3dbb4dc6ec2db755aa64&o=&hp=1,Misahuallí,Ecuador
Emimar Suites,https://www.booking.com/hotel/ec/emimar-suites.es.html?aid=2410095,"Emimar Suites se encuentra en Puerto Misahuallí. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento con aire acondicionado consta de 1 dormitorio, una cocina y 1 baño. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 198 km.","Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Zona de cocina, Inglés, TV de pantalla plana, Parking gratis, Aire acondicionado, Español, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583975800.jpg?k=30b364be8bbb0ab4a90e21ef2904748d5ae2fd7a64c24693988902b94c1bcfd9&o=&hp=1,Misahuallí,Ecuador
