hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Luis Ángel,https://www.booking.com/hotel/co/luis-angel-mocoa.es.html?aid=2410095,"El Hotel Luis Ángel ofrece alojamiento en Mocoa.

Todas las habitaciones incluyen TV de pantalla plana. El baño es privado e incluye bañera o ducha. Hay WiFi gratuita y aparcamiento privado.

La recepción está abierta las 24 horas.

El aeropuerto más cercano es el de Cananguchal, ubicado en el municipio de Villagarzón a unos 18 kilómetros del Hotel Luis Ángel.","Servicio de entrega de comestibles, Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Cambio de moneda, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Hipoalergénico, Extintores, Aire acondicionado, TV, Traslado aeropuerto, Perchero, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Barandillas protectoras para bebés, Mobiliario exterior, Productos de limpieza, Canales por cable, Aseo adicional, Llave de acceso, Gimnasio, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Zona de comedor exterior, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Español, Artículos de aseo gratis, Aseo compartido, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466205193.jpg?k=5167ea86fec60d6c14ce231901b0af96fb26aec4d1004292b799f6be4643c8ec&o=&hp=1,Mocoa,Colombia
Hotel Patio Bonito,https://www.booking.com/hotel/co/patio-bonito-mocoa.es.html?aid=2410095,"Hotel Patio Bonito dispone de habitaciones con aire acondicionado en Mocoa. El alojamiento ofrece recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. Todas las unidades disponen de baño privado con bañera o ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto de Villa Garzón) está a 22 km.","Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Jardín, TV, Armario, Parking gratis, Servicio de traslado, WiFi gratis, Servicio de habitaciones, WC, Canales vía satélite, TV de pantalla plana, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/310298571.jpg?k=414d482f62c2760ea16d498ec07233ac726f927dd54f44ed5e2ae84336900a93&o=&hp=1,Mocoa,Colombia
Hotel Suma Wasi,https://www.booking.com/hotel/co/suma-wasi.es.html?aid=2410095,"Hotel Suma Wasi tiene piscina al aire libre, jardín, terraza y restaurante en Mocoa. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones tienen escritorio y TV de pantalla plana. Todas las habitaciones disponen de baño privado y aire acondicionado, y algunas tienen además balcón. Todas las habitaciones tienen armario.

Hay opciones a la carta o americanas de desayuno disponibles cada mañana en Hotel Suma Wasi.

El aeropuerto (Aeropuerto de Villa Garzón) está a 22 km.","Terraza, Juegos de mesa / puzles, Teléfono, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Jardín, Aire acondicionado, TV, Armario, Traslado aeropuerto, Perchero, Parking gratis, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Piscina al aire libre, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Vistas al jardín, Servicio de planchado, Escritorio, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, Bar, Restaurante, TV de pantalla plana, Canales vía satélite, Abierta todo el año, Toallas, Habitaciones familiares, Español, Ascensor, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/294293612.jpg?k=6d2edca27ee00d8879d5e70bd42026b320f0311a0f315ef25270de399de4224a&o=&hp=1,Mocoa,Colombia
Huaca Huaca Casa Boutique,https://www.booking.com/hotel/co/huaca-huaca-casa-boutique.es.html?aid=2410095,"Huaca Huaca Casa Boutique se encuentra en Mocoa y ofrece alojamiento con balcón o patio, wifi gratis y TV de pantalla plana, además de jardín.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto de Villa Garzón) está a 22 km del alojamiento.","Armario, Jardín, Prohibido fumar en todo el alojamiento, Bañera o ducha, Parking gratis, Baño privado, TV de pantalla plana, Toallas, Ropa de cama, Vistas, Acceso a pisos superiores solo mediante escaleras, Español, Artículos de aseo gratis, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579180623.jpg?k=6cdeafc42e6e6d8367438b2ec119e246345a0c729aab775339b0d9794b6078aa&o=&hp=1,Mocoa,Colombia
Hotel Marli Plaza,https://www.booking.com/hotel/co/marli-plaza.es.html?aid=2410095,"Hotel Marli Plaza se encuentra en Mocoa. Este alojamiento, que cuenta con mostrador de información turística, también ofrece restaurante. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación está equipada con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Villa Garzón) está a 21 km del alojamiento.","Desayuno, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Teléfono, Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Extintores, TV, Armario, Traslado aeropuerto, Perchero, Vino / champán, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Acceso a pisos superiores solo mediante escaleras, Proporciona factura, Barandillas protectoras para bebés, Mobiliario exterior, Aseo adicional, Servicio de planchado, Barandillas de seguridad para bebés, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/209347838.jpg?k=c1be8b04a591076e418c727c9c64044255b64eed7713439db489cac74160d971&o=&hp=1,Mocoa,Colombia
Hostal Sinaí,https://www.booking.com/hotel/co/hermoso-apartamento-en-mocoa.es.html?aid=2410095,"Hostal Sinaí se encuentra en Mocoa y ofrece alojamiento con wifi gratis y jardín.

El aeropuerto más cercano (Aeropuerto de Villa Garzón) está a 21 km del alojamiento.","Parking gratis, Habitaciones sin humo, Habitaciones familiares, Español, Inglés, WiFi gratis, Jardín",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503714793.jpg?k=cfa712ea84fa55830fdf2ed84f4f1370dabc8c8a5ecbe0cf92401fd55f6e7eb5&o=&hp=1,Mocoa,Colombia
POSADA KAUAI,https://www.booking.com/hotel/co/posada-kauai.es.html?aid=2410095,"POSADA KAUAI está en Mocoa y tiene vistas a la montaña, wifi gratis y parking privado gratis.

También hay nevera y cafetera.

En la casa rural se sirve cada mañana un desayuno americano.

POSADA KAUAI dispone de terraza.

El aeropuerto (Aeropuerto de Villa Garzón) está a 24 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Habitaciones sin humo, Servicios de belleza, Senderismo, Masaje de manos, Cambio de moneda, Recepción 24 horas, Manicura, Extintores, Clases de cocina, Armario, Masajes, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Información turística, Masaje en pareja, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Servicio de traslado, Artículos de aseo gratis, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Masaje de pies, Proporciona factura, Música / espectáculos en directo, Alquiler de coches, Mobiliario exterior, Pesca, Tours a pie, Cafetera, Vistas a la montaña, Masaje de cabeza, Peinado, Llave de acceso, Escritorio, Guardaequipaje, Baño al aire libre, Servicio de lavandería, Masaje corporal completo, Masaje de cuello, Zona de comedor, Pedicura, Balcón, Toallas, Español, Masaje de espalda, Nevera, Utensilios de cocina, Tratamientos faciales, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/438368803.jpg?k=36ebd9874ccef37d53237134e826386ec70a947373c90b461cf420476020431c&o=&hp=1,Mocoa,Colombia
Posada Turistica Dantayaco,https://www.booking.com/hotel/co/posada-turisitca-dantayaco.es.html?aid=2410095,"Posada Turistica Dantayaco está en Mocoa y dispone de wifi gratis, jardín, salón de uso común y terraza.

Algunos alojamientos incluyen un balcón con vistas a la montaña, zona de cocina totalmente equipada y baño privado con ducha.

El lodge cuenta un restaurante que sirve cocina local.

Posada Turistica Dantayaco ofrece servicio de alquiler de coches.

El aeropuerto (Aeropuerto de Villa Garzón) está a 15 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Dardos, Spa y centro de bienestar, Juegos de mesa / puzles, Almuerzos para llevar, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Snorkel, Senderismo, Cambio de moneda, Ventilador, Jardín, Extintores, Masajes, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Información turística, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Entrada privada, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, WiFi gratis, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Alquiler de coches, Música / espectáculos en directo, Zona de fumadores, Servicio de aparcacoches, Barbacoa, Zona de juegos interior, Mobiliario exterior, Tours a pie, Desayuno en la habitación, Eventos deportivos en directo (emisión), Servicio de planchado, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Restaurante, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/358354385.jpg?k=5ab9bbd7a31ea82c6bf20906abfdf97bb520b026f0615df63389d5d8eb19bfe6&o=&hp=1,Mocoa,Colombia
Hotel Malu Real,https://www.booking.com/hotel/co/malu-real.es.html?aid=2410095,"Hotel Malu Real ofrece alojamiento en Mocoa. El hotel dispone de terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

El aeropuerto (Aeropuerto de Villa Garzón) está a 22 km.","Terraza, Traslado aeropuerto, Prohibido fumar en todo el alojamiento, Traslado aeropuerto (gratis), Habitaciones sin humo, Habitaciones familiares, Español, Recepción 24 horas, WiFi gratis, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584755079.jpg?k=07e4fef87d0585e255e4bb276082891363a0352e41d2bb6945ca10c14bc9bff9&o=&hp=1,Mocoa,Colombia
Hostal Luna Llena,https://www.booking.com/hotel/co/hostal-luna-llena.es.html?aid=2410095,"Hostal Luna Llena está en Mocoa y tiene jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento dispone de cocina compartida, recepción 24 horas y servicio de organización de tours.

Las unidades cuentan con nevera.

El aeropuerto más cercano (Aeropuerto de Villa Garzón) está a 23 km.","Desayuno, Terraza, Juegos de mesa / puzles, Habitaciones sin humo, Senderismo, Parking en la calle, Recepción 24 horas, Jardín, Extintores, Traslado aeropuerto, Información turística, Parking gratis, Zona TV / salón de uso compartido, WiFi gratis, Cocina compartida, Mesa de comedor, Zona de cocina, Mobiliario exterior, Traslado aeropuerto (gratis), Tours a pie, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/458209330.jpg?k=36c9973f09ca9a1f257209d330774be475c7f11e46eb5372c8ce1fd675d412f4&o=&hp=1,Mocoa,Colombia
